* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 8:03:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x pop anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 52.911 45.6246
1.015000 53.072 46.6005
1.030000 53.243 47.5295
1.044000 53.414 48.3635
1.060000 53.622 49.2759
1.075000 53.827 50.0890
1.090000 54.042 50.8587
1.106000 54.280 51.6298
1.120000 54.494 52.2611
1.138000 54.779 53.0120
1.150000 54.972 53.4744
1.172000 55.334 54.2425
1.180000 55.467 54.4963
1.206000 55.903 55.2289
1.220000 56.139 55.5656
1.241000 56.492 55.9965
1.250000 56.642 56.1544
1.265000 56.890 56.3828
1.280000 57.134 56.5685
1.315000 57.685 56.8411
1.320000 57.761 56.8623
1.340000 58.058 56.9066
1.360000 58.345 56.9008
1.380000 58.628 56.8670
1.400000 58.909 56.8111
1.430000 59.327 56.6836
1.450000 59.603 56.5673
1.475000 59.945 56.3844
1.500000 60.283 56.1580
1.525000 60.616 55.8865
1.550000 60.945 55.5686
1.575000 61.268 55.2034
1.600000 61.586 54.7900
1.625000 61.898 54.3279
1.650000 62.203 53.8167
1.675000 62.502 53.2577
1.700000 62.794 52.6604
1.725000 63.079 52.0399
1.750000 63.358 51.4028
1.775000 63.631 50.7512
1.800000 63.899 50.0865
1.825000 64.161 49.4095
1.850000 64.418 48.7207
1.875000 64.670 48.0204
1.900000 64.918 47.3086
1.925000 65.161 46.5850
1.950000 65.400 45.8494
1.975000 65.636 45.1011
2.000000 65.868 44.3393
2.030000 66.142 43.4072
2.060000 66.409 42.4577
2.090000 66.669 41.4956
2.120000 66.923 40.5252
2.140000 67.089 39.8755
2.180000 67.412 38.5729
2.200000 67.570 37.9215
2.240000 67.880 36.6203
2.270000 68.106 35.6472
2.300000 68.329 34.6769
2.330000 68.547 33.7089
2.360000 68.762 32.7409
2.400000 69.040 31.4409
2.430000 69.243 30.4579
2.470000 69.506 29.1432
2.500000 69.698 28.1590
2.540000 69.947 26.8555
2.580000 70.189 25.5678
2.620000 70.425 24.3009
2.650000 70.598 23.3664
2.690000 70.825 22.1402
2.720000 70.991 21.2280
2.760000 71.205 20.0119
2.800000 71.414 18.7983
2.850000 71.665 17.2956
2.900000 71.908 15.8217
2.950000 72.144 14.3886
3.000000 72.374 13.0057
3.040000 72.554 11.9344
3.070000 72.686 11.1437
3.110000 72.857 10.1005
3.150000 73.024 9.0712
3.200000 73.227 7.8104
3.250000 73.425 6.5864
3.300000 73.620 5.4074
3.350000 73.812 4.2799
3.400000 74.002 3.2011
3.450000 74.188 2.1598
3.500000 74.370 1.1517
3.550000 74.549 0.1767
3.600000 74.727 -0.7639
3.650000 74.906 -1.6683
3.700000 75.087 -2.5338
3.750000 75.268 -3.3579
3.820000 75.521 -4.4478
3.870000 75.702 -5.1908
3.950000 75.995 -6.3373
4.000000 76.181 -7.0354
4.060000 76.410 -7.8524
4.120000 76.642 -8.6334
4.180000 76.879 -9.3838
4.250000 77.159 -10.2453
4.310000 77.403 -10.9919
4.370000 77.651 -11.7560
4.440000 77.945 -12.6526
4.500000 78.202 -13.4143
4.550000 78.419 -14.0531
4.620000 78.725 -14.9728
4.680000 78.987 -15.7986
4.750000 79.295 -16.8038
4.820000 79.604 -17.8325
4.870000 79.826 -18.5806
4.940000 80.136 -19.6563
5.000000 80.399 -20.6130
5.080000 80.746 -21.9421
5.150000 81.047 -23.1416
5.220000 81.345 -24.3667
5.300000 81.680 -25.7984
5.380000 82.007 -27.2673
5.450000 82.288 -28.5828
5.520000 82.562 -29.9197
5.600000 82.870 -31.4650
5.700000 83.242 -33.4131
5.800000 83.602 -35.3803
5.900000 83.948 -37.3631
6.000000 84.283 -39.3432
6.080000 84.543 -40.9183
6.150000 84.764 -42.2931
6.220000 84.980 -43.6645
6.300000 85.221 -45.2228
6.400000 85.515 -47.1502
6.500000 85.800 -49.0564
6.600000 86.077 -50.9457
6.700000 86.348 -52.8175
6.800000 86.613 -54.6714
6.900000 86.873 -56.5103
7.000000 87.127 -58.3406
7.100000 87.377 -60.1674
7.200000 87.622 -61.9911
7.300000 87.862 -63.8153
7.400000 88.097 -65.6470
7.500000 88.326 -67.4905
7.620000 88.593 -69.7158
7.750000 88.870 -72.1446
7.880000 89.133 -74.6014
8.000000 89.363 -76.8839
8.120000 89.578 -79.1728
8.250000 89.794 -81.6675
8.380000 89.991 -84.1520
8.500000 90.155 -86.4264
8.620000 90.302 -88.6853
8.750000 90.442 -91.0812
8.850000 90.536 -92.8834
9.000000 90.658 -95.5182
9.120000 90.740 -97.5377
9.250000 90.815 -99.6364
9.380000 90.878 -101.6367
9.500000 90.929 -103.3824
9.620000 90.974 -105.0375
9.750000 91.021 -106.7350
9.880000 91.068 -108.3342
10.000000 91.114 -109.7372
10.150000 91.177 -111.4212
10.300000 91.249 -113.0440
10.440000 91.323 -114.5421
10.600000 91.416 -116.2633
10.750000 91.508 -117.9111
10.900000 91.600 -119.6185
11.060000 91.695 -121.5081
11.200000 91.770 -123.2248
11.380000 91.851 -125.5069
11.500000 91.891 -127.0590
11.720000 91.935 -129.9413
11.800000 91.941 -130.9837
12.060000 91.920 -134.3073
12.200000 91.887 -136.0159
12.410000 91.812 -138.4378
12.500000 91.774 -139.4126
12.650000 91.703 -140.9484
12.800000 91.628 -142.3750
13.150000 91.457 -145.3081
13.200000 91.435 -145.6901
13.400000 91.351 -147.1475
13.600000 91.278 -148.5295
13.800000 91.214 -149.8662
14.000000 91.156 -151.1811
14.300000 91.072 -153.1160
14.500000 91.015 -154.3679
14.750000 90.942 -155.8662
15.000000 90.872 -157.2760
15.250000 90.811 -158.6096
15.500000 90.762 -159.9026
15.750000 90.724 -161.2054
16.000000 90.691 -162.5577
16.250000 90.652 -163.9671
16.500000 90.599 -165.4069
16.750000 90.526 -166.8189
17.000000 90.434 -168.1332
17.250000 90.330 -169.2964
17.500000 90.226 -170.2880
17.750000 90.133 -171.1338
18.000000 90.058 -171.8989
18.250000 90.001 -172.6611
18.500000 89.954 -173.4830
18.750000 89.906 -174.3887
19.000000 89.846 -175.3532
19.250000 89.766 -176.3181
19.500000 89.667 -177.2124
19.750000 89.557 -177.9773
20.000000 89.447 -178.5902
20.299999 89.332 -179.1604
20.600000 89.247 -179.6568
20.900000 89.191 179.7859
21.200001 89.148 179.0732
21.400000 89.118 178.4997
21.799999 89.033 177.1870
22.000000 88.973 176.5049
22.400000 88.821 175.2346
22.700001 88.692 174.4421
23.000000 88.565 173.8059
23.299999 88.452 173.2926
23.600000 88.358 172.8378
24.000000 88.261 172.2028
24.299999 88.202 171.6407
24.700001 88.122 170.7515
25.000000 88.049 170.0150
25.400000 87.925 169.0514
25.799999 87.777 168.2512
26.200001 87.624 167.7055
26.500000 87.523 167.4457
26.900000 87.417 167.1817
27.200001 87.357 166.9532
27.600000 87.287 166.5305
28.000000 87.207 165.9914
28.500000 87.079 165.3013
29.000000 86.931 164.7314
29.500000 86.781 164.2888
30.000000 86.631 163.9416
30.400000 86.515 163.7419
30.700001 86.436 163.6285
31.100000 86.347 163.4632
31.500000 86.273 163.1736
32.000000 86.166 162.5755
32.500000 86.007 161.9303
33.000000 85.811 161.6150
33.500000 85.649 161.7012
34.000000 85.564 161.7715
34.500000 85.510 161.3793
35.000000 85.401 160.6095
35.500000 85.206 160.0046
36.000000 84.985 159.9950
36.500000 84.826 160.4688
37.000000 84.756 160.9125
37.500000 84.726 160.9554
38.200001 84.643 160.5055
38.700001 84.539 160.1600
39.500000 84.343 159.8465
40.000000 84.208 159.7879
40.599998 84.034 159.9784
41.200001 83.884 160.5701
41.799999 83.806 161.3170
42.500000 83.779 161.8050
43.099998 83.731 161.8796
43.700001 83.641 162.0417
44.400002 83.545 162.4945
45.000000 83.483 162.8361
45.500000 83.417 163.0488
46.200001 83.300 163.5383
46.799999 83.226 164.1867
47.500000 83.191 164.8181
48.200001 83.159 165.0973
48.700001 83.116 165.2172
49.400002 83.040 165.4789
50.000000 82.983 165.8092
50.799999 82.936 166.2786
51.500000 82.918 166.5769
52.200001 82.898 166.7573
53.000000 82.862 166.9997
53.799999 82.832 167.3513
54.500000 82.812 167.6825
55.200001 82.793 168.0711
56.000000 82.787 168.5866
57.000000 82.800 169.0756
58.000000 82.795 169.4466
59.000000 82.796 169.8494
60.000000 82.809 170.1082
60.799999 82.819 170.2154
61.500000 82.823 170.2691
62.200001 82.824 170.3544
63.000000 82.835 170.5460
64.000000 82.879 170.7433
65.000000 82.927 170.7974
66.000000 82.965 170.8015
67.000000 82.986 170.8062
68.000000 83.002 170.9034
69.000000 83.026 170.9493
70.000000 83.042 170.9210
71.000000 83.059 170.8911
72.000000 83.080 170.7656
73.000000 83.092 170.6178
74.000000 83.110 170.5109
75.000000 83.137 170.3715
76.199997 83.170 170.1316
77.500000 83.194 169.8266
78.800003 83.211 169.5657
80.000000 83.225 169.3221
81.199997 83.234 169.0765
82.500000 83.244 168.8379
83.800003 83.256 168.5570
85.000000 83.261 168.2458
86.199997 83.259 167.9019
87.500000 83.249 167.5333
88.500000 83.241 167.2540
90.000000 83.226 166.8375
91.199997 83.213 166.5114
92.500000 83.197 166.1693
93.800003 83.180 165.8273
95.000000 83.159 165.5002
96.199997 83.134 165.1867
97.500000 83.105 164.8530
98.800003 83.076 164.5023
100.000000 83.047 164.1611
101.500000 83.007 163.7287
103.000000 82.966 163.3090
104.400002 82.926 162.9263
106.000000 82.877 162.5103
107.500000 82.826 162.1358
109.000000 82.770 161.7937
110.599998 82.710 161.4439
112.000000 82.656 161.1421
113.800003 82.586 160.7559
115.000000 82.538 160.5113
117.199997 82.448 160.0506
118.000000 82.412 159.8851
120.599998 82.294 159.3894
122.000000 82.232 159.1410
124.099998 82.139 158.8010
125.000000 82.099 158.6667
126.500000 82.030 158.4548
128.000000 81.959 158.2565
131.500000 81.789 157.8422
132.000000 81.764 157.7859
134.000000 81.667 157.5689
136.000000 81.567 157.3799
138.000000 81.463 157.2264
140.000000 81.356 157.1191
143.000000 81.200 157.0239
145.000000 81.100 156.9886
147.500000 80.977 156.9531
150.000000 80.851 156.9204
152.500000 80.723 156.9096
155.000000 80.600 156.9468
157.500000 80.481 157.0637
160.000000 80.365 157.2386
162.500000 80.248 157.4500
165.000000 80.136 157.6431
167.500000 80.028 157.8019
170.000000 79.922 157.9824
172.500000 79.819 158.2279
175.000000 79.720 158.5160
177.500000 79.623 158.8143
180.000000 79.526 159.1261
182.500000 79.432 159.4837
185.000000 79.344 159.8553
187.500000 79.263 160.2062
190.000000 79.188 160.5376
192.500000 79.115 160.8739
195.000000 79.046 161.2220
197.500000 78.981 161.5865
200.000000 78.919 161.9666
203.000000 78.848 162.4462
206.000000 78.779 162.9135
209.000000 78.712 163.3628
212.000000 78.649 163.7728
214.000000 78.608 164.0562
218.000000 78.545 164.7111
220.000000 78.526 164.9490
224.000000 78.454 165.2939
227.000000 78.404 165.7874
230.000000 78.373 166.1701
233.000000 78.339 166.5008
236.000000 78.303 166.8280
240.000000 78.251 167.2639
243.000000 78.212 167.6111
247.000000 78.163 168.0433
250.000000 78.124 168.3594
254.000000 78.072 168.7730
258.000000 78.026 169.1397
262.000000 77.984 169.4749
265.000000 77.954 169.7071
269.000000 77.914 169.9870
272.000000 77.886 170.1816
276.000000 77.849 170.4420
280.000000 77.804 170.7308
285.000000 77.740 171.0861
290.000000 77.682 171.4389
295.000000 77.624 171.7564
300.000000 77.573 172.0283
304.000000 77.529 172.2060
307.000000 77.492 172.3595
311.000000 77.443 172.6473
315.000000 77.391 173.0057
320.000000 77.333 173.4913
325.000000 77.283 174.0015
330.000000 77.237 174.4333
335.000000 77.170 174.8175
340.000000 77.093 175.0414
345.000000 77.019 175.3730
350.000000 76.944 175.7629
355.000000 76.872 176.1288
360.000000 76.808 176.5473
