* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:45:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x rock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.256 74.8240
1.015000 58.690 73.5709
1.030000 59.107 72.3280
1.044000 59.483 71.1948
1.060000 59.898 69.9347
1.075000 60.275 68.7869
1.090000 60.639 67.6702
1.106000 61.015 66.5112
1.120000 61.334 65.5222
1.138000 61.732 64.2823
1.150000 61.990 63.4734
1.172000 62.450 62.0225
1.180000 62.614 61.5039
1.206000 63.132 59.8461
1.220000 63.404 58.9675
1.241000 63.805 57.6634
1.250000 63.974 57.1081
1.265000 64.254 56.1859
1.280000 64.531 55.2660
1.315000 65.173 53.1178
1.320000 65.264 52.8098
1.340000 65.630 51.5750
1.360000 65.992 50.3460
1.380000 66.347 49.1419
1.400000 66.693 47.9670
1.430000 67.196 46.2536
1.450000 67.521 45.1390
1.475000 67.917 43.7706
1.500000 68.302 42.4236
1.525000 68.677 41.0915
1.550000 69.044 39.7684
1.575000 69.404 38.4484
1.600000 69.756 37.1262
1.625000 70.103 35.7968
1.650000 70.445 34.4555
1.675000 70.783 33.0996
1.700000 71.116 31.7337
1.725000 71.441 30.3704
1.750000 71.758 29.0175
1.775000 72.067 27.6783
1.800000 72.369 26.3550
1.825000 72.664 25.0483
1.850000 72.952 23.7583
1.875000 73.235 22.4845
1.900000 73.513 21.2256
1.925000 73.785 19.9801
1.950000 74.053 18.7459
1.975000 74.318 17.5209
2.000000 74.578 16.3024
2.030000 74.886 14.8451
2.060000 75.186 13.3916
2.090000 75.479 11.9452
2.120000 75.764 10.5106
2.140000 75.950 9.5624
2.180000 76.313 7.6889
2.200000 76.491 6.7644
2.240000 76.839 4.9411
2.270000 77.093 3.5956
2.300000 77.344 2.2681
2.330000 77.590 0.9567
2.360000 77.832 -0.3423
2.400000 78.146 -2.0656
2.430000 78.375 -3.3533
2.470000 78.673 -5.0580
2.500000 78.890 -6.3237
2.540000 79.173 -7.9895
2.580000 79.448 -9.6269
2.620000 79.716 -11.2332
2.650000 79.914 -12.4171
2.690000 80.173 -13.9702
2.720000 80.363 -15.1223
2.760000 80.610 -16.6496
2.800000 80.850 -18.1655
2.850000 81.141 -20.0371
2.900000 81.423 -21.8754
2.950000 81.697 -23.6742
3.000000 81.965 -25.4300
3.040000 82.174 -26.8062
3.070000 82.328 -27.8275
3.110000 82.530 -29.1786
3.150000 82.726 -30.5170
3.200000 82.964 -32.1683
3.250000 83.197 -33.7917
3.300000 83.425 -35.3837
3.350000 83.648 -36.9427
3.400000 83.867 -38.4733
3.450000 84.081 -39.9834
3.500000 84.289 -41.4747
3.550000 84.493 -42.9463
3.600000 84.692 -44.3972
3.650000 84.889 -45.8266
3.700000 85.082 -47.2351
3.750000 85.272 -48.6256
3.820000 85.531 -50.5474
3.870000 85.712 -51.9035
3.950000 85.996 -54.0457
4.000000 86.169 -55.3686
4.060000 86.373 -56.9427
4.120000 86.574 -58.5049
4.180000 86.770 -60.0559
4.250000 86.994 -61.8510
4.310000 87.180 -63.3778
4.370000 87.363 -64.8959
4.440000 87.571 -66.6622
4.500000 87.744 -68.1736
4.550000 87.886 -69.4290
4.620000 88.078 -71.1767
4.680000 88.237 -72.6648
4.750000 88.417 -74.3951
4.820000 88.591 -76.1278
4.870000 88.710 -77.3642
4.940000 88.872 -79.0858
5.000000 89.005 -80.5475
5.080000 89.174 -82.4792
5.150000 89.314 -84.1671
5.220000 89.446 -85.8504
5.300000 89.589 -87.7524
5.380000 89.723 -89.6191
5.450000 89.832 -91.2323
5.520000 89.933 -92.8359
5.600000 90.041 -94.6465
5.700000 90.164 -96.8514
5.800000 90.274 -98.9922
5.900000 90.372 -101.0883
6.000000 90.459 -103.1217
6.080000 90.522 -104.6910
6.150000 90.573 -106.0279
6.220000 90.619 -107.3357
6.300000 90.667 -108.7921
6.400000 90.723 -110.5471
6.500000 90.775 -112.2305
6.600000 90.823 -113.8527
6.700000 90.869 -115.4201
6.800000 90.914 -116.9332
6.900000 90.959 -118.3956
7.000000 91.003 -119.8209
7.100000 91.048 -121.2193
7.200000 91.094 -122.5914
7.300000 91.141 -123.9439
7.400000 91.187 -125.2897
7.500000 91.233 -126.6339
7.620000 91.287 -128.2445
7.750000 91.341 -129.9943
7.880000 91.390 -131.7583
8.000000 91.428 -133.3928
8.120000 91.459 -135.0274
8.250000 91.482 -136.8023
8.380000 91.495 -138.5638
8.500000 91.496 -140.1671
8.620000 91.488 -141.7492
8.750000 91.469 -143.4192
8.850000 91.447 -144.6667
9.000000 91.404 -146.4776
9.120000 91.363 -147.8622
9.250000 91.314 -149.2948
9.380000 91.261 -150.6619
9.500000 91.211 -151.8650
9.620000 91.161 -153.0146
9.750000 91.109 -154.2124
9.880000 91.059 -155.3675
10.000000 91.015 -156.4027
10.150000 90.963 -157.6752
10.300000 90.915 -158.9323
10.440000 90.871 -160.1037
10.600000 90.821 -161.4508
10.750000 90.772 -162.7214
10.900000 90.718 -164.0008
11.060000 90.654 -165.3671
11.200000 90.591 -166.5541
11.380000 90.500 -168.0577
11.500000 90.433 -169.0335
11.720000 90.299 -170.7527
11.800000 90.246 -171.3497
12.060000 90.068 -173.1743
12.200000 89.970 -174.0807
12.410000 89.821 -175.3432
12.500000 89.758 -175.8523
12.650000 89.655 -176.6619
12.800000 89.554 -177.4315
13.150000 89.328 -179.1120
13.200000 89.297 -179.3425
13.400000 89.172 179.7544
13.600000 89.047 178.8784
13.800000 88.922 178.0321
14.000000 88.793 177.2217
14.300000 88.596 176.0927
14.500000 88.461 175.4087
14.750000 88.292 174.6391
15.000000 88.123 173.9641
15.250000 87.958 173.3770
15.500000 87.797 172.8676
15.750000 87.639 172.4256
16.000000 87.486 172.0439
16.250000 87.335 171.7194
16.500000 87.188 171.4520
16.750000 87.043 171.2430
17.000000 86.902 171.0931
17.250000 86.764 171.0014
17.500000 86.632 170.9654
17.750000 86.506 170.9811
18.000000 86.385 171.0437
18.250000 86.272 171.1475
18.500000 86.165 171.2863
18.750000 86.066 171.4535
19.000000 85.974 171.6430
19.250000 85.888 171.8499
19.500000 85.808 172.0713
19.750000 85.735 172.3062
20.000000 85.667 172.5549
20.299999 85.595 172.8701
20.600000 85.533 173.1964
20.900000 85.483 173.5179
21.200001 85.444 173.8129
21.400000 85.423 173.9845
21.799999 85.388 174.2549
22.000000 85.370 174.3575
22.400000 85.330 174.5313
22.700001 85.296 174.6722
23.000000 85.261 174.8515
23.299999 85.232 175.0762
23.600000 85.213 175.3290
24.000000 85.207 175.6464
24.299999 85.214 175.8201
24.700001 85.230 175.9264
25.000000 85.238 175.9214
25.400000 85.236 175.8583
25.799999 85.223 175.8046
26.200001 85.207 175.8027
26.500000 85.200 175.8242
26.900000 85.201 175.8282
27.200001 85.208 175.7726
27.600000 85.216 175.5918
28.000000 85.210 175.3138
28.500000 85.175 174.9545
29.000000 85.120 174.7393
29.500000 85.075 174.7003
30.000000 85.059 174.6913
30.400000 85.061 174.5861
30.700001 85.060 174.4355
31.100000 85.046 174.1904
31.500000 85.017 173.9925
32.000000 84.982 173.9023
32.500000 84.973 173.9035
33.000000 84.990 173.7854
33.500000 84.998 173.4688
34.000000 84.973 173.1090
34.500000 84.923 172.9207
35.000000 84.881 172.9367
35.500000 84.864 172.9984
36.000000 84.856 172.9710
36.500000 84.837 172.8823
37.000000 84.808 172.8262
37.500000 84.782 172.8027
38.200001 84.748 172.6707
38.700001 84.705 172.5113
39.500000 84.602 172.4502
40.000000 84.548 172.5906
40.599998 84.513 172.7778
41.200001 84.499 172.8313
41.799999 84.485 172.7406
42.500000 84.456 172.5549
43.099998 84.419 172.4303
43.700001 84.381 172.4120
44.400002 84.354 172.5090
45.000000 84.350 172.6046
45.500000 84.354 172.6480
46.200001 84.360 172.6536
46.799999 84.359 172.6445
47.500000 84.351 172.6845
48.200001 84.348 172.7876
48.700001 84.352 172.8461
49.400002 84.358 172.8599
50.000000 84.357 172.8537
50.799999 84.361 172.8391
51.500000 84.369 172.7210
52.200001 84.363 172.5346
53.000000 84.351 172.3887
53.799999 84.354 172.2307
54.500000 84.353 171.9970
55.200001 84.336 171.7936
56.000000 84.317 171.7199
57.000000 84.323 171.7456
58.000000 84.354 171.6522
59.000000 84.372 171.3665
60.000000 84.364 171.1479
60.799999 84.367 171.0222
61.500000 84.371 170.8226
62.200001 84.365 170.5726
63.000000 84.351 170.3243
64.000000 84.340 169.9916
65.000000 84.321 169.5984
66.000000 84.297 169.2397
67.000000 84.273 168.9141
68.000000 84.250 168.5679
69.000000 84.213 168.2255
70.000000 84.174 167.9736
71.000000 84.136 167.6924
72.000000 84.093 167.4531
73.000000 84.064 167.1302
74.000000 84.003 166.6747
75.000000 83.924 166.5167
76.199997 83.887 166.4459
77.500000 83.856 165.8966
78.800003 83.751 165.2419
80.000000 83.625 165.0848
81.199997 83.558 165.1543
82.500000 83.522 164.9361
83.800003 83.485 164.6492
85.000000 83.450 164.3192
86.199997 83.389 164.0901
87.500000 83.326 164.0830
88.500000 83.287 164.0703
90.000000 83.218 163.8830
91.199997 83.138 163.6975
92.500000 83.052 163.6552
93.800003 82.992 163.6257
95.000000 82.939 163.5743
96.199997 82.883 163.5648
97.500000 82.812 163.5670
98.800003 82.734 163.6055
100.000000 82.659 163.5781
101.500000 82.564 163.5148
103.000000 82.492 163.4680
104.400002 82.436 163.3185
106.000000 82.351 163.2844
107.500000 82.274 163.3922
109.000000 82.189 163.5052
110.599998 82.113 163.6104
112.000000 82.061 163.5188
113.800003 81.995 163.3137
115.000000 81.950 163.2148
117.199997 81.853 163.2473
118.000000 81.818 163.3386
120.599998 81.730 163.4196
122.000000 81.674 163.2375
124.099998 81.577 163.0219
125.000000 81.538 162.9931
126.500000 81.477 163.0229
128.000000 81.420 163.1083
131.500000 81.256 163.2649
132.000000 81.230 163.2962
134.000000 81.129 163.3994
136.000000 81.033 163.4291
138.000000 80.933 163.4150
140.000000 80.821 163.4256
143.000000 80.648 163.5728
145.000000 80.540 163.6979
147.500000 80.416 163.8185
150.000000 80.292 163.9241
152.500000 80.165 164.1101
155.000000 80.046 164.3501
157.500000 79.929 164.5276
160.000000 79.802 164.7633
162.500000 79.679 165.0867
165.000000 79.551 165.3969
167.500000 79.419 165.7413
170.000000 79.293 166.1421
172.500000 79.171 166.4944
175.000000 79.038 166.9331
177.500000 78.922 167.4306
180.000000 78.832 167.8135
182.500000 78.742 168.1359
185.000000 78.630 168.5689
187.500000 78.501 169.1178
190.000000 78.379 169.7297
192.500000 78.274 170.3440
195.000000 78.166 170.9030
197.500000 78.037 171.4651
200.000000 77.917 172.0162
203.000000 77.808 172.5974
206.000000 77.715 173.3337
209.000000 77.628 174.1036
212.000000 77.537 174.7993
214.000000 77.466 175.2590
218.000000 77.308 176.3762
220.000000 77.233 176.9363
224.000000 77.119 178.0883
227.000000 77.048 178.8669
230.000000 76.965 179.5852
233.000000 76.902 -179.6448
236.000000 76.862 -178.9008
240.000000 76.789 -177.9273
243.000000 76.701 -177.1211
247.000000 76.556 -176.0791
250.000000 76.461 -175.4502
254.000000 76.369 -174.5390
258.000000 76.277 -173.5242
262.000000 76.185 -172.5327
265.000000 76.126 -171.7565
269.000000 76.041 -170.7405
272.000000 75.982 -170.0155
276.000000 75.899 -169.0435
280.000000 75.815 -168.1500
285.000000 75.726 -166.6030
290.000000 75.581 -165.3533
295.000000 75.546 -164.1857
300.000000 75.496 -162.3620
304.000000 75.483 -161.2187
307.000000 75.487 -160.3251
311.000000 75.473 -159.2653
315.000000 75.454 -158.3966
320.000000 75.414 -157.4518
325.000000 75.378 -156.5749
330.000000 75.332 -155.5304
335.000000 75.280 -154.3754
340.000000 75.237 -153.1091
345.000000 75.192 -151.9347
350.000000 75.156 -150.9261
