* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:58:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x rock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.305 136.6960
1.015000 45.440 127.6520
1.030000 45.662 118.0048
1.044000 45.942 108.8942
1.060000 46.340 98.9636
1.075000 46.783 90.5487
1.090000 47.287 83.1932
1.106000 47.882 76.5091
1.120000 48.447 71.5427
1.138000 49.223 66.1697
1.150000 49.766 63.1075
1.172000 50.803 58.3398
1.180000 51.190 56.8265
1.206000 52.466 52.5262
1.220000 53.157 50.5210
1.241000 54.183 47.8170
1.250000 54.615 46.7484
1.265000 55.319 45.0645
1.280000 55.997 43.4817
1.315000 57.445 40.0777
1.320000 57.634 39.6165
1.340000 58.335 37.8220
1.360000 58.968 36.1144
1.380000 59.565 34.5143
1.400000 60.136 33.0184
1.430000 60.952 30.9402
1.450000 61.471 29.6464
1.475000 62.092 28.1127
1.500000 62.687 26.6543
1.525000 63.257 25.2554
1.550000 63.806 23.9026
1.575000 64.337 22.5842
1.600000 64.851 21.2905
1.625000 65.351 20.0129
1.650000 65.841 18.7441
1.675000 66.321 17.4794
1.700000 66.788 16.2212
1.725000 67.234 14.9803
1.750000 67.659 13.7632
1.775000 68.064 12.5723
1.800000 68.450 11.4084
1.825000 68.820 10.2716
1.850000 69.176 9.1610
1.875000 69.519 8.0753
1.900000 69.852 7.0129
1.925000 70.176 5.9717
1.950000 70.494 4.9496
1.975000 70.807 3.9441
2.000000 71.117 2.9525
2.030000 71.483 1.7762
2.060000 71.837 0.6096
2.090000 72.178 -0.5464
2.120000 72.505 -1.6882
2.140000 72.716 -2.4401
2.180000 73.124 -3.9179
2.200000 73.321 -4.6429
2.240000 73.705 -6.0638
2.270000 73.984 -7.1033
2.300000 74.258 -8.1202
2.330000 74.527 -9.1156
2.360000 74.792 -10.0921
2.400000 75.134 -11.3756
2.430000 75.382 -12.3279
2.470000 75.700 -13.5818
2.500000 75.931 -14.5084
2.540000 76.230 -15.7229
2.580000 76.520 -16.9108
2.620000 76.803 -18.0702
2.650000 77.011 -18.9202
2.690000 77.285 -20.0275
2.720000 77.486 -20.8409
2.760000 77.748 -21.9073
2.800000 78.001 -22.9556
2.850000 78.308 -24.2425
2.900000 78.606 -25.5056
2.950000 78.897 -26.7466
3.000000 79.183 -27.9672
3.040000 79.408 -28.9287
3.070000 79.575 -29.6398
3.110000 79.793 -30.5747
3.150000 80.006 -31.4974
3.200000 80.268 -32.6384
3.250000 80.524 -33.7721
3.300000 80.776 -34.9043
3.350000 81.024 -36.0391
3.400000 81.268 -37.1743
3.450000 81.508 -38.3034
3.500000 81.744 -39.4274
3.550000 81.974 -40.5509
3.600000 82.200 -41.6794
3.650000 82.422 -42.8184
3.700000 82.638 -43.9720
3.750000 82.850 -45.1403
3.820000 83.139 -46.7925
3.870000 83.340 -47.9811
3.950000 83.649 -49.8948
4.000000 83.835 -51.1001
4.060000 84.049 -52.5629
4.120000 84.255 -54.0521
4.180000 84.453 -55.5613
4.250000 84.672 -57.3300
4.310000 84.850 -58.8405
4.370000 85.017 -60.3438
4.440000 85.200 -62.1089
4.500000 85.346 -63.6407
4.550000 85.461 -64.9200
4.620000 85.610 -66.6931
4.680000 85.728 -68.1813
4.750000 85.854 -69.8863
4.820000 85.966 -71.5856
4.870000 86.038 -72.7933
4.940000 86.130 -74.4560
5.000000 86.202 -75.8368
5.080000 86.287 -77.6037
5.150000 86.351 -79.1016
5.220000 86.406 -80.5621
5.300000 86.461 -82.1713
5.380000 86.514 -83.6961
5.450000 86.557 -84.9553
5.520000 86.596 -86.1552
5.600000 86.640 -87.4700
5.700000 86.701 -89.0448
5.800000 86.773 -90.5305
5.900000 86.853 -91.9335
6.000000 86.946 -93.3279
6.080000 87.032 -94.4709
6.150000 87.115 -95.4786
6.220000 87.207 -96.4965
6.300000 87.317 -97.7047
6.400000 87.462 -99.3359
6.500000 87.616 -101.1025
6.600000 87.774 -102.9875
6.700000 87.929 -105.0154
6.800000 88.074 -107.2178
6.900000 88.212 -109.5816
7.000000 88.334 -112.0646
7.100000 88.434 -114.6623
7.200000 88.512 -117.4051
7.300000 88.565 -120.2444
7.400000 88.589 -123.1122
7.500000 88.582 -126.0317
7.620000 88.531 -129.6022
7.750000 88.422 -133.3876
7.880000 88.254 -137.0778
8.000000 88.048 -140.3679
8.120000 87.795 -143.3935
8.250000 87.469 -146.3614
8.380000 87.103 -148.9324
8.500000 86.737 -150.8109
8.620000 86.352 -152.1810
8.750000 85.952 -153.0751
8.850000 85.669 -153.2861
9.000000 85.306 -152.8809
9.120000 85.114 -152.1324
9.250000 85.020 -150.9949
9.380000 85.039 -149.8072
9.500000 85.155 -148.9404
9.620000 85.355 -148.3670
9.750000 85.623 -148.2144
9.880000 85.915 -148.6199
10.000000 86.192 -149.4192
10.150000 86.508 -150.9065
10.300000 86.775 -152.8510
10.440000 86.971 -154.8863
10.600000 87.122 -157.3646
10.750000 87.198 -159.6841
10.900000 87.214 -161.8606
11.060000 87.178 -163.9576
11.200000 87.116 -165.4998
11.380000 87.012 -167.0662
11.500000 86.945 -167.8475
11.720000 86.851 -168.7977
11.800000 86.833 -169.0437
12.060000 86.845 -169.6778
12.200000 86.889 -170.0831
12.410000 86.984 -170.9238
12.500000 87.025 -171.4019
12.650000 87.084 -172.3572
12.800000 87.117 -173.4695
13.150000 87.042 -176.3860
13.200000 87.012 -176.7921
13.400000 86.839 -178.2843
13.600000 86.601 -179.3849
13.800000 86.324 -179.9603
14.000000 86.048 -179.9276
14.300000 85.736 -178.9591
14.500000 85.638 -178.0562
14.750000 85.648 -177.2222
15.000000 85.747 -177.2274
15.250000 85.846 -178.2700
15.500000 85.860 179.7595
15.750000 85.730 177.1910
16.000000 85.423 174.4802
16.250000 84.942 172.1179
16.500000 84.315 170.6030
16.750000 83.614 170.3843
17.000000 82.954 171.6575
17.250000 82.465 174.1641
17.500000 82.231 177.1375
17.750000 82.241 179.6086
18.000000 82.396 -179.0262
18.250000 82.580 -178.8327
18.500000 82.711 -179.5129
18.750000 82.752 179.3827
19.000000 82.710 178.2729
19.250000 82.618 177.4459
19.500000 82.519 177.0297
19.750000 82.456 176.9694
20.000000 82.450 177.0778
20.299999 82.510 177.1360
20.600000 82.602 176.9266
20.900000 82.675 176.4939
21.200001 82.704 176.0565
21.400000 82.701 175.8853
21.799999 82.678 176.0121
22.000000 82.679 176.2978
22.400000 82.730 177.0753
22.700001 82.804 177.6140
23.000000 82.884 177.9985
23.299999 82.948 178.2476
23.600000 82.985 178.4487
24.000000 83.001 178.7743
24.299999 83.003 179.0834
24.700001 83.005 179.5049
25.000000 83.006 179.7627
25.400000 82.997 179.9891
25.799999 82.975 -179.8964
26.200001 82.943 -179.8665
26.500000 82.917 -179.9031
26.900000 82.883 179.9555
27.200001 82.855 179.7869
27.600000 82.817 179.5128
28.000000 82.785 179.2180
28.500000 82.762 178.8195
29.000000 82.759 178.3555
29.500000 82.764 177.8659
30.000000 82.774 177.4440
30.400000 82.793 177.1650
30.700001 82.813 176.9629
31.100000 82.840 176.6768
31.500000 82.856 176.3895
32.000000 82.851 176.1273
32.500000 82.834 176.0519
33.000000 82.822 176.1010
33.500000 82.815 176.1291
34.000000 82.799 176.0686
34.500000 82.764 175.9677
35.000000 82.718 175.8845
35.500000 82.674 175.8016
36.000000 82.635 175.6564
36.500000 82.597 175.4259
37.000000 82.554 175.1585
37.500000 82.510 174.9182
38.200001 82.463 174.6439
38.700001 82.440 174.4628
39.500000 82.406 174.2409
40.000000 82.389 174.1909
40.599998 82.376 174.1893
41.200001 82.363 174.2126
41.799999 82.347 174.2844
42.500000 82.334 174.3817
43.099998 82.320 174.3656
43.700001 82.283 174.3232
44.400002 82.229 174.4827
45.000000 82.221 174.7100
45.500000 82.241 174.7372
46.200001 82.256 174.4673
46.799999 82.236 174.2371
47.500000 82.215 174.2201
48.200001 82.234 174.2798
48.700001 82.259 174.2289
49.400002 82.284 174.0666
50.000000 82.293 173.9585
50.799999 82.304 173.8896
51.500000 82.316 173.8291
52.200001 82.325 173.7379
53.000000 82.331 173.5890
53.799999 82.325 173.4186
54.500000 82.316 173.3250
55.200001 82.320 173.2487
56.000000 82.332 173.0296
57.000000 82.316 172.7299
58.000000 82.321 172.6396
59.000000 82.345 172.2279
60.000000 82.311 171.8268
60.799999 82.299 171.7410
61.500000 82.306 171.5648
62.200001 82.302 171.3312
63.000000 82.300 171.2108
64.000000 82.343 170.9139
65.000000 82.352 170.2559
66.000000 82.319 169.8217
67.000000 82.307 169.5045
68.000000 82.290 169.0831
69.000000 82.261 168.7053
70.000000 82.232 168.3676
71.000000 82.209 168.0501
72.000000 82.191 167.6474
73.000000 82.157 167.1937
74.000000 82.117 166.8424
75.000000 82.088 166.5377
76.199997 82.063 166.0989
77.500000 82.017 165.5195
78.800003 81.937 165.0679
80.000000 81.863 164.8732
81.199997 81.806 164.7183
82.500000 81.743 164.4355
83.800003 81.669 164.1894
85.000000 81.614 163.9918
86.199997 81.561 163.7402
87.500000 81.505 163.4993
88.500000 81.459 163.2904
90.000000 81.374 163.0936
91.199997 81.314 162.9781
92.500000 81.244 162.7981
93.800003 81.175 162.6577
95.000000 81.123 162.5193
96.199997 81.073 162.3246
97.500000 81.016 162.1856
98.800003 80.969 162.1018
100.000000 80.924 161.9788
101.500000 80.854 161.8819
103.000000 80.798 161.9106
104.400002 80.763 161.8398
106.000000 80.721 161.6683
107.500000 80.668 161.4838
109.000000 80.592 161.4296
110.599998 80.512 161.5756
112.000000 80.456 161.6798
113.800003 80.385 161.6088
115.000000 80.334 161.5022
117.199997 80.250 161.2899
118.000000 80.222 161.2246
120.599998 80.129 161.0975
122.000000 80.076 161.0605
124.099998 79.989 160.9529
125.000000 79.950 160.9056
126.500000 79.889 160.8304
128.000000 79.835 160.7614
131.500000 79.717 160.6439
132.000000 79.699 160.6250
134.000000 79.621 160.5673
136.000000 79.541 160.4810
138.000000 79.452 160.4119
140.000000 79.359 160.4329
143.000000 79.225 160.4845
145.000000 79.131 160.4812
147.500000 79.026 160.5096
150.000000 78.931 160.4496
152.500000 78.829 160.3737
155.000000 78.726 160.3849
157.500000 78.618 160.5511
160.000000 78.507 160.8376
162.500000 78.385 161.0604
165.000000 78.266 161.2796
167.500000 78.159 161.4133
170.000000 78.043 161.7021
172.500000 77.938 162.2277
175.000000 77.840 162.8101
177.500000 77.771 163.2137
180.000000 77.631 162.9412
182.500000 77.469 163.3868
185.000000 77.408 163.8542
187.500000 77.360 164.0728
190.000000 77.262 164.3152
192.500000 77.158 164.7059
195.000000 77.092 165.0933
197.500000 77.055 165.5319
200.000000 76.993 166.0842
203.000000 76.864 166.8334
206.000000 76.741 167.2739
209.000000 76.671 167.6351
212.000000 76.626 168.2318
214.000000 76.583 168.6376
218.000000 76.458 169.2360
220.000000 76.394 169.5876
224.000000 76.293 170.3856
227.000000 76.238 170.9281
230.000000 76.183 171.5245
233.000000 76.117 172.2554
236.000000 76.052 172.9518
240.000000 75.982 173.7621
243.000000 75.934 174.2762
247.000000 75.878 174.9391
250.000000 75.847 175.5101
254.000000 75.795 176.3190
258.000000 75.728 177.1624
262.000000 75.669 177.9425
265.000000 75.627 178.4619
269.000000 75.591 179.2086
272.000000 75.574 179.7391
276.000000 75.534 -179.5718
280.000000 75.471 -178.7937
285.000000 75.383 -177.8901
290.000000 75.313 -177.0453
295.000000 75.257 -176.1331
300.000000 75.211 -175.2235
304.000000 75.185 -174.4807
307.000000 75.168 -173.8949
311.000000 75.149 -173.0786
315.000000 75.136 -172.3063
320.000000 75.144 -171.3366
325.000000 75.144 -170.4751
330.000000 75.129 -169.6611
335.000000 75.113 -168.9795
340.000000 75.075 -168.4100
345.000000 75.038 -167.7236
