* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:48:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x rock anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.918 -170.9787
1.015000 55.774 -172.2155
1.030000 55.620 -173.6627
1.044000 55.464 -175.2426
1.060000 55.271 -177.3660
1.075000 55.079 -179.7184
1.090000 54.881 177.5119
1.106000 54.665 174.0052
1.120000 54.477 170.3748
1.138000 54.240 164.7741
1.150000 54.087 160.3525
1.172000 53.826 150.5873
1.180000 53.738 146.4663
1.206000 53.490 131.1300
1.220000 53.384 122.0126
1.241000 53.269 108.2311
1.250000 53.238 102.5892
1.265000 53.213 93.8458
1.280000 53.224 86.0856
1.315000 53.414 71.7955
1.320000 53.461 70.1345
1.340000 53.709 64.2652
1.360000 54.060 59.4774
1.380000 54.520 55.6065
1.400000 55.084 52.4526
1.430000 56.092 48.6881
1.450000 56.855 46.6393
1.475000 57.885 44.4425
1.500000 58.977 42.5393
1.525000 60.105 40.8456
1.550000 61.244 39.3012
1.575000 62.366 37.8628
1.600000 63.448 36.4987
1.625000 64.464 35.1861
1.650000 65.390 33.9085
1.675000 66.208 32.6603
1.700000 66.930 31.4657
1.725000 67.590 30.3604
1.750000 68.204 29.3404
1.775000 68.778 28.3877
1.800000 69.316 27.4856
1.825000 69.823 26.6202
1.850000 70.304 25.7795
1.875000 70.764 24.9541
1.900000 71.206 24.1357
1.925000 71.636 23.3177
1.950000 72.058 22.4944
1.975000 72.477 21.6613
2.000000 72.896 20.8163
2.030000 73.398 19.7958
2.060000 73.886 18.7972
2.090000 74.355 17.8318
2.120000 74.805 16.8938
2.140000 75.095 16.2797
2.180000 75.654 15.0686
2.200000 75.925 14.4676
2.240000 76.450 13.2657
2.270000 76.833 12.3582
2.300000 77.209 11.4402
2.330000 77.579 10.5084
2.360000 77.943 9.5640
2.400000 78.416 8.3053
2.430000 78.758 7.3716
2.470000 79.198 6.1403
2.500000 79.518 5.2248
2.540000 79.931 4.0103
2.580000 80.331 2.7979
2.620000 80.720 1.5817
2.650000 81.005 0.6636
2.690000 81.378 -0.5712
2.720000 81.651 -1.5032
2.760000 82.004 -2.7466
2.800000 82.346 -3.9865
2.850000 82.756 -5.5292
2.900000 83.151 -7.0643
2.950000 83.532 -8.5942
3.000000 83.901 -10.1238
3.040000 84.188 -11.3517
3.070000 84.397 -12.2769
3.110000 84.668 -13.5146
3.150000 84.931 -14.7534
3.200000 85.247 -16.2978
3.250000 85.552 -17.8334
3.300000 85.845 -19.3582
3.350000 86.130 -20.8736
3.400000 86.404 -22.3887
3.450000 86.668 -23.9119
3.500000 86.920 -25.4382
3.550000 87.162 -26.9598
3.600000 87.396 -28.4702
3.650000 87.620 -29.9653
3.700000 87.838 -31.4466
3.750000 88.046 -32.9252
3.820000 88.324 -35.0034
3.870000 88.512 -36.4861
3.950000 88.797 -38.8363
4.000000 88.967 -40.2834
4.060000 89.162 -42.0011
4.120000 89.348 -43.7163
4.180000 89.523 -45.4321
4.250000 89.716 -47.4223
4.310000 89.873 -49.1072
4.370000 90.024 -50.7683
4.440000 90.190 -52.6899
4.500000 90.323 -54.3347
4.550000 90.429 -55.7009
4.620000 90.570 -57.5983
4.680000 90.685 -59.2042
4.750000 90.812 -61.0570
4.820000 90.932 -62.9019
4.870000 91.013 -64.2163
4.940000 91.120 -66.0471
5.000000 91.208 -67.6032
5.080000 91.320 -69.6594
5.150000 91.412 -71.4515
5.220000 91.498 -73.2406
5.300000 91.592 -75.2781
5.380000 91.680 -77.3047
5.450000 91.754 -79.0736
5.520000 91.824 -80.8444
5.600000 91.899 -82.8698
5.700000 91.988 -85.3998
5.800000 92.072 -87.9348
5.900000 92.149 -90.4844
6.000000 92.221 -93.0430
6.080000 92.275 -95.0951
6.150000 92.320 -96.9012
6.220000 92.362 -98.7179
6.300000 92.407 -100.8018
6.400000 92.459 -103.4114
6.500000 92.506 -106.0375
6.600000 92.548 -108.6818
6.700000 92.586 -111.3275
6.800000 92.618 -113.9745
6.900000 92.646 -116.6332
7.000000 92.670 -119.2887
7.100000 92.690 -121.9285
7.200000 92.706 -124.5627
7.300000 92.718 -127.1869
7.400000 92.727 -129.7832
7.500000 92.733 -132.3524
7.620000 92.737 -135.4052
7.750000 92.739 -138.6508
7.880000 92.739 -141.8287
8.000000 92.738 -144.7031
8.120000 92.736 -147.5067
8.250000 92.736 -150.4669
8.380000 92.736 -153.3462
8.500000 92.738 -155.9270
8.620000 92.742 -158.4373
8.750000 92.749 -161.0782
8.850000 92.756 -163.0543
9.000000 92.768 -165.9318
9.120000 92.778 -168.1608
9.250000 92.791 -170.5053
9.380000 92.803 -172.7773
9.500000 92.813 -174.8112
9.620000 92.822 -176.7859
9.750000 92.829 -178.8557
9.880000 92.832 179.1470
10.000000 92.831 177.3674
10.150000 92.825 175.2355
10.300000 92.812 173.2058
10.440000 92.795 171.4068
10.600000 92.768 169.4653
10.750000 92.737 167.7535
10.900000 92.700 166.1463
11.060000 92.657 164.5400
11.200000 92.615 163.2200
11.380000 92.556 161.6301
11.500000 92.514 160.6285
11.720000 92.431 158.8993
11.800000 92.399 158.2997
12.060000 92.282 156.4446
12.200000 92.210 155.4991
12.410000 92.089 154.1486
12.500000 92.032 153.5959
12.650000 91.929 152.7116
12.800000 91.816 151.8788
13.150000 91.514 150.1658
13.200000 91.467 149.9504
13.400000 91.270 149.1663
13.600000 91.063 148.5082
13.800000 90.849 147.9713
14.000000 90.631 147.5443
14.300000 90.301 147.0723
14.500000 90.080 146.8445
14.750000 89.804 146.6315
15.000000 89.525 146.4843
15.250000 89.244 146.4006
15.500000 88.961 146.3844
15.750000 88.680 146.4377
16.000000 88.404 146.5520
16.250000 88.138 146.7057
16.500000 87.882 146.8721
16.750000 87.635 147.0269
17.000000 87.393 147.1631
17.250000 87.153 147.2961
17.500000 86.912 147.4595
17.750000 86.675 147.6956
18.000000 86.446 148.0372
18.250000 86.236 148.4912
18.500000 86.053 149.0325
18.750000 85.903 149.6051
19.000000 85.786 150.1398
19.250000 85.696 150.5793
19.500000 85.622 150.8928
19.750000 85.554 151.0851
20.000000 85.482 151.1927
20.299999 85.382 151.2885
20.600000 85.268 151.4437
20.900000 85.147 151.7375
21.200001 85.029 152.2095
21.400000 84.958 152.6214
21.799999 84.849 153.6147
22.000000 84.815 154.1472
22.400000 84.787 155.1345
22.700001 84.790 155.6956
23.000000 84.795 156.0402
23.299999 84.784 156.1790
23.600000 84.740 156.1949
24.000000 84.619 156.2611
24.299999 84.496 156.5236
24.700001 84.334 157.2863
25.000000 84.250 158.0882
25.400000 84.216 159.1270
25.799999 84.247 159.7331
26.200001 84.279 159.7577
26.500000 84.269 159.5168
26.900000 84.197 159.1705
27.200001 84.118 159.0739
27.600000 84.022 159.2399
28.000000 83.976 159.5776
28.500000 83.987 159.8167
29.000000 84.008 159.6655
29.500000 83.989 159.3901
30.000000 83.948 159.3152
30.400000 83.926 159.4085
30.700001 83.921 159.4928
31.100000 83.920 159.5518
31.500000 83.908 159.5567
32.000000 83.870 159.6046
32.500000 83.822 159.8044
33.000000 83.788 160.0834
33.500000 83.764 160.2787
34.000000 83.733 160.3283
34.500000 83.680 160.3099
35.000000 83.609 160.3292
35.500000 83.535 160.4271
36.000000 83.469 160.5775
36.500000 83.417 160.7333
37.000000 83.376 160.8613
37.500000 83.343 160.9491
38.200001 83.302 161.0128
38.700001 83.270 161.0427
39.500000 83.209 161.1818
40.000000 83.171 161.3901
40.599998 83.144 161.7205
41.200001 83.136 161.9766
41.799999 83.121 162.0714
42.500000 83.066 162.1535
43.099998 83.003 162.3887
43.700001 82.956 162.7432
44.400002 82.927 163.1058
45.000000 82.909 163.3300
45.500000 82.896 163.4935
46.200001 82.889 163.6848
46.799999 82.889 163.7759
47.500000 82.885 163.8285
48.200001 82.876 163.9008
48.700001 82.872 163.9717
49.400002 82.866 164.0841
50.000000 82.861 164.2057
50.799999 82.861 164.4040
51.500000 82.872 164.5374
52.200001 82.883 164.5738
53.000000 82.883 164.5425
53.799999 82.872 164.5297
54.500000 82.863 164.5554
55.200001 82.860 164.5925
56.000000 82.865 164.6164
57.000000 82.881 164.5707
58.000000 82.896 164.4300
59.000000 82.902 164.2300
60.000000 82.894 164.0619
60.799999 82.890 163.9829
61.500000 82.892 163.8799
62.200001 82.888 163.7216
63.000000 82.869 163.5750
64.000000 82.853 163.4957
65.000000 82.852 163.2901
66.000000 82.827 162.9628
67.000000 82.787 162.7643
68.000000 82.765 162.6194
69.000000 82.748 162.3646
70.000000 82.718 162.0892
71.000000 82.682 161.8755
72.000000 82.645 161.6973
73.000000 82.609 161.5415
74.000000 82.575 161.3649
75.000000 82.537 161.1550
76.199997 82.489 160.8862
77.500000 82.432 160.5670
78.800003 82.371 160.3341
80.000000 82.328 160.1956
81.199997 82.293 159.9962
82.500000 82.237 159.7559
83.800003 82.168 159.6152
85.000000 82.108 159.5576
86.199997 82.056 159.4792
87.500000 82.001 159.3349
88.500000 81.954 159.2201
90.000000 81.883 159.1020
91.199997 81.827 159.0513
92.500000 81.767 159.0321
93.800003 81.708 159.0425
95.000000 81.656 159.0619
96.199997 81.604 159.0607
97.500000 81.547 159.0445
98.800003 81.494 159.0333
100.000000 81.451 159.0103
101.500000 81.400 158.9553
103.000000 81.347 158.9053
104.400002 81.295 158.8910
106.000000 81.234 158.9139
107.500000 81.179 158.9459
109.000000 81.127 158.9531
110.599998 81.072 158.9451
112.000000 81.025 158.9387
113.800003 80.970 158.9438
115.000000 80.935 158.9314
117.199997 80.869 158.8848
118.000000 80.844 158.8662
120.599998 80.768 158.8159
122.000000 80.730 158.7803
124.099998 80.670 158.7101
125.000000 80.644 158.6908
126.500000 80.602 158.6622
128.000000 80.563 158.6030
131.500000 80.460 158.3902
132.000000 80.444 158.3704
134.000000 80.376 158.3399
136.000000 80.305 158.3586
138.000000 80.231 158.3679
140.000000 80.157 158.3267
143.000000 80.053 158.2044
145.000000 79.986 158.1533
147.500000 79.904 158.1323
150.000000 79.815 158.1153
152.500000 79.724 158.0948
155.000000 79.631 158.0828
157.500000 79.533 158.1597
160.000000 79.440 158.2635
162.500000 79.348 158.2869
165.000000 79.253 158.3205
167.500000 79.161 158.4429
170.000000 79.070 158.6148
172.500000 78.978 158.7775
175.000000 78.893 158.9011
177.500000 78.815 159.0184
180.000000 78.739 159.1729
182.500000 78.660 159.3763
185.000000 78.579 159.6088
187.500000 78.496 159.8562
190.000000 78.415 160.1053
192.500000 78.337 160.3640
195.000000 78.265 160.6144
197.500000 78.195 160.8453
200.000000 78.125 161.0966
203.000000 78.044 161.4465
206.000000 77.964 161.8336
209.000000 77.890 162.2058
212.000000 77.826 162.5178
214.000000 77.785 162.7122
218.000000 77.695 163.1648
220.000000 77.649 163.4407
224.000000 77.561 163.9796
227.000000 77.495 164.3225
230.000000 77.431 164.6573
233.000000 77.372 165.0159
236.000000 77.312 165.3842
240.000000 77.238 165.8574
243.000000 77.191 166.1991
247.000000 77.128 166.6113
250.000000 77.083 166.9408
254.000000 77.031 167.3961
258.000000 76.982 167.8035
262.000000 76.934 168.2112
265.000000 76.901 168.5393
269.000000 76.858 168.9351
272.000000 76.826 169.1847
276.000000 76.782 169.5254
280.000000 76.731 169.9392
285.000000 76.663 170.4465
290.000000 76.601 170.8719
295.000000 76.545 171.3314
300.000000 76.492 171.9155
304.000000 76.452 172.3979
307.000000 76.431 172.7549
311.000000 76.405 173.2064
315.000000 76.379 173.6411
320.000000 76.362 174.1533
325.000000 76.338 174.5475
330.000000 76.309 174.8626
335.000000 76.291 175.1725
340.000000 76.268 175.5259
345.000000 76.242 175.9346
350.000000 76.212 176.3932
355.000000 76.195 176.9105
360.000000 76.194 177.3433
365.000000 76.190 177.6891
370.000000 76.179 178.0214
