* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 7:57:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ceramic x rock anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.537 45.7640
1.015000 41.872 44.2595
1.030000 42.267 43.0841
1.044000 42.688 42.2294
1.060000 43.229 41.4604
1.075000 43.788 40.8830
1.090000 44.390 40.4037
1.106000 45.075 39.9682
1.120000 45.705 39.6320
1.138000 46.550 39.2399
1.150000 47.130 38.9947
1.172000 48.219 38.5626
1.180000 48.620 38.4077
1.206000 49.930 37.9012
1.220000 50.632 37.6218
1.241000 51.668 37.1882
1.250000 52.103 36.9959
1.265000 52.810 36.6658
1.280000 53.492 36.3228
1.315000 54.954 35.4684
1.320000 55.145 35.3403
1.340000 55.862 34.8173
1.360000 56.512 34.3045
1.380000 57.116 33.8386
1.400000 57.684 33.4188
1.430000 58.477 32.8465
1.450000 58.971 32.4857
1.475000 59.554 32.0414
1.500000 60.103 31.5914
1.525000 60.626 31.1249
1.550000 61.126 30.6335
1.575000 61.610 30.1112
1.600000 62.083 29.5537
1.625000 62.551 28.9578
1.650000 63.020 28.3224
1.675000 63.493 27.6514
1.700000 63.965 26.9698
1.725000 64.425 26.3110
1.750000 64.871 25.6788
1.775000 65.302 25.0652
1.800000 65.721 24.4620
1.825000 66.128 23.8624
1.850000 66.524 23.2601
1.875000 66.911 22.6503
1.900000 67.289 22.0283
1.925000 67.660 21.3906
1.950000 68.026 20.7340
1.975000 68.386 20.0562
2.000000 68.743 19.3562
2.030000 69.165 18.4963
2.060000 69.577 17.6409
2.090000 69.978 16.8011
2.120000 70.367 15.9739
2.140000 70.622 15.4268
2.180000 71.117 14.3364
2.200000 71.359 13.7903
2.240000 71.833 12.6899
2.270000 72.180 11.8530
2.300000 72.520 11.0021
2.330000 72.856 10.1349
2.360000 73.185 9.2527
2.400000 73.615 8.0703
2.430000 73.927 7.1881
2.470000 74.333 6.0193
2.500000 74.629 5.1472
2.540000 75.014 3.9880
2.580000 75.389 2.8295
2.620000 75.754 1.6678
2.650000 76.023 0.7921
2.690000 76.374 -0.3840
2.720000 76.631 -1.2714
2.760000 76.965 -2.4564
2.800000 77.289 -3.6390
2.850000 77.682 -5.1098
2.900000 78.060 -6.5696
2.950000 78.427 -8.0180
3.000000 78.783 -9.4570
3.040000 79.061 -10.6052
3.070000 79.263 -11.4675
3.110000 79.527 -12.6184
3.150000 79.783 -13.7672
3.200000 80.093 -15.1934
3.250000 80.392 -16.6034
3.300000 80.682 -17.9927
3.350000 80.964 -19.3606
3.400000 81.238 -20.7149
3.450000 81.501 -22.0654
3.500000 81.755 -23.4089
3.550000 82.001 -24.7382
3.600000 82.239 -26.0467
3.650000 82.470 -27.3293
3.700000 82.695 -28.5853
3.750000 82.914 -29.8227
3.820000 83.207 -31.5365
3.870000 83.409 -32.7439
3.950000 83.720 -34.6340
4.000000 83.910 -35.7834
4.060000 84.131 -37.1294
4.120000 84.346 -38.4482
4.180000 84.555 -39.7450
4.250000 84.790 -41.2290
4.310000 84.988 -42.4742
4.370000 85.183 -43.6929
4.440000 85.407 -45.0815
4.500000 85.594 -46.2474
4.550000 85.748 -47.2056
4.620000 85.961 -48.5317
4.680000 86.141 -49.6573
4.750000 86.350 -50.9567
4.820000 86.558 -52.2374
4.870000 86.705 -53.1442
4.940000 86.908 -54.4108
5.000000 87.082 -55.5010
5.080000 87.312 -56.9643
5.150000 87.512 -58.2472
5.220000 87.710 -59.5334
5.300000 87.933 -61.0180
5.380000 88.154 -62.5293
5.450000 88.343 -63.8744
5.520000 88.531 -65.2360
5.600000 88.741 -66.8113
5.700000 88.995 -68.8154
5.800000 89.240 -70.8677
5.900000 89.476 -72.9630
6.000000 89.701 -75.0848
6.080000 89.872 -76.7999
6.150000 90.015 -78.3206
6.220000 90.152 -79.8569
6.300000 90.301 -81.6194
6.400000 90.475 -83.8184
6.500000 90.636 -86.0258
6.600000 90.785 -88.2404
6.700000 90.921 -90.4343
6.800000 91.046 -92.6021
6.900000 91.159 -94.7573
7.000000 91.263 -96.8848
7.100000 91.358 -98.9686
7.200000 91.445 -101.0176
7.300000 91.525 -103.0349
7.400000 91.601 -105.0113
7.500000 91.672 -106.9458
7.620000 91.753 -109.2241
7.750000 91.838 -111.6461
7.880000 91.922 -114.0238
8.000000 91.999 -116.1926
8.120000 92.075 -118.3511
8.250000 92.158 -120.6834
8.380000 92.238 -123.0195
8.500000 92.309 -125.1914
8.620000 92.377 -127.3793
8.750000 92.444 -129.7629
8.850000 92.490 -131.6104
9.000000 92.547 -134.3956
9.120000 92.582 -136.6171
9.250000 92.607 -139.0190
9.380000 92.618 -141.3939
9.500000 92.617 -143.5424
9.620000 92.604 -145.6497
9.750000 92.579 -147.8622
9.880000 92.543 -149.9863
10.000000 92.503 -151.8693
10.150000 92.447 -154.1011
10.300000 92.387 -156.1957
10.440000 92.333 -158.0400
10.600000 92.276 -160.0231
10.750000 92.229 -161.7919
10.900000 92.193 -163.5009
11.060000 92.163 -165.2855
11.200000 92.143 -166.8476
11.380000 92.121 -168.8745
11.500000 92.105 -170.2512
11.720000 92.066 -172.8313
11.800000 92.046 -173.7820
12.060000 91.951 -176.8926
12.200000 91.878 -178.5425
12.410000 91.737 179.0632
12.500000 91.666 178.0874
12.650000 91.533 176.5425
12.800000 91.386 175.1192
13.150000 91.009 172.3483
13.200000 90.954 172.0165
13.400000 90.735 170.8399
13.600000 90.527 169.8674
13.800000 90.333 169.0486
14.000000 90.156 168.3211
14.300000 89.910 167.2980
14.500000 89.753 166.6214
14.750000 89.552 165.7728
15.000000 89.341 164.9520
15.250000 89.116 164.2043
15.500000 88.880 163.5687
15.750000 88.640 163.0668
16.000000 88.401 162.6949
16.250000 88.169 162.4343
16.500000 87.944 162.2612
16.750000 87.728 162.1537
17.000000 87.521 162.0975
17.250000 87.322 162.0815
17.500000 87.134 162.0949
17.750000 86.955 162.1263
18.000000 86.784 162.1669
18.250000 86.620 162.2162
18.500000 86.463 162.2825
18.750000 86.312 162.3800
19.000000 86.171 162.5162
19.250000 86.045 162.6792
19.500000 85.937 162.8348
19.750000 85.846 162.9334
20.000000 85.765 162.9314
20.299999 85.666 162.7831
20.600000 85.543 162.5466
20.900000 85.387 162.3817
21.200001 85.206 162.4768
21.400000 85.085 162.7507
21.799999 84.895 163.7756
22.000000 84.845 164.4149
22.400000 84.841 165.5308
22.700001 84.886 165.9702
23.000000 84.924 166.0265
23.299999 84.922 165.8506
23.600000 84.873 165.6768
24.000000 84.767 165.7584
24.299999 84.701 166.0908
24.700001 84.670 166.6205
25.000000 84.683 166.8339
25.400000 84.697 166.7140
25.799999 84.652 166.3234
26.200001 84.543 166.0599
26.500000 84.448 166.1105
26.900000 84.353 166.4520
27.200001 84.323 166.7316
27.600000 84.319 166.8757
28.000000 84.314 166.6804
28.500000 84.256 166.2203
29.000000 84.155 165.9134
29.500000 84.059 165.8603
30.000000 83.987 165.9276
30.400000 83.942 166.0281
30.700001 83.918 166.1396
31.100000 83.908 166.3088
31.500000 83.927 166.3901
32.000000 83.967 166.1829
32.500000 83.972 165.6509
33.000000 83.912 165.1084
33.500000 83.811 164.8820
34.000000 83.721 165.0186
34.500000 83.670 165.2997
35.000000 83.649 165.5009
35.500000 83.633 165.5546
36.000000 83.607 165.5176
36.500000 83.569 165.4811
37.000000 83.526 165.5027
37.500000 83.490 165.5651
38.200001 83.454 165.5685
38.700001 83.417 165.4908
39.500000 83.328 165.5448
40.000000 83.286 165.7805
40.599998 83.276 166.0350
41.200001 83.276 166.0385
41.799999 83.244 165.9248
42.500000 83.180 165.9981
43.099998 83.144 166.2395
43.700001 83.132 166.4456
44.400002 83.123 166.5537
45.000000 83.111 166.5901
45.500000 83.097 166.6057
46.200001 83.068 166.6434
46.799999 83.040 166.7495
47.500000 83.019 166.9503
48.200001 83.013 167.1255
48.700001 83.009 167.2134
49.400002 83.003 167.3235
50.000000 82.999 167.4122
50.799999 82.994 167.4983
51.500000 82.988 167.5574
52.200001 82.984 167.5986
53.000000 82.980 167.6176
53.799999 82.980 167.6260
54.500000 82.986 167.5751
55.200001 82.987 167.4746
56.000000 82.985 167.3922
57.000000 82.996 167.2103
58.000000 82.978 167.0027
59.000000 82.978 167.0678
60.000000 83.017 166.8485
60.799999 83.014 166.4958
61.500000 82.995 166.2994
62.200001 82.980 166.1818
63.000000 82.968 166.0574
64.000000 82.964 165.9337
65.000000 82.976 165.6800
66.000000 82.966 165.2667
67.000000 82.931 164.9762
68.000000 82.903 164.7828
69.000000 82.876 164.5691
70.000000 82.846 164.3449
71.000000 82.809 164.0861
72.000000 82.761 163.8444
73.000000 82.714 163.6474
74.000000 82.671 163.4510
75.000000 82.631 163.2151
76.199997 82.578 162.9211
77.500000 82.525 162.6520
78.800003 82.469 162.3288
80.000000 82.400 162.1067
81.199997 82.338 162.0099
82.500000 82.280 161.9078
83.800003 82.225 161.7752
85.000000 82.172 161.6321
86.199997 82.118 161.5001
87.500000 82.054 161.3380
88.500000 81.999 161.2576
90.000000 81.921 161.1957
91.199997 81.860 161.1428
92.500000 81.792 161.0969
93.800003 81.722 161.0827
95.000000 81.661 161.0961
96.199997 81.607 161.1352
97.500000 81.560 161.1480
98.800003 81.516 161.0922
100.000000 81.472 161.0215
101.500000 81.414 160.9784
103.000000 81.359 161.0067
104.400002 81.311 161.0605
106.000000 81.257 161.1169
107.500000 81.206 161.1399
109.000000 81.154 161.1495
110.599998 81.103 161.1499
112.000000 81.062 161.1354
113.800003 81.009 161.1287
115.000000 80.974 161.1373
117.199997 80.907 161.1627
118.000000 80.882 161.1666
120.599998 80.796 161.1624
122.000000 80.752 161.1787
124.099998 80.690 161.1499
125.000000 80.661 161.1233
126.500000 80.609 161.1033
128.000000 80.557 161.1241
131.500000 80.440 161.1853
132.000000 80.423 161.1859
134.000000 80.356 161.1907
136.000000 80.296 161.1638
138.000000 80.236 161.0742
140.000000 80.167 161.0292
143.000000 80.055 161.1139
145.000000 79.974 161.2293
147.500000 79.880 161.3531
150.000000 79.789 161.3324
152.500000 79.700 161.3658
155.000000 79.617 161.4786
157.500000 79.525 161.6024
160.000000 79.421 161.7358
162.500000 79.320 161.9265
165.000000 79.223 162.1398
167.500000 79.122 162.3356
170.000000 79.018 162.5351
172.500000 78.923 162.7944
175.000000 78.837 163.0757
177.500000 78.748 163.3300
180.000000 78.664 163.6114
182.500000 78.589 163.8996
185.000000 78.513 164.1761
187.500000 78.428 164.4897
190.000000 78.343 164.8782
192.500000 78.262 165.2836
195.000000 78.174 165.6392
197.500000 78.078 166.0028
200.000000 77.987 166.4599
203.000000 77.888 167.0471
206.000000 77.793 167.5453
209.000000 77.713 167.9705
212.000000 77.650 168.4366
214.000000 77.608 168.7807
218.000000 77.518 169.4670
220.000000 77.474 169.8019
224.000000 77.386 170.5095
227.000000 77.320 171.0566
230.000000 77.257 171.5845
233.000000 77.199 172.1109
236.000000 77.147 172.6399
240.000000 77.086 173.3134
243.000000 77.041 173.7774
247.000000 76.975 174.4297
250.000000 76.928 174.9742
254.000000 76.869 175.7300
258.000000 76.814 176.3224
262.000000 76.748 176.9017
265.000000 76.693 177.5037
269.000000 76.622 178.3359
272.000000 76.578 178.8347
276.000000 76.543 179.3611
280.000000 76.510 179.8831
285.000000 76.432 -179.2828
290.000000 76.340 -178.3316
295.000000 76.259 -177.5532
300.000000 76.196 -176.8637
304.000000 76.153 -176.2233
307.000000 76.118 -175.7322
311.000000 76.069 -175.0373
315.000000 76.023 -174.3102
320.000000 75.979 -173.4139
325.000000 75.950 -172.5688
330.000000 75.928 -171.7640
335.000000 75.903 -170.9998
340.000000 75.871 -170.2740
345.000000 75.836 -169.5720
350.000000 75.805 -168.8815
355.000000 75.771 -168.2176
360.000000 75.738 -167.4669
