* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 5:33:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cklvx L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 82.423 -107.9493
1.015000 82.729 -108.4297
1.030000 83.033 -108.8975
1.044000 83.317 -109.3151
1.060000 83.641 -109.7700
1.075000 83.942 -110.1768
1.090000 84.242 -110.5665
1.106000 84.559 -110.9654
1.120000 84.833 -111.3019
1.138000 85.181 -111.7197
1.150000 85.409 -111.9902
1.172000 85.819 -112.4735
1.180000 85.966 -112.6467
1.206000 86.429 -113.1993
1.220000 86.670 -113.4919
1.241000 87.018 -113.9268
1.250000 87.163 -114.1124
1.265000 87.397 -114.4213
1.280000 87.621 -114.7307
1.315000 88.107 -115.4591
1.320000 88.171 -115.5643
1.340000 88.416 -115.9869
1.360000 88.640 -116.4041
1.380000 88.840 -116.7906
1.400000 89.019 -117.1511
1.430000 89.250 -117.6581
1.450000 89.383 -117.9789
1.475000 89.528 -118.3667
1.500000 89.653 -118.7452
1.525000 89.763 -119.1200
1.550000 89.861 -119.4957
1.575000 89.952 -119.8718
1.600000 90.038 -120.2477
1.625000 90.124 -120.6362
1.650000 90.214 -121.0402
1.675000 90.310 -121.4608
1.700000 90.409 -121.8912
1.725000 90.503 -122.3190
1.750000 90.591 -122.7391
1.775000 90.673 -123.1550
1.800000 90.749 -123.5707
1.825000 90.820 -123.9784
1.850000 90.887 -124.3791
1.875000 90.952 -124.7738
1.900000 91.014 -125.1637
1.925000 91.075 -125.5502
1.950000 91.136 -125.9345
1.975000 91.197 -126.3223
2.000000 91.259 -126.7178
2.030000 91.334 -127.1944
2.060000 91.410 -127.6702
2.090000 91.483 -128.1416
2.120000 91.556 -128.6064
2.140000 91.603 -128.9117
2.180000 91.695 -129.5178
2.200000 91.740 -129.8215
2.240000 91.828 -130.4167
2.270000 91.893 -130.8532
2.300000 91.957 -131.2821
2.330000 92.020 -131.7047
2.360000 92.082 -132.1226
2.400000 92.163 -132.7014
2.430000 92.222 -133.1366
2.470000 92.300 -133.7107
2.500000 92.356 -134.1342
2.540000 92.430 -134.6865
2.580000 92.501 -135.2348
2.620000 92.570 -135.7895
2.650000 92.621 -136.1931
2.690000 92.685 -136.7171
2.720000 92.732 -137.1042
2.760000 92.791 -137.6187
2.800000 92.848 -138.1538
2.850000 92.916 -138.8159
2.900000 92.981 -139.4558
2.950000 93.043 -140.0666
3.000000 93.102 -140.6725
3.040000 93.147 -141.1459
3.070000 93.180 -141.4945
3.110000 93.222 -141.9544
3.150000 93.261 -142.4063
3.200000 93.309 -142.9806
3.250000 93.354 -143.5425
3.300000 93.398 -144.0766
3.350000 93.441 -144.5797
3.400000 93.483 -145.0819
3.450000 93.523 -145.5804
3.500000 93.562 -146.0653
3.550000 93.600 -146.5320
3.600000 93.637 -147.0023
3.650000 93.672 -147.4583
3.700000 93.707 -147.8877
3.750000 93.740 -148.2958
3.820000 93.784 -148.8819
3.870000 93.814 -149.2900
3.950000 93.861 -149.9054
4.000000 93.889 -150.2857
4.060000 93.923 -150.7290
4.120000 93.956 -151.1496
4.180000 93.988 -151.5602
4.250000 94.025 -152.0488
4.310000 94.057 -152.4442
4.370000 94.088 -152.8189
4.440000 94.125 -153.2744
4.500000 94.156 -153.6465
4.550000 94.183 -153.9433
4.620000 94.219 -154.3741
4.680000 94.250 -154.7328
4.750000 94.285 -155.1310
4.820000 94.320 -155.5431
4.870000 94.344 -155.8329
4.940000 94.378 -156.2242
5.000000 94.407 -156.5618
5.080000 94.444 -157.0112
5.150000 94.476 -157.3896
5.220000 94.508 -157.7815
5.300000 94.543 -158.2198
5.380000 94.577 -158.6447
5.450000 94.606 -159.0289
5.520000 94.634 -159.4025
5.600000 94.665 -159.8301
5.700000 94.702 -160.3647
5.800000 94.736 -160.8838
5.900000 94.768 -161.4089
6.000000 94.798 -161.9185
6.080000 94.819 -162.3245
6.150000 94.837 -162.6658
6.220000 94.854 -163.0130
6.300000 94.871 -163.3998
6.400000 94.892 -163.8663
6.500000 94.911 -164.3263
6.600000 94.928 -164.7691
6.700000 94.944 -165.2034
6.800000 94.958 -165.6172
6.900000 94.972 -166.0250
7.000000 94.985 -166.4152
7.100000 94.997 -166.7983
7.200000 95.009 -167.1649
7.300000 95.020 -167.5268
7.400000 95.031 -167.8750
7.500000 95.042 -168.2196
7.620000 95.056 -168.6216
7.750000 95.070 -169.0483
7.880000 95.084 -169.4749
8.000000 95.097 -169.8573
8.120000 95.109 -170.2358
8.250000 95.120 -170.6422
8.380000 95.131 -171.0391
8.500000 95.141 -171.4099
8.620000 95.150 -171.7745
8.750000 95.158 -172.1644
8.850000 95.163 -172.4630
9.000000 95.168 -172.8986
9.120000 95.172 -173.2406
9.250000 95.174 -173.6005
9.380000 95.176 -173.9456
9.500000 95.177 -174.2579
9.620000 95.177 -174.5587
9.750000 95.175 -174.8744
9.880000 95.171 -175.1797
10.000000 95.165 -175.4478
10.150000 95.151 -175.8087
10.300000 95.130 -176.1495
10.440000 95.109 -176.4526
10.600000 95.086 -176.7861
10.750000 95.066 -177.0923
10.900000 95.048 -177.3978
11.060000 95.030 -177.7557
11.200000 95.014 -178.1204
11.380000 94.994 -178.5934
11.500000 94.979 -178.9103
11.720000 94.945 -179.4891
11.800000 94.931 -179.6955
12.060000 94.879 179.6351
12.200000 94.847 179.2535
12.410000 94.800 178.7244
12.500000 94.782 178.5157
12.650000 94.755 178.1924
12.800000 94.731 177.8990
13.150000 94.684 177.2643
13.200000 94.679 177.1725
13.400000 94.659 176.8228
13.600000 94.643 176.4894
13.800000 94.629 176.1637
14.000000 94.616 175.8345
14.300000 94.598 175.2698
14.500000 94.584 174.8964
14.750000 94.563 174.4464
15.000000 94.540 174.0240
15.250000 94.516 173.5720
15.500000 94.492 173.1528
15.750000 94.468 172.7629
16.000000 94.447 172.3951
16.250000 94.429 172.0051
16.500000 94.411 171.6342
16.750000 94.394 171.2864
17.000000 94.377 170.9616
17.250000 94.361 170.6261
17.500000 94.349 170.3055
17.750000 94.340 169.9909
18.000000 94.333 169.6680
18.250000 94.327 169.2961
18.500000 94.319 168.9052
18.750000 94.307 168.5052
19.000000 94.289 168.1097
19.250000 94.265 167.7195
19.500000 94.236 167.3690
19.750000 94.206 167.0692
20.000000 94.179 166.8160
20.299999 94.154 166.5287
20.600000 94.137 166.2542
20.900000 94.128 165.9594
21.200001 94.121 165.6029
21.400000 94.114 165.3356
21.799999 94.092 164.7730
22.000000 94.075 164.4962
22.400000 94.032 163.9655
22.700001 93.996 163.6327
23.000000 93.962 163.3527
23.299999 93.932 163.0879
23.600000 93.908 162.8353
24.000000 93.881 162.4903
24.299999 93.862 162.1990
24.700001 93.836 161.8080
25.000000 93.815 161.5208
25.400000 93.789 161.1317
25.799999 93.765 160.7330
26.200001 93.740 160.2979
26.500000 93.718 159.9519
26.900000 93.682 159.5051
27.200001 93.652 159.1928
27.600000 93.612 158.8170
28.000000 93.576 158.4682
28.500000 93.535 158.0086
29.000000 93.487 157.5593
29.500000 93.434 157.1915
30.000000 93.396 156.9376
30.400000 93.385 156.7206
30.700001 93.385 156.4937
31.100000 93.385 156.0668
31.500000 93.368 155.5262
32.000000 93.313 154.8580
32.500000 93.233 154.3521
33.000000 93.155 154.0596
33.500000 93.097 153.8783
34.000000 93.062 153.6942
34.500000 93.040 153.4162
35.000000 93.022 153.0247
35.500000 92.995 152.5298
36.000000 92.953 152.0016
36.500000 92.899 151.5065
37.000000 92.843 151.0774
37.500000 92.791 150.6769
38.200001 92.717 150.1322
38.700001 92.663 149.7867
39.500000 92.588 149.3528
40.000000 92.554 149.0894
40.599998 92.516 148.7286
41.200001 92.476 148.3616
41.799999 92.437 148.0103
42.500000 92.394 147.5582
43.099998 92.348 147.1349
43.700001 92.291 146.7547
44.400002 92.225 146.4061
45.000000 92.179 146.1245
45.500000 92.144 145.8495
46.200001 92.090 145.4300
46.799999 92.039 145.0884
47.500000 91.982 144.7219
48.200001 91.929 144.3583
48.700001 91.891 144.0996
49.400002 91.837 143.7580
50.000000 91.794 143.4698
50.799999 91.734 143.0664
51.500000 91.676 142.7365
52.200001 91.623 142.4271
53.000000 91.564 142.0168
53.799999 91.498 141.5878
54.500000 91.444 141.2311
55.200001 91.394 140.8344
56.000000 91.332 140.3998
57.000000 91.281 139.9386
58.000000 91.234 139.1859
59.000000 91.116 138.6022
60.000000 91.025 138.5505
60.799999 90.990 138.4187
61.500000 90.949 138.1860
62.200001 90.895 137.9918
63.000000 90.838 137.8347
64.000000 90.779 137.4846
65.000000 90.692 137.0289
66.000000 90.599 136.7734
67.000000 90.546 136.5240
68.000000 90.493 136.0720
69.000000 90.421 135.6609
70.000000 90.350 135.3293
71.000000 90.275 135.0355
72.000000 90.205 134.8087
73.000000 90.143 134.5589
74.000000 90.082 134.2723
75.000000 90.026 133.9729
76.199997 89.961 133.5411
77.500000 89.882 133.0916
78.800003 89.796 132.7185
80.000000 89.721 132.4514
81.199997 89.650 132.1365
82.500000 89.558 131.7683
83.800003 89.472 131.4931
85.000000 89.408 131.1888
86.199997 89.346 130.8157
87.500000 89.272 130.4547
88.500000 89.219 130.2318
90.000000 89.136 129.9101
91.199997 89.067 129.7195
92.500000 88.997 129.5251
93.800003 88.930 129.2781
95.000000 88.865 129.0082
96.199997 88.800 128.7269
97.500000 88.732 128.4119
98.800003 88.663 128.1088
100.000000 88.604 127.8735
101.500000 88.544 127.6118
103.000000 88.472 127.2702
104.400002 88.394 127.1242
106.000000 88.326 126.9797
107.500000 88.263 126.6865
109.000000 88.185 126.3784
110.599998 88.107 126.1577
112.000000 88.051 125.9386
113.800003 87.973 125.5938
115.000000 87.916 125.3921
117.199997 87.816 125.0192
118.000000 87.779 124.8803
120.599998 87.670 124.5537
122.000000 87.620 124.4013
124.099998 87.544 124.1042
125.000000 87.510 123.9545
126.500000 87.455 123.6873
128.000000 87.406 123.4131
131.500000 87.309 122.9691
132.000000 87.294 122.9305
134.000000 87.224 122.8335
136.000000 87.147 122.7101
138.000000 87.059 122.4761
140.000000 86.997 122.2902
143.000000 86.911 121.6481
145.000000 86.824 121.4609
147.500000 86.724 121.3154
150.000000 86.618 121.0829
152.500000 86.543 120.7673
155.000000 86.501 120.2354
157.500000 86.461 119.9109
160.000000 86.419 119.8118
162.500000 86.350 119.6385
165.000000 86.269 119.4362
167.500000 86.201 119.1793
170.000000 86.136 119.0116
172.500000 86.066 118.7965
175.000000 85.988 118.6462
177.500000 85.915 118.4388
180.000000 85.843 118.1609
182.500000 85.764 117.8390
185.000000 85.690 117.5844
187.500000 85.600 117.1303
190.000000 85.505 117.0878
192.500000 85.495 117.2832
195.000000 85.516 117.1434
197.500000 85.483 116.7825
200.000000 85.404 116.4799
203.000000 85.337 116.3695
206.000000 85.252 115.9277
209.000000 85.159 116.0186
212.000000 85.102 115.4886
214.000000 85.064 115.4156
218.000000 85.054 115.4688
220.000000 85.025 115.3329
224.000000 84.955 114.8825
227.000000 84.924 114.4774
230.000000 84.889 114.2019
233.000000 84.852 114.0006
236.000000 84.816 113.7989
240.000000 84.766 113.5706
243.000000 84.730 113.3297
247.000000 84.680 113.0629
250.000000 84.645 112.9218
254.000000 84.601 112.6779
258.000000 84.559 112.3383
262.000000 84.526 111.9549
265.000000 84.504 111.7164
269.000000 84.462 111.4886
272.000000 84.425 111.3110
276.000000 84.383 111.0404
280.000000 84.349 110.7020
285.000000 84.308 110.2896
290.000000 84.265 109.9432
295.000000 84.219 109.6008
300.000000 84.187 109.3174
304.000000 84.167 109.1110
307.000000 84.149 108.9358
311.000000 84.125 108.6769
315.000000 84.100 108.4194
320.000000 84.068 108.1613
325.000000 84.039 107.8017
330.000000 84.012 107.3657
335.000000 83.987 107.0390
340.000000 83.972 106.7676
