* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 5:36:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cklvx R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.519 -109.0867
1.015000 83.825 -109.7436
1.030000 84.128 -110.3783
1.044000 84.411 -110.9447
1.060000 84.734 -111.5620
1.075000 85.035 -112.1134
1.090000 85.334 -112.6405
1.106000 85.651 -113.1781
1.120000 85.925 -113.6294
1.138000 86.273 -114.1859
1.150000 86.502 -114.5434
1.172000 86.912 -115.1752
1.180000 87.059 -115.3989
1.206000 87.523 -116.1033
1.220000 87.764 -116.4700
1.241000 88.113 -117.0063
1.250000 88.258 -117.2319
1.265000 88.492 -117.6030
1.280000 88.717 -117.9689
1.315000 89.201 -118.8086
1.320000 89.266 -118.9273
1.340000 89.510 -119.3989
1.360000 89.732 -119.8581
1.380000 89.931 -120.2820
1.400000 90.108 -120.6761
1.430000 90.337 -121.2271
1.450000 90.468 -121.5731
1.475000 90.610 -121.9878
1.500000 90.733 -122.3886
1.525000 90.840 -122.7810
1.550000 90.936 -123.1698
1.575000 91.023 -123.5547
1.600000 91.107 -123.9351
1.625000 91.190 -124.3240
1.650000 91.277 -124.7244
1.675000 91.370 -125.1374
1.700000 91.467 -125.5570
1.725000 91.559 -125.9716
1.750000 91.644 -126.3767
1.775000 91.723 -126.7761
1.800000 91.796 -127.1742
1.825000 91.865 -127.5632
1.850000 91.930 -127.9442
1.875000 91.992 -128.3183
1.900000 92.051 -128.6869
1.925000 92.110 -129.0511
1.950000 92.168 -129.4124
1.975000 92.227 -129.7764
2.000000 92.286 -130.1472
2.030000 92.359 -130.5928
2.060000 92.432 -131.0363
2.090000 92.503 -131.4744
2.120000 92.572 -131.9052
2.140000 92.618 -132.1877
2.180000 92.707 -132.7480
2.200000 92.750 -133.0290
2.240000 92.836 -133.5791
2.270000 92.898 -133.9823
2.300000 92.960 -134.3783
2.330000 93.021 -134.7685
2.360000 93.080 -135.1543
2.400000 93.159 -135.6902
2.430000 93.216 -136.0929
2.470000 93.291 -136.6237
2.500000 93.346 -137.0152
2.540000 93.417 -137.5254
2.580000 93.486 -138.0330
2.620000 93.552 -138.5487
2.650000 93.600 -138.9242
2.690000 93.663 -139.4122
2.720000 93.707 -139.7730
2.760000 93.765 -140.2532
2.800000 93.820 -140.7545
2.850000 93.885 -141.3759
2.900000 93.946 -141.9768
2.950000 94.005 -142.5508
3.000000 94.061 -143.1224
3.040000 94.104 -143.5699
3.070000 94.135 -143.8999
3.110000 94.175 -144.3358
3.150000 94.212 -144.7647
3.200000 94.256 -145.3116
3.250000 94.299 -145.8479
3.300000 94.339 -146.3581
3.350000 94.379 -146.8394
3.400000 94.417 -147.3216
3.450000 94.454 -147.8019
3.500000 94.490 -148.2701
3.550000 94.524 -148.7215
3.600000 94.557 -149.1780
3.650000 94.589 -149.6213
3.700000 94.619 -150.0394
3.750000 94.648 -150.4375
3.820000 94.687 -151.0118
3.870000 94.713 -151.4129
3.950000 94.752 -152.0193
4.000000 94.777 -152.3950
4.060000 94.805 -152.8341
4.120000 94.832 -153.2520
4.180000 94.859 -153.6613
4.250000 94.889 -154.1500
4.310000 94.914 -154.5464
4.370000 94.939 -154.9229
4.440000 94.969 -155.3819
4.500000 94.994 -155.7582
4.550000 95.015 -156.0593
4.620000 95.043 -156.4969
4.680000 95.067 -156.8618
4.750000 95.094 -157.2679
4.820000 95.121 -157.6892
4.870000 95.139 -157.9862
4.940000 95.165 -158.3877
5.000000 95.186 -158.7340
5.080000 95.213 -159.1946
5.150000 95.235 -159.5834
5.220000 95.257 -159.9857
5.300000 95.281 -160.4349
5.380000 95.304 -160.8687
5.450000 95.323 -161.2592
5.520000 95.341 -161.6381
5.600000 95.360 -162.0701
5.700000 95.382 -162.6057
5.800000 95.402 -163.1199
5.900000 95.419 -163.6351
6.000000 95.433 -164.1294
6.080000 95.444 -164.5184
6.150000 95.452 -164.8411
6.220000 95.460 -165.1667
6.300000 95.468 -165.5259
6.400000 95.477 -165.9546
6.500000 95.486 -166.3717
6.600000 95.495 -166.7678
6.700000 95.504 -167.1555
6.800000 95.514 -167.5240
6.900000 95.524 -167.8869
7.000000 95.535 -168.2358
7.100000 95.547 -168.5852
7.200000 95.560 -168.9244
7.300000 95.573 -169.2661
7.400000 95.587 -169.6034
7.500000 95.601 -169.9474
7.620000 95.618 -170.3603
7.750000 95.636 -170.8112
7.880000 95.652 -171.2750
8.000000 95.666 -171.6994
8.120000 95.678 -172.1221
8.250000 95.688 -172.5781
8.380000 95.695 -173.0215
8.500000 95.700 -173.4277
8.620000 95.705 -173.8208
8.750000 95.708 -174.2326
8.850000 95.709 -174.5405
9.000000 95.711 -174.9815
9.120000 95.713 -175.3248
9.250000 95.715 -175.6842
9.380000 95.719 -176.0336
9.500000 95.724 -176.3597
9.620000 95.728 -176.6848
9.750000 95.731 -177.0424
9.880000 95.732 -177.4091
10.000000 95.729 -177.7489
10.150000 95.715 -178.2153
10.300000 95.688 -178.6751
10.440000 95.657 -179.0871
10.600000 95.616 -179.5321
10.750000 95.574 -179.9149
10.900000 95.529 179.7449
11.060000 95.480 179.4024
11.200000 95.438 179.1030
11.380000 95.388 178.7797
11.500000 95.358 178.5965
11.720000 95.310 178.3119
11.800000 95.296 178.2164
12.060000 95.263 177.8831
12.200000 95.253 177.6370
12.410000 95.245 177.2254
12.500000 95.245 177.0291
12.650000 95.247 176.6759
12.800000 95.248 176.2969
13.150000 95.231 175.3087
13.200000 95.226 175.1593
13.400000 95.197 174.5859
13.600000 95.157 174.0776
13.800000 95.110 173.6528
14.000000 95.062 173.3166
14.300000 94.998 172.8913
14.500000 94.966 172.6743
14.750000 94.938 172.4329
15.000000 94.920 172.1791
15.250000 94.906 171.8299
15.500000 94.889 171.4545
15.750000 94.866 171.0836
16.000000 94.837 170.7531
16.250000 94.807 170.4471
16.500000 94.783 170.2107
16.750000 94.767 170.0245
17.000000 94.762 169.8467
17.250000 94.766 169.6060
17.500000 94.775 169.3082
17.750000 94.780 168.9524
18.000000 94.777 168.5569
18.250000 94.763 168.1240
18.500000 94.740 167.7207
18.750000 94.711 167.3745
19.000000 94.682 167.0886
19.250000 94.656 166.8317
19.500000 94.636 166.5954
19.750000 94.623 166.3528
20.000000 94.612 166.0819
20.299999 94.597 165.6881
20.600000 94.574 165.2705
20.900000 94.541 164.8731
21.200001 94.502 164.5150
21.400000 94.475 164.3137
21.799999 94.430 164.0030
22.000000 94.415 163.8717
22.400000 94.401 163.5564
22.700001 94.398 163.2543
23.000000 94.394 162.8818
23.299999 94.381 162.4398
23.600000 94.355 161.9917
24.000000 94.305 161.4666
24.299999 94.262 161.1442
24.700001 94.210 160.8358
25.000000 94.180 160.6589
25.400000 94.152 160.4174
25.799999 94.131 160.1463
26.200001 94.108 159.8446
26.500000 94.090 159.6171
26.900000 94.067 159.3323
27.200001 94.055 159.1075
27.600000 94.041 158.7545
28.000000 94.023 158.3167
28.500000 93.978 157.6829
29.000000 93.905 157.1180
29.500000 93.822 156.7185
30.000000 93.756 156.4569
30.400000 93.723 156.2406
30.700001 93.707 156.0363
31.100000 93.689 155.6821
31.500000 93.670 155.2344
32.000000 93.636 154.5995
32.500000 93.586 153.9329
33.000000 93.518 153.3326
33.500000 93.441 152.8813
34.000000 93.372 152.6262
34.500000 93.330 152.4865
35.000000 93.320 152.3226
35.500000 93.323 152.0088
36.000000 93.315 151.5613
36.500000 93.285 151.0868
37.000000 93.240 150.6921
37.500000 93.194 150.3673
38.200001 93.131 149.9110
38.700001 93.075 149.5681
39.500000 92.973 149.1369
40.000000 92.918 148.9331
40.599998 92.867 148.6389
41.200001 92.818 148.2559
41.799999 92.766 147.8314
42.500000 92.706 147.3093
43.099998 92.651 146.8533
43.700001 92.592 146.4518
44.400002 92.528 146.0921
45.000000 92.484 145.8218
45.500000 92.448 145.5928
46.200001 92.396 145.3263
46.799999 92.356 145.1537
47.500000 92.319 144.9131
48.200001 92.274 144.5869
48.700001 92.233 144.3531
49.400002 92.174 144.0626
50.000000 92.129 143.7784
50.799999 92.059 143.2800
51.500000 91.976 142.8710
52.200001 91.895 142.6256
53.000000 91.836 142.4022
53.799999 91.795 142.0005
54.500000 91.745 141.5618
55.200001 91.682 141.1828
56.000000 91.610 140.8336
57.000000 91.521 140.4891
58.000000 91.446 140.2188
59.000000 91.372 139.8342
60.000000 91.281 139.5298
60.799999 91.223 139.3840
61.500000 91.187 139.2060
62.200001 91.154 138.9687
63.000000 91.117 138.6565
64.000000 91.066 138.1821
65.000000 90.998 137.7250
66.000000 90.925 137.3214
67.000000 90.843 136.9387
68.000000 90.750 136.6653
69.000000 90.671 136.5033
70.000000 90.607 136.2866
71.000000 90.541 136.0016
72.000000 90.473 135.7298
73.000000 90.409 135.4556
74.000000 90.341 135.1682
75.000000 90.274 134.9308
76.199997 90.198 134.5871
77.500000 90.101 134.2838
78.800003 90.029 134.0289
80.000000 89.956 133.6096
81.199997 89.861 133.3227
82.500000 89.776 133.1746
83.800003 89.708 132.9441
85.000000 89.635 132.6512
86.199997 89.553 132.3825
87.500000 89.468 132.1339
88.500000 89.411 131.9551
90.000000 89.340 131.6432
91.199997 89.284 131.3633
92.500000 89.218 131.1184
93.800003 89.150 130.9401
95.000000 89.085 130.7897
96.199997 89.017 130.6328
97.500000 88.941 130.4021
98.800003 88.861 130.1677
100.000000 88.800 129.9701
101.500000 88.728 129.6408
103.000000 88.643 129.4237
104.400002 88.576 129.3429
106.000000 88.504 129.1771
107.500000 88.430 128.9701
109.000000 88.352 128.7981
110.599998 88.283 128.6767
112.000000 88.230 128.5104
113.800003 88.147 128.2547
115.000000 88.083 128.1294
117.199997 87.979 127.9344
118.000000 87.947 127.8314
120.599998 87.844 127.5032
122.000000 87.794 127.3737
124.099998 87.725 127.1681
125.000000 87.694 127.0480
126.500000 87.637 126.8303
128.000000 87.575 126.6473
131.500000 87.442 126.3454
132.000000 87.425 126.3136
134.000000 87.365 126.1777
136.000000 87.309 126.0109
138.000000 87.249 125.8974
140.000000 87.184 125.8004
143.000000 87.064 125.5302
145.000000 86.997 125.3549
147.500000 86.938 125.1240
150.000000 86.880 125.0379
152.500000 86.808 124.8601
155.000000 86.716 124.6367
157.500000 86.639 124.4694
160.000000 86.566 124.4357
162.500000 86.496 124.4120
165.000000 86.426 124.1530
167.500000 86.352 123.8948
170.000000 86.282 123.7802
172.500000 86.203 123.6611
175.000000 86.121 123.5695
177.500000 86.051 123.4561
180.000000 85.985 123.3117
182.500000 85.912 123.1204
185.000000 85.836 123.0174
187.500000 85.765 122.9578
190.000000 85.706 122.9394
192.500000 85.654 122.7635
195.000000 85.585 122.5207
197.500000 85.522 122.5117
200.000000 85.473 122.4701
203.000000 85.412 122.3317
206.000000 85.361 122.1857
209.000000 85.324 122.0471
212.000000 85.286 121.9197
214.000000 85.261 121.8184
218.000000 85.200 121.6065
220.000000 85.157 121.5610
224.000000 85.077 121.4916
227.000000 85.040 121.3471
230.000000 85.014 121.2643
233.000000 84.995 121.2543
236.000000 84.963 121.1956
240.000000 84.891 121.0565
243.000000 84.845 120.8922
247.000000 84.804 120.6860
250.000000 84.768 120.6064
254.000000 84.716 120.5217
258.000000 84.673 120.3941
262.000000 84.636 120.2554
265.000000 84.610 120.1369
269.000000 84.562 120.0158
272.000000 84.523 119.9108
276.000000 84.476 119.8653
280.000000 84.443 119.9453
285.000000 84.406 119.7718
290.000000 84.364 119.4949
295.000000 84.330 119.3039
300.000000 84.300 119.0746
304.000000 84.271 118.8844
307.000000 84.256 118.7592
311.000000 84.239 118.7385
315.000000 84.218 118.6790
320.000000 84.187 118.4807
325.000000 84.149 118.2618
330.000000 84.114 118.0709
335.000000 84.093 117.8746
340.000000 84.073 117.7964
345.000000 84.059 117.7165
