* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 4, 25 2:43:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cp t L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 39.379 -56.9292
1.015000 39.923 -58.6722
1.030000 40.438 -60.3466
1.044000 40.903 -61.8309
1.060000 41.418 -63.4378
1.075000 41.886 -64.8652
1.090000 42.341 -66.2234
1.106000 42.812 -67.6038
1.120000 43.214 -68.7600
1.138000 43.715 -70.1839
1.150000 44.042 -71.0984
1.172000 44.623 -72.7128
1.180000 44.830 -73.2821
1.206000 45.486 -75.0777
1.220000 45.831 -76.0148
1.241000 46.337 -77.3888
1.250000 46.550 -77.9678
1.265000 46.902 -78.9219
1.280000 47.249 -79.8645
1.315000 48.047 -82.0312
1.320000 48.160 -82.3379
1.340000 48.609 -83.5572
1.360000 49.050 -84.7493
1.380000 49.479 -85.8910
1.400000 49.895 -86.9816
1.430000 50.493 -88.5399
1.450000 50.877 -89.5389
1.475000 51.342 -90.7553
1.500000 51.792 -91.9468
1.525000 52.229 -93.1234
1.550000 52.655 -94.2935
1.575000 53.071 -95.4641
1.600000 53.480 -96.6412
1.625000 53.883 -97.8296
1.650000 54.283 -99.0328
1.675000 54.680 -100.2509
1.700000 55.072 -101.4694
1.725000 55.456 -102.6651
1.750000 55.830 -103.8322
1.775000 56.195 -104.9732
1.800000 56.552 -106.0912
1.825000 56.901 -107.1900
1.850000 57.243 -108.2729
1.875000 57.579 -109.3432
1.900000 57.908 -110.4043
1.925000 58.233 -111.4592
1.950000 58.553 -112.5110
1.975000 58.869 -113.5621
2.000000 59.181 -114.6145
2.030000 59.552 -115.8755
2.060000 59.915 -117.1207
2.090000 60.269 -118.3427
2.120000 60.616 -119.5424
2.140000 60.843 -120.3310
2.180000 61.287 -121.8850
2.200000 61.505 -122.6521
2.240000 61.934 -124.1713
2.270000 62.248 -125.3009
2.300000 62.559 -126.4253
2.330000 62.865 -127.5469
2.360000 63.166 -128.6662
2.400000 63.561 -130.1460
2.430000 63.850 -131.2413
2.470000 64.226 -132.6815
2.500000 64.502 -133.7470
2.540000 64.863 -135.1500
2.580000 65.217 -136.5355
2.620000 65.563 -137.9065
2.650000 65.818 -138.9273
2.690000 66.153 -140.2807
2.720000 66.400 -141.2894
2.760000 66.723 -142.6230
2.800000 67.038 -143.9414
2.850000 67.422 -145.5664
2.900000 67.796 -147.1662
2.950000 68.161 -148.7421
3.000000 68.517 -150.2970
3.040000 68.797 -151.5282
3.070000 69.003 -152.4453
3.110000 69.273 -153.6591
3.150000 69.537 -154.8610
3.200000 69.859 -156.3449
3.250000 70.173 -157.8067
3.300000 70.480 -159.2461
3.350000 70.781 -160.6642
3.400000 71.076 -162.0648
3.450000 71.363 -163.4511
3.500000 71.643 -164.8217
3.550000 71.916 -166.1739
3.600000 72.184 -167.5062
3.650000 72.446 -168.8174
3.700000 72.703 -170.1085
3.750000 72.955 -171.3832
3.820000 73.297 -173.1448
3.870000 73.535 -174.3848
3.950000 73.907 -176.3324
4.000000 74.133 -177.5254
4.060000 74.400 -178.9339
4.120000 74.660 179.6777
4.180000 74.913 178.3080
4.250000 75.202 176.7362
4.310000 75.444 175.4133
4.370000 75.681 174.1132
4.440000 75.952 172.6210
4.500000 76.178 171.3602
4.550000 76.363 170.3227
4.620000 76.617 168.8917
4.680000 76.830 167.6856
4.750000 77.074 166.3006
4.820000 77.313 164.9358
4.870000 77.480 163.9729
4.940000 77.709 162.6425
5.000000 77.902 161.5192
5.080000 78.154 160.0444
5.150000 78.370 158.7722
5.220000 78.581 157.5165
5.300000 78.816 156.1032
5.380000 79.047 154.7135
5.450000 79.244 153.5145
5.520000 79.437 152.3295
5.600000 79.653 150.9936
5.700000 79.917 149.3537
5.800000 80.172 147.7446
5.900000 80.421 146.1622
6.000000 80.662 144.6098
6.080000 80.850 143.3907
6.150000 81.012 142.3381
6.220000 81.170 141.2982
6.300000 81.347 140.1265
6.400000 81.563 138.6890
6.500000 81.774 137.2790
6.600000 81.979 135.8941
6.700000 82.179 134.5363
6.800000 82.375 133.2049
6.900000 82.566 131.8972
7.000000 82.752 130.6129
7.100000 82.935 129.3520
7.200000 83.114 128.1123
7.300000 83.290 126.8926
7.400000 83.461 125.6924
7.500000 83.630 124.5103
7.620000 83.828 123.1137
7.750000 84.036 121.6272
7.880000 84.240 120.1654
8.000000 84.423 118.8376
8.120000 84.601 117.5305
8.250000 84.789 116.1358
8.380000 84.971 114.7649
8.500000 85.134 113.5210
8.620000 85.293 112.2968
8.750000 85.461 110.9953
8.850000 85.587 110.0117
9.000000 85.770 108.5641
9.120000 85.912 107.4318
9.250000 86.063 106.2299
9.380000 86.210 105.0529
9.500000 86.344 103.9885
9.620000 86.475 102.9437
9.750000 86.612 101.8323
9.880000 86.744 100.7406
10.000000 86.861 99.7488
10.150000 86.995 98.5275
10.300000 87.118 97.3247
10.440000 87.228 96.2168
10.600000 87.351 94.9660
10.750000 87.463 93.8082
10.900000 87.572 92.6644
11.060000 87.684 91.4606
11.200000 87.779 90.4227
11.380000 87.897 89.1105
11.500000 87.973 88.2515
11.720000 88.107 86.7104
11.800000 88.154 86.1614
12.060000 88.304 84.4188
12.200000 88.383 83.5058
12.410000 88.502 82.1664
12.500000 88.555 81.6021
12.650000 88.648 80.6729
12.800000 88.743 79.7557
13.150000 88.963 77.6518
13.200000 88.994 77.3545
13.400000 89.116 76.1725
13.600000 89.235 75.0017
13.800000 89.350 73.8432
14.000000 89.462 72.6991
14.300000 89.622 71.0153
14.500000 89.724 69.9174
14.750000 89.847 68.5750
15.000000 89.966 67.2661
15.250000 90.082 65.9890
15.500000 90.195 64.7411
15.750000 90.306 63.5196
16.000000 90.415 62.3220
16.250000 90.524 61.1465
16.500000 90.632 59.9916
16.750000 90.737 58.8558
17.000000 90.840 57.7378
17.250000 90.941 56.6362
17.500000 91.039 55.5499
17.750000 91.135 54.4785
18.000000 91.227 53.4223
18.250000 91.317 52.3821
18.500000 91.404 51.3589
18.750000 91.489 50.3539
19.000000 91.571 49.3672
19.250000 91.651 48.3985
19.500000 91.729 47.4469
19.750000 91.805 46.5114
20.000000 91.880 45.5908
20.299999 91.968 44.5047
20.600000 92.053 43.4380
20.900000 92.137 42.3896
21.200001 92.218 41.3582
21.400000 92.271 40.6793
21.799999 92.373 39.3414
22.000000 92.423 38.6823
22.400000 92.518 37.3857
22.700001 92.587 36.4344
23.000000 92.654 35.5024
23.299999 92.720 34.5893
23.600000 92.784 33.6932
24.000000 92.868 32.5192
24.299999 92.929 31.6510
24.700001 93.009 30.5077
25.000000 93.066 29.6619
25.400000 93.140 28.5521
25.799999 93.211 27.4651
26.200001 93.279 26.4022
26.500000 93.328 25.6215
26.900000 93.393 24.6024
27.200001 93.440 23.8535
27.600000 93.502 22.8715
28.000000 93.563 21.9025
28.500000 93.636 20.7064
29.000000 93.704 19.5393
29.500000 93.769 18.4172
30.000000 93.836 17.3317
30.400000 93.891 16.4658
30.700001 93.931 15.8075
31.100000 93.981 14.9203
31.500000 94.023 14.0429
32.000000 94.068 13.0029
32.500000 94.112 12.0463
33.000000 94.160 11.1429
33.500000 94.213 10.2439
34.000000 94.265 9.3323
34.500000 94.312 8.4285
35.000000 94.354 7.5547
35.500000 94.396 6.7097
36.000000 94.438 5.8787
36.500000 94.478 5.0552
37.000000 94.514 4.2462
37.500000 94.548 3.4597
38.200001 94.595 2.3939
38.700001 94.627 1.6481
39.500000 94.677 0.4706
40.000000 94.706 -0.2501
40.599998 94.738 -1.0908
41.200001 94.770 -1.9058
41.799999 94.802 -2.6984
42.500000 94.839 -3.5939
43.099998 94.871 -4.3428
43.700001 94.904 -5.0931
44.400002 94.935 -5.9651
45.000000 94.954 -6.6672
45.500000 94.969 -7.2005
46.200001 94.996 -7.8977
46.799999 95.022 -8.4958
47.500000 95.052 -9.2097
48.200001 95.076 -9.9132
48.700001 95.091 -10.3969
49.400002 95.112 -11.0513
50.000000 95.130 -11.6008
50.799999 95.153 -12.3203
51.500000 95.172 -12.9261
52.200001 95.189 -13.5044
53.000000 95.210 -14.1383
53.799999 95.228 -14.7449
54.500000 95.244 -15.2546
55.200001 95.257 -15.7478
56.000000 95.271 -16.2891
57.000000 95.289 -16.9510
58.000000 95.304 -17.6184
59.000000 95.317 -18.2583
60.000000 95.334 -18.8694
60.799999 95.350 -19.3531
61.500000 95.362 -19.7640
62.200001 95.372 -20.1353
63.000000 95.386 -20.4917
64.000000 95.410 -20.9193
65.000000 95.422 -21.3665
66.000000 95.420 -21.7157
67.000000 95.419 -22.0042
68.000000 95.416 -22.2344
69.000000 95.434 -22.4263
70.000000 95.465 -22.8082
71.000000 95.475 -23.2696
72.000000 95.480 -23.6095
73.000000 95.493 -23.8998
74.000000 95.506 -24.1467
75.000000 95.523 -24.3557
76.199997 95.541 -24.5815
77.500000 95.566 -24.7623
78.800003 95.591 -24.9445
80.000000 95.625 -25.0887
81.199997 95.650 -25.3055
82.500000 95.674 -25.3313
83.800003 95.738 -25.3629
85.000000 95.805 -25.6328
86.199997 95.855 -26.0321
87.500000 95.897 -26.4659
88.500000 95.930 -26.7937
90.000000 95.989 -27.3191
91.199997 96.032 -27.8993
92.500000 96.041 -28.5121
93.800003 96.047 -28.9254
95.000000 96.063 -29.3391
96.199997 96.076 -29.9102
97.500000 96.062 -30.7711
98.800003 95.998 -31.7849
100.000000 95.904 -32.7451
101.500000 95.772 -34.0173
103.000000 95.639 -35.4324
104.400002 95.525 -36.7950
106.000000 95.415 -38.2920
107.500000 95.320 -39.4999
109.000000 95.236 -40.4937
110.599998 95.146 -41.5172
112.000000 95.054 -42.4471
113.800003 94.931 -43.6481
115.000000 94.860 -44.4578
117.199997 94.749 -45.9480
118.000000 94.712 -46.4753
120.599998 94.592 -48.1219
122.000000 94.525 -49.0007
124.099998 94.422 -50.3409
125.000000 94.378 -50.9160
126.500000 94.307 -51.8953
128.000000 94.234 -52.8727
131.500000 94.053 -55.1453
132.000000 94.027 -55.4763
134.000000 93.907 -56.8038
136.000000 93.797 -58.0203
138.000000 93.689 -59.4743
140.000000 93.543 -60.8700
143.000000 93.308 -62.5647
145.000000 93.168 -63.6152
147.500000 93.009 -65.3029
150.000000 92.794 -66.7863
152.500000 92.582 -67.6866
155.000000 92.312 -68.7166
157.500000 92.082 -69.5444
160.000000 91.889 -70.9913
162.500000 91.611 -72.2184
165.000000 91.274 -72.8820
167.500000 90.905 -73.2898
170.000000 90.514 -73.5407
172.500000 90.114 -73.5721
175.000000 89.716 -73.5406
177.500000 89.294 -73.3325
180.000000 88.877 -72.5526
182.500000 88.481 -71.3867
185.000000 88.114 -69.7783
187.500000 87.797 -67.8629
190.000000 87.543 -65.4819
192.500000 87.368 -62.9717
195.000000 87.253 -60.6421
197.500000 87.201 -58.3756
200.000000 87.209 -56.0194
203.000000 87.286 -53.1016
206.000000 87.445 -50.5015
209.000000 87.674 -48.7355
212.000000 87.869 -47.6094
214.000000 87.975 -47.1006
218.000000 88.198 -46.7786
220.000000 88.329 -46.8035
224.000000 88.579 -46.8185
227.000000 88.721 -46.9349
230.000000 88.835 -47.2135
233.000000 88.935 -47.5839
236.000000 89.005 -47.9850
240.000000 89.069 -48.5048
243.000000 89.108 -49.0370
247.000000 89.130 -49.7271
250.000000 89.125 -50.1419
254.000000 89.090 -50.5599
258.000000 89.024 -51.1489
262.000000 88.930 -51.6361
265.000000 88.862 -51.8043
269.000000 88.778 -51.9666
272.000000 88.718 -52.0405
276.000000 88.629 -52.0478
280.000000 88.518 -51.9799
285.000000 88.379 -51.7297
290.000000 88.253 -51.4015
295.000000 88.128 -50.9022
300.000000 88.010 -50.1937
304.000000 87.927 -49.5316
307.000000 87.876 -49.0325
311.000000 87.819 -48.3684
315.000000 87.769 -47.6339
