* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 4, 25 1:25:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cp t R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.588 -56.1053
1.015000 37.934 -59.5703
1.030000 38.300 -62.8749
1.044000 38.662 -65.7843
1.060000 39.099 -68.8973
1.075000 39.530 -71.6169
1.090000 39.978 -74.1558
1.106000 40.472 -76.6808
1.120000 40.916 -78.7495
1.138000 41.500 -81.2373
1.150000 41.895 -82.8003
1.172000 42.629 -85.4940
1.180000 42.897 -86.4250
1.206000 43.769 -89.3008
1.220000 44.236 -90.7681
1.241000 44.927 -92.8831
1.250000 45.219 -93.7629
1.265000 45.697 -95.1993
1.280000 46.162 -96.6043
1.315000 47.189 -99.7928
1.320000 47.328 -100.2406
1.340000 47.861 -102.0145
1.360000 48.363 -103.7418
1.380000 48.844 -105.3896
1.400000 49.307 -106.9554
1.430000 49.974 -109.1748
1.450000 50.401 -110.5849
1.475000 50.916 -112.2877
1.500000 51.414 -113.9410
1.525000 51.896 -115.5605
1.550000 52.365 -117.1599
1.575000 52.822 -118.7510
1.600000 53.271 -120.3438
1.625000 53.712 -121.9472
1.650000 54.149 -123.5679
1.675000 54.581 -125.2079
1.700000 55.009 -126.8489
1.725000 55.425 -128.4590
1.750000 55.830 -130.0284
1.775000 56.223 -131.5587
1.800000 56.606 -133.0536
1.825000 56.980 -134.5180
1.850000 57.345 -135.9567
1.875000 57.703 -137.3751
1.900000 58.054 -138.7783
1.925000 58.398 -140.1717
1.950000 58.738 -141.5603
1.975000 59.073 -142.9490
2.000000 59.404 -144.3413
2.030000 59.796 -146.0141
2.060000 60.180 -147.6707
2.090000 60.554 -149.2993
2.120000 60.919 -150.8988
2.140000 61.157 -151.9500
2.180000 61.623 -154.0201
2.200000 61.851 -155.0414
2.240000 62.298 -157.0630
2.270000 62.626 -158.5663
2.300000 62.949 -160.0641
2.330000 63.268 -161.5609
2.360000 63.582 -163.0587
2.400000 63.992 -165.0475
2.430000 64.291 -166.5249
2.470000 64.681 -168.4713
2.500000 64.966 -169.9130
2.540000 65.339 -171.8125
2.580000 65.702 -173.6893
2.620000 66.059 -175.5482
2.650000 66.321 -176.9344
2.690000 66.665 -178.7767
2.720000 66.919 179.8449
2.760000 67.249 178.0152
2.800000 67.572 176.2000
2.850000 67.964 173.9568
2.900000 68.345 171.7442
2.950000 68.716 169.5605
3.000000 69.078 167.4001
3.040000 69.363 165.6827
3.070000 69.572 164.3979
3.110000 69.845 162.6902
3.150000 70.111 160.9925
3.200000 70.437 158.8902
3.250000 70.754 156.8139
3.300000 71.063 154.7646
3.350000 71.366 152.7397
3.400000 71.661 150.7303
3.450000 71.949 148.7289
3.500000 72.229 146.7401
3.550000 72.502 144.7703
3.600000 72.769 142.8242
3.650000 73.030 140.9039
3.700000 73.285 139.0069
3.750000 73.535 137.1240
3.820000 73.874 134.5030
3.870000 74.109 132.6477
3.950000 74.475 129.7218
4.000000 74.697 127.9237
4.060000 74.959 125.7931
4.120000 75.214 123.6790
4.180000 75.462 121.5804
4.250000 75.743 119.1603
4.310000 75.978 117.1167
4.370000 76.209 115.1028
4.440000 76.472 112.7797
4.500000 76.691 110.8042
4.550000 76.870 109.1715
4.620000 77.115 106.9122
4.680000 77.321 105.0032
4.750000 77.556 102.8037
4.820000 77.786 100.6242
4.870000 77.947 99.0797
4.940000 78.168 96.9385
5.000000 78.354 95.1255
5.080000 78.597 92.7380
5.150000 78.805 90.6685
5.220000 79.009 88.6161
5.300000 79.237 86.2965
5.380000 79.461 84.0069
5.450000 79.652 82.0228
5.520000 79.840 80.0523
5.600000 80.051 77.8200
5.700000 80.308 75.0650
5.800000 80.558 72.3428
5.900000 80.802 69.6450
6.000000 81.040 66.9794
6.080000 81.226 64.8718
6.150000 81.385 63.0400
6.220000 81.542 61.2190
6.300000 81.717 59.1552
6.400000 81.931 56.6059
6.500000 82.139 54.0822
6.600000 82.342 51.5815
6.700000 82.540 49.1122
6.800000 82.732 46.6729
6.900000 82.919 44.2564
7.000000 83.102 41.8680
7.100000 83.280 39.5115
7.200000 83.454 37.1799
7.300000 83.624 34.8732
7.400000 83.790 32.5966
7.500000 83.953 30.3467
7.620000 84.144 27.6775
7.750000 84.345 24.8285
7.880000 84.542 22.0192
8.000000 84.719 19.4583
8.120000 84.893 16.9296
8.250000 85.077 14.2207
8.380000 85.258 11.5432
8.500000 85.421 9.0981
8.620000 85.581 6.6746
8.750000 85.750 4.0749
8.850000 85.878 2.0915
9.000000 86.065 -0.8593
9.120000 86.211 -3.1964
9.250000 86.364 -5.7084
9.380000 86.514 -8.1975
9.500000 86.648 -10.4736
9.620000 86.779 -12.7316
9.750000 86.914 -15.1532
9.880000 87.043 -17.5493
10.000000 87.155 -19.7396
10.150000 87.282 -22.4437
10.300000 87.395 -25.1131
10.440000 87.495 -27.5713
10.600000 87.606 -30.3425
10.750000 87.708 -32.9049
10.900000 87.807 -35.4335
11.060000 87.911 -38.0972
11.200000 88.001 -40.4009
11.380000 88.114 -43.3306
11.500000 88.189 -45.2654
11.720000 88.324 -48.7806
11.800000 88.372 -50.0496
12.060000 88.527 -54.1454
12.200000 88.609 -56.3340
12.410000 88.731 -59.5973
12.500000 88.785 -60.9882
12.650000 88.878 -63.2969
12.800000 88.971 -65.5920
13.150000 89.183 -70.8917
13.200000 89.212 -71.6418
13.400000 89.326 -74.6243
13.600000 89.436 -77.5759
13.800000 89.543 -80.4967
14.000000 89.647 -83.3867
14.300000 89.797 -87.6664
14.500000 89.895 -90.4847
14.750000 90.014 -93.9717
15.000000 90.129 -97.4211
15.250000 90.242 -100.8352
15.500000 90.352 -104.2156
15.750000 90.459 -107.5636
16.000000 90.564 -110.8804
16.250000 90.668 -114.1676
16.500000 90.771 -117.4268
16.750000 90.871 -120.6597
17.000000 90.968 -123.8669
17.250000 91.062 -127.0490
17.500000 91.153 -130.2051
17.750000 91.240 -133.3340
18.000000 91.324 -136.4343
18.250000 91.405 -139.5048
18.500000 91.483 -142.5452
18.750000 91.560 -145.5562
19.000000 91.634 -148.5393
19.250000 91.708 -151.4970
19.500000 91.780 -154.4319
19.750000 91.851 -157.3463
20.000000 91.920 -160.2419
20.299999 92.002 -163.6940
20.600000 92.081 -167.1216
20.900000 92.157 -170.5242
21.200001 92.230 -173.9002
21.400000 92.277 -176.1351
21.799999 92.368 179.4352
22.000000 92.411 177.2411
22.400000 92.497 172.8943
22.700001 92.559 169.6679
23.000000 92.621 166.4672
23.299999 92.681 163.2887
23.600000 92.740 160.1301
24.000000 92.817 155.9487
24.299999 92.872 152.8369
24.700001 92.942 148.7241
25.000000 92.993 145.6687
25.400000 93.059 141.6320
25.799999 93.124 137.6320
26.200001 93.188 133.6625
26.500000 93.234 130.7048
26.900000 93.292 126.7911
27.200001 93.334 123.8823
27.600000 93.388 120.0422
28.000000 93.441 116.2424
28.500000 93.507 111.5349
29.000000 93.570 106.8632
29.500000 93.627 102.2390
30.000000 93.679 97.6862
30.400000 93.721 94.0988
30.700001 93.754 91.4309
31.100000 93.800 87.8861
31.500000 93.846 84.3384
32.000000 93.899 79.8997
32.500000 93.942 75.4880
33.000000 93.978 71.1415
33.500000 94.012 66.8666
34.000000 94.049 62.6394
34.500000 94.087 58.4354
35.000000 94.123 54.2539
35.500000 94.157 50.1085
36.000000 94.190 46.0046
36.500000 94.224 41.9343
37.000000 94.257 37.8895
37.500000 94.287 33.8740
38.200001 94.327 28.3196
38.700001 94.355 24.4005
39.500000 94.400 18.1896
40.000000 94.425 14.3397
40.599998 94.454 9.7604
41.200001 94.481 5.2312
41.799999 94.508 0.7468
42.500000 94.539 -4.4435
43.099998 94.566 -8.8641
43.700001 94.589 -13.2546
44.400002 94.613 -18.3228
45.000000 94.632 -22.6125
45.500000 94.648 -26.1530
46.200001 94.670 -31.0707
46.799999 94.689 -35.2577
47.500000 94.708 -40.1064
48.200001 94.724 -44.9083
48.700001 94.735 -48.3084
49.400002 94.751 -53.0325
50.000000 94.766 -57.0531
50.799999 94.786 -62.3718
51.500000 94.804 -66.9869
52.200001 94.823 -71.5751
53.000000 94.838 -76.7758
53.799999 94.848 -81.8882
54.500000 94.858 -86.2877
55.200001 94.871 -90.6583
56.000000 94.883 -95.6368
57.000000 94.894 -101.7916
58.000000 94.907 -107.8758
59.000000 94.921 -113.9135
60.000000 94.934 -119.8619
60.799999 94.949 -124.5669
61.500000 94.961 -128.6702
62.200001 94.965 -132.7310
63.000000 94.967 -137.2593
64.000000 94.985 -142.8480
65.000000 95.002 -148.5002
66.000000 95.006 -154.1167
67.000000 95.003 -159.7356
68.000000 94.974 -165.2380
69.000000 94.965 -170.4432
70.000000 95.004 -175.7264
71.000000 95.031 178.7869
72.000000 95.031 173.4291
73.000000 95.038 168.3323
74.000000 95.073 163.3833
75.000000 95.126 158.4257
76.199997 95.176 152.4413
77.500000 95.205 146.0402
78.800003 95.217 139.5995
80.000000 95.196 133.6543
81.199997 95.179 127.9836
82.500000 95.243 122.0159
83.800003 95.391 115.7017
85.000000 95.535 109.2422
86.199997 95.628 102.1245
87.500000 95.656 93.6580
88.500000 95.639 86.5757
90.000000 95.594 75.0780
91.199997 95.572 65.3223
92.500000 95.578 54.5402
93.800003 95.602 43.7877
95.000000 95.610 33.9893
96.199997 95.588 24.3134
97.500000 95.533 13.8656
98.800003 95.452 3.4055
100.000000 95.370 -6.2205
101.500000 95.265 -18.1171
103.000000 95.158 -29.7948
104.400002 95.058 -40.5386
106.000000 94.937 -52.7732
107.500000 94.828 -64.1877
109.000000 94.736 -75.5964
110.599998 94.652 -87.7701
112.000000 94.584 -98.4329
113.800003 94.487 -112.0833
115.000000 94.423 -121.1143
117.199997 94.299 -137.6096
118.000000 94.252 -143.5873
120.599998 94.142 -163.1005
122.000000 94.078 -173.8213
124.099998 93.912 170.3387
125.000000 93.829 163.7480
126.500000 93.701 153.0637
128.000000 93.605 142.7838
131.500000 93.518 120.5183
132.000000 93.508 117.4930
134.000000 93.440 105.6085
136.000000 93.330 93.8608
138.000000 93.207 82.0703
140.000000 93.087 70.3655
143.000000 92.909 52.9395
145.000000 92.769 41.2833
147.500000 92.575 26.7795
150.000000 92.370 12.4548
152.500000 92.146 -1.7903
155.000000 91.904 -16.0182
157.500000 91.652 -30.1113
160.000000 91.379 -44.0010
162.500000 91.072 -57.6862
165.000000 90.743 -71.2223
167.500000 90.398 -84.5571
170.000000 90.033 -97.6381
172.500000 89.649 -110.4419
175.000000 89.248 -122.9204
177.500000 88.838 -135.0303
180.000000 88.424 -146.7775
182.500000 88.026 -158.1199
185.000000 87.659 -169.0133
187.500000 87.331 -179.4891
190.000000 87.059 170.3413
192.500000 86.856 160.3674
195.000000 86.724 150.5366
197.500000 86.663 140.7639
200.000000 86.669 130.9484
203.000000 86.750 118.9762
206.000000 86.896 106.5393
209.000000 87.080 93.6621
212.000000 87.276 80.5229
214.000000 87.401 71.6063
218.000000 87.633 53.3590
220.000000 87.737 44.1042
224.000000 87.908 25.5267
227.000000 87.997 11.5781
230.000000 88.056 -2.3556
233.000000 88.104 -16.1926
236.000000 88.159 -29.8521
240.000000 88.264 -47.9191
243.000000 88.373 -61.5776
247.000000 88.527 -80.1021
250.000000 88.610 -94.2087
254.000000 88.658 -113.1462
258.000000 88.657 -131.9653
262.000000 88.615 -150.5344
265.000000 88.566 -164.3608
269.000000 88.489 177.3921
272.000000 88.425 163.8687
276.000000 88.329 146.0100
280.000000 88.224 128.3423
285.000000 88.094 106.5872
290.000000 87.967 85.1357
295.000000 87.838 63.9749
300.000000 87.720 43.0591
304.000000 87.640 26.4880
307.000000 87.589 14.1555
311.000000 87.535 -2.2017
315.000000 87.492 -18.4607
320.000000 87.453 -38.6509
325.000000 87.430 -58.7241
