* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 4, 25 2:40:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cp ta L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.199 -106.2559
1.015000 40.643 -106.8247
1.030000 41.076 -107.4464
1.044000 41.479 -108.0363
1.060000 41.940 -108.7151
1.075000 42.372 -109.3564
1.090000 42.802 -110.0035
1.106000 43.260 -110.7014
1.120000 43.659 -111.3196
1.138000 44.168 -112.1268
1.150000 44.505 -112.6736
1.172000 45.117 -113.6964
1.180000 45.337 -114.0754
1.206000 46.043 -115.3371
1.220000 46.417 -116.0369
1.241000 46.967 -117.1160
1.250000 47.198 -117.5900
1.265000 47.579 -118.3966
1.280000 47.952 -119.2247
1.315000 48.789 -121.2474
1.320000 48.904 -121.5472
1.340000 49.356 -122.7708
1.360000 49.790 -124.0109
1.380000 50.206 -125.2309
1.400000 50.607 -126.4221
1.430000 51.180 -128.1649
1.450000 51.546 -129.3062
1.475000 51.986 -130.7194
1.500000 52.410 -132.1275
1.525000 52.820 -133.5403
1.550000 53.218 -134.9666
1.575000 53.607 -136.4147
1.600000 53.988 -137.8920
1.625000 54.365 -139.4055
1.650000 54.739 -140.9611
1.675000 55.112 -142.5608
1.700000 55.482 -144.1889
1.725000 55.844 -145.8153
1.750000 56.196 -147.4269
1.775000 56.540 -149.0208
1.800000 56.875 -150.5968
1.825000 57.203 -152.1566
1.850000 57.524 -153.7027
1.875000 57.839 -155.2383
1.900000 58.148 -156.7676
1.925000 58.453 -158.2950
1.950000 58.754 -159.8253
1.975000 59.051 -161.3631
2.000000 59.346 -162.9128
2.030000 59.695 -164.7879
2.060000 60.038 -166.6646
2.090000 60.373 -168.5292
2.120000 60.701 -170.3764
2.140000 60.916 -171.5972
2.180000 61.338 -174.0136
2.200000 61.544 -175.2104
2.240000 61.951 -177.5858
2.270000 62.251 -179.3566
2.300000 62.546 178.8762
2.330000 62.838 177.1070
2.360000 63.126 175.3318
2.400000 63.503 172.9600
2.430000 63.779 171.1864
2.470000 64.141 168.8381
2.500000 64.406 167.0927
2.540000 64.754 164.7882
2.580000 65.094 162.5085
2.620000 65.429 160.2488
2.650000 65.676 158.5632
2.690000 66.001 156.3204
2.720000 66.240 154.6379
2.760000 66.554 152.3957
2.800000 66.861 150.1636
2.850000 67.236 147.3988
2.900000 67.602 144.6688
2.950000 67.960 141.9736
3.000000 68.311 139.3065
3.040000 68.587 137.1838
3.070000 68.790 135.5923
3.110000 69.056 133.4719
3.150000 69.317 131.3599
3.200000 69.637 128.7418
3.250000 69.950 126.1549
3.300000 70.256 123.6015
3.350000 70.556 121.0770
3.400000 70.851 118.5669
3.450000 71.138 116.0600
3.500000 71.419 113.5642
3.550000 71.694 111.0902
3.600000 71.963 108.6452
3.650000 72.228 106.2316
3.700000 72.487 103.8450
3.750000 72.741 101.4705
3.820000 73.087 98.1554
3.870000 73.328 95.8049
3.950000 73.704 92.0953
4.000000 73.934 89.8143
4.060000 74.204 87.1068
4.120000 74.468 84.4114
4.180000 74.725 81.7284
4.250000 75.018 78.6303
4.310000 75.263 76.0127
4.370000 75.504 73.4310
4.440000 75.778 70.4442
4.500000 76.007 67.8953
4.550000 76.194 65.7852
4.620000 76.451 62.8634
4.680000 76.667 60.3941
4.750000 76.913 57.5449
4.820000 77.154 54.7115
4.870000 77.322 52.6990
4.940000 77.553 49.9069
5.000000 77.747 47.5436
5.080000 78.001 44.4300
5.150000 78.218 41.7231
5.220000 78.430 39.0329
5.300000 78.667 35.9915
5.380000 78.899 32.9921
5.450000 79.098 30.3904
5.520000 79.292 27.8011
5.600000 79.510 24.8651
5.700000 79.775 21.2451
5.800000 80.033 17.6680
5.900000 80.284 14.1161
6.000000 80.527 10.6071
6.080000 80.718 7.8350
6.150000 80.881 5.4236
6.220000 81.041 3.0234
6.300000 81.220 0.3025
6.400000 81.439 -3.0568
6.500000 81.652 -6.3858
6.600000 81.859 -9.6899
6.700000 82.061 -12.9536
6.800000 82.257 -16.1803
6.900000 82.449 -19.3839
7.000000 82.635 -22.5542
7.100000 82.817 -25.6848
7.200000 82.995 -28.7893
7.300000 83.168 -31.8666
7.400000 83.337 -34.9065
7.500000 83.502 -37.9159
7.620000 83.696 -41.4949
7.750000 83.900 -45.3184
7.880000 84.099 -49.0955
8.000000 84.278 -52.5438
8.120000 84.453 -55.9483
8.250000 84.638 -59.5994
8.380000 84.819 -63.2078
8.500000 84.982 -66.5002
8.620000 85.142 -69.7637
8.750000 85.312 -73.2597
8.850000 85.439 -75.9238
9.000000 85.627 -79.8842
9.120000 85.773 -83.0158
9.250000 85.928 -86.3787
9.380000 86.080 -89.7085
9.500000 86.217 -92.7510
9.620000 86.350 -95.7691
9.750000 86.490 -99.0066
9.880000 86.624 -102.2124
10.000000 86.742 -105.1466
10.150000 86.877 -108.7754
10.300000 86.999 -112.3677
10.440000 87.108 -115.6852
10.600000 87.230 -119.4390
10.750000 87.341 -122.9227
10.900000 87.450 -126.3733
11.060000 87.564 -130.0212
11.200000 87.661 -133.1852
11.380000 87.784 -137.2201
11.500000 87.863 -139.8887
11.720000 88.006 -144.7434
11.800000 88.056 -146.4959
12.060000 88.216 -152.1511
12.200000 88.299 -155.1693
12.410000 88.423 -159.6645
12.500000 88.477 -161.5782
12.650000 88.571 -164.7528
12.800000 88.666 -167.9067
13.150000 88.881 -175.1894
13.200000 88.911 -176.2209
13.400000 89.029 179.6737
13.600000 89.143 175.6030
13.800000 89.253 171.5654
14.000000 89.361 167.5606
14.300000 89.518 161.6135
14.500000 89.619 157.6877
14.750000 89.742 152.8234
15.000000 89.862 148.0066
15.250000 89.979 143.2363
15.500000 90.092 138.5115
15.750000 90.203 133.8314
16.000000 90.313 129.1950
16.250000 90.421 124.6012
16.500000 90.529 120.0483
16.750000 90.634 115.5352
17.000000 90.737 111.0602
17.250000 90.838 106.6216
17.500000 90.937 102.2173
17.750000 91.033 97.8457
18.000000 91.127 93.5049
18.250000 91.219 89.1939
18.500000 91.308 84.9116
18.750000 91.394 80.6581
19.000000 91.477 76.4343
19.250000 91.558 72.2405
19.500000 91.636 68.0772
19.750000 91.712 63.9445
20.000000 91.786 59.8415
20.299999 91.873 54.9550
20.600000 91.958 50.1063
20.900000 92.040 45.2932
21.200001 92.120 40.5147
21.400000 92.172 37.3488
21.799999 92.273 31.0678
22.000000 92.321 27.9541
22.400000 92.415 21.7814
22.700001 92.484 17.1985
23.000000 92.553 12.6525
23.299999 92.620 8.1395
23.600000 92.686 3.6568
24.000000 92.772 -2.2754
24.299999 92.834 -6.6906
24.700001 92.914 -12.5312
25.000000 92.972 -16.8773
25.400000 93.046 -22.6282
25.799999 93.117 -28.3308
26.200001 93.185 -33.9846
26.500000 93.234 -38.1904
26.900000 93.296 -43.7501
27.200001 93.343 -47.8856
27.600000 93.405 -53.3607
28.000000 93.466 -58.8005
28.500000 93.539 -65.5546
29.000000 93.607 -72.2396
29.500000 93.671 -78.8314
30.000000 93.738 -85.3341
30.400000 93.796 -90.4985
30.700001 93.839 -94.3643
31.100000 93.895 -99.5137
31.500000 93.943 -104.6426
32.000000 93.992 -110.9794
32.500000 94.033 -117.1943
33.000000 94.078 -123.2961
33.500000 94.128 -129.3361
34.000000 94.180 -135.3569
34.500000 94.228 -141.3591
35.000000 94.268 -147.3156
35.500000 94.305 -153.2079
36.000000 94.343 -159.0450
36.500000 94.381 -164.8445
37.000000 94.418 -170.6111
37.500000 94.452 -176.3322
38.200001 94.498 175.7585
38.700001 94.532 170.1769
39.500000 94.586 161.3401
40.000000 94.618 155.8746
40.599998 94.654 149.3827
41.200001 94.689 142.9622
41.799999 94.722 136.5989
42.500000 94.760 129.2313
43.099998 94.789 122.9639
43.700001 94.815 116.7456
44.400002 94.845 109.5595
45.000000 94.871 103.4629
45.500000 94.892 98.4291
46.200001 94.922 91.4563
46.799999 94.948 85.5502
47.500000 94.976 78.7385
48.200001 95.001 72.0012
48.700001 95.015 67.2309
49.400002 95.030 60.6138
50.000000 95.041 54.9947
50.799999 95.058 47.5501
51.500000 95.073 41.0675
52.200001 95.089 34.6337
53.000000 95.113 27.3566
53.799999 95.140 20.1511
54.500000 95.159 13.9269
55.200001 95.172 7.8229
56.000000 95.185 0.9980
57.000000 95.202 -7.4185
58.000000 95.213 -15.8076
59.000000 95.223 -24.1949
60.000000 95.240 -32.6361
60.799999 95.253 -39.3398
61.500000 95.273 -45.0930
62.200001 95.303 -50.7621
63.000000 95.330 -57.1005
64.000000 95.365 -64.6287
65.000000 95.431 -72.0427
66.000000 95.455 -79.7078
67.000000 95.402 -87.2860
68.000000 95.337 -94.6749
69.000000 95.296 -101.9819
70.000000 95.306 -109.3118
71.000000 95.341 -116.7551
72.000000 95.369 -124.0825
73.000000 95.396 -131.1610
74.000000 95.413 -138.0260
75.000000 95.424 -144.6951
76.199997 95.444 -152.6570
77.500000 95.458 -161.3245
78.800003 95.489 -169.9580
80.000000 95.524 -177.8920
81.199997 95.554 174.4055
82.500000 95.605 166.2786
83.800003 95.655 158.1382
85.000000 95.701 150.6610
86.199997 95.755 143.0656
87.500000 95.797 134.9296
88.500000 95.841 128.8198
90.000000 95.914 119.7522
91.199997 95.971 112.4149
92.500000 95.997 104.2900
93.800003 95.978 96.0928
95.000000 95.931 88.9321
96.199997 95.975 82.2881
97.500000 96.141 74.5795
98.800003 96.236 65.8345
100.000000 96.238 56.9780
101.500000 96.077 43.9894
103.000000 95.738 29.4485
104.400002 95.463 14.5758
106.000000 95.181 -3.1930
107.500000 95.010 -19.1425
109.000000 94.988 -34.5592
110.599998 95.017 -51.1567
112.000000 95.005 -65.8678
113.800003 94.949 -84.8319
115.000000 94.883 -97.5438
117.199997 94.691 -120.8059
118.000000 94.618 -129.2163
120.599998 94.449 -156.4501
122.000000 94.388 -171.1024
124.099998 94.312 166.7271
125.000000 94.274 157.1208
126.500000 94.203 141.1316
128.000000 94.129 125.2661
131.500000 93.976 88.7074
132.000000 93.960 83.4565
134.000000 93.907 62.3890
136.000000 93.794 41.2250
138.000000 93.607 20.5068
140.000000 93.511 -0.5657
143.000000 93.323 -32.7008
145.000000 93.097 -52.9163
147.500000 92.778 -76.8496
150.000000 92.547 -99.6553
152.500000 92.452 -120.5605
155.000000 92.319 -139.8455
157.500000 92.055 -158.7185
160.000000 91.755 -177.7665
162.500000 91.464 163.4211
165.000000 91.151 145.1021
167.500000 90.796 126.9142
170.000000 90.413 108.9318
172.500000 90.021 91.3241
175.000000 89.628 74.0488
177.500000 89.224 57.1768
180.000000 88.822 40.7808
182.500000 88.430 24.7893
185.000000 88.064 9.2130
187.500000 87.740 -5.9412
190.000000 87.469 -20.7166
192.500000 87.264 -35.2229
195.000000 87.131 -49.5481
197.500000 87.071 -63.8096
200.000000 87.092 -78.1152
203.000000 87.188 -95.6257
206.000000 87.320 -113.3362
209.000000 87.501 -131.2139
212.000000 87.717 -149.3926
214.000000 87.866 -161.6562
218.000000 88.142 173.5320
220.000000 88.265 160.9814
224.000000 88.484 135.6790
227.000000 88.624 116.6580
230.000000 88.741 97.5776
233.000000 88.828 78.4551
236.000000 88.898 59.3960
240.000000 88.977 34.0864
243.000000 89.012 15.3486
247.000000 89.014 -9.4412
250.000000 88.999 -28.0823
254.000000 88.969 -52.6914
258.000000 88.913 -77.0110
262.000000 88.838 -101.1611
265.000000 88.775 -119.1567
269.000000 88.681 -142.9124
272.000000 88.601 -160.5198
276.000000 88.477 176.1162
280.000000 88.370 152.9971
285.000000 88.253 124.5967
290.000000 88.119 96.5120
295.000000 87.991 68.7632
300.000000 87.871 41.3491
304.000000 87.783 19.6345
307.000000 87.722 3.4773
311.000000 87.647 -17.8904
315.000000 87.580 -39.0881
320.000000 87.515 -65.3582
325.000000 87.470 -91.3750
