* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 4, 25 1:27:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cp taaa R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.616 -74.2313
1.015000 44.284 -75.0811
1.030000 44.890 -75.9236
1.044000 45.417 -76.6875
1.060000 45.977 -77.5334
1.075000 46.466 -78.3029
1.090000 46.921 -79.0521
1.106000 47.373 -79.8318
1.120000 47.743 -80.4997
1.138000 48.186 -81.3415
1.150000 48.464 -81.8937
1.172000 48.941 -82.8907
1.180000 49.106 -83.2491
1.206000 49.615 -84.4025
1.220000 49.876 -85.0180
1.241000 50.256 -85.9367
1.250000 50.417 -86.3295
1.265000 50.683 -86.9834
1.280000 50.950 -87.6375
1.315000 51.591 -89.1687
1.320000 51.686 -89.3884
1.340000 52.076 -90.2677
1.360000 52.476 -91.1360
1.380000 52.868 -91.9747
1.400000 53.250 -92.7828
1.430000 53.802 -93.9495
1.450000 54.157 -94.7052
1.475000 54.588 -95.6334
1.500000 55.006 -96.5506
1.525000 55.413 -97.4635
1.550000 55.811 -98.3774
1.575000 56.200 -99.2971
1.600000 56.582 -100.2261
1.625000 56.960 -101.1675
1.650000 57.334 -102.1235
1.675000 57.706 -103.0935
1.700000 58.074 -104.0656
1.725000 58.433 -105.0218
1.750000 58.785 -105.9580
1.775000 59.129 -106.8764
1.800000 59.465 -107.7796
1.825000 59.795 -108.6703
1.850000 60.118 -109.5511
1.875000 60.436 -110.4243
1.900000 60.749 -111.2922
1.925000 61.057 -112.1569
1.950000 61.361 -113.0204
1.975000 61.662 -113.8843
2.000000 61.959 -114.7498
2.030000 62.313 -115.7863
2.060000 62.659 -116.8086
2.090000 62.999 -117.8110
2.120000 63.331 -118.7955
2.140000 63.549 -119.4432
2.180000 63.977 -120.7219
2.200000 64.188 -121.3546
2.240000 64.601 -122.6105
2.270000 64.906 -123.5471
2.300000 65.207 -124.4815
2.330000 65.505 -125.4155
2.360000 65.798 -126.3483
2.400000 66.183 -127.5790
2.430000 66.466 -128.4877
2.470000 66.835 -129.6812
2.500000 67.107 -130.5649
2.540000 67.463 -131.7309
2.580000 67.813 -132.8865
2.620000 68.156 -134.0356
2.650000 68.410 -134.8951
2.690000 68.743 -136.0388
2.720000 68.990 -136.8921
2.760000 69.313 -138.0183
2.800000 69.629 -139.1303
2.850000 70.016 -140.5024
2.900000 70.395 -141.8583
2.950000 70.765 -143.2024
3.000000 71.127 -144.5387
3.040000 71.412 -145.6033
3.070000 71.623 -146.3975
3.110000 71.899 -147.4487
3.150000 72.170 -148.4902
3.200000 72.502 -149.7791
3.250000 72.826 -151.0544
3.300000 73.144 -152.3183
3.350000 73.455 -153.5729
3.400000 73.760 -154.8198
3.450000 74.059 -156.0578
3.500000 74.350 -157.2849
3.550000 74.635 -158.4993
3.600000 74.914 -159.7003
3.650000 75.187 -160.8879
3.700000 75.454 -162.0634
3.750000 75.716 -163.2298
3.820000 76.073 -164.8488
3.870000 76.320 -165.9919
3.950000 76.706 -167.7913
4.000000 76.940 -168.8953
4.060000 77.215 -170.2012
4.120000 77.483 -171.4930
4.180000 77.743 -172.7702
4.250000 78.038 -174.2357
4.310000 78.285 -175.4658
4.370000 78.526 -176.6700
4.440000 78.800 -178.0488
4.500000 79.027 -179.2129
4.550000 79.213 179.8316
4.620000 79.467 178.5209
4.680000 79.680 177.4256
4.750000 79.923 176.1795
4.820000 80.160 174.9607
4.870000 80.325 174.1061
4.940000 80.552 172.9347
5.000000 80.743 171.9558
5.080000 80.994 170.6877
5.150000 81.208 169.6086
5.220000 81.419 168.5553
5.300000 81.656 167.3824
5.380000 81.889 166.2426
5.450000 82.091 165.2722
5.520000 82.290 164.3249
5.600000 82.515 163.2667
5.700000 82.793 161.9751
5.800000 83.068 160.7169
5.900000 83.339 159.4905
6.000000 83.608 158.2864
6.080000 83.822 157.3346
6.150000 84.007 156.5110
6.220000 84.191 155.6957
6.300000 84.399 154.7711
6.400000 84.657 153.6212
6.500000 84.911 152.4773
6.600000 85.162 151.3408
6.700000 85.409 150.2098
6.800000 85.652 149.0824
6.900000 85.890 147.9595
7.000000 86.124 146.8439
7.100000 86.353 145.7367
7.200000 86.578 144.6368
7.300000 86.797 143.5469
7.400000 87.013 142.4708
7.500000 87.224 141.4085
7.620000 87.471 140.1520
7.750000 87.734 138.8185
7.880000 87.991 137.5147
8.000000 88.223 136.3363
8.120000 88.452 135.1829
8.250000 88.698 133.9605
8.380000 88.940 132.7621
8.500000 89.162 131.6751
8.620000 89.382 130.6048
8.750000 89.620 129.4581
8.850000 89.802 128.5835
9.000000 90.073 127.2814
9.120000 90.289 126.2432
9.250000 90.521 125.1209
9.380000 90.752 123.9992
9.500000 90.963 122.9622
9.620000 91.173 121.9240
9.750000 91.396 120.7973
9.880000 91.614 119.6683
10.000000 91.809 118.6245
10.150000 92.043 117.3173
10.300000 92.265 116.0078
10.440000 92.467 114.7823
10.600000 92.697 113.3777
10.750000 92.910 112.0543
10.900000 93.122 110.7227
11.060000 93.347 109.2907
11.200000 93.541 108.0246
11.380000 93.789 106.3769
11.500000 93.952 105.2633
11.720000 94.248 103.1891
11.800000 94.354 102.4235
12.060000 94.691 99.8932
12.200000 94.868 98.5038
12.410000 95.131 96.3854
12.500000 95.244 95.4652
12.650000 95.433 93.9150
12.800000 95.621 92.3447
13.150000 96.044 88.6005
13.200000 96.103 88.0562
13.400000 96.330 85.8546
13.600000 96.548 83.6127
13.800000 96.754 81.3302
14.000000 96.949 79.0074
14.300000 97.215 75.4551
14.500000 97.374 73.0494
14.750000 97.549 70.0132
15.000000 97.699 66.9636
15.250000 97.821 63.9214
15.500000 97.916 60.9060
15.750000 97.985 57.9367
16.000000 98.032 55.0293
16.250000 98.057 52.1961
16.500000 98.062 49.4467
16.750000 98.047 46.7893
17.000000 98.014 44.2311
17.250000 97.964 41.7789
17.500000 97.899 39.4393
17.750000 97.820 37.2187
18.000000 97.729 35.1219
18.250000 97.629 33.1515
18.500000 97.521 31.3077
18.750000 97.408 29.5881
19.000000 97.291 27.9880
19.250000 97.173 26.5020
19.500000 97.053 25.1240
19.750000 96.933 23.8482
20.000000 96.815 22.6695
20.299999 96.675 21.3760
20.600000 96.539 20.2054
20.900000 96.409 19.1470
21.200001 96.285 18.1889
21.400000 96.205 17.6002
21.799999 96.056 16.5290
22.000000 95.985 16.0416
22.400000 95.854 15.1539
22.700001 95.762 14.5583
23.000000 95.678 14.0164
23.299999 95.602 13.5212
23.600000 95.532 13.0649
24.000000 95.451 12.5040
24.299999 95.397 12.1118
24.700001 95.335 11.6201
25.000000 95.295 11.2724
25.400000 95.249 10.8334
25.799999 95.212 10.4171
26.200001 95.184 10.0158
26.500000 95.168 9.7202
26.900000 95.153 9.3289
27.200001 95.145 9.0364
27.600000 95.140 8.6473
28.000000 95.140 8.2589
28.500000 95.146 7.7722
29.000000 95.159 7.2782
29.500000 95.178 6.7702
30.000000 95.200 6.2467
30.400000 95.220 5.8201
30.700001 95.235 5.4979
31.100000 95.257 5.0663
31.500000 95.281 4.6311
32.000000 95.314 4.0774
32.500000 95.348 3.5092
33.000000 95.383 2.9285
33.500000 95.417 2.3402
34.000000 95.452 1.7472
34.500000 95.487 1.1493
35.000000 95.522 0.5454
35.500000 95.556 -0.0650
36.000000 95.589 -0.6813
36.500000 95.621 -1.3007
37.000000 95.652 -1.9184
37.500000 95.681 -2.5306
38.200001 95.722 -3.3825
38.700001 95.750 -3.9945
39.500000 95.792 -4.9800
40.000000 95.816 -5.5896
40.599998 95.843 -6.3083
41.200001 95.869 -7.0190
41.799999 95.895 -7.7295
42.500000 95.922 -8.5574
43.099998 95.942 -9.2591
43.700001 95.961 -9.9483
44.400002 95.981 -10.7367
45.000000 95.997 -11.4040
45.500000 96.010 -11.9568
46.200001 96.026 -12.7218
46.799999 96.037 -13.3629
47.500000 96.048 -14.0914
48.200001 96.058 -14.8041
48.700001 96.064 -15.3046
49.400002 96.071 -15.9905
50.000000 96.076 -16.5636
50.799999 96.083 -17.3144
51.500000 96.088 -17.9656
52.200001 96.091 -18.6058
53.000000 96.093 -19.3167
53.799999 96.094 -20.0113
54.500000 96.094 -20.6072
55.200001 96.094 -21.1892
56.000000 96.093 -21.8421
57.000000 96.088 -22.6286
58.000000 96.084 -23.3641
59.000000 96.081 -24.0866
60.000000 96.074 -24.7891
60.799999 96.068 -25.3285
61.500000 96.063 -25.7934
62.200001 96.056 -26.2468
63.000000 96.048 -26.7460
64.000000 96.040 -27.3537
65.000000 96.031 -27.9409
66.000000 96.022 -28.5036
67.000000 96.014 -29.0390
68.000000 96.008 -29.5558
69.000000 96.000 -30.0626
70.000000 95.992 -30.5372
71.000000 95.986 -30.9945
72.000000 95.979 -31.4453
73.000000 95.974 -31.8724
74.000000 95.970 -32.2839
75.000000 95.967 -32.6786
76.199997 95.966 -33.1185
77.500000 95.971 -33.5764
78.800003 95.977 -34.0212
80.000000 95.986 -34.4093
81.199997 96.001 -34.7900
82.500000 96.023 -35.2041
83.800003 96.052 -35.6335
85.000000 96.085 -36.0524
86.199997 96.122 -36.5118
87.500000 96.164 -37.0730
88.500000 96.197 -37.5556
90.000000 96.242 -38.4144
91.199997 96.267 -39.1946
92.500000 96.284 -40.0801
93.800003 96.292 -41.0151
95.000000 96.286 -41.9496
96.199997 96.262 -42.9551
97.500000 96.207 -44.1027
98.800003 96.126 -45.2792
100.000000 96.032 -46.3681
101.500000 95.903 -47.7100
103.000000 95.773 -49.0113
104.400002 95.659 -50.1609
106.000000 95.539 -51.3742
107.500000 95.435 -52.4183
109.000000 95.336 -53.3966
110.599998 95.234 -54.3999
112.000000 95.148 -55.2651
113.800003 95.043 -56.3709
115.000000 94.976 -57.1014
117.199997 94.861 -58.4419
118.000000 94.820 -58.9298
120.599998 94.685 -60.5047
122.000000 94.614 -61.3400
124.099998 94.510 -62.6060
125.000000 94.465 -63.1528
126.500000 94.391 -64.0689
128.000000 94.316 -64.9922
131.500000 94.138 -67.1683
132.000000 94.112 -67.4806
134.000000 94.006 -68.7306
136.000000 93.896 -69.9817
138.000000 93.780 -71.2451
140.000000 93.657 -72.5152
143.000000 93.457 -74.3704
145.000000 93.319 -75.5572
147.500000 93.139 -76.9739
150.000000 92.947 -78.3168
152.500000 92.737 -79.6025
155.000000 92.507 -80.8500
157.500000 92.258 -82.0453
160.000000 91.989 -83.1648
162.500000 91.692 -84.1842
165.000000 91.370 -85.0769
167.500000 91.029 -85.8141
170.000000 90.669 -86.3597
172.500000 90.292 -86.6733
175.000000 89.902 -86.7126
177.500000 89.507 -86.4386
180.000000 89.113 -85.8203
182.500000 88.731 -84.8311
185.000000 88.375 -83.4612
187.500000 88.060 -81.7435
190.000000 87.800 -79.7275
192.500000 87.604 -77.4976
195.000000 87.481 -75.1725
197.500000 87.433 -72.8816
200.000000 87.454 -70.7266
203.000000 87.560 -68.4431
206.000000 87.727 -66.6110
209.000000 87.930 -65.2469
212.000000 88.150 -64.3276
214.000000 88.297 -63.9441
218.000000 88.578 -63.6485
220.000000 88.708 -63.7005
224.000000 88.933 -64.1295
227.000000 89.068 -64.6666
230.000000 89.171 -65.3127
233.000000 89.242 -65.9959
236.000000 89.292 -66.6482
240.000000 89.342 -67.4295
243.000000 89.373 -67.9657
247.000000 89.406 -68.7429
250.000000 89.419 -69.3914
254.000000 89.413 -70.2837
258.000000 89.383 -71.1552
262.000000 89.332 -71.9701
265.000000 89.283 -72.5288
269.000000 89.207 -73.1984
272.000000 89.142 -73.6389
276.000000 89.050 -74.1398
280.000000 88.954 -74.5465
285.000000 88.829 -74.9114
290.000000 88.705 -75.1309
295.000000 88.584 -75.2247
300.000000 88.471 -75.1798
304.000000 88.389 -75.0393
307.000000 88.334 -74.8864
311.000000 88.272 -74.6425
