* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 8, 25 9:34:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: d-fi 4/4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.591 -3.2246
1.015000 45.785 -5.0133
1.030000 45.982 -6.8163
1.044000 46.169 -8.5153
1.060000 46.387 -10.4794
1.075000 46.595 -12.3458
1.090000 46.807 -14.2376
1.106000 47.038 -16.2766
1.120000 47.244 -18.0607
1.138000 47.513 -20.3356
1.150000 47.696 -21.8354
1.172000 48.035 -24.5421
1.180000 48.160 -25.5111
1.206000 48.570 -28.5991
1.220000 48.794 -30.2216
1.241000 49.132 -32.6011
1.250000 49.278 -33.6012
1.265000 49.522 -35.2422
1.280000 49.767 -36.8516
1.315000 50.342 -40.4917
1.320000 50.424 -40.9993
1.340000 50.752 -43.0016
1.360000 51.080 -44.9616
1.380000 51.406 -46.8839
1.400000 51.730 -48.7727
1.430000 52.211 -51.5525
1.450000 52.528 -53.3747
1.475000 52.920 -55.6086
1.500000 53.311 -57.7587
1.525000 53.702 -59.8131
1.550000 54.094 -61.7802
1.575000 54.486 -63.6709
1.600000 54.876 -65.4966
1.625000 55.265 -67.2679
1.650000 55.652 -68.9951
1.675000 56.036 -70.6875
1.700000 56.417 -72.3538
1.725000 56.794 -74.0018
1.750000 57.166 -75.6385
1.775000 57.533 -77.2702
1.800000 57.895 -78.9017
1.825000 58.250 -80.5341
1.850000 58.600 -82.1536
1.875000 58.946 -83.7391
1.900000 59.286 -85.2837
1.925000 59.623 -86.7882
1.950000 59.956 -88.2552
1.975000 60.284 -89.6881
2.000000 60.609 -91.0904
2.030000 60.993 -92.7384
2.060000 61.371 -94.3546
2.090000 61.744 -95.9460
2.120000 62.111 -97.5190
2.140000 62.352 -98.5607
2.180000 62.828 -100.6336
2.200000 63.062 -101.6649
2.240000 63.522 -103.7003
2.270000 63.859 -105.1929
2.300000 64.191 -106.6550
2.330000 64.516 -108.0882
2.360000 64.836 -109.4947
2.400000 65.255 -111.3336
2.430000 65.563 -112.6895
2.470000 65.966 -114.4729
2.500000 66.263 -115.7966
2.540000 66.653 -117.5494
2.580000 67.035 -119.2912
2.620000 67.408 -121.0146
2.650000 67.681 -122.2903
2.690000 68.039 -123.9667
2.720000 68.301 -125.2052
2.760000 68.644 -126.8322
2.800000 68.980 -128.4333
2.850000 69.390 -130.4027
2.900000 69.791 -132.3437
2.950000 70.181 -134.2645
3.000000 70.561 -136.1682
3.040000 70.856 -137.6750
3.070000 71.073 -138.7934
3.110000 71.356 -140.2673
3.150000 71.634 -141.7204
3.200000 71.973 -143.5071
3.250000 72.303 -145.2625
3.300000 72.626 -146.9917
3.350000 72.940 -148.7046
3.400000 73.246 -150.4038
3.450000 73.542 -152.0838
3.500000 73.830 -153.7391
3.550000 74.111 -155.3659
3.600000 74.385 -156.9621
3.650000 74.654 -158.5287
3.700000 74.915 -160.0736
3.750000 75.170 -161.6051
3.820000 75.514 -163.7233
3.870000 75.753 -165.2112
3.950000 76.123 -167.5379
4.000000 76.348 -168.9554
4.060000 76.612 -170.6240
4.120000 76.867 -172.2695
4.180000 77.115 -173.8932
4.250000 77.396 -175.7537
4.310000 77.631 -177.3138
4.370000 77.861 -178.8391
4.440000 78.122 179.4208
4.500000 78.340 177.9545
4.550000 78.518 176.7491
4.620000 78.761 175.0886
4.680000 78.965 173.6924
4.750000 79.199 172.0966
4.820000 79.429 170.5336
4.870000 79.589 169.4341
4.940000 79.810 167.9161
5.000000 79.996 166.6341
5.080000 80.240 164.9507
5.150000 80.450 163.5012
5.220000 80.657 162.0724
5.300000 80.889 160.4617
5.380000 81.117 158.8709
5.450000 81.314 157.4917
5.520000 81.508 156.1224
5.600000 81.726 154.5696
5.700000 81.993 152.6454
5.800000 82.253 150.7354
5.900000 82.508 148.8325
6.000000 82.755 146.9334
6.080000 82.948 145.4196
6.150000 83.113 144.1004
6.220000 83.274 142.7853
6.300000 83.453 141.2829
6.400000 83.670 139.4050
6.500000 83.877 137.5387
6.600000 84.076 135.6914
6.700000 84.265 133.8535
6.800000 84.444 132.0255
6.900000 84.615 130.2249
7.000000 84.776 128.4580
7.100000 84.927 126.7135
7.200000 85.070 124.9971
7.300000 85.205 123.3252
7.400000 85.332 121.6993
7.500000 85.452 120.1107
7.620000 85.587 118.2618
7.750000 85.726 116.3438
7.880000 85.858 114.5053
8.000000 85.974 112.8737
8.120000 86.088 111.3073
8.250000 86.209 109.6780
8.380000 86.328 108.1048
8.500000 86.439 106.6950
8.620000 86.549 105.3227
8.750000 86.667 103.8654
8.850000 86.758 102.7577
9.000000 86.893 101.1162
9.120000 86.998 99.8170
9.250000 87.109 98.4172
9.380000 87.215 97.0266
9.500000 87.309 95.7574
9.620000 87.397 94.5030
9.750000 87.487 93.1621
9.880000 87.565 91.8512
10.000000 87.626 90.6719
10.150000 87.690 89.2386
10.300000 87.744 87.8587
10.440000 87.789 86.6196
10.600000 87.836 85.2513
10.750000 87.882 84.0097
10.900000 87.928 82.7980
11.060000 87.977 81.5199
11.200000 88.021 80.4082
11.380000 88.074 78.9766
11.500000 88.107 78.0160
11.720000 88.158 76.2557
11.800000 88.172 75.6189
12.060000 88.203 73.5888
12.200000 88.209 72.5461
12.410000 88.213 71.0695
12.500000 88.215 70.4779
12.650000 88.224 69.5483
12.800000 88.239 68.6794
13.150000 88.307 66.8194
13.200000 88.322 66.5573
13.400000 88.390 65.4837
13.600000 88.471 64.3121
13.800000 88.556 62.9967
14.000000 88.630 61.5276
14.300000 88.695 59.0988
14.500000 88.692 57.4316
14.750000 88.631 55.4763
15.000000 88.516 53.8458
15.250000 88.374 52.7207
15.500000 88.250 52.1515
15.750000 88.187 52.0449
16.000000 88.218 52.1481
16.250000 88.344 52.1238
16.500000 88.538 51.7124
16.750000 88.753 50.7808
17.000000 88.944 49.3787
17.250000 89.083 47.6628
17.500000 89.155 45.8397
17.750000 89.169 44.1155
18.000000 89.142 42.6286
18.250000 89.100 41.4436
18.500000 89.070 40.5240
18.750000 89.064 39.7634
19.000000 89.087 39.0336
19.250000 89.127 38.2268
19.500000 89.167 37.3083
19.750000 89.193 36.3023
20.000000 89.197 35.2793
20.299999 89.175 34.1380
20.600000 89.137 33.1723
20.900000 89.103 32.3881
21.200001 89.086 31.7132
21.400000 89.085 31.2737
21.799999 89.095 30.3277
22.000000 89.099 29.8105
22.400000 89.094 28.7353
22.700001 89.077 27.9529
23.000000 89.057 27.2247
23.299999 89.040 26.5450
23.600000 89.027 25.8857
24.000000 89.016 24.9930
24.299999 89.007 24.3068
24.700001 88.992 23.3940
25.000000 88.981 22.7260
25.400000 88.969 21.8472
25.799999 88.962 20.9445
26.200001 88.951 20.0012
26.500000 88.935 19.2911
26.900000 88.901 18.4028
27.200001 88.872 17.8136
27.600000 88.839 17.1342
28.000000 88.820 16.5275
28.500000 88.815 15.7734
29.000000 88.817 14.9748
29.500000 88.820 14.1426
30.000000 88.822 13.2761
30.400000 88.820 12.5483
30.700001 88.812 11.9905
31.100000 88.791 11.2645
31.500000 88.762 10.5997
32.000000 88.728 9.8688
32.500000 88.707 9.1736
33.000000 88.692 8.4167
33.500000 88.667 7.5986
34.000000 88.626 6.8151
34.500000 88.579 6.1453
35.000000 88.542 5.5710
35.500000 88.519 5.0131
36.000000 88.502 4.4198
36.500000 88.483 3.8014
37.000000 88.460 3.1941
37.500000 88.436 2.6179
38.200001 88.403 1.8579
38.700001 88.380 1.3395
39.500000 88.344 0.5510
40.000000 88.324 0.0775
40.599998 88.303 -0.5010
41.200001 88.282 -1.1234
41.799999 88.251 -1.7767
42.500000 88.200 -2.4882
43.099998 88.155 -3.0096
43.700001 88.117 -3.4869
44.400002 88.078 -4.0477
45.000000 88.045 -4.5253
45.500000 88.019 -4.9113
46.200001 87.987 -5.4504
46.799999 87.959 -5.9222
47.500000 87.923 -6.4644
48.200001 87.887 -6.9890
48.700001 87.860 -7.3580
49.400002 87.821 -7.8553
50.000000 87.789 -8.2535
50.799999 87.751 -8.7792
51.500000 87.719 -9.2639
52.200001 87.681 -9.7403
53.000000 87.638 -10.2401
53.799999 87.597 -10.7175
54.500000 87.560 -11.1090
55.200001 87.524 -11.4522
56.000000 87.493 -11.8405
57.000000 87.453 -12.4012
58.000000 87.400 -12.9409
59.000000 87.349 -13.4376
60.000000 87.301 -13.9353
60.799999 87.267 -14.3450
61.500000 87.234 -14.7246
62.200001 87.196 -15.0699
63.000000 87.153 -15.3583
64.000000 87.118 -15.6063
65.000000 87.106 -15.8610
66.000000 87.096 -16.2558
67.000000 87.060 -16.6345
68.000000 87.032 -16.8945
69.000000 87.014 -17.3144
70.000000 86.974 -17.8077
71.000000 86.931 -18.2834
72.000000 86.881 -18.8059
73.000000 86.821 -19.2374
74.000000 86.775 -19.5708
75.000000 86.740 -19.9275
76.199997 86.695 -20.3879
77.500000 86.643 -20.8195
78.800003 86.595 -21.2388
80.000000 86.551 -21.6074
81.199997 86.515 -21.9768
82.500000 86.481 -22.3828
83.800003 86.446 -22.8428
85.000000 86.402 -23.2150
86.199997 86.360 -23.5379
87.500000 86.315 -23.8917
88.500000 86.280 -24.1800
90.000000 86.228 -24.6404
91.199997 86.186 -25.0470
92.500000 86.139 -25.4244
93.800003 86.097 -25.8033
95.000000 86.048 -26.0941
96.199997 86.004 -26.3037
97.500000 85.956 -26.5845
98.800003 85.902 -26.8830
100.000000 85.856 -27.1995
101.500000 85.797 -27.6356
103.000000 85.743 -27.9944
104.400002 85.699 -28.2357
106.000000 85.649 -28.4229
107.500000 85.592 -28.5751
109.000000 85.529 -28.7300
110.599998 85.460 -28.9718
112.000000 85.408 -29.1066
113.800003 85.367 -29.2859
115.000000 85.329 -29.4022
117.199997 85.228 -29.3899
118.000000 85.189 -29.3608
120.599998 85.111 -29.4183
122.000000 85.103 -29.7581
124.099998 85.099 -30.2561
125.000000 85.098 -30.3933
126.500000 85.085 -30.5345
128.000000 85.052 -30.5571
131.500000 84.972 -30.6935
132.000000 84.964 -30.7429
134.000000 84.949 -30.9773
136.000000 84.938 -31.1600
138.000000 84.929 -31.2274
140.000000 84.927 -31.3631
143.000000 84.936 -31.8145
145.000000 84.941 -32.2621
147.500000 84.922 -32.8790
150.000000 84.879 -33.4547
152.500000 84.828 -33.9716
155.000000 84.770 -34.3954
157.500000 84.710 -34.7589
160.000000 84.645 -35.1068
162.500000 84.577 -35.4093
165.000000 84.508 -35.6620
167.500000 84.437 -35.8950
170.000000 84.364 -36.1219
172.500000 84.293 -36.3635
175.000000 84.225 -36.5793
177.500000 84.160 -36.7712
180.000000 84.096 -36.9498
182.500000 84.033 -37.1262
185.000000 83.973 -37.2952
187.500000 83.913 -37.4569
190.000000 83.855 -37.6042
192.500000 83.796 -37.7410
195.000000 83.740 -37.8702
197.500000 83.685 -38.0026
200.000000 83.634 -38.1440
203.000000 83.578 -38.2987
206.000000 83.527 -38.4314
209.000000 83.479 -38.5554
212.000000 83.433 -38.6806
214.000000 83.402 -38.7690
218.000000 83.343 -38.9432
220.000000 83.314 -39.0200
224.000000 83.251 -39.1442
227.000000 83.207 -39.2411
230.000000 83.164 -39.3583
233.000000 83.119 -39.4512
236.000000 83.075 -39.5263
240.000000 83.019 -39.6243
243.000000 82.974 -39.6860
247.000000 82.919 -39.7527
250.000000 82.881 -39.8256
254.000000 82.824 -39.9213
258.000000 82.769 -39.9865
262.000000 82.717 -40.0394
265.000000 82.677 -40.0858
269.000000 82.625 -40.1497
272.000000 82.588 -40.1765
276.000000 82.537 -40.2056
280.000000 82.485 -40.2304
285.000000 82.422 -40.2568
290.000000 82.363 -40.2864
295.000000 82.307 -40.3074
300.000000 82.251 -40.3068
304.000000 82.205 -40.3041
307.000000 82.171 -40.2935
311.000000 82.128 -40.2642
