* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 8, 25 9:37:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: d-fi 5/4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.792 0.9410
1.015000 45.954 -1.4287
1.030000 46.120 -3.7798
1.044000 46.279 -5.9621
1.060000 46.466 -8.4478
1.075000 46.647 -10.7761
1.090000 46.833 -13.1083
1.106000 47.038 -15.6057
1.120000 47.223 -17.7986
1.138000 47.471 -20.6170
1.150000 47.642 -22.4877
1.172000 47.966 -25.8826
1.180000 48.086 -27.1019
1.206000 48.488 -30.9932
1.220000 48.710 -33.0360
1.241000 49.049 -36.0227
1.250000 49.196 -37.2726
1.265000 49.443 -39.3141
1.280000 49.693 -41.3029
1.315000 50.280 -45.7377
1.320000 50.364 -46.3481
1.340000 50.701 -48.7336
1.360000 51.036 -51.0325
1.380000 51.369 -53.2496
1.400000 51.699 -55.3903
1.430000 52.184 -58.4708
1.450000 52.499 -60.4459
1.475000 52.884 -62.8323
1.500000 53.267 -65.1241
1.525000 53.650 -67.3215
1.550000 54.032 -69.4305
1.575000 54.413 -71.4583
1.600000 54.792 -73.4124
1.625000 55.170 -75.3000
1.650000 55.544 -77.1286
1.675000 55.916 -78.9050
1.700000 56.283 -80.6357
1.725000 56.646 -82.3270
1.750000 57.003 -83.9844
1.775000 57.355 -85.6132
1.800000 57.700 -87.2180
1.825000 58.039 -88.8015
1.850000 58.371 -90.3598
1.875000 58.698 -91.8848
1.900000 59.019 -93.3731
1.925000 59.335 -94.8247
1.950000 59.646 -96.2406
1.975000 59.952 -97.6224
2.000000 60.254 -98.9717
2.030000 60.611 -100.5510
2.060000 60.961 -102.0903
2.090000 61.306 -103.5937
2.120000 61.645 -105.0651
2.140000 61.869 -106.0304
2.180000 62.310 -107.9278
2.200000 62.527 -108.8609
2.240000 62.954 -110.6905
2.270000 63.266 -112.0275
2.300000 63.573 -113.3350
2.330000 63.874 -114.6145
2.360000 64.170 -115.8680
2.400000 64.557 -117.5023
2.430000 64.841 -118.7032
2.470000 65.214 -120.2755
2.500000 65.490 -121.4360
2.540000 65.852 -122.9623
2.580000 66.208 -124.4660
2.620000 66.556 -125.9423
2.650000 66.812 -127.0298
2.690000 67.147 -128.4545
2.720000 67.393 -129.5050
2.760000 67.716 -130.8837
2.800000 68.032 -132.2397
2.850000 68.419 -133.9075
2.900000 68.799 -135.5504
2.950000 69.171 -137.1722
3.000000 69.534 -138.7699
3.040000 69.818 -140.0287
3.070000 70.027 -140.9615
3.110000 70.300 -142.1902
3.150000 70.569 -143.4028
3.200000 70.899 -144.8978
3.250000 71.221 -146.3725
3.300000 71.538 -147.8304
3.350000 71.847 -149.2740
3.400000 72.148 -150.7022
3.450000 72.443 -152.1128
3.500000 72.731 -153.5046
3.550000 73.012 -154.8772
3.600000 73.288 -156.2307
3.650000 73.558 -157.5668
3.700000 73.823 -158.8891
3.750000 74.081 -160.2001
3.820000 74.432 -162.0140
3.870000 74.677 -163.2913
3.950000 75.058 -165.2992
4.000000 75.291 -166.5311
4.060000 75.564 -167.9888
4.120000 75.830 -169.4297
4.180000 76.089 -170.8540
4.250000 76.384 -172.4917
4.310000 76.631 -173.8726
4.370000 76.873 -175.2312
4.440000 77.150 -176.7903
4.500000 77.382 -178.1081
4.550000 77.571 -179.1941
4.620000 77.831 179.3033
4.680000 78.050 178.0319
4.750000 78.301 176.5673
4.820000 78.548 175.1226
4.870000 78.722 174.1024
4.940000 78.961 172.6879
5.000000 79.163 171.4855
5.080000 79.428 169.8927
5.150000 79.656 168.5070
5.220000 79.881 167.1304
5.300000 80.134 165.5678
5.380000 80.383 164.0112
5.450000 80.596 162.6491
5.520000 80.807 161.2840
5.600000 81.043 159.7218
5.700000 81.332 157.7686
5.800000 81.612 155.8131
5.900000 81.883 153.8474
6.000000 82.145 151.8670
6.080000 82.348 150.2787
6.150000 82.520 148.8913
6.220000 82.687 147.5060
6.300000 82.870 145.9189
6.400000 83.090 143.9270
6.500000 83.298 141.9463
6.600000 83.494 139.9915
6.700000 83.678 138.0502
6.800000 83.850 136.1212
6.900000 84.011 134.2295
7.000000 84.162 132.3864
7.100000 84.301 130.5772
7.200000 84.430 128.8069
7.300000 84.551 127.0953
7.400000 84.665 125.4463
7.500000 84.771 123.8490
7.620000 84.891 122.0052
7.750000 85.016 120.1113
7.880000 85.135 118.3169
8.000000 85.242 116.7361
8.120000 85.351 115.2250
8.250000 85.469 113.6621
8.380000 85.588 112.1539
8.500000 85.701 110.7974
8.620000 85.817 109.4727
8.750000 85.943 108.0567
8.850000 86.041 106.9711
9.000000 86.188 105.3481
9.120000 86.304 104.0507
9.250000 86.427 102.6387
9.380000 86.545 101.2221
9.500000 86.649 99.9174
9.620000 86.749 98.6158
9.750000 86.848 97.2117
9.880000 86.937 95.8266
10.000000 87.005 94.5686
10.150000 87.075 93.0259
10.300000 87.133 91.5308
10.440000 87.178 90.1799
10.600000 87.222 88.6904
10.750000 87.259 87.3506
10.900000 87.293 86.0607
11.060000 87.329 84.7360
11.200000 87.359 83.6168
11.380000 87.397 82.2224
11.500000 87.422 81.3168
11.720000 87.469 79.6963
11.800000 87.486 79.1169
12.060000 87.541 77.2621
12.200000 87.570 76.2762
12.410000 87.615 74.8097
12.500000 87.637 74.1846
12.650000 87.676 73.1465
12.800000 87.715 72.1142
13.150000 87.798 69.7348
13.200000 87.808 69.4004
13.400000 87.844 68.0818
13.600000 87.873 66.8083
13.800000 87.896 65.5940
14.000000 87.915 64.4549
14.300000 87.943 62.9015
14.500000 87.969 61.9662
14.750000 88.015 60.8761
15.000000 88.082 59.8220
15.250000 88.168 58.7313
15.500000 88.266 57.5446
15.750000 88.366 56.2320
16.000000 88.456 54.7981
16.250000 88.527 53.2918
16.500000 88.572 51.7800
16.750000 88.591 50.3408
17.000000 88.591 49.0374
17.250000 88.582 47.9005
17.500000 88.575 46.9264
17.750000 88.579 46.0724
18.000000 88.597 45.2798
18.250000 88.626 44.4905
18.500000 88.660 43.6675
18.750000 88.692 42.8062
19.000000 88.714 41.9261
19.250000 88.725 41.0655
19.500000 88.727 40.2583
19.750000 88.724 39.5244
20.000000 88.723 38.8621
20.299999 88.731 38.1281
20.600000 88.750 37.4045
20.900000 88.778 36.6391
21.200001 88.805 35.8073
21.400000 88.820 35.2193
21.799999 88.837 34.0002
22.000000 88.839 33.3887
22.400000 88.833 32.1971
22.700001 88.824 31.3425
23.000000 88.813 30.5213
23.299999 88.804 29.7295
23.600000 88.796 28.9626
24.000000 88.791 27.9658
24.299999 88.793 27.2216
24.700001 88.800 26.2057
25.000000 88.805 25.4175
25.400000 88.804 24.3530
25.799999 88.791 23.3342
26.200001 88.773 22.4258
26.500000 88.763 21.8218
26.900000 88.766 21.0639
27.200001 88.777 20.4725
27.600000 88.794 19.5947
28.000000 88.791 18.6403
28.500000 88.746 17.5344
29.000000 88.675 16.7811
29.500000 88.635 16.4076
30.000000 88.663 16.0981
30.400000 88.722 15.6350
30.700001 88.768 15.1026
31.100000 88.808 14.1984
31.500000 88.811 13.2107
32.000000 88.775 12.0831
32.500000 88.724 11.1791
33.000000 88.685 10.4277
33.500000 88.659 9.7163
34.000000 88.637 9.0207
34.500000 88.619 8.3680
35.000000 88.613 7.7389
35.500000 88.616 7.0661
36.000000 88.617 6.3242
36.500000 88.603 5.5729
37.000000 88.580 4.8888
37.500000 88.557 4.2850
38.200001 88.532 3.4908
38.700001 88.514 2.9303
39.500000 88.484 2.0796
40.000000 88.470 1.5552
40.599998 88.455 0.8806
41.200001 88.431 0.1790
41.799999 88.400 -0.4794
42.500000 88.367 -1.1805
43.099998 88.345 -1.7758
43.700001 88.323 -2.3729
44.400002 88.297 -3.0374
45.000000 88.280 -3.5900
45.500000 88.267 -4.0634
46.200001 88.247 -4.7457
46.799999 88.223 -5.3166
47.500000 88.193 -5.9402
48.200001 88.163 -6.5284
48.700001 88.143 -6.9399
49.400002 88.117 -7.5165
50.000000 88.094 -8.0118
50.799999 88.062 -8.6616
51.500000 88.034 -9.2136
52.200001 88.007 -9.7488
53.000000 87.978 -10.3427
53.799999 87.950 -10.9297
54.500000 87.924 -11.4373
55.200001 87.896 -11.9184
56.000000 87.867 -12.4296
57.000000 87.838 -13.0837
58.000000 87.803 -13.8035
59.000000 87.758 -14.4863
60.000000 87.714 -15.1021
60.799999 87.685 -15.5795
61.500000 87.661 -15.9961
62.200001 87.639 -16.4230
63.000000 87.610 -16.9117
64.000000 87.568 -17.4561
65.000000 87.532 -17.9293
66.000000 87.502 -18.4349
67.000000 87.463 -18.9376
68.000000 87.431 -19.3721
69.000000 87.410 -19.8769
70.000000 87.386 -20.4580
71.000000 87.353 -21.0768
72.000000 87.304 -21.6252
73.000000 87.266 -21.9979
74.000000 87.254 -22.4159
75.000000 87.238 -22.9847
76.199997 87.194 -23.7006
77.500000 87.134 -24.3510
78.800003 87.085 -24.9363
80.000000 87.046 -25.4902
81.199997 87.005 -26.0270
82.500000 86.966 -26.5463
83.800003 86.923 -27.0811
85.000000 86.880 -27.5060
86.199997 86.840 -27.9760
87.500000 86.785 -28.4791
88.500000 86.744 -28.8320
90.000000 86.696 -29.3203
91.199997 86.672 -29.7797
92.500000 86.636 -30.3766
93.800003 86.585 -30.9133
95.000000 86.537 -31.3060
96.199997 86.495 -31.6739
97.500000 86.450 -32.0581
98.800003 86.406 -32.4126
100.000000 86.367 -32.7332
101.500000 86.319 -33.1504
103.000000 86.268 -33.6069
104.400002 86.216 -34.0475
106.000000 86.158 -34.5630
107.500000 86.105 -35.0433
109.000000 86.051 -35.5089
110.599998 85.985 -35.9475
112.000000 85.925 -36.2286
113.800003 85.855 -36.5287
115.000000 85.810 -36.7603
117.199997 85.716 -37.1333
118.000000 85.686 -37.2106
120.599998 85.609 -37.4852
122.000000 85.570 -37.5227
124.099998 85.534 -37.4135
125.000000 85.532 -37.3450
126.500000 85.545 -37.3185
128.000000 85.570 -37.3926
131.500000 85.659 -38.2871
132.000000 85.665 -38.4738
134.000000 85.672 -39.2357
136.000000 85.661 -39.9565
138.000000 85.649 -40.7487
140.000000 85.617 -41.5991
143.000000 85.554 -42.6241
145.000000 85.506 -43.1961
147.500000 85.444 -43.8561
150.000000 85.381 -44.5078
152.500000 85.315 -45.0772
155.000000 85.240 -45.5672
157.500000 85.165 -46.0309
160.000000 85.089 -46.4941
162.500000 85.008 -46.9024
165.000000 84.920 -47.2385
167.500000 84.832 -47.5435
170.000000 84.745 -47.8090
172.500000 84.679 -47.9689
175.000000 84.640 -48.0932
177.500000 84.614 -48.1523
180.000000 84.593 -48.1998
182.500000 84.579 -48.4036
185.000000 84.578 -48.8831
187.500000 84.570 -49.5461
190.000000 84.546 -50.1671
192.500000 84.508 -50.7589
195.000000 84.461 -51.3437
197.500000 84.409 -51.8933
200.000000 84.355 -52.3790
203.000000 84.290 -52.9288
206.000000 84.231 -53.4485
209.000000 84.180 -53.9083
212.000000 84.130 -54.3031
214.000000 84.096 -54.5631
218.000000 84.027 -55.0929
220.000000 83.995 -55.3596
224.000000 83.933 -55.8837
227.000000 83.887 -56.2702
230.000000 83.842 -56.6425
233.000000 83.797 -56.9926
236.000000 83.752 -57.3273
240.000000 83.691 -57.7790
243.000000 83.645 -58.1019
247.000000 83.587 -58.5078
250.000000 83.543 -58.8221
254.000000 83.485 -59.2529
258.000000 83.427 -59.6724
262.000000 83.367 -60.0616
265.000000 83.320 -60.3391
269.000000 83.260 -60.7052
272.000000 83.216 -60.9842
276.000000 83.162 -61.3546
280.000000 83.111 -61.7110
285.000000 83.049 -62.1458
290.000000 82.989 -62.5896
295.000000 82.927 -63.0170
300.000000 82.868 -63.4380
304.000000 82.821 -63.7643
307.000000 82.788 -64.0116
311.000000 82.744 -64.3456
