* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 9, 25 2:49:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: d-fi 5/4 UUU L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 35.858 -114.6120
1.015000 35.915 -108.2780
1.030000 36.001 -102.6748
1.044000 36.110 -98.1610
1.060000 36.273 -93.8292
1.075000 36.464 -90.4995
1.090000 36.696 -87.7802
1.106000 36.993 -85.3990
1.120000 37.300 -83.6010
1.138000 37.759 -81.5708
1.150000 38.102 -80.3728
1.172000 38.801 -78.4694
1.180000 39.075 -77.8646
1.206000 40.032 -76.1919
1.220000 40.582 -75.4624
1.241000 41.445 -74.5715
1.250000 41.826 -74.2593
1.265000 42.473 -73.8256
1.280000 43.131 -73.4936
1.315000 44.685 -73.0788
1.320000 44.907 -73.0575
1.340000 45.790 -73.0591
1.360000 46.655 -73.1914
1.380000 47.494 -73.4442
1.400000 48.297 -73.8079
1.430000 49.412 -74.5428
1.450000 50.084 -75.1427
1.475000 50.846 -75.9578
1.500000 51.550 -76.7295
1.525000 52.215 -77.4296
1.550000 52.845 -78.0852
1.575000 53.444 -78.7231
1.600000 54.016 -79.3647
1.625000 54.562 -80.0265
1.650000 55.087 -80.7212
1.675000 55.595 -81.4586
1.700000 56.087 -82.2460
1.725000 56.568 -83.0889
1.750000 57.040 -83.9911
1.775000 57.508 -84.9551
1.800000 57.973 -85.9813
1.825000 58.438 -87.0620
1.850000 58.899 -88.1618
1.875000 59.348 -89.2368
1.900000 59.785 -90.2779
1.925000 60.209 -91.2911
1.950000 60.621 -92.2843
1.975000 61.023 -93.2647
2.000000 61.415 -94.2390
2.030000 61.874 -95.4086
2.060000 62.322 -96.5872
2.090000 62.760 -97.7829
2.120000 63.190 -99.0029
2.140000 63.473 -99.8326
2.180000 64.032 -101.5359
2.200000 64.307 -102.4053
2.240000 64.847 -104.1396
2.270000 65.240 -105.4164
2.300000 65.624 -106.6716
2.330000 65.997 -107.9087
2.360000 66.363 -109.1316
2.400000 66.837 -110.7476
2.430000 67.185 -111.9542
2.470000 67.639 -113.5642
2.500000 67.973 -114.7778
2.540000 68.411 -116.4108
2.580000 68.840 -118.0593
2.620000 69.258 -119.7037
2.650000 69.563 -120.9259
2.690000 69.960 -122.5378
2.720000 70.250 -123.7333
2.760000 70.629 -125.3110
2.800000 70.998 -126.8726
2.850000 71.449 -128.8080
2.900000 71.888 -130.7332
2.950000 72.316 -132.6555
3.000000 72.731 -134.5712
3.040000 73.054 -136.0920
3.070000 73.290 -137.2233
3.110000 73.598 -138.7172
3.150000 73.899 -140.1937
3.200000 74.267 -142.0152
3.250000 74.625 -143.8120
3.300000 74.975 -145.5894
3.350000 75.316 -147.3557
3.400000 75.646 -149.1108
3.450000 75.967 -150.8486
3.500000 76.278 -152.5638
3.550000 76.582 -154.2528
3.600000 76.878 -155.9144
3.650000 77.168 -157.5499
3.700000 77.451 -159.1666
3.750000 77.727 -160.7713
3.820000 78.100 -162.9932
3.870000 78.358 -164.5569
3.950000 78.759 -167.0095
4.000000 79.003 -168.5098
4.060000 79.289 -170.2824
4.120000 79.567 -172.0350
4.180000 79.837 -173.7679
4.250000 80.142 -175.7589
4.310000 80.397 -177.4347
4.370000 80.646 -179.0807
4.440000 80.930 179.0306
4.500000 81.166 177.4307
4.550000 81.358 176.1109
4.620000 81.620 174.2872
4.680000 81.840 172.7487
4.750000 82.090 170.9833
4.820000 82.334 169.2431
4.870000 82.503 168.0114
4.940000 82.735 166.3042
5.000000 82.929 164.8595
5.080000 83.181 162.9632
5.150000 83.395 161.3298
5.220000 83.604 159.7128
5.300000 83.835 157.8833
5.380000 84.058 156.0798
5.450000 84.248 154.5272
5.520000 84.433 152.9966
5.600000 84.637 151.2647
5.700000 84.883 149.1268
5.800000 85.119 147.0318
5.900000 85.344 144.9836
6.000000 85.560 142.9670
6.080000 85.726 141.3779
6.150000 85.866 140.0109
6.220000 86.003 138.6685
6.300000 86.154 137.1595
6.400000 86.335 135.3032
6.500000 86.508 133.4859
6.600000 86.676 131.7150
6.700000 86.837 129.9851
6.800000 86.992 128.2902
6.900000 87.141 126.6330
7.000000 87.287 125.0152
7.100000 87.427 123.4316
7.200000 87.564 121.8788
7.300000 87.697 120.3565
7.400000 87.826 118.8631
7.500000 87.953 117.3950
7.620000 88.100 115.6642
7.750000 88.254 113.8242
7.880000 88.404 112.0155
8.000000 88.537 110.3735
8.120000 88.666 108.7563
8.250000 88.800 107.0285
8.380000 88.928 105.3293
8.500000 89.041 103.7872
8.620000 89.149 102.2676
8.750000 89.262 100.6513
8.850000 89.344 99.4312
9.000000 89.463 97.6353
9.120000 89.554 96.2304
9.250000 89.648 94.7425
9.380000 89.739 93.2867
9.500000 89.821 91.9709
9.620000 89.901 90.6814
9.750000 89.985 89.3113
9.880000 90.062 87.9658
10.000000 90.125 86.7437
10.150000 90.195 85.2399
10.300000 90.259 83.7583
10.440000 90.313 82.3929
10.600000 90.369 80.8527
10.750000 90.419 79.4272
10.900000 90.465 78.0206
11.060000 90.509 76.5458
11.200000 90.544 75.2774
11.380000 90.583 73.6848
11.500000 90.606 72.6491
11.720000 90.641 70.8088
11.800000 90.653 70.1602
12.060000 90.685 68.1268
12.200000 90.701 67.0793
12.410000 90.727 65.5648
12.500000 90.741 64.9344
12.650000 90.770 63.9068
12.800000 90.802 62.9030
13.150000 90.881 60.6317
13.200000 90.892 60.3132
13.400000 90.938 59.0505
13.600000 90.981 57.8021
13.800000 91.023 56.5651
14.000000 91.062 55.3396
14.300000 91.112 53.5257
14.500000 91.140 52.3371
14.750000 91.168 50.8819
15.000000 91.189 49.4679
15.250000 91.204 48.1030
15.500000 91.214 46.7918
15.750000 91.222 45.5342
16.000000 91.231 44.3247
16.250000 91.243 43.1509
16.500000 91.258 41.9981
16.750000 91.274 40.8510
17.000000 91.288 39.7002
17.250000 91.300 38.5455
17.500000 91.305 37.3967
17.750000 91.303 36.2729
18.000000 91.295 35.1949
18.250000 91.284 34.1804
18.500000 91.274 33.2359
18.750000 91.270 32.3520
19.000000 91.275 31.5066
19.250000 91.290 30.6659
19.500000 91.315 29.7983
19.750000 91.344 28.8810
20.000000 91.373 27.9055
20.299999 91.400 26.6723
20.600000 91.413 25.4077
20.900000 91.412 24.1594
21.200001 91.398 22.9673
21.400000 91.385 22.2148
21.799999 91.354 20.8121
22.000000 91.339 20.1550
22.400000 91.310 18.9072
22.700001 91.290 18.0187
23.000000 91.269 17.1684
23.299999 91.250 16.3564
23.600000 91.234 15.5769
24.000000 91.218 14.5629
24.299999 91.211 13.7968
24.700001 91.202 12.7424
25.000000 91.192 11.9277
25.400000 91.170 10.8363
25.799999 91.138 9.7803
26.200001 91.100 8.7872
26.500000 91.073 8.0814
26.900000 91.041 7.1715
27.200001 91.019 6.4973
27.600000 90.990 5.5996
28.000000 90.959 4.7105
28.500000 90.918 3.6373
29.000000 90.878 2.6218
29.500000 90.844 1.6447
30.000000 90.814 0.6673
30.400000 90.791 -0.1295
30.700001 90.770 -0.7318
31.100000 90.738 -1.5252
31.500000 90.701 -2.2880
32.000000 90.652 -3.1831
32.500000 90.605 -4.0262
33.000000 90.561 -4.8463
33.500000 90.518 -5.6572
34.000000 90.474 -6.4545
34.500000 90.432 -7.2398
35.000000 90.391 -8.0310
35.500000 90.349 -8.8385
36.000000 90.301 -9.6429
36.500000 90.248 -10.4083
37.000000 90.196 -11.1188
37.500000 90.149 -11.7928
38.200001 90.090 -12.7303
38.700001 90.049 -13.4062
39.500000 89.977 -14.4608
40.000000 89.932 -15.0862
40.599998 89.878 -15.8078
41.200001 89.827 -16.5169
41.799999 89.777 -17.2296
42.500000 89.715 -18.0693
43.099998 89.659 -18.7866
43.700001 89.599 -19.4865
44.400002 89.526 -20.2561
45.000000 89.466 -20.8721
45.500000 89.420 -21.3737
46.200001 89.357 -22.0835
46.799999 89.301 -22.6799
47.500000 89.234 -23.3216
48.200001 89.175 -23.9279
48.700001 89.135 -24.3668
49.400002 89.077 -24.9847
50.000000 89.026 -25.4967
50.799999 88.962 -26.1687
51.500000 88.905 -26.7733
52.200001 88.843 -27.3752
53.000000 88.770 -28.0247
53.799999 88.698 -28.6359
54.500000 88.638 -29.1581
55.200001 88.578 -29.6788
56.000000 88.507 -30.2605
57.000000 88.416 -30.9346
58.000000 88.330 -31.5500
59.000000 88.254 -32.1806
60.000000 88.174 -32.9004
60.799999 88.097 -33.4603
61.500000 88.028 -33.8805
62.200001 87.964 -34.2613
63.000000 87.896 -34.6789
64.000000 87.820 -35.1791
65.000000 87.752 -35.7045
66.000000 87.682 -36.2454
67.000000 87.611 -36.7867
68.000000 87.534 -37.3311
69.000000 87.454 -37.8340
70.000000 87.375 -38.3036
71.000000 87.299 -38.7547
72.000000 87.226 -39.2164
73.000000 87.149 -39.6461
74.000000 87.077 -40.0339
75.000000 87.006 -40.4400
76.199997 86.915 -40.8879
77.500000 86.823 -41.3237
78.800003 86.737 -41.8279
80.000000 86.646 -42.3468
81.199997 86.547 -42.7671
82.500000 86.452 -43.1255
83.800003 86.370 -43.4536
85.000000 86.303 -43.7593
86.199997 86.237 -44.0682
87.500000 86.166 -44.3927
88.500000 86.110 -44.6325
90.000000 86.032 -44.9501
91.199997 85.977 -45.2634
92.500000 85.910 -45.6605
93.800003 85.837 -46.0413
95.000000 85.769 -46.3563
96.199997 85.705 -46.6762
97.500000 85.628 -47.0319
98.800003 85.554 -47.2807
100.000000 85.500 -47.5151
101.500000 85.438 -47.8811
103.000000 85.363 -48.3102
104.400002 85.292 -48.5892
106.000000 85.224 -48.9672
107.500000 85.151 -49.3795
109.000000 85.063 -49.7423
110.599998 84.964 -50.0214
112.000000 84.884 -50.1919
113.800003 84.799 -50.4062
115.000000 84.752 -50.6158
117.199997 84.658 -51.0226
118.000000 84.624 -51.1384
120.599998 84.509 -51.5229
122.000000 84.440 -51.7117
124.099998 84.339 -52.0191
125.000000 84.300 -52.1721
126.500000 84.238 -52.4214
128.000000 84.183 -52.6585
131.500000 84.033 -53.0920
132.000000 84.012 -53.1101
134.000000 83.948 -53.2287
136.000000 83.879 -53.5627
138.000000 83.773 -53.6998
140.000000 83.674 -53.6202
143.000000 83.548 -53.5781
145.000000 83.501 -53.5503
147.500000 83.477 -53.4119
150.000000 83.467 -53.1607
152.500000 83.462 -53.0926
155.000000 83.485 -53.3642
157.500000 83.510 -53.9870
160.000000 83.492 -54.6169
162.500000 83.431 -55.2176
165.000000 83.345 -55.7802
167.500000 83.255 -56.2123
170.000000 83.166 -56.5410
172.500000 83.080 -56.8587
175.000000 82.995 -57.1867
177.500000 82.915 -57.4670
180.000000 82.837 -57.7066
182.500000 82.763 -57.9384
185.000000 82.692 -58.1718
187.500000 82.622 -58.3955
190.000000 82.550 -58.6029
192.500000 82.481 -58.7999
195.000000 82.413 -58.9884
197.500000 82.345 -59.1590
200.000000 82.282 -59.3087
203.000000 82.218 -59.4872
206.000000 82.160 -59.6782
209.000000 82.107 -59.8792
212.000000 82.057 -60.0862
214.000000 82.026 -60.2157
218.000000 81.963 -60.4435
220.000000 81.933 -60.5557
224.000000 81.871 -60.7936
227.000000 81.825 -60.9785
230.000000 81.780 -61.1663
233.000000 81.737 -61.3393
236.000000 81.693 -61.5185
240.000000 81.634 -61.7575
243.000000 81.596 -61.9162
247.000000 81.548 -62.1207
250.000000 81.509 -62.2876
254.000000 81.455 -62.5053
258.000000 81.401 -62.7036
262.000000 81.346 -62.9072
265.000000 81.306 -63.0700
269.000000 81.256 -63.2760
272.000000 81.219 -63.4299
276.000000 81.171 -63.6312
280.000000 81.126 -63.8211
285.000000 81.073 -64.0663
290.000000 81.021 -64.3067
295.000000 80.969 -64.5523
300.000000 80.919 -64.7836
304.000000 80.881 -64.9751
307.000000 80.853 -65.1223
