* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 9, 25 2:47:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: d-fi 5/4 UUU R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.833 20.2777
1.015000 48.969 18.5148
1.030000 49.109 16.7346
1.044000 49.243 15.0537
1.060000 49.400 13.1049
1.075000 49.553 11.2462
1.090000 49.710 9.3526
1.106000 49.884 7.2930
1.120000 50.039 5.4636
1.138000 50.241 3.0865
1.150000 50.379 1.4923
1.172000 50.634 -1.4376
1.180000 50.728 -2.5024
1.206000 51.038 -5.9480
1.220000 51.208 -7.7883
1.241000 51.465 -10.5215
1.250000 51.577 -11.6813
1.265000 51.764 -13.5973
1.280000 51.953 -15.4909
1.315000 52.399 -19.8177
1.320000 52.463 -20.4252
1.340000 52.722 -22.8293
1.360000 52.983 -25.1929
1.380000 53.246 -27.5183
1.400000 53.511 -29.8085
1.430000 53.911 -33.1853
1.450000 54.179 -35.4020
1.475000 54.516 -38.1291
1.500000 54.861 -40.7802
1.525000 55.212 -43.3403
1.550000 55.569 -45.8101
1.575000 55.931 -48.1947
1.600000 56.297 -50.5016
1.625000 56.665 -52.7392
1.650000 57.035 -54.9167
1.675000 57.405 -57.0435
1.700000 57.774 -59.1288
1.725000 58.141 -61.1814
1.750000 58.505 -63.2097
1.775000 58.864 -65.2214
1.800000 59.218 -67.2234
1.825000 59.565 -69.2185
1.850000 59.908 -71.1961
1.875000 60.248 -73.1357
1.900000 60.586 -75.0280
1.925000 60.922 -76.8713
1.950000 61.256 -78.6664
1.975000 61.588 -80.4152
2.000000 61.917 -82.1208
2.030000 62.307 -84.1157
2.060000 62.693 -86.0608
2.090000 63.074 -87.9639
2.120000 63.449 -89.8328
2.140000 63.695 -91.0637
2.180000 64.180 -93.4985
2.200000 64.418 -94.7041
2.240000 64.885 -97.0798
2.270000 65.228 -98.8208
2.300000 65.566 -100.5240
2.330000 65.899 -102.1895
2.360000 66.226 -103.8188
2.400000 66.653 -105.9391
2.430000 66.968 -107.4943
2.470000 67.380 -109.5280
2.500000 67.684 -111.0285
2.540000 68.082 -113.0040
2.580000 68.471 -114.9568
2.620000 68.851 -116.8851
2.650000 69.129 -118.3109
2.690000 69.493 -120.1813
2.720000 69.760 -121.5597
2.760000 70.109 -123.3647
2.800000 70.450 -125.1332
2.850000 70.866 -127.2964
2.900000 71.273 -129.4139
2.950000 71.669 -131.4969
3.000000 72.053 -133.5549
3.040000 72.352 -135.1805
3.070000 72.571 -136.3849
3.110000 72.858 -137.9686
3.150000 73.138 -139.5251
3.200000 73.480 -141.4314
3.250000 73.814 -143.2948
3.300000 74.140 -145.1207
3.350000 74.457 -146.9217
3.400000 74.765 -148.7032
3.450000 75.064 -150.4597
3.500000 75.355 -152.1858
3.550000 75.639 -153.8772
3.600000 75.916 -155.5314
3.650000 76.187 -157.1492
3.700000 76.452 -158.7384
3.750000 76.710 -160.3081
3.820000 77.059 -162.4716
3.870000 77.301 -163.9876
3.950000 77.678 -166.3539
4.000000 77.908 -167.7934
4.060000 78.177 -169.4848
4.120000 78.440 -171.1477
4.180000 78.695 -172.7844
4.250000 78.985 -174.6575
4.310000 79.227 -176.2290
4.370000 79.465 -177.7679
4.440000 79.737 -179.5256
4.500000 79.964 178.9937
4.550000 80.150 177.7766
4.620000 80.404 176.0986
4.680000 80.618 174.6844
4.750000 80.863 173.0618
4.820000 81.104 171.4658
4.870000 81.273 170.3400
4.940000 81.504 168.7827
5.000000 81.699 167.4645
5.080000 81.954 165.7293
5.150000 82.173 164.2297
5.220000 82.387 162.7446
5.300000 82.627 161.0645
5.380000 82.860 159.4034
5.450000 83.061 157.9647
5.520000 83.257 156.5374
5.600000 83.475 154.9161
5.700000 83.741 152.9063
5.800000 83.997 150.9212
5.900000 84.245 148.9595
6.000000 84.483 147.0115
6.080000 84.668 145.4661
6.150000 84.824 144.1284
6.220000 84.977 142.8059
6.300000 85.145 141.3079
6.400000 85.348 139.4506
6.500000 85.543 137.6200
6.600000 85.729 135.8252
6.700000 85.907 134.0591
6.800000 86.078 132.3179
6.900000 86.241 130.6110
7.000000 86.399 128.9427
7.100000 86.549 127.3056
7.200000 86.694 125.6991
7.300000 86.833 124.1290
7.400000 86.968 122.5951
7.500000 87.098 121.0919
7.620000 87.248 119.3288
7.750000 87.405 117.4707
7.880000 87.557 115.6603
8.000000 87.692 114.0285
8.120000 87.824 112.4331
8.250000 87.962 110.7413
8.380000 88.096 109.0853
8.500000 88.216 107.5863
8.620000 88.333 106.1129
8.750000 88.455 104.5454
8.850000 88.546 103.3594
9.000000 88.679 101.6093
9.120000 88.781 100.2354
9.250000 88.887 98.7731
9.380000 88.990 97.3358
9.500000 89.081 96.0324
9.620000 89.170 94.7512
9.750000 89.263 93.3862
9.880000 89.347 92.0455
10.000000 89.415 90.8286
10.150000 89.490 89.3336
10.300000 89.556 87.8672
10.440000 89.612 86.5226
10.600000 89.669 85.0150
10.750000 89.719 83.6298
10.900000 89.765 82.2724
11.060000 89.809 80.8597
11.200000 89.843 79.6537
11.380000 89.883 78.1510
11.500000 89.907 77.1809
11.720000 89.946 75.4705
11.800000 89.960 74.8716
12.060000 90.003 73.0033
12.200000 90.028 72.0426
12.410000 90.071 70.6480
12.500000 90.095 70.0617
12.650000 90.140 69.0959
12.800000 90.191 68.1342
13.150000 90.318 65.8675
13.200000 90.336 65.5384
13.400000 90.405 64.2061
13.600000 90.469 62.8546
13.800000 90.525 61.4922
14.000000 90.571 60.1398
14.300000 90.621 58.1674
14.500000 90.644 56.9167
14.750000 90.668 55.4407
15.000000 90.691 54.0602
15.250000 90.718 52.7531
15.500000 90.753 51.4828
15.750000 90.793 50.2147
16.000000 90.835 48.9218
16.250000 90.875 47.5993
16.500000 90.908 46.2609
16.750000 90.928 44.9351
17.000000 90.937 43.6559
17.250000 90.938 42.4490
17.500000 90.935 41.3278
17.750000 90.934 40.2863
18.000000 90.939 39.3036
18.250000 90.950 38.3511
18.500000 90.967 37.4006
18.750000 90.987 36.4344
19.000000 91.006 35.4467
19.250000 91.021 34.4449
19.500000 91.029 33.4442
19.750000 91.031 32.4608
20.000000 91.029 31.5086
20.299999 91.022 30.4153
20.600000 91.015 29.3742
20.900000 91.008 28.3745
21.200001 91.002 27.4033
21.400000 90.999 26.7672
21.799999 90.992 25.5186
22.000000 90.989 24.9062
22.400000 90.981 23.7075
22.700001 90.976 22.8284
23.000000 90.973 21.9603
23.299999 90.970 21.0953
23.600000 90.968 20.2272
24.000000 90.963 19.0621
24.299999 90.955 18.1875
24.700001 90.939 17.0360
25.000000 90.923 16.1958
25.400000 90.898 15.1211
25.799999 90.871 14.1042
26.200001 90.845 13.1387
26.500000 90.828 12.4387
26.900000 90.808 11.5231
27.200001 90.793 10.8432
27.600000 90.772 9.9467
28.000000 90.748 9.0758
28.500000 90.715 8.0541
29.000000 90.687 7.1116
29.500000 90.672 6.1877
30.000000 90.664 5.1927
30.400000 90.652 4.3278
30.700001 90.632 3.6648
31.100000 90.593 2.8193
31.500000 90.544 2.0720
32.000000 90.489 1.2827
32.500000 90.453 0.5564
33.000000 90.427 -0.2171
33.500000 90.397 -1.0394
34.000000 90.360 -1.8377
34.500000 90.327 -2.5893
35.000000 90.303 -3.3610
35.500000 90.277 -4.2083
36.000000 90.237 -5.0858
36.500000 90.182 -5.8899
37.000000 90.127 -6.5764
37.500000 90.085 -7.2003
38.200001 90.041 -8.1038
38.700001 90.009 -8.7784
39.500000 89.954 -9.8340
40.000000 89.922 -10.4832
40.599998 89.881 -11.2693
41.200001 89.834 -12.0382
41.799999 89.785 -12.7633
42.500000 89.731 -13.5728
43.099998 89.684 -14.2603
43.700001 89.636 -14.9388
44.400002 89.577 -15.7028
45.000000 89.527 -16.3344
45.500000 89.486 -16.8533
46.200001 89.428 -17.5746
46.799999 89.376 -18.1730
47.500000 89.317 -18.8340
48.200001 89.263 -19.4938
48.700001 89.223 -19.9844
49.400002 89.160 -20.6597
50.000000 89.102 -21.1798
50.799999 89.033 -21.8171
51.500000 88.978 -22.3902
52.200001 88.921 -22.9603
53.000000 88.858 -23.5724
53.799999 88.803 -24.2052
54.500000 88.751 -24.7866
55.200001 88.694 -25.3304
56.000000 88.634 -25.8940
57.000000 88.568 -26.5948
58.000000 88.505 -27.3254
59.000000 88.431 -28.0946
60.000000 88.345 -28.7673
60.799999 88.285 -29.2753
61.500000 88.227 -29.7596
62.200001 88.159 -30.1614
63.000000 88.101 -30.5054
64.000000 88.049 -31.1362
65.000000 87.952 -31.7858
66.000000 87.859 -32.0667
67.000000 87.812 -32.3418
68.000000 87.774 -32.9417
69.000000 87.683 -33.8373
70.000000 87.518 -34.5165
71.000000 87.360 -34.7120
72.000000 87.268 -34.8400
73.000000 87.199 -35.2586
74.000000 87.113 -35.6678
75.000000 87.050 -35.8617
76.199997 87.010 -36.1565
77.500000 86.960 -36.4724
78.800003 86.904 -36.6890
80.000000 86.859 -36.8081
81.199997 86.834 -37.0919
82.500000 86.794 -37.6820
83.800003 86.734 -38.3414
85.000000 86.671 -38.9243
86.199997 86.607 -39.4095
87.500000 86.543 -39.8897
88.500000 86.487 -40.2803
90.000000 86.381 -40.7909
91.199997 86.295 -41.1049
92.500000 86.213 -41.4178
93.800003 86.147 -41.7660
95.000000 86.092 -42.1211
96.199997 86.039 -42.5141
97.500000 85.966 -42.8715
98.800003 85.902 -43.1536
100.000000 85.828 -43.4830
101.500000 85.733 -43.6679
103.000000 85.673 -43.9010
104.400002 85.622 -44.3387
106.000000 85.536 -44.8631
107.500000 85.437 -45.0966
109.000000 85.356 -45.1495
110.599998 85.260 -45.1539
112.000000 85.190 -45.0232
113.800003 85.131 -45.1498
115.000000 85.088 -45.3765
117.199997 85.030 -45.7692
118.000000 85.020 -45.9129
120.599998 84.999 -46.4900
122.000000 84.965 -46.8044
124.099998 84.886 -47.1234
125.000000 84.851 -47.1871
126.500000 84.792 -47.3260
128.000000 84.720 -47.4164
131.500000 84.613 -47.9282
132.000000 84.600 -48.1270
134.000000 84.526 -49.0974
136.000000 84.424 -49.5721
138.000000 84.380 -49.4325
140.000000 84.342 -49.1990
143.000000 84.284 -48.8877
145.000000 84.272 -49.0262
147.500000 84.269 -49.5871
150.000000 84.238 -50.2200
152.500000 84.180 -50.7789
155.000000 84.110 -51.3499
157.500000 84.032 -51.8306
160.000000 83.949 -52.1932
162.500000 83.859 -52.5070
165.000000 83.769 -52.7971
167.500000 83.680 -53.0699
170.000000 83.594 -53.3206
172.500000 83.513 -53.5566
175.000000 83.434 -53.7849
177.500000 83.357 -54.0039
180.000000 83.279 -54.2113
182.500000 83.203 -54.4053
185.000000 83.129 -54.5962
187.500000 83.057 -54.7831
190.000000 82.990 -54.9686
192.500000 82.924 -55.1433
195.000000 82.860 -55.3021
197.500000 82.798 -55.4680
200.000000 82.739 -55.6411
203.000000 82.676 -55.8352
206.000000 82.616 -56.0214
209.000000 82.559 -56.1957
212.000000 82.505 -56.3641
214.000000 82.470 -56.4800
218.000000 82.405 -56.7192
220.000000 82.373 -56.8315
224.000000 82.308 -57.0292
227.000000 82.260 -57.1868
230.000000 82.213 -57.3575
233.000000 82.170 -57.5159
236.000000 82.128 -57.6619
240.000000 82.073 -57.8679
243.000000 82.031 -58.0131
247.000000 81.974 -58.1880
250.000000 81.932 -58.3177
254.000000 81.877 -58.4818
258.000000 81.824 -58.6610
262.000000 81.773 -58.8790
265.000000 81.729 -59.1168
269.000000 81.671 -59.3162
272.000000 81.639 -59.3542
276.000000 81.596 -59.4318
280.000000 81.549 -59.6119
285.000000 81.494 -59.8425
290.000000 81.440 -60.0621
295.000000 81.387 -60.2695
300.000000 81.335 -60.4535
304.000000 81.295 -60.6031
307.000000 81.267 -60.7306
311.000000 81.230 -60.9113
