* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 20, 24 10:36:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: dawn R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.040 12.7196
1.015000 64.249 9.4030
1.030000 64.464 6.1981
1.044000 64.671 3.2942
1.060000 64.914 0.0631
1.075000 65.149 -2.8954
1.090000 65.391 -5.7975
1.106000 65.661 -8.8344
1.120000 65.913 -11.4275
1.138000 66.263 -14.6435
1.150000 66.511 -16.7020
1.172000 66.992 -20.2818
1.180000 67.174 -21.5199
1.206000 67.790 -25.3031
1.220000 68.134 -27.1915
1.241000 68.661 -29.8394
1.250000 68.890 -30.9101
1.265000 69.273 -32.6146
1.280000 69.658 -34.2256
1.315000 70.549 -37.6622
1.320000 70.674 -38.1202
1.340000 71.168 -39.8806
1.360000 71.647 -41.5378
1.380000 72.104 -43.0955
1.400000 72.537 -44.5735
1.430000 73.129 -46.6746
1.450000 73.479 -48.0131
1.475000 73.864 -49.6235
1.500000 74.201 -51.1520
1.525000 74.499 -52.5933
1.550000 74.761 -53.9524
1.575000 74.992 -55.2313
1.600000 75.197 -56.4336
1.625000 75.379 -57.5762
1.650000 75.542 -58.6666
1.675000 75.692 -59.7123
1.700000 75.831 -60.7201
1.725000 75.964 -61.6968
1.750000 76.095 -62.6484
1.775000 76.229 -63.5850
1.800000 76.369 -64.5157
1.825000 76.518 -65.4364
1.850000 76.671 -66.3469
1.875000 76.822 -67.2416
1.900000 76.968 -68.1155
1.925000 77.108 -68.9653
1.950000 77.243 -69.7890
1.975000 77.373 -70.5893
2.000000 77.499 -71.3695
2.030000 77.646 -72.2701
2.060000 77.787 -73.1334
2.090000 77.925 -73.9619
2.120000 78.059 -74.7585
2.140000 78.147 -75.2736
2.180000 78.320 -76.2776
2.200000 78.405 -76.7729
2.240000 78.571 -77.7457
2.270000 78.690 -78.4599
2.300000 78.804 -79.1576
2.330000 78.915 -79.8358
2.360000 79.022 -80.4927
2.400000 79.160 -81.3538
2.430000 79.260 -81.9745
2.470000 79.390 -82.7639
2.500000 79.486 -83.3276
2.540000 79.611 -84.0431
2.580000 79.734 -84.7370
2.620000 79.852 -85.4357
2.650000 79.939 -85.9475
2.690000 80.050 -86.6115
2.720000 80.131 -87.0935
2.760000 80.236 -87.7105
2.800000 80.338 -88.3260
2.850000 80.462 -89.0536
2.900000 80.584 -89.7277
2.950000 80.704 -90.3522
3.000000 80.819 -90.9675
3.040000 80.908 -91.4480
3.070000 80.974 -91.7957
3.110000 81.059 -92.2416
3.150000 81.143 -92.6668
3.200000 81.247 -93.1912
3.250000 81.350 -93.6919
3.300000 81.454 -94.1576
3.350000 81.557 -94.5899
3.400000 81.659 -95.0181
3.450000 81.759 -95.4320
3.500000 81.860 -95.8243
3.550000 81.960 -96.1971
3.600000 82.060 -96.5803
3.650000 82.161 -96.9596
3.700000 82.263 -97.3217
3.750000 82.365 -97.6643
3.820000 82.509 -98.1547
3.870000 82.613 -98.5002
3.950000 82.778 -99.0423
4.000000 82.881 -99.4044
4.060000 83.005 -99.8517
4.120000 83.129 -100.2929
4.180000 83.254 -100.7352
4.250000 83.399 -101.2837
4.310000 83.522 -101.7536
4.370000 83.642 -102.2334
4.440000 83.780 -102.8420
4.500000 83.896 -103.3735
4.550000 83.992 -103.8185
4.620000 84.123 -104.4717
4.680000 84.232 -105.0350
4.750000 84.354 -105.6875
4.820000 84.470 -106.3750
4.870000 84.550 -106.8791
4.940000 84.658 -107.5851
5.000000 84.746 -108.1979
5.080000 84.857 -109.0019
5.150000 84.947 -109.6785
5.220000 85.030 -110.3712
5.300000 85.117 -111.1617
5.380000 85.197 -111.9228
5.450000 85.262 -112.5691
5.520000 85.321 -113.1651
5.600000 85.382 -113.8214
5.700000 85.449 -114.6106
5.800000 85.511 -115.3170
5.900000 85.570 -115.9309
6.000000 85.624 -116.4503
6.080000 85.667 -116.8219
6.150000 85.706 -117.0965
6.220000 85.749 -117.3439
6.300000 85.802 -117.5682
6.400000 85.874 -117.7738
6.500000 85.954 -117.9414
6.600000 86.047 -118.0825
6.700000 86.153 -118.2008
6.800000 86.272 -118.2948
6.900000 86.401 -118.4220
7.000000 86.541 -118.5966
7.100000 86.692 -118.8170
7.200000 86.851 -119.0805
7.300000 87.012 -119.4248
7.400000 87.174 -119.8500
7.500000 87.338 -120.3538
7.620000 87.530 -121.0404
7.750000 87.727 -121.8925
7.880000 87.911 -122.8649
8.000000 88.068 -123.8110
8.120000 88.206 -124.7917
8.250000 88.337 -125.8964
8.380000 88.449 -126.9934
8.500000 88.536 -127.9789
8.620000 88.607 -128.9388
8.750000 88.669 -129.9211
8.850000 88.708 -130.6208
9.000000 88.752 -131.5774
9.120000 88.780 -132.2630
9.250000 88.807 -132.9100
9.380000 88.832 -133.4622
9.500000 88.855 -133.9091
9.620000 88.880 -134.2887
9.750000 88.909 -134.6358
9.880000 88.939 -134.9358
10.000000 88.965 -135.1693
10.150000 88.997 -135.4625
10.300000 89.031 -135.7168
10.440000 89.065 -135.9262
10.600000 89.107 -136.1435
10.750000 89.151 -136.3358
10.900000 89.200 -136.5231
11.060000 89.259 -136.7599
11.200000 89.316 -137.0216
11.380000 89.394 -137.3881
11.500000 89.448 -137.6567
11.720000 89.546 -138.2122
11.800000 89.581 -138.4386
12.060000 89.689 -139.2857
12.200000 89.740 -139.8385
12.410000 89.807 -140.7162
12.500000 89.833 -141.1008
12.650000 89.871 -141.7466
12.800000 89.903 -142.3792
13.150000 89.946 -143.7792
13.200000 89.949 -143.9684
13.400000 89.961 -144.6651
13.600000 89.971 -145.2729
13.800000 89.987 -145.8055
14.000000 90.011 -146.3052
14.300000 90.065 -147.1261
14.500000 90.107 -147.7191
14.750000 90.158 -148.5220
15.000000 90.199 -149.3775
15.250000 90.225 -150.2887
15.500000 90.239 -151.1355
15.750000 90.247 -151.8733
16.000000 90.263 -152.4945
16.250000 90.298 -153.0854
16.500000 90.356 -153.6760
16.750000 90.431 -154.3470
17.000000 90.511 -155.1555
17.250000 90.581 -156.1335
17.500000 90.629 -157.2080
17.750000 90.646 -158.2870
18.000000 90.632 -159.2771
18.250000 90.598 -160.1191
18.500000 90.557 -160.7398
18.750000 90.526 -161.1475
19.000000 90.517 -161.4026
19.250000 90.537 -161.6298
19.500000 90.580 -161.9010
19.750000 90.635 -162.2784
20.000000 90.690 -162.7770
20.299999 90.737 -163.5139
20.600000 90.756 -164.2611
20.900000 90.754 -164.9080
21.200001 90.747 -165.4189
21.400000 90.748 -165.6920
21.799999 90.778 -166.1826
22.000000 90.806 -166.4687
22.400000 90.869 -167.2549
22.700001 90.900 -167.9998
23.000000 90.905 -168.7926
23.299999 90.885 -169.5415
23.600000 90.851 -170.1520
24.000000 90.818 -170.7465
24.299999 90.819 -171.1452
24.700001 90.848 -171.7932
25.000000 90.871 -172.4364
25.400000 90.873 -173.4485
25.799999 90.829 -174.3826
26.200001 90.766 -175.0245
26.500000 90.737 -175.3073
26.900000 90.747 -175.5970
27.200001 90.787 -175.9313
27.600000 90.848 -176.6754
28.000000 90.872 -177.6707
28.500000 90.822 -178.8462
29.000000 90.734 -179.4825
29.500000 90.700 -179.6481
30.000000 90.751 -179.8440
30.400000 90.821 179.6956
30.700001 90.866 179.1681
31.100000 90.900 178.3131
31.500000 90.904 177.3943
32.000000 90.875 176.2833
32.500000 90.816 175.2467
33.000000 90.730 174.3654
33.500000 90.630 173.7319
34.000000 90.550 173.3488
34.500000 90.512 173.0264
35.000000 90.507 172.5399
35.500000 90.499 171.7990
36.000000 90.458 170.9347
36.500000 90.381 170.1656
37.000000 90.292 169.6470
37.500000 90.222 169.3538
38.200001 90.177 169.0607
38.700001 90.170 168.7800
39.500000 90.176 168.1273
40.000000 90.174 167.5687
40.599998 90.142 166.7962
41.200001 90.065 166.1755
41.799999 89.985 165.9309
42.500000 89.968 165.7978
43.099998 89.996 165.2518
43.700001 89.973 164.2817
44.400002 89.844 163.3227
45.000000 89.727 163.0468
45.500000 89.683 162.9799
46.200001 89.680 162.5576
46.799999 89.656 161.8680
47.500000 89.581 161.1931
48.200001 89.526 160.8639
48.700001 89.521 160.6393
49.400002 89.530 160.1025
50.000000 89.518 159.4906
50.799999 89.458 158.7336
51.500000 89.376 158.3256
52.200001 89.300 158.2540
53.000000 89.278 158.2997
53.799999 89.298 157.8858
54.500000 89.269 157.1409
55.200001 89.179 156.5341
56.000000 89.091 156.2172
57.000000 89.050 155.5609
58.000000 88.941 154.6482
59.000000 88.842 154.3185
60.000000 88.808 153.6845
60.799999 88.717 153.0633
61.500000 88.628 152.9084
62.200001 88.587 152.8441
63.000000 88.562 152.4175
64.000000 88.462 151.6205
65.000000 88.327 151.1734
66.000000 88.237 150.9185
67.000000 88.183 150.4466
68.000000 88.109 149.8268
69.000000 88.018 149.3739
70.000000 87.934 149.1485
71.000000 87.874 149.0819
72.000000 87.845 148.9557
73.000000 87.815 148.5630
74.000000 87.742 148.0421
75.000000 87.641 147.6862
76.199997 87.536 147.3932
77.500000 87.438 147.0227
78.800003 87.338 146.6050
80.000000 87.249 146.3001
81.199997 87.165 145.9544
82.500000 87.064 145.6937
83.800003 86.987 145.4708
85.000000 86.904 145.1014
86.199997 86.796 144.8469
87.500000 86.689 144.7435
88.500000 86.620 144.6928
90.000000 86.551 144.4836
91.199997 86.488 144.1551
92.500000 86.419 143.9563
93.800003 86.370 143.7598
95.000000 86.317 143.5760
96.199997 86.254 143.4409
97.500000 86.178 143.3496
98.800003 86.099 143.2036
100.000000 86.020 143.0280
101.500000 85.931 142.7765
103.000000 85.842 142.4140
104.400002 85.753 142.1606
106.000000 85.654 141.9857
107.500000 85.563 141.8996
109.000000 85.479 141.8234
110.599998 85.396 141.6526
112.000000 85.319 141.4447
113.800003 85.220 141.2543
115.000000 85.156 141.1633
117.199997 85.038 141.0481
118.000000 84.995 141.0063
120.599998 84.858 140.9211
122.000000 84.789 140.8429
124.099998 84.677 140.7436
125.000000 84.628 140.7343
126.500000 84.553 140.7281
128.000000 84.483 140.6808
131.500000 84.321 140.4999
132.000000 84.298 140.4861
134.000000 84.208 140.4396
136.000000 84.119 140.4029
138.000000 84.033 140.3746
140.000000 83.946 140.3507
143.000000 83.810 140.4228
145.000000 83.721 140.4891
147.500000 83.610 140.5342
150.000000 83.500 140.5263
152.500000 83.396 140.6028
155.000000 83.317 140.7165
157.500000 83.253 140.8478
160.000000 83.187 140.9830
162.500000 83.111 141.0931
165.000000 83.028 141.1016
167.500000 82.930 141.0360
170.000000 82.828 141.0366
172.500000 82.728 141.0556
175.000000 82.628 141.1077
177.500000 82.530 141.2007
180.000000 82.433 141.2872
182.500000 82.331 141.3786
185.000000 82.234 141.5101
187.500000 82.141 141.6441
190.000000 82.051 141.8156
192.500000 81.964 141.9582
195.000000 81.883 142.0922
197.500000 81.812 142.2125
200.000000 81.743 142.2901
203.000000 81.653 142.3654
206.000000 81.564 142.4355
209.000000 81.480 142.5144
212.000000 81.395 142.6727
214.000000 81.340 142.8147
218.000000 81.234 143.0991
220.000000 81.182 143.2028
224.000000 81.084 143.3613
227.000000 81.012 143.4896
230.000000 80.939 143.7112
233.000000 80.868 143.9666
236.000000 80.794 144.2216
240.000000 80.697 144.5279
243.000000 80.631 144.6713
247.000000 80.543 144.8552
250.000000 80.476 145.0415
254.000000 80.388 145.3575
258.000000 80.302 145.6841
262.000000 80.215 146.0216
265.000000 80.153 146.2667
269.000000 80.074 146.5701
272.000000 80.017 146.7972
276.000000 79.942 147.0940
280.000000 79.869 147.3939
285.000000 79.775 147.7646
290.000000 79.683 148.1232
295.000000 79.596 148.4979
300.000000 79.514 148.8305
304.000000 79.449 149.1165
307.000000 79.400 149.3364
311.000000 79.334 149.6354
315.000000 79.270 149.9540
320.000000 79.191 150.3594
