* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 31, 25 11:49:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edc pro oct25 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.373 -10.7907
1.015000 63.570 -13.1275
1.030000 63.773 -15.4532
1.044000 63.968 -17.6141
1.060000 64.198 -20.0726
1.075000 64.420 -22.3666
1.090000 64.648 -24.6480
1.106000 64.903 -27.0528
1.120000 65.138 -29.1052
1.138000 65.459 -31.6446
1.150000 65.684 -33.2690
1.172000 66.116 -36.0991
1.180000 66.278 -37.0811
1.206000 66.823 -40.0973
1.220000 67.125 -41.6141
1.241000 67.586 -43.7568
1.250000 67.785 -44.6292
1.265000 68.119 -46.0258
1.280000 68.453 -47.3552
1.315000 69.227 -50.2245
1.320000 69.335 -50.6105
1.340000 69.764 -52.1019
1.360000 70.181 -53.5175
1.380000 70.581 -54.8562
1.400000 70.961 -56.1338
1.430000 71.487 -57.9609
1.450000 71.802 -59.1287
1.475000 72.156 -60.5278
1.500000 72.471 -61.8309
1.525000 72.754 -63.0314
1.550000 73.009 -64.1408
1.575000 73.239 -65.1670
1.600000 73.447 -66.1178
1.625000 73.636 -67.0133
1.650000 73.811 -67.8632
1.675000 73.975 -68.6764
1.700000 74.130 -69.4605
1.725000 74.280 -70.2225
1.750000 74.429 -70.9683
1.775000 74.580 -71.7076
1.800000 74.736 -72.4486
1.825000 74.899 -73.1844
1.850000 75.066 -73.9072
1.875000 75.230 -74.6034
1.900000 75.391 -75.2690
1.925000 75.548 -75.9045
1.950000 75.700 -76.5119
1.975000 75.849 -77.0971
2.000000 75.994 -77.6660
2.030000 76.164 -78.3208
2.060000 76.330 -78.9497
2.090000 76.492 -79.5571
2.120000 76.650 -80.1474
2.140000 76.755 -80.5333
2.180000 76.960 -81.2993
2.200000 77.061 -81.6830
2.240000 77.259 -82.4322
2.270000 77.402 -82.9733
2.300000 77.542 -83.4951
2.330000 77.678 -83.9979
2.360000 77.810 -84.4825
2.400000 77.982 -85.1231
2.430000 78.108 -85.5882
2.470000 78.272 -86.1864
2.500000 78.393 -86.6208
2.540000 78.551 -87.1844
2.580000 78.706 -87.7462
2.620000 78.857 -88.3200
2.650000 78.967 -88.7396
2.690000 79.111 -89.2834
2.720000 79.215 -89.6784
2.760000 79.352 -90.1859
2.800000 79.484 -90.7013
2.850000 79.646 -91.3212
2.900000 79.803 -91.9106
2.950000 79.956 -92.4751
3.000000 80.103 -93.0489
3.040000 80.216 -93.5053
3.070000 80.299 -93.8390
3.110000 80.408 -94.2708
3.150000 80.513 -94.6862
3.200000 80.642 -95.2039
3.250000 80.767 -95.7043
3.300000 80.890 -96.1780
3.350000 81.010 -96.6319
3.400000 81.126 -97.0956
3.450000 81.239 -97.5529
3.500000 81.348 -97.9903
3.550000 81.456 -98.4045
3.600000 81.561 -98.8210
3.650000 81.664 -99.2241
3.700000 81.766 -99.6063
3.750000 81.865 -99.9734
3.820000 82.001 -100.5007
3.870000 82.095 -100.8663
3.950000 82.244 -101.4134
4.000000 82.335 -101.7546
4.060000 82.444 -102.1528
4.120000 82.550 -102.5299
4.180000 82.655 -102.8966
4.250000 82.776 -103.3388
4.310000 82.878 -103.6970
4.370000 82.980 -104.0413
4.440000 83.098 -104.4582
4.500000 83.198 -104.7999
4.550000 83.280 -105.0736
4.620000 83.395 -105.4740
4.680000 83.493 -105.8129
4.750000 83.606 -106.1954
4.820000 83.720 -106.5942
4.870000 83.800 -106.8770
4.940000 83.913 -107.2621
5.000000 84.008 -107.6025
5.080000 84.135 -108.0644
5.150000 84.245 -108.4633
5.220000 84.354 -108.8809
5.300000 84.477 -109.3604
5.380000 84.600 -109.8390
5.450000 84.705 -110.2824
5.520000 84.809 -110.7227
5.600000 84.925 -111.2403
5.700000 85.069 -111.9106
5.800000 85.208 -112.5856
5.900000 85.343 -113.2823
6.000000 85.473 -113.9899
6.080000 85.575 -114.5741
6.150000 85.660 -115.0759
6.220000 85.744 -115.5906
6.300000 85.835 -116.1776
6.400000 85.946 -116.9158
6.500000 86.050 -117.6608
6.600000 86.150 -118.3889
6.700000 86.245 -119.1175
6.800000 86.334 -119.8363
6.900000 86.420 -120.5471
7.000000 86.501 -121.2319
7.100000 86.578 -121.9084
7.200000 86.652 -122.5642
7.300000 86.724 -123.2029
7.400000 86.792 -123.8128
7.500000 86.859 -124.4089
7.620000 86.936 -125.0951
7.750000 87.018 -125.8018
7.880000 87.100 -126.4861
8.000000 87.174 -127.0855
8.120000 87.249 -127.6650
8.250000 87.331 -128.2703
8.380000 87.413 -128.8565
8.500000 87.491 -129.3943
8.620000 87.569 -129.9231
8.750000 87.655 -130.4933
8.850000 87.720 -130.9363
9.000000 87.818 -131.5973
9.120000 87.895 -132.1311
9.250000 87.977 -132.7124
9.380000 88.058 -133.2926
9.500000 88.131 -133.8351
9.620000 88.201 -134.3742
9.750000 88.273 -134.9581
9.880000 88.338 -135.5372
10.000000 88.389 -136.0560
10.150000 88.444 -136.7345
10.300000 88.491 -137.3801
10.440000 88.528 -137.9525
10.600000 88.567 -138.5726
10.750000 88.602 -139.1215
10.900000 88.635 -139.6427
11.060000 88.672 -140.2042
11.200000 88.706 -140.7213
11.380000 88.749 -141.3666
11.500000 88.777 -141.7871
11.720000 88.825 -142.5402
11.800000 88.841 -142.8091
12.060000 88.891 -143.6892
12.200000 88.915 -144.1938
12.410000 88.952 -144.9287
12.500000 88.969 -145.2338
12.650000 89.000 -145.7287
12.800000 89.032 -146.2058
13.150000 89.106 -147.3038
13.200000 89.117 -147.4639
13.400000 89.158 -148.0891
13.600000 89.198 -148.6953
13.800000 89.236 -149.2878
14.000000 89.273 -149.8749
14.300000 89.324 -150.8107
14.500000 89.353 -151.4215
14.750000 89.384 -152.1568
15.000000 89.409 -152.8532
15.250000 89.432 -153.5590
15.500000 89.455 -154.2164
15.750000 89.479 -154.8296
16.000000 89.508 -155.4142
16.250000 89.542 -156.0290
16.500000 89.581 -156.6475
16.750000 89.619 -157.2781
17.000000 89.656 -157.9254
17.250000 89.688 -158.6117
17.500000 89.715 -159.2970
17.750000 89.736 -159.9642
18.000000 89.753 -160.6066
18.250000 89.767 -161.2441
18.500000 89.780 -161.8497
18.750000 89.793 -162.4236
19.000000 89.805 -162.9729
19.250000 89.818 -163.5280
19.500000 89.831 -164.0709
19.750000 89.844 -164.6038
20.000000 89.855 -165.1265
20.299999 89.866 -165.7685
20.600000 89.876 -166.3872
20.900000 89.883 -166.9796
21.200001 89.891 -167.5665
21.400000 89.896 -167.9530
21.799999 89.906 -168.7078
22.000000 89.912 -169.0815
22.400000 89.921 -169.8491
22.700001 89.925 -170.4191
23.000000 89.927 -170.9802
23.299999 89.926 -171.5422
23.600000 89.923 -172.0851
24.000000 89.917 -172.7757
24.299999 89.913 -173.2888
24.700001 89.908 -173.9514
25.000000 89.905 -174.4348
25.400000 89.898 -175.0809
25.799999 89.891 -175.7089
26.200001 89.882 -176.3303
26.500000 89.874 -176.7930
26.900000 89.861 -177.3909
27.200001 89.850 -177.8278
27.600000 89.833 -178.3854
28.000000 89.815 -178.9062
28.500000 89.797 -179.5336
29.000000 89.784 179.8423
29.500000 89.773 179.1639
30.000000 89.752 178.4469
30.400000 89.725 177.8802
30.700001 89.700 177.4935
31.100000 89.665 177.0432
31.500000 89.638 176.6450
32.000000 89.620 176.1635
32.500000 89.611 175.6019
33.000000 89.598 174.9639
33.500000 89.571 174.3177
34.000000 89.537 173.7347
34.500000 89.508 173.1938
35.000000 89.484 172.6498
35.500000 89.456 172.0821
36.000000 89.419 171.5440
36.500000 89.378 171.0799
37.000000 89.346 170.6833
37.500000 89.326 170.2797
38.200001 89.303 169.6035
38.700001 89.277 169.0515
39.500000 89.213 168.1901
40.000000 89.166 167.7169
40.599998 89.111 167.2075
41.200001 89.062 166.7248
41.799999 89.016 166.2300
42.500000 88.957 165.6508
43.099998 88.905 165.2005
43.700001 88.859 164.7847
44.400002 88.810 164.2841
45.000000 88.763 163.8514
45.500000 88.722 163.5162
46.200001 88.667 163.0908
46.799999 88.622 162.7295
47.500000 88.567 162.3143
48.200001 88.511 161.9303
48.700001 88.474 161.6541
49.400002 88.416 161.2653
50.000000 88.363 160.9883
50.799999 88.307 160.7014
51.500000 88.273 160.3981
52.200001 88.235 160.0306
53.000000 88.186 159.6618
53.799999 88.150 159.3274
54.500000 88.126 158.9814
55.200001 88.101 158.5730
56.000000 88.064 158.0392
57.000000 87.993 157.3892
58.000000 87.916 156.8933
59.000000 87.847 156.4033
60.000000 87.773 155.9190
60.799999 87.714 155.5548
61.500000 87.661 155.2439
62.200001 87.610 154.9551
63.000000 87.556 154.6243
64.000000 87.484 154.1442
65.000000 87.400 153.7295
66.000000 87.322 153.3858
67.000000 87.249 153.0753
68.000000 87.187 152.7862
69.000000 87.133 152.4153
70.000000 87.064 152.0084
71.000000 86.987 151.6970
72.000000 86.917 151.4579
73.000000 86.855 151.2134
74.000000 86.791 150.9191
75.000000 86.721 150.6015
76.199997 86.629 150.2421
77.500000 86.530 149.9189
78.800003 86.440 149.6070
80.000000 86.362 149.3246
81.199997 86.286 149.0618
82.500000 86.205 148.7899
83.800003 86.123 148.5424
85.000000 86.046 148.3266
86.199997 85.968 148.1107
87.500000 85.883 147.8922
88.500000 85.818 147.7314
90.000000 85.722 147.4995
91.199997 85.645 147.3290
92.500000 85.563 147.1704
93.800003 85.481 147.0129
95.000000 85.404 146.8895
96.199997 85.328 146.7865
97.500000 85.248 146.6731
98.800003 85.166 146.5597
100.000000 85.092 146.4845
101.500000 85.003 146.4192
103.000000 84.923 146.4182
104.400002 84.865 146.4023
106.000000 84.803 146.3072
107.500000 84.739 146.1984
109.000000 84.671 146.0915
110.599998 84.590 145.9566
112.000000 84.514 145.8595
113.800003 84.422 145.7281
115.000000 84.361 145.6288
117.199997 84.245 145.4623
118.000000 84.201 145.4392
120.599998 84.067 145.4393
122.000000 83.996 145.4519
124.099998 83.894 145.5123
125.000000 83.851 145.5364
126.500000 83.776 145.6089
128.000000 83.705 145.7681
131.500000 83.593 146.1301
132.000000 83.582 146.1553
134.000000 83.539 146.2113
136.000000 83.503 146.2523
138.000000 83.471 146.2236
140.000000 83.429 146.1106
143.000000 83.347 145.8708
145.000000 83.284 145.7060
147.500000 83.198 145.5253
150.000000 83.105 145.3983
152.500000 83.011 145.3229
155.000000 82.917 145.2599
157.500000 82.821 145.2343
160.000000 82.724 145.2447
162.500000 82.620 145.2720
165.000000 82.513 145.3181
167.500000 82.405 145.3665
170.000000 82.299 145.4389
172.500000 82.193 145.5282
175.000000 82.088 145.6354
177.500000 81.982 145.7521
180.000000 81.876 145.8968
182.500000 81.769 146.0721
185.000000 81.662 146.2861
187.500000 81.555 146.5355
190.000000 81.448 146.8408
192.500000 81.345 147.2380
195.000000 81.249 147.7226
197.500000 81.170 148.3060
200.000000 81.119 148.9450
203.000000 81.106 149.6897
206.000000 81.138 150.1693
209.000000 81.177 150.2595
212.000000 81.191 150.0758
214.000000 81.180 149.8766
218.000000 81.116 149.5457
220.000000 81.071 149.4388
224.000000 80.967 149.3301
227.000000 80.885 149.3302
230.000000 80.803 149.3923
233.000000 80.722 149.5071
236.000000 80.641 149.6636
240.000000 80.531 149.9429
243.000000 80.451 150.1901
247.000000 80.351 150.5815
250.000000 80.282 150.9301
254.000000 80.201 151.4527
258.000000 80.135 151.9852
262.000000 80.086 152.4870
265.000000 80.057 152.8144
269.000000 80.026 153.1680
272.000000 80.005 153.3609
276.000000 79.974 153.5579
280.000000 79.934 153.7035
285.000000 79.872 153.8441
290.000000 79.800 154.0115
295.000000 79.722 154.2112
300.000000 79.645 154.4241
304.000000 79.583 154.6453
307.000000 79.537 154.8349
311.000000 79.476 155.0858
315.000000 79.412 155.3347
