* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 24, 25 1:52:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edx pro x 090224 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.046 -47.4601
1.015000 62.147 -47.8027
1.030000 63.195 -48.2294
1.044000 64.115 -48.6972
1.060000 65.087 -49.3080
1.075000 65.911 -49.9486
1.090000 66.642 -50.6470
1.106000 67.331 -51.4289
1.120000 67.884 -52.1038
1.138000 68.548 -52.9320
1.150000 68.965 -53.4585
1.172000 69.678 -54.3757
1.180000 69.922 -54.6960
1.206000 70.663 -55.6904
1.220000 71.030 -56.1999
1.241000 71.544 -56.9356
1.250000 71.751 -57.2419
1.265000 72.081 -57.7421
1.280000 72.392 -58.2314
1.315000 73.057 -59.3418
1.320000 73.146 -59.4979
1.340000 73.488 -60.1183
1.360000 73.813 -60.7356
1.380000 74.122 -61.3425
1.400000 74.422 -61.9487
1.430000 74.861 -62.8706
1.450000 75.150 -63.4962
1.475000 75.503 -64.2814
1.500000 75.823 -65.0393
1.525000 76.100 -65.7581
1.550000 76.337 -66.4422
1.575000 76.539 -67.0926
1.600000 76.712 -67.7110
1.625000 76.860 -68.3120
1.650000 76.987 -68.9007
1.675000 77.100 -69.4816
1.700000 77.203 -70.0591
1.725000 77.300 -70.6371
1.750000 77.398 -71.2190
1.775000 77.500 -71.8123
1.800000 77.612 -72.4239
1.825000 77.736 -73.0461
1.850000 77.868 -73.6728
1.875000 78.000 -74.2928
1.900000 78.127 -74.9008
1.925000 78.251 -75.4952
1.950000 78.370 -76.0753
1.975000 78.486 -76.6449
2.000000 78.599 -77.2082
2.030000 78.731 -77.8668
2.060000 78.859 -78.5088
2.090000 78.985 -79.1364
2.120000 79.108 -79.7523
2.140000 79.189 -80.1577
2.180000 79.349 -80.9671
2.200000 79.429 -81.3753
2.240000 79.584 -82.1835
2.270000 79.697 -82.7788
2.300000 79.807 -83.3623
2.330000 79.915 -83.9325
2.360000 80.020 -84.4887
2.400000 80.156 -85.2292
2.430000 80.256 -85.7708
2.470000 80.387 -86.4716
2.500000 80.483 -86.9824
2.540000 80.610 -87.6458
2.580000 80.735 -88.3059
2.620000 80.857 -88.9804
2.650000 80.947 -89.4778
2.690000 81.064 -90.1275
2.720000 81.150 -90.6031
2.760000 81.262 -91.2187
2.800000 81.372 -91.8418
2.850000 81.506 -92.5942
2.900000 81.637 -93.3125
2.950000 81.766 -94.0016
3.000000 81.890 -94.6976
3.040000 81.987 -95.2509
3.070000 82.058 -95.6569
3.110000 82.151 -96.1845
3.150000 82.242 -96.6952
3.200000 82.355 -97.3310
3.250000 82.465 -97.9483
3.300000 82.574 -98.5372
3.350000 82.681 -99.1040
3.400000 82.786 -99.6781
3.450000 82.889 -100.2441
3.500000 82.990 -100.7896
3.550000 83.090 -101.3120
3.600000 83.188 -101.8376
3.650000 83.286 -102.3510
3.700000 83.383 -102.8439
3.750000 83.478 -103.3211
3.820000 83.610 -104.0015
3.870000 83.702 -104.4765
3.950000 83.849 -105.2012
4.000000 83.939 -105.6560
4.060000 84.047 -106.1939
4.120000 84.154 -106.7132
4.180000 84.260 -107.2234
4.250000 84.382 -107.8344
4.310000 84.486 -108.3380
4.370000 84.588 -108.8290
4.440000 84.706 -109.4203
4.500000 84.807 -109.9151
4.550000 84.889 -110.3178
4.620000 85.004 -110.8980
4.680000 85.100 -111.3887
4.750000 85.212 -111.9444
4.820000 85.321 -112.5154
4.870000 85.398 -112.9223
4.940000 85.505 -113.4802
5.000000 85.595 -113.9645
5.080000 85.713 -114.6072
5.150000 85.814 -115.1536
5.220000 85.913 -115.7134
5.300000 86.023 -116.3497
5.380000 86.131 -116.9732
5.450000 86.222 -117.5289
5.520000 86.312 -118.0667
5.600000 86.411 -118.6829
5.700000 86.531 -119.4585
5.800000 86.647 -120.2136
5.900000 86.758 -120.9603
6.000000 86.865 -121.6913
6.080000 86.948 -122.2783
6.150000 87.019 -122.7717
6.220000 87.088 -123.2675
6.300000 87.164 -123.8189
6.400000 87.257 -124.4935
6.500000 87.347 -125.1617
6.600000 87.435 -125.8054
6.700000 87.521 -126.4395
6.800000 87.604 -127.0555
6.900000 87.686 -127.6654
7.000000 87.766 -128.2571
7.100000 87.846 -128.8445
7.200000 87.924 -129.4182
7.300000 88.000 -129.9897
7.400000 88.075 -130.5502
7.500000 88.149 -131.1118
7.620000 88.236 -131.7772
7.750000 88.327 -132.4912
7.880000 88.415 -133.2130
8.000000 88.493 -133.8664
8.120000 88.568 -134.5151
8.250000 88.645 -135.2130
8.380000 88.719 -135.8976
8.500000 88.784 -136.5241
8.620000 88.846 -137.1402
8.750000 88.910 -137.7941
8.850000 88.957 -138.2886
9.000000 89.023 -139.0076
9.120000 89.074 -139.5690
9.250000 89.127 -140.1580
9.380000 89.179 -140.7252
9.500000 89.225 -141.2416
9.620000 89.272 -141.7418
9.750000 89.320 -142.2718
9.880000 89.363 -142.7923
10.000000 89.396 -143.2560
10.150000 89.431 -143.8669
10.300000 89.461 -144.4549
10.440000 89.485 -144.9846
10.600000 89.509 -145.5705
10.750000 89.530 -146.1033
10.900000 89.551 -146.6217
11.060000 89.573 -147.1907
11.200000 89.593 -147.7218
11.380000 89.616 -148.3881
11.500000 89.630 -148.8221
11.720000 89.652 -149.5945
11.800000 89.659 -149.8674
12.060000 89.677 -150.7489
12.200000 89.685 -151.2471
12.410000 89.700 -151.9655
12.500000 89.708 -152.2621
12.650000 89.725 -152.7417
12.800000 89.744 -153.2034
13.150000 89.790 -154.2694
13.200000 89.796 -154.4254
13.400000 89.822 -155.0352
13.600000 89.848 -155.6259
13.800000 89.871 -156.2011
14.000000 89.894 -156.7682
14.300000 89.925 -157.6695
14.500000 89.942 -158.2565
14.750000 89.958 -158.9650
15.000000 89.969 -159.6417
15.250000 89.978 -160.3368
15.500000 89.984 -160.9904
15.750000 89.989 -161.6015
16.000000 89.996 -162.1779
16.250000 90.006 -162.7708
16.500000 90.019 -163.3486
16.750000 90.032 -163.9177
17.000000 90.043 -164.4845
17.250000 90.053 -165.0764
17.500000 90.060 -165.6590
17.750000 90.063 -166.2220
18.000000 90.065 -166.7637
18.250000 90.067 -167.3085
18.500000 90.068 -167.8311
18.750000 90.070 -168.3323
19.000000 90.073 -168.8175
19.250000 90.076 -169.3134
19.500000 90.078 -169.7977
19.750000 90.080 -170.2674
20.000000 90.082 -170.7190
20.299999 90.084 -171.2645
20.600000 90.089 -171.7812
20.900000 90.098 -172.2801
21.200001 90.110 -172.7993
21.400000 90.120 -173.1614
21.799999 90.135 -173.9160
22.000000 90.139 -174.3047
22.400000 90.135 -175.0922
22.700001 90.122 -175.6335
23.000000 90.105 -176.1098
23.299999 90.089 -176.5373
23.600000 90.079 -176.9233
24.000000 90.075 -177.4332
24.299999 90.074 -177.8637
24.700001 90.066 -178.4799
25.000000 90.049 -178.9382
25.400000 90.016 -179.4982
25.799999 89.981 -179.9522
26.200001 89.956 179.6439
26.500000 89.944 179.3235
26.900000 89.931 178.8492
27.200001 89.915 178.4671
27.600000 89.886 177.9900
28.000000 89.857 177.6072
28.500000 89.848 177.1876
29.000000 89.875 176.6235
29.500000 89.903 175.7358
30.000000 89.887 174.6576
30.400000 89.836 173.8527
30.700001 89.785 173.3737
31.100000 89.720 172.9160
31.500000 89.673 172.5894
32.000000 89.644 172.2100
32.500000 89.627 171.7313
33.000000 89.600 171.1990
33.500000 89.558 170.7244
34.000000 89.517 170.3738
34.500000 89.492 170.0784
35.000000 89.483 169.7236
35.500000 89.470 169.2448
36.000000 89.437 168.7200
36.500000 89.387 168.2754
37.000000 89.342 167.9568
37.500000 89.318 167.6475
38.200001 89.297 166.9965
38.700001 89.259 166.4203
39.500000 89.163 165.6899
40.000000 89.112 165.3990
40.599998 89.072 165.0609
41.200001 89.038 164.6616
41.799999 89.001 164.2528
42.500000 88.960 163.7883
43.099998 88.926 163.3536
43.700001 88.881 162.9011
44.400002 88.818 162.4435
45.000000 88.766 162.1204
45.500000 88.730 161.8457
46.200001 88.678 161.4165
46.799999 88.626 161.0439
47.500000 88.564 160.6586
48.200001 88.510 160.3123
48.700001 88.476 160.0597
49.400002 88.431 159.6795
50.000000 88.392 159.3376
50.799999 88.336 158.8996
51.500000 88.288 158.5654
52.200001 88.245 158.2568
53.000000 88.201 157.8755
53.799999 88.154 157.4629
54.500000 88.108 157.1086
55.200001 88.059 156.7707
56.000000 88.002 156.4061
57.000000 87.929 155.9823
58.000000 87.859 155.6107
59.000000 87.795 155.1915
60.000000 87.712 154.7105
60.799999 87.635 154.4597
61.500000 87.584 154.3108
62.200001 87.548 154.0875
63.000000 87.503 153.7227
64.000000 87.432 153.2630
65.000000 87.362 152.8984
66.000000 87.300 152.5479
67.000000 87.233 152.2008
68.000000 87.160 151.9458
69.000000 87.094 151.7410
70.000000 87.027 151.5327
71.000000 86.964 151.2809
72.000000 86.888 150.9487
73.000000 86.804 150.7604
74.000000 86.751 150.5462
75.000000 86.681 150.1057
76.199997 86.562 149.9010
77.500000 86.499 149.9238
78.800003 86.459 149.6022
80.000000 86.394 149.2245
81.199997 86.324 148.9234
82.500000 86.234 148.6345
83.800003 86.144 148.5156
85.000000 86.056 148.4087
86.199997 85.960 148.4745
87.500000 85.900 148.5599
88.500000 85.857 148.3110
90.000000 85.746 147.9202
91.199997 85.676 147.7504
92.500000 85.619 147.4951
93.800003 85.562 147.2300
95.000000 85.505 147.0485
96.199997 85.445 146.9302
97.500000 85.379 146.8153
98.800003 85.307 146.6641
100.000000 85.235 146.5139
101.500000 85.147 146.3345
103.000000 85.064 146.1753
104.400002 84.994 146.0588
106.000000 84.918 145.9308
107.500000 84.846 145.8323
109.000000 84.776 145.7319
110.599998 84.694 145.6125
112.000000 84.618 145.5681
113.800003 84.530 145.5536
115.000000 84.473 145.5201
117.199997 84.366 145.4139
118.000000 84.326 145.3885
120.599998 84.208 145.3340
122.000000 84.146 145.2777
124.099998 84.042 145.2193
125.000000 84.000 145.2189
126.500000 83.936 145.1899
128.000000 83.876 145.1241
131.500000 83.734 145.0984
132.000000 83.715 145.1186
134.000000 83.641 145.2101
136.000000 83.568 145.1974
138.000000 83.484 145.1275
140.000000 83.401 145.0958
143.000000 83.290 145.1819
145.000000 83.222 145.2199
147.500000 83.133 145.2171
150.000000 83.045 145.2640
152.500000 82.965 145.3336
155.000000 82.880 145.3967
157.500000 82.791 145.4570
160.000000 82.703 145.5325
162.500000 82.608 145.6246
165.000000 82.507 145.7366
167.500000 82.407 145.8495
170.000000 82.314 145.9669
172.500000 82.224 146.0859
175.000000 82.132 146.2250
177.500000 82.043 146.3728
180.000000 81.958 146.5218
182.500000 81.877 146.6623
185.000000 81.797 146.8114
187.500000 81.718 146.9694
190.000000 81.640 147.1266
192.500000 81.562 147.2786
195.000000 81.486 147.4142
197.500000 81.412 147.5492
200.000000 81.339 147.6849
203.000000 81.258 147.8763
206.000000 81.180 148.0736
209.000000 81.101 148.2907
212.000000 81.025 148.5115
214.000000 80.977 148.6421
218.000000 80.886 148.9456
220.000000 80.839 149.1041
224.000000 80.748 149.3943
227.000000 80.682 149.6174
230.000000 80.619 149.8588
233.000000 80.556 150.0959
236.000000 80.496 150.3119
240.000000 80.416 150.6126
243.000000 80.356 150.8640
247.000000 80.278 151.1980
250.000000 80.220 151.4484
254.000000 80.143 151.7916
258.000000 80.067 152.1296
262.000000 79.991 152.4684
265.000000 79.936 152.7277
269.000000 79.869 153.0831
272.000000 79.823 153.3218
276.000000 79.757 153.6437
280.000000 79.683 154.0227
285.000000 79.588 154.5015
290.000000 79.498 154.9464
295.000000 79.415 155.4162
300.000000 79.335 155.8500
304.000000 79.277 156.2040
307.000000 79.236 156.4895
311.000000 79.179 156.8583
315.000000 79.124 157.2194
320.000000 79.057 157.6842
