* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 24, 25 1:51:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edx pro x 090224 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.692 -46.0238
1.015000 69.283 -46.7003
1.030000 69.851 -47.4025
1.044000 70.358 -48.0828
1.060000 70.906 -48.8917
1.075000 71.386 -49.6819
1.090000 71.830 -50.5025
1.106000 72.267 -51.4007
1.120000 72.629 -52.1859
1.138000 73.076 -53.1767
1.150000 73.362 -53.8226
1.172000 73.863 -54.9746
1.180000 74.039 -55.3836
1.206000 74.584 -56.6717
1.220000 74.863 -57.3395
1.241000 75.262 -58.3089
1.250000 75.426 -58.7130
1.265000 75.692 -59.3722
1.280000 75.947 -60.0146
1.315000 76.504 -61.4552
1.320000 76.579 -61.6551
1.340000 76.872 -62.4419
1.360000 77.150 -63.2112
1.380000 77.415 -63.9555
1.400000 77.667 -64.6845
1.430000 78.024 -65.7640
1.450000 78.249 -66.4784
1.475000 78.511 -67.3650
1.500000 78.741 -68.2328
1.525000 78.935 -69.0750
1.550000 79.097 -69.8913
1.575000 79.230 -70.6775
1.600000 79.339 -71.4313
1.625000 79.428 -72.1638
1.650000 79.500 -72.8771
1.675000 79.561 -73.5737
1.700000 79.614 -74.2561
1.725000 79.663 -74.9269
1.750000 79.713 -75.5885
1.775000 79.768 -76.2479
1.800000 79.832 -76.9115
1.825000 79.907 -77.5733
1.850000 79.990 -78.2345
1.875000 80.073 -78.8931
1.900000 80.154 -79.5457
1.925000 80.232 -80.1889
1.950000 80.308 -80.8203
1.975000 80.382 -81.4417
2.000000 80.454 -82.0555
2.030000 80.538 -82.7706
2.060000 80.620 -83.4622
2.090000 80.700 -84.1301
2.120000 80.779 -84.7750
2.140000 80.830 -85.1926
2.180000 80.933 -86.0075
2.200000 80.984 -86.4102
2.240000 81.083 -87.2012
2.270000 81.155 -87.7838
2.300000 81.225 -88.3550
2.330000 81.294 -88.9128
2.360000 81.360 -89.4554
2.400000 81.448 -90.1741
2.430000 81.512 -90.6952
2.470000 81.596 -91.3606
2.500000 81.659 -91.8374
2.540000 81.742 -92.4436
2.580000 81.825 -93.0324
2.620000 81.906 -93.6258
2.650000 81.966 -94.0585
2.690000 82.045 -94.6189
2.720000 82.103 -95.0257
2.760000 82.180 -95.5480
2.800000 82.256 -96.0762
2.850000 82.350 -96.7076
2.900000 82.444 -97.3011
2.950000 82.537 -97.8582
3.000000 82.629 -98.4113
3.040000 82.702 -98.8442
3.070000 82.756 -99.1582
3.110000 82.828 -99.5629
3.150000 82.899 -99.9522
3.200000 82.989 -100.4413
3.250000 83.078 -100.9194
3.300000 83.169 -101.3764
3.350000 83.259 -101.8115
3.400000 83.350 -102.2509
3.450000 83.441 -102.6823
3.500000 83.533 -103.0975
3.550000 83.624 -103.4979
3.600000 83.715 -103.9134
3.650000 83.806 -104.3304
3.700000 83.897 -104.7379
3.750000 83.989 -105.1352
3.820000 84.117 -105.7120
3.870000 84.209 -106.1209
3.950000 84.354 -106.7580
4.000000 84.444 -107.1720
4.060000 84.551 -107.6760
4.120000 84.656 -108.1751
4.180000 84.761 -108.6758
4.250000 84.882 -109.2858
4.310000 84.984 -109.7960
4.370000 85.084 -110.2997
4.440000 85.197 -110.9159
4.500000 85.292 -111.4426
4.550000 85.369 -111.8774
4.620000 85.475 -112.5062
4.680000 85.564 -113.0379
4.750000 85.665 -113.6378
4.820000 85.762 -114.2516
4.870000 85.829 -114.6908
4.940000 85.921 -115.2949
5.000000 85.998 -115.8161
5.080000 86.097 -116.4990
5.150000 86.181 -117.0694
5.220000 86.262 -117.6458
5.300000 86.351 -118.2948
5.380000 86.438 -118.9236
5.450000 86.511 -119.4761
5.520000 86.584 -120.0019
5.600000 86.664 -120.5935
5.700000 86.762 -121.3271
5.800000 86.857 -122.0345
5.900000 86.951 -122.7297
6.000000 87.043 -123.4019
6.080000 87.116 -123.9398
6.150000 87.179 -124.3930
6.220000 87.241 -124.8537
6.300000 87.311 -125.3700
6.400000 87.397 -126.0058
6.500000 87.482 -126.6433
6.600000 87.565 -127.2691
6.700000 87.646 -127.8992
6.800000 87.725 -128.5217
6.900000 87.802 -129.1447
7.000000 87.876 -129.7556
7.100000 87.947 -130.3700
7.200000 88.016 -130.9733
7.300000 88.082 -131.5699
7.400000 88.145 -132.1490
7.500000 88.205 -132.7246
7.620000 88.274 -133.3946
7.750000 88.346 -134.0901
7.880000 88.415 -134.7698
8.000000 88.476 -135.3665
8.120000 88.537 -135.9402
8.250000 88.602 -136.5365
8.380000 88.667 -137.1105
8.500000 88.728 -137.6326
8.620000 88.791 -138.1422
8.750000 88.859 -138.6906
8.850000 88.912 -139.1172
9.000000 88.991 -139.7547
9.120000 89.053 -140.2733
9.250000 89.120 -140.8439
9.380000 89.186 -141.4192
9.500000 89.244 -141.9623
9.620000 89.299 -142.5075
9.750000 89.355 -143.1031
9.880000 89.402 -143.6963
10.000000 89.436 -144.2294
10.150000 89.468 -144.9260
10.300000 89.491 -145.5852
10.440000 89.506 -146.1650
10.600000 89.518 -146.7864
10.750000 89.529 -147.3280
10.900000 89.539 -147.8350
11.060000 89.553 -148.3765
11.200000 89.568 -148.8735
11.380000 89.589 -149.4948
11.500000 89.603 -149.9026
11.720000 89.628 -150.6427
11.800000 89.636 -150.9115
12.060000 89.661 -151.8072
12.200000 89.671 -152.3293
12.410000 89.686 -153.0979
12.500000 89.693 -153.4180
12.650000 89.707 -153.9372
12.800000 89.720 -154.4341
13.150000 89.748 -155.5447
13.200000 89.752 -155.7018
13.400000 89.768 -156.3019
13.600000 89.784 -156.8643
13.800000 89.801 -157.3972
14.000000 89.820 -157.9163
14.300000 89.850 -158.7484
14.500000 89.870 -159.2993
14.750000 89.891 -159.9785
15.000000 89.909 -160.6441
15.250000 89.923 -161.3440
15.500000 89.934 -162.0148
15.750000 89.943 -162.6519
16.000000 89.952 -163.2598
16.250000 89.963 -163.8856
16.500000 89.974 -164.4932
16.750000 89.984 -165.0837
17.000000 89.992 -165.6591
17.250000 89.997 -166.2449
17.500000 90.001 -166.8086
17.750000 90.003 -167.3456
18.000000 90.006 -167.8623
18.250000 90.010 -168.3911
18.500000 90.015 -168.9123
18.750000 90.019 -169.4271
19.000000 90.021 -169.9375
19.250000 90.021 -170.4636
19.500000 90.019 -170.9769
19.750000 90.014 -171.4713
20.000000 90.008 -171.9431
20.299999 90.000 -172.5101
20.600000 89.992 -173.0467
20.900000 89.984 -173.5583
21.200001 89.978 -174.0688
21.400000 89.973 -174.4053
21.799999 89.965 -175.0551
22.000000 89.961 -175.3719
22.400000 89.955 -176.0212
22.700001 89.951 -176.5072
23.000000 89.945 -176.9949
23.299999 89.936 -177.4936
23.600000 89.923 -177.9765
24.000000 89.905 -178.5816
24.299999 89.893 -179.0283
24.700001 89.881 -179.6189
25.000000 89.872 179.9272
25.400000 89.854 179.2961
25.799999 89.828 178.6993
26.200001 89.800 178.1689
26.500000 89.787 177.8027
26.900000 89.783 177.2964
27.200001 89.788 176.8398
27.600000 89.786 176.1080
28.000000 89.758 175.3278
28.500000 89.688 174.5114
29.000000 89.628 174.0074
29.500000 89.618 173.5399
30.000000 89.627 172.7761
30.400000 89.596 171.9915
30.700001 89.539 171.4773
31.100000 89.437 171.1115
31.500000 89.356 171.1765
32.000000 89.358 171.5116
32.500000 89.458 171.4147
33.000000 89.548 170.5983
33.500000 89.541 169.4558
34.000000 89.447 168.5896
34.500000 89.342 168.2298
35.000000 89.284 168.1449
35.500000 89.270 167.9635
36.000000 89.258 167.5653
36.500000 89.222 167.0708
37.000000 89.167 166.6505
37.500000 89.114 166.3526
38.200001 89.071 166.0068
38.700001 89.061 165.6579
39.500000 89.037 164.8242
40.000000 88.999 164.2374
40.599998 88.933 163.6376
41.200001 88.870 163.2089
41.799999 88.826 162.8468
42.500000 88.787 162.3494
43.099998 88.746 161.8716
43.700001 88.695 161.4310
44.400002 88.635 161.0063
45.000000 88.592 160.6819
45.500000 88.562 160.3968
46.200001 88.522 159.9429
46.799999 88.481 159.5078
47.500000 88.420 159.0208
48.200001 88.356 158.6366
48.700001 88.316 158.4021
49.400002 88.269 158.0466
50.000000 88.225 157.7095
50.799999 88.157 157.3098
51.500000 88.102 157.0202
52.200001 88.053 156.7142
53.000000 87.993 156.3179
53.799999 87.925 155.9218
54.500000 87.863 155.6138
55.200001 87.806 155.3398
56.000000 87.749 155.0104
57.000000 87.679 154.5579
58.000000 87.611 154.1827
59.000000 87.558 153.7706
60.000000 87.493 153.2615
60.799999 87.424 152.9005
61.500000 87.360 152.6615
62.200001 87.300 152.4814
63.000000 87.241 152.2838
64.000000 87.169 151.9329
65.000000 87.086 151.6075
66.000000 87.013 151.3430
67.000000 86.952 151.0251
68.000000 86.891 150.6914
69.000000 86.834 150.3597
70.000000 86.776 150.0168
71.000000 86.710 149.7113
72.000000 86.644 149.4818
73.000000 86.581 149.2654
74.000000 86.509 149.0244
75.000000 86.429 148.8445
76.199997 86.331 148.6123
77.500000 86.216 148.4931
78.800003 86.138 148.3978
80.000000 86.069 148.1636
81.199997 85.998 147.9780
82.500000 85.924 147.8181
83.800003 85.854 147.6973
85.000000 85.785 147.4763
86.199997 85.689 147.2838
87.500000 85.612 147.2773
88.500000 85.583 147.0423
90.000000 85.501 146.5035
91.199997 85.433 146.2659
92.500000 85.369 146.0607
93.800003 85.300 145.9063
95.000000 85.231 145.8162
96.199997 85.162 145.7322
97.500000 85.086 145.6000
98.800003 85.010 145.4448
100.000000 84.943 145.2955
101.500000 84.865 145.1384
103.000000 84.787 145.0167
104.400002 84.711 144.9413
106.000000 84.626 144.8568
107.500000 84.540 144.7253
109.000000 84.453 144.6756
110.599998 84.373 144.6049
112.000000 84.296 144.5348
113.800003 84.200 144.5615
115.000000 84.146 144.5473
117.199997 84.045 144.3972
118.000000 84.008 144.3316
120.599998 83.892 144.1363
122.000000 83.831 144.0643
124.099998 83.736 144.0026
125.000000 83.696 143.9987
126.500000 83.630 144.0046
128.000000 83.567 144.0101
131.500000 83.427 143.9609
132.000000 83.408 143.9566
134.000000 83.332 143.9195
136.000000 83.248 143.9047
138.000000 83.168 143.9867
140.000000 83.093 144.0407
143.000000 82.978 144.1134
145.000000 82.902 144.1670
147.500000 82.810 144.2251
150.000000 82.720 144.2437
152.500000 82.629 144.3155
155.000000 82.547 144.4122
157.500000 82.464 144.5046
160.000000 82.375 144.5989
162.500000 82.280 144.7036
165.000000 82.184 144.8066
167.500000 82.091 144.9082
170.000000 81.999 145.0023
172.500000 81.900 145.1156
175.000000 81.802 145.2797
177.500000 81.711 145.4446
180.000000 81.627 145.6075
182.500000 81.546 145.7788
185.000000 81.468 145.9329
187.500000 81.390 146.0720
190.000000 81.310 146.2077
192.500000 81.230 146.3566
195.000000 81.152 146.4998
197.500000 81.075 146.6568
200.000000 80.999 146.8367
203.000000 80.914 147.0697
206.000000 80.835 147.2786
209.000000 80.758 147.5068
212.000000 80.684 147.7458
214.000000 80.635 147.8767
218.000000 80.545 148.1449
220.000000 80.502 148.2925
224.000000 80.415 148.6056
227.000000 80.350 148.8214
230.000000 80.288 149.0328
233.000000 80.227 149.2477
236.000000 80.165 149.4481
240.000000 80.083 149.7353
243.000000 80.024 149.9767
247.000000 79.946 150.3214
250.000000 79.886 150.5639
254.000000 79.806 150.8708
258.000000 79.727 151.1837
262.000000 79.648 151.5193
265.000000 79.589 151.7762
269.000000 79.514 152.1320
272.000000 79.460 152.4005
276.000000 79.389 152.7682
280.000000 79.323 153.1329
285.000000 79.241 153.5932
290.000000 79.160 154.0372
295.000000 79.080 154.4874
300.000000 79.006 154.9479
304.000000 78.950 155.3057
307.000000 78.910 155.5767
311.000000 78.858 155.9263
315.000000 78.806 156.2738
320.000000 78.740 156.7160
