* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 21, 25 11:17:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edx pro x oct 20 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.920 66.8408
1.015000 42.490 66.5332
1.030000 43.035 66.0531
1.044000 43.515 65.4500
1.060000 44.026 64.5761
1.075000 44.461 63.5739
1.090000 44.849 62.3900
1.106000 45.216 60.9304
1.120000 45.509 59.5086
1.138000 45.859 57.5229
1.150000 46.078 56.1203
1.172000 46.451 53.4263
1.180000 46.578 52.4167
1.206000 46.966 49.0626
1.220000 47.159 47.2264
1.241000 47.434 44.4518
1.250000 47.546 43.2586
1.265000 47.728 41.2673
1.280000 47.903 39.2740
1.315000 48.299 34.6111
1.320000 48.355 33.9423
1.340000 48.578 31.2547
1.360000 48.803 28.5376
1.380000 49.035 25.7764
1.400000 49.277 22.9541
1.430000 49.665 18.5641
1.450000 49.946 15.5037
1.475000 50.321 11.5071
1.500000 50.710 7.3691
1.525000 51.108 3.1822
1.550000 51.512 -0.9774
1.575000 51.921 -5.0568
1.600000 52.336 -9.0250
1.625000 52.755 -12.8687
1.650000 53.178 -16.5887
1.675000 53.604 -20.1960
1.700000 54.032 -23.7081
1.725000 54.462 -27.1463
1.750000 54.893 -30.5333
1.775000 55.325 -33.8923
1.800000 55.756 -37.2452
1.825000 56.188 -40.6066
1.850000 56.622 -43.9617
1.875000 57.063 -47.2597
1.900000 57.510 -50.4593
1.925000 57.962 -53.5380
1.950000 58.417 -56.4870
1.975000 58.874 -59.3063
2.000000 59.330 -62.0024
2.030000 59.876 -65.0905
2.060000 60.416 -68.0403
2.090000 60.948 -70.8776
2.120000 61.469 -73.6288
2.140000 61.808 -75.4278
2.180000 62.466 -78.9738
2.200000 62.784 -80.7305
2.240000 63.401 -84.2008
2.270000 63.853 -86.7400
2.300000 64.294 -89.2076
2.330000 64.726 -91.5967
2.360000 65.148 -93.9058
2.400000 65.697 -96.8658
2.430000 66.097 -99.0047
2.470000 66.618 -101.7645
2.500000 66.998 -103.7780
2.540000 67.491 -106.4086
2.580000 67.968 -109.0055
2.620000 68.428 -111.5882
2.650000 68.761 -113.5075
2.690000 69.190 -116.0241
2.720000 69.502 -117.8707
2.760000 69.905 -120.2695
2.800000 70.294 -122.5922
2.850000 70.764 -125.3896
2.900000 71.216 -128.0803
2.950000 71.652 -130.7010
3.000000 72.067 -133.3073
3.040000 72.384 -135.3806
3.070000 72.613 -136.9184
3.110000 72.909 -138.9339
3.150000 73.195 -140.8994
3.200000 73.538 -143.2733
3.250000 73.869 -145.5471
3.300000 74.187 -147.7300
3.350000 74.491 -149.8696
3.400000 74.779 -151.9940
3.450000 75.052 -154.0891
3.500000 75.313 -156.1338
3.550000 75.563 -158.1092
3.600000 75.804 -159.9998
3.650000 76.037 -161.7991
3.700000 76.261 -163.5274
3.750000 76.474 -165.2170
3.820000 76.755 -167.5242
3.870000 76.946 -169.1182
3.950000 77.239 -171.5454
4.000000 77.418 -172.9709
4.060000 77.628 -174.5883
4.120000 77.830 -176.1275
4.180000 78.024 -177.6042
4.250000 78.244 -179.2536
4.310000 78.430 179.3954
4.370000 78.617 178.1046
4.440000 78.836 176.6811
4.500000 79.022 175.5300
4.550000 79.177 174.6097
4.620000 79.393 173.3624
4.680000 79.580 172.3165
4.750000 79.800 171.1115
4.820000 80.024 169.9324
4.870000 80.186 169.1135
4.940000 80.415 167.9883
5.000000 80.611 167.0277
5.080000 80.873 165.7274
5.150000 81.102 164.5606
5.220000 81.331 163.3790
5.300000 81.593 162.0193
5.380000 81.852 160.6413
5.450000 82.074 159.4101
5.520000 82.290 158.1475
5.600000 82.532 156.6678
5.700000 82.825 154.7839
5.800000 83.104 152.8837
5.900000 83.367 150.9677
6.000000 83.614 149.0182
6.080000 83.801 147.4515
6.150000 83.956 146.0941
6.220000 84.103 144.7572
6.300000 84.261 143.2446
6.400000 84.445 141.3646
6.500000 84.614 139.5240
6.600000 84.773 137.7536
6.700000 84.919 136.0462
6.800000 85.055 134.3895
6.900000 85.184 132.7965
7.000000 85.308 131.2797
7.100000 85.428 129.8323
7.200000 85.543 128.4424
7.300000 85.659 127.1042
7.400000 85.775 125.8184
7.500000 85.892 124.5814
7.620000 86.033 123.1391
7.750000 86.190 121.6066
7.880000 86.349 120.1045
8.000000 86.497 118.7296
8.120000 86.645 117.3492
8.250000 86.805 115.8484
8.380000 86.962 114.3443
8.500000 87.101 112.9486
8.620000 87.237 111.5469
8.750000 87.377 110.0342
8.850000 87.480 108.8792
9.000000 87.627 107.1591
9.120000 87.738 105.8044
9.250000 87.853 104.3660
9.380000 87.963 102.9551
9.500000 88.062 101.6795
9.620000 88.158 100.4314
9.750000 88.258 99.1063
9.880000 88.352 97.8046
10.000000 88.431 96.6214
10.150000 88.521 95.1637
10.300000 88.604 93.7232
10.440000 88.675 92.3911
10.600000 88.751 90.8853
10.750000 88.818 89.4896
10.900000 88.880 88.1123
11.060000 88.941 86.6724
11.200000 88.989 85.4382
11.380000 89.047 83.8937
11.500000 89.083 82.8927
11.720000 89.145 81.1118
11.800000 89.167 80.4810
12.060000 89.238 78.4807
12.200000 89.275 77.4262
12.410000 89.332 75.8659
12.500000 89.358 75.2025
12.650000 89.405 74.1031
12.800000 89.451 73.0157
13.150000 89.542 70.5491
13.200000 89.553 70.2095
13.400000 89.593 68.8918
13.600000 89.627 67.6519
13.800000 89.660 66.4974
14.000000 89.696 65.4208
14.300000 89.764 63.9128
14.500000 89.822 62.9352
14.750000 89.904 61.6887
15.000000 89.993 60.3757
15.250000 90.078 58.9784
15.500000 90.150 57.5191
15.750000 90.205 56.0402
16.000000 90.242 54.5971
16.250000 90.267 53.2369
16.500000 90.285 51.9831
16.750000 90.304 50.8341
17.000000 90.330 49.7604
17.250000 90.363 48.7228
17.500000 90.404 47.6828
17.750000 90.446 46.6174
18.000000 90.485 45.5246
18.250000 90.518 44.4185
18.500000 90.541 43.3238
18.750000 90.558 42.2626
19.000000 90.569 41.2491
19.250000 90.579 40.2854
19.500000 90.591 39.3618
19.750000 90.605 38.4641
20.000000 90.621 37.5775
20.299999 90.640 36.5160
20.600000 90.658 35.4549
20.900000 90.672 34.4019
21.200001 90.682 33.3687
21.400000 90.686 32.6953
21.799999 90.693 31.3894
22.000000 90.697 30.7560
22.400000 90.704 29.5216
22.700001 90.710 28.6168
23.000000 90.717 27.7220
23.299999 90.724 26.8296
23.600000 90.731 25.9335
24.000000 90.737 24.7312
24.299999 90.735 23.8344
24.700001 90.723 22.6776
25.000000 90.708 21.8639
25.400000 90.688 20.8722
25.799999 90.675 19.9731
26.200001 90.674 19.1158
26.500000 90.680 18.4649
26.900000 90.692 17.5593
27.200001 90.700 16.8524
27.600000 90.706 15.8905
28.000000 90.706 14.9229
28.500000 90.701 13.7032
29.000000 90.684 12.4684
29.500000 90.647 11.2789
30.000000 90.594 10.2491
30.400000 90.558 9.5723
30.700001 90.543 9.1177
31.100000 90.543 8.4979
31.500000 90.558 7.7740
32.000000 90.572 6.6847
32.500000 90.558 5.5039
33.000000 90.518 4.4086
33.500000 90.472 3.4813
34.000000 90.438 2.6719
34.500000 90.418 1.8841
35.000000 90.404 1.0641
35.500000 90.387 0.2155
36.000000 90.362 -0.6329
36.500000 90.329 -1.4465
37.000000 90.291 -2.1965
37.500000 90.251 -2.8728
38.200001 90.206 -3.7407
38.700001 90.182 -4.3636
39.500000 90.143 -5.4325
40.000000 90.111 -6.1238
40.599998 90.066 -6.9216
41.200001 90.022 -7.6684
41.799999 89.985 -8.4091
42.500000 89.941 -9.3169
43.099998 89.895 -10.0850
43.700001 89.847 -10.7789
44.400002 89.802 -11.5227
45.000000 89.772 -12.1826
45.500000 89.746 -12.7601
46.200001 89.701 -13.5593
46.799999 89.660 -14.2042
47.500000 89.614 -14.9228
48.200001 89.568 -15.6237
48.700001 89.536 -16.1176
49.400002 89.493 -16.8115
50.000000 89.455 -17.4115
50.799999 89.401 -18.1901
51.500000 89.355 -18.8340
52.200001 89.315 -19.4724
53.000000 89.269 -20.2261
53.799999 89.218 -20.9739
54.500000 89.172 -21.6123
55.200001 89.124 -22.2559
56.000000 89.058 -22.9574
57.000000 88.978 -23.7002
58.000000 88.915 -24.4260
59.000000 88.852 -25.1923
60.000000 88.791 -25.9435
60.799999 88.740 -26.5590
61.500000 88.689 -27.0676
62.200001 88.636 -27.5236
63.000000 88.579 -27.9991
64.000000 88.512 -28.5647
65.000000 88.447 -29.2036
66.000000 88.359 -29.8000
67.000000 88.288 -30.2075
68.000000 88.249 -30.7398
69.000000 88.206 -31.3920
70.000000 88.165 -32.0633
71.000000 88.116 -32.7572
72.000000 88.062 -33.3417
73.000000 88.013 -33.9059
74.000000 87.954 -34.4509
75.000000 87.893 -34.9155
76.199997 87.827 -35.4710
77.500000 87.756 -36.1758
78.800003 87.673 -36.8918
80.000000 87.599 -37.5178
81.199997 87.527 -38.0973
82.500000 87.460 -38.6997
83.800003 87.387 -39.3577
85.000000 87.310 -39.9146
86.199997 87.232 -40.4215
87.500000 87.152 -40.9039
88.500000 87.101 -41.2550
90.000000 87.035 -41.8346
91.199997 86.979 -42.3350
92.500000 86.910 -42.8732
93.800003 86.834 -43.3821
95.000000 86.759 -43.8520
96.199997 86.683 -44.2556
97.500000 86.612 -44.6932
98.800003 86.542 -45.1575
100.000000 86.477 -45.5349
101.500000 86.398 -45.9880
103.000000 86.317 -46.4017
104.400002 86.244 -46.8301
106.000000 86.151 -47.3472
107.500000 86.069 -47.8000
109.000000 85.992 -48.2497
110.599998 85.920 -48.6724
112.000000 85.865 -49.0532
113.800003 85.790 -49.6082
115.000000 85.727 -49.9575
117.199997 85.607 -50.3670
118.000000 85.570 -50.4789
120.599998 85.452 -50.9332
122.000000 85.387 -51.2195
124.099998 85.294 -51.7168
125.000000 85.253 -51.9438
126.500000 85.189 -52.2199
128.000000 85.142 -52.4760
131.500000 85.015 -53.1768
132.000000 84.997 -53.2645
134.000000 84.928 -53.6381
136.000000 84.861 -54.0599
138.000000 84.783 -54.4501
140.000000 84.702 -54.7915
143.000000 84.586 -55.4060
145.000000 84.510 -55.7859
147.500000 84.424 -56.1324
150.000000 84.339 -56.4669
152.500000 84.250 -56.8706
155.000000 84.167 -57.2850
157.500000 84.091 -57.6333
160.000000 84.010 -57.9426
162.500000 83.918 -58.2675
165.000000 83.823 -58.5862
167.500000 83.732 -58.8907
170.000000 83.646 -59.1775
172.500000 83.561 -59.4686
175.000000 83.475 -59.7471
177.500000 83.390 -60.0211
180.000000 83.304 -60.3068
182.500000 83.217 -60.5754
185.000000 83.133 -60.8439
187.500000 83.051 -61.0928
190.000000 82.972 -61.3278
192.500000 82.894 -61.5701
195.000000 82.816 -61.8157
197.500000 82.742 -62.0497
200.000000 82.673 -62.2615
203.000000 82.593 -62.4973
206.000000 82.517 -62.7510
209.000000 82.445 -63.0153
212.000000 82.374 -63.2601
214.000000 82.327 -63.4150
218.000000 82.237 -63.7229
220.000000 82.194 -63.8737
224.000000 82.107 -64.1718
227.000000 82.042 -64.3834
230.000000 81.978 -64.5797
233.000000 81.914 -64.7659
236.000000 81.851 -64.9587
240.000000 81.769 -65.2097
243.000000 81.709 -65.3820
247.000000 81.629 -65.6033
250.000000 81.571 -65.7689
254.000000 81.494 -65.9817
258.000000 81.417 -66.1874
262.000000 81.340 -66.3887
265.000000 81.283 -66.5270
269.000000 81.206 -66.6819
272.000000 81.151 -66.7989
276.000000 81.080 -66.9597
280.000000 81.010 -67.1080
285.000000 80.926 -67.2812
290.000000 80.848 -67.4313
295.000000 80.771 -67.5505
300.000000 80.699 -67.6624
304.000000 80.650 -67.7650
307.000000 80.618 -67.8710
311.000000 80.579 -68.0529
315.000000 80.538 -68.2575
320.000000 80.485 -68.4822
