* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 1, 25 2:43:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edx px a01 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.820	-38.3070
1.015000	51.003	-41.0276
1.030000	51.200	-43.7896
1.044000	51.395	-46.3832
1.060000	51.630	-49.3436
1.075000	51.861	-52.0973
1.090000	52.102	-54.8148
1.106000	52.368	-57.6598
1.120000	52.608	-60.0950
1.138000	52.926	-63.1428
1.150000	53.142	-65.1191
1.172000	53.548	-68.6236
1.180000	53.698	-69.8596
1.206000	54.191	-73.7384
1.220000	54.460	-75.7428
1.241000	54.865	-78.6463
1.250000	55.038	-79.8551
1.265000	55.328	-81.8259
1.280000	55.615	-83.7455
1.315000	56.278	-88.0508
1.320000	56.371	-88.6483
1.340000	56.739	-90.9969
1.360000	57.104	-93.2666
1.380000	57.472	-95.4329
1.400000	57.845	-97.4933
1.430000	58.411	-100.4050
1.450000	58.791	-102.2421
1.475000	59.269	-104.4398
1.500000	59.746	-106.5455
1.525000	60.222	-108.5770
1.550000	60.695	-110.5501
1.575000	61.162	-112.4790
1.600000	61.621	-114.3762
1.625000	62.072	-116.2526
1.650000	62.511	-118.1170
1.675000	62.938	-119.9736
1.700000	63.353	-121.8077
1.725000	63.760	-123.5910
1.750000	64.158	-125.3157
1.775000	64.550	-126.9842
1.800000	64.934	-128.6015
1.825000	65.312	-130.1731
1.850000	65.683	-131.7050
1.875000	66.048	-133.2032
1.900000	66.407	-134.6738
1.925000	66.760	-136.1228
1.950000	67.108	-137.5557
1.975000	67.450	-138.9779
2.000000	67.787	-140.3935
2.030000	68.185	-142.0817
2.060000	68.573	-143.7421
2.090000	68.952	-145.3647
2.120000	69.322	-146.9500
2.140000	69.564	-147.9876
2.180000	70.038	-150.0218
2.200000	70.270	-151.0211
2.240000	70.724	-152.9913
2.270000	71.058	-154.4500
2.300000	71.386	-155.8982
2.330000	71.709	-157.3406
2.360000	72.027	-158.7791
2.400000	72.441	-160.6823
2.430000	72.743	-162.0916
2.470000	73.137	-163.9433
2.500000	73.425	-165.3118
2.540000	73.800	-167.1112
2.580000	74.166	-168.8856
2.620000	74.523	-170.6401
2.650000	74.787	-171.9465
2.690000	75.132	-173.6805
2.720000	75.385	-174.9764
2.760000	75.715	-176.6949
2.800000	76.037	-178.3983
2.850000	76.427	179.4982
2.900000	76.805	177.4250
2.950000	77.172	175.3803
3.000000	77.531	173.3590
3.040000	77.811	171.7531
3.070000	78.016	170.5516
3.110000	78.284	168.9542
3.150000	78.546	167.3656
3.200000	78.863	165.3979
3.250000	79.172	163.4543
3.300000	79.472	161.5364
3.350000	79.765	159.6420
3.400000	80.050	157.7613
3.450000	80.327	155.8859
3.500000	80.595	154.0201
3.550000	80.855	152.1707
3.600000	81.108	150.3431
3.650000	81.355	148.5399
3.700000	81.596	146.7594
3.750000	81.830	144.9908
3.820000	82.147	142.5245
3.870000	82.365	140.7763
3.950000	82.702	138.0179
4.000000	82.907	136.3235
4.060000	83.145	134.3165
4.120000	83.376	132.3226
4.180000	83.599	130.3399
4.250000	83.851	128.0516
4.310000	84.060	126.1198
4.370000	84.264	124.2179
4.440000	84.494	122.0239
4.500000	84.684	120.1556
4.550000	84.839	118.6104
4.620000	85.049	116.4722
4.680000	85.225	114.6675
4.750000	85.425	112.5904
4.820000	85.618	110.5312
4.870000	85.752	109.0711
4.940000	85.935	107.0471
5.000000	86.089	105.3351
5.080000	86.288	103.0839
5.150000	86.457	101.1332
5.220000	86.621	99.1985
5.300000	86.804	97.0130
5.380000	86.982	94.8592
5.450000	87.134	92.9950
5.520000	87.283	91.1443
5.600000	87.448	89.0486
5.700000	87.648	86.4654
5.800000	87.842	83.9175
5.900000	88.030	81.3948
6.000000	88.212	78.9048
6.080000	88.354	76.9392
6.150000	88.476	75.2330
6.220000	88.594	73.5382
6.300000	88.727	71.6191
6.400000	88.888	69.2522
6.500000	89.045	66.9137
6.600000	89.197	64.6000
6.700000	89.346	62.3184
6.800000	89.491	60.0690
6.900000	89.631	57.8448
7.000000	89.769	55.6487
7.100000	89.904	53.4838
7.200000	90.036	51.3451
7.300000	90.166	49.2305
7.400000	90.294	47.1418
7.500000	90.419	45.0766
7.620000	90.568	42.6247
7.750000	90.725	39.9993
7.880000	90.880	37.4004
8.000000	91.019	35.0222
8.120000	91.155	32.6615
8.250000	91.298	30.1181
8.380000	91.436	27.5931
8.500000	91.556	25.2769
8.620000	91.671	22.9727
8.750000	91.786	20.5029
8.850000	91.869	18.6209
9.000000	91.982	15.8319
9.120000	92.062	13.6490
9.250000	92.139	11.3314
9.380000	92.206	9.0781
9.500000	92.259	7.0710
9.620000	92.305	5.1323
