* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 4, 25 12:50:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edxpln R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.041 -79.1180
1.015000 67.434 -79.1608
1.030000 67.818 -79.2415
1.044000 68.167 -79.3504
1.060000 68.555 -79.5136
1.075000 68.907 -79.7029
1.090000 69.245 -79.9244
1.106000 69.594 -80.1832
1.120000 69.893 -80.4082
1.138000 70.269 -80.6824
1.150000 70.516 -80.8558
1.172000 70.959 -81.1584
1.180000 71.117 -81.2652
1.206000 71.619 -81.5998
1.220000 71.882 -81.7739
1.241000 72.266 -82.0300
1.250000 72.427 -82.1385
1.265000 72.690 -82.3189
1.280000 72.947 -82.4992
1.315000 73.518 -82.9253
1.320000 73.597 -82.9872
1.340000 73.903 -83.2387
1.360000 74.196 -83.4976
1.380000 74.476 -83.7547
1.400000 74.741 -84.0178
1.430000 75.113 -84.4336
1.450000 75.343 -84.7255
1.475000 75.606 -85.0980
1.500000 75.836 -85.4545
1.525000 76.032 -85.7866
1.550000 76.199 -86.0982
1.575000 76.340 -86.3891
1.600000 76.458 -86.6599
1.625000 76.559 -86.9238
1.650000 76.645 -87.1844
1.675000 76.720 -87.4451
1.700000 76.788 -87.7086
1.725000 76.854 -87.9776
1.750000 76.920 -88.2542
1.775000 76.992 -88.5448
1.800000 77.072 -88.8548
1.825000 77.163 -89.1756
1.850000 77.262 -89.5008
1.875000 77.362 -89.8201
1.900000 77.461 -90.1302
1.925000 77.557 -90.4311
1.950000 77.652 -90.7231
1.975000 77.746 -91.0108
2.000000 77.838 -91.2987
2.030000 77.946 -91.6359
2.060000 78.053 -91.9660
2.090000 78.158 -92.2909
2.120000 78.263 -92.6124
2.140000 78.331 -92.8258
2.180000 78.468 -93.2595
2.200000 78.536 -93.4826
2.240000 78.669 -93.9213
2.270000 78.767 -94.2400
2.300000 78.864 -94.5491
2.330000 78.959 -94.8489
2.360000 79.053 -95.1401
2.400000 79.177 -95.5377
2.430000 79.268 -95.8307
2.470000 79.388 -96.2123
2.500000 79.478 -96.4931
2.540000 79.596 -96.8617
2.580000 79.713 -97.2369
2.620000 79.829 -97.6284
2.650000 79.914 -97.9140
2.690000 80.027 -98.2846
2.720000 80.111 -98.5548
2.760000 80.221 -98.9043
2.800000 80.329 -99.2721
2.850000 80.463 -99.7236
2.900000 80.594 -100.1629
2.950000 80.723 -100.5921
3.000000 80.850 -101.0366
3.040000 80.949 -101.3929
3.070000 81.023 -101.6544
3.110000 81.119 -101.9954
3.150000 81.215 -102.3277
3.200000 81.332 -102.7546
3.250000 81.448 -103.1807
3.300000 81.562 -103.5966
3.350000 81.675 -104.0039
3.400000 81.785 -104.4275
3.450000 81.894 -104.8516
3.500000 82.001 -105.2645
3.550000 82.106 -105.6645
3.600000 82.210 -106.0792
3.650000 82.311 -106.4939
3.700000 82.411 -106.9006
3.750000 82.509 -107.3023
3.820000 82.644 -107.8914
3.870000 82.738 -108.3092
3.950000 82.885 -108.9526
4.000000 82.974 -109.3621
4.060000 83.079 -109.8524
4.120000 83.182 -110.3343
4.180000 83.282 -110.8156
4.250000 83.396 -111.3977
4.310000 83.491 -111.8766
4.370000 83.584 -112.3398
4.440000 83.689 -112.8967
4.500000 83.776 -113.3646
4.550000 83.847 -113.7462
4.620000 83.944 -114.2954
4.680000 84.025 -114.7544
4.750000 84.118 -115.2639
4.820000 84.208 -115.7795
4.870000 84.271 -116.1435
4.940000 84.357 -116.6376
5.000000 84.430 -117.0628
5.080000 84.524 -117.6184
5.150000 84.606 -118.0789
5.220000 84.685 -118.5434
5.300000 84.775 -119.0623
5.380000 84.862 -119.5634
5.450000 84.938 -120.0098
5.520000 85.013 -120.4359
5.600000 85.098 -120.9180
5.700000 85.203 -121.5208
5.800000 85.306 -122.1079
5.900000 85.408 -122.6968
6.000000 85.509 -123.2745
6.080000 85.588 -123.7437
6.150000 85.657 -124.1415
6.220000 85.726 -124.5513
6.300000 85.803 -125.0151
6.400000 85.897 -125.5926
6.500000 85.990 -126.1779
6.600000 86.081 -126.7557
6.700000 86.169 -127.3414
6.800000 86.255 -127.9232
6.900000 86.338 -128.5088
7.000000 86.419 -129.0848
7.100000 86.498 -129.6661
7.200000 86.574 -130.2395
7.300000 86.648 -130.8109
7.400000 86.719 -131.3699
7.500000 86.787 -131.9297
7.620000 86.867 -132.5887
7.750000 86.949 -133.2850
7.880000 87.029 -133.9784
8.000000 87.099 -134.5974
8.120000 87.168 -135.2032
8.250000 87.239 -135.8449
8.380000 87.308 -136.4687
8.500000 87.371 -137.0370
8.620000 87.433 -137.5932
8.750000 87.499 -138.1847
8.850000 87.548 -138.6353
9.000000 87.619 -139.2945
9.120000 87.674 -139.8153
9.250000 87.734 -140.3691
9.380000 87.792 -140.9099
9.500000 87.845 -141.4087
9.620000 87.897 -141.8981
9.750000 87.950 -142.4230
9.880000 87.999 -142.9436
10.000000 88.036 -143.4111
10.150000 88.075 -144.0309
10.300000 88.108 -144.6297
10.440000 88.134 -145.1707
10.600000 88.159 -145.7689
10.750000 88.179 -146.3114
10.900000 88.198 -146.8365
11.060000 88.217 -147.4078
11.200000 88.234 -147.9360
11.380000 88.253 -148.5903
11.500000 88.263 -149.0105
11.720000 88.277 -149.7464
11.800000 88.282 -150.0025
12.060000 88.293 -150.8191
12.200000 88.299 -151.2790
12.410000 88.311 -151.9398
12.500000 88.319 -152.2137
12.650000 88.335 -152.6589
12.800000 88.354 -153.0918
13.150000 88.399 -154.1155
13.200000 88.405 -154.2676
13.400000 88.428 -154.8648
13.600000 88.448 -155.4410
13.800000 88.465 -155.9938
14.000000 88.480 -156.5249
14.300000 88.501 -157.3444
14.500000 88.514 -157.8629
14.750000 88.531 -158.4849
15.000000 88.548 -159.0900
15.250000 88.566 -159.7444
15.500000 88.582 -160.3928
15.750000 88.595 -161.0275
16.000000 88.604 -161.6399
16.250000 88.613 -162.2606
16.500000 88.623 -162.8438
16.750000 88.633 -163.3913
17.000000 88.647 -163.9197
17.250000 88.663 -164.4742
17.500000 88.681 -165.0404
17.750000 88.697 -165.6200
18.000000 88.708 -166.2091
18.250000 88.712 -166.8168
18.500000 88.709 -167.3919
18.750000 88.700 -167.9100
19.000000 88.690 -168.3596
19.250000 88.683 -168.7668
19.500000 88.683 -169.1266
19.750000 88.691 -169.4645
20.000000 88.706 -169.8088
20.299999 88.731 -170.2893
20.600000 88.755 -170.8180
20.900000 88.773 -171.3813
21.200001 88.783 -171.9707
21.400000 88.786 -172.3598
21.799999 88.783 -173.0900
22.000000 88.780 -173.4301
22.400000 88.774 -174.0941
22.700001 88.770 -174.5708
23.000000 88.766 -175.0412
23.299999 88.761 -175.5256
23.600000 88.754 -176.0081
24.000000 88.741 -176.6426
24.299999 88.729 -177.1245
24.700001 88.708 -177.7430
25.000000 88.689 -178.1794
25.400000 88.663 -178.7330
25.799999 88.638 -179.2370
26.200001 88.617 -179.7221
26.500000 88.605 179.9106
26.900000 88.590 179.4181
27.200001 88.577 179.0433
27.600000 88.559 178.5535
28.000000 88.540 178.0921
28.500000 88.519 177.5348
29.000000 88.503 176.9877
29.500000 88.486 176.4199
30.000000 88.466 175.8594
30.400000 88.447 175.4247
30.700001 88.434 175.1147
31.100000 88.416 174.7140
31.500000 88.399 174.3110
32.000000 88.378 173.8131
32.500000 88.356 173.3073
33.000000 88.333 172.8033
33.500000 88.306 172.2938
34.000000 88.274 171.7948
34.500000 88.239 171.3151
35.000000 88.204 170.8730
35.500000 88.172 170.4490
36.000000 88.142 170.0267
36.500000 88.112 169.5928
37.000000 88.080 169.1665
37.500000 88.047 168.7598
38.200001 88.004 168.2281
38.700001 87.977 167.8484
39.500000 87.935 167.1989
40.000000 87.902 166.7756
40.599998 87.855 166.2971
41.200001 87.806 165.8905
41.799999 87.763 165.5197
42.500000 87.719 165.0481
43.099998 87.675 164.6264
43.700001 87.627 164.2467
44.400002 87.577 163.8488
45.000000 87.542 163.4875
45.500000 87.511 163.1599
46.200001 87.464 162.7180
46.799999 87.424 162.3739
47.500000 87.382 161.9721
48.200001 87.339 161.5589
48.700001 87.305 161.2791
49.400002 87.258 160.9183
50.000000 87.220 160.6135
50.799999 87.167 160.1903
51.500000 87.115 159.8324
52.200001 87.062 159.5025
53.000000 87.004 159.1300
53.799999 86.946 158.7405
54.500000 86.894 158.4010
55.200001 86.842 158.0746
56.000000 86.784 157.7221
57.000000 86.717 157.3239
58.000000 86.658 156.9085
59.000000 86.582 156.4721
60.000000 86.497 156.2245
60.799999 86.447 156.0886
61.500000 86.412 155.8896
62.200001 86.372 155.6044
63.000000 86.312 155.2400
64.000000 86.221 154.8474
65.000000 86.134 154.5670
66.000000 86.057 154.3376
67.000000 85.996 154.1979
68.000000 85.957 154.0508
69.000000 85.930 153.8306
70.000000 85.899 153.5334
71.000000 85.854 153.2096
72.000000 85.795 152.9076
73.000000 85.725 152.6615
74.000000 85.655 152.4791
75.000000 85.591 152.2766
76.199997 85.511 151.9794
77.500000 85.425 151.7291
78.800003 85.358 151.5138
80.000000 85.314 151.2006
81.199997 85.246 150.7393
82.500000 85.136 150.4298
83.800003 85.036 150.3785
85.000000 84.969 150.3320
86.199997 84.912 150.1299
87.500000 84.841 149.7954
88.500000 84.782 149.5693
90.000000 84.706 149.2898
91.199997 84.653 149.1192
92.500000 84.607 148.9844
93.800003 84.558 148.8162
95.000000 84.500 148.6921
96.199997 84.435 148.6108
97.500000 84.366 148.5157
98.800003 84.295 148.3593
100.000000 84.227 148.1889
101.500000 84.144 148.0139
103.000000 84.070 147.8537
104.400002 84.001 147.6888
106.000000 83.919 147.5335
107.500000 83.843 147.3988
109.000000 83.765 147.2926
110.599998 83.684 147.2241
112.000000 83.617 147.1896
113.800003 83.540 147.1182
115.000000 83.488 147.0331
117.199997 83.386 146.9273
118.000000 83.353 146.9288
120.599998 83.256 146.8422
122.000000 83.193 146.7417
124.099998 83.081 146.6013
125.000000 83.034 146.5862
126.500000 82.967 146.5708
128.000000 82.907 146.5583
131.500000 82.768 146.5878
132.000000 82.745 146.5974
134.000000 82.658 146.6286
136.000000 82.580 146.5587
138.000000 82.504 146.4733
140.000000 82.431 146.4874
143.000000 82.325 146.6279
145.000000 82.259 146.7101
147.500000 82.178 146.6956
150.000000 82.093 146.7301
152.500000 82.015 146.8293
155.000000 81.937 146.8797
157.500000 81.849 146.9569
160.000000 81.767 147.1133
162.500000 81.688 147.1926
165.000000 81.598 147.2532
167.500000 81.509 147.3335
170.000000 81.421 147.4162
172.500000 81.332 147.5323
175.000000 81.245 147.6512
177.500000 81.155 147.7341
180.000000 81.068 147.8250
182.500000 80.984 147.9384
185.000000 80.902 148.0593
187.500000 80.819 148.1727
190.000000 80.736 148.3003
192.500000 80.657 148.4482
195.000000 80.580 148.5901
197.500000 80.504 148.7402
200.000000 80.429 148.8895
203.000000 80.347 149.0823
206.000000 80.270 149.2799
209.000000 80.194 149.4859
212.000000 80.120 149.7182
214.000000 80.072 149.8643
218.000000 79.978 150.1713
220.000000 79.931 150.3301
224.000000 79.840 150.6642
227.000000 79.776 150.9219
230.000000 79.714 151.1785
233.000000 79.653 151.4432
236.000000 79.592 151.7132
240.000000 79.517 152.0800
243.000000 79.464 152.3593
247.000000 79.393 152.7442
250.000000 79.339 153.0224
254.000000 79.268 153.4019
258.000000 79.201 153.7516
262.000000 79.136 154.0947
265.000000 79.088 154.3660
269.000000 79.021 154.7233
272.000000 78.969 154.9922
276.000000 78.900 155.3884
280.000000 78.833 155.7927
285.000000 78.758 156.3024
290.000000 78.696 156.8735
295.000000 78.646 157.4364
300.000000 78.611 157.9176
304.000000 78.587 158.2341
307.000000 78.570 158.4471
311.000000 78.543 158.7072
315.000000 78.510 158.9201
320.000000 78.462 159.1345
