* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 6:29:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 b L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.349 -25.0625
1.015000 41.346 -26.5689
1.030000 41.357 -28.1770
1.044000 41.380 -29.7711
1.060000 41.423 -31.7028
1.075000 41.480 -33.6178
1.090000 41.554 -35.6257
1.106000 41.654 -37.8368
1.120000 41.757 -39.7785
1.138000 41.910 -42.2440
1.150000 42.024 -43.8625
1.172000 42.258 -46.7731
1.180000 42.350 -47.8128
1.206000 42.674 -51.1230
1.220000 42.863 -52.8626
1.241000 43.164 -55.4185
1.250000 43.298 -56.4951
1.265000 43.529 -58.2658
1.280000 43.768 -60.0086
1.315000 44.352 -63.9766
1.320000 44.438 -64.5331
1.340000 44.787 -66.7357
1.360000 45.142 -68.9030
1.380000 45.502 -71.0375
1.400000 45.865 -73.1411
1.430000 46.409 -76.2407
1.450000 46.769 -78.2662
1.475000 47.221 -80.7072
1.500000 47.689 -82.9447
1.525000 48.177 -84.9602
1.550000 48.684 -86.7912
1.575000 49.205 -88.4773
1.600000 49.738 -90.0525
1.625000 50.278 -91.5453
1.650000 50.824 -92.9797
1.675000 51.370 -94.3754
1.700000 51.914 -95.7482
1.725000 52.452 -97.1109
1.750000 52.981 -98.4732
1.775000 53.498 -99.8427
1.800000 53.999 -101.2239
1.825000 54.482 -102.6115
1.850000 54.951 -103.9703
1.875000 55.410 -105.2573
1.900000 55.862 -106.4684
1.925000 56.307 -107.6159
1.950000 56.746 -108.7130
1.975000 57.178 -109.7717
2.000000 57.603 -110.8024
2.030000 58.105 -112.0154
2.060000 58.598 -113.2149
2.090000 59.081 -114.4123
2.120000 59.556 -115.6172
2.140000 59.867 -116.4285
2.180000 60.478 -118.0751
2.200000 60.777 -118.9056
2.240000 61.362 -120.5358
2.270000 61.788 -121.7126
2.300000 62.205 -122.8535
2.330000 62.612 -123.9654
2.360000 63.011 -125.0556
2.400000 63.529 -126.4865
2.430000 63.909 -127.5506
2.470000 64.405 -128.9671
2.500000 64.769 -130.0342
2.540000 65.246 -131.4698
2.580000 65.712 -132.9155
2.620000 66.165 -134.3462
2.650000 66.496 -135.4014
2.690000 66.927 -136.7847
2.720000 67.241 -137.8066
2.760000 67.651 -139.1521
2.800000 68.051 -140.4826
2.850000 68.538 -142.1325
2.900000 69.012 -143.7769
2.950000 69.474 -145.4200
3.000000 69.921 -147.0514
3.040000 70.267 -148.3413
3.070000 70.521 -149.2988
3.110000 70.851 -150.5617
3.150000 71.174 -151.8093
3.200000 71.567 -153.3491
3.250000 71.951 -154.8699
3.300000 72.325 -156.3761
3.350000 72.689 -157.8712
3.400000 73.041 -159.3531
3.450000 73.382 -160.8178
3.500000 73.713 -162.2625
3.550000 74.036 -163.6854
3.600000 74.351 -165.0864
3.650000 74.659 -166.4668
3.700000 74.960 -167.8308
3.750000 75.253 -169.1822
3.820000 75.648 -171.0501
3.870000 75.922 -172.3641
3.950000 76.348 -174.4276
4.000000 76.607 -175.6923
4.060000 76.911 -177.1875
4.120000 77.206 -178.6634
4.180000 77.493 179.8790
4.250000 77.818 178.2034
4.310000 78.090 176.7895
4.370000 78.356 175.3961
4.440000 78.659 173.7934
4.500000 78.912 172.4362
4.550000 79.118 171.3165
4.620000 79.400 169.7658
4.680000 79.636 168.4521
4.750000 79.906 166.9359
4.820000 80.169 165.4346
4.870000 80.353 164.3702
4.940000 80.605 162.8916
5.000000 80.816 161.6349
5.080000 81.091 159.9741
5.150000 81.325 158.5320
5.220000 81.553 157.0968
5.300000 81.807 155.4655
5.380000 82.053 153.8474
5.450000 82.262 152.4435
5.520000 82.465 151.0484
5.600000 82.691 149.4589
5.700000 82.962 147.4827
5.800000 83.222 145.5294
5.900000 83.470 143.6005
6.000000 83.707 141.6831
6.080000 83.889 140.1613
6.150000 84.043 138.8451
6.220000 84.191 137.5458
6.300000 84.354 136.0758
6.400000 84.549 134.2540
6.500000 84.733 132.4604
6.600000 84.909 130.7055
6.700000 85.076 128.9818
6.800000 85.234 127.2843
6.900000 85.385 125.6227
7.000000 85.528 124.0016
7.100000 85.664 122.4128
7.200000 85.794 120.8559
7.300000 85.918 119.3367
7.400000 86.037 117.8551
7.500000 86.150 116.4053
7.620000 86.280 114.7087
7.750000 86.415 112.9268
7.880000 86.544 111.1967
8.000000 86.657 109.6435
8.120000 86.767 108.1323
8.250000 86.882 106.5381
8.380000 86.994 104.9852
8.500000 87.094 103.5864
8.620000 87.191 102.2182
8.750000 87.294 100.7665
8.850000 87.372 99.6696
9.000000 87.485 98.0536
9.120000 87.574 96.7831
9.250000 87.668 95.4258
9.380000 87.759 94.0871
9.500000 87.841 92.8670
9.620000 87.920 91.6606
9.750000 88.002 90.3687
9.880000 88.076 89.0955
10.000000 88.135 87.9370
10.150000 88.196 86.5130
10.300000 88.248 85.1233
10.440000 88.290 83.8581
10.600000 88.332 82.4540
10.750000 88.369 81.1829
10.900000 88.404 79.9533
11.060000 88.442 78.6866
11.200000 88.475 77.6137
11.380000 88.519 76.2702
11.500000 88.550 75.3928
11.720000 88.610 73.8051
11.800000 88.632 73.2296
12.060000 88.705 71.3574
12.200000 88.742 70.3420
12.410000 88.794 68.8141
12.500000 88.817 68.1612
12.650000 88.855 67.0784
12.800000 88.889 66.0151
13.150000 88.950 63.6655
13.200000 88.957 63.3504
13.400000 88.981 62.1494
13.600000 89.004 61.0437
13.800000 89.033 60.0269
14.000000 89.071 59.0696
14.300000 89.147 57.6749
14.500000 89.211 56.7158
14.750000 89.295 55.4354
15.000000 89.375 54.0468
15.250000 89.438 52.5681
15.500000 89.478 51.0565
15.750000 89.491 49.5804
16.000000 89.483 48.2114
16.250000 89.463 46.9967
16.500000 89.443 45.9481
16.750000 89.432 45.0411
17.000000 89.438 44.2170
17.250000 89.460 43.4098
17.500000 89.496 42.5600
17.750000 89.536 41.6349
18.000000 89.573 40.6342
18.250000 89.600 39.5815
18.500000 89.614 38.5172
18.750000 89.616 37.4798
19.000000 89.610 36.4981
19.250000 89.601 35.5835
19.500000 89.595 34.7276
19.750000 89.593 33.9109
20.000000 89.597 33.1081
20.299999 89.607 32.1350
20.600000 89.618 31.1381
20.900000 89.624 30.1270
21.200001 89.622 29.1304
21.400000 89.617 28.4912
21.799999 89.602 27.3077
22.000000 89.595 26.7699
22.400000 89.592 25.7859
22.700001 89.602 25.0924
23.000000 89.623 24.3947
23.299999 89.651 23.6595
23.600000 89.682 22.8693
24.000000 89.715 21.7374
24.299999 89.728 20.8604
24.700001 89.728 19.7168
25.000000 89.717 18.9163
25.400000 89.696 17.9526
25.799999 89.678 17.0934
26.200001 89.666 16.2891
26.500000 89.662 15.6881
26.900000 89.656 14.8632
27.200001 89.648 14.2281
27.600000 89.628 13.3867
28.000000 89.598 12.5956
28.500000 89.559 11.7284
29.000000 89.533 10.9761
29.500000 89.533 10.2208
30.000000 89.550 9.3288
30.400000 89.559 8.4925
30.700001 89.557 7.8235
31.100000 89.540 6.9404
31.500000 89.512 6.1294
32.000000 89.480 5.2363
32.500000 89.462 4.3961
33.000000 89.450 3.5193
33.500000 89.427 2.6287
34.000000 89.392 1.8269
34.500000 89.359 1.1614
35.000000 89.343 0.5593
35.500000 89.337 -0.0811
36.000000 89.326 -0.7742
36.500000 89.304 -1.4508
37.000000 89.279 -2.0593
37.500000 89.260 -2.6266
38.200001 89.245 -3.4725
38.700001 89.231 -4.1440
39.500000 89.193 -5.2587
40.000000 89.162 -5.9351
40.599998 89.125 -6.7220
41.200001 89.089 -7.5087
41.799999 89.049 -8.2981
42.500000 88.995 -9.1562
43.099998 88.952 -9.8081
43.700001 88.921 -10.4391
44.400002 88.888 -11.2091
45.000000 88.854 -11.8600
45.500000 88.826 -12.3723
46.200001 88.786 -13.0646
46.799999 88.749 -13.6282
47.500000 88.709 -14.2097
48.200001 88.685 -14.7911
48.700001 88.670 -15.2756
49.400002 88.635 -16.0042
50.000000 88.596 -16.5748
50.799999 88.554 -17.2758
51.500000 88.523 -17.9501
52.200001 88.481 -18.6534
53.000000 88.425 -19.3730
53.799999 88.377 -20.0260
54.500000 88.340 -20.6125
55.200001 88.301 -21.2101
56.000000 88.252 -21.8593
57.000000 88.194 -22.6310
58.000000 88.134 -23.4232
59.000000 88.067 -24.1782
60.000000 88.005 -24.8918
60.799999 87.957 -25.4885
61.500000 87.911 -26.0087
62.200001 87.865 -26.5005
63.000000 87.816 -27.0537
64.000000 87.752 -27.7465
65.000000 87.688 -28.3793
66.000000 87.626 -29.0180
67.000000 87.550 -29.5955
68.000000 87.488 -30.0466
69.000000 87.448 -30.6184
70.000000 87.394 -31.3596
71.000000 87.320 -32.0984
72.000000 87.239 -32.7513
73.000000 87.159 -33.3007
74.000000 87.090 -33.7719
75.000000 87.026 -34.2148
76.199997 86.949 -34.6262
77.500000 86.889 -35.0389
78.800003 86.806 -35.5959
80.000000 86.718 -35.9225
81.199997 86.650 -36.3267
82.500000 86.560 -36.7878
83.800003 86.494 -37.1262
85.000000 86.452 -37.5706
86.199997 86.400 -38.0345
87.500000 86.343 -38.4036
88.500000 86.313 -38.6089
90.000000 86.282 -39.0174
91.199997 86.255 -39.4139
92.500000 86.212 -39.9462
93.800003 86.158 -40.4815
95.000000 86.094 -41.0437
96.199997 86.023 -41.4532
97.500000 85.972 -41.9656
98.800003 85.900 -42.6156
100.000000 85.819 -43.0138
101.500000 85.760 -43.3472
103.000000 85.727 -43.9377
104.400002 85.677 -44.6312
106.000000 85.593 -45.3076
107.500000 85.514 -45.7211
109.000000 85.444 -46.0676
110.599998 85.367 -46.4345
112.000000 85.295 -46.7965
113.800003 85.194 -47.3517
115.000000 85.124 -47.7280
117.199997 85.010 -48.3311
118.000000 84.973 -48.5200
120.599998 84.857 -49.0496
122.000000 84.789 -49.3210
124.099998 84.681 -49.7372
125.000000 84.638 -49.9236
126.500000 84.571 -50.2391
128.000000 84.510 -50.5504
131.500000 84.374 -51.0934
132.000000 84.356 -51.1583
134.000000 84.285 -51.4581
136.000000 84.210 -51.8227
138.000000 84.138 -52.1976
140.000000 84.066 -52.6072
143.000000 83.950 -53.1389
145.000000 83.870 -53.4439
147.500000 83.764 -53.8165
150.000000 83.649 -54.1615
152.500000 83.532 -54.4247
155.000000 83.418 -54.6163
157.500000 83.307 -54.7291
160.000000 83.193 -54.7359
162.500000 83.074 -54.5741
165.000000 82.971 -54.2330
167.500000 82.914 -53.8040
170.000000 82.911 -53.4404
172.500000 82.952 -53.3090
175.000000 82.996 -53.5791
177.500000 83.011 -54.1169
180.000000 82.997 -54.7651
182.500000 82.960 -55.4235
185.000000 82.905 -56.0355
187.500000 82.836 -56.5645
190.000000 82.761 -57.0112
192.500000 82.685 -57.4188
195.000000 82.611 -57.8116
197.500000 82.538 -58.1866
200.000000 82.468 -58.5449
203.000000 82.389 -58.9362
206.000000 82.314 -59.2816
209.000000 82.239 -59.6163
212.000000 82.163 -59.9390
214.000000 82.113 -60.1427
218.000000 82.016 -60.5113
220.000000 81.969 -60.6748
224.000000 81.879 -60.9892
227.000000 81.815 -61.2186
230.000000 81.752 -61.4374
233.000000 81.690 -61.6450
236.000000 81.630 -61.8366
240.000000 81.554 -62.0835
243.000000 81.499 -62.2634
247.000000 81.426 -62.5051
250.000000 81.369 -62.6799
254.000000 81.289 -62.8765
258.000000 81.209 -63.0432
262.000000 81.134 -63.2460
265.000000 81.082 -63.4081
269.000000 81.017 -63.6042
272.000000 80.970 -63.7367
276.000000 80.907 -63.9110
280.000000 80.843 -64.0915
285.000000 80.765 -64.3020
290.000000 80.688 -64.4993
295.000000 80.616 -64.6950
300.000000 80.548 -64.8700
304.000000 80.494 -65.0020
307.000000 80.454 -65.1040
311.000000 80.403 -65.2399
