* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 6:27:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 b R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.262 15.9937
1.015000 53.341 13.6577
1.030000 53.428 11.2984
1.044000 53.518 9.0699
1.060000 53.630 6.4843
1.075000 53.746 4.0152
1.090000 53.874 1.4939
1.106000 54.023 -1.2639
1.120000 54.162 -3.7397
1.138000 54.351 -6.9956
1.150000 54.484 -9.1998
1.172000 54.739 -13.2800
1.180000 54.836 -14.7688
1.206000 55.162 -19.5922
1.220000 55.345 -22.1635
1.241000 55.629 -25.9634
1.250000 55.753 -27.5661
1.265000 55.965 -30.1976
1.280000 56.180 -32.7751
1.315000 56.696 -38.5634
1.320000 56.771 -39.3638
1.340000 57.073 -42.4987
1.360000 57.379 -45.5299
1.380000 57.688 -48.4624
1.400000 57.998 -51.3028
1.430000 58.464 -55.4080
1.450000 58.773 -58.0528
1.475000 59.161 -61.2594
1.500000 59.559 -64.3352
1.525000 59.969 -67.2669
1.550000 60.390 -70.0573
1.575000 60.819 -72.7150
1.600000 61.254 -75.2515
1.625000 61.693 -77.6798
1.650000 62.134 -80.0135
1.675000 62.575 -82.2660
1.700000 63.013 -84.4505
1.725000 63.447 -86.5792
1.750000 63.873 -88.6635
1.775000 64.290 -90.7139
1.800000 64.696 -92.7396
1.825000 65.090 -94.7459
1.850000 65.473 -96.7252
1.875000 65.848 -98.6598
1.900000 66.218 -100.5412
1.925000 66.583 -102.3679
1.950000 66.942 -104.1408
1.975000 67.296 -105.8625
2.000000 67.644 -107.5363
2.030000 68.055 -109.4876
2.060000 68.459 -111.3841
2.090000 68.854 -113.2342
2.120000 69.243 -115.0468
2.140000 69.497 -116.2385
2.180000 69.997 -118.5928
2.200000 70.241 -119.7581
2.240000 70.719 -122.0589
2.270000 71.068 -123.7501
2.300000 71.408 -125.4079
2.330000 71.740 -127.0315
2.360000 72.066 -128.6214
2.400000 72.488 -130.6916
2.430000 72.798 -132.2104
2.470000 73.202 -134.1962
2.500000 73.498 -135.6611
2.540000 73.886 -137.5893
2.580000 74.264 -139.4980
2.620000 74.632 -141.3915
2.650000 74.900 -142.7982
2.690000 75.248 -144.6503
2.720000 75.503 -146.0190
2.760000 75.834 -147.8148
2.800000 76.156 -149.5765
2.850000 76.548 -151.7325
2.900000 76.928 -153.8425
2.950000 77.298 -155.9206
3.000000 77.654 -157.9850
3.040000 77.930 -159.6249
3.070000 78.131 -160.8441
3.110000 78.393 -162.4512
3.150000 78.648 -164.0338
3.200000 78.958 -165.9741
3.250000 79.259 -167.8709
3.300000 79.551 -169.7301
3.350000 79.834 -171.5712
3.400000 80.107 -173.4035
3.450000 80.370 -175.2192
3.500000 80.623 -177.0091
3.550000 80.869 -178.7657
3.600000 81.108 179.5162
3.650000 81.340 177.8371
3.700000 81.565 176.1849
3.750000 81.783 174.5450
3.820000 82.074 172.2719
3.870000 82.274 170.6737
3.950000 82.582 168.1776
4.000000 82.768 166.6614
4.060000 82.984 164.8801
4.120000 83.192 163.1219
4.180000 83.392 161.3834
4.250000 83.616 159.3894
4.310000 83.801 157.7180
4.370000 83.981 156.0866
4.440000 84.185 154.2269
4.500000 84.353 152.6566
4.550000 84.488 151.3633
4.620000 84.671 149.5806
4.680000 84.824 148.0829
4.750000 84.997 146.3743
4.820000 85.164 144.7007
4.870000 85.281 143.5205
4.940000 85.438 141.8891
5.000000 85.569 140.5126
5.080000 85.739 138.7126
5.150000 85.883 137.1704
5.220000 86.022 135.6508
5.300000 86.176 133.9378
5.380000 86.325 132.2543
5.450000 86.451 130.8087
5.520000 86.573 129.3876
5.600000 86.707 127.7856
5.700000 86.869 125.8146
5.800000 87.023 123.8875
5.900000 87.171 122.0076
6.000000 87.312 120.1629
6.080000 87.419 118.7127
6.150000 87.511 117.4669
6.220000 87.599 116.2447
6.300000 87.697 114.8737
6.400000 87.814 113.1922
6.500000 87.926 111.5499
6.600000 88.035 109.9525
6.700000 88.139 108.3970
6.800000 88.240 106.8781
6.900000 88.338 105.3964
7.000000 88.434 103.9525
7.100000 88.529 102.5438
7.200000 88.621 101.1662
7.300000 88.712 99.8164
7.400000 88.801 98.4931
7.500000 88.890 97.1943
7.620000 88.995 95.6631
7.750000 89.107 94.0314
7.880000 89.216 92.4251
8.000000 89.314 90.9633
8.120000 89.410 89.5181
8.250000 89.509 87.9689
8.380000 89.604 86.4410
8.500000 89.686 85.0505
8.620000 89.764 83.6771
8.750000 89.843 82.2164
8.850000 89.899 81.1151
9.000000 89.978 79.4969
9.120000 90.035 78.2383
9.250000 90.092 76.9156
9.380000 90.145 75.6336
9.500000 90.190 74.4892
9.620000 90.233 73.3845
9.750000 90.276 72.2298
9.880000 90.313 71.1175
10.000000 90.339 70.1281
10.150000 90.363 68.9376
10.300000 90.383 67.7924
10.440000 90.399 66.7614
10.600000 90.416 65.6207
10.750000 90.433 64.5821
10.900000 90.450 63.5695
11.060000 90.469 62.5121
11.200000 90.486 61.6036
11.380000 90.507 60.4544
11.500000 90.521 59.6982
11.720000 90.546 58.3291
11.800000 90.555 57.8358
12.060000 90.581 56.2468
12.200000 90.594 55.3983
12.410000 90.615 54.1330
12.500000 90.626 53.5931
12.650000 90.647 52.6960
12.800000 90.669 51.8031
13.150000 90.715 49.7387
13.200000 90.721 49.4468
13.400000 90.740 48.2884
13.600000 90.754 47.1491
13.800000 90.764 46.0330
14.000000 90.770 44.9445
14.300000 90.774 43.3692
14.500000 90.775 42.3595
14.750000 90.774 41.1421
15.000000 90.773 39.9713
15.250000 90.773 38.8419
15.500000 90.774 37.7480
15.750000 90.777 36.6841
16.000000 90.783 35.6453
16.250000 90.792 34.6283
16.500000 90.803 33.6306
16.750000 90.815 32.6503
17.000000 90.826 31.6863
17.250000 90.837 30.7377
17.500000 90.847 29.8036
17.750000 90.856 28.8844
18.000000 90.861 27.9814
18.250000 90.864 27.0980
18.500000 90.864 26.2394
18.750000 90.860 25.4124
19.000000 90.852 24.6239
19.250000 90.843 23.8800
19.500000 90.834 23.1821
19.750000 90.826 22.5267
20.000000 90.822 21.9037
20.299999 90.824 21.1774
20.600000 90.832 20.4454
20.900000 90.843 19.6821
21.200001 90.853 18.8756
21.400000 90.856 18.3169
21.799999 90.850 17.1794
22.000000 90.840 16.6202
22.400000 90.810 15.5664
22.700001 90.783 14.8528
23.000000 90.759 14.2017
23.299999 90.742 13.5901
23.600000 90.732 12.9860
24.000000 90.728 12.1447
24.299999 90.725 11.4736
24.700001 90.713 10.5450
25.000000 90.697 9.8535
25.400000 90.667 8.9827
25.799999 90.635 8.1938
26.200001 90.606 7.4763
26.500000 90.589 6.9647
26.900000 90.570 6.2926
27.200001 90.558 5.7870
27.600000 90.542 5.1110
28.000000 90.524 4.4388
28.500000 90.501 3.6061
29.000000 90.477 2.7701
29.500000 90.449 1.9214
30.000000 90.412 1.0749
30.400000 90.377 0.4232
30.700001 90.349 -0.0382
31.100000 90.311 -0.6100
31.500000 90.278 -1.1395
32.000000 90.247 -1.7816
32.500000 90.226 -2.4608
33.000000 90.206 -3.2078
33.500000 90.175 -3.9897
34.000000 90.133 -4.7363
34.500000 90.087 -5.4026
35.000000 90.045 -6.0062
35.500000 90.008 -6.5919
36.000000 89.970 -7.1737
36.500000 89.928 -7.7222
37.000000 89.887 -8.2148
37.500000 89.855 -8.6791
38.200001 89.821 -9.3831
38.700001 89.795 -9.9445
39.500000 89.739 -10.8485
40.000000 89.701 -11.3818
40.599998 89.659 -12.0082
41.200001 89.617 -12.6349
41.799999 89.574 -13.2498
42.500000 89.523 -13.9438
43.099998 89.478 -14.5223
43.700001 89.430 -15.0721
44.400002 89.373 -15.6631
45.000000 89.326 -16.1462
45.500000 89.287 -16.5443
46.200001 89.231 -17.0867
46.799999 89.184 -17.5389
47.500000 89.131 -18.0851
48.200001 89.074 -18.6506
48.700001 89.029 -19.0330
49.400002 88.969 -19.5156
50.000000 88.926 -19.9109
50.799999 88.877 -20.4724
51.500000 88.832 -20.9918
52.200001 88.781 -21.5048
53.000000 88.713 -22.0258
53.799999 88.646 -22.4020
54.500000 88.607 -22.6688
55.200001 88.588 -23.0641
56.000000 88.553 -23.7574
57.000000 88.456 -24.6843
58.000000 88.333 -25.3707
59.000000 88.228 -25.8335
60.000000 88.157 -26.3053
60.799999 88.099 -26.7162
61.500000 88.050 -26.9779
62.200001 88.018 -27.2152
63.000000 87.987 -27.6218
64.000000 87.904 -28.1211
65.000000 87.816 -28.2842
66.000000 87.768 -28.4335
67.000000 87.726 -28.8159
68.000000 87.668 -29.3678
69.000000 87.587 -29.9451
70.000000 87.503 -30.4196
71.000000 87.428 -30.8526
72.000000 87.356 -31.2375
73.000000 87.291 -31.5521
74.000000 87.227 -31.8577
75.000000 87.157 -32.1035
76.199997 87.080 -32.3548
77.500000 86.997 -32.7208
78.800003 86.906 -33.1384
80.000000 86.821 -33.5461
81.199997 86.735 -33.9297
82.500000 86.647 -34.2710
83.800003 86.564 -34.5356
85.000000 86.494 -34.7455
86.199997 86.428 -34.9811
87.500000 86.354 -35.2731
88.500000 86.298 -35.5164
90.000000 86.215 -35.9242
91.199997 86.147 -36.2476
92.500000 86.075 -36.5497
93.800003 86.006 -36.8252
95.000000 85.941 -37.0771
96.199997 85.871 -37.3226
97.500000 85.792 -37.5541
98.800003 85.714 -37.7724
100.000000 85.645 -37.9810
101.500000 85.560 -38.2408
103.000000 85.478 -38.4785
104.400002 85.402 -38.6933
106.000000 85.318 -38.9226
107.500000 85.240 -39.1144
109.000000 85.166 -39.2942
110.599998 85.087 -39.4788
112.000000 85.017 -39.6217
113.800003 84.931 -39.7784
115.000000 84.876 -39.8928
117.199997 84.774 -40.1614
118.000000 84.734 -40.2578
120.599998 84.606 -40.4941
122.000000 84.548 -40.6346
124.099998 84.455 -40.9452
125.000000 84.412 -41.0448
126.500000 84.348 -41.1682
128.000000 84.288 -41.2958
131.500000 84.138 -41.4981
132.000000 84.117 -41.5152
134.000000 84.038 -41.5646
136.000000 83.969 -41.6322
138.000000 83.894 -41.7036
140.000000 83.812 -41.7121
143.000000 83.692 -41.7603
145.000000 83.616 -41.8275
147.500000 83.534 -41.9035
150.000000 83.447 -41.9101
152.500000 83.378 -41.9037
155.000000 83.290 -42.0437
157.500000 83.187 -41.9903
160.000000 83.091 -41.7801
162.500000 83.016 -41.6511
165.000000 82.948 -41.7162
167.500000 82.883 -41.7187
170.000000 82.819 -41.6326
172.500000 82.745 -41.5623
175.000000 82.668 -41.5578
177.500000 82.594 -41.6470
180.000000 82.518 -41.7513
182.500000 82.441 -41.8134
185.000000 82.364 -41.8676
187.500000 82.285 -41.8907
190.000000 82.207 -41.8967
192.500000 82.130 -41.9104
195.000000 82.054 -41.9210
197.500000 81.981 -41.8964
200.000000 81.910 -41.8440
203.000000 81.831 -41.7826
206.000000 81.759 -41.7361
209.000000 81.692 -41.6875
212.000000 81.628 -41.6398
214.000000 81.585 -41.5961
218.000000 81.500 -41.4882
220.000000 81.457 -41.4277
224.000000 81.374 -41.2994
227.000000 81.313 -41.2003
230.000000 81.252 -41.0936
233.000000 81.194 -40.9841
236.000000 81.137 -40.8593
240.000000 81.064 -40.7007
243.000000 81.012 -40.5934
247.000000 80.942 -40.4355
250.000000 80.889 -40.3029
254.000000 80.819 -40.1147
258.000000 80.754 -39.9393
262.000000 80.693 -39.8030
265.000000 80.648 -39.6999
269.000000 80.587 -39.5239
272.000000 80.541 -39.3773
276.000000 80.484 -39.2184
280.000000 80.428 -39.1055
285.000000 80.355 -38.8802
290.000000 80.286 -38.5840
295.000000 80.212 -38.3766
300.000000 80.142 -38.1788
304.000000 80.090 -37.9784
307.000000 80.052 -37.8331
311.000000 80.004 -37.6530
315.000000 79.956 -37.4725
