* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 6:22:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 r L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.925 -21.7727
1.015000 49.382 -23.5443
1.030000 49.825 -25.2689
1.044000 50.225 -26.8455
1.060000 50.660 -28.6183
1.075000 51.044 -30.2610
1.090000 51.404 -31.8920
1.106000 51.764 -33.6211
1.120000 52.067 -35.1187
1.138000 52.447 -37.0132
1.150000 52.696 -38.2537
1.172000 53.141 -40.4763
1.180000 53.300 -41.2671
1.206000 53.807 -43.7707
1.220000 54.072 -45.0763
1.241000 54.463 -46.9796
1.250000 54.628 -47.7755
1.265000 54.899 -49.0762
1.280000 55.165 -50.3460
1.315000 55.770 -53.1960
1.320000 55.855 -53.5911
1.340000 56.190 -55.1440
1.360000 56.519 -56.6558
1.380000 56.842 -58.1307
1.400000 57.161 -59.5728
1.430000 57.630 -61.6838
1.450000 57.938 -63.0621
1.475000 58.316 -64.7568
1.500000 58.683 -66.4182
1.525000 59.038 -68.0442
1.550000 59.382 -69.6353
1.575000 59.715 -71.1932
1.600000 60.039 -72.7203
1.625000 60.353 -74.2193
1.650000 60.660 -75.6932
1.675000 60.959 -77.1452
1.700000 61.253 -78.5788
1.725000 61.541 -79.9975
1.750000 61.824 -81.4046
1.775000 62.104 -82.8036
1.800000 62.381 -84.1980
1.825000 62.655 -85.5910
1.850000 62.926 -86.9841
1.875000 63.191 -88.3754
1.900000 63.451 -89.7607
1.925000 63.704 -91.1365
1.950000 63.951 -92.4997
1.975000 64.194 -93.8482
2.000000 64.432 -95.1806
2.030000 64.711 -96.7567
2.060000 64.985 -98.3076
2.090000 65.255 -99.8332
2.120000 65.519 -101.3347
2.140000 65.694 -102.3230
2.180000 66.039 -104.2722
2.200000 66.209 -105.2357
2.240000 66.543 -107.1497
2.270000 66.788 -108.5751
2.300000 67.027 -109.9889
2.330000 67.261 -111.3884
2.360000 67.491 -112.7714
2.400000 67.791 -114.5867
2.430000 68.012 -115.9254
2.470000 68.301 -117.6787
2.500000 68.516 -118.9697
2.540000 68.798 -120.6599
2.580000 69.076 -122.3195
2.620000 69.348 -123.9580
2.650000 69.548 -125.1747
2.690000 69.809 -126.7787
2.720000 70.002 -127.9669
2.760000 70.255 -129.5295
2.800000 70.503 -131.0659
2.850000 70.810 -132.9478
2.900000 71.112 -134.7856
2.950000 71.410 -136.5810
3.000000 71.703 -138.3403
3.040000 71.933 -139.7242
3.070000 72.104 -140.7491
3.110000 72.328 -142.0985
3.150000 72.550 -143.4290
3.200000 72.824 -145.0668
3.250000 73.096 -146.6772
3.300000 73.367 -148.2603
3.350000 73.634 -149.8133
3.400000 73.899 -151.3361
3.450000 74.161 -152.8329
3.500000 74.419 -154.3092
3.550000 74.676 -155.7697
3.600000 74.931 -157.2190
3.650000 75.184 -158.6594
3.700000 75.436 -160.0871
3.750000 75.686 -161.4957
3.820000 76.033 -163.4386
3.870000 76.278 -164.8120
3.950000 76.666 -166.9994
4.000000 76.905 -168.3673
4.060000 77.190 -170.0108
4.120000 77.471 -171.6477
4.180000 77.749 -173.2744
4.250000 78.069 -175.1620
4.310000 78.339 -176.7763
4.370000 78.603 -178.3927
4.440000 78.905 179.7134
4.500000 79.159 178.0854
4.550000 79.367 176.7301
4.620000 79.653 174.8405
4.680000 79.891 173.2305
4.750000 80.162 171.3617
4.820000 80.423 169.4918
4.870000 80.605 168.1522
4.940000 80.853 166.2804
5.000000 81.059 164.6898
5.080000 81.323 162.6010
5.150000 81.545 160.8012
5.220000 81.758 159.0095
5.300000 81.990 156.9725
5.380000 82.212 154.9697
5.450000 82.398 153.2617
5.520000 82.576 151.5961
5.600000 82.770 149.7236
5.700000 82.999 147.4285
5.800000 83.215 145.2151
5.900000 83.421 143.1031
6.000000 83.616 141.0696
6.080000 83.765 139.4940
6.150000 83.892 138.1579
6.220000 84.017 136.8663
6.300000 84.158 135.4434
6.400000 84.328 133.7321
6.500000 84.497 132.0835
6.600000 84.664 130.4911
6.700000 84.833 128.9559
6.800000 85.000 127.4691
6.900000 85.168 126.0108
7.000000 85.336 124.5690
7.100000 85.505 123.1459
7.200000 85.672 121.7362
7.300000 85.838 120.3268
7.400000 86.000 118.9096
7.500000 86.159 117.4873
7.620000 86.344 115.7800
7.750000 86.534 113.9266
7.880000 86.711 112.0640
8.000000 86.864 110.3586
8.120000 87.004 108.6790
8.250000 87.143 106.8812
8.380000 87.268 105.1307
8.500000 87.373 103.5742
8.620000 87.468 102.0679
8.750000 87.564 100.5024
8.850000 87.633 99.3534
9.000000 87.731 97.7120
9.120000 87.807 96.4600
9.250000 87.890 95.1625
9.380000 87.974 93.9182
9.500000 88.053 92.7972
9.620000 88.135 91.6930
9.750000 88.225 90.5111
9.880000 88.311 89.3267
10.000000 88.383 88.2213
10.150000 88.464 86.8254
10.300000 88.534 85.4114
10.440000 88.589 84.0734
10.600000 88.641 82.5441
10.750000 88.677 81.1232
10.900000 88.702 79.7265
11.060000 88.717 78.2946
11.200000 88.722 77.0967
11.380000 88.721 75.6504
11.500000 88.717 74.7520
11.720000 88.712 73.2281
11.800000 88.712 72.7114
12.060000 88.724 71.1354
12.200000 88.740 70.3233
12.410000 88.780 69.1176
12.500000 88.805 68.5911
12.650000 88.853 67.6940
12.800000 88.907 66.7651
13.150000 89.029 64.4582
13.200000 89.044 64.1168
13.400000 89.098 62.7334
13.600000 89.138 61.3539
13.800000 89.165 60.0094
14.000000 89.182 58.7324
14.300000 89.196 56.9775
14.500000 89.207 55.9195
14.750000 89.229 54.6932
15.000000 89.264 53.5294
15.250000 89.312 52.3692
15.500000 89.367 51.1719
15.750000 89.422 49.9224
16.000000 89.469 48.6333
16.250000 89.506 47.3420
16.500000 89.531 46.0891
16.750000 89.546 44.9106
17.000000 89.559 43.8198
17.250000 89.573 42.8053
17.500000 89.594 41.8373
17.750000 89.621 40.8767
18.000000 89.650 39.8968
18.250000 89.674 38.8899
18.500000 89.689 37.8752
18.750000 89.691 36.8895
19.000000 89.684 35.9727
19.250000 89.673 35.1538
19.500000 89.667 34.4305
19.750000 89.674 33.7711
20.000000 89.697 33.1175
20.299999 89.744 32.2525
20.600000 89.797 31.2322
20.900000 89.837 30.0516
21.200001 89.852 28.7787
21.400000 89.843 27.9343
21.799999 89.791 26.3964
22.000000 89.757 25.7444
22.400000 89.695 24.6785
22.700001 89.671 24.0109
23.000000 89.667 23.3586
23.299999 89.677 22.6554
23.600000 89.688 21.8845
24.000000 89.694 20.8054
24.299999 89.690 20.0197
24.700001 89.682 19.0590
25.000000 89.683 18.3940
25.400000 89.696 17.5208
25.799999 89.716 16.6037
26.200001 89.731 15.6389
26.500000 89.734 14.9149
26.900000 89.729 13.9973
27.200001 89.722 13.3606
27.600000 89.716 12.5708
28.000000 89.713 11.8152
28.500000 89.713 10.8704
29.000000 89.710 9.9064
29.500000 89.698 8.9408
30.000000 89.677 8.0073
30.400000 89.657 7.3008
30.700001 89.643 6.7929
31.100000 89.627 6.1267
31.500000 89.615 5.4447
32.000000 89.598 4.5488
32.500000 89.570 3.6467
33.000000 89.534 2.8214
33.500000 89.506 2.0950
34.000000 89.496 1.3834
34.500000 89.498 0.5845
35.000000 89.491 -0.3052
35.500000 89.467 -1.1893
36.000000 89.434 -1.9811
36.500000 89.406 -2.6854
37.000000 89.386 -3.3650
37.500000 89.367 -4.0582
38.200001 89.334 -5.0265
38.700001 89.307 -5.6960
39.500000 89.260 -6.7352
40.000000 89.227 -7.3461
40.599998 89.192 -8.0287
41.200001 89.169 -8.7227
41.799999 89.149 -9.5029
42.500000 89.108 -10.4720
43.099998 89.061 -11.2339
43.700001 89.017 -11.8950
44.400002 88.980 -12.6116
45.000000 88.959 -13.2509
45.500000 88.942 -13.8190
46.200001 88.911 -14.6434
46.799999 88.876 -15.3271
47.500000 88.830 -16.0562
48.200001 88.788 -16.7323
48.700001 88.758 -17.2032
49.400002 88.718 -17.8502
50.000000 88.683 -18.3961
50.799999 88.638 -19.1337
51.500000 88.593 -19.7761
52.200001 88.545 -20.3691
53.000000 88.498 -21.0062
53.799999 88.455 -21.6909
54.500000 88.408 -22.2979
55.200001 88.360 -22.8248
56.000000 88.323 -23.3976
57.000000 88.287 -24.3052
58.000000 88.219 -25.2850
59.000000 88.138 -26.0447
60.000000 88.081 -26.6533
60.799999 88.051 -27.1717
61.500000 88.025 -27.6741
62.200001 87.992 -28.1888
63.000000 87.945 -28.7549
64.000000 87.878 -29.4008
65.000000 87.809 -29.9943
66.000000 87.740 -30.6072
67.000000 87.666 -31.2338
68.000000 87.597 -31.8473
69.000000 87.535 -32.5193
70.000000 87.469 -33.2002
71.000000 87.405 -33.8209
72.000000 87.346 -34.3827
73.000000 87.295 -34.9036
74.000000 87.245 -35.4440
75.000000 87.190 -35.9540
76.199997 87.124 -36.5681
77.500000 87.044 -37.2185
78.800003 86.969 -37.8797
80.000000 86.896 -38.4798
81.199997 86.831 -39.0549
82.500000 86.757 -39.7028
83.800003 86.677 -40.2291
85.000000 86.622 -40.6023
86.199997 86.584 -41.0649
87.500000 86.528 -41.6497
88.500000 86.476 -42.0391
90.000000 86.398 -42.5800
91.199997 86.331 -43.0255
92.500000 86.255 -43.4814
93.800003 86.186 -43.9476
95.000000 86.128 -44.4247
96.199997 86.074 -44.9162
97.500000 86.019 -45.4602
98.800003 85.963 -45.9869
100.000000 85.911 -46.4426
101.500000 85.844 -46.9751
103.000000 85.776 -47.4907
104.400002 85.707 -47.9878
106.000000 85.625 -48.5094
107.500000 85.552 -48.9990
109.000000 85.477 -49.4703
110.599998 85.400 -49.9389
112.000000 85.338 -50.3536
113.800003 85.259 -50.8949
115.000000 85.205 -51.2527
117.199997 85.103 -51.8479
118.000000 85.066 -52.0557
120.599998 84.951 -52.6995
122.000000 84.896 -53.0770
124.099998 84.810 -53.6678
125.000000 84.772 -53.8966
126.500000 84.709 -54.2323
128.000000 84.650 -54.5480
131.500000 84.503 -55.3080
132.000000 84.482 -55.4133
134.000000 84.405 -55.8397
136.000000 84.334 -56.2816
138.000000 84.261 -56.7006
140.000000 84.186 -57.0891
143.000000 84.075 -57.6350
145.000000 84.004 -58.0172
147.500000 83.917 -58.4835
150.000000 83.831 -58.9366
152.500000 83.751 -59.3521
155.000000 83.673 -59.7595
157.500000 83.593 -60.1595
160.000000 83.506 -60.5527
162.500000 83.411 -60.9163
165.000000 83.314 -61.2695
167.500000 83.216 -61.6184
170.000000 83.120 -61.9575
172.500000 83.027 -62.2609
175.000000 82.936 -62.5616
177.500000 82.845 -62.8679
180.000000 82.758 -63.1667
182.500000 82.676 -63.4612
185.000000 82.594 -63.7635
187.500000 82.507 -64.0392
190.000000 82.417 -64.2872
192.500000 82.328 -64.5150
195.000000 82.242 -64.7350
197.500000 82.160 -64.9445
200.000000 82.083 -65.1057
203.000000 82.001 -65.2462
206.000000 81.923 -65.4104
209.000000 81.844 -65.5186
212.000000 81.772 -65.5137
214.000000 81.730 -65.4603
218.000000 81.675 -65.2889
220.000000 81.666 -65.2356
224.000000 81.674 -65.2968
227.000000 81.690 -65.5336
230.000000 81.702 -65.9253
233.000000 81.701 -66.4221
236.000000 81.680 -66.9651
240.000000 81.632 -67.6404
243.000000 81.589 -68.1215
247.000000 81.525 -68.7607
250.000000 81.474 -69.1998
254.000000 81.400 -69.6647
258.000000 81.316 -70.0396
262.000000 81.227 -70.4268
265.000000 81.165 -70.7041
269.000000 81.086 -71.0270
272.000000 81.029 -71.2619
276.000000 80.957 -71.5850
280.000000 80.892 -71.9066
285.000000 80.823 -72.2993
290.000000 80.756 -72.7231
295.000000 80.684 -73.0663
300.000000 80.614 -73.3248
304.000000 80.562 -73.6042
307.000000 80.524 -73.8325
311.000000 80.470 -74.1170
