* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 6:20:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 r R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.898 -64.8999
1.015000 44.235 -67.1311
1.030000 44.578 -69.2111
1.044000 44.904 -71.0582
1.060000 45.281 -73.0914
1.075000 45.638 -74.9434
1.090000 45.998 -76.7517
1.106000 46.392 -78.6050
1.120000 46.754 -80.1096
1.138000 47.252 -81.8668
1.150000 47.601 -82.9407
1.172000 48.276 -84.7438
1.180000 48.531 -85.3545
1.206000 49.390 -87.2076
1.220000 49.868 -88.1369
1.241000 50.601 -89.4618
1.250000 50.920 -90.0086
1.265000 51.455 -90.8974
1.280000 51.993 -91.7627
1.315000 53.249 -93.7165
1.320000 53.427 -93.9903
1.340000 54.132 -95.0769
1.360000 54.823 -96.1546
1.380000 55.493 -97.2289
1.400000 56.139 -98.3044
1.430000 57.047 -99.9281
1.450000 57.606 -101.0197
1.475000 58.252 -102.3758
1.500000 58.853 -103.6702
1.525000 59.421 -104.8901
1.550000 59.958 -106.0499
1.575000 60.468 -107.1651
1.600000 60.953 -108.2491
1.625000 61.417 -109.3129
1.650000 61.862 -110.3661
1.675000 62.291 -111.4169
1.700000 62.708 -112.4718
1.725000 63.116 -113.5365
1.750000 63.517 -114.6158
1.775000 63.914 -115.7136
1.800000 64.310 -116.8324
1.825000 64.707 -117.9706
1.850000 65.100 -119.1114
1.875000 65.485 -120.2316
1.900000 65.859 -121.3254
1.925000 66.223 -122.3949
1.950000 66.578 -123.4439
1.975000 66.923 -124.4759
2.000000 67.261 -125.4946
2.030000 67.657 -126.7043
2.060000 68.043 -127.9056
2.090000 68.421 -129.1041
2.120000 68.793 -130.3047
2.140000 69.037 -131.1086
2.180000 69.520 -132.7295
2.200000 69.759 -133.5450
2.240000 70.226 -135.1661
2.270000 70.567 -136.3621
2.300000 70.899 -137.5404
2.330000 71.224 -138.7027
2.360000 71.542 -139.8512
2.400000 71.955 -141.3659
2.430000 72.258 -142.4928
2.470000 72.654 -143.9888
2.500000 72.945 -145.1096
2.540000 73.327 -146.6076
2.580000 73.702 -148.1102
2.620000 74.067 -149.6074
2.650000 74.334 -150.7217
2.690000 74.681 -152.1939
2.720000 74.936 -153.2877
2.760000 75.268 -154.7330
2.800000 75.592 -156.1648
2.850000 75.988 -157.9398
2.900000 76.373 -159.7047
2.950000 76.748 -161.4662
3.000000 77.112 -163.2250
3.040000 77.395 -164.6254
3.070000 77.603 -165.6694
3.110000 77.873 -167.0513
3.150000 78.137 -168.4205
3.200000 78.459 -170.1136
3.250000 78.772 -171.7876
3.300000 79.077 -173.4479
3.350000 79.374 -175.1046
3.400000 79.661 -176.7593
3.450000 79.938 -178.4051
3.500000 80.208 179.9650
3.550000 80.469 178.3556
3.600000 80.723 176.7695
3.650000 80.971 175.2055
3.700000 81.211 173.6540
3.750000 81.444 172.1049
3.820000 81.757 169.9469
3.870000 81.972 168.4227
3.950000 82.303 166.0296
4.000000 82.503 164.5671
4.060000 82.734 162.8383
4.120000 82.957 161.1203
4.180000 83.171 159.4131
4.250000 83.411 157.4482
4.310000 83.608 155.7979
4.370000 83.799 154.1853
4.440000 84.013 152.3424
4.500000 84.189 150.7798
4.550000 84.331 149.4895
4.620000 84.521 147.7095
4.680000 84.679 146.2164
4.750000 84.857 144.5185
4.820000 85.028 142.8597
4.870000 85.146 141.6906
4.940000 85.305 140.0759
5.000000 85.436 138.7167
5.080000 85.606 136.9479
5.150000 85.750 135.4424
5.220000 85.889 133.9677
5.300000 86.042 132.3134
5.380000 86.189 130.6947
5.450000 86.315 129.3104
5.520000 86.438 127.9561
5.600000 86.574 126.4392
5.700000 86.739 124.5835
5.800000 86.898 122.7719
5.900000 87.053 121.0032
6.000000 87.204 119.2709
6.080000 87.320 117.9089
6.150000 87.420 116.7344
6.220000 87.518 115.5753
6.300000 87.627 114.2668
6.400000 87.760 112.6528
6.500000 87.888 111.0646
6.600000 88.011 109.5037
6.700000 88.130 107.9650
6.800000 88.245 106.4470
6.900000 88.354 104.9554
7.000000 88.460 103.4919
7.100000 88.560 102.0515
7.200000 88.657 100.6353
7.300000 88.750 99.2491
7.400000 88.839 97.8930
7.500000 88.924 96.5633
7.620000 89.023 95.0039
7.750000 89.125 93.3631
7.880000 89.224 91.7684
8.000000 89.313 90.3332
8.120000 89.400 88.9318
8.250000 89.493 87.4489
8.380000 89.583 85.9959
8.500000 89.665 84.6765
8.620000 89.746 83.3764
8.750000 89.832 81.9864
8.850000 89.895 80.9272
9.000000 89.987 79.3537
9.120000 90.057 78.1110
9.250000 90.129 76.7804
9.380000 90.196 75.4666
9.500000 90.253 74.2760
9.620000 90.307 73.1094
9.750000 90.359 71.8726
9.880000 90.402 70.6722
10.000000 90.432 69.5999
10.150000 90.459 68.3062
10.300000 90.479 67.0680
10.440000 90.494 65.9624
10.600000 90.510 64.7486
10.750000 90.526 63.6536
10.900000 90.545 62.5916
11.060000 90.567 61.4791
11.200000 90.588 60.5179
11.380000 90.616 59.2857
11.500000 90.634 58.4612
11.720000 90.663 56.9463
11.800000 90.671 56.3943
12.060000 90.687 54.6116
12.200000 90.687 53.6729
12.410000 90.681 52.3112
12.500000 90.678 51.7534
12.650000 90.673 50.8621
12.800000 90.669 50.0247
13.150000 90.661 48.2969
13.200000 90.661 48.0733
13.400000 90.666 47.2280
13.600000 90.683 46.4313
13.800000 90.711 45.6520
14.000000 90.750 44.8513
14.300000 90.821 43.5573
14.500000 90.869 42.6106
14.750000 90.922 41.3403
15.000000 90.960 40.0008
15.250000 90.978 38.6415
15.500000 90.978 37.3138
15.750000 90.963 36.0583
16.000000 90.941 34.9007
16.250000 90.920 33.8415
16.500000 90.903 32.8636
16.750000 90.894 31.9368
17.000000 90.892 31.0275
17.250000 90.896 30.1109
17.500000 90.900 29.1740
17.750000 90.901 28.2201
18.000000 90.897 27.2648
18.250000 90.885 26.3305
18.500000 90.868 25.4408
18.750000 90.848 24.6122
19.000000 90.829 23.8514
19.250000 90.815 23.1518
19.500000 90.809 22.4946
19.750000 90.811 21.8545
20.000000 90.823 21.2032
20.299999 90.843 20.3764
20.600000 90.865 19.4839
20.900000 90.880 18.5342
21.200001 90.881 17.5609
21.400000 90.874 16.9224
21.799999 90.844 15.7314
22.000000 90.823 15.1990
22.400000 90.783 14.2729
22.700001 90.763 13.6735
23.000000 90.753 13.1089
23.299999 90.754 12.5322
23.600000 90.761 11.9098
24.000000 90.768 10.9965
24.299999 90.764 10.2731
24.700001 90.744 9.3199
25.000000 90.722 8.6495
25.400000 90.690 7.8315
25.799999 90.664 7.0711
26.200001 90.645 6.3153
26.500000 90.632 5.7316
26.900000 90.610 4.9366
27.200001 90.590 4.3468
27.600000 90.559 3.5948
28.000000 90.530 2.8862
28.500000 90.499 2.0275
29.000000 90.472 1.1592
29.500000 90.442 0.2871
30.000000 90.409 -0.5610
30.400000 90.384 -1.2225
30.700001 90.364 -1.7162
31.100000 90.337 -2.3723
31.500000 90.307 -3.0122
32.000000 90.266 -3.7624
32.500000 90.230 -4.4667
33.000000 90.201 -5.1761
33.500000 90.168 -5.9075
34.000000 90.128 -6.6085
34.500000 90.090 -7.2394
35.000000 90.065 -7.8564
35.500000 90.047 -8.5536
36.000000 90.017 -9.3290
36.500000 89.966 -10.0629
37.000000 89.908 -10.6536
37.500000 89.866 -11.1351
38.200001 89.832 -11.8547
38.700001 89.805 -12.4615
39.500000 89.734 -13.3973
40.000000 89.685 -13.8699
40.599998 89.638 -14.3655
41.200001 89.604 -14.8917
41.799999 89.570 -15.5121
42.500000 89.514 -16.2971
43.099998 89.455 -16.9194
43.700001 89.400 -17.4861
44.400002 89.344 -18.1721
45.000000 89.294 -18.7878
45.500000 89.250 -19.2732
46.200001 89.197 -19.9094
46.799999 89.159 -20.4700
47.500000 89.109 -21.1045
48.200001 89.065 -21.6344
48.700001 89.048 -22.0095
49.400002 89.031 -22.6775
50.000000 88.996 -23.3761
50.799999 88.901 -24.2449
51.500000 88.792 -24.7667
52.200001 88.688 -25.0484
53.000000 88.600 -25.2272
53.799999 88.546 -25.4854
54.500000 88.507 -25.8510
55.200001 88.465 -26.2843
56.000000 88.420 -26.8130
57.000000 88.366 -27.5405
58.000000 88.308 -28.2811
59.000000 88.252 -28.9767
60.000000 88.197 -29.6859
60.799999 88.142 -30.2657
61.500000 88.085 -30.7101
62.200001 88.030 -31.0780
63.000000 87.977 -31.4910
64.000000 87.907 -32.0362
65.000000 87.836 -32.4711
66.000000 87.787 -32.8860
67.000000 87.738 -33.4553
68.000000 87.657 -34.0200
69.000000 87.571 -34.3203
70.000000 87.523 -34.5903
71.000000 87.483 -35.1251
72.000000 87.415 -35.7600
73.000000 87.334 -36.2892
74.000000 87.258 -36.7675
75.000000 87.180 -37.1912
76.199997 87.097 -37.5941
77.500000 87.010 -38.0894
78.800003 86.906 -38.5120
80.000000 86.823 -38.7817
81.199997 86.759 -39.1850
82.500000 86.675 -39.6620
83.800003 86.595 -40.0875
85.000000 86.510 -40.4016
86.199997 86.439 -40.6273
87.500000 86.363 -41.0657
88.500000 86.287 -41.4608
90.000000 86.165 -41.9860
91.199997 86.080 -42.3360
92.500000 86.007 -42.6470
93.800003 85.951 -42.9220
95.000000 85.902 -43.1667
96.199997 85.845 -43.4075
97.500000 85.775 -43.6876
98.800003 85.698 -44.0127
100.000000 85.628 -44.3442
101.500000 85.546 -44.7815
103.000000 85.472 -45.1749
104.400002 85.406 -45.4832
106.000000 85.326 -45.7797
107.500000 85.245 -46.0434
109.000000 85.160 -46.3244
110.599998 85.070 -46.6442
112.000000 84.997 -46.9012
113.800003 84.908 -47.2323
115.000000 84.847 -47.4285
117.199997 84.736 -47.7263
118.000000 84.699 -47.8258
120.599998 84.575 -48.2563
122.000000 84.503 -48.4567
124.099998 84.383 -48.6759
125.000000 84.333 -48.6986
126.500000 84.263 -48.7462
128.000000 84.199 -48.8707
131.500000 84.059 -49.3508
132.000000 84.035 -49.4319
134.000000 83.930 -49.5809
136.000000 83.839 -49.4818
138.000000 83.785 -49.3775
140.000000 83.755 -49.5303
143.000000 83.714 -49.9344
145.000000 83.680 -50.1843
147.500000 83.611 -50.4314
150.000000 83.532 -50.6519
152.500000 83.461 -50.9855
155.000000 83.383 -51.3529
157.500000 83.295 -51.5862
160.000000 83.212 -51.7596
162.500000 83.123 -51.9412
165.000000 83.025 -52.0861
167.500000 82.925 -52.2380
170.000000 82.830 -52.3825
172.500000 82.745 -52.5168
175.000000 82.659 -52.6456
177.500000 82.574 -52.7790
180.000000 82.494 -52.9189
182.500000 82.415 -53.0756
185.000000 82.332 -53.1686
187.500000 82.251 -53.2095
190.000000 82.173 -53.2480
192.500000 82.100 -53.3376
195.000000 82.025 -53.4739
197.500000 81.953 -53.5507
200.000000 81.896 -53.5767
203.000000 81.837 -53.6519
206.000000 81.767 -53.7693
209.000000 81.689 -53.8816
212.000000 81.618 -53.9990
214.000000 81.574 -54.0687
218.000000 81.487 -54.1590
220.000000 81.444 -54.1907
224.000000 81.363 -54.2799
227.000000 81.305 -54.3472
230.000000 81.248 -54.4026
233.000000 81.194 -54.4158
236.000000 81.143 -54.4393
240.000000 81.069 -54.5360
243.000000 81.014 -54.5831
247.000000 80.949 -54.5920
250.000000 80.903 -54.6012
254.000000 80.840 -54.6329
258.000000 80.778 -54.6817
262.000000 80.712 -54.7287
265.000000 80.662 -54.7651
269.000000 80.600 -54.7871
272.000000 80.556 -54.7994
276.000000 80.500 -54.8401
280.000000 80.445 -54.9070
285.000000 80.375 -54.9628
290.000000 80.307 -54.9886
295.000000 80.241 -55.0270
300.000000 80.177 -55.0686
304.000000 80.128 -55.0957
307.000000 80.091 -55.1068
311.000000 80.041 -55.1053
