* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 6:14:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 s L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.857 -96.4973
1.015000 50.964 -96.9123
1.030000 51.071 -97.3041
1.044000 51.172 -97.6486
1.060000 51.287 -98.0167
1.075000 51.397 -98.3366
1.090000 51.508 -98.6320
1.106000 51.627 -98.9212
1.120000 51.730 -99.1549
1.138000 51.861 -99.4323
1.150000 51.947 -99.6041
1.172000 52.104 -99.8944
1.180000 52.160 -99.9927
1.206000 52.342 -100.2879
1.220000 52.440 -100.4329
1.241000 52.586 -100.6339
1.250000 52.648 -100.7145
1.265000 52.753 -100.8421
1.280000 52.858 -100.9619
1.315000 53.105 -101.2146
1.320000 53.141 -101.2480
1.340000 53.285 -101.3755
1.360000 53.432 -101.4943
1.380000 53.582 -101.6057
1.400000 53.735 -101.7106
1.430000 53.973 -101.8580
1.450000 54.137 -101.9499
1.475000 54.348 -102.0477
1.500000 54.564 -102.1026
1.525000 54.786 -102.1120
1.550000 55.012 -102.0882
1.575000 55.242 -102.0441
1.600000 55.476 -101.9914
1.625000 55.714 -101.9410
1.650000 55.955 -101.9024
1.675000 56.200 -101.8845
1.700000 56.449 -101.8949
1.725000 56.701 -101.9402
1.750000 56.955 -102.0260
1.775000 57.213 -102.1571
1.800000 57.473 -102.3360
1.825000 57.736 -102.5581
1.850000 58.003 -102.7944
1.875000 58.275 -103.0103
1.900000 58.553 -103.2040
1.925000 58.835 -103.3874
1.950000 59.121 -103.5731
1.975000 59.410 -103.7719
2.000000 59.701 -103.9936
2.030000 60.053 -104.3014
2.060000 60.406 -104.6660
2.090000 60.760 -105.0970
2.120000 61.112 -105.6022
2.140000 61.345 -105.9829
2.180000 61.808 -106.8502
2.200000 62.038 -107.3264
2.240000 62.495 -108.2932
2.270000 62.840 -109.0037
2.300000 63.184 -109.7087
2.330000 63.529 -110.4195
2.360000 63.873 -111.1467
2.400000 64.329 -112.1579
2.430000 64.668 -112.9576
2.470000 65.116 -114.0916
2.500000 65.448 -114.9999
2.540000 65.883 -116.2934
2.580000 66.311 -117.6623
2.620000 66.733 -119.0482
2.650000 67.046 -120.0826
2.690000 67.458 -121.4583
2.720000 67.764 -122.4928
2.760000 68.166 -123.8840
2.800000 68.563 -125.2980
2.850000 69.049 -127.1127
2.900000 69.524 -128.9951
2.950000 69.988 -130.9436
3.000000 70.441 -132.9171
3.040000 70.796 -134.4949
3.070000 71.058 -135.6755
3.110000 71.401 -137.2463
3.150000 71.738 -138.8154
3.200000 72.150 -140.7798
3.250000 72.552 -142.7563
3.300000 72.944 -144.7544
3.350000 73.325 -146.7741
3.400000 73.697 -148.8014
3.450000 74.058 -150.8218
3.500000 74.409 -152.8267
3.550000 74.751 -154.8119
3.600000 75.084 -156.7778
3.650000 75.408 -158.7301
3.700000 75.722 -160.6825
3.750000 76.028 -162.6424
3.820000 76.439 -165.3787
3.870000 76.723 -167.3102
3.950000 77.160 -170.3364
4.000000 77.422 -172.1830
4.060000 77.728 -174.3683
4.120000 78.021 -176.5469
4.180000 78.302 -178.7137
4.250000 78.617 178.7996
4.310000 78.876 176.7230
4.370000 79.127 174.7066
4.440000 79.407 172.4128
4.500000 79.637 170.4696
4.550000 79.821 168.8678
4.620000 80.069 166.6688
4.680000 80.273 164.8394
4.750000 80.504 162.7811
4.820000 80.725 160.7893
4.870000 80.877 159.3925
4.940000 81.081 157.4741
5.000000 81.250 155.8726
5.080000 81.468 153.8129
5.150000 81.652 152.0853
5.220000 81.831 150.4125
5.300000 82.027 148.5563
5.380000 82.216 146.7622
5.450000 82.377 145.2479
5.520000 82.535 143.7860
5.600000 82.712 142.1708
5.700000 82.925 140.2242
5.800000 83.132 138.3539
5.900000 83.335 136.5565
6.000000 83.532 134.8237
6.080000 83.685 133.4799
6.150000 83.817 132.3336
6.220000 83.947 131.2133
6.300000 84.091 129.9612
6.400000 84.267 128.4359
6.500000 84.438 126.9562
6.600000 84.604 125.5236
6.700000 84.764 124.1328
6.800000 84.918 122.7811
6.900000 85.069 121.4726
7.000000 85.215 120.2097
7.100000 85.357 118.9885
7.200000 85.496 117.8049
7.300000 85.632 116.6580
7.400000 85.768 115.5486
7.500000 85.901 114.4735
7.620000 86.061 113.2142
7.750000 86.235 111.8761
7.880000 86.409 110.5639
8.000000 86.570 109.3557
8.120000 86.731 108.1334
8.250000 86.905 106.7942
8.380000 87.075 105.4291
8.500000 87.226 104.1333
8.620000 87.373 102.8055
8.750000 87.523 101.3405
8.850000 87.630 100.1946
9.000000 87.777 98.4459
9.120000 87.883 97.0452
9.250000 87.983 95.5378
9.380000 88.068 94.0427
9.500000 88.136 92.6986
9.620000 88.194 91.4013
9.750000 88.245 90.0469
9.880000 88.284 88.7617
10.000000 88.308 87.6457
10.150000 88.328 86.3374
10.300000 88.344 85.1208
10.440000 88.359 84.0653
10.600000 88.381 82.9232
10.750000 88.411 81.8937
10.900000 88.450 80.8869
11.060000 88.500 79.8014
11.200000 88.550 78.8331
11.380000 88.617 77.5451
11.500000 88.662 76.6527
11.720000 88.740 74.9601
11.800000 88.765 74.3288
12.060000 88.835 72.2457
12.200000 88.863 71.1263
12.410000 88.895 69.4735
12.500000 88.909 68.7845
12.650000 88.931 67.6661
12.800000 88.953 66.5895
13.150000 89.001 64.2526
13.200000 89.008 63.9365
13.400000 89.039 62.7108
13.600000 89.072 61.5302
13.800000 89.109 60.3794
14.000000 89.148 59.2442
14.300000 89.207 57.5568
14.500000 89.243 56.4410
14.750000 89.284 55.0663
15.000000 89.317 53.7266
15.250000 89.345 52.4370
15.500000 89.368 51.2052
15.750000 89.390 50.0323
16.000000 89.413 48.9114
16.250000 89.439 47.8293
16.500000 89.468 46.7712
16.750000 89.499 45.7227
17.000000 89.529 44.6733
17.250000 89.557 43.6194
17.500000 89.580 42.5633
17.750000 89.598 41.5133
18.000000 89.611 40.4805
18.250000 89.618 39.4755
18.500000 89.622 38.5060
18.750000 89.625 37.5740
19.000000 89.627 36.6772
19.250000 89.631 35.8087
19.500000 89.637 34.9616
19.750000 89.644 34.1305
20.000000 89.652 33.3133
20.299999 89.662 32.3529
20.600000 89.673 31.4189
20.900000 89.686 30.5139
21.200001 89.702 29.6355
21.400000 89.715 29.0608
21.799999 89.745 27.9249
22.000000 89.763 27.3580
22.400000 89.799 26.2142
22.700001 89.826 25.3414
23.000000 89.851 24.4514
23.299999 89.871 23.5449
23.600000 89.883 22.6305
24.000000 89.882 21.4337
24.299999 89.869 20.5894
24.700001 89.839 19.5838
25.000000 89.815 18.9301
25.400000 89.792 18.1585
25.799999 89.783 17.4222
26.200001 89.781 16.6462
26.500000 89.777 16.0282
26.900000 89.763 15.1899
27.200001 89.746 14.5819
27.600000 89.722 13.8190
28.000000 89.703 13.0883
28.500000 89.687 12.1566
29.000000 89.667 11.1957
29.500000 89.643 10.2752
30.000000 89.629 9.4138
30.400000 89.632 8.7012
30.700001 89.638 8.1127
31.100000 89.641 7.2550
31.500000 89.627 6.3750
32.000000 89.592 5.3846
32.500000 89.561 4.5779
33.000000 89.556 3.8398
33.500000 89.565 3.0084
34.000000 89.563 2.0684
34.500000 89.536 1.1542
35.000000 89.497 0.3917
35.500000 89.467 -0.2292
36.000000 89.455 -0.8208
36.500000 89.451 -1.4729
37.000000 89.440 -2.1829
37.500000 89.420 -2.8931
38.200001 89.385 -3.8337
38.700001 89.361 -4.5043
39.500000 89.312 -5.6320
40.000000 89.267 -6.3146
40.599998 89.206 -7.0312
41.200001 89.156 -7.6563
41.799999 89.118 -8.2802
42.500000 89.080 -9.0613
43.099998 89.047 -9.7478
43.700001 89.015 -10.4373
44.400002 88.977 -11.2543
45.000000 88.942 -11.9383
45.500000 88.912 -12.4763
46.200001 88.877 -13.2028
46.799999 88.849 -13.8350
47.500000 88.812 -14.5740
48.200001 88.772 -15.2825
48.700001 88.743 -15.7736
49.400002 88.702 -16.4493
50.000000 88.666 -17.0122
50.799999 88.621 -17.7484
51.500000 88.583 -18.4020
52.200001 88.542 -19.0519
53.000000 88.495 -19.7649
53.799999 88.450 -20.4570
54.500000 88.411 -21.0462
55.200001 88.373 -21.6179
56.000000 88.328 -22.2668
57.000000 88.261 -23.0255
58.000000 88.200 -23.6869
59.000000 88.150 -24.4337
60.000000 88.082 -25.2540
60.799999 88.023 -25.8311
61.500000 87.981 -26.3094
62.200001 87.944 -26.8118
63.000000 87.900 -27.3815
64.000000 87.851 -28.0480
65.000000 87.799 -28.6879
66.000000 87.744 -29.2319
67.000000 87.693 -29.7949
68.000000 87.619 -30.3750
69.000000 87.539 -30.8446
70.000000 87.467 -31.3470
71.000000 87.393 -31.8818
72.000000 87.328 -32.4324
73.000000 87.266 -33.0381
74.000000 87.202 -33.5923
75.000000 87.149 -34.1030
76.199997 87.086 -34.7395
77.500000 87.005 -35.3738
78.800003 86.917 -35.9355
80.000000 86.838 -36.4180
81.199997 86.763 -36.9269
82.500000 86.680 -37.4520
83.800003 86.605 -37.8866
85.000000 86.547 -38.2240
86.199997 86.503 -38.5469
87.500000 86.459 -38.9469
88.500000 86.424 -39.2645
90.000000 86.377 -39.7872
91.199997 86.339 -40.2835
92.500000 86.292 -40.8635
93.800003 86.238 -41.4403
95.000000 86.186 -41.9414
96.199997 86.132 -42.4401
97.500000 86.069 -42.9626
98.800003 86.004 -43.4691
100.000000 85.942 -43.9039
101.500000 85.868 -44.4228
103.000000 85.801 -44.9476
104.400002 85.727 -45.4658
106.000000 85.644 -45.9836
107.500000 85.564 -46.4324
109.000000 85.495 -46.8522
110.599998 85.418 -47.3398
112.000000 85.345 -47.7194
113.800003 85.249 -48.1541
115.000000 85.186 -48.4131
117.199997 85.087 -48.9078
118.000000 85.055 -49.1152
120.599998 84.955 -49.8654
122.000000 84.895 -50.2380
124.099998 84.800 -50.7029
125.000000 84.758 -50.8694
126.500000 84.692 -51.1202
128.000000 84.631 -51.3801
131.500000 84.501 -52.0835
132.000000 84.483 -52.1879
134.000000 84.411 -52.5918
136.000000 84.339 -52.9731
138.000000 84.266 -53.3621
140.000000 84.191 -53.7612
143.000000 84.073 -54.3448
145.000000 83.993 -54.6932
147.500000 83.896 -55.0941
150.000000 83.801 -55.4865
152.500000 83.706 -55.8704
155.000000 83.611 -56.2285
157.500000 83.513 -56.5383
160.000000 83.409 -56.7812
162.500000 83.297 -56.9943
165.000000 83.178 -57.1669
167.500000 83.060 -57.2467
170.000000 82.951 -57.2064
172.500000 82.858 -57.0333
175.000000 82.795 -56.7723
177.500000 82.768 -56.5754
180.000000 82.771 -56.5295
182.500000 82.788 -56.7186
185.000000 82.790 -57.1262
187.500000 82.764 -57.6331
190.000000 82.715 -58.1528
192.500000 82.656 -58.6462
195.000000 82.593 -59.1205
197.500000 82.527 -59.5429
200.000000 82.463 -59.9122
203.000000 82.392 -60.3022
206.000000 82.332 -60.6671
209.000000 82.274 -61.0588
212.000000 82.215 -61.4393
214.000000 82.174 -61.6633
218.000000 82.085 -61.9940
220.000000 82.036 -62.1583
224.000000 81.939 -62.5815
227.000000 81.873 -62.8922
230.000000 81.811 -63.1416
233.000000 81.746 -63.3853
236.000000 81.687 -63.6257
240.000000 81.622 -63.9832
243.000000 81.571 -64.2518
247.000000 81.497 -64.5405
250.000000 81.444 -64.7241
254.000000 81.375 -65.0079
258.000000 81.301 -65.3369
262.000000 81.224 -65.6019
265.000000 81.162 -65.7394
269.000000 81.077 -65.9359
272.000000 81.017 -66.1216
276.000000 80.944 -66.3792
280.000000 80.875 -66.6006
285.000000 80.797 -66.8331
290.000000 80.725 -67.0977
295.000000 80.657 -67.3785
300.000000 80.588 -67.6134
304.000000 80.533 -67.7988
307.000000 80.493 -67.9488
311.000000 80.442 -68.1472
