* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 6:16:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 s R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.215 -37.0767
1.015000 48.821 -39.0807
1.030000 49.409 -41.0255
1.044000 49.937 -42.8014
1.060000 50.510 -44.7984
1.075000 51.013 -46.6497
1.090000 51.480 -48.4866
1.106000 51.944 -50.4190
1.120000 52.334 -52.0585
1.138000 52.826 -54.0758
1.150000 53.148 -55.3642
1.172000 53.727 -57.6158
1.180000 53.934 -58.4013
1.206000 54.594 -60.8432
1.220000 54.942 -62.0939
1.241000 55.455 -63.8961
1.250000 55.671 -64.6440
1.265000 56.026 -65.8611
1.280000 56.376 -67.0451
1.315000 57.173 -69.7003
1.320000 57.284 -70.0691
1.340000 57.725 -71.5234
1.360000 58.157 -72.9489
1.380000 58.582 -74.3518
1.400000 58.998 -75.7380
1.430000 59.610 -77.7973
1.450000 60.009 -79.1622
1.475000 60.497 -80.8501
1.500000 60.969 -82.4827
1.525000 61.424 -84.0486
1.550000 61.862 -85.5559
1.575000 62.285 -87.0150
1.600000 62.695 -88.4357
1.625000 63.093 -89.8270
1.650000 63.479 -91.1975
1.675000 63.857 -92.5548
1.700000 64.226 -93.9057
1.725000 64.588 -95.2565
1.750000 64.945 -96.6130
1.775000 65.297 -97.9801
1.800000 65.647 -99.3621
1.825000 65.994 -100.7598
1.850000 66.338 -102.1618
1.875000 66.675 -103.5498
1.900000 67.004 -104.9164
1.925000 67.325 -106.2608
1.950000 67.640 -107.5840
1.975000 67.948 -108.8873
2.000000 68.250 -110.1730
2.030000 68.606 -111.6957
2.060000 68.954 -113.2010
2.090000 69.296 -114.6938
2.120000 69.632 -116.1792
2.140000 69.854 -117.1678
2.180000 70.291 -119.1473
2.200000 70.507 -120.1388
2.240000 70.931 -122.1139
2.270000 71.240 -123.5791
2.300000 71.544 -125.0273
2.330000 71.841 -126.4577
2.360000 72.132 -127.8705
2.400000 72.511 -129.7288
2.430000 72.790 -131.1058
2.470000 73.155 -132.9238
2.500000 73.424 -134.2774
2.540000 73.776 -136.0744
2.580000 74.122 -137.8677
2.620000 74.460 -139.6558
2.650000 74.707 -140.9893
2.690000 75.030 -142.7524
2.720000 75.266 -144.0616
2.760000 75.576 -145.7879
2.800000 75.878 -147.4921
2.850000 76.247 -149.5930
2.900000 76.607 -151.6663
2.950000 76.958 -153.7225
3.000000 77.299 -155.7724
3.040000 77.564 -157.4044
3.070000 77.759 -158.6203
3.110000 78.013 -160.2271
3.150000 78.262 -161.8149
3.200000 78.565 -163.7703
3.250000 78.860 -165.6927
3.300000 79.149 -167.5877
3.350000 79.429 -169.4708
3.400000 79.701 -171.3479
3.450000 79.965 -173.2110
3.500000 80.221 -175.0517
3.550000 80.470 -176.8634
3.600000 80.713 -178.6421
3.650000 80.950 179.6121
3.700000 81.181 177.8875
3.750000 81.404 176.1715
3.820000 81.706 173.7886
3.870000 81.915 172.1102
3.950000 82.236 169.4832
4.000000 82.431 167.8832
4.060000 82.658 165.9982
4.120000 82.878 164.1325
4.180000 83.089 162.2845
4.250000 83.327 160.1630
4.310000 83.524 158.3844
4.370000 83.716 156.6484
4.440000 83.933 154.6683
4.500000 84.112 152.9943
4.550000 84.256 151.6149
4.620000 84.453 149.7147
4.680000 84.616 148.1212
4.750000 84.801 146.3083
4.820000 84.981 144.5372
4.870000 85.105 143.2900
4.940000 85.275 141.5687
5.000000 85.415 140.1199
5.080000 85.598 138.2324
5.150000 85.754 136.6229
5.220000 85.905 135.0440
5.300000 86.072 133.2714
5.380000 86.234 131.5355
5.450000 86.372 130.0491
5.520000 86.507 128.5925
5.600000 86.657 126.9574
5.700000 86.839 124.9536
5.800000 87.014 122.9967
5.900000 87.184 121.0859
6.000000 87.347 119.2119
6.080000 87.474 117.7381
6.150000 87.581 116.4690
6.220000 87.686 115.2190
6.300000 87.802 113.8101
6.400000 87.942 112.0741
6.500000 88.076 110.3708
6.600000 88.203 108.7050
6.700000 88.325 107.0699
6.800000 88.441 105.4632
6.900000 88.550 103.8931
7.000000 88.654 102.3630
7.100000 88.752 100.8660
7.200000 88.845 99.4034
7.300000 88.933 97.9828
7.400000 89.017 96.6052
7.500000 89.096 95.2654
7.620000 89.186 93.7091
7.750000 89.279 92.0923
7.880000 89.369 90.5424
8.000000 89.449 89.1643
8.120000 89.529 87.8350
8.250000 89.614 86.4466
8.380000 89.699 85.0992
8.500000 89.779 83.8839
8.620000 89.859 82.6941
8.750000 89.945 81.4228
8.850000 90.012 80.4510
9.000000 90.110 79.0021
9.120000 90.187 77.8477
9.250000 90.267 76.5966
9.380000 90.344 75.3463
9.500000 90.410 74.1986
9.620000 90.471 73.0580
9.750000 90.531 71.8323
9.880000 90.581 70.6293
10.000000 90.614 69.5432
10.150000 90.643 68.2208
10.300000 90.661 66.9516
10.440000 90.671 65.8180
10.600000 90.678 64.5812
10.750000 90.685 63.4810
10.900000 90.693 62.4301
11.060000 90.705 61.3500
11.200000 90.719 60.4336
11.380000 90.741 59.2711
11.500000 90.759 58.4979
11.720000 90.795 57.0684
11.800000 90.808 56.5396
12.060000 90.847 54.7890
12.200000 90.864 53.8275
12.410000 90.884 52.3729
12.500000 90.892 51.7517
12.650000 90.904 50.7231
12.800000 90.913 49.7149
13.150000 90.915 47.4898
13.200000 90.913 47.1901
13.400000 90.905 46.0408
13.600000 90.895 44.9688
13.800000 90.887 43.9689
14.000000 90.883 43.0250
14.300000 90.885 41.6806
14.500000 90.893 40.8071
14.750000 90.908 39.7192
15.000000 90.924 38.6232
15.250000 90.939 37.5158
15.500000 90.951 36.4033
15.750000 90.957 35.2969
16.000000 90.958 34.2114
16.250000 90.954 33.1621
16.500000 90.947 32.1619
16.750000 90.938 31.2206
17.000000 90.928 30.3410
17.250000 90.921 29.5176
17.500000 90.920 28.7372
17.750000 90.926 27.9794
18.000000 90.938 27.2225
18.250000 90.955 26.4470
18.500000 90.974 25.6403
18.750000 90.992 24.7996
19.000000 91.005 23.9305
19.250000 91.013 23.0464
19.500000 91.012 22.1638
19.750000 91.005 21.2992
20.000000 90.992 20.4675
20.299999 90.970 19.5278
20.600000 90.945 18.6613
20.900000 90.921 17.8679
21.200001 90.902 17.1361
21.400000 90.893 16.6713
21.799999 90.886 15.7580
22.000000 90.887 15.2921
22.400000 90.891 14.3135
22.700001 90.889 13.5397
23.000000 90.879 12.7549
23.299999 90.859 11.9932
23.600000 90.831 11.2873
24.000000 90.790 10.4623
24.299999 90.764 9.9218
24.700001 90.742 9.2547
25.000000 90.734 8.7542
25.400000 90.729 8.0471
25.799999 90.723 7.2893
26.200001 90.713 6.5013
26.500000 90.701 5.9050
26.900000 90.680 5.1133
27.200001 90.663 4.5239
27.600000 90.636 3.7456
28.000000 90.605 2.9786
28.500000 90.562 2.0417
29.000000 90.515 1.1382
29.500000 90.463 0.2942
30.000000 90.413 -0.4561
30.400000 90.382 -0.9945
30.700001 90.368 -1.3897
31.100000 90.361 -1.9558
31.500000 90.359 -2.6080
32.000000 90.344 -3.5272
32.500000 90.306 -4.4390
33.000000 90.254 -5.2148
33.500000 90.211 -5.8564
34.000000 90.183 -6.4794
34.500000 90.158 -7.1647
35.000000 90.120 -7.8679
35.500000 90.071 -8.4962
36.000000 90.026 -9.0341
36.500000 89.991 -9.5551
37.000000 89.958 -10.1125
37.500000 89.918 -10.6742
38.200001 89.862 -11.3848
38.700001 89.834 -11.8970
39.500000 89.787 -12.8818
40.000000 89.737 -13.5131
40.599998 89.669 -14.1254
41.200001 89.620 -14.6195
41.799999 89.592 -15.1699
42.500000 89.554 -15.9352
43.099998 89.508 -16.5781
43.700001 89.461 -17.1668
44.400002 89.408 -17.8286
45.000000 89.359 -18.3565
45.500000 89.323 -18.7611
46.200001 89.282 -19.3665
46.799999 89.242 -19.9744
47.500000 89.172 -20.6550
48.200001 89.097 -21.1693
48.700001 89.057 -21.4846
49.400002 89.012 -21.9672
50.000000 88.974 -22.4274
50.799999 88.923 -23.0658
51.500000 88.873 -23.6437
52.200001 88.813 -24.1823
53.000000 88.747 -24.6908
53.799999 88.694 -25.1874
54.500000 88.646 -25.6681
55.200001 88.590 -26.1316
56.000000 88.527 -26.6116
57.000000 88.453 -27.2189
58.000000 88.374 -27.8127
59.000000 88.302 -28.3572
60.000000 88.239 -28.9749
60.799999 88.178 -29.5094
61.500000 88.118 -29.9297
62.200001 88.059 -30.2869
63.000000 87.999 -30.6608
64.000000 87.929 -31.1302
65.000000 87.860 -31.5813
66.000000 87.794 -32.0244
67.000000 87.730 -32.4561
68.000000 87.671 -32.9087
69.000000 87.608 -33.4445
70.000000 87.529 -33.9634
71.000000 87.447 -34.3927
72.000000 87.373 -34.7716
73.000000 87.308 -35.1847
74.000000 87.238 -35.6375
75.000000 87.161 -36.0210
76.199997 87.081 -36.3911
77.500000 87.009 -36.8033
78.800003 86.937 -37.2722
80.000000 86.861 -37.7141
81.199997 86.779 -38.1107
82.500000 86.690 -38.5140
83.800003 86.601 -38.9182
85.000000 86.519 -39.3005
86.199997 86.438 -39.6782
87.500000 86.352 -40.0608
88.500000 86.288 -40.3362
90.000000 86.193 -40.7214
91.199997 86.120 -41.0051
92.500000 86.041 -41.3289
93.800003 85.959 -41.6373
95.000000 85.885 -41.9111
96.199997 85.813 -42.1839
97.500000 85.735 -42.4739
98.800003 85.655 -42.7337
100.000000 85.583 -42.9399
101.500000 85.496 -43.1768
103.000000 85.411 -43.4001
104.400002 85.332 -43.6017
106.000000 85.247 -43.8267
107.500000 85.165 -44.0645
109.000000 85.078 -44.2773
110.599998 84.988 -44.4365
112.000000 84.917 -44.5493
113.800003 84.824 -44.6847
115.000000 84.761 -44.6982
117.199997 84.669 -44.6363
118.000000 84.642 -44.6522
120.599998 84.568 -44.8983
122.000000 84.532 -45.1461
124.099998 84.478 -45.5466
125.000000 84.454 -45.7163
126.500000 84.410 -45.9810
128.000000 84.359 -46.2119
131.500000 84.221 -46.6971
132.000000 84.200 -46.7668
134.000000 84.119 -47.0388
136.000000 84.039 -47.2917
138.000000 83.957 -47.5074
140.000000 83.876 -47.7012
143.000000 83.759 -47.9923
145.000000 83.682 -48.1565
147.500000 83.587 -48.3127
150.000000 83.495 -48.4490
152.500000 83.405 -48.5941
155.000000 83.316 -48.7329
157.500000 83.229 -48.8505
160.000000 83.138 -48.9644
162.500000 83.041 -49.0616
165.000000 82.947 -49.1310
167.500000 82.857 -49.1884
170.000000 82.765 -49.2471
172.500000 82.670 -49.2933
175.000000 82.577 -49.3572
177.500000 82.483 -49.4150
180.000000 82.392 -49.4435
182.500000 82.306 -49.4747
185.000000 82.221 -49.4929
187.500000 82.134 -49.4881
190.000000 82.046 -49.4618
192.500000 81.962 -49.4307
195.000000 81.882 -49.3890
197.500000 81.804 -49.3326
200.000000 81.731 -49.2423
203.000000 81.654 -49.1050
206.000000 81.585 -48.9606
209.000000 81.522 -48.7981
212.000000 81.467 -48.6257
214.000000 81.433 -48.5115
218.000000 81.377 -48.2809
220.000000 81.357 -48.1640
224.000000 81.324 -47.9844
227.000000 81.305 -47.9698
230.000000 81.285 -48.0657
233.000000 81.258 -48.2004
236.000000 81.220 -48.3361
240.000000 81.157 -48.4961
243.000000 81.106 -48.6077
247.000000 81.035 -48.7167
250.000000 80.978 -48.7528
254.000000 80.900 -48.7538
258.000000 80.823 -48.7246
262.000000 80.748 -48.6923
265.000000 80.695 -48.6681
269.000000 80.629 -48.6322
272.000000 80.581 -48.5954
276.000000 80.519 -48.5329
280.000000 80.458 -48.4647
285.000000 80.388 -48.3732
290.000000 80.326 -48.2893
295.000000 80.265 -48.2506
300.000000 80.197 -48.1104
304.000000 80.135 -47.9735
307.000000 80.089 -47.9055
311.000000 80.033 -47.8165
