* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 5:57:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 w L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 47.488 6.0218
1.015000 47.682 4.8662
1.030000 47.877 3.6692
1.044000 48.060 2.5123
1.060000 48.270 1.1407
1.075000 48.468 -0.1953
1.090000 48.667 -1.5799
1.106000 48.881 -3.0996
1.120000 49.069 -4.4431
1.138000 49.312 -6.1692
1.150000 49.475 -7.3153
1.172000 49.775 -9.4021
1.180000 49.884 -10.1556
1.206000 50.241 -12.5823
1.220000 50.434 -13.8746
1.241000 50.724 -15.7943
1.250000 50.848 -16.6106
1.265000 51.056 -17.9630
1.280000 51.265 -19.3064
1.315000 51.752 -22.4129
1.320000 51.822 -22.8543
1.340000 52.101 -24.6162
1.360000 52.380 -26.3751
1.380000 52.659 -28.1350
1.400000 52.938 -29.8999
1.430000 53.356 -32.5651
1.450000 53.635 -34.3575
1.475000 53.983 -36.6033
1.500000 54.332 -38.8100
1.525000 54.684 -40.9545
1.550000 55.037 -43.0371
1.575000 55.391 -45.0630
1.600000 55.746 -47.0392
1.625000 56.101 -48.9735
1.650000 56.455 -50.8744
1.675000 56.808 -52.7504
1.700000 57.159 -54.6102
1.725000 57.507 -56.4618
1.750000 57.853 -58.3133
1.775000 58.195 -60.1719
1.800000 58.533 -62.0441
1.825000 58.866 -63.9323
1.850000 59.196 -65.8240
1.875000 59.523 -67.6958
1.900000 59.849 -69.5355
1.925000 60.172 -71.3392
1.950000 60.493 -73.1059
1.975000 60.811 -74.8364
2.000000 61.127 -76.5323
2.030000 61.502 -78.5260
2.060000 61.872 -80.4802
2.090000 62.237 -82.4020
2.120000 62.597 -84.2989
2.140000 62.834 -85.5536
2.180000 63.300 -88.0491
2.200000 63.529 -89.2922
2.240000 63.979 -91.7594
2.270000 64.311 -93.5817
2.300000 64.637 -95.3738
2.330000 64.959 -97.1331
2.360000 65.275 -98.8591
2.400000 65.689 -101.1097
2.430000 65.994 -102.7623
2.470000 66.393 -104.9238
2.500000 66.687 -106.5182
2.540000 67.071 -108.6163
2.580000 67.447 -110.6922
2.620000 67.815 -112.7503
2.650000 68.084 -114.2782
2.690000 68.436 -116.2877
2.720000 68.694 -117.7707
2.760000 69.031 -119.7129
2.800000 69.361 -121.6135
2.850000 69.763 -123.9318
2.900000 70.156 -126.1908
2.950000 70.539 -128.4040
3.000000 70.910 -130.5900
3.040000 71.198 -132.3180
3.070000 71.410 -133.5985
3.110000 71.686 -135.2811
3.150000 71.957 -136.9325
3.200000 72.287 -138.9494
3.250000 72.610 -140.9120
3.300000 72.926 -142.8246
3.350000 73.234 -144.7021
3.400000 73.533 -146.5534
3.450000 73.824 -148.3748
3.500000 74.107 -150.1610
3.550000 74.384 -151.9082
3.600000 74.656 -153.6134
3.650000 74.923 -155.2763
3.700000 75.185 -156.9029
3.750000 75.441 -158.5013
3.820000 75.789 -160.6950
3.870000 76.032 -162.2296
3.950000 76.412 -164.6272
4.000000 76.646 -166.0893
4.060000 76.922 -167.8088
4.120000 77.192 -169.4943
4.180000 77.458 -171.1495
4.250000 77.761 -173.0462
4.310000 78.016 -174.6458
4.370000 78.267 -176.2244
4.440000 78.556 -178.0414
4.500000 78.800 -179.5775
4.550000 79.000 179.1566
4.620000 79.275 177.4034
4.680000 79.507 175.9150
4.750000 79.772 174.1907
4.820000 80.031 172.4755
4.870000 80.214 171.2563
4.940000 80.464 169.5599
5.000000 80.675 168.1169
5.080000 80.948 166.2083
5.150000 81.179 164.5480
5.220000 81.405 162.8895
5.300000 81.655 160.9999
5.380000 81.897 159.1280
5.450000 82.101 157.5108
5.520000 82.298 155.9101
5.600000 82.514 154.0877
5.700000 82.773 151.8270
5.800000 83.017 149.6126
5.900000 83.249 147.4547
6.000000 83.467 145.3301
6.080000 83.633 143.6581
6.150000 83.772 142.2267
6.220000 83.906 140.8307
6.300000 84.053 139.2726
6.400000 84.228 137.3680
6.500000 84.394 135.5183
6.600000 84.555 133.7354
6.700000 84.709 132.0153
6.800000 84.858 130.3475
6.900000 85.003 128.7293
7.000000 85.145 127.1612
7.100000 85.286 125.6398
7.200000 85.423 124.1566
7.300000 85.559 122.7029
7.400000 85.694 121.2749
7.500000 85.827 119.8712
7.620000 85.985 118.2107
7.750000 86.151 116.4290
7.880000 86.313 114.6617
8.000000 86.457 113.0455
8.120000 86.594 111.4408
8.250000 86.736 109.7119
8.380000 86.869 108.0057
8.500000 86.983 106.4562
8.620000 87.089 104.9277
8.750000 87.196 103.3091
8.850000 87.273 102.0966
9.000000 87.379 100.3264
9.120000 87.458 98.9579
9.250000 87.539 97.5294
9.380000 87.614 96.1522
9.500000 87.682 94.9246
9.620000 87.749 93.7387
9.750000 87.818 92.4966
9.880000 87.882 91.2913
10.000000 87.935 90.2079
10.150000 87.993 88.8889
10.300000 88.046 87.6004
10.440000 88.092 86.4215
10.600000 88.142 85.1003
10.750000 88.187 83.8845
10.900000 88.231 82.6903
11.060000 88.276 81.4415
11.200000 88.315 80.3691
11.380000 88.363 79.0157
11.500000 88.395 78.1284
11.720000 88.452 76.5236
11.800000 88.473 75.9448
12.060000 88.539 74.0731
12.200000 88.572 73.0657
12.410000 88.621 71.5559
12.500000 88.642 70.9109
12.650000 88.679 69.8404
12.800000 88.713 68.7857
13.150000 88.773 66.4328
13.200000 88.780 66.1147
13.400000 88.803 64.8965
13.600000 88.825 63.7707
13.800000 88.850 62.7366
14.000000 88.884 61.7708
14.300000 88.956 60.3845
14.500000 89.019 59.4429
14.750000 89.108 58.1876
15.000000 89.196 56.8155
15.250000 89.271 55.3327
15.500000 89.323 53.7921
15.750000 89.348 52.2646
16.000000 89.347 50.8326
16.250000 89.331 49.5593
16.500000 89.309 48.4727
16.750000 89.294 47.5637
17.000000 89.296 46.7809
17.250000 89.316 46.0577
17.500000 89.355 45.3259
17.750000 89.404 44.5388
18.000000 89.456 43.6802
18.250000 89.503 42.7585
18.500000 89.541 41.8001
18.750000 89.570 40.8343
19.000000 89.589 39.8851
19.250000 89.603 38.9665
19.500000 89.612 38.0816
19.750000 89.618 37.2279
20.000000 89.623 36.4010
20.299999 89.627 35.4398
20.600000 89.629 34.5103
20.900000 89.630 33.6102
21.200001 89.630 32.7339
21.400000 89.630 32.1592
21.799999 89.629 31.0262
22.000000 89.627 30.4694
22.400000 89.619 29.3919
22.700001 89.611 28.6317
23.000000 89.605 27.9185
23.299999 89.604 27.2408
23.600000 89.611 26.5730
24.000000 89.629 25.6503
24.299999 89.643 24.9171
24.700001 89.655 23.9041
25.000000 89.656 23.1516
25.400000 89.651 22.2014
25.799999 89.648 21.3143
26.200001 89.650 20.4471
26.500000 89.652 19.7819
26.900000 89.649 18.8751
27.200001 89.638 18.2078
27.600000 89.614 17.3875
28.000000 89.591 16.6688
28.500000 89.578 15.8458
29.000000 89.580 14.9684
29.500000 89.575 13.9923
30.000000 89.549 13.0263
30.400000 89.521 12.3401
30.700001 89.505 11.8757
31.100000 89.494 11.2727
31.500000 89.494 10.6211
32.000000 89.490 9.7026
32.500000 89.468 8.7526
33.000000 89.431 7.9007
33.500000 89.401 7.1817
34.000000 89.390 6.5099
34.500000 89.393 5.7787
35.000000 89.394 4.9585
35.500000 89.383 4.1013
36.000000 89.359 3.2819
36.500000 89.328 2.5453
37.000000 89.299 1.8885
37.500000 89.276 1.2720
38.200001 89.249 0.3987
38.700001 89.227 -0.2406
39.500000 89.180 -1.2153
40.000000 89.150 -1.7762
40.599998 89.120 -2.4382
41.200001 89.092 -3.1219
41.799999 89.062 -3.8188
42.500000 89.025 -4.6321
43.099998 88.993 -5.3382
43.700001 88.956 -6.0375
44.400002 88.910 -6.7981
45.000000 88.876 -7.4118
45.500000 88.851 -7.9285
46.200001 88.812 -8.6599
46.799999 88.773 -9.2401
47.500000 88.732 -9.8419
48.200001 88.701 -10.4417
48.700001 88.678 -10.8945
49.400002 88.639 -11.5203
50.000000 88.603 -12.0166
50.799999 88.561 -12.6609
51.500000 88.523 -13.2441
52.200001 88.482 -13.8182
53.000000 88.436 -14.4551
53.799999 88.391 -15.1138
54.500000 88.347 -15.6954
55.200001 88.301 -16.2454
56.000000 88.252 -16.8380
57.000000 88.197 -17.5690
58.000000 88.145 -18.3052
59.000000 88.093 -19.0225
60.000000 88.045 -19.7359
60.799999 88.002 -20.3214
61.500000 87.957 -20.8031
62.200001 87.910 -21.2292
63.000000 87.859 -21.6738
64.000000 87.796 -22.2029
65.000000 87.737 -22.7038
66.000000 87.680 -23.2534
67.000000 87.613 -23.8348
68.000000 87.544 -24.3541
69.000000 87.485 -24.8733
70.000000 87.429 -25.4215
71.000000 87.377 -25.9587
72.000000 87.330 -26.5057
73.000000 87.283 -27.0529
74.000000 87.234 -27.5723
75.000000 87.184 -28.0740
76.199997 87.117 -28.6412
77.500000 87.044 -29.2152
78.800003 86.971 -29.7817
80.000000 86.905 -30.3117
81.199997 86.839 -30.8545
82.500000 86.768 -31.4265
83.800003 86.696 -31.9735
85.000000 86.630 -32.4280
86.199997 86.566 -32.8608
87.500000 86.496 -33.3317
88.500000 86.439 -33.6854
90.000000 86.352 -34.1948
91.199997 86.283 -34.5886
92.500000 86.212 -34.9913
93.800003 86.147 -35.4255
95.000000 86.085 -35.8348
96.199997 86.025 -36.2332
97.500000 85.959 -36.6545
98.800003 85.894 -37.0493
100.000000 85.837 -37.4160
101.500000 85.762 -37.8951
103.000000 85.681 -38.3088
104.400002 85.611 -38.6509
106.000000 85.533 -39.0364
107.500000 85.459 -39.3943
109.000000 85.387 -39.7479
110.599998 85.308 -40.1486
112.000000 85.241 -40.4890
113.800003 85.158 -40.9523
115.000000 85.101 -41.2594
117.199997 84.997 -41.7086
118.000000 84.964 -41.8243
120.599998 84.869 -42.2344
122.000000 84.813 -42.3999
124.099998 84.737 -42.6121
125.000000 84.706 -42.7336
126.500000 84.652 -42.9990
128.000000 84.592 -43.3052
131.500000 84.467 -43.9639
132.000000 84.453 -44.0632
134.000000 84.393 -44.4912
136.000000 84.318 -44.8588
138.000000 84.246 -45.1584
140.000000 84.181 -45.5024
143.000000 84.080 -46.0002
145.000000 84.013 -46.2944
147.500000 83.926 -46.6598
150.000000 83.845 -47.0277
152.500000 83.765 -47.3956
155.000000 83.676 -47.7000
157.500000 83.587 -47.9488
160.000000 83.503 -48.2450
162.500000 83.418 -48.5639
165.000000 83.331 -48.8573
167.500000 83.245 -49.1532
170.000000 83.161 -49.4459
172.500000 83.078 -49.7222
175.000000 82.994 -49.9722
177.500000 82.906 -50.1989
180.000000 82.819 -50.4139
182.500000 82.736 -50.6416
185.000000 82.652 -50.8613
187.500000 82.571 -51.0770
190.000000 82.491 -51.2846
192.500000 82.416 -51.4899
195.000000 82.343 -51.6885
197.500000 82.271 -51.8745
200.000000 82.203 -52.0660
203.000000 82.128 -52.2872
206.000000 82.057 -52.4972
209.000000 81.985 -52.7113
212.000000 81.916 -52.9183
214.000000 81.872 -53.0490
218.000000 81.786 -53.2849
220.000000 81.743 -53.3929
224.000000 81.658 -53.6093
227.000000 81.598 -53.7708
230.000000 81.539 -53.9175
233.000000 81.484 -54.0618
236.000000 81.433 -54.2003
240.000000 81.372 -54.3628
243.000000 81.329 -54.4988
247.000000 81.270 -54.6946
250.000000 81.227 -54.8640
254.000000 81.165 -55.1011
258.000000 81.101 -55.3515
262.000000 81.039 -55.6043
265.000000 80.992 -55.7809
269.000000 80.929 -56.0134
272.000000 80.881 -56.1750
276.000000 80.815 -56.3699
280.000000 80.751 -56.5699
285.000000 80.679 -56.8029
290.000000 80.607 -57.0016
295.000000 80.546 -57.2007
300.000000 80.490 -57.4049
304.000000 80.446 -57.6089
307.000000 80.414 -57.7689
311.000000 80.370 -57.9856
315.000000 80.323 -58.2113
