* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 25 5:59:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: et142 w R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.451 -44.4157
1.015000 52.116 -45.6328
1.030000 52.755 -46.8512
1.044000 53.323 -47.9944
1.060000 53.933 -49.3126
1.075000 54.463 -50.5638
1.090000 54.948 -51.8313
1.106000 55.420 -53.1925
1.120000 55.807 -54.3714
1.138000 56.280 -55.8548
1.150000 56.581 -56.8216
1.172000 57.106 -58.5482
1.180000 57.290 -59.1615
1.206000 57.857 -61.1040
1.220000 58.147 -62.1194
1.241000 58.563 -63.6053
1.250000 58.735 -64.2295
1.265000 59.014 -65.2541
1.280000 59.284 -66.2607
1.315000 59.887 -68.5486
1.320000 59.970 -68.8694
1.340000 60.298 -70.1400
1.360000 60.620 -71.3931
1.380000 60.938 -72.6326
1.400000 61.254 -73.8619
1.430000 61.729 -75.6941
1.450000 62.049 -76.9115
1.475000 62.453 -78.4243
1.500000 62.849 -79.9059
1.525000 63.233 -81.3480
1.550000 63.604 -82.7542
1.575000 63.964 -84.1298
1.600000 64.313 -85.4801
1.625000 64.653 -86.8103
1.650000 64.985 -88.1257
1.675000 65.309 -89.4312
1.700000 65.627 -90.7315
1.725000 65.939 -92.0310
1.750000 66.247 -93.3340
1.775000 66.551 -94.6445
1.800000 66.853 -95.9659
1.825000 67.152 -97.2999
1.850000 67.448 -98.6405
1.875000 67.739 -99.9764
1.900000 68.023 -101.3016
1.925000 68.301 -102.6139
1.950000 68.574 -103.9127
1.975000 68.842 -105.1976
2.000000 69.104 -106.4692
2.030000 69.414 -107.9789
2.060000 69.718 -109.4728
2.090000 70.016 -110.9538
2.120000 70.310 -112.4253
2.140000 70.504 -113.4027
2.180000 70.886 -115.3536
2.200000 71.075 -116.3285
2.240000 71.447 -118.2734
2.270000 71.719 -119.7225
2.300000 71.986 -121.1599
2.330000 72.248 -122.5838
2.360000 72.505 -123.9934
2.400000 72.841 -125.8507
2.430000 73.088 -127.2278
2.470000 73.412 -129.0450
2.500000 73.651 -130.3958
2.540000 73.965 -132.1851
2.580000 74.273 -133.9661
2.620000 74.575 -135.7416
2.650000 74.796 -137.0673
2.690000 75.086 -138.8226
2.720000 75.299 -140.1275
2.760000 75.578 -141.8501
2.800000 75.851 -143.5517
2.850000 76.185 -145.6495
2.900000 76.512 -147.7179
2.950000 76.832 -149.7658
3.000000 77.143 -151.8048
3.040000 77.386 -153.4278
3.070000 77.565 -154.6373
3.110000 77.800 -156.2363
3.150000 78.030 -157.8175
3.200000 78.311 -159.7662
3.250000 78.586 -161.6833
3.300000 78.854 -163.5732
3.350000 79.117 -165.4493
3.400000 79.373 -167.3171
3.450000 79.622 -169.1703
3.500000 79.864 -171.0021
3.550000 80.102 -172.8071
3.600000 80.333 -174.5820
3.650000 80.560 -176.3272
3.700000 80.782 -178.0524
3.750000 80.998 -179.7681
3.820000 81.291 177.8501
3.870000 81.494 176.1714
3.950000 81.809 173.5385
4.000000 82.000 171.9302
4.060000 82.224 170.0310
4.120000 82.441 168.1492
4.180000 82.652 166.2841
4.250000 82.890 164.1404
4.310000 83.087 162.3394
4.370000 83.280 160.5768
4.440000 83.498 158.5601
4.500000 83.679 156.8510
4.550000 83.825 155.4407
4.620000 84.024 153.4952
4.680000 84.190 151.8615
4.750000 84.377 149.9997
4.820000 84.559 148.1760
4.870000 84.685 146.8887
4.940000 84.856 145.1095
5.000000 84.998 143.6111
5.080000 85.182 141.6600
5.150000 85.337 139.9973
5.220000 85.488 138.3648
5.300000 85.654 136.5310
5.380000 85.814 134.7376
5.450000 85.950 133.2075
5.520000 86.082 131.7141
5.600000 86.228 130.0426
5.700000 86.404 128.0012
5.800000 86.573 126.0204
5.900000 86.736 124.1039
6.000000 86.894 122.2408
6.080000 87.015 120.7858
6.150000 87.119 119.5401
6.220000 87.221 118.3207
6.300000 87.335 116.9569
6.400000 87.473 115.2913
6.500000 87.607 113.6678
6.600000 87.738 112.0863
6.700000 87.865 110.5435
6.800000 87.990 109.0353
6.900000 88.111 107.5601
7.000000 88.229 106.1161
7.100000 88.344 104.7005
7.200000 88.456 103.3109
7.300000 88.566 101.9457
7.400000 88.673 100.6029
7.500000 88.777 99.2804
7.620000 88.898 97.7184
7.750000 89.025 96.0547
7.880000 89.147 94.4161
8.000000 89.255 92.9253
8.120000 89.358 91.4535
8.250000 89.464 89.8771
8.380000 89.565 88.3210
8.500000 89.653 86.9019
8.620000 89.735 85.4970
8.750000 89.817 83.9958
8.850000 89.875 82.8569
9.000000 89.955 81.1713
9.120000 90.012 79.8503
9.250000 90.066 78.4507
9.380000 90.114 77.0829
9.500000 90.151 75.8574
9.620000 90.184 74.6714
9.750000 90.212 73.4304
9.880000 90.232 72.2419
10.000000 90.240 71.1952
10.150000 90.240 69.9518
10.300000 90.234 68.7812
10.440000 90.227 67.7539
10.600000 90.219 66.6437
10.750000 90.217 65.6564
10.900000 90.220 64.7104
11.060000 90.229 63.7252
11.200000 90.242 62.8767
11.380000 90.264 61.7845
11.500000 90.282 61.0483
11.720000 90.316 59.6775
11.800000 90.328 59.1703
12.060000 90.363 57.4996
12.200000 90.378 56.5948
12.410000 90.396 55.2455
12.500000 90.405 54.6766
12.650000 90.422 53.7443
12.800000 90.439 52.8365
13.150000 90.480 50.8286
13.200000 90.486 50.5529
13.400000 90.513 49.4719
13.600000 90.544 48.4097
13.800000 90.579 47.3497
14.000000 90.616 46.2752
14.300000 90.668 44.6223
14.500000 90.696 43.4962
14.750000 90.720 42.0863
15.000000 90.730 40.7060
15.250000 90.727 39.3957
15.500000 90.715 38.1822
15.750000 90.701 37.0751
16.000000 90.692 36.0649
16.250000 90.691 35.1234
16.500000 90.700 34.2183
16.750000 90.715 33.3185
17.000000 90.732 32.4055
17.250000 90.748 31.4756
17.500000 90.759 30.5377
17.750000 90.764 29.6093
18.000000 90.762 28.7087
18.250000 90.754 27.8508
18.500000 90.745 27.0425
18.750000 90.735 26.2817
19.000000 90.728 25.5592
19.250000 90.723 24.8599
19.500000 90.723 24.1683
19.750000 90.724 23.4722
20.000000 90.725 22.7640
20.299999 90.724 21.8990
20.600000 90.717 21.0301
20.900000 90.703 20.1776
21.200001 90.684 19.3621
21.400000 90.670 18.8453
21.799999 90.644 17.8744
22.000000 90.633 17.4119
22.400000 90.619 16.5018
22.700001 90.612 15.8105
23.000000 90.605 15.1037
23.299999 90.595 14.3883
23.600000 90.583 13.6793
24.000000 90.562 12.7683
24.299999 90.547 12.1168
24.700001 90.530 11.2758
25.000000 90.520 10.6479
25.400000 90.509 9.7972
25.799999 90.492 8.9370
26.200001 90.469 8.0980
26.500000 90.449 7.5026
26.900000 90.422 6.7632
27.200001 90.405 6.2405
27.600000 90.387 5.5580
28.000000 90.373 4.8636
28.500000 90.351 3.9716
29.000000 90.320 3.0989
29.500000 90.285 2.2996
30.000000 90.255 1.5618
30.400000 90.239 0.9646
30.700001 90.228 0.4868
31.100000 90.209 -0.1942
31.500000 90.178 -0.8951
32.000000 90.122 -1.7172
32.500000 90.057 -2.4114
33.000000 90.000 -2.9862
33.500000 89.957 -3.5127
34.000000 89.925 -4.0593
34.500000 89.899 -4.6563
35.000000 89.873 -5.2997
35.500000 89.843 -5.9656
36.000000 89.809 -6.6243
36.500000 89.776 -7.2629
37.000000 89.748 -7.8979
37.500000 89.721 -8.5547
38.200001 89.677 -9.5002
38.700001 89.640 -10.1508
39.500000 89.578 -11.1119
40.000000 89.537 -11.6693
40.599998 89.487 -12.2719
41.200001 89.444 -12.7922
41.799999 89.415 -13.3077
42.500000 89.385 -14.0261
43.099998 89.342 -14.7050
43.700001 89.281 -15.3265
44.400002 89.206 -15.9228
45.000000 89.149 -16.3657
45.500000 89.109 -16.7181
46.200001 89.065 -17.2340
46.799999 89.034 -17.7484
47.500000 88.992 -18.4330
48.200001 88.936 -19.1090
48.700001 88.893 -19.5453
49.400002 88.835 -20.1070
50.000000 88.789 -20.5665
50.799999 88.727 -21.1511
51.500000 88.674 -21.6454
52.200001 88.620 -22.1326
53.000000 88.556 -22.6680
53.799999 88.492 -23.1956
54.500000 88.433 -23.6576
55.200001 88.375 -24.0980
56.000000 88.313 -24.6006
57.000000 88.237 -25.2690
58.000000 88.158 -25.8961
59.000000 88.085 -26.5331
60.000000 88.001 -27.1326
60.799999 87.938 -27.5184
61.500000 87.892 -27.8877
62.200001 87.840 -28.3098
63.000000 87.768 -28.7470
64.000000 87.684 -29.1750
65.000000 87.611 -29.6306
66.000000 87.533 -30.1158
67.000000 87.449 -30.5630
68.000000 87.361 -30.9509
69.000000 87.269 -31.2657
70.000000 87.176 -31.4870
71.000000 87.093 -31.5936
72.000000 87.031 -31.6615
73.000000 86.988 -31.7642
74.000000 86.963 -31.9442
75.000000 86.949 -32.2534
76.199997 86.930 -32.7847
77.500000 86.885 -33.4548
78.800003 86.822 -34.0543
80.000000 86.754 -34.6028
81.199997 86.674 -35.1014
82.500000 86.590 -35.6019
83.800003 86.507 -36.1187
85.000000 86.430 -36.5704
86.199997 86.359 -36.9933
87.500000 86.280 -37.4448
88.500000 86.215 -37.7392
90.000000 86.120 -38.1072
91.199997 86.045 -38.3937
92.500000 85.966 -38.7009
93.800003 85.888 -39.0438
95.000000 85.814 -39.3474
96.199997 85.744 -39.6381
97.500000 85.667 -39.9539
98.800003 85.589 -40.2443
100.000000 85.516 -40.4966
101.500000 85.423 -40.8103
103.000000 85.330 -41.0921
104.400002 85.249 -41.3438
106.000000 85.160 -41.6295
107.500000 85.079 -41.8801
109.000000 84.998 -42.1237
110.599998 84.910 -42.3478
112.000000 84.837 -42.5083
113.800003 84.747 -42.7084
115.000000 84.688 -42.8367
117.199997 84.581 -43.0493
118.000000 84.543 -43.1245
120.599998 84.428 -43.3506
122.000000 84.374 -43.5045
124.099998 84.292 -43.7877
125.000000 84.255 -43.9120
126.500000 84.192 -44.1109
128.000000 84.127 -44.2881
131.500000 83.969 -44.6699
132.000000 83.947 -44.7231
134.000000 83.857 -44.9207
136.000000 83.770 -45.0821
138.000000 83.687 -45.2043
140.000000 83.604 -45.2827
143.000000 83.481 -45.3563
145.000000 83.400 -45.4032
147.500000 83.305 -45.4441
150.000000 83.217 -45.4742
152.500000 83.129 -45.5046
155.000000 83.041 -45.4809
157.500000 82.958 -45.4380
160.000000 82.880 -45.3423
162.500000 82.801 -45.2728
165.000000 82.718 -45.1528
167.500000 82.647 -44.9869
170.000000 82.587 -44.8164
172.500000 82.532 -44.6241
175.000000 82.490 -44.4865
177.500000 82.463 -44.4937
180.000000 82.447 -44.6571
182.500000 82.426 -44.9310
185.000000 82.390 -45.2497
187.500000 82.339 -45.5874
190.000000 82.277 -45.9235
192.500000 82.208 -46.2380
195.000000 82.136 -46.4996
197.500000 82.063 -46.7118
200.000000 81.988 -46.8733
203.000000 81.902 -47.0186
206.000000 81.820 -47.1529
209.000000 81.742 -47.2755
212.000000 81.664 -47.3579
214.000000 81.616 -47.3973
218.000000 81.522 -47.4927
220.000000 81.475 -47.5346
224.000000 81.382 -47.5493
227.000000 81.322 -47.5461
230.000000 81.268 -47.5913
233.000000 81.213 -47.6674
236.000000 81.157 -47.7153
240.000000 81.082 -47.6870
243.000000 81.019 -47.6467
247.000000 80.931 -47.6193
250.000000 80.873 -47.6094
254.000000 80.805 -47.5917
258.000000 80.740 -47.5865
262.000000 80.680 -47.5822
265.000000 80.627 -47.5524
269.000000 80.549 -47.4941
272.000000 80.492 -47.4531
276.000000 80.420 -47.4095
280.000000 80.353 -47.3917
285.000000 80.279 -47.3430
290.000000 80.206 -47.2653
295.000000 80.135 -47.1940
300.000000 80.066 -47.1124
304.000000 80.013 -47.0579
307.000000 79.976 -47.0242
311.000000 79.927 -46.9673
