* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 4:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: hexa L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.317 84.7231
1.015000 72.637 84.4581
1.030000 72.957 84.2022
1.044000 73.256 83.9795
1.060000 73.595 83.7430
1.075000 73.912 83.5365
1.090000 74.226 83.3423
1.106000 74.558 83.1463
1.120000 74.846 82.9824
1.138000 75.211 82.7798
1.150000 75.450 82.6486
1.172000 75.881 82.4119
1.180000 76.035 82.3257
1.206000 76.522 82.0462
1.220000 76.775 81.8949
1.241000 77.143 81.6647
1.250000 77.295 81.5644
1.265000 77.543 81.3944
1.280000 77.781 81.2203
1.315000 78.297 80.7948
1.320000 78.366 80.7316
1.340000 78.629 80.4742
1.360000 78.870 80.2193
1.380000 79.088 79.9935
1.400000 79.284 79.7921
1.430000 79.541 79.5196
1.450000 79.691 79.3516
1.475000 79.857 79.1508
1.500000 80.003 78.9543
1.525000 80.134 78.7569
1.550000 80.253 78.5541
1.575000 80.364 78.3470
1.600000 80.471 78.1366
1.625000 80.578 77.9107
1.650000 80.689 77.6674
1.675000 80.806 77.4066
1.700000 80.926 77.1375
1.725000 81.041 76.8748
1.750000 81.150 76.6227
1.775000 81.252 76.3758
1.800000 81.349 76.1289
1.825000 81.441 75.8887
1.850000 81.529 75.6533
1.875000 81.614 75.4211
1.900000 81.698 75.1905
1.925000 81.780 74.9600
1.950000 81.861 74.7281
1.975000 81.943 74.4895
2.000000 82.027 74.2402
2.030000 82.128 73.9380
2.060000 82.229 73.6401
2.090000 82.329 73.3510
2.120000 82.427 73.0711
2.140000 82.492 72.8893
2.180000 82.619 72.5287
2.200000 82.682 72.3460
2.240000 82.806 71.9880
2.270000 82.898 71.7241
2.300000 82.989 71.4628
2.330000 83.079 71.2027
2.360000 83.168 70.9441
2.400000 83.286 70.5804
2.430000 83.374 70.3112
2.470000 83.489 69.9616
2.500000 83.574 69.7067
2.540000 83.687 69.3766
2.580000 83.797 69.0446
2.620000 83.905 68.6979
2.650000 83.985 68.4439
2.690000 84.089 68.1116
2.720000 84.166 67.8667
2.760000 84.266 67.5453
2.800000 84.365 67.2067
2.850000 84.485 66.7899
2.900000 84.602 66.3893
2.950000 84.717 66.0061
3.000000 84.829 65.6120
3.040000 84.918 65.2980
3.070000 84.983 65.0674
3.110000 85.069 64.7660
3.150000 85.153 64.4728
3.200000 85.256 64.0938
3.250000 85.358 63.7188
3.300000 85.458 63.3590
3.350000 85.557 63.0146
3.400000 85.656 62.6595
3.450000 85.754 62.3042
3.500000 85.850 61.9595
3.550000 85.946 61.6270
3.600000 86.040 61.2815
3.650000 86.133 60.9378
3.700000 86.224 60.6067
3.750000 86.314 60.2863
3.820000 86.438 59.8127
3.870000 86.525 59.4776
3.950000 86.661 58.9622
4.000000 86.744 58.6316
4.060000 86.843 58.2336
4.120000 86.941 57.8461
4.180000 87.036 57.4591
4.250000 87.146 56.9871
4.310000 87.238 56.5963
4.370000 87.329 56.2164
4.440000 87.433 55.7422
4.500000 87.521 55.3448
4.550000 87.593 55.0218
4.620000 87.692 54.5487
4.680000 87.775 54.1497
4.750000 87.869 53.6988
4.820000 87.960 53.2269
4.870000 88.024 52.8911
4.940000 88.111 52.4335
5.000000 88.183 52.0393
5.080000 88.277 51.5154
5.150000 88.357 51.0704
5.220000 88.434 50.6113
5.300000 88.519 50.0988
5.380000 88.602 49.6049
5.450000 88.672 49.1645
5.520000 88.740 48.7371
5.600000 88.816 48.2518
5.700000 88.907 47.6527
5.800000 88.995 47.0785
5.900000 89.079 46.5061
6.000000 89.160 45.9549
6.080000 89.224 45.5191
6.150000 89.278 45.1548
6.220000 89.330 44.7868
6.300000 89.390 44.3770
6.400000 89.463 43.8801
6.500000 89.534 43.3883
6.600000 89.604 42.9117
6.700000 89.674 42.4376
6.800000 89.742 41.9758
6.900000 89.809 41.5125
7.000000 89.874 41.0592
7.100000 89.938 40.6031
7.200000 90.001 40.1537
7.300000 90.062 39.7008
7.400000 90.122 39.2558
7.500000 90.179 38.8077
7.620000 90.245 38.2747
7.750000 90.314 37.7061
7.880000 90.379 37.1390
8.000000 90.435 36.6313
8.120000 90.489 36.1383
8.250000 90.544 35.6204
8.380000 90.596 35.1259
8.500000 90.644 34.6801
8.620000 90.691 34.2532
8.750000 90.741 33.8056
8.850000 90.780 33.4690
9.000000 90.838 32.9810
9.120000 90.885 32.5929
9.250000 90.937 32.1762
9.380000 90.990 31.7609
9.500000 91.039 31.3658
9.620000 91.087 30.9644
9.750000 91.136 30.5184
9.880000 91.181 30.0589
10.000000 91.217 29.6305
10.150000 91.251 29.0525
10.300000 91.271 28.4805
10.440000 91.283 27.9630
10.600000 91.290 27.3959
10.750000 91.292 26.8939
10.900000 91.291 26.4268
11.060000 91.288 25.9376
11.200000 91.285 25.4976
11.380000 91.282 24.9776
11.500000 91.281 24.6550
11.720000 91.279 24.1056
11.800000 91.279 23.9152
12.060000 91.282 23.2956
12.200000 91.286 22.9227
12.410000 91.296 22.3693
12.500000 91.302 22.1333
12.650000 91.316 21.7422
12.800000 91.330 21.3572
13.150000 91.359 20.4470
13.200000 91.363 20.3137
13.400000 91.375 19.8026
13.600000 91.385 19.3307
13.800000 91.394 18.8977
14.000000 91.404 18.4951
14.300000 91.424 17.8660
14.500000 91.441 17.4616
14.750000 91.463 16.9612
15.000000 91.487 16.4545
15.250000 91.510 15.8752
15.500000 91.530 15.2888
15.750000 91.545 14.7050
16.000000 91.556 14.1338
16.250000 91.563 13.5462
16.500000 91.567 12.9937
16.750000 91.568 12.4854
17.000000 91.568 12.0212
17.250000 91.570 11.5653
17.500000 91.574 11.1398
17.750000 91.583 10.7318
18.000000 91.595 10.3231
18.250000 91.609 9.8692
18.500000 91.623 9.3966
18.750000 91.633 8.9122
19.000000 91.637 8.4281
19.250000 91.635 7.9439
19.500000 91.630 7.4931
19.750000 91.623 7.0848
20.000000 91.617 6.7125
20.299999 91.616 6.2666
20.600000 91.619 5.8219
20.900000 91.622 5.3603
21.200001 91.621 4.8636
21.400000 91.616 4.5291
21.799999 91.596 3.9086
22.000000 91.583 3.6357
22.400000 91.558 3.1358
22.700001 91.544 2.8027
23.000000 91.532 2.4779
23.299999 91.520 2.1313
23.600000 91.505 1.7932
24.000000 91.481 1.3924
24.299999 91.464 1.1180
24.700001 91.452 0.7740
25.000000 91.450 0.4793
25.400000 91.442 -0.0209
25.799999 91.411 -0.5703
26.200001 91.352 -1.0157
26.500000 91.301 -1.1892
26.900000 91.257 -1.1936
27.200001 91.259 -1.1414
27.600000 91.308 -1.2302
28.000000 91.376 -1.6909
28.500000 91.416 -2.7543
29.000000 91.364 -3.8719
29.500000 91.257 -4.5667
30.000000 91.178 -4.7696
30.400000 91.165 -4.8441
30.700001 91.178 -4.9920
31.100000 91.200 -5.3846
31.500000 91.201 -5.9388
32.000000 91.160 -6.6010
32.500000 91.098 -7.0300
33.000000 91.051 -7.2313
33.500000 91.028 -7.3907
34.000000 91.012 -7.6065
34.500000 90.991 -7.8450
35.000000 90.973 -8.0498
35.500000 90.964 -8.3153
36.000000 90.949 -8.7440
36.500000 90.896 -9.2529
37.000000 90.802 -9.5487
37.500000 90.717 -9.4633
38.200001 90.711 -9.1843
38.700001 90.763 -9.4312
39.500000 90.776 -10.6354
40.000000 90.710 -11.3607
40.599998 90.619 -11.8775
41.200001 90.561 -12.2030
41.799999 90.524 -12.5724
42.500000 90.478 -13.0179
43.099998 90.443 -13.3204
43.700001 90.419 -13.5976
44.400002 90.392 -13.9467
45.000000 90.364 -14.2348
45.500000 90.336 -14.4545
46.200001 90.294 -14.7231
46.799999 90.257 -14.9357
47.500000 90.214 -15.2147
48.200001 90.162 -15.5420
48.700001 90.117 -15.7656
49.400002 90.055 -16.0192
50.000000 90.014 -16.2265
50.799999 89.966 -16.5702
51.500000 89.921 -16.8598
52.200001 89.883 -17.0561
53.000000 89.861 -17.2835
53.799999 89.831 -17.5781
54.500000 89.787 -17.7124
55.200001 89.749 -17.6994
56.000000 89.708 -17.6775
57.000000 89.640 -17.4345
58.000000 89.652 -17.0990
59.000000 89.676 -17.7406
60.000000 89.563 -18.6218
60.799999 89.453 -18.9470
61.500000 89.379 -19.1667
62.200001 89.317 -19.4068
63.000000 89.257 -19.6566
64.000000 89.198 -19.9546
65.000000 89.150 -20.2026
66.000000 89.105 -20.4263
67.000000 89.057 -20.5496
68.000000 89.017 -20.6752
69.000000 88.966 -20.8940
70.000000 88.900 -21.0606
71.000000 88.842 -21.2063
72.000000 88.789 -21.3941
73.000000 88.738 -21.6043
74.000000 88.685 -21.8076
75.000000 88.633 -21.9472
76.199997 88.576 -22.0685
77.500000 88.517 -22.1808
78.800003 88.448 -22.2946
80.000000 88.389 -22.3319
81.199997 88.338 -22.4571
82.500000 88.267 -22.6439
83.800003 88.193 -22.7112
85.000000 88.144 -22.7332
86.199997 88.102 -22.8636
87.500000 88.051 -23.0038
88.500000 88.013 -23.1009
90.000000 87.956 -23.2186
91.199997 87.913 -23.3150
92.500000 87.858 -23.4116
93.800003 87.802 -23.4308
95.000000 87.755 -23.4652
96.199997 87.703 -23.5157
97.500000 87.647 -23.5310
98.800003 87.592 -23.5709
100.000000 87.538 -23.6122
101.500000 87.474 -23.5821
103.000000 87.424 -23.6313
104.400002 87.364 -23.6931
106.000000 87.302 -23.6766
107.500000 87.243 -23.6642
109.000000 87.191 -23.6182
110.599998 87.135 -23.6787
112.000000 87.079 -23.7363
113.800003 87.005 -23.7510
115.000000 86.962 -23.6948
117.199997 86.900 -23.6003
118.000000 86.878 -23.5861
120.599998 86.799 -23.5511
122.000000 86.758 -23.5179
124.099998 86.703 -23.4420
125.000000 86.682 -23.4092
126.500000 86.644 -23.3419
128.000000 86.606 -23.2700
131.500000 86.495 -23.1765
132.000000 86.480 -23.1556
134.000000 86.433 -23.1074
136.000000 86.396 -23.1005
138.000000 86.359 -23.1213
140.000000 86.305 -23.1089
143.000000 86.223 -22.8489
145.000000 86.193 -22.7246
147.500000 86.162 -22.6831
150.000000 86.115 -22.6417
152.500000 86.049 -22.4513
155.000000 86.005 -22.0633
157.500000 85.969 -21.9804
160.000000 85.907 -21.9954
162.500000 85.833 -21.9992
165.000000 85.765 -21.8339
167.500000 85.725 -21.5755
170.000000 85.669 -21.3971
172.500000 85.621 -21.1649
175.000000 85.523 -21.1589
177.500000 85.420 -20.6789
180.000000 85.414 -20.2626
182.500000 85.440 -20.4081
185.000000 85.407 -20.7310
187.500000 85.327 -20.7990
190.000000 85.239 -20.6635
192.500000 85.162 -20.3679
195.000000 85.105 -20.0621
197.500000 85.069 -19.8056
200.000000 85.050 -19.6074
203.000000 85.018 -19.3397
206.000000 84.977 -19.0857
209.000000 84.942 -19.0054
212.000000 84.906 -18.9490
214.000000 84.877 -18.8369
218.000000 84.815 -18.5178
220.000000 84.782 -18.3822
224.000000 84.721 -18.1628
227.000000 84.689 -17.9766
230.000000 84.661 -17.8287
233.000000 84.624 -17.7046
236.000000 84.595 -17.4925
240.000000 84.559 -17.1378
243.000000 84.521 -16.9587
247.000000 84.476 -16.7574
250.000000 84.446 -16.5383
254.000000 84.399 -16.0717
258.000000 84.382 -15.7312
262.000000 84.335 -15.7586
265.000000 84.273 -15.6906
269.000000 84.259 -15.5778
272.000000 84.288 -15.2212
276.000000 84.277 -14.4765
280.000000 84.239 -14.1242
285.000000 84.211 -13.8891
290.000000 84.166 -13.5428
295.000000 84.135 -13.3532
300.000000 84.121 -13.1772
304.000000 84.101 -13.1042
307.000000 84.082 -13.0406
311.000000 84.054 -12.8075
315.000000 84.019 -12.5055
320.000000 83.991 -12.2822
325.000000 83.971 -12.1681
330.000000 83.941 -11.9242
335.000000 83.897 -11.6842
340.000000 83.839 -11.3854
