* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 4:04:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: hexa R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.902 85.2492
1.015000 73.235 84.7239
1.030000 73.565 84.2273
1.044000 73.872 83.7953
1.060000 74.221 83.3366
1.075000 74.547 82.9369
1.090000 74.871 82.5634
1.106000 75.214 82.1902
1.120000 75.511 81.8825
1.138000 75.887 81.5094
1.150000 76.135 81.2728
1.172000 76.580 80.8592
1.180000 76.739 80.7136
1.206000 77.243 80.2579
1.220000 77.505 80.0217
1.241000 77.886 79.6764
1.250000 78.044 79.5311
1.265000 78.301 79.2915
1.280000 78.548 79.0544
1.315000 79.085 78.5056
1.320000 79.157 78.4274
1.340000 79.431 78.1162
1.360000 79.683 77.8172
1.380000 79.912 77.5564
1.400000 80.118 77.3280
1.430000 80.389 77.0272
1.450000 80.549 76.8472
1.475000 80.726 76.6376
1.500000 80.884 76.4382
1.525000 81.026 76.2426
1.550000 81.156 76.0455
1.575000 81.278 75.8474
1.600000 81.396 75.6488
1.625000 81.514 75.4372
1.650000 81.636 75.2103
1.675000 81.764 74.9685
1.700000 81.895 74.7223
1.725000 82.022 74.4882
1.750000 82.142 74.2696
1.775000 82.255 74.0600
1.800000 82.363 73.8527
1.825000 82.466 73.6532
1.850000 82.565 73.4588
1.875000 82.661 73.2672
1.900000 82.756 73.0760
1.925000 82.849 72.8832
1.950000 82.941 72.6871
1.975000 83.034 72.4819
2.000000 83.128 72.2637
2.030000 83.243 71.9974
2.060000 83.358 71.7374
2.090000 83.471 71.4894
2.120000 83.582 71.2523
2.140000 83.656 71.0992
2.180000 83.801 70.7950
2.200000 83.872 70.6392
2.240000 84.014 70.3309
2.270000 84.119 70.0999
2.300000 84.223 69.8667
2.330000 84.326 69.6299
2.360000 84.428 69.3902
2.400000 84.563 69.0500
2.430000 84.664 68.7988
2.470000 84.796 68.4729
2.500000 84.894 68.2345
2.540000 85.022 67.9235
2.580000 85.149 67.6057
2.620000 85.273 67.2667
2.650000 85.364 67.0134
2.690000 85.484 66.6754
2.720000 85.572 66.4223
2.760000 85.687 66.0873
2.800000 85.799 65.7330
2.850000 85.936 65.2929
2.900000 86.070 64.8641
2.950000 86.201 64.4467
3.000000 86.328 64.0110
3.040000 86.428 63.6579
3.070000 86.501 63.3948
3.110000 86.596 63.0465
3.150000 86.690 62.7034
3.200000 86.804 62.2589
3.250000 86.915 61.8159
3.300000 87.024 61.3861
3.350000 87.131 60.9695
3.400000 87.236 60.5380
3.450000 87.339 60.1008
3.500000 87.440 59.6703
3.550000 87.538 59.2507
3.600000 87.634 58.8192
3.650000 87.727 58.3921
3.700000 87.818 57.9805
3.750000 87.906 57.5793
3.820000 88.025 56.9888
3.870000 88.107 56.5701
3.950000 88.234 55.9284
4.000000 88.311 55.5265
4.060000 88.400 55.0510
4.120000 88.487 54.5897
4.180000 88.571 54.1315
4.250000 88.665 53.5832
4.310000 88.743 53.1367
4.370000 88.820 52.7125
4.440000 88.907 52.1984
4.500000 88.980 51.7739
4.550000 89.039 51.4332
4.620000 89.119 50.9440
4.680000 89.187 50.5404
4.750000 89.263 50.0962
4.820000 89.338 49.6424
4.870000 89.390 49.3251
4.940000 89.461 48.8995
5.000000 89.521 48.5373
5.080000 89.600 48.0632
5.150000 89.668 47.6703
5.220000 89.734 47.2692
5.300000 89.809 46.8247
5.380000 89.883 46.3966
5.450000 89.948 46.0134
5.520000 90.012 45.6445
5.600000 90.085 45.2238
5.700000 90.175 44.6940
5.800000 90.263 44.1746
5.900000 90.350 43.6462
6.000000 90.435 43.1243
6.080000 90.501 42.6981
6.150000 90.559 42.3324
6.220000 90.615 41.9552
6.300000 90.677 41.5267
6.400000 90.754 40.9941
6.500000 90.827 40.4516
6.600000 90.898 39.9124
6.700000 90.965 39.3705
6.800000 91.030 38.8373
6.900000 91.091 38.2981
7.000000 91.149 37.7704
7.100000 91.204 37.2470
7.200000 91.255 36.7360
7.300000 91.304 36.2285
7.400000 91.351 35.7394
7.500000 91.395 35.2595
7.620000 91.445 34.7018
7.750000 91.497 34.1215
7.880000 91.548 33.5591
8.000000 91.593 33.0653
8.120000 91.637 32.5897
8.250000 91.685 32.0937
8.380000 91.733 31.6173
8.500000 91.779 31.1793
8.620000 91.826 30.7515
8.750000 91.877 30.2888
8.850000 91.917 29.9288
9.000000 91.977 29.3887
9.120000 92.025 28.9453
9.250000 92.077 28.4554
9.380000 92.128 27.9577
9.500000 92.173 27.4819
9.620000 92.215 26.9964
9.750000 92.257 26.4604
9.880000 92.293 25.9148
10.000000 92.319 25.4112
10.150000 92.338 24.7488
10.300000 92.344 24.1034
10.440000 92.340 23.5276
10.600000 92.330 22.9062
10.750000 92.316 22.3644
10.900000 92.298 21.8677
11.060000 92.277 21.3586
11.200000 92.258 20.9113
11.380000 92.235 20.3974
11.500000 92.220 20.0897
11.720000 92.195 19.5915
11.800000 92.188 19.4279
12.060000 92.170 18.9227
12.200000 92.165 18.6252
12.410000 92.168 18.1949
12.500000 92.173 18.0113
12.650000 92.189 17.7034
12.800000 92.208 17.3895
13.150000 92.259 16.5680
13.200000 92.266 16.4362
13.400000 92.293 15.9016
13.600000 92.314 15.3604
13.800000 92.330 14.8213
14.000000 92.340 14.2899
14.300000 92.345 13.4648
14.500000 92.342 12.9530
14.750000 92.334 12.3688
15.000000 92.325 11.8471
15.250000 92.315 11.3202
15.500000 92.309 10.8402
15.750000 92.305 10.3945
16.000000 92.305 9.9674
16.250000 92.310 9.5066
16.500000 92.318 9.0455
16.750000 92.324 8.5829
17.000000 92.329 8.1179
17.250000 92.331 7.6232
17.500000 92.330 7.1376
17.750000 92.326 6.6707
18.000000 92.319 6.2262
18.250000 92.310 5.7759
18.500000 92.301 5.3527
18.750000 92.292 4.9572
19.000000 92.283 4.5836
19.250000 92.276 4.2092
19.500000 92.270 3.8466
19.750000 92.264 3.4924
20.000000 92.259 3.1408
20.299999 92.254 2.6935
20.600000 92.247 2.2492
20.900000 92.237 1.8174
21.200001 92.223 1.3876
21.400000 92.213 1.1124
21.799999 92.192 0.6117
22.000000 92.183 0.3835
22.400000 92.171 -0.0798
22.700001 92.166 -0.4324
23.000000 92.162 -0.8108
23.299999 92.156 -1.2402
23.600000 92.142 -1.6875
24.000000 92.110 -2.2600
24.299999 92.077 -2.6509
24.700001 92.031 -3.0575
25.000000 92.003 -3.2884
25.400000 91.980 -3.5714
25.799999 91.970 -3.8889
26.200001 91.963 -4.2914
26.500000 91.953 -4.6343
26.900000 91.930 -5.0804
27.200001 91.910 -5.3854
27.600000 91.885 -5.7465
28.000000 91.868 -6.0950
28.500000 91.852 -6.6042
29.000000 91.824 -7.1697
29.500000 91.778 -7.6987
30.000000 91.727 -8.0954
30.400000 91.695 -8.3505
30.700001 91.677 -8.5353
31.100000 91.658 -8.8103
31.500000 91.638 -9.1300
32.000000 91.604 -9.5368
32.500000 91.565 -9.9136
33.000000 91.524 -10.2396
33.500000 91.487 -10.5466
34.000000 91.450 -10.8447
34.500000 91.414 -11.1458
35.000000 91.379 -11.4365
35.500000 91.345 -11.7278
36.000000 91.312 -12.0205
36.500000 91.279 -12.3273
37.000000 91.243 -12.6356
37.500000 91.204 -12.9344
38.200001 91.146 -13.2919
38.700001 91.111 -13.5113
39.500000 91.065 -13.8820
40.000000 91.037 -14.1547
40.599998 90.998 -14.4929
41.200001 90.955 -14.8035
41.799999 90.912 -15.1002
42.500000 90.858 -15.4497
43.099998 90.806 -15.7054
43.700001 90.756 -15.8943
44.400002 90.710 -16.1008
45.000000 90.675 -16.3266
45.500000 90.641 -16.5457
46.200001 90.586 -16.8282
46.799999 90.540 -17.0344
47.500000 90.492 -17.2796
48.200001 90.444 -17.5563
48.700001 90.408 -17.7627
49.400002 90.356 -18.0399
50.000000 90.312 -18.2537
50.799999 90.259 -18.4990
51.500000 90.220 -18.7054
52.200001 90.182 -18.9248
53.000000 90.137 -19.1626
53.799999 90.091 -19.3774
54.500000 90.046 -19.5447
55.200001 89.995 -19.6593
56.000000 89.936 -19.7409
57.000000 89.856 -19.7202
58.000000 89.818 -19.5165
59.000000 89.828 -19.8255
60.000000 89.759 -20.5233
60.799999 89.671 -20.8222
61.500000 89.609 -20.9692
62.200001 89.558 -21.1232
63.000000 89.504 -21.2693
64.000000 89.452 -21.4214
65.000000 89.406 -21.5680
66.000000 89.361 -21.7025
67.000000 89.313 -21.8062
68.000000 89.262 -21.8870
69.000000 89.208 -21.9707
70.000000 89.150 -22.0712
71.000000 89.089 -22.1996
72.000000 89.026 -22.3191
73.000000 88.969 -22.4104
74.000000 88.918 -22.5262
75.000000 88.867 -22.6353
76.199997 88.807 -22.7434
77.500000 88.741 -22.7998
78.800003 88.684 -22.8862
80.000000 88.614 -23.0738
81.199997 88.532 -23.1108
82.500000 88.469 -23.0908
83.800003 88.421 -23.0985
85.000000 88.389 -23.1548
86.199997 88.351 -23.2599
87.500000 88.305 -23.3151
88.500000 88.265 -23.4126
90.000000 88.177 -23.4963
91.199997 88.116 -23.4244
92.500000 88.064 -23.4050
93.800003 88.016 -23.3891
95.000000 87.978 -23.3856
96.199997 87.936 -23.3744
97.500000 87.893 -23.3272
98.800003 87.844 -23.4033
100.000000 87.776 -23.4691
101.500000 87.696 -23.3590
103.000000 87.657 -23.2499
104.400002 87.628 -23.3514
106.000000 87.581 -23.4254
107.500000 87.530 -23.4333
109.000000 87.473 -23.4116
110.599998 87.409 -23.3757
112.000000 87.357 -23.3589
113.800003 87.302 -23.3468
115.000000 87.271 -23.3533
117.199997 87.206 -23.3553
118.000000 87.179 -23.3211
120.599998 87.095 -23.1443
122.000000 87.057 -23.0638
124.099998 87.002 -23.0421
125.000000 86.977 -23.0332
126.500000 86.937 -22.9782
128.000000 86.901 -22.9059
131.500000 86.820 -22.6984
132.000000 86.809 -22.6731
134.000000 86.764 -22.5949
136.000000 86.713 -22.5505
138.000000 86.661 -22.4484
140.000000 86.615 -22.3189
143.000000 86.549 -22.1127
145.000000 86.513 -21.9979
147.500000 86.467 -21.9378
150.000000 86.415 -21.8464
152.500000 86.362 -21.6729
155.000000 86.310 -21.5231
157.500000 86.255 -21.3978
160.000000 86.197 -21.2517
162.500000 86.139 -21.0866
165.000000 86.080 -20.9132
167.500000 86.024 -20.7650
170.000000 85.963 -20.6422
172.500000 85.902 -20.4877
175.000000 85.839 -20.3279
177.500000 85.775 -20.1041
180.000000 85.707 -19.8367
182.500000 85.635 -19.6128
185.000000 85.566 -19.4339
187.500000 85.524 -19.3423
190.000000 85.476 -19.2598
192.500000 85.416 -18.9315
195.000000 85.362 -18.5566
197.500000 85.305 -18.1432
200.000000 85.242 -17.6920
203.000000 85.155 -17.2006
206.000000 85.152 -16.7734
209.000000 85.161 -16.5607
212.000000 85.084 -15.8740
214.000000 85.052 -15.4825
218.000000 85.151 -15.6283
220.000000 85.233 -15.4707
224.000000 85.312 -14.0237
227.000000 85.281 -13.6256
230.000000 85.231 -14.2297
233.000000 85.236 -14.7344
236.000000 85.259 -14.8657
240.000000 85.261 -14.7354
243.000000 85.278 -14.8980
247.000000 85.232 -15.1475
250.000000 85.174 -14.8048
254.000000 85.151 -14.5842
258.000000 85.144 -14.4620
262.000000 85.111 -14.2177
265.000000 85.072 -14.1600
269.000000 85.030 -14.2573
272.000000 85.001 -14.1860
276.000000 84.963 -13.9151
280.000000 84.934 -13.7061
285.000000 84.886 -13.5496
290.000000 84.839 -13.4552
295.000000 84.805 -13.1732
300.000000 84.769 -12.9320
304.000000 84.731 -12.8134
307.000000 84.704 -12.6840
311.000000 84.675 -12.4906
315.000000 84.648 -12.3278
320.000000 84.608 -12.0506
325.000000 84.573 -11.7196
330.000000 84.546 -11.4722
335.000000 84.516 -11.2808
