* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:10:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 hifi L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.563 27.1714
1.015000 55.624 26.1270
1.030000 55.683 25.0791
1.044000 55.735 24.0828
1.060000 55.791 22.9223
1.075000 55.841 21.8161
1.090000 55.887 20.6960
1.106000 55.933 19.4899
1.120000 55.970 18.4287
1.138000 56.014 17.0621
1.150000 56.041 16.1531
1.172000 56.083 14.4998
1.180000 56.097 13.9052
1.206000 56.134 12.0099
1.220000 56.149 11.0198
1.241000 56.166 9.5866
1.250000 56.170 8.9948
1.265000 56.175 8.0430
1.280000 56.176 7.1392
1.315000 56.162 5.2502
1.320000 56.158 5.0085
1.340000 56.137 4.1146
1.360000 56.106 3.3112
1.380000 56.061 2.5470
1.400000 56.002 1.8060
1.430000 55.893 0.7437
1.450000 55.807 0.0766
1.475000 55.691 -0.6991
1.500000 55.565 -1.3955
1.525000 55.435 -1.9949
1.550000 55.304 -2.4775
1.575000 55.174 -2.8210
1.600000 55.049 -3.0009
1.625000 54.933 -2.9913
1.650000 54.829 -2.7655
1.675000 54.738 -2.3002
1.700000 54.651 -1.5926
1.725000 54.551 -0.6580
1.750000 54.437 0.5043
1.775000 54.316 1.9026
1.800000 54.195 3.5435
1.825000 54.079 5.4283
1.850000 53.977 7.5504
1.875000 53.894 9.8921
1.900000 53.839 12.4219
1.925000 53.818 15.0937
1.950000 53.837 17.8479
1.975000 53.905 20.6154
2.000000 54.028 23.3298
2.030000 54.257 26.4824
2.060000 54.580 29.5815
2.090000 54.987 32.6035
2.120000 55.466 35.4548
2.140000 55.816 37.2184
2.180000 56.574 40.3380
2.200000 56.973 41.6717
2.240000 57.786 43.8633
2.270000 58.395 45.0898
2.300000 58.985 45.9693
2.330000 59.545 46.5224
2.360000 60.072 46.7970
2.400000 60.752 46.8974
2.430000 61.260 46.8476
2.470000 61.937 46.6333
2.500000 62.439 46.3633
2.540000 63.099 45.8597
2.580000 63.742 45.1943
2.620000 64.361 44.3685
2.650000 64.807 43.6446
2.690000 65.372 42.5460
2.720000 65.775 41.6403
2.760000 66.289 40.3627
2.800000 66.777 39.0331
2.850000 67.355 37.3234
2.900000 67.902 35.5775
2.950000 68.422 33.8018
3.000000 68.920 31.9932
3.040000 69.302 30.5116
3.070000 69.578 29.3720
3.110000 69.931 27.8194
3.150000 70.266 26.2463
3.200000 70.663 24.2781
3.250000 71.038 22.3313
3.300000 71.395 20.4218
3.350000 71.735 18.5517
3.400000 72.058 16.6902
3.450000 72.361 14.8017
3.500000 72.645 12.9014
3.550000 72.912 11.0197
3.600000 73.163 9.1839
3.650000 73.400 7.4143
3.700000 73.625 5.7147
3.750000 73.837 4.0511
3.820000 74.107 1.7327
3.870000 74.284 0.1030
3.950000 74.544 -2.3962
4.000000 74.695 -3.8595
4.060000 74.866 -5.5099
4.120000 75.021 -7.0888
4.180000 75.162 -8.6135
4.250000 75.312 -10.3026
4.310000 75.435 -11.6474
4.370000 75.554 -12.8776
4.440000 75.685 -14.1746
4.500000 75.791 -15.1908
4.550000 75.876 -15.9774
4.620000 75.995 -16.9899
4.680000 76.101 -17.7741
4.750000 76.232 -18.5816
4.820000 76.367 -19.2701
4.870000 76.466 -19.7038
4.940000 76.611 -20.2589
5.000000 76.744 -20.7088
5.080000 76.937 -21.2799
5.150000 77.119 -21.7305
5.220000 77.312 -22.1513
5.300000 77.543 -22.6488
5.380000 77.784 -23.2102
5.450000 78.003 -23.7487
5.520000 78.232 -24.3143
5.600000 78.498 -25.0100
5.700000 78.832 -25.9967
5.800000 79.163 -27.1273
5.900000 79.492 -28.3669
6.000000 79.812 -29.6989
6.080000 80.056 -30.8324
6.150000 80.262 -31.8760
6.220000 80.462 -32.9575
6.300000 80.680 -34.2195
6.400000 80.936 -35.8134
6.500000 81.174 -37.4353
6.600000 81.393 -39.0748
6.700000 81.597 -40.6891
6.800000 81.785 -42.2646
6.900000 81.958 -43.8142
7.000000 82.119 -45.3195
7.100000 82.270 -46.7594
7.200000 82.413 -48.1400
7.300000 82.548 -49.4682
7.400000 82.679 -50.7402
7.500000 82.808 -51.9540
7.620000 82.959 -53.3474
7.750000 83.121 -54.8013
7.880000 83.284 -56.2056
8.000000 83.434 -57.4704
8.120000 83.582 -58.7246
8.250000 83.740 -60.0753
8.380000 83.893 -61.4167
8.500000 84.027 -62.6518
8.620000 84.155 -63.8801
8.750000 84.283 -65.1826
8.850000 84.374 -66.1610
9.000000 84.500 -67.5791
9.120000 84.592 -68.6447
9.250000 84.683 -69.7244
9.380000 84.770 -70.7188
9.500000 84.849 -71.5487
9.620000 84.929 -72.2990
9.750000 85.020 -73.0350
9.880000 85.121 -73.6969
10.000000 85.222 -74.2600
10.150000 85.362 -74.9416
10.300000 85.519 -75.6195
10.440000 85.676 -76.2924
10.600000 85.867 -77.1387
10.750000 86.049 -78.0223
10.900000 86.229 -79.0095
11.060000 86.414 -80.1618
11.200000 86.563 -81.2417
11.380000 86.734 -82.6988
11.500000 86.833 -83.6835
11.720000 86.984 -85.4736
11.800000 87.029 -86.0996
12.060000 87.148 -87.9962
12.200000 87.200 -88.9017
12.410000 87.269 -90.0957
12.500000 87.299 -90.5484
12.650000 87.353 -91.2316
12.800000 87.413 -91.8472
13.150000 87.589 -93.1451
13.200000 87.618 -93.3293
13.400000 87.743 -94.0903
13.600000 87.874 -94.9210
13.800000 88.005 -95.8314
14.000000 88.129 -96.8162
14.300000 88.290 -98.3707
14.500000 88.380 -99.4078
14.750000 88.473 -100.6444
15.000000 88.553 -101.7692
15.250000 88.630 -102.7680
15.500000 88.713 -103.6577
15.750000 88.808 -104.4829
16.000000 88.916 -105.2995
16.250000 89.035 -106.1552
16.500000 89.159 -107.0794
16.750000 89.280 -108.0789
17.000000 89.393 -109.1387
17.250000 89.494 -110.2326
17.500000 89.584 -111.3312
17.750000 89.662 -112.4079
18.000000 89.730 -113.4440
18.250000 89.792 -114.4287
18.500000 89.849 -115.3568
18.750000 89.903 -116.2273
19.000000 89.958 -117.0426
19.250000 90.014 -117.8094
19.500000 90.074 -118.5392
19.750000 90.138 -119.2493
20.000000 90.207 -119.9597
20.299999 90.293 -120.8373
20.600000 90.377 -121.7546
20.900000 90.453 -122.6982
21.200001 90.516 -123.6311
21.400000 90.553 -124.2248
21.799999 90.621 -125.3080
22.000000 90.657 -125.8015
22.400000 90.745 -126.7602
22.700001 90.820 -127.5310
23.000000 90.895 -128.3942
23.299999 90.955 -129.3383
23.600000 90.992 -130.2938
24.000000 91.007 -131.4151
24.299999 91.010 -132.0473
24.700001 91.039 -132.6313
25.000000 91.098 -133.0092
25.400000 91.220 -133.7001
25.799999 91.350 -134.7774
26.200001 91.436 -136.1607
26.500000 91.457 -137.2260
26.900000 91.438 -138.4291
27.200001 91.413 -139.0810
27.600000 91.404 -139.6718
28.000000 91.441 -140.1724
28.500000 91.526 -141.0171
29.000000 91.595 -142.1564
29.500000 91.620 -143.3319
30.000000 91.624 -144.3309
30.400000 91.630 -145.0235
30.700001 91.640 -145.5307
31.100000 91.651 -146.2202
31.500000 91.652 -146.8964
32.000000 91.645 -147.6302
32.500000 91.649 -148.2131
33.000000 91.679 -148.7641
33.500000 91.729 -149.4361
34.000000 91.775 -150.2709
34.500000 91.804 -151.1914
35.000000 91.815 -152.1016
35.500000 91.817 -152.9543
36.000000 91.815 -153.7460
36.500000 91.814 -154.4827
37.000000 91.816 -155.1724
37.500000 91.824 -155.8382
38.200001 91.842 -156.7912
38.700001 91.854 -157.5013
39.500000 91.859 -158.6231
40.000000 91.857 -159.2761
40.599998 91.855 -160.0138
41.200001 91.855 -160.7255
41.799999 91.855 -161.4260
42.500000 91.855 -162.2446
43.099998 91.852 -162.9581
43.700001 91.843 -163.6688
44.400002 91.828 -164.4672
45.000000 91.812 -165.1228
45.500000 91.795 -165.6387
46.200001 91.773 -166.2769
46.799999 91.767 -166.7730
47.500000 91.771 -167.4107
48.200001 91.768 -168.1308
48.700001 91.758 -168.6275
49.400002 91.742 -169.2674
50.000000 91.730 -169.8186
50.799999 91.701 -170.5318
51.500000 91.674 -171.0606
52.200001 91.657 -171.5937
53.000000 91.624 -172.2525
53.799999 91.580 -172.7551
54.500000 91.564 -173.1126
55.200001 91.561 -173.6113
56.000000 91.532 -174.2889
57.000000 91.477 -174.8965
58.000000 91.459 -175.4572
59.000000 91.432 -176.2556
60.000000 91.374 -176.9480
60.799999 91.340 -177.3590
61.500000 91.325 -177.7628
62.200001 91.308 -178.2624
63.000000 91.272 -178.8466
64.000000 91.219 -179.4313
65.000000 91.174 -179.9416
66.000000 91.129 179.6436
67.000000 91.113 179.2820
68.000000 91.099 178.6583
69.000000 91.049 178.0547
70.000000 91.009 177.5772
71.000000 90.967 176.9560
72.000000 90.899 176.4484
73.000000 90.853 176.1035
74.000000 90.820 175.6418
75.000000 90.767 175.1815
76.199997 90.705 174.8383
77.500000 90.661 174.4798
78.800003 90.615 174.0018
80.000000 90.555 173.5135
81.199997 90.482 173.1072
82.500000 90.417 172.7969
83.800003 90.378 172.4164
85.000000 90.338 171.9415
86.199997 90.289 171.4937
87.500000 90.238 171.0519
88.500000 90.199 170.7079
90.000000 90.137 170.1878
91.199997 90.080 169.8055
92.500000 90.015 169.4837
93.800003 89.956 169.2384
95.000000 89.906 169.0276
96.199997 89.856 168.8024
97.500000 89.800 168.5469
98.800003 89.745 168.2832
100.000000 89.695 168.0229
101.500000 89.630 167.7056
103.000000 89.561 167.4900
104.400002 89.504 167.3643
106.000000 89.440 167.1616
107.500000 89.369 166.9214
109.000000 89.298 166.6839
110.599998 89.228 166.3730
112.000000 89.166 166.1219
113.800003 89.095 165.9193
115.000000 89.051 165.7844
117.199997 88.958 165.5062
118.000000 88.923 165.4089
120.599998 88.814 165.0725
122.000000 88.765 164.9248
124.099998 88.703 164.7267
125.000000 88.677 164.6378
126.500000 88.629 164.4767
128.000000 88.576 164.3124
131.500000 88.452 164.0304
132.000000 88.435 164.0059
134.000000 88.366 163.9289
136.000000 88.287 163.8643
138.000000 88.205 163.7793
140.000000 88.130 163.6588
143.000000 88.032 163.4684
145.000000 87.965 163.4210
147.500000 87.879 163.3939
150.000000 87.792 163.3425
152.500000 87.707 163.2875
155.000000 87.629 163.2584
157.500000 87.551 163.1951
160.000000 87.477 163.0915
162.500000 87.411 163.0298
165.000000 87.344 163.0532
167.500000 87.265 163.1520
170.000000 87.181 163.2104
172.500000 87.103 163.2142
175.000000 87.039 163.1895
177.500000 86.972 163.1643
180.000000 86.900 163.2155
182.500000 86.836 163.2816
185.000000 86.776 163.3152
187.500000 86.711 163.3923
190.000000 86.649 163.5067
192.500000 86.590 163.6048
195.000000 86.529 163.6801
197.500000 86.463 163.7419
200.000000 86.398 163.7541
203.000000 86.326 163.7861
206.000000 86.264 163.9044
209.000000 86.200 164.0834
212.000000 86.133 164.2304
214.000000 86.088 164.3152
218.000000 85.993 164.4612
220.000000 85.940 164.5696
224.000000 85.849 164.8503
227.000000 85.791 165.0192
230.000000 85.734 165.1539
233.000000 85.679 165.2899
236.000000 85.624 165.4041
240.000000 85.550 165.5168
243.000000 85.488 165.7173
247.000000 85.379 166.1913
250.000000 85.290 166.3266
254.000000 85.217 166.2631
258.000000 85.167 166.4894
262.000000 85.099 166.8472
265.000000 85.047 167.0997
269.000000 84.966 167.5137
272.000000 84.902 167.7998
276.000000 84.838 168.1757
280.000000 84.780 168.6270
285.000000 84.729 169.3213
290.000000 84.707 169.8499
295.000000 84.676 170.1782
300.000000 84.599 170.3631
304.000000 84.492 170.4326
307.000000 84.430 170.5641
311.000000 84.409 170.6426
315.000000 84.390 170.6721
320.000000 84.344 170.9458
325.000000 84.306 171.4028
330.000000 84.251 171.7594
