* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:26:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 hifi R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.492 115.1249
1.015000 49.977 113.5910
1.030000 50.435 112.0476
1.044000 50.851 110.6166
1.060000 51.316 109.0045
1.075000 51.740 107.5231
1.090000 52.154 106.0757
1.106000 52.585 104.5722
1.120000 52.954 103.2922
1.138000 53.416 101.6955
1.150000 53.717 100.6610
1.172000 54.254 98.8242
1.180000 54.445 98.1745
1.206000 55.050 96.1248
1.220000 55.366 95.0569
1.241000 55.829 93.4964
1.250000 56.023 92.8412
1.265000 56.341 91.7650
1.280000 56.653 90.7065
1.315000 57.356 88.2892
1.320000 57.454 87.9484
1.340000 57.840 86.5920
1.360000 58.212 85.2408
1.380000 58.568 83.8910
1.400000 58.907 82.5457
1.430000 59.385 80.5440
1.450000 59.686 79.2243
1.475000 60.044 77.5943
1.500000 60.385 75.9871
1.525000 60.710 74.4029
1.550000 61.021 72.8403
1.575000 61.323 71.2974
1.600000 61.616 69.7712
1.625000 61.903 68.2582
1.650000 62.187 66.7542
1.675000 62.469 65.2526
1.700000 62.746 63.7382
1.725000 63.015 62.1980
1.750000 63.273 60.6379
1.775000 63.521 59.0694
1.800000 63.760 57.5029
1.825000 63.990 55.9471
1.850000 64.213 54.4088
1.875000 64.428 52.8935
1.900000 64.636 51.4053
1.925000 64.839 49.9469
1.950000 65.036 48.5202
1.975000 65.229 47.1255
2.000000 65.418 45.7612
2.030000 65.639 44.1479
2.060000 65.852 42.5254
2.090000 66.055 40.8839
2.120000 66.249 39.2342
2.140000 66.374 38.1362
2.180000 66.614 35.9604
2.200000 66.728 34.8889
2.240000 66.948 32.7921
2.270000 67.106 31.2691
2.300000 67.257 29.7957
2.330000 67.404 28.3752
2.360000 67.545 26.9994
2.400000 67.723 25.1832
2.430000 67.848 23.8148
2.470000 68.004 21.9917
2.500000 68.114 20.6372
2.540000 68.252 18.8666
2.580000 68.380 17.1565
2.620000 68.501 15.5277
2.650000 68.586 14.3706
2.690000 68.694 12.9185
2.720000 68.770 11.8783
2.760000 68.861 10.5222
2.800000 68.942 9.1960
2.850000 69.033 7.5967
2.900000 69.114 6.0891
2.950000 69.189 4.7041
3.000000 69.263 3.4729
3.040000 69.319 2.6084
3.070000 69.359 2.0203
3.110000 69.405 1.3022
3.150000 69.447 0.6546
3.200000 69.496 -0.0569
3.250000 69.549 -0.6569
3.300000 69.611 -1.1409
3.350000 69.686 -1.5008
3.400000 69.774 -1.7198
3.450000 69.869 -1.7913
3.500000 69.972 -1.7407
3.550000 70.087 -1.6049
3.600000 70.216 -1.4203
3.650000 70.365 -1.2208
3.700000 70.536 -1.0219
3.750000 70.730 -0.7922
3.820000 71.039 -0.3909
3.870000 71.281 -0.1005
3.950000 71.696 0.2388
4.000000 71.968 0.3134
4.060000 72.306 0.2538
4.120000 72.664 0.0998
4.180000 73.040 -0.1331
4.250000 73.489 -0.5499
4.310000 73.873 -1.0709
4.370000 74.250 -1.7622
4.440000 74.682 -2.7496
4.500000 75.051 -3.7051
4.550000 75.355 -4.5674
4.620000 75.770 -5.8745
4.680000 76.111 -7.0909
4.750000 76.491 -8.6287
4.820000 76.854 -10.2806
4.870000 77.103 -11.5093
4.940000 77.436 -13.2699
5.000000 77.706 -14.8011
5.080000 78.043 -16.8822
5.150000 78.316 -18.7665
5.220000 78.569 -20.6881
5.300000 78.836 -22.8739
5.380000 79.079 -25.0113
5.450000 79.271 -26.8662
5.520000 79.445 -28.7289
5.600000 79.622 -30.8294
5.700000 79.816 -33.3315
5.800000 79.978 -35.6937
5.900000 80.111 -37.9667
6.000000 80.220 -40.0901
6.080000 80.294 -41.6389
6.150000 80.349 -42.8964
6.220000 80.395 -44.0745
6.300000 80.441 -45.3170
6.400000 80.497 -46.6886
6.500000 80.552 -47.8480
6.600000 80.607 -48.8250
6.700000 80.672 -49.6548
6.800000 80.754 -50.3408
6.900000 80.850 -50.8878
7.000000 80.963 -51.3599
7.100000 81.096 -51.8093
7.200000 81.250 -52.2320
7.300000 81.421 -52.6577
7.400000 81.603 -53.1432
7.500000 81.796 -53.7027
7.620000 82.038 -54.4589
7.750000 82.301 -55.4085
7.880000 82.558 -56.5043
8.000000 82.787 -57.6090
8.120000 83.001 -58.7770
8.250000 83.213 -60.1074
8.380000 83.406 -61.4492
8.500000 83.565 -62.6624
8.620000 83.708 -63.8467
8.750000 83.850 -65.0544
8.850000 83.952 -65.9150
9.000000 84.095 -67.1028
9.120000 84.210 -67.9565
9.250000 84.337 -68.7848
9.380000 84.471 -69.5457
9.500000 84.605 -70.2091
9.620000 84.749 -70.8483
9.750000 84.916 -71.5584
9.880000 85.093 -72.3137
10.000000 85.263 -73.0612
10.150000 85.478 -74.1009
10.300000 85.691 -75.2616
10.440000 85.881 -76.4450
10.600000 86.082 -77.9107
10.750000 86.250 -79.3533
10.900000 86.394 -80.8311
11.060000 86.521 -82.4050
11.200000 86.610 -83.7341
11.380000 86.698 -85.3456
11.500000 86.744 -86.3268
11.720000 86.810 -87.9096
11.800000 86.833 -88.4110
12.060000 86.910 -89.7801
12.200000 86.963 -90.3842
12.410000 87.063 -91.1743
12.500000 87.114 -91.4957
12.650000 87.211 -92.0289
12.800000 87.318 -92.5891
13.150000 87.591 -94.1016
13.200000 87.629 -94.3444
13.400000 87.779 -95.3727
13.600000 87.914 -96.4620
13.800000 88.032 -97.5674
14.000000 88.132 -98.6378
14.300000 88.259 -100.0968
14.500000 88.337 -100.9478
14.750000 88.440 -101.8856
15.000000 88.556 -102.7408
15.250000 88.687 -103.5892
15.500000 88.826 -104.4938
15.750000 88.963 -105.4881
16.000000 89.089 -106.5609
16.250000 89.196 -107.6678
16.500000 89.282 -108.7526
16.750000 89.351 -109.7627
17.000000 89.412 -110.6716
17.250000 89.473 -111.4860
17.500000 89.539 -112.2391
17.750000 89.613 -112.9803
18.000000 89.691 -113.7510
18.250000 89.767 -114.5698
18.500000 89.834 -115.4281
18.750000 89.888 -116.2927
19.000000 89.930 -117.1207
19.250000 89.965 -117.8792
19.500000 89.999 -118.5560
19.750000 90.041 -119.1673
20.000000 90.095 -119.7533
20.299999 90.176 -120.4921
20.600000 90.267 -121.3318
20.900000 90.357 -122.2928
21.200001 90.436 -123.3474
21.400000 90.480 -124.0754
21.799999 90.549 -125.5237
22.000000 90.577 -126.2262
22.400000 90.627 -127.5838
22.700001 90.659 -128.5693
23.000000 90.683 -129.5183
23.299999 90.699 -130.3959
23.600000 90.710 -131.1555
24.000000 90.739 -131.9561
24.299999 90.788 -132.4586
24.700001 90.898 -133.2184
25.000000 91.001 -134.0105
25.400000 91.119 -135.4399
25.799999 91.164 -137.1084
26.200001 91.120 -138.6067
26.500000 91.049 -139.3764
26.900000 90.965 -139.8189
27.200001 90.952 -139.8429
27.600000 91.021 -139.8560
28.000000 91.154 -140.2523
28.500000 91.311 -141.4370
29.000000 91.380 -142.9706
29.500000 91.373 -144.3304
30.000000 91.341 -145.3148
30.400000 91.323 -145.8767
30.700001 91.319 -146.2037
31.100000 91.330 -146.5504
31.500000 91.367 -146.8667
32.000000 91.446 -147.3974
32.500000 91.528 -148.2092
33.000000 91.572 -149.1776
33.500000 91.580 -150.0398
34.000000 91.589 -150.7363
34.500000 91.616 -151.4740
35.000000 91.629 -152.3707
35.500000 91.600 -153.2283
36.000000 91.560 -153.8168
36.500000 91.565 -154.2735
37.000000 91.609 -154.9906
37.500000 91.626 -156.0728
38.200001 91.544 -157.4524
38.700001 91.482 -157.9086
39.500000 91.537 -158.4647
40.000000 91.613 -159.3245
40.599998 91.639 -160.7402
41.200001 91.580 -161.9731
41.799999 91.491 -162.6409
42.500000 91.447 -162.7511
43.099998 91.512 -162.7747
43.700001 91.634 -163.3934
44.400002 91.686 -164.8507
45.000000 91.612 -165.8752
45.500000 91.546 -166.2127
46.200001 91.554 -166.5880
46.799999 91.570 -167.4717
47.500000 91.469 -168.5986
48.200001 91.323 -168.8345
48.700001 91.290 -168.6264
49.400002 91.344 -168.6372
50.000000 91.400 -169.1362
50.799999 91.421 -170.1264
51.500000 91.386 -170.9762
52.200001 91.326 -171.5963
53.000000 91.277 -172.1590
53.799999 91.225 -172.8961
54.500000 91.143 -173.4192
55.200001 91.086 -173.6621
56.000000 91.084 -174.1493
57.000000 91.022 -175.2040
58.000000 90.929 -175.4008
59.000000 91.006 -175.3981
60.000000 91.091 -176.3467
60.799999 91.063 -177.1432
61.500000 91.006 -177.4919
62.200001 90.955 -177.5271
63.000000 90.947 -177.4514
64.000000 90.977 -178.0477
65.000000 90.879 -179.1949
66.000000 90.727 -179.7326
67.000000 90.656 179.5865
68.000000 90.551 178.5656
69.000000 90.463 177.9396
70.000000 90.458 177.2219
71.000000 90.433 176.1893
72.000000 90.361 175.7244
73.000000 90.370 175.7826
74.000000 90.410 175.4467
75.000000 90.392 175.0942
76.199997 90.344 174.7429
77.500000 90.249 174.5958
78.800003 90.213 174.2247
80.000000 90.116 173.5949
81.199997 90.049 173.3428
82.500000 90.002 172.8926
83.800003 89.978 172.7085
85.000000 89.989 172.3580
86.199997 89.963 171.8218
87.500000 89.880 171.5644
88.500000 89.851 171.6428
90.000000 89.827 171.2134
91.199997 89.765 170.7633
92.500000 89.662 170.2640
93.800003 89.559 170.2878
95.000000 89.556 170.1363
96.199997 89.517 169.3342
97.500000 89.400 168.7943
98.800003 89.312 168.4926
100.000000 89.207 168.1346
101.500000 89.081 168.3304
103.000000 89.056 168.3842
104.400002 88.999 168.0103
106.000000 88.911 168.1875
107.500000 88.914 168.3403
109.000000 88.890 167.8252
110.599998 88.772 167.1159
112.000000 88.639 166.7036
113.800003 88.529 166.4220
115.000000 88.504 166.2693
117.199997 88.531 166.2378
118.000000 88.545 166.2107
120.599998 88.466 166.3188
122.000000 88.388 166.4670
124.099998 88.248 166.2574
125.000000 88.187 166.0910
126.500000 88.105 165.7989
128.000000 88.056 165.5531
131.500000 87.986 165.1031
132.000000 87.967 165.0596
134.000000 87.873 165.0140
136.000000 87.758 165.0566
138.000000 87.681 165.1407
140.000000 87.626 165.0240
143.000000 87.538 164.8489
145.000000 87.462 164.9759
147.500000 87.385 164.7021
150.000000 87.263 164.6349
152.500000 87.250 164.6987
155.000000 87.165 164.0714
157.500000 86.970 164.4545
160.000000 86.929 165.3012
162.500000 86.980 165.1516
165.000000 86.972 164.3506
167.500000 86.898 163.8191
170.000000 86.807 163.6528
172.500000 86.718 163.6733
175.000000 86.658 163.9201
177.500000 86.599 164.4564
180.000000 86.495 165.2070
182.500000 86.351 165.6017
185.000000 86.234 165.4318
187.500000 86.163 165.1574
190.000000 86.104 165.2967
192.500000 86.024 165.7227
195.000000 85.954 165.9109
197.500000 85.899 166.0511
200.000000 85.856 166.0812
203.000000 85.771 166.1183
206.000000 85.718 166.1318
209.000000 85.645 166.3788
212.000000 85.559 166.7184
214.000000 85.499 166.6795
218.000000 85.377 166.6476
220.000000 85.321 167.0116
224.000000 85.267 167.7375
227.000000 85.232 167.8425
230.000000 85.198 168.0753
233.000000 85.155 168.0977
236.000000 85.055 168.3222
240.000000 84.944 168.9438
243.000000 84.924 168.6249
247.000000 84.920 168.1989
250.000000 84.856 168.6194
254.000000 84.715 169.0859
258.000000 84.622 169.4861
262.000000 84.507 170.1230
265.000000 84.410 170.1938
269.000000 84.349 170.2317
272.000000 84.317 170.6897
276.000000 84.240 171.4756
280.000000 84.173 171.9210
285.000000 84.124 172.2441
290.000000 84.056 172.6400
295.000000 83.995 172.9119
300.000000 83.909 173.3063
304.000000 83.855 173.7510
307.000000 83.829 174.0559
311.000000 83.792 174.3779
315.000000 83.743 174.7197
320.000000 83.690 175.1657
325.000000 83.647 175.5029
330.000000 83.603 175.8265
