* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:13:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 hifi anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.974 -153.0646
1.015000 51.977 -155.2990
1.030000 51.978 -157.6454
1.044000 51.976 -159.9646
1.060000 51.970 -162.7724
1.075000 51.961 -165.5548
1.090000 51.952 -168.4779
1.106000 51.941 -171.7431
1.120000 51.932 -174.7159
1.138000 51.924 -178.6801
1.150000 51.920 178.6000
1.172000 51.920 173.4860
1.180000 51.923 171.5949
1.206000 51.944 165.3824
1.220000 51.965 162.0219
1.241000 52.010 157.0035
1.250000 52.035 154.8713
1.265000 52.086 151.3543
1.280000 52.149 147.8940
1.315000 52.346 140.0886
1.320000 52.381 139.0068
1.340000 52.537 134.7583
1.360000 52.725 130.6008
1.380000 52.943 126.4927
1.400000 53.192 122.4476
1.430000 53.613 116.5612
1.450000 53.921 112.7909
1.475000 54.331 108.2762
1.500000 54.763 103.9926
1.525000 55.211 99.9395
1.550000 55.667 96.1066
1.575000 56.126 92.4772
1.600000 56.581 89.0306
1.625000 57.026 85.7443
1.650000 57.454 82.5948
1.675000 57.862 79.5559
1.700000 58.254 76.5936
1.725000 58.644 73.6873
1.750000 59.035 70.8495
1.775000 59.426 68.0977
1.800000 59.815 65.4437
1.825000 60.202 62.8942
1.850000 60.585 60.4511
1.875000 60.962 58.1129
1.900000 61.333 55.8753
1.925000 61.695 53.7318
1.950000 62.047 51.6750
1.975000 62.389 49.6960
2.000000 62.718 47.7838
2.030000 63.097 45.5493
2.060000 63.459 43.3395
2.090000 63.808 41.1481
2.120000 64.143 38.9899
2.140000 64.360 37.5769
2.180000 64.778 34.8274
2.200000 64.979 33.4957
2.240000 65.367 30.9257
2.270000 65.646 29.0824
2.300000 65.916 27.3112
2.330000 66.177 25.6083
2.360000 66.430 23.9573
2.400000 66.750 21.7734
2.430000 66.978 20.1301
2.470000 67.265 17.9501
2.500000 67.469 16.3398
2.540000 67.726 14.2480
2.580000 67.968 12.2401
2.620000 68.196 10.3350
2.650000 68.358 8.9814
2.690000 68.563 7.2726
2.720000 68.707 6.0314
2.760000 68.886 4.3838
2.800000 69.049 2.7455
2.850000 69.233 0.7448
2.900000 69.396 -1.1583
2.950000 69.542 -2.9174
3.000000 69.672 -4.4929
3.040000 69.764 -5.6210
3.070000 69.824 -6.4192
3.110000 69.892 -7.4448
3.150000 69.947 -8.4226
3.200000 70.001 -9.5522
3.250000 70.045 -10.5433
3.300000 70.084 -11.3549
3.350000 70.121 -11.9501
3.400000 70.152 -12.3270
3.450000 70.168 -12.5206
3.500000 70.174 -12.5451
3.550000 70.181 -12.4005
3.600000 70.200 -12.0852
3.650000 70.240 -11.5985
3.700000 70.308 -10.9362
3.750000 70.402 -10.0799
3.820000 70.563 -8.5724
3.870000 70.702 -7.3472
3.950000 70.978 -5.3119
4.000000 71.190 -4.0895
4.060000 71.493 -2.7106
4.120000 71.853 -1.3634
4.180000 72.260 -0.0813
4.250000 72.775 1.1924
4.310000 73.233 1.9928
4.370000 73.694 2.4828
4.440000 74.243 2.7457
4.500000 74.731 2.7842
4.550000 75.142 2.6798
4.620000 75.713 2.2993
4.680000 76.186 1.7408
4.750000 76.714 0.8369
4.820000 77.224 -0.2682
4.870000 77.577 -1.1511
4.940000 78.054 -2.4991
5.000000 78.444 -3.7519
5.080000 78.933 -5.5663
5.150000 79.333 -7.2845
5.220000 79.709 -9.0848
5.300000 80.110 -11.1893
5.380000 80.480 -13.3168
5.450000 80.780 -15.2213
5.520000 81.055 -17.1755
5.600000 81.343 -19.4216
5.700000 81.667 -22.1676
5.800000 81.951 -24.8591
5.900000 82.195 -27.5425
6.000000 82.407 -30.1343
6.080000 82.555 -32.0988
6.150000 82.668 -33.7620
6.220000 82.768 -35.3838
6.300000 82.868 -37.1642
6.400000 82.978 -39.2354
6.500000 83.071 -41.1403
6.600000 83.150 -42.9077
6.700000 83.224 -44.5301
6.800000 83.296 -45.9922
6.900000 83.367 -47.3079
7.000000 83.442 -48.5131
7.100000 83.525 -49.6280
7.200000 83.618 -50.6487
7.300000 83.720 -51.6050
7.400000 83.831 -52.5439
7.500000 83.952 -53.4759
7.620000 84.109 -54.5880
7.750000 84.284 -55.8367
7.880000 84.464 -57.1533
8.000000 84.629 -58.4139
8.120000 84.786 -59.7184
8.250000 84.946 -61.1802
8.380000 85.094 -62.6511
8.500000 85.216 -63.9940
8.620000 85.326 -65.3173
8.750000 85.434 -66.6877
8.850000 85.511 -67.6833
9.000000 85.617 -69.0848
9.120000 85.702 -70.1133
9.250000 85.795 -71.1318
9.380000 85.895 -72.0782
9.500000 85.996 -72.9039
9.620000 86.107 -73.6954
9.750000 86.238 -74.5573
9.880000 86.379 -75.4495
10.000000 86.516 -76.3105
10.150000 86.690 -77.4753
10.300000 86.863 -78.7435
10.440000 87.015 -80.0084
10.600000 87.172 -81.5444
10.750000 87.297 -83.0242
10.900000 87.397 -84.5046
11.060000 87.478 -86.0378
11.200000 87.527 -87.2854
11.380000 87.566 -88.7272
11.500000 87.584 -89.5537
11.720000 87.611 -90.7756
11.800000 87.625 -91.1295
12.060000 87.697 -91.9956
12.200000 87.762 -92.3533
12.410000 87.896 -92.8521
12.500000 87.966 -93.0916
12.650000 88.096 -93.5520
12.800000 88.235 -94.1179
13.150000 88.555 -95.9017
13.200000 88.597 -96.2020
13.400000 88.743 -97.4777
13.600000 88.855 -98.7955
13.800000 88.933 -100.0675
14.000000 88.984 -101.2053
14.300000 89.036 -102.5579
14.500000 89.077 -103.2200
14.750000 89.156 -103.8578
15.000000 89.278 -104.4496
15.250000 89.436 -105.1740
15.500000 89.611 -106.1537
15.750000 89.776 -107.4283
16.000000 89.907 -108.9388
16.250000 89.987 -110.5615
16.500000 90.013 -112.1478
16.750000 89.990 -113.5456
17.000000 89.937 -114.6379
17.250000 89.876 -115.3668
17.500000 89.833 -115.7440
17.750000 89.830 -115.8588
18.000000 89.880 -115.8563
18.250000 89.983 -115.9003
18.500000 90.129 -116.1324
18.750000 90.297 -116.6453
19.000000 90.467 -117.4633
19.250000 90.620 -118.5519
19.500000 90.738 -119.8337
19.750000 90.815 -121.2026
20.000000 90.850 -122.5436
20.299999 90.843 -123.9675
20.600000 90.805 -125.0681
20.900000 90.765 -125.8057
21.200001 90.750 -126.2464
21.400000 90.762 -126.4471
21.799999 90.839 -126.8456
22.000000 90.896 -127.1195
22.400000 91.015 -127.8762
22.700001 91.092 -128.5741
23.000000 91.152 -129.2956
23.299999 91.201 -129.9742
23.600000 91.249 -130.5909
24.000000 91.322 -131.3740
24.299999 91.384 -132.0005
24.700001 91.464 -132.9479
25.000000 91.511 -133.7243
25.400000 91.550 -134.7593
25.799999 91.571 -135.6997
26.200001 91.591 -136.5235
26.500000 91.614 -137.1035
26.900000 91.654 -137.9047
27.200001 91.686 -138.5593
27.600000 91.721 -139.4993
28.000000 91.739 -140.4595
28.500000 91.742 -141.5735
29.000000 91.740 -142.5164
29.500000 91.755 -143.3251
30.000000 91.792 -144.1312
30.400000 91.829 -144.8547
30.700001 91.853 -145.4468
31.100000 91.869 -146.2520
31.500000 91.869 -146.9808
32.000000 91.864 -147.6783
32.500000 91.886 -148.1935
33.000000 91.946 -148.7632
33.500000 92.016 -149.5795
34.000000 92.057 -150.5999
34.500000 92.054 -151.6060
35.000000 92.027 -152.4246
35.500000 92.004 -153.0601
36.000000 91.994 -153.6331
36.500000 91.990 -154.2276
37.000000 91.982 -154.8272
37.500000 91.973 -155.3865
38.200001 91.973 -156.1394
38.700001 91.980 -156.7371
39.500000 91.974 -157.8071
40.000000 91.954 -158.4359
40.599998 91.927 -159.0584
41.200001 91.914 -159.5812
41.799999 91.916 -160.1109
42.500000 91.924 -160.8022
43.099998 91.927 -161.4415
43.700001 91.924 -162.1088
44.400002 91.903 -162.9014
45.000000 91.868 -163.5237
45.500000 91.832 -163.9492
46.200001 91.789 -164.4144
46.799999 91.764 -164.7817
47.500000 91.742 -165.2550
48.200001 91.715 -165.7515
48.700001 91.695 -166.0963
49.400002 91.669 -166.5756
50.000000 91.647 -166.9961
50.799999 91.614 -167.5477
51.500000 91.586 -168.0084
52.200001 91.559 -168.4603
53.000000 91.525 -168.9495
53.799999 91.493 -169.3808
54.500000 91.471 -169.7340
55.200001 91.453 -170.1002
56.000000 91.430 -170.5374
57.000000 91.394 -171.0628
58.000000 91.354 -171.5278
59.000000 91.316 -171.9463
60.000000 91.282 -172.3566
60.799999 91.254 -172.6954
61.500000 91.226 -172.9855
62.200001 91.196 -173.2519
63.000000 91.165 -173.5299
64.000000 91.128 -173.8724
65.000000 91.092 -174.2135
66.000000 91.057 -174.5441
67.000000 91.022 -174.8657
68.000000 90.989 -175.1714
69.000000 90.957 -175.4825
70.000000 90.922 -175.7860
71.000000 90.888 -176.0663
72.000000 90.855 -176.3396
73.000000 90.822 -176.5929
74.000000 90.793 -176.8420
75.000000 90.764 -177.0991
76.199997 90.729 -177.3840
77.500000 90.693 -177.6683
78.800003 90.657 -177.9475
80.000000 90.621 -178.1947
81.199997 90.585 -178.4288
82.500000 90.547 -178.6758
83.800003 90.511 -178.9310
85.000000 90.479 -179.1770
86.199997 90.447 -179.4202
87.500000 90.412 -179.6638
88.500000 90.385 -179.8368
90.000000 90.347 179.9103
91.199997 90.318 179.6941
92.500000 90.287 179.4389
93.800003 90.253 179.1791
95.000000 90.221 178.9510
96.199997 90.189 178.7350
97.500000 90.154 178.5145
98.800003 90.120 178.3060
100.000000 90.088 178.1207
101.500000 90.048 177.8880
103.000000 90.007 177.6551
104.400002 89.966 177.4273
106.000000 89.917 177.1652
107.500000 89.869 176.9154
109.000000 89.821 176.6556
110.599998 89.771 176.3885
112.000000 89.729 176.1699
113.800003 89.674 175.9016
115.000000 89.635 175.7343
117.199997 89.556 175.4554
118.000000 89.527 175.3585
120.599998 89.434 175.0129
122.000000 89.381 174.8151
124.099998 89.299 174.5712
125.000000 89.263 174.4840
126.500000 89.202 174.3555
128.000000 89.140 174.2394
131.500000 88.993 173.9789
132.000000 88.972 173.9462
134.000000 88.885 173.8387
136.000000 88.796 173.7656
138.000000 88.707 173.7190
140.000000 88.618 173.7000
143.000000 88.487 173.7397
145.000000 88.399 173.8005
147.500000 88.291 173.9176
150.000000 88.188 174.0298
152.500000 88.089 174.1753
155.000000 87.997 174.3821
157.500000 87.910 174.6204
160.000000 87.825 174.8691
162.500000 87.747 175.1313
165.000000 87.671 175.3806
167.500000 87.597 175.6719
170.000000 87.530 175.9825
172.500000 87.467 176.2734
175.000000 87.404 176.5819
177.500000 87.344 176.9103
180.000000 87.290 177.2235
182.500000 87.240 177.4947
185.000000 87.191 177.7620
187.500000 87.144 178.0443
190.000000 87.097 178.3286
192.500000 87.052 178.6071
195.000000 87.011 178.8710
197.500000 86.971 179.1336
200.000000 86.930 179.4069
203.000000 86.881 179.7228
206.000000 86.834 179.9965
209.000000 86.788 -179.7386
212.000000 86.742 -179.4738
214.000000 86.712 -179.3024
218.000000 86.655 -178.9675
220.000000 86.627 -178.7996
224.000000 86.568 -178.4678
227.000000 86.522 -178.2207
230.000000 86.473 -177.9620
233.000000 86.424 -177.6907
236.000000 86.376 -177.4077
240.000000 86.311 -177.0358
243.000000 86.262 -176.7844
247.000000 86.197 -176.4634
250.000000 86.149 -176.2035
254.000000 86.084 -175.8340
258.000000 86.017 -175.4366
262.000000 85.948 -175.0340
265.000000 85.895 -174.7244
269.000000 85.825 -174.2947
272.000000 85.772 -173.9758
276.000000 85.695 -173.4806
280.000000 85.622 -172.8746
285.000000 85.539 -172.1889
290.000000 85.450 -171.5317
295.000000 85.382 -170.5960
300.000000 85.343 -169.6664
304.000000 85.333 -169.0856
307.000000 85.319 -168.6579
