* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:21:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 hifi anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.480 72.1839
1.015000 54.586 71.5249
1.030000 54.691 70.8910
1.044000 54.788 70.3175
1.060000 54.898 69.6814
1.075000 55.001 69.1027
1.090000 55.102 68.5400
1.106000 55.210 67.9565
1.120000 55.303 67.4597
1.138000 55.424 66.8388
1.150000 55.503 66.4359
1.172000 55.650 65.7197
1.180000 55.704 65.4663
1.206000 55.878 64.6690
1.220000 55.972 64.2562
1.241000 56.115 63.6590
1.250000 56.176 63.4113
1.265000 56.280 63.0094
1.280000 56.384 62.6215
1.315000 56.633 61.7726
1.320000 56.670 61.6580
1.340000 56.816 61.2170
1.360000 56.965 60.8091
1.380000 57.115 60.4392
1.400000 57.267 60.1048
1.430000 57.496 59.6584
1.450000 57.651 59.3902
1.475000 57.846 59.0797
1.500000 58.044 58.7892
1.525000 58.243 58.5109
1.550000 58.446 58.2381
1.575000 58.651 57.9646
1.600000 58.858 57.6850
1.625000 59.069 57.3944
1.650000 59.282 57.0890
1.675000 59.498 56.7689
1.700000 59.719 56.4504
1.725000 59.943 56.1567
1.750000 60.172 55.8883
1.775000 60.405 55.6365
1.800000 60.640 55.3921
1.825000 60.878 55.1469
1.850000 61.119 54.8936
1.875000 61.360 54.6254
1.900000 61.602 54.3366
1.925000 61.845 54.0219
1.950000 62.088 53.6771
1.975000 62.329 53.2985
2.000000 62.570 52.8847
2.030000 62.858 52.3528
2.060000 63.147 51.8141
2.090000 63.437 51.2815
2.120000 63.730 50.7496
2.140000 63.925 50.3916
2.180000 64.315 49.6581
2.200000 64.509 49.2787
2.240000 64.895 48.4857
2.270000 65.182 47.8551
2.300000 65.465 47.1888
2.330000 65.744 46.4839
2.360000 66.018 45.7431
2.400000 66.379 44.7257
2.430000 66.646 43.9539
2.470000 66.999 42.9158
2.500000 67.261 42.1293
2.540000 67.605 41.0673
2.580000 67.942 39.9866
2.620000 68.272 38.8826
2.650000 68.515 38.0366
2.690000 68.831 36.8817
2.720000 69.064 35.9966
2.760000 69.367 34.7988
2.800000 69.663 33.5888
2.850000 70.023 32.0689
2.900000 70.373 30.5489
2.950000 70.711 29.0334
3.000000 71.039 27.5231
3.040000 71.293 26.3137
3.070000 71.479 25.4003
3.110000 71.720 24.1733
3.150000 71.955 22.9423
3.200000 72.238 21.4098
3.250000 72.511 19.8962
3.300000 72.775 18.4112
3.350000 73.031 16.9588
3.400000 73.278 15.5269
3.450000 73.514 14.0975
3.500000 73.741 12.6749
3.550000 73.960 11.2717
3.600000 74.171 9.9000
3.650000 74.377 8.5699
3.700000 74.577 7.2857
3.750000 74.770 6.0360
3.820000 75.029 4.3225
3.870000 75.206 3.1273
3.950000 75.481 1.2809
4.000000 75.650 0.1774
4.060000 75.850 -1.0909
4.120000 76.045 -2.3067
4.180000 76.235 -3.4799
4.250000 76.453 -4.8026
4.310000 76.640 -5.9001
4.370000 76.829 -6.9640
4.440000 77.050 -8.1543
4.500000 77.239 -9.1329
4.550000 77.398 -9.9293
4.620000 77.621 -11.0330
4.680000 77.814 -11.9808
4.750000 78.043 -13.0866
4.820000 78.276 -14.1764
4.870000 78.443 -14.9503
4.940000 78.679 -16.0453
5.000000 78.880 -17.0100
5.080000 79.149 -18.3428
5.150000 79.385 -19.5378
5.220000 79.620 -20.7544
5.300000 79.885 -22.1815
5.380000 80.142 -23.6623
5.450000 80.362 -25.0075
5.520000 80.576 -26.3901
5.600000 80.814 -28.0003
5.700000 81.093 -30.0439
5.800000 81.352 -32.1389
5.900000 81.592 -34.2839
6.000000 81.809 -36.4186
6.080000 81.966 -38.0988
6.150000 82.090 -39.5673
6.220000 82.203 -41.0318
6.300000 82.319 -42.6689
6.400000 82.445 -44.6145
6.500000 82.549 -46.4644
6.600000 82.632 -48.2249
6.700000 82.702 -49.8413
6.800000 82.760 -51.2839
6.900000 82.807 -52.5723
7.000000 82.850 -53.7031
7.100000 82.898 -54.6545
7.200000 82.951 -55.4223
7.300000 83.013 -56.0416
7.400000 83.093 -56.5490
7.500000 83.196 -56.9444
7.620000 83.346 -57.3101
7.750000 83.546 -57.7059
7.880000 83.787 -58.1436
8.000000 84.037 -58.6335
8.120000 84.303 -59.2940
8.250000 84.608 -60.1977
8.380000 84.915 -61.3007
8.500000 85.189 -62.5148
8.620000 85.453 -63.8887
8.750000 85.717 -65.5086
8.850000 85.901 -66.8409
9.000000 86.145 -68.9336
9.120000 86.310 -70.6225
9.250000 86.459 -72.4558
9.380000 86.578 -74.2430
9.500000 86.665 -75.8054
9.620000 86.731 -77.2836
9.750000 86.786 -78.7584
9.880000 86.828 -80.0778
10.000000 86.859 -81.1663
10.150000 86.896 -82.3525
10.300000 86.938 -83.3549
10.440000 86.985 -84.1690
10.600000 87.055 -84.9881
10.750000 87.134 -85.6971
10.900000 87.226 -86.3954
11.060000 87.334 -87.1510
11.200000 87.432 -87.8459
11.380000 87.558 -88.7837
11.500000 87.639 -89.4299
11.720000 87.775 -90.6364
11.800000 87.821 -91.0695
12.060000 87.958 -92.4260
12.200000 88.027 -93.1066
12.410000 88.132 -94.0618
12.500000 88.179 -94.4526
12.650000 88.261 -95.0890
12.800000 88.349 -95.7292
13.150000 88.570 -97.3442
13.200000 88.602 -97.5981
13.400000 88.726 -98.6773
13.600000 88.836 -99.8511
13.800000 88.924 -101.0811
14.000000 88.986 -102.3104
14.300000 89.033 -104.0040
14.500000 89.043 -104.9512
14.750000 89.051 -105.8744
15.000000 89.076 -106.5342
15.250000 89.138 -107.0418
15.500000 89.242 -107.5506
15.750000 89.379 -108.2133
16.000000 89.525 -109.1141
16.250000 89.657 -110.2430
16.500000 89.757 -111.5167
16.750000 89.816 -112.8019
17.000000 89.839 -113.9593
17.250000 89.842 -114.8896
17.500000 89.847 -115.5575
17.750000 89.875 -116.0090
18.000000 89.939 -116.3586
18.250000 90.041 -116.7444
18.500000 90.171 -117.2826
18.750000 90.310 -118.0341
19.000000 90.440 -118.9897
19.250000 90.549 -120.0922
19.500000 90.632 -121.2622
19.750000 90.688 -122.4222
20.000000 90.726 -123.5194
20.299999 90.758 -124.7243
20.600000 90.783 -125.8208
20.900000 90.808 -126.8446
21.200001 90.828 -127.8182
21.400000 90.838 -128.4352
21.799999 90.848 -129.5462
22.000000 90.851 -130.0180
22.400000 90.869 -130.7836
22.700001 90.905 -131.2512
23.000000 90.963 -131.7109
23.299999 91.040 -132.2404
23.600000 91.122 -132.8828
24.000000 91.220 -133.8930
24.299999 91.274 -134.6957
24.700001 91.322 -135.6974
25.000000 91.347 -136.3394
25.400000 91.383 -137.0416
25.799999 91.435 -137.6398
26.200001 91.501 -138.2391
26.500000 91.556 -138.7330
26.900000 91.623 -139.4593
27.200001 91.666 -140.0348
27.600000 91.710 -140.8020
28.000000 91.744 -141.5365
28.500000 91.780 -142.4089
29.000000 91.812 -143.2738
29.500000 91.835 -144.1448
30.000000 91.848 -144.9682
30.400000 91.861 -145.5645
30.700001 91.878 -145.9957
31.100000 91.914 -146.6118
31.500000 91.956 -147.3463
32.000000 91.993 -148.4321
32.500000 91.992 -149.5310
33.000000 91.970 -150.4203
33.500000 91.964 -151.0756
34.000000 91.996 -151.7047
34.500000 92.044 -152.5112
35.000000 92.071 -153.4725
35.500000 92.064 -154.3938
36.000000 92.041 -155.1223
36.500000 92.028 -155.6604
37.000000 92.036 -156.1166
37.500000 92.067 -156.6109
38.200001 92.129 -157.5366
38.700001 92.162 -158.4027
39.500000 92.153 -159.8908
40.000000 92.116 -160.6509
40.599998 92.079 -161.3033
41.200001 92.074 -161.8193
41.799999 92.100 -162.3969
42.500000 92.140 -163.3010
43.099998 92.148 -164.2515
43.700001 92.111 -165.1501
44.400002 92.038 -165.8270
45.000000 92.000 -166.1575
45.500000 91.991 -166.4730
46.200001 91.972 -167.0928
46.799999 91.932 -167.6238
47.500000 91.886 -168.1201
48.200001 91.861 -168.6376
48.700001 91.847 -169.0857
49.400002 91.824 -169.7689
50.000000 91.805 -170.3505
50.799999 91.786 -171.0964
51.500000 91.780 -171.7244
52.200001 91.780 -172.3374
53.000000 91.777 -172.9570
53.799999 91.782 -173.4253
54.500000 91.801 -173.8100
55.200001 91.817 -174.2782
56.000000 91.809 -174.8798
57.000000 91.752 -175.5305
58.000000 91.675 -175.9594
59.000000 91.615 -176.2843
60.000000 91.576 -176.7859
60.799999 91.531 -177.3120
61.500000 91.484 -177.6958
62.200001 91.452 -178.0132
63.000000 91.431 -178.4357
64.000000 91.400 -178.9895
65.000000 91.371 -179.5039
66.000000 91.329 -179.9348
67.000000 91.303 179.8208
68.000000 91.300 179.4106
69.000000 91.269 178.8796
70.000000 91.224 178.4796
71.000000 91.190 178.1381
72.000000 91.162 177.7615
73.000000 91.128 177.3394
74.000000 91.078 177.0057
75.000000 91.042 176.8738
76.199997 91.042 176.5528
77.500000 91.007 175.9164
78.800003 90.949 175.4686
80.000000 90.903 175.1268
81.199997 90.866 174.8027
82.500000 90.823 174.4324
83.800003 90.784 174.1794
85.000000 90.773 173.9229
86.199997 90.766 173.4659
87.500000 90.733 172.8993
88.500000 90.695 172.5587
90.000000 90.649 172.2143
91.199997 90.621 171.9583
92.500000 90.583 171.6714
93.800003 90.535 171.4484
95.000000 90.495 171.2779
96.199997 90.464 171.0410
97.500000 90.433 170.6628
98.800003 90.400 170.2058
100.000000 90.370 169.7925
101.500000 90.334 169.3470
103.000000 90.304 168.9772
104.400002 90.271 168.6517
106.000000 90.225 168.2763
107.500000 90.176 167.8725
109.000000 90.126 167.4273
110.599998 90.079 166.9537
112.000000 90.043 166.5721
113.800003 89.996 166.1889
115.000000 89.959 165.9844
117.199997 89.881 165.6407
118.000000 89.849 165.4865
120.599998 89.737 164.9706
122.000000 89.684 164.6870
124.099998 89.605 164.2513
125.000000 89.569 164.0831
126.500000 89.505 163.8240
128.000000 89.438 163.5830
131.500000 89.285 163.0570
132.000000 89.264 162.9926
134.000000 89.181 162.7612
136.000000 89.097 162.5463
138.000000 89.011 162.3432
140.000000 88.924 162.1543
143.000000 88.796 161.9486
145.000000 88.712 161.8557
147.500000 88.607 161.7441
150.000000 88.504 161.6377
152.500000 88.409 161.5641
155.000000 88.323 161.5615
157.500000 88.238 161.6216
160.000000 88.152 161.7104
162.500000 88.067 161.8008
165.000000 87.987 161.8862
167.500000 87.912 162.0011
170.000000 87.842 162.1140
172.500000 87.776 162.2392
175.000000 87.716 162.3333
177.500000 87.655 162.4410
180.000000 87.596 162.5771
182.500000 87.546 162.7053
185.000000 87.495 162.7791
187.500000 87.444 162.9290
190.000000 87.404 163.0787
192.500000 87.366 163.1422
195.000000 87.322 163.1738
197.500000 87.273 163.2507
200.000000 87.230 163.3358
203.000000 87.187 163.3849
206.000000 87.145 163.4127
209.000000 87.094 163.4633
212.000000 87.036 163.5490
214.000000 86.999 163.6035
218.000000 86.932 163.6964
220.000000 86.900 163.7568
224.000000 86.835 163.7891
227.000000 86.786 163.7303
230.000000 86.741 163.7290
233.000000 86.698 163.7876
236.000000 86.654 163.8486
240.000000 86.594 163.9178
243.000000 86.542 163.9827
247.000000 86.466 164.0607
250.000000 86.412 164.1164
254.000000 86.342 164.1977
258.000000 86.276 164.2636
262.000000 86.207 164.3498
265.000000 86.151 164.4328
269.000000 86.076 164.5549
272.000000 86.017 164.6786
276.000000 85.935 164.9016
280.000000 85.857 165.1752
285.000000 85.777 165.5303
290.000000 85.709 165.8273
295.000000 85.639 166.0968
300.000000 85.567 166.3978
304.000000 85.508 166.6699
307.000000 85.465 166.8985
311.000000 85.410 167.2332
315.000000 85.361 167.5802
320.000000 85.306 168.0061
325.000000 85.256 168.3941
330.000000 85.210 168.7650
335.000000 85.168 169.1256
