* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:11:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 light L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.095 44.6371
1.015000 48.173 43.9222
1.030000 48.247 43.2257
1.044000 48.312 42.5811
1.060000 48.383 41.8496
1.075000 48.445 41.1701
1.090000 48.504 40.4986
1.106000 48.564 39.7930
1.120000 48.614 39.1868
1.138000 48.676 38.4256
1.150000 48.716 37.9316
1.172000 48.786 37.0589
1.180000 48.811 36.7535
1.206000 48.892 35.8123
1.220000 48.935 35.3421
1.241000 49.001 34.6918
1.250000 49.030 34.4352
1.265000 49.078 34.0397
1.280000 49.128 33.6869
1.315000 49.252 33.0477
1.320000 49.271 32.9790
1.340000 49.348 32.7624
1.360000 49.427 32.6313
1.380000 49.504 32.5676
1.400000 49.577 32.5627
1.430000 49.682 32.6589
1.450000 49.752 32.7886
1.475000 49.840 33.0207
1.500000 49.931 33.3261
1.525000 50.028 33.6997
1.550000 50.134 34.1356
1.575000 50.250 34.6269
1.600000 50.380 35.1658
1.625000 50.525 35.7435
1.650000 50.688 36.3507
1.675000 50.872 36.9831
1.700000 51.076 37.6601
1.725000 51.299 38.4102
1.750000 51.540 39.2227
1.775000 51.796 40.0713
1.800000 52.066 40.9291
1.825000 52.348 41.7715
1.850000 52.641 42.5758
1.875000 52.942 43.3219
1.900000 53.251 43.9922
1.925000 53.566 44.5721
1.950000 53.884 45.0498
1.975000 54.204 45.4168
2.000000 54.526 45.6717
2.030000 54.916 45.8631
2.060000 55.317 46.0146
2.090000 55.733 46.1541
2.120000 56.160 46.2614
2.140000 56.450 46.3032
2.180000 57.036 46.2902
2.200000 57.332 46.2260
2.240000 57.920 45.9653
2.270000 58.356 45.6439
2.300000 58.785 45.2081
2.330000 59.202 44.6572
2.360000 59.608 44.0065
2.400000 60.137 43.0652
2.430000 60.528 42.3396
2.470000 61.044 41.3456
2.500000 61.425 40.5730
2.540000 61.924 39.4958
2.580000 62.412 38.3535
2.620000 62.887 37.1346
2.650000 63.235 36.1641
2.690000 63.687 34.7938
2.720000 64.017 33.7219
2.760000 64.445 32.2631
2.800000 64.860 30.7868
2.850000 65.362 28.9265
2.900000 65.846 27.0519
2.950000 66.312 25.1589
3.000000 66.762 23.2375
3.040000 67.110 21.6705
3.070000 67.363 20.4745
3.110000 67.690 18.8589
3.150000 68.007 17.2327
3.200000 68.387 15.2039
3.250000 68.751 13.1944
3.300000 69.099 11.2125
3.350000 69.434 9.2555
3.400000 69.754 7.2969
3.450000 70.059 5.3116
3.500000 70.348 3.3169
3.550000 70.622 1.3405
3.600000 70.883 -0.5944
3.650000 71.131 -2.4715
3.700000 71.367 -4.2911
3.750000 71.590 -6.0881
3.820000 71.879 -8.6077
3.870000 72.070 -10.3859
3.950000 72.353 -13.1241
4.000000 72.517 -14.7366
4.060000 72.700 -16.5710
4.120000 72.867 -18.3486
4.180000 73.018 -20.0831
4.250000 73.178 -22.0146
4.310000 73.306 -23.5515
4.370000 73.427 -24.9523
4.440000 73.556 -26.4339
4.500000 73.655 -27.6046
4.550000 73.732 -28.5107
4.620000 73.839 -29.6586
4.680000 73.934 -30.5143
4.750000 74.049 -31.3472
4.820000 74.165 -32.0106
4.870000 74.250 -32.3984
4.940000 74.377 -32.8471
5.000000 74.500 -33.1634
5.080000 74.687 -33.4871
5.150000 74.871 -33.6548
5.220000 75.073 -33.7503
5.300000 75.325 -33.8585
5.380000 75.601 -34.0377
5.450000 75.864 -34.2386
5.520000 76.148 -34.4607
5.600000 76.489 -34.7926
5.700000 76.927 -35.4293
5.800000 77.374 -36.3243
5.900000 77.832 -37.4078
6.000000 78.284 -38.6996
6.080000 78.633 -39.9048
6.150000 78.929 -41.0737
6.220000 79.218 -42.3258
6.300000 79.535 -43.8348
6.400000 79.905 -45.8252
6.500000 80.244 -47.9469
6.600000 80.555 -50.1610
6.700000 80.835 -52.3928
6.800000 81.083 -54.6364
6.900000 81.299 -56.9115
7.000000 81.486 -59.1511
7.100000 81.644 -61.3038
7.200000 81.774 -63.3979
7.300000 81.879 -65.4170
7.400000 81.964 -67.3013
7.500000 82.029 -69.0424
7.620000 82.085 -70.9657
7.750000 82.132 -72.7996
7.880000 82.169 -74.3497
8.000000 82.203 -75.5634
8.120000 82.247 -76.5855
8.250000 82.311 -77.4817
8.380000 82.395 -78.2389
8.500000 82.497 -78.8667
8.620000 82.622 -79.4450
8.750000 82.777 -80.0987
8.850000 82.910 -80.6487
9.000000 83.126 -81.5582
9.120000 83.304 -82.3938
9.250000 83.498 -83.4133
9.380000 83.687 -84.5301
9.500000 83.851 -85.6404
9.620000 84.004 -86.8148
9.750000 84.156 -88.1219
9.880000 84.292 -89.4457
10.000000 84.403 -90.6690
10.150000 84.526 -92.1575
10.300000 84.634 -93.5898
10.440000 84.725 -94.8621
10.600000 84.821 -96.2295
10.750000 84.909 -97.4407
10.900000 84.997 -98.5924
11.060000 85.094 -99.7761
11.200000 85.181 -100.7961
11.380000 85.296 -102.1024
11.500000 85.372 -102.9841
11.720000 85.508 -104.6309
11.800000 85.555 -105.2390
12.060000 85.694 -107.2399
12.200000 85.759 -108.3155
12.410000 85.842 -109.9050
12.500000 85.873 -110.5691
12.650000 85.919 -111.6481
12.800000 85.960 -112.6872
13.150000 86.043 -114.9471
13.200000 86.055 -115.2525
13.400000 86.099 -116.4361
13.600000 86.143 -117.5682
13.800000 86.188 -118.6553
14.000000 86.232 -119.7006
14.300000 86.299 -121.1843
14.500000 86.348 -122.1166
14.750000 86.417 -123.2287
15.000000 86.502 -124.3197
15.250000 86.603 -125.4530
15.500000 86.717 -126.6945
15.750000 86.833 -128.0952
16.000000 86.937 -129.6610
16.250000 87.012 -131.3444
16.500000 87.052 -133.0577
16.750000 87.053 -134.6860
17.000000 87.026 -136.1203
17.250000 86.986 -137.2939
17.500000 86.956 -138.2022
17.750000 86.954 -138.9187
18.000000 86.989 -139.5744
18.250000 87.058 -140.3109
18.500000 87.144 -141.2323
18.750000 87.225 -142.3721
19.000000 87.280 -143.6802
19.250000 87.294 -145.0508
19.500000 87.266 -146.3511
19.750000 87.202 -147.4538
20.000000 87.121 -148.2749
20.299999 87.031 -148.8692
20.600000 86.980 -149.1439
20.900000 86.983 -149.3083
21.200001 87.030 -149.5731
21.400000 87.075 -149.8701
21.799999 87.161 -150.7623
22.000000 87.191 -151.3105
22.400000 87.220 -152.4522
22.700001 87.225 -153.2626
23.000000 87.228 -154.0253
23.299999 87.237 -154.7934
23.600000 87.249 -155.6337
24.000000 87.253 -156.9116
24.299999 87.232 -157.9416
24.700001 87.167 -159.2519
25.000000 87.103 -160.0892
25.400000 87.025 -160.9818
25.799999 86.984 -161.7603
26.200001 86.980 -162.6612
26.500000 86.982 -163.5083
26.900000 86.962 -164.8294
27.200001 86.916 -165.8528
27.600000 86.818 -167.0635
28.000000 86.703 -167.9424
28.500000 86.593 -168.5824
29.000000 86.559 -169.0270
29.500000 86.589 -169.6590
30.000000 86.639 -170.6650
30.400000 86.664 -171.7151
30.700001 86.663 -172.5911
31.100000 86.632 -173.7902
31.500000 86.566 -174.9137
32.000000 86.452 -176.0599
32.500000 86.336 -176.8516
33.000000 86.254 -177.4059
33.500000 86.213 -177.9665
34.000000 86.183 -178.6934
34.500000 86.128 -179.4968
35.000000 86.043 179.8855
35.500000 85.966 179.6131
36.000000 85.938 179.5171
36.500000 85.954 179.2613
37.000000 85.963 178.7073
37.500000 85.919 178.0896
38.200001 85.809 177.6868
38.700001 85.764 177.6585
39.500000 85.740 177.2144
40.000000 85.682 176.6553
40.599998 85.557 176.1588
41.200001 85.443 175.9852
41.799999 85.375 175.7429
42.500000 85.290 175.0555
43.099998 85.165 174.4409
43.700001 85.030 174.1501
44.400002 84.926 174.0931
45.000000 84.886 173.9915
45.500000 84.868 173.8064
46.200001 84.859 173.4227
46.799999 84.859 172.9022
47.500000 84.830 172.0097
48.200001 84.727 171.0928
48.700001 84.621 170.6531
49.400002 84.474 170.3895
50.000000 84.371 170.3231
50.799999 84.260 170.2969
51.500000 84.188 170.2896
52.200001 84.135 170.1934
53.000000 84.065 170.0507
53.799999 84.000 170.1187
54.500000 83.976 170.2245
55.200001 83.958 170.1575
56.000000 83.900 170.0038
57.000000 83.796 170.0757
58.000000 83.705 170.2390
59.000000 83.619 170.2929
60.000000 83.542 170.2144
60.799999 83.484 170.0084
61.500000 83.427 169.7876
62.200001 83.368 169.5993
63.000000 83.301 169.4979
64.000000 83.238 169.5861
65.000000 83.205 169.7376
66.000000 83.174 169.8593
67.000000 83.143 169.9790
68.000000 83.110 169.9994
69.000000 83.062 169.9155
70.000000 82.999 169.8177
71.000000 82.934 169.8198
72.000000 82.888 169.8654
73.000000 82.849 169.8407
74.000000 82.804 169.8125
75.000000 82.756 169.8136
76.199997 82.703 169.8539
77.500000 82.662 169.8139
78.800003 82.614 169.7208
80.000000 82.582 169.7272
81.199997 82.545 169.6484
82.500000 82.477 169.7863
83.800003 82.436 170.0236
85.000000 82.401 170.0072
86.199997 82.348 169.8784
87.500000 82.291 169.9071
88.500000 82.274 169.9730
90.000000 82.242 170.0095
91.199997 82.208 170.1580
92.500000 82.148 170.1783
93.800003 82.058 170.3219
95.000000 82.014 170.5528
96.199997 82.016 170.6462
97.500000 82.041 170.7589
98.800003 82.080 171.0540
100.000000 82.102 171.3275
101.500000 82.053 171.5038
103.000000 81.933 171.3763
104.400002 81.802 170.7487
106.000000 81.702 169.9031
107.500000 81.718 169.4378
109.000000 81.787 169.5811
110.599998 81.823 170.4848
112.000000 81.784 171.4976
113.800003 81.638 172.2472
115.000000 81.515 172.1437
117.199997 81.355 171.3310
118.000000 81.351 171.1041
120.599998 81.441 170.9214
122.000000 81.450 171.1849
124.099998 81.391 171.8530
125.000000 81.365 172.0633
126.500000 81.333 172.0894
128.000000 81.298 171.9637
131.500000 81.266 172.1194
132.000000 81.257 172.1364
134.000000 81.203 172.2325
136.000000 81.134 172.4447
138.000000 81.097 172.8641
140.000000 81.088 173.0742
143.000000 81.036 173.1101
145.000000 81.007 173.1532
147.500000 80.954 173.1707
150.000000 80.886 173.6008
152.500000 80.861 174.0129
155.000000 80.845 174.1328
157.500000 80.813 174.1934
160.000000 80.767 174.4594
162.500000 80.735 174.8351
165.000000 80.700 175.1141
167.500000 80.654 175.3517
170.000000 80.604 175.5688
172.500000 80.557 175.7434
175.000000 80.522 175.9055
177.500000 80.499 176.1558
180.000000 80.472 176.4786
182.500000 80.432 176.7912
185.000000 80.401 177.0632
187.500000 80.382 177.3052
190.000000 80.354 177.5503
192.500000 80.319 177.8392
195.000000 80.299 178.1215
197.500000 80.286 178.3430
200.000000 80.259 178.5199
203.000000 80.229 178.8048
206.000000 80.216 179.0711
209.000000 80.194 179.4258
212.000000 80.161 179.7251
214.000000 80.139 179.8759
218.000000 80.111 -179.7883
220.000000 80.104 -179.5999
224.000000 80.087 -179.2467
227.000000 80.068 -178.9649
230.000000 80.046 -178.6686
233.000000 80.021 -178.3659
236.000000 79.997 -178.0910
240.000000 79.967 -177.7512
243.000000 79.950 -177.4401
247.000000 79.930 -177.0357
250.000000 79.910 -176.7800
254.000000 79.878 -176.5027
258.000000 79.846 -176.1809
262.000000 79.821 -175.7878
265.000000 79.798 -175.4440
269.000000 79.766 -174.9578
272.000000 79.744 -174.6170
276.000000 79.714 -174.1407
280.000000 79.692 -173.6255
285.000000 79.685 -172.9834
290.000000 79.692 -172.3479
295.000000 79.709 -171.8305
300.000000 79.719 -171.4441
304.000000 79.719 -171.1582
307.000000 79.715 -170.9575
311.000000 79.704 -170.7110
315.000000 79.689 -170.4673
320.000000 79.666 -170.1302
325.000000 79.643 -169.7824
330.000000 79.619 -169.3609
335.000000 79.593 -168.9528
