* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:24:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 light R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 52.603 132.7883
1.015000 52.754 131.1298
1.030000 52.907 129.4378
1.044000 53.050 127.8306
1.060000 53.216 125.9689
1.075000 53.372 124.2073
1.090000 53.529 122.4375
1.106000 53.697 120.5479
1.120000 53.845 118.8984
1.138000 54.036 116.7900
1.150000 54.164 115.3956
1.172000 54.399 112.8693
1.180000 54.485 111.9618
1.206000 54.764 109.0587
1.220000 54.914 107.5269
1.241000 55.140 105.2723
1.250000 55.237 104.3221
1.265000 55.398 102.7596
1.280000 55.559 101.2234
1.315000 55.932 97.7353
1.320000 55.986 97.2473
1.340000 56.198 95.3174
1.360000 56.410 93.4134
1.380000 56.623 91.5242
1.400000 56.837 89.6505
1.430000 57.159 86.8779
1.450000 57.375 85.0600
1.475000 57.645 82.8262
1.500000 57.913 80.6383
1.525000 58.181 78.4976
1.550000 58.447 76.4041
1.575000 58.711 74.3566
1.600000 58.971 72.3530
1.625000 59.228 70.3902
1.650000 59.480 68.4643
1.675000 59.727 66.5690
1.700000 59.971 64.6894
1.725000 60.211 62.8115
1.750000 60.449 60.9388
1.775000 60.684 59.0807
1.800000 60.916 57.2455
1.825000 61.146 55.4405
1.850000 61.372 53.6714
1.875000 61.595 51.9427
1.900000 61.814 50.2577
1.925000 62.030 48.6189
1.950000 62.243 47.0276
1.975000 62.451 45.4843
2.000000 62.656 43.9872
2.030000 62.896 42.2392
2.060000 63.130 40.5155
2.090000 63.358 38.8065
2.120000 63.581 37.1180
2.140000 63.727 36.0076
2.180000 64.012 33.8332
2.200000 64.151 32.7731
2.240000 64.423 30.7155
2.270000 64.623 29.2326
2.300000 64.819 27.8059
2.330000 65.010 26.4373
2.360000 65.199 25.1220
2.400000 65.442 23.4194
2.430000 65.618 22.1672
2.470000 65.847 20.5320
2.500000 66.013 19.3361
2.540000 66.229 17.7898
2.580000 66.440 16.3069
2.620000 66.648 14.8964
2.650000 66.802 13.8909
2.690000 67.005 12.6223
2.720000 67.155 11.7184
2.760000 67.350 10.5612
2.800000 67.540 9.4520
2.850000 67.772 8.1299
2.900000 68.001 6.8789
2.950000 68.230 5.7006
3.000000 68.460 4.5984
3.040000 68.647 3.7754
3.070000 68.787 3.1946
3.110000 68.973 2.4656
3.150000 69.159 1.7797
3.200000 69.392 0.9680
3.250000 69.627 0.1913
3.300000 69.866 -0.5648
3.350000 70.110 -1.3078
3.400000 70.360 -2.0245
3.450000 70.614 -2.6960
3.500000 70.872 -3.3344
3.550000 71.133 -3.9628
3.600000 71.397 -4.6034
3.650000 71.663 -5.2743
3.700000 71.930 -5.9824
3.750000 72.200 -6.7086
3.820000 72.584 -7.7249
3.870000 72.860 -8.4630
3.950000 73.301 -9.7052
4.000000 73.573 -10.5391
4.060000 73.894 -11.6030
4.120000 74.213 -12.7122
4.180000 74.530 -13.8522
4.250000 74.892 -15.2233
4.310000 75.195 -16.4404
4.370000 75.488 -17.7036
4.440000 75.819 -19.2380
4.500000 76.094 -20.5936
4.550000 76.316 -21.7413
4.620000 76.617 -23.3636
4.680000 76.862 -24.7638
4.750000 77.135 -26.4186
4.820000 77.393 -28.1097
4.870000 77.568 -29.3301
4.940000 77.802 -31.0336
5.000000 77.990 -32.4738
5.080000 78.225 -34.3668
5.150000 78.414 -36.0253
5.220000 78.589 -37.6793
5.300000 78.773 -39.5278
5.380000 78.942 -41.3016
5.450000 79.075 -42.8051
5.520000 79.196 -44.2811
5.600000 79.320 -45.9171
5.700000 79.459 -47.8392
5.800000 79.581 -49.6152
5.900000 79.686 -51.2758
6.000000 79.780 -52.8042
6.080000 79.851 -53.9143
6.150000 79.910 -54.8051
6.220000 79.966 -55.6294
6.300000 80.030 -56.4975
6.400000 80.115 -57.4753
6.500000 80.205 -58.3279
6.600000 80.301 -59.0745
6.700000 80.407 -59.7556
6.800000 80.526 -60.3847
6.900000 80.656 -60.9610
7.000000 80.797 -61.5226
7.100000 80.948 -62.1030
7.200000 81.109 -62.6986
7.300000 81.279 -63.3198
7.400000 81.453 -63.9926
7.500000 81.630 -64.7227
7.620000 81.846 -65.6650
7.750000 82.078 -66.7750
7.880000 82.304 -67.9800
8.000000 82.507 -69.1608
8.120000 82.701 -70.3964
8.250000 82.901 -71.7936
8.380000 83.089 -73.2322
8.500000 83.253 -74.5854
8.620000 83.406 -75.9612
8.750000 83.563 -77.4631
8.850000 83.676 -78.6234
9.000000 83.835 -80.3712
9.120000 83.953 -81.7695
9.250000 84.073 -83.2851
9.380000 84.184 -84.7991
9.500000 84.279 -86.1937
9.620000 84.367 -87.5861
9.750000 84.453 -89.0861
9.880000 84.531 -90.5759
10.000000 84.594 -91.9388
10.150000 84.662 -93.6122
10.300000 84.717 -95.2485
10.440000 84.759 -96.7257
10.600000 84.794 -98.3439
10.750000 84.818 -99.7811
10.900000 84.835 -101.1272
11.060000 84.849 -102.4597
11.200000 84.860 -103.5325
11.380000 84.878 -104.7898
11.500000 84.894 -105.5591
11.720000 84.935 -106.8453
11.800000 84.955 -107.2839
12.060000 85.041 -108.6385
12.200000 85.100 -109.3515
12.410000 85.201 -110.4284
12.500000 85.248 -110.9009
12.650000 85.330 -111.7070
12.800000 85.414 -112.5369
13.150000 85.608 -114.5538
13.200000 85.635 -114.8473
13.400000 85.739 -116.0240
13.600000 85.838 -117.1892
13.800000 85.933 -118.3316
14.000000 86.027 -119.4447
14.300000 86.168 -121.0746
14.500000 86.265 -122.1545
14.750000 86.387 -123.5267
15.000000 86.506 -124.9491
15.250000 86.614 -126.4279
15.500000 86.704 -127.9465
15.750000 86.773 -129.4662
16.000000 86.819 -130.9361
16.250000 86.845 -132.3102
16.500000 86.859 -133.5602
16.750000 86.869 -134.6841
17.000000 86.883 -135.7100
17.250000 86.904 -136.6846
17.500000 86.931 -137.6564
17.750000 86.958 -138.6588
18.000000 86.979 -139.6959
18.250000 86.988 -140.7427
18.500000 86.982 -141.7566
18.750000 86.967 -142.6920
19.000000 86.948 -143.5231
19.250000 86.936 -144.2566
19.500000 86.939 -144.9332
19.750000 86.959 -145.6179
20.000000 86.993 -146.3772
20.299999 87.039 -147.4451
20.600000 87.073 -148.6822
20.900000 87.079 -150.0119
21.200001 87.051 -151.3115
21.400000 87.017 -152.0997
21.799999 86.933 -153.3901
22.000000 86.896 -153.8896
22.400000 86.855 -154.6838
22.700001 86.859 -155.2284
23.000000 86.887 -155.8365
23.299999 86.929 -156.5612
23.600000 86.973 -157.4130
24.000000 87.023 -158.7194
24.299999 87.048 -159.8022
24.700001 87.055 -161.3469
25.000000 87.035 -162.5403
25.400000 86.966 -164.0689
25.799999 86.856 -165.3611
26.200001 86.731 -166.2816
26.500000 86.651 -166.7325
26.900000 86.590 -167.1698
27.200001 86.581 -167.5270
27.600000 86.597 -168.2153
28.000000 86.610 -169.1885
28.500000 86.585 -170.6252
29.000000 86.510 -172.0000
29.500000 86.414 -173.1356
30.000000 86.322 -174.0292
30.400000 86.260 -174.6028
30.700001 86.224 -174.9678
31.100000 86.193 -175.4030
31.500000 86.184 -175.8469
32.000000 86.188 -176.5132
32.500000 86.185 -177.3095
33.000000 86.155 -178.1037
33.500000 86.107 -178.7537
34.000000 86.061 -179.2458
34.500000 86.026 -179.6890
35.000000 85.994 179.8092
35.500000 85.945 179.2360
36.000000 85.870 178.6712
36.500000 85.773 178.2183
37.000000 85.672 177.9114
37.500000 85.583 177.6696
38.200001 85.469 177.2109
38.700001 85.369 176.7993
39.500000 85.171 176.4337
40.000000 85.072 176.5326
40.599998 85.031 176.6913
41.200001 85.053 176.4116
41.799999 85.051 175.6210
42.500000 84.962 174.7350
43.099998 84.887 174.4697
43.700001 84.896 174.2569
44.400002 84.932 173.2568
45.000000 84.851 172.0782
45.500000 84.709 171.5120
46.200001 84.543 171.5654
46.799999 84.492 171.6769
47.500000 84.437 171.3075
48.200001 84.304 170.9095
48.700001 84.193 170.9305
49.400002 84.088 171.2764
50.000000 84.064 171.4352
50.799999 84.050 170.9756
51.500000 83.970 170.3202
52.200001 83.874 169.9570
53.000000 83.816 169.5120
53.799999 83.719 168.8627
54.500000 83.605 168.8484
55.200001 83.576 169.2415
56.000000 83.614 169.3224
57.000000 83.591 169.0887
58.000000 83.497 169.2517
59.000000 83.385 169.8564
60.000000 83.285 170.3605
60.799999 83.169 170.5991
61.500000 83.071 170.8116
62.200001 82.995 170.8056
63.000000 82.915 170.5371
64.000000 82.904 169.8744
65.000000 82.918 167.8312
66.000000 82.680 166.0442
67.000000 82.505 166.8071
68.000000 82.639 167.6922
69.000000 82.751 167.5267
70.000000 82.733 167.3157
71.000000 82.584 167.3706
72.000000 82.377 168.0822
73.000000 82.233 168.8821
74.000000 82.128 169.2202
75.000000 82.066 169.5066
76.199997 82.166 169.5610
77.500000 82.315 168.3259
78.800003 82.254 167.3903
80.000000 82.175 168.2039
81.199997 82.191 168.9404
82.500000 82.169 169.3807
83.800003 82.126 168.7286
85.000000 81.942 168.4469
86.199997 81.916 168.5914
87.500000 81.932 168.2510
88.500000 81.975 167.7596
90.000000 81.835 167.2147
91.199997 81.818 167.9461
92.500000 81.838 167.4055
93.800003 81.799 166.9725
95.000000 81.768 166.5151
96.199997 81.706 166.9026
97.500000 81.768 168.1039
98.800003 81.810 168.5195
100.000000 81.680 169.2697
101.500000 81.577 171.3502
103.000000 81.639 171.7031
104.400002 81.561 170.3907
106.000000 81.296 169.5652
107.500000 81.118 170.2980
109.000000 81.131 171.2410
110.599998 81.274 170.7556
112.000000 81.314 168.8275
113.800003 81.213 166.4479
115.000000 81.144 165.8275
117.199997 81.127 166.1362
118.000000 81.109 166.4800
120.599998 80.989 167.7281
122.000000 80.940 167.8569
124.099998 80.925 167.9901
125.000000 80.966 168.2969
126.500000 81.035 169.0529
128.000000 81.035 170.3083
131.500000 80.748 172.2145
132.000000 80.694 172.2328
134.000000 80.569 171.7760
136.000000 80.612 171.2531
138.000000 80.678 171.0369
140.000000 80.581 171.5259
143.000000 80.496 172.4977
145.000000 80.517 171.7741
147.500000 80.443 171.7319
150.000000 80.379 173.1376
152.500000 80.369 173.5789
155.000000 80.422 172.7660
157.500000 80.468 172.1472
160.000000 80.462 172.6049
162.500000 80.416 173.1677
165.000000 80.321 173.5458
167.500000 80.219 174.1823
170.000000 80.113 174.7481
172.500000 80.024 174.8840
175.000000 79.995 174.6880
177.500000 79.990 174.7271
180.000000 79.969 175.2684
182.500000 79.934 175.6875
185.000000 79.896 175.6900
187.500000 79.866 175.6369
190.000000 79.822 175.8030
192.500000 79.773 176.0237
195.000000 79.734 176.1730
197.500000 79.740 176.3550
200.000000 79.744 176.5961
203.000000 79.699 177.1648
206.000000 79.664 177.5732
209.000000 79.640 177.5122
212.000000 79.593 177.6848
214.000000 79.562 178.0396
218.000000 79.537 178.7278
220.000000 79.535 178.9551
224.000000 79.522 179.1780
227.000000 79.501 179.4348
230.000000 79.475 179.5729
233.000000 79.439 179.7963
236.000000 79.430 179.9749
240.000000 79.403 -179.8350
243.000000 79.373 -179.5308
247.000000 79.338 -179.1631
250.000000 79.312 -178.9314
254.000000 79.278 -178.6082
258.000000 79.250 -178.3025
262.000000 79.238 -178.0601
265.000000 79.234 -177.9309
269.000000 79.208 -177.5443
272.000000 79.159 -176.9966
276.000000 79.079 -176.4814
280.000000 79.098 -176.4108
285.000000 79.159 -175.5988
290.000000 79.077 -175.2721
295.000000 79.075 -175.1135
300.000000 79.059 -174.6345
304.000000 79.013 -174.3668
307.000000 78.995 -174.1998
311.000000 78.968 -173.9783
315.000000 78.928 -173.6870
320.000000 78.900 -173.2927
325.000000 78.856 -173.1849
330.000000 78.805 -173.2023
335.000000 78.981 -173.1953
