* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:12:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 light anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.850 123.2075
1.015000 45.131 119.6905
1.030000 45.436 116.2497
1.044000 45.745 113.1243
1.060000 46.125 109.6819
1.075000 46.505 106.5992
1.090000 46.905 103.6668
1.106000 47.351 100.7090
1.120000 47.755 98.2634
1.138000 48.290 95.3074
1.150000 48.654 93.4484
1.172000 49.331 90.2543
1.180000 49.580 89.1565
1.206000 50.389 85.7973
1.220000 50.821 84.1071
1.241000 51.461 81.7057
1.250000 51.730 80.7201
1.265000 52.169 79.1287
1.280000 52.596 77.5940
1.315000 53.525 74.1903
1.320000 53.648 73.7203
1.340000 54.119 71.8705
1.360000 54.556 70.0542
1.380000 54.970 68.2607
1.400000 55.366 66.4929
1.430000 55.929 63.9009
1.450000 56.285 62.2182
1.475000 56.712 60.1692
1.500000 57.119 58.1815
1.525000 57.509 56.2542
1.550000 57.885 54.3843
1.575000 58.248 52.5680
1.600000 58.601 50.8004
1.625000 58.946 49.0759
1.650000 59.285 47.3881
1.675000 59.619 45.7275
1.700000 59.946 44.0723
1.725000 60.262 42.4020
1.750000 60.565 40.7221
1.775000 60.855 39.0462
1.800000 61.134 37.3865
1.825000 61.402 35.7531
1.850000 61.661 34.1540
1.875000 61.911 32.5956
1.900000 62.152 31.0824
1.925000 62.387 29.6179
1.950000 62.616 28.2040
1.975000 62.839 26.8417
2.000000 63.057 25.5289
2.030000 63.313 24.0004
2.060000 63.558 22.4811
2.090000 63.791 20.9569
2.120000 64.013 19.4379
2.140000 64.155 18.4346
2.180000 64.427 16.4666
2.200000 64.558 15.5088
2.240000 64.809 13.6602
2.270000 64.989 12.3432
2.300000 65.165 11.0945
2.330000 65.335 9.9189
2.360000 65.501 8.8109
2.400000 65.710 7.3896
2.430000 65.858 6.3441
2.470000 66.043 4.9814
2.500000 66.174 3.9910
2.540000 66.341 2.7261
2.580000 66.503 1.5407
2.620000 66.661 0.4520
2.650000 66.779 -0.2911
2.690000 66.936 -1.1768
2.720000 67.052 -1.7697
2.760000 67.199 -2.4865
2.800000 67.341 -3.1312
2.850000 67.513 -3.8438
2.900000 67.685 -4.4580
2.950000 67.864 -4.9769
3.000000 68.056 -5.4005
3.040000 68.220 -5.6631
3.070000 68.347 -5.8060
3.110000 68.521 -5.9268
3.150000 68.701 -5.9858
3.200000 68.933 -6.0085
3.250000 69.176 -6.0146
3.300000 69.432 -6.0419
3.350000 69.702 -6.1140
3.400000 69.988 -6.2053
3.450000 70.292 -6.2697
3.500000 70.610 -6.3285
3.550000 70.939 -6.4261
3.600000 71.273 -6.6039
3.650000 71.610 -6.8943
3.700000 71.947 -7.3090
3.750000 72.287 -7.8114
3.820000 72.773 -8.5955
3.870000 73.123 -9.2220
3.950000 73.678 -10.3821
4.000000 74.015 -11.2269
4.060000 74.406 -12.3673
4.120000 74.788 -13.6136
4.180000 75.162 -14.9343
4.250000 75.584 -16.5504
4.310000 75.930 -17.9954
4.370000 76.259 -19.5000
4.440000 76.623 -21.3471
4.500000 76.918 -22.9988
4.550000 77.153 -24.4014
4.620000 77.463 -26.3742
4.680000 77.711 -28.0582
4.750000 77.981 -30.0325
4.820000 78.227 -32.0525
4.870000 78.390 -33.5100
4.940000 78.601 -35.5317
5.000000 78.765 -37.2179
5.080000 78.962 -39.3972
5.150000 79.112 -41.2886
5.220000 79.243 -43.1626
5.300000 79.371 -45.2272
5.380000 79.479 -47.1578
5.450000 79.556 -48.7507
5.520000 79.617 -50.2831
5.600000 79.670 -51.9413
5.700000 79.720 -53.8080
5.800000 79.753 -55.4159
5.900000 79.769 -56.8031
6.000000 79.781 -57.9688
6.080000 79.796 -58.7230
6.150000 79.812 -59.2453
6.220000 79.830 -59.6526
6.300000 79.861 -60.0072
6.400000 79.922 -60.3204
6.500000 80.011 -60.4788
6.600000 80.127 -60.5186
6.700000 80.270 -60.5428
6.800000 80.445 -60.5955
6.900000 80.649 -60.6693
7.000000 80.875 -60.8281
7.100000 81.114 -61.1306
7.200000 81.369 -61.5651
7.300000 81.633 -62.1278
7.400000 81.897 -62.8396
7.500000 82.156 -63.7018
7.620000 82.462 -64.9011
7.750000 82.775 -66.3701
7.880000 83.067 -68.0057
8.000000 83.315 -69.6219
8.120000 83.541 -71.2990
8.250000 83.760 -73.1818
8.380000 83.954 -75.0876
8.500000 84.111 -76.8386
8.620000 84.249 -78.5822
8.750000 84.378 -80.4266
8.850000 84.464 -81.8046
9.000000 84.576 -83.8062
9.120000 84.652 -85.3297
9.250000 84.724 -86.9005
9.380000 84.787 -88.3887
9.500000 84.841 -89.6830
9.620000 84.892 -90.9057
9.750000 84.946 -92.1576
9.880000 85.001 -93.3373
10.000000 85.053 -94.3717
10.150000 85.124 -95.6121
10.300000 85.202 -96.8054
10.440000 85.280 -97.9022
10.600000 85.375 -99.1545
10.750000 85.468 -100.3446
10.900000 85.563 -101.5677
11.060000 85.662 -102.9105
11.200000 85.743 -104.1211
11.380000 85.837 -105.7158
11.500000 85.891 -106.7899
11.720000 85.968 -108.7563
11.800000 85.989 -109.4558
12.060000 86.030 -111.6315
12.200000 86.037 -112.7078
12.410000 86.040 -114.1705
12.500000 86.040 -114.7354
12.650000 86.040 -115.5947
12.800000 86.043 -116.3636
13.150000 86.084 -117.9005
13.200000 86.095 -118.1056
13.400000 86.149 -118.9240
13.600000 86.216 -119.7882
13.800000 86.290 -120.7267
14.000000 86.360 -121.7495
14.300000 86.442 -123.3800
14.500000 86.476 -124.4665
14.750000 86.497 -125.7358
15.000000 86.507 -126.8385
15.250000 86.525 -127.7688
15.500000 86.565 -128.5897
15.750000 86.637 -129.4263
16.000000 86.735 -130.4196
16.250000 86.838 -131.6625
16.500000 86.924 -133.1726
16.750000 86.967 -134.8804
17.000000 86.952 -136.6390
17.250000 86.875 -138.2650
17.500000 86.749 -139.5721
17.750000 86.598 -140.4122
18.000000 86.460 -140.7338
18.250000 86.374 -140.6124
18.500000 86.367 -140.2445
18.750000 86.448 -139.9041
19.000000 86.597 -139.8388
19.250000 86.785 -140.1901
19.500000 86.975 -140.9807
19.750000 87.139 -142.1313
20.000000 87.259 -143.5068
20.299999 87.341 -145.2482
20.600000 87.365 -146.8890
20.900000 87.352 -148.3022
21.200001 87.327 -149.4588
21.400000 87.312 -150.1105
21.799999 87.300 -151.2441
22.000000 87.303 -151.7791
22.400000 87.316 -152.8721
22.700001 87.323 -153.7394
23.000000 87.319 -154.6450
23.299999 87.299 -155.5670
23.600000 87.256 -156.4619
24.000000 87.159 -157.4872
24.299999 87.063 -158.0087
24.700001 86.936 -158.2259
25.000000 86.877 -158.0396
25.400000 86.896 -157.6036
25.799999 87.032 -157.4941
26.200001 87.225 -158.1887
26.500000 87.345 -159.2829
26.900000 87.408 -161.2131
27.200001 87.368 -162.6981
27.600000 87.224 -164.2943
28.000000 87.048 -165.2080
28.500000 86.903 -165.6647
29.000000 86.861 -166.1922
29.500000 86.816 -167.2098
30.000000 86.679 -168.2502
30.400000 86.527 -168.6150
30.700001 86.431 -168.5377
31.100000 86.375 -168.1676
31.500000 86.409 -167.9167
32.000000 86.513 -168.2465
32.500000 86.585 -169.2576
33.000000 86.583 -170.5228
33.500000 86.528 -171.7087
34.000000 86.449 -172.7380
34.500000 86.357 -173.6182
35.000000 86.261 -174.3020
35.500000 86.183 -174.7864
36.000000 86.141 -175.2231
36.500000 86.121 -175.7913
37.000000 86.087 -176.4749
37.500000 86.030 -177.0773
38.200001 85.957 -177.5856
38.700001 85.937 -177.8731
39.500000 85.915 -178.5781
40.000000 85.872 -179.0647
40.599998 85.799 -179.4587
41.200001 85.739 -179.6359
41.799999 85.712 -179.8163
42.500000 85.693 179.6678
43.099998 85.641 178.9792
43.700001 85.536 178.3688
44.400002 85.397 178.0833
45.000000 85.323 178.0356
45.500000 85.290 177.8704
46.200001 85.232 177.3936
46.799999 85.155 177.0220
47.500000 85.072 176.7902
48.200001 85.020 176.5359
48.700001 84.981 176.2530
49.400002 84.904 175.8624
50.000000 84.831 175.6571
50.799999 84.753 175.4680
51.500000 84.690 175.2491
52.200001 84.618 175.0159
53.000000 84.526 174.7999
53.799999 84.427 174.6833
54.500000 84.343 174.7118
55.200001 84.278 174.7885
56.000000 84.215 174.7946
57.000000 84.130 174.7424
58.000000 84.049 174.6760
59.000000 83.962 174.5100
60.000000 83.859 174.3824
60.799999 83.780 174.3587
61.500000 83.719 174.3602
62.200001 83.662 174.3501
63.000000 83.597 174.3300
64.000000 83.512 174.3538
65.000000 83.432 174.4519
66.000000 83.360 174.5538
67.000000 83.286 174.6293
68.000000 83.210 174.7349
69.000000 83.137 174.8548
70.000000 83.068 174.9922
71.000000 83.004 175.1155
72.000000 82.938 175.2476
73.000000 82.875 175.4087
74.000000 82.813 175.5576
75.000000 82.748 175.7582
76.199997 82.676 176.0316
77.500000 82.600 176.3684
78.800003 82.535 176.7347
80.000000 82.476 177.0159
81.199997 82.411 177.3270
82.500000 82.348 177.6779
83.800003 82.287 177.9647
85.000000 82.232 178.2186
86.199997 82.178 178.4763
87.500000 82.130 178.7889
88.500000 82.098 179.0165
90.000000 82.054 179.3907
91.199997 82.023 179.6663
92.500000 81.987 179.9885
93.800003 81.958 -179.7172
95.000000 81.925 -179.4816
96.199997 81.892 -179.1732
97.500000 81.868 -178.8386
98.800003 81.842 -178.5478
100.000000 81.816 -178.2215
101.500000 81.798 -177.7878
103.000000 81.785 -177.4635
104.400002 81.762 -177.1863
106.000000 81.736 -176.7779
107.500000 81.728 -176.4160
109.000000 81.724 -176.1832
110.599998 81.711 -175.9935
112.000000 81.696 -175.8041
113.800003 81.676 -175.5167
115.000000 81.663 -175.2947
117.199997 81.641 -174.8788
118.000000 81.635 -174.7363
120.599998 81.626 -174.3375
122.000000 81.624 -174.1670
124.099998 81.622 -173.8699
125.000000 81.621 -173.7364
126.500000 81.616 -173.5141
128.000000 81.606 -173.3080
131.500000 81.575 -172.9144
132.000000 81.571 -172.8691
134.000000 81.559 -172.7126
136.000000 81.544 -172.5739
138.000000 81.524 -172.4216
140.000000 81.499 -172.2667
143.000000 81.461 -171.9987
145.000000 81.438 -171.8367
147.500000 81.402 -171.6318
150.000000 81.362 -171.4174
152.500000 81.318 -171.2169
155.000000 81.270 -171.0176
157.500000 81.222 -170.7830
160.000000 81.175 -170.5116
162.500000 81.125 -170.2172
165.000000 81.070 -169.9246
167.500000 81.014 -169.6266
170.000000 80.964 -169.3281
172.500000 80.910 -168.9820
175.000000 80.857 -168.5695
177.500000 80.801 -168.1718
180.000000 80.745 -167.7307
182.500000 80.701 -167.2850
185.000000 80.658 -166.8975
187.500000 80.608 -166.4784
190.000000 80.562 -166.0066
192.500000 80.521 -165.5189
195.000000 80.484 -164.9976
197.500000 80.450 -164.4737
200.000000 80.418 -163.9648
203.000000 80.386 -163.3480
206.000000 80.358 -162.6933
209.000000 80.325 -162.0041
212.000000 80.291 -161.3420
214.000000 80.271 -160.9149
218.000000 80.242 -160.0182
220.000000 80.230 -159.5603
224.000000 80.203 -158.6725
227.000000 80.188 -158.0170
230.000000 80.185 -157.3661
233.000000 80.183 -156.7145
236.000000 80.179 -156.0707
240.000000 80.176 -155.2181
243.000000 80.177 -154.5796
247.000000 80.182 -153.7324
250.000000 80.185 -153.1067
254.000000 80.190 -152.2969
258.000000 80.199 -151.5218
262.000000 80.212 -150.7544
265.000000 80.221 -150.1833
269.000000 80.236 -149.4537
272.000000 80.249 -148.9310
276.000000 80.268 -148.2163
280.000000 80.288 -147.4624
285.000000 80.314 -146.4861
290.000000 80.351 -145.4973
295.000000 80.403 -144.5269
300.000000 80.468 -143.6292
304.000000 80.524 -142.9868
307.000000 80.565 -142.5428
