* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:23:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 light anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.007 -152.9012
1.015000 51.218 -154.8851
1.030000 51.431 -156.9054
1.044000 51.630 -158.8093
1.060000 51.859 -160.9941
1.075000 52.074 -163.0414
1.090000 52.291 -165.0799
1.106000 52.523 -167.2376
1.120000 52.726 -169.1071
1.138000 52.989 -171.4809
1.150000 53.164 -173.0430
1.172000 53.487 -175.8627
1.180000 53.605 -176.8739
1.206000 53.988 179.8904
1.220000 54.195 178.1779
1.241000 54.506 175.6442
1.250000 54.640 174.5695
1.265000 54.862 172.7914
1.280000 55.085 171.0268
1.315000 55.605 166.9445
1.320000 55.680 166.3637
1.340000 55.977 164.0436
1.360000 56.276 161.7374
1.380000 56.577 159.4675
1.400000 56.880 157.2463
1.430000 57.338 154.0126
1.450000 57.645 151.9217
1.475000 58.030 149.3761
1.500000 58.415 146.8978
1.525000 58.799 144.4756
1.550000 59.181 142.0973
1.575000 59.561 139.7498
1.600000 59.938 137.4197
1.625000 60.309 135.0944
1.650000 60.676 132.7611
1.675000 61.036 130.4102
1.700000 61.392 128.0453
1.725000 61.744 125.6898
1.750000 62.094 123.3638
1.775000 62.442 121.0793
1.800000 62.786 118.8431
1.825000 63.127 116.6580
1.850000 63.464 114.5237
1.875000 63.797 112.4372
1.900000 64.125 110.3940
1.925000 64.449 108.3876
1.950000 64.768 106.4111
1.975000 65.082 104.4565
2.000000 65.389 102.5154
2.030000 65.751 100.1919
2.060000 66.106 97.8712
2.090000 66.453 95.5658
2.120000 66.794 93.2899
2.140000 67.017 91.7943
2.180000 67.454 88.8624
2.200000 67.669 87.4276
2.240000 68.088 84.6188
2.270000 68.394 82.5613
2.300000 68.694 80.5397
2.330000 68.987 78.5459
2.360000 69.274 76.5666
2.400000 69.645 73.9210
2.430000 69.915 71.9318
2.470000 70.264 69.2940
2.500000 70.518 67.3393
2.540000 70.847 64.7784
2.580000 71.165 62.2783
2.620000 71.472 59.8427
2.650000 71.695 58.0569
2.690000 71.984 55.7173
2.720000 72.194 53.9699
2.760000 72.463 51.6248
2.800000 72.722 49.2732
2.850000 73.030 46.3577
2.900000 73.322 43.5032
2.950000 73.600 40.7352
3.000000 73.863 38.0655
3.040000 74.063 35.9846
3.070000 74.207 34.4276
3.110000 74.390 32.3401
3.150000 74.564 30.2490
3.200000 74.768 27.6582
3.250000 74.958 25.1246
3.300000 75.136 22.6765
3.350000 75.301 20.3287
3.400000 75.455 18.0483
3.450000 75.594 15.7768
3.500000 75.721 13.5132
3.550000 75.836 11.2828
3.600000 75.940 9.1143
3.650000 76.035 7.0338
3.700000 76.120 5.0535
3.750000 76.195 3.1439
3.820000 76.282 0.5259
3.870000 76.333 -1.2990
3.950000 76.399 -4.0934
4.000000 76.433 -5.7310
4.060000 76.469 -7.5697
4.120000 76.494 -9.2989
4.180000 76.511 -10.9420
4.250000 76.524 -12.7510
4.310000 76.534 -14.1992
4.370000 76.548 -15.5388
4.440000 76.566 -16.9502
4.500000 76.581 -18.0399
4.550000 76.595 -18.8798
4.620000 76.621 -19.9769
4.680000 76.655 -20.8603
4.750000 76.710 -21.8162
4.820000 76.778 -22.6658
4.870000 76.834 -23.2225
4.940000 76.925 -23.9738
5.000000 77.014 -24.6272
5.080000 77.151 -25.5316
5.150000 77.290 -26.3212
5.220000 77.443 -27.1142
5.300000 77.631 -28.0732
5.380000 77.827 -29.1357
5.450000 78.006 -30.1490
5.520000 78.193 -31.2183
5.600000 78.412 -32.5072
5.700000 78.684 -34.2365
5.800000 78.950 -36.1118
5.900000 79.212 -38.1041
6.000000 79.467 -40.1683
6.080000 79.660 -41.8599
6.150000 79.823 -43.3774
6.220000 79.979 -44.9229
6.300000 80.151 -46.6981
6.400000 80.355 -48.8985
6.500000 80.546 -51.0875
6.600000 80.726 -53.2651
6.700000 80.897 -55.3936
6.800000 81.062 -57.4572
6.900000 81.220 -59.4697
7.000000 81.374 -61.4257
7.100000 81.526 -63.3130
7.200000 81.678 -65.1344
7.300000 81.829 -66.9007
7.400000 81.981 -68.6183
7.500000 82.134 -70.2886
7.620000 82.320 -72.2372
7.750000 82.521 -74.2985
7.880000 82.722 -76.3191
8.000000 82.904 -78.1443
8.120000 83.080 -79.9331
8.250000 83.264 -81.8344
8.380000 83.437 -83.6720
8.500000 83.585 -85.3002
8.620000 83.723 -86.8610
8.750000 83.862 -88.4415
8.850000 83.962 -89.5696
9.000000 84.103 -91.1194
9.120000 84.213 -92.2172
9.250000 84.332 -93.2612
9.380000 84.456 -94.1764
9.500000 84.581 -94.9157
9.620000 84.716 -95.5697
9.750000 84.877 -96.2332
9.880000 85.056 -96.8795
10.000000 85.234 -97.4882
10.150000 85.470 -98.3378
10.300000 85.717 -99.3087
10.440000 85.947 -100.3574
10.600000 86.202 -101.7452
10.750000 86.422 -103.2084
10.900000 86.615 -104.8201
11.060000 86.786 -106.6547
11.200000 86.900 -108.3126
11.380000 86.995 -110.4646
11.500000 87.025 -111.8541
11.720000 87.017 -114.2399
11.800000 86.995 -115.0211
12.060000 86.874 -117.1630
12.200000 86.789 -118.0192
12.410000 86.656 -118.8988
12.500000 86.606 -119.1378
12.650000 86.537 -119.3765
12.800000 86.494 -119.4875
13.150000 86.515 -119.5847
13.200000 86.531 -119.6199
13.400000 86.617 -119.9193
13.600000 86.721 -120.5343
13.800000 86.820 -121.4604
14.000000 86.894 -122.6505
14.300000 86.930 -124.6927
14.500000 86.902 -126.0522
14.750000 86.822 -127.5531
15.000000 86.723 -128.7074
15.250000 86.643 -129.5215
15.500000 86.615 -130.1327
15.750000 86.648 -130.7789
16.000000 86.727 -131.6843
16.250000 86.815 -132.9480
16.500000 86.875 -134.5242
16.750000 86.880 -136.2353
17.000000 86.823 -137.8296
17.250000 86.722 -139.0761
17.500000 86.615 -139.8346
17.750000 86.550 -140.1334
18.000000 86.562 -140.1945
18.250000 86.658 -140.3420
18.500000 86.810 -140.8609
18.750000 86.967 -141.8778
19.000000 87.078 -143.3083
19.250000 87.112 -144.9243
19.500000 87.062 -146.4290
19.750000 86.946 -147.5343
20.000000 86.810 -148.0640
20.299999 86.701 -147.9781
20.600000 86.722 -147.5347
20.900000 86.877 -147.3982
21.200001 87.099 -148.0577
21.400000 87.237 -148.9948
21.799999 87.394 -151.7272
22.000000 87.393 -153.2741
22.400000 87.249 -156.1406
22.700001 87.068 -157.8029
23.000000 86.879 -159.0081
23.299999 86.714 -159.9067
23.600000 86.574 -160.6840
24.000000 86.389 -161.6119
24.299999 86.233 -162.0640
24.700001 86.039 -161.9904
25.000000 85.968 -161.3987
25.400000 86.052 -160.4075
25.799999 86.317 -160.0763
26.200001 86.626 -160.9128
26.500000 86.801 -162.1545
26.900000 86.904 -164.0396
27.200001 86.896 -165.2238
27.600000 86.836 -166.1572
28.000000 86.809 -166.4122
28.500000 86.881 -166.4643
29.000000 87.009 -166.9734
29.500000 87.081 -167.9944
30.000000 87.053 -169.0602
30.400000 86.983 -169.6833
30.700001 86.924 -169.9988
31.100000 86.853 -170.3023
31.500000 86.794 -170.6031
32.000000 86.725 -171.0839
32.500000 86.649 -171.6541
33.000000 86.576 -172.2560
33.500000 86.518 -172.9375
34.000000 86.470 -173.7844
34.500000 86.412 -174.7583
35.000000 86.336 -175.6937
35.500000 86.259 -176.4567
36.000000 86.199 -177.0478
36.500000 86.157 -177.5196
37.000000 86.130 -177.8653
37.500000 86.126 -178.0685
38.200001 86.183 -178.3435
38.700001 86.251 -178.8222
39.500000 86.292 179.7172
40.000000 86.215 178.6989
40.599998 86.026 178.0401
41.200001 85.849 178.3870
41.799999 85.834 179.1526
42.500000 85.989 178.9274
43.099998 86.058 177.4080
43.700001 85.945 175.6349
44.400002 85.684 174.4921
45.000000 85.492 174.3139
45.500000 85.384 174.3387
46.200001 85.272 174.3638
46.799999 85.198 174.4243
47.500000 85.145 174.5383
48.200001 85.137 174.5265
48.700001 85.150 174.2739
49.400002 85.141 173.4760
50.000000 85.062 172.6873
50.799999 84.905 172.1738
51.500000 84.824 172.0582
52.200001 84.779 171.7167
53.000000 84.694 171.2242
53.799999 84.602 171.0773
54.500000 84.563 171.1387
55.200001 84.563 171.0735
56.000000 84.556 170.6147
57.000000 84.448 170.0325
58.000000 84.343 169.9478
59.000000 84.253 169.5999
60.000000 84.119 169.4081
60.799999 84.036 169.3660
61.500000 83.964 169.3168
62.200001 83.903 169.4036
63.000000 83.876 169.4280
64.000000 83.817 169.1198
65.000000 83.716 169.2216
66.000000 83.685 169.5049
67.000000 83.662 169.2726
68.000000 83.559 168.9194
69.000000 83.426 169.0183
70.000000 83.343 169.3044
71.000000 83.289 169.3757
72.000000 83.220 169.2611
73.000000 83.119 169.3119
74.000000 83.050 169.6887
75.000000 83.023 169.8655
76.199997 82.957 169.9503
77.500000 82.911 170.2933
78.800003 82.875 170.1304
80.000000 82.771 170.1282
81.199997 82.719 170.4660
82.500000 82.700 170.3548
83.800003 82.616 170.1017
85.000000 82.527 170.4015
86.199997 82.500 170.9166
87.500000 82.511 171.1965
88.500000 82.490 171.1990
90.000000 82.415 171.3961
91.199997 82.341 171.5706
92.500000 82.267 172.0370
93.800003 82.236 172.2925
95.000000 82.189 172.4909
96.199997 82.163 172.8190
97.500000 82.148 173.0101
98.800003 82.111 173.1177
100.000000 82.066 173.3352
101.500000 82.049 173.5809
103.000000 82.034 173.5026
104.400002 81.999 173.5565
106.000000 81.988 174.0475
107.500000 82.023 174.4270
109.000000 82.038 174.5859
110.599998 82.027 174.5366
112.000000 81.977 174.3878
113.800003 81.906 174.5586
115.000000 81.885 174.7977
117.199997 81.874 175.4250
118.000000 81.882 175.6569
120.599998 81.910 175.6628
122.000000 81.888 175.3918
124.099998 81.878 175.3311
125.000000 81.896 175.3885
126.500000 81.933 175.5216
128.000000 81.948 175.6833
131.500000 81.868 175.9904
132.000000 81.854 175.9885
134.000000 81.820 175.8987
136.000000 81.819 175.7524
138.000000 81.818 175.7712
140.000000 81.810 175.8864
143.000000 81.781 175.8070
145.000000 81.747 175.6761
147.500000 81.683 175.8271
150.000000 81.634 176.1771
152.500000 81.609 176.1666
155.000000 81.584 175.9722
157.500000 81.536 175.8588
160.000000 81.468 175.8675
162.500000 81.430 175.9099
165.000000 81.406 175.9998
167.500000 81.349 176.3044
170.000000 81.271 176.5955
172.500000 81.209 176.6505
175.000000 81.169 176.6924
177.500000 81.125 176.9153
180.000000 81.065 177.2069
182.500000 81.006 177.4548
185.000000 80.958 177.7141
187.500000 80.910 178.0007
190.000000 80.860 178.2457
192.500000 80.822 178.4747
195.000000 80.791 178.8058
197.500000 80.752 179.2574
200.000000 80.701 179.6468
203.000000 80.652 -179.9554
206.000000 80.621 -179.5581
209.000000 80.585 -179.1119
212.000000 80.546 -178.7104
214.000000 80.524 -178.4158
218.000000 80.506 -177.7558
220.000000 80.497 -177.5120
224.000000 80.455 -177.0007
227.000000 80.433 -176.4756
230.000000 80.429 -175.9756
233.000000 80.432 -175.5425
236.000000 80.438 -175.1274
240.000000 80.441 -174.5598
243.000000 80.437 -174.1141
247.000000 80.432 -173.5846
250.000000 80.434 -173.2362
254.000000 80.447 -172.7717
258.000000 80.460 -172.2843
262.000000 80.474 -171.8063
265.000000 80.484 -171.4492
269.000000 80.492 -171.0332
272.000000 80.495 -170.7381
276.000000 80.500 -170.2557
280.000000 80.520 -169.6983
285.000000 80.564 -169.1050
290.000000 80.608 -168.6257
295.000000 80.645 -168.2115
300.000000 80.685 -167.8300
304.000000 80.713 -167.5095
307.000000 80.735 -167.2861
311.000000 80.769 -166.9857
315.000000 80.805 -166.6665
320.000000 80.851 -166.3224
325.000000 80.897 -166.0438
330.000000 80.941 -165.8239
