* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:10:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 pop L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.516 -124.2656
1.015000 51.425 -125.6235
1.030000 51.322 -127.0060
1.044000 51.212 -128.3409
1.060000 51.072 -129.9268
1.075000 50.929 -131.4753
1.090000 50.776 -133.0865
1.106000 50.603 -134.8771
1.120000 50.446 -136.5073
1.138000 50.235 -138.6928
1.150000 50.092 -140.2072
1.172000 49.826 -143.1051
1.180000 49.729 -144.1983
1.206000 49.415 -147.8956
1.220000 49.249 -149.9768
1.241000 49.008 -153.2129
1.250000 48.909 -154.6399
1.265000 48.749 -157.0687
1.280000 48.599 -159.5560
1.315000 48.292 -165.5539
1.320000 48.254 -166.4295
1.340000 48.117 -169.9794
1.360000 47.998 -173.6625
1.380000 47.882 -177.5957
1.400000 47.767 178.1641
1.430000 47.600 171.1901
1.450000 47.497 166.1285
1.475000 47.382 159.3645
1.500000 47.288 152.1843
1.525000 47.218 144.7054
1.550000 47.180 137.0825
1.575000 47.178 129.4874
1.600000 47.217 122.0816
1.625000 47.304 114.9929
1.650000 47.443 108.3023
1.675000 47.642 102.0352
1.700000 47.911 96.1378
1.725000 48.259 90.5465
1.750000 48.680 85.2818
1.775000 49.162 80.3766
1.800000 49.692 75.8451
1.825000 50.260 71.6830
1.850000 50.852 67.8734
1.875000 51.457 64.3914
1.900000 52.063 61.2078
1.925000 52.658 58.2925
1.950000 53.229 55.6158
1.975000 53.767 53.1494
2.000000 54.260 50.8642
2.030000 54.793 48.3049
2.060000 55.286 45.8662
2.090000 55.754 43.5187
2.120000 56.201 41.2675
2.140000 56.489 39.8243
2.180000 57.040 37.0836
2.200000 57.305 35.7886
2.240000 57.815 33.3519
2.270000 58.182 31.6591
2.300000 58.538 30.0806
2.330000 58.883 28.6121
2.360000 59.217 27.2379
2.400000 59.639 25.4864
2.430000 59.937 24.2078
2.470000 60.310 22.5554
2.500000 60.575 21.3646
2.540000 60.912 19.8554
2.580000 61.234 18.4506
2.620000 61.545 17.1643
2.650000 61.775 16.2844
2.690000 62.077 15.2254
2.720000 62.298 14.5015
2.760000 62.580 13.6003
2.800000 62.849 12.7611
2.850000 63.170 11.7979
2.900000 63.481 10.9329
2.950000 63.790 10.1714
3.000000 64.101 9.5197
3.040000 64.353 9.0819
3.070000 64.543 8.8032
3.110000 64.793 8.4908
3.150000 65.042 8.2317
3.200000 65.353 7.9595
3.250000 65.667 7.7202
3.300000 65.986 7.4919
3.350000 66.314 7.2629
3.400000 66.652 7.0546
3.450000 66.998 6.8956
3.500000 67.351 6.7628
3.550000 67.709 6.6163
3.600000 68.071 6.4207
3.650000 68.434 6.1482
3.700000 68.798 5.7910
3.750000 69.166 5.3837
3.820000 69.689 4.7809
3.870000 70.064 4.3075
3.950000 70.660 3.4172
4.000000 71.025 2.7524
4.060000 71.454 1.8442
4.120000 71.877 0.8582
4.180000 72.293 -0.1821
4.250000 72.768 -1.4669
4.310000 73.162 -2.6382
4.370000 73.542 -3.8822
4.440000 73.968 -5.4222
4.500000 74.319 -6.7980
4.550000 74.603 -7.9694
4.620000 74.983 -9.6321
4.680000 75.294 -11.0728
4.750000 75.639 -12.7828
4.820000 75.963 -14.5378
4.870000 76.184 -15.8058
4.940000 76.477 -17.5737
5.000000 76.714 -19.0641
5.080000 77.011 -21.0170
5.150000 77.251 -22.7247
5.220000 77.474 -24.4244
5.300000 77.712 -26.3156
5.380000 77.932 -28.1182
5.450000 78.110 -29.6351
5.520000 78.275 -31.1162
5.600000 78.449 -32.7499
5.700000 78.652 -34.6587
5.800000 78.842 -36.4065
5.900000 79.017 -38.0270
6.000000 79.186 -39.5229
6.080000 79.321 -40.6208
6.150000 79.439 -41.5077
6.220000 79.558 -42.3368
6.300000 79.695 -43.2333
6.400000 79.874 -44.2993
6.500000 80.064 -45.2980
6.600000 80.261 -46.2484
6.700000 80.466 -47.2045
6.800000 80.679 -48.1881
6.900000 80.900 -49.1896
7.000000 81.123 -50.2328
7.100000 81.344 -51.3456
7.200000 81.564 -52.5247
7.300000 81.780 -53.7563
7.400000 81.986 -55.0392
7.500000 82.180 -56.3799
7.620000 82.398 -58.0435
7.750000 82.611 -59.8608
7.880000 82.797 -61.6902
8.000000 82.946 -63.3594
8.120000 83.074 -64.9574
8.250000 83.190 -66.6113
8.380000 83.288 -68.1533
8.500000 83.366 -69.4445
8.620000 83.434 -70.6163
8.750000 83.506 -71.7482
8.850000 83.561 -72.5157
9.000000 83.650 -73.5255
9.120000 83.731 -74.2430
9.250000 83.830 -74.9414
9.380000 83.942 -75.5997
9.500000 84.057 -76.2075
9.620000 84.181 -76.8235
9.750000 84.322 -77.5283
9.880000 84.466 -78.2911
10.000000 84.600 -79.0425
10.150000 84.762 -80.0454
10.300000 84.915 -81.1115
10.440000 85.045 -82.1324
10.600000 85.178 -83.3098
10.750000 85.289 -84.3928
10.900000 85.386 -85.4269
11.060000 85.480 -86.4645
11.200000 85.557 -87.3022
11.380000 85.654 -88.2894
11.500000 85.721 -88.9000
11.720000 85.849 -89.9467
11.800000 85.899 -90.3176
12.060000 86.071 -91.5284
12.200000 86.167 -92.2107
12.410000 86.309 -93.2908
12.500000 86.368 -93.7760
12.650000 86.461 -94.6111
12.800000 86.545 -95.4657
13.150000 86.704 -97.4578
13.200000 86.722 -97.7324
13.400000 86.786 -98.7883
13.600000 86.841 -99.7535
13.800000 86.890 -100.6208
14.000000 86.940 -101.3944
14.300000 87.026 -102.4261
14.500000 87.092 -103.0664
14.750000 87.184 -103.8571
15.000000 87.283 -104.6659
15.250000 87.384 -105.5021
15.500000 87.484 -106.3617
15.750000 87.583 -107.2355
16.000000 87.680 -108.1208
16.250000 87.776 -109.0233
16.500000 87.870 -109.9523
16.750000 87.958 -110.9125
17.000000 88.037 -111.8942
17.250000 88.102 -112.8708
17.500000 88.155 -113.8048
17.750000 88.196 -114.6556
18.000000 88.234 -115.3982
18.250000 88.276 -116.0339
18.500000 88.330 -116.5939
18.750000 88.400 -117.1353
19.000000 88.483 -117.7224
19.250000 88.573 -118.4017
19.500000 88.657 -119.1890
19.750000 88.727 -120.0606
20.000000 88.773 -120.9598
20.299999 88.799 -121.9717
20.600000 88.800 -122.8034
20.900000 88.797 -123.4017
21.200001 88.812 -123.8040
21.400000 88.839 -124.0202
21.799999 88.934 -124.5238
22.000000 88.994 -124.8823
22.400000 89.106 -125.8628
22.700001 89.161 -126.7545
23.000000 89.183 -127.6498
23.299999 89.180 -128.4291
23.600000 89.166 -129.0236
24.000000 89.167 -129.5599
24.299999 89.195 -129.8816
24.700001 89.266 -130.3953
25.000000 89.327 -130.9089
25.400000 89.396 -131.7240
25.799999 89.444 -132.5482
26.200001 89.484 -133.2619
26.500000 89.520 -133.7202
26.900000 89.585 -134.3022
27.200001 89.645 -134.7727
27.600000 89.727 -135.4812
28.000000 89.802 -136.2618
28.500000 89.879 -137.2731
29.000000 89.937 -138.2821
29.500000 89.969 -139.2452
30.000000 89.972 -140.0426
30.400000 89.968 -140.4841
30.700001 89.973 -140.7140
31.100000 90.001 -140.9739
31.500000 90.047 -141.3093
32.000000 90.104 -141.9243
32.500000 90.129 -142.6453
33.000000 90.129 -143.2703
33.500000 90.131 -143.7469
34.000000 90.151 -144.1927
34.500000 90.180 -144.7086
35.000000 90.204 -145.2670
35.500000 90.227 -145.8046
36.000000 90.258 -146.3328
36.500000 90.293 -146.8944
37.000000 90.322 -147.4626
37.500000 90.349 -147.9648
38.200001 90.412 -148.6118
38.700001 90.473 -149.2181
39.500000 90.523 -150.5525
40.000000 90.497 -151.3472
40.599998 90.434 -151.9169
41.200001 90.402 -152.0731
41.799999 90.439 -152.1838
42.500000 90.529 -152.7415
43.099998 90.582 -153.5982
43.700001 90.587 -154.4897
44.400002 90.566 -155.2515
45.000000 90.562 -155.7166
45.500000 90.566 -156.0737
46.200001 90.563 -156.4497
46.799999 90.573 -156.5410
47.500000 90.634 -156.5989
48.200001 90.709 -156.9659
48.700001 90.734 -157.3500
49.400002 90.734 -157.7543
50.000000 90.739 -157.9600
50.799999 90.768 -158.3403
51.500000 90.793 -158.8918
52.200001 90.803 -159.6456
53.000000 90.773 -160.6237
53.799999 90.711 -161.2973
54.500000 90.697 -161.5905
55.200001 90.730 -161.9421
56.000000 90.774 -162.4734
57.000000 90.839 -163.0265
58.000000 90.912 -163.7448
59.000000 90.918 -164.4396
60.000000 90.916 -164.7955
60.799999 90.928 -165.2114
61.500000 90.912 -165.7173
62.200001 90.867 -166.1284
63.000000 90.829 -166.3399
64.000000 90.854 -166.6266
65.000000 90.908 -167.3856
66.000000 90.922 -168.3367
67.000000 90.907 -169.1083
68.000000 90.886 -169.6332
69.000000 90.885 -169.9523
70.000000 90.908 -170.3905
71.000000 90.908 -170.9771
72.000000 90.896 -171.4641
73.000000 90.891 -172.0123
74.000000 90.866 -172.5380
75.000000 90.851 -172.8618
76.199997 90.857 -173.3062
77.500000 90.850 -173.8508
78.800003 90.822 -174.3925
80.000000 90.780 -174.7863
81.199997 90.755 -175.1208
82.500000 90.741 -175.6922
83.800003 90.703 -176.3495
85.000000 90.673 -176.8359
86.199997 90.645 -177.4086
87.500000 90.600 -177.9040
88.500000 90.577 -178.2163
90.000000 90.556 -178.7117
91.199997 90.545 -179.1893
92.500000 90.515 -179.7864
93.800003 90.463 179.7656
95.000000 90.425 179.4990
96.199997 90.396 179.1743
97.500000 90.355 178.7755
98.800003 90.316 178.3952
100.000000 90.290 178.0140
101.500000 90.256 177.4031
103.000000 90.207 176.8861
104.400002 90.167 176.5272
106.000000 90.115 176.1110
107.500000 90.060 175.8085
109.000000 90.008 175.4196
110.599998 89.937 174.9467
112.000000 89.880 174.6134
113.800003 89.823 174.1314
115.000000 89.776 173.8032
117.199997 89.693 173.4563
118.000000 89.669 173.3129
120.599998 89.562 172.7355
122.000000 89.502 172.4889
124.099998 89.421 172.0230
125.000000 89.382 171.8034
126.500000 89.316 171.4962
128.000000 89.257 171.2283
131.500000 89.113 170.5498
132.000000 89.090 170.4604
134.000000 88.990 170.1707
136.000000 88.890 169.9988
138.000000 88.796 169.8818
140.000000 88.710 169.7476
143.000000 88.580 169.4379
145.000000 88.485 169.2372
147.500000 88.364 169.0463
150.000000 88.256 168.8564
152.500000 88.154 168.6332
155.000000 88.054 168.5098
157.500000 87.949 168.4192
160.000000 87.829 168.3355
162.500000 87.709 168.2850
165.000000 87.596 168.2746
167.500000 87.486 168.3207
170.000000 87.375 168.3876
172.500000 87.264 168.4333
175.000000 87.156 168.5037
177.500000 87.051 168.6398
180.000000 86.949 168.8304
182.500000 86.848 169.0192
185.000000 86.752 169.1827
187.500000 86.660 169.3151
190.000000 86.570 169.4636
192.500000 86.482 169.6534
195.000000 86.397 169.8564
197.500000 86.313 170.0607
200.000000 86.231 170.2709
203.000000 86.131 170.5791
206.000000 86.028 170.9527
209.000000 85.929 171.2773
212.000000 85.840 171.5696
214.000000 85.784 171.7784
218.000000 85.677 172.1689
220.000000 85.624 172.3507
224.000000 85.523 172.7938
227.000000 85.454 173.1635
230.000000 85.385 173.4883
233.000000 85.316 173.7656
236.000000 85.241 174.0442
240.000000 85.139 174.4465
243.000000 85.066 174.7786
247.000000 84.967 175.2613
250.000000 84.889 175.6293
254.000000 84.780 176.1012
258.000000 84.678 176.5560
262.000000 84.585 176.9565
265.000000 84.511 177.3049
269.000000 84.410 177.8555
272.000000 84.340 178.3022
276.000000 84.255 178.9160
280.000000 84.176 179.5557
285.000000 84.091 -179.5880
290.000000 84.021 -178.8504
295.000000 83.962 -178.2227
300.000000 83.899 -177.6514
304.000000 83.842 -177.2563
307.000000 83.797 -176.9702
311.000000 83.734 -176.5698
315.000000 83.666 -176.1368
