* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:25:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 pop R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.268 43.4463
1.015000 55.394 43.1813
1.030000 55.518 42.9076
1.044000 55.633 42.6450
1.060000 55.762 42.3374
1.075000 55.881 42.0423
1.090000 55.998 41.7412
1.106000 56.121 41.4141
1.120000 56.227 41.1233
1.138000 56.362 40.7438
1.150000 56.451 40.4877
1.172000 56.612 40.0126
1.180000 56.671 39.8383
1.206000 56.857 39.2670
1.220000 56.957 38.9570
1.241000 57.105 38.4895
1.250000 57.168 38.2886
1.265000 57.273 37.9532
1.280000 57.378 37.6174
1.315000 57.621 36.8345
1.320000 57.655 36.7230
1.340000 57.794 36.2780
1.360000 57.932 35.8370
1.380000 58.069 35.4013
1.400000 58.205 34.9705
1.430000 58.406 34.3301
1.450000 58.539 33.9049
1.475000 58.703 33.3727
1.500000 58.865 32.8376
1.525000 59.026 32.2971
1.550000 59.186 31.7491
1.575000 59.345 31.1916
1.600000 59.504 30.6227
1.625000 59.661 30.0407
1.650000 59.818 29.4443
1.675000 59.975 28.8327
1.700000 60.131 28.2096
1.725000 60.287 27.5814
1.750000 60.441 26.9501
1.775000 60.595 26.3158
1.800000 60.748 25.6782
1.825000 60.900 25.0370
1.850000 61.051 24.3918
1.875000 61.202 23.7423
1.900000 61.351 23.0879
1.925000 61.500 22.4282
1.950000 61.648 21.7629
1.975000 61.795 21.0913
2.000000 61.941 20.4132
2.030000 62.115 19.5914
2.060000 62.289 18.7633
2.090000 62.461 17.9316
2.120000 62.632 17.0975
2.140000 62.746 16.5404
2.180000 62.971 15.4248
2.200000 63.083 14.8666
2.240000 63.305 13.7494
2.270000 63.469 12.9111
2.300000 63.632 12.0723
2.330000 63.794 11.2325
2.360000 63.953 10.3907
2.400000 64.164 9.2627
2.430000 64.320 8.4130
2.470000 64.526 7.2790
2.500000 64.678 6.4303
2.540000 64.880 5.3045
2.580000 65.078 4.1887
2.620000 65.273 3.0856
2.650000 65.418 2.2678
2.690000 65.607 1.1890
2.720000 65.748 0.3841
2.760000 65.932 -0.6895
2.800000 66.113 -1.7605
2.850000 66.335 -3.0863
2.900000 66.552 -4.3864
2.950000 66.766 -5.6502
3.000000 66.976 -6.8693
3.040000 67.141 -7.8130
3.070000 67.263 -8.5086
3.110000 67.422 -9.4247
3.150000 67.579 -10.3259
3.200000 67.772 -11.4251
3.250000 67.962 -12.4862
3.300000 68.150 -13.5011
3.350000 68.337 -14.4639
3.400000 68.522 -15.3779
3.450000 68.704 -16.2539
3.500000 68.883 -17.0947
3.550000 69.061 -17.8984
3.600000 69.239 -18.6624
3.650000 69.418 -19.3836
3.700000 69.599 -20.0592
3.750000 69.781 -20.6887
3.820000 70.036 -21.5003
3.870000 70.219 -22.0387
3.950000 70.516 -22.8438
4.000000 70.706 -23.3182
4.060000 70.938 -23.8575
4.120000 71.174 -24.3549
4.180000 71.415 -24.8164
4.250000 71.700 -25.3313
4.310000 71.948 -25.7700
4.370000 72.200 -26.2153
4.440000 72.500 -26.7309
4.500000 72.761 -27.1617
4.550000 72.981 -27.5208
4.620000 73.292 -28.0408
4.680000 73.558 -28.5144
4.750000 73.869 -29.0987
4.820000 74.182 -29.7007
4.870000 74.406 -30.1413
4.940000 74.718 -30.7812
5.000000 74.984 -31.3580
5.080000 75.333 -32.1705
5.150000 75.635 -32.9112
5.220000 75.933 -33.6740
5.300000 76.268 -34.5739
5.380000 76.596 -35.5063
5.450000 76.875 -36.3473
5.520000 77.149 -37.2068
5.600000 77.454 -38.2065
5.700000 77.823 -39.4777
5.800000 78.179 -40.7721
5.900000 78.520 -42.0858
6.000000 78.848 -43.4085
6.080000 79.100 -44.4701
6.150000 79.314 -45.4034
6.220000 79.521 -46.3399
6.300000 79.749 -47.4094
6.400000 80.023 -48.7408
6.500000 80.283 -50.0712
6.600000 80.530 -51.3985
6.700000 80.764 -52.7118
6.800000 80.984 -54.0119
6.900000 81.192 -55.3033
7.000000 81.386 -56.5730
7.100000 81.567 -57.8125
7.200000 81.735 -59.0293
7.300000 81.891 -60.2160
7.400000 82.035 -61.3562
7.500000 82.167 -62.4508
7.620000 82.312 -63.7063
7.750000 82.454 -64.9708
7.880000 82.584 -66.1308
8.000000 82.694 -67.1133
8.120000 82.800 -68.0033
8.250000 82.912 -68.8663
8.380000 83.023 -69.6444
8.500000 83.130 -70.2961
8.620000 83.242 -70.8941
8.750000 83.369 -71.5165
8.850000 83.472 -71.9878
9.000000 83.635 -72.6993
9.120000 83.769 -73.3036
9.250000 83.919 -74.0025
9.380000 84.069 -74.7542
9.500000 84.204 -75.5058
9.620000 84.336 -76.3084
9.750000 84.471 -77.2240
9.880000 84.596 -78.1827
10.000000 84.702 -79.0944
10.150000 84.822 -80.2411
10.300000 84.926 -81.3844
10.440000 85.013 -82.4238
10.600000 85.102 -83.5618
10.750000 85.178 -84.5754
10.900000 85.253 -85.5301
11.060000 85.333 -86.4964
11.200000 85.406 -87.3103
11.380000 85.508 -88.3338
11.500000 85.579 -89.0217
11.720000 85.717 -90.3176
11.800000 85.768 -90.8081
12.060000 85.931 -92.4816
12.200000 86.012 -93.4269
12.410000 86.121 -94.8795
12.500000 86.161 -95.5021
12.650000 86.221 -96.5277
12.800000 86.270 -97.5154
13.150000 86.357 -99.5728
13.200000 86.368 -99.8307
13.400000 86.411 -100.7669
13.600000 86.463 -101.5564
13.800000 86.531 -102.2302
14.000000 86.618 -102.8361
14.300000 86.787 -103.7451
14.500000 86.920 -104.4248
14.750000 87.094 -105.4169
15.000000 87.263 -106.5793
15.250000 87.411 -107.8739
15.500000 87.528 -109.2288
15.750000 87.609 -110.5493
16.000000 87.659 -111.7407
16.250000 87.690 -112.7345
16.500000 87.715 -113.5027
16.750000 87.751 -114.0702
17.000000 87.810 -114.5172
17.250000 87.897 -114.9538
17.500000 88.006 -115.4871
17.750000 88.122 -116.1905
18.000000 88.228 -117.0760
18.250000 88.310 -118.0977
18.500000 88.359 -119.1704
18.750000 88.375 -120.1898
19.000000 88.367 -121.0679
19.250000 88.349 -121.7601
19.500000 88.338 -122.2750
19.750000 88.346 -122.6744
20.000000 88.378 -123.0490
20.299999 88.440 -123.5802
20.600000 88.510 -124.2618
20.900000 88.569 -125.0608
21.200001 88.609 -125.8760
21.400000 88.627 -126.3745
21.799999 88.666 -127.1969
22.000000 88.696 -127.5386
22.400000 88.790 -128.2284
22.700001 88.881 -128.8768
23.000000 88.969 -129.6883
23.299999 89.035 -130.6147
23.600000 89.069 -131.5370
24.000000 89.072 -132.5350
24.299999 89.067 -133.0107
24.700001 89.092 -133.3339
25.000000 89.149 -133.4966
25.400000 89.269 -133.8703
25.799999 89.399 -134.5767
26.200001 89.498 -135.5570
26.500000 89.539 -136.3503
26.900000 89.557 -137.3250
27.200001 89.555 -137.9435
27.600000 89.551 -138.6383
28.000000 89.549 -139.2575
28.500000 89.543 -139.9776
29.000000 89.534 -140.5747
29.500000 89.548 -141.0517
30.000000 89.598 -141.6261
30.400000 89.642 -142.2827
30.700001 89.658 -142.8472
31.100000 89.651 -143.5359
31.500000 89.631 -143.9754
32.000000 89.652 -144.2118
32.500000 89.748 -144.5502
33.000000 89.854 -145.3486
33.500000 89.890 -146.3394
34.000000 89.867 -146.9588
34.500000 89.877 -147.0798
35.000000 89.969 -147.1992
35.500000 90.085 -147.7822
36.000000 90.144 -148.7062
36.500000 90.134 -149.5312
37.000000 90.100 -150.0351
37.500000 90.077 -150.2850
38.200001 90.084 -150.3140
38.700001 90.159 -150.2331
39.500000 90.421 -151.1296
40.000000 90.537 -152.7762
40.599998 90.468 -155.0544
41.200001 90.226 -156.3059
41.799999 90.033 -156.1360
42.500000 90.031 -155.5424
43.099998 90.117 -155.6893
43.700001 90.170 -156.2305
44.400002 90.200 -156.8082
45.000000 90.231 -157.2392
45.500000 90.258 -157.6287
46.200001 90.285 -158.1604
46.799999 90.307 -158.5096
47.500000 90.356 -158.8469
48.200001 90.433 -159.3454
48.700001 90.483 -159.8864
49.400002 90.513 -160.7873
50.000000 90.500 -161.4578
50.799999 90.475 -161.9868
51.500000 90.495 -162.3156
52.200001 90.539 -162.8715
53.000000 90.556 -163.7379
53.799999 90.538 -164.4473
54.500000 90.533 -164.9688
55.200001 90.520 -165.5397
56.000000 90.471 -165.9588
57.000000 90.467 -165.8769
58.000000 90.569 -166.1527
59.000000 90.611 -167.0752
60.000000 90.571 -167.6466
60.799999 90.578 -167.8434
61.500000 90.613 -168.2482
62.200001 90.635 -168.8843
63.000000 90.641 -169.7252
64.000000 90.603 -170.8848
65.000000 90.518 -171.4837
66.000000 90.533 -171.5869
67.000000 90.593 -172.0672
68.000000 90.624 -172.4984
69.000000 90.655 -172.8471
70.000000 90.664 -173.1413
71.000000 90.682 -173.4428
72.000000 90.668 -174.1194
73.000000 90.574 -174.7455
74.000000 90.475 -174.8859
75.000000 90.452 -174.8798
76.199997 90.496 -175.4021
77.500000 90.483 -176.5698
78.800003 90.384 -177.1165
80.000000 90.386 -177.1798
81.199997 90.410 -177.9030
82.500000 90.351 -178.7209
83.800003 90.302 -179.1882
85.000000 90.275 -179.6566
86.199997 90.240 -179.9796
87.500000 90.211 179.8621
88.500000 90.197 179.7974
90.000000 90.170 179.4118
91.199997 90.117 178.9340
92.500000 90.061 178.1919
93.800003 89.993 177.2623
95.000000 89.959 176.5065
96.199997 89.941 175.7115
97.500000 89.931 175.2336
98.800003 89.936 174.7879
100.000000 89.904 174.5492
101.500000 89.848 174.3648
103.000000 89.789 174.0347
104.400002 89.731 173.4698
106.000000 89.658 172.7401
107.500000 89.629 172.3325
109.000000 89.607 171.7348
110.599998 89.573 171.3715
112.000000 89.506 170.7005
113.800003 89.353 170.5480
115.000000 89.321 170.5325
117.199997 89.280 169.7171
118.000000 89.231 169.3956
120.599998 89.137 169.3976
122.000000 89.129 168.7155
124.099998 88.963 167.6517
125.000000 88.877 167.6286
126.500000 88.819 168.1135
128.000000 88.892 168.1702
131.500000 88.832 165.9171
132.000000 88.797 165.6834
134.000000 88.644 164.9198
136.000000 88.453 164.7613
138.000000 88.294 165.2577
140.000000 88.182 165.3812
143.000000 87.977 164.3639
145.000000 87.851 163.6500
147.500000 87.794 163.2434
150.000000 87.790 163.5802
152.500000 87.730 163.8028
155.000000 87.629 164.0268
157.500000 87.498 163.8691
160.000000 87.365 163.7057
162.500000 87.209 163.9831
165.000000 87.045 163.6920
167.500000 86.950 163.5714
170.000000 86.908 162.8229
172.500000 86.738 162.6558
175.000000 86.595 163.4055
177.500000 86.558 163.3513
180.000000 86.474 162.4852
182.500000 86.300 162.2359
185.000000 86.150 162.9990
187.500000 86.083 163.8537
190.000000 86.045 164.2231
192.500000 86.000 164.2314
195.000000 85.941 164.2798
197.500000 85.855 164.6295
200.000000 85.729 165.1221
203.000000 85.580 165.2953
206.000000 85.494 165.3199
209.000000 85.421 165.6943
212.000000 85.306 166.1880
214.000000 85.226 166.2513
218.000000 85.092 166.3822
220.000000 85.042 166.6407
224.000000 84.951 166.9714
227.000000 84.883 167.1077
230.000000 84.799 167.3484
233.000000 84.707 167.6124
236.000000 84.626 167.8836
240.000000 84.535 168.2338
243.000000 84.469 168.5102
247.000000 84.388 168.9870
250.000000 84.313 169.3679
254.000000 84.200 169.8218
258.000000 84.113 170.0708
262.000000 84.024 170.5626
265.000000 83.964 170.7818
269.000000 83.835 171.0339
272.000000 83.731 171.6202
276.000000 83.657 172.4744
280.000000 83.637 172.9743
285.000000 83.592 173.3044
290.000000 83.489 173.7749
295.000000 83.356 174.3765
300.000000 83.223 174.9454
304.000000 83.144 175.2696
307.000000 83.103 175.6075
311.000000 83.053 176.2253
315.000000 82.996 176.6594
320.000000 82.923 177.1595
