* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:13:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 pop anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 56.920 -168.4292
1.015000 56.967 -170.4495
1.030000 57.013 -172.5466
1.044000 57.054 -174.5935
1.060000 57.099 -177.0371
1.075000 57.140 -179.4226
1.090000 57.179 178.1086
1.106000 57.221 175.3936
1.120000 57.258 172.9582
1.138000 57.305 169.7601
1.150000 57.337 167.5954
1.172000 57.399 163.5820
1.180000 57.422 162.1144
1.206000 57.503 157.3437
1.220000 57.551 154.7893
1.241000 57.627 150.9992
1.250000 57.663 149.3953
1.265000 57.725 146.7557
1.280000 57.792 144.1631
1.315000 57.971 138.3205
1.320000 57.999 137.5106
1.340000 58.119 134.3263
1.360000 58.252 131.1895
1.380000 58.397 128.0394
1.400000 58.552 124.8696
1.430000 58.804 120.1130
1.450000 58.983 116.9656
1.475000 59.217 113.0849
1.500000 59.460 109.2863
1.525000 59.710 105.5885
1.550000 59.966 102.0039
1.575000 60.224 98.5394
1.600000 60.483 95.1970
1.625000 60.741 91.9738
1.650000 60.996 88.8628
1.675000 61.246 85.8477
1.700000 61.495 82.8804
1.725000 61.748 79.9099
1.750000 62.006 76.9410
1.775000 62.268 73.9979
1.800000 62.533 71.1037
1.825000 62.799 68.2777
1.850000 63.064 65.5349
1.875000 63.327 62.8865
1.900000 63.586 60.3398
1.925000 63.840 57.8990
1.950000 64.088 55.5651
1.975000 64.328 53.3365
2.000000 64.558 51.2066
2.030000 64.822 48.7449
2.060000 65.077 46.3124
2.090000 65.323 43.8842
2.120000 65.563 41.4757
2.140000 65.718 39.8913
2.180000 66.018 36.7974
2.200000 66.162 35.2978
2.240000 66.440 32.4131
2.270000 66.639 30.3629
2.300000 66.828 28.4191
2.330000 67.008 26.5847
2.360000 67.179 24.8441
2.400000 67.391 22.5797
2.430000 67.539 20.8878
2.470000 67.722 18.6519
2.500000 67.850 17.0073
2.540000 68.007 14.8853
2.580000 68.150 12.8745
2.620000 68.282 11.0074
2.650000 68.373 9.7190
2.690000 68.484 8.1577
2.720000 68.557 7.0748
2.760000 68.641 5.6930
2.800000 68.708 4.3715
2.850000 68.776 2.8266
2.900000 68.830 1.4392
2.950000 68.879 0.2563
3.000000 68.927 -0.6729
3.040000 68.964 -1.2151
3.070000 68.988 -1.5154
3.110000 69.009 -1.7922
3.150000 69.024 -1.9378
3.200000 69.042 -1.9434
3.250000 69.072 -1.7605
3.300000 69.126 -1.3981
3.350000 69.215 -0.8616
3.400000 69.340 -0.1259
3.450000 69.491 0.8312
3.500000 69.667 1.9513
3.550000 69.869 3.1445
3.600000 70.098 4.3190
3.650000 70.357 5.3927
3.700000 70.649 6.3241
3.750000 70.979 7.1685
3.820000 71.506 8.2742
3.870000 71.915 8.9364
3.950000 72.595 9.6066
4.000000 73.020 9.7191
4.060000 73.522 9.5521
4.120000 74.029 9.1667
4.180000 74.541 8.6158
4.250000 75.135 7.7502
4.310000 75.628 6.7972
4.370000 76.098 5.6389
4.440000 76.619 4.0598
4.500000 77.047 2.5671
4.550000 77.390 1.2517
4.620000 77.848 -0.6775
4.680000 78.218 -2.4080
4.750000 78.622 -4.5356
4.820000 78.998 -6.7885
4.870000 79.249 -8.4476
4.940000 79.578 -10.7958
5.000000 79.839 -12.8066
5.080000 80.158 -15.4999
5.150000 80.408 -17.9220
5.220000 80.633 -20.3848
5.300000 80.860 -23.1732
5.380000 81.057 -25.8813
5.450000 81.205 -28.2238
5.520000 81.329 -30.5800
5.600000 81.444 -33.2435
5.700000 81.553 -36.4187
5.800000 81.621 -39.4211
5.900000 81.650 -42.3307
6.000000 81.647 -45.0660
6.080000 81.625 -47.0656
6.150000 81.589 -48.6936
6.220000 81.541 -50.2245
6.300000 81.475 -51.8404
6.400000 81.385 -53.6091
6.500000 81.286 -55.0724
6.600000 81.182 -56.2609
6.700000 81.090 -57.2046
6.800000 81.019 -57.8893
6.900000 80.967 -58.3125
7.000000 80.943 -58.5651
7.100000 80.956 -58.7239
7.200000 81.009 -58.7832
7.300000 81.095 -58.8030
7.400000 81.211 -58.8920
7.500000 81.358 -59.0792
7.620000 81.567 -59.4304
7.750000 81.813 -60.0476
7.880000 82.068 -60.9365
8.000000 82.305 -61.9531
8.120000 82.528 -63.1387
8.250000 82.753 -64.5999
8.380000 82.955 -66.1656
8.500000 83.117 -67.6606
8.620000 83.256 -69.1913
8.750000 83.384 -70.8179
8.850000 83.466 -72.0260
9.000000 83.567 -73.7603
9.120000 83.635 -75.0396
9.250000 83.698 -76.3075
9.380000 83.755 -77.4587
9.500000 83.809 -78.4124
9.620000 83.864 -79.2696
9.750000 83.930 -80.1156
9.880000 84.004 -80.8904
10.000000 84.079 -81.5577
10.150000 84.183 -82.3676
10.300000 84.297 -83.1665
10.440000 84.407 -83.9224
10.600000 84.536 -84.8138
10.750000 84.656 -85.6719
10.900000 84.770 -86.5498
11.060000 84.884 -87.4939
11.200000 84.977 -88.3113
11.380000 85.086 -89.3369
11.500000 85.153 -89.9924
11.720000 85.267 -91.1257
11.800000 85.306 -91.5137
12.060000 85.430 -92.6885
12.200000 85.495 -93.2748
12.410000 85.593 -94.1078
12.500000 85.636 -94.4534
12.650000 85.706 -95.0186
12.800000 85.776 -95.5745
13.150000 85.930 -96.8480
13.200000 85.951 -97.0266
13.400000 86.031 -97.7284
13.600000 86.105 -98.4021
13.800000 86.176 -99.0410
14.000000 86.243 -99.6404
14.300000 86.344 -100.4739
14.500000 86.413 -100.9989
14.750000 86.503 -101.6425
15.000000 86.594 -102.2935
15.250000 86.686 -102.9633
15.500000 86.773 -103.6497
15.750000 86.854 -104.3375
16.000000 86.930 -105.0043
16.250000 87.001 -105.6300
16.500000 87.072 -106.2039
16.750000 87.147 -106.7278
17.000000 87.229 -107.2171
17.250000 87.319 -107.6942
17.500000 87.417 -108.1823
17.750000 87.521 -108.6986
18.000000 87.626 -109.2502
18.250000 87.731 -109.8340
18.500000 87.833 -110.4397
18.750000 87.931 -111.0535
19.000000 88.025 -111.6627
19.250000 88.116 -112.2584
19.500000 88.204 -112.8358
19.750000 88.290 -113.3929
20.000000 88.374 -113.9297
20.299999 88.472 -114.5461
20.600000 88.569 -115.1294
20.900000 88.663 -115.6751
21.200001 88.758 -116.1802
21.400000 88.822 -116.4955
21.799999 88.957 -117.0896
22.000000 89.028 -117.3817
22.400000 89.180 -118.0007
22.700001 89.299 -118.5330
23.000000 89.416 -119.1476
23.299999 89.525 -119.8440
23.600000 89.619 -120.5953
24.000000 89.716 -121.5966
24.299999 89.772 -122.2776
24.700001 89.838 -123.0312
25.000000 89.895 -123.4943
25.400000 89.993 -124.0736
25.799999 90.111 -124.7444
26.200001 90.231 -125.5800
26.500000 90.309 -126.2891
26.900000 90.393 -127.2467
27.200001 90.446 -127.9158
27.600000 90.515 -128.7209
28.000000 90.596 -129.4851
28.500000 90.708 -130.5154
29.000000 90.810 -131.6644
29.500000 90.889 -132.8224
30.000000 90.955 -133.8975
30.400000 91.009 -134.7191
30.700001 91.049 -135.3374
31.100000 91.096 -136.1653
31.500000 91.134 -136.9572
32.000000 91.179 -137.8409
32.500000 91.241 -138.6642
33.000000 91.319 -139.5977
33.500000 91.387 -140.7274
34.000000 91.415 -141.9316
34.500000 91.408 -142.9909
35.000000 91.394 -143.8063
35.500000 91.401 -144.4755
36.000000 91.428 -145.1619
36.500000 91.456 -145.9293
37.000000 91.474 -146.7207
37.500000 91.485 -147.4708
38.200001 91.505 -148.4892
38.700001 91.516 -149.2544
39.500000 91.505 -150.4550
40.000000 91.489 -151.0860
40.599998 91.482 -151.7582
41.200001 91.486 -152.4785
41.799999 91.479 -153.2618
42.500000 91.455 -154.0902
43.099998 91.442 -154.7052
43.700001 91.441 -155.3710
44.400002 91.426 -156.2481
45.000000 91.392 -156.9275
45.500000 91.364 -157.3783
46.200001 91.345 -157.9515
46.799999 91.336 -158.5067
47.500000 91.313 -159.1877
48.200001 91.280 -159.7838
48.700001 91.260 -160.1596
49.400002 91.238 -160.6750
50.000000 91.218 -161.1112
50.799999 91.194 -161.6568
51.500000 91.179 -162.1417
52.200001 91.161 -162.6662
53.000000 91.127 -163.2391
53.799999 91.090 -163.7145
54.500000 91.064 -164.0851
55.200001 91.041 -164.4530
56.000000 91.013 -164.8674
57.000000 90.976 -165.3330
58.000000 90.944 -165.7456
59.000000 90.915 -166.1707
60.000000 90.881 -166.5867
60.799999 90.851 -166.8727
61.500000 90.828 -167.0907
62.200001 90.809 -167.3026
63.000000 90.790 -167.5649
64.000000 90.762 -167.9061
65.000000 90.731 -168.2360
66.000000 90.699 -168.5692
67.000000 90.662 -168.8746
68.000000 90.631 -169.1337
69.000000 90.610 -169.4053
70.000000 90.589 -169.7057
71.000000 90.569 -169.9923
72.000000 90.553 -170.2648
73.000000 90.538 -170.5370
74.000000 90.522 -170.8073
75.000000 90.502 -171.0554
76.199997 90.477 -171.2871
77.500000 90.459 -171.5039
78.800003 90.444 -171.7382
80.000000 90.430 -171.9581
81.199997 90.416 -172.1885
82.500000 90.398 -172.4564
83.800003 90.377 -172.7352
85.000000 90.357 -172.9824
86.199997 90.339 -173.2161
87.500000 90.323 -173.4437
88.500000 90.315 -173.5961
90.000000 90.308 -173.8080
91.199997 90.303 -173.9835
92.500000 90.292 -174.1851
93.800003 90.276 -174.3994
95.000000 90.259 -174.6195
96.199997 90.242 -174.8674
97.500000 90.226 -175.1495
98.800003 90.216 -175.4213
100.000000 90.212 -175.6602
101.500000 90.210 -175.9447
103.000000 90.205 -176.2245
104.400002 90.195 -176.4907
106.000000 90.178 -176.8140
107.500000 90.162 -177.1550
109.000000 90.148 -177.5179
110.599998 90.134 -177.9009
112.000000 90.122 -178.2179
113.800003 90.102 -178.5931
115.000000 90.085 -178.8375
117.199997 90.048 -179.2867
118.000000 90.035 -179.4592
120.599998 89.989 179.9282
122.000000 89.963 179.5992
124.099998 89.920 179.0947
125.000000 89.900 178.8751
126.500000 89.865 178.5071
128.000000 89.830 178.1279
131.500000 89.744 177.2665
132.000000 89.731 177.1513
134.000000 89.678 176.6857
136.000000 89.616 176.2037
138.000000 89.545 175.7482
140.000000 89.469 175.3342
143.000000 89.352 174.7714
145.000000 89.268 174.4340
147.500000 89.155 174.0489
150.000000 89.036 173.6908
152.500000 88.912 173.3588
155.000000 88.785 173.0540
157.500000 88.656 172.7987
160.000000 88.529 172.6050
162.500000 88.402 172.4591
165.000000 88.275 172.3519
167.500000 88.148 172.2849
170.000000 88.023 172.2581
172.500000 87.900 172.2531
175.000000 87.778 172.3069
177.500000 87.659 172.4185
180.000000 87.543 172.5933
182.500000 87.431 172.7748
185.000000 87.318 172.9669
187.500000 87.208 173.2070
190.000000 87.103 173.4659
192.500000 86.999 173.7408
195.000000 86.897 174.0673
197.500000 86.799 174.4383
200.000000 86.705 174.8197
203.000000 86.593 175.2626
206.000000 86.483 175.7208
209.000000 86.378 176.2343
212.000000 86.279 176.7807
214.000000 86.215 177.1567
218.000000 86.089 177.9030
220.000000 86.028 178.2589
224.000000 85.918 178.9393
227.000000 85.846 179.4480
230.000000 85.780 179.9832
233.000000 85.716 -179.4655
236.000000 85.655 -178.9118
240.000000 85.577 -178.1870
243.000000 85.519 -177.6472
247.000000 85.445 -176.9097
250.000000 85.395 -176.3650
254.000000 85.330 -175.6517
258.000000 85.268 -174.9247
262.000000 85.210 -174.2438
265.000000 85.169 -173.7574
269.000000 85.118 -173.0804
272.000000 85.081 -172.5577
276.000000 85.033 -171.8605
280.000000 84.986 -171.1425
285.000000 84.926 -170.1371
290.000000 84.886 -169.0968
295.000000 84.862 -168.1384
300.000000 84.845 -167.2798
304.000000 84.836 -166.5924
307.000000 84.829 -166.0596
311.000000 84.816 -165.3657
