* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:20:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 pop anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.367 20.3070
1.015000 50.471 19.1374
1.030000 50.572 17.9646
1.044000 50.665 16.8509
1.060000 50.768 15.5569
1.075000 50.862 14.3281
1.090000 50.954 13.0893
1.106000 51.049 11.7630
1.120000 51.129 10.6032
1.138000 51.227 9.1202
1.150000 51.290 8.1410
1.172000 51.400 6.3752
1.180000 51.437 5.7454
1.206000 51.551 3.7562
1.220000 51.607 2.7289
1.241000 51.683 1.2566
1.250000 51.712 0.6540
1.265000 51.757 -0.3087
1.280000 51.796 -1.2148
1.315000 51.866 -3.0818
1.320000 51.873 -3.3179
1.340000 51.895 -4.1861
1.360000 51.903 -4.9677
1.380000 51.896 -5.7260
1.400000 51.873 -6.4777
1.430000 51.814 -7.5790
1.450000 51.760 -8.2819
1.475000 51.679 -9.1065
1.500000 51.587 -9.8500
1.525000 51.487 -10.4876
1.550000 51.382 -10.9925
1.575000 51.276 -11.3348
1.600000 51.172 -11.4823
1.625000 51.073 -11.4002
1.650000 50.982 -11.0524
1.675000 50.900 -10.4096
1.700000 50.814 -9.4862
1.725000 50.704 -8.3276
1.750000 50.571 -6.9301
1.775000 50.421 -5.2662
1.800000 50.266 -3.3065
1.825000 50.113 -1.0266
1.850000 49.974 1.5883
1.875000 49.858 4.5368
1.900000 49.774 7.7952
1.925000 49.733 11.3112
1.950000 49.744 15.0040
1.975000 49.817 18.7691
2.000000 49.963 22.4963
2.030000 50.245 26.8238
2.060000 50.649 31.0075
2.090000 51.163 34.9888
2.120000 51.766 38.6501
2.140000 52.209 40.8664
2.180000 53.164 44.6890
2.200000 53.664 46.2822
2.240000 54.682 48.8385
2.270000 55.438 50.2292
2.300000 56.165 51.2020
2.330000 56.848 51.7969
2.360000 57.482 52.0840
2.400000 58.288 52.2009
2.430000 58.882 52.1740
2.470000 59.664 51.9953
2.500000 60.240 51.7490
2.540000 60.991 51.2659
2.580000 61.719 50.6033
2.620000 62.420 49.7600
2.650000 62.925 49.0092
2.690000 63.569 47.8620
2.720000 64.029 46.9232
2.760000 64.613 45.6217
2.800000 65.168 44.2876
2.850000 65.823 42.5842
2.900000 66.444 40.8402
2.950000 67.034 39.0481
3.000000 67.602 37.1949
3.040000 68.039 35.6599
3.070000 68.356 34.4795
3.110000 68.762 32.8793
3.150000 69.149 31.2652
3.200000 69.609 29.2482
3.250000 70.045 27.2458
3.300000 70.461 25.2636
3.350000 70.860 23.2959
3.400000 71.240 21.3149
3.450000 71.599 19.2993
3.500000 71.938 17.2692
3.550000 72.257 15.2538
3.600000 72.560 13.2756
3.650000 72.848 11.3490
3.700000 73.121 9.4716
3.750000 73.380 7.6073
3.820000 73.714 4.9796
3.870000 73.934 3.1155
3.950000 74.259 0.2238
4.000000 74.448 -1.4969
4.060000 74.660 -3.4766
4.120000 74.854 -5.4172
4.180000 75.030 -7.3322
4.250000 75.217 -9.4968
4.310000 75.365 -11.2551
4.370000 75.504 -12.9002
4.440000 75.653 -14.6998
4.500000 75.767 -16.1723
4.550000 75.855 -17.3496
4.620000 75.973 -18.9060
4.680000 76.072 -20.1380
4.750000 76.187 -21.4440
4.820000 76.297 -22.6222
4.870000 76.374 -23.3996
4.940000 76.484 -24.4141
5.000000 76.584 -25.2245
5.080000 76.730 -26.2152
5.150000 76.866 -26.9816
5.220000 77.011 -27.6784
5.300000 77.188 -28.4471
5.380000 77.379 -29.2341
5.450000 77.560 -29.9282
5.520000 77.753 -30.6137
5.600000 77.984 -31.4218
5.700000 78.281 -32.5460
5.800000 78.585 -33.8195
5.900000 78.897 -35.2007
6.000000 79.205 -36.6992
6.080000 79.442 -38.0018
6.150000 79.644 -39.2185
6.220000 79.839 -40.4905
6.300000 80.053 -41.9871
6.400000 80.299 -43.9023
6.500000 80.521 -45.8884
6.600000 80.721 -47.9200
6.700000 80.896 -49.9205
6.800000 81.046 -51.8732
6.900000 81.171 -53.8004
7.000000 81.276 -55.6471
7.100000 81.364 -57.3576
7.200000 81.433 -58.9459
7.300000 81.489 -60.4114
7.400000 81.541 -61.7182
7.500000 81.591 -62.8488
7.620000 81.651 -64.0046
7.750000 81.734 -65.0482
7.880000 81.842 -65.8751
8.000000 81.967 -66.5171
8.120000 82.122 -67.1358
8.250000 82.324 -67.7950
8.380000 82.552 -68.5342
8.500000 82.780 -69.3584
8.620000 83.020 -70.3115
8.750000 83.281 -71.5158
8.850000 83.475 -72.5766
9.000000 83.751 -74.3406
9.120000 83.949 -75.8644
9.250000 84.137 -77.6194
9.380000 84.294 -79.4148
9.500000 84.409 -81.0615
9.620000 84.496 -82.6889
9.750000 84.561 -84.3645
9.880000 84.599 -85.9098
10.000000 84.612 -87.2120
10.150000 84.609 -88.6150
10.300000 84.591 -89.7547
10.440000 84.571 -90.5861
10.600000 84.557 -91.2605
10.750000 84.558 -91.6768
10.900000 84.583 -91.9316
11.060000 84.636 -92.0862
11.200000 84.706 -92.1895
11.380000 84.824 -92.3290
11.500000 84.915 -92.4646
11.720000 85.099 -92.8327
11.800000 85.169 -93.0097
12.060000 85.394 -93.7393
12.200000 85.510 -94.2145
12.410000 85.673 -95.0133
12.500000 85.738 -95.3794
12.650000 85.840 -96.0150
12.800000 85.933 -96.6745
13.150000 86.113 -98.2621
13.200000 86.134 -98.4893
13.400000 86.205 -99.3835
13.600000 86.257 -100.2239
13.800000 86.291 -100.9740
14.000000 86.311 -101.5952
14.300000 86.337 -102.2403
14.500000 86.364 -102.4885
14.750000 86.426 -102.6605
15.000000 86.527 -102.8092
15.250000 86.662 -103.0772
15.500000 86.814 -103.5613
15.750000 86.962 -104.2832
16.000000 87.084 -105.1752
16.250000 87.172 -106.1163
16.500000 87.230 -106.9802
16.750000 87.272 -107.6717
17.000000 87.319 -108.1744
17.250000 87.390 -108.5554
17.500000 87.490 -108.9351
17.750000 87.614 -109.4418
18.000000 87.741 -110.1439
18.250000 87.849 -111.0226
18.500000 87.922 -111.9828
18.750000 87.953 -112.8758
19.000000 87.952 -113.5532
19.250000 87.942 -113.9224
19.500000 87.950 -113.9793
19.750000 88.002 -113.8271
20.000000 88.108 -113.6464
20.299999 88.294 -113.6537
20.600000 88.507 -114.0872
20.900000 88.697 -114.9390
21.200001 88.833 -116.0312
21.400000 88.888 -116.7678
21.799999 88.936 -117.9659
22.000000 88.948 -118.3535
22.400000 89.000 -118.7573
22.700001 89.089 -118.9423
23.000000 89.218 -119.2605
23.299999 89.361 -119.8484
23.600000 89.489 -120.7099
24.000000 89.598 -122.0783
24.299999 89.630 -123.0530
24.700001 89.637 -124.0305
25.000000 89.647 -124.4842
25.400000 89.705 -124.8775
25.799999 89.819 -125.3297
26.200001 89.954 -126.0483
26.500000 90.045 -126.7406
26.900000 90.135 -127.6907
27.200001 90.190 -128.3047
27.600000 90.274 -128.9438
28.000000 90.397 -129.5152
28.500000 90.598 -130.4953
29.000000 90.787 -131.9456
29.500000 90.907 -133.6093
30.000000 90.966 -135.0946
30.400000 91.001 -136.0635
30.700001 91.032 -136.7119
31.100000 91.080 -137.5526
31.500000 91.121 -138.3973
32.000000 91.157 -139.3845
32.500000 91.188 -140.2162
33.000000 91.234 -140.9594
33.500000 91.291 -141.7361
34.000000 91.342 -142.5392
34.500000 91.392 -143.2812
35.000000 91.462 -144.0008
35.500000 91.552 -144.8768
36.000000 91.631 -145.9944
36.500000 91.672 -147.2096
37.000000 91.681 -148.3120
37.500000 91.689 -149.2622
38.200001 91.713 -150.5883
38.700001 91.711 -151.5789
39.500000 91.665 -152.8567
40.000000 91.651 -153.4036
40.599998 91.669 -154.0781
41.200001 91.687 -154.9375
41.799999 91.677 -155.8283
42.500000 91.652 -156.6933
43.099998 91.642 -157.3611
43.700001 91.637 -158.0782
44.400002 91.621 -158.9487
45.000000 91.597 -159.6515
45.500000 91.575 -160.1648
46.200001 91.553 -160.7379
46.799999 91.563 -161.1862
47.500000 91.597 -161.8867
48.200001 91.611 -162.8005
48.700001 91.597 -163.4519
49.400002 91.554 -164.2272
50.000000 91.508 -164.7454
50.799999 91.444 -165.1826
51.500000 91.415 -165.3964
52.200001 91.415 -165.7142
53.000000 91.407 -166.3138
53.799999 91.371 -166.9327
54.500000 91.338 -167.4020
55.200001 91.314 -167.8892
56.000000 91.287 -168.5271
57.000000 91.239 -169.2800
58.000000 91.208 -169.8544
59.000000 91.200 -170.4879
60.000000 91.180 -171.1077
60.799999 91.161 -171.5415
61.500000 91.139 -171.8853
62.200001 91.114 -172.1475
63.000000 91.096 -172.4190
64.000000 91.070 -172.8345
65.000000 91.040 -173.2101
66.000000 91.016 -173.7065
67.000000 90.967 -174.1522
68.000000 90.946 -174.4259
69.000000 90.940 -174.9248
70.000000 90.901 -175.3711
71.000000 90.879 -175.5581
72.000000 90.885 -175.8790
73.000000 90.865 -176.3516
74.000000 90.821 -176.6444
75.000000 90.797 -176.7729
76.199997 90.795 -177.0831
77.500000 90.775 -177.6312
78.800003 90.726 -178.0741
80.000000 90.691 -178.2759
81.199997 90.684 -178.4713
82.500000 90.684 -178.8066
83.800003 90.684 -179.1772
85.000000 90.685 -179.5956
86.199997 90.677 179.9503
87.500000 90.667 179.5045
88.500000 90.662 179.1746
90.000000 90.650 178.7044
91.199997 90.636 178.4080
92.500000 90.620 178.1754
93.800003 90.608 177.9576
95.000000 90.594 177.7119
96.199997 90.575 177.4296
97.500000 90.553 177.0873
98.800003 90.535 176.7003
100.000000 90.523 176.3128
101.500000 90.515 175.8323
103.000000 90.510 175.3665
104.400002 90.504 174.9545
106.000000 90.493 174.5096
107.500000 90.480 174.0810
109.000000 90.463 173.6382
110.599998 90.446 173.1752
112.000000 90.433 172.7756
113.800003 90.416 172.2471
115.000000 90.399 171.8814
117.199997 90.365 171.2151
118.000000 90.353 170.9531
120.599998 90.312 170.0862
122.000000 90.289 169.6332
124.099998 90.252 168.9742
125.000000 90.232 168.6979
126.500000 90.197 168.2460
128.000000 90.159 167.7834
131.500000 90.060 166.6924
132.000000 90.044 166.5427
134.000000 89.979 165.9813
136.000000 89.913 165.4233
138.000000 89.841 164.8337
140.000000 89.765 164.2499
143.000000 89.653 163.4099
145.000000 89.575 162.8558
147.500000 89.468 162.2190
150.000000 89.356 161.6622
152.500000 89.240 161.1570
155.000000 89.119 160.6930
157.500000 88.994 160.2743
160.000000 88.866 159.9064
162.500000 88.733 159.5822
165.000000 88.599 159.2711
167.500000 88.467 158.9779
170.000000 88.341 158.7441
172.500000 88.217 158.6024
175.000000 88.091 158.5158
177.500000 87.963 158.4589
180.000000 87.840 158.4352
182.500000 87.719 158.4420
185.000000 87.599 158.4843
187.500000 87.484 158.5544
190.000000 87.375 158.6456
192.500000 87.270 158.7645
195.000000 87.166 158.9081
197.500000 87.065 159.0717
200.000000 86.969 159.2595
203.000000 86.859 159.5057
206.000000 86.755 159.7788
209.000000 86.654 160.0552
212.000000 86.557 160.3281
214.000000 86.496 160.5117
218.000000 86.379 160.9338
220.000000 86.324 161.1638
224.000000 86.216 161.5994
227.000000 86.140 161.9140
230.000000 86.068 162.2327
233.000000 86.000 162.5569
236.000000 85.934 162.8970
240.000000 85.852 163.3504
243.000000 85.794 163.6803
247.000000 85.719 164.1240
250.000000 85.663 164.4685
254.000000 85.590 164.9251
258.000000 85.522 165.3644
262.000000 85.460 165.7966
265.000000 85.414 166.0925
269.000000 85.356 166.4853
272.000000 85.317 166.7798
276.000000 85.265 167.1669
280.000000 85.209 167.5921
285.000000 85.151 168.2306
290.000000 85.106 168.7865
295.000000 85.061 169.2621
300.000000 85.021 169.7089
304.000000 84.989 170.0768
307.000000 84.966 170.3542
311.000000 84.938 170.7078
315.000000 84.917 171.0718
320.000000 84.892 171.5587
