* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:11:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 rock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 46.879 175.5652
1.015000 47.040 171.3794
1.030000 47.233 167.1841
1.044000 47.442 163.2728
1.060000 47.713 158.8519
1.075000 47.994 154.7961
1.090000 48.300 150.8606
1.106000 48.650 146.8237
1.120000 48.974 143.4439
1.138000 49.411 139.3203
1.150000 49.713 136.7126
1.172000 50.284 132.2207
1.180000 50.496 130.6770
1.206000 51.193 125.9686
1.220000 51.571 123.6146
1.241000 52.135 120.2959
1.250000 52.374 118.9446
1.265000 52.767 116.7779
1.280000 53.151 114.7084
1.315000 53.996 110.1973
1.320000 54.110 109.5837
1.340000 54.545 107.1927
1.360000 54.955 104.8877
1.380000 55.353 102.6579
1.400000 55.745 100.5024
1.430000 56.322 97.4067
1.450000 56.699 95.4310
1.475000 57.161 93.0535
1.500000 57.614 90.7696
1.525000 58.056 88.5685
1.550000 58.489 86.4393
1.575000 58.911 84.3709
1.600000 59.324 82.3521
1.625000 59.726 80.3721
1.650000 60.118 78.4204
1.675000 60.499 76.4861
1.700000 60.869 74.5572
1.725000 61.226 72.6304
1.750000 61.572 70.7156
1.775000 61.906 68.8242
1.800000 62.229 66.9645
1.825000 62.542 65.1423
1.850000 62.847 63.3610
1.875000 63.143 61.6219
1.900000 63.431 59.9248
1.925000 63.712 58.2681
1.950000 63.986 56.6491
1.975000 64.255 55.0643
2.000000 64.519 53.5082
2.030000 64.829 51.6624
2.060000 65.129 49.8143
2.090000 65.417 47.9615
2.120000 65.695 46.1164
2.140000 65.875 44.8965
2.180000 66.222 42.4940
2.200000 66.389 41.3158
2.240000 66.712 39.0128
2.270000 66.946 37.3360
2.300000 67.172 35.7036
2.330000 67.392 34.1135
2.360000 67.605 32.5543
2.400000 67.877 30.4756
2.430000 68.072 28.9034
2.470000 68.319 26.8053
2.500000 68.495 25.2439
2.540000 68.719 23.1964
2.580000 68.930 21.2054
2.620000 69.130 19.2864
2.650000 69.272 17.9006
2.690000 69.453 16.1199
2.720000 69.581 14.8087
2.760000 69.741 13.0550
2.800000 69.888 11.2974
2.850000 70.057 9.1249
2.900000 70.208 7.0184
2.950000 70.342 5.0164
3.000000 70.462 3.1507
3.040000 70.546 1.7531
3.070000 70.602 0.7325
3.110000 70.666 -0.6134
3.150000 70.720 -1.9381
3.200000 70.773 -3.5392
3.250000 70.813 -5.0457
3.300000 70.842 -6.4186
3.350000 70.860 -7.6257
3.400000 70.866 -8.6755
3.450000 70.856 -9.6133
3.500000 70.831 -10.4467
3.550000 70.799 -11.1597
3.600000 70.765 -11.7305
3.650000 70.735 -12.1341
3.700000 70.711 -12.3480
3.750000 70.688 -12.3629
3.820000 70.650 -12.0700
3.870000 70.628 -11.6595
3.950000 70.625 -10.7084
4.000000 70.658 -9.9624
4.060000 70.743 -8.9208
4.120000 70.871 -7.6827
4.180000 71.036 -6.2946
4.250000 71.273 -4.6360
4.310000 71.515 -3.3120
4.370000 71.795 -2.1577
4.440000 72.178 -0.9799
4.500000 72.553 -0.0786
4.550000 72.889 0.5522
4.620000 73.377 1.1697
4.680000 73.798 1.4044
4.750000 74.287 1.3552
4.820000 74.784 1.0580
4.870000 75.144 0.7140
4.940000 75.642 0.0412
5.000000 76.056 -0.7220
5.080000 76.583 -2.0027
5.150000 77.023 -3.3245
5.220000 77.447 -4.7836
5.300000 77.907 -6.5826
5.380000 78.338 -8.5089
5.450000 78.690 -10.3099
5.520000 79.021 -12.2065
5.600000 79.373 -14.4390
5.700000 79.776 -17.2598
5.800000 80.136 -20.1361
5.900000 80.455 -23.0896
6.000000 80.736 -26.0178
6.080000 80.935 -28.3043
6.150000 81.091 -30.2966
6.220000 81.229 -32.2852
6.300000 81.367 -34.5134
6.400000 81.516 -37.1722
6.500000 81.637 -39.7183
6.600000 81.731 -42.1728
6.700000 81.806 -44.4764
6.800000 81.865 -46.5996
6.900000 81.907 -48.5727
7.000000 81.940 -50.3902
7.100000 81.970 -52.0256
7.200000 81.998 -53.4785
7.300000 82.027 -54.7762
7.400000 82.065 -55.9385
7.500000 82.114 -56.9601
7.620000 82.190 -58.0283
7.750000 82.297 -59.0844
7.880000 82.433 -60.0631
8.000000 82.581 -60.9392
8.120000 82.746 -61.8635
8.250000 82.943 -62.9247
8.380000 83.149 -64.0690
8.500000 83.339 -65.2266
8.620000 83.528 -66.4678
8.750000 83.722 -67.8826
8.850000 83.861 -69.0194
9.000000 84.052 -70.7708
9.120000 84.185 -72.1646
9.250000 84.310 -73.6573
9.380000 84.416 -75.0930
9.500000 84.498 -76.3309
9.620000 84.568 -77.4827
9.750000 84.634 -78.6096
9.880000 84.695 -79.5927
10.000000 84.750 -80.3810
10.150000 84.824 -81.2142
10.300000 84.910 -81.8925
10.440000 85.006 -82.4357
10.600000 85.136 -82.9882
10.750000 85.277 -83.4950
10.900000 85.433 -84.0418
11.060000 85.612 -84.6945
11.200000 85.771 -85.3521
11.380000 85.973 -86.3113
11.500000 86.101 -87.0140
11.720000 86.314 -88.4011
11.800000 86.384 -88.9189
12.060000 86.577 -90.5967
12.200000 86.663 -91.4528
12.410000 86.775 -92.6386
12.500000 86.819 -93.1019
12.650000 86.891 -93.8142
12.800000 86.964 -94.4630
13.150000 87.154 -95.8213
13.200000 87.184 -96.0117
13.400000 87.311 -96.7947
13.600000 87.442 -97.6520
13.800000 87.570 -98.6002
14.000000 87.686 -99.6365
14.300000 87.824 -101.2733
14.500000 87.889 -102.3452
14.750000 87.944 -103.5695
15.000000 87.982 -104.5946
15.250000 88.024 -105.4091
15.500000 88.086 -106.0641
15.750000 88.178 -106.6664
16.000000 88.297 -107.3358
16.250000 88.430 -108.1539
16.500000 88.560 -109.1426
16.750000 88.672 -110.2606
17.000000 88.758 -111.4207
17.250000 88.820 -112.5292
17.500000 88.867 -113.5167
17.750000 88.915 -114.3617
18.000000 88.975 -115.1034
18.250000 89.054 -115.8212
18.500000 89.149 -116.6024
18.750000 89.248 -117.5085
19.000000 89.337 -118.5439
19.250000 89.402 -119.6577
19.500000 89.436 -120.7617
19.750000 89.444 -121.7550
20.000000 89.435 -122.5603
20.299999 89.427 -123.2448
20.600000 89.449 -123.6944
20.900000 89.513 -124.0785
21.200001 89.613 -124.5784
21.400000 89.689 -125.0322
21.799999 89.825 -126.2191
22.000000 89.874 -126.8926
22.400000 89.933 -128.1984
22.700001 89.956 -129.0236
23.000000 89.984 -129.6985
23.299999 90.030 -130.2979
23.600000 90.095 -130.9338
24.000000 90.186 -131.9586
24.299999 90.235 -132.8365
24.700001 90.260 -133.9619
25.000000 90.257 -134.6255
25.400000 90.262 -135.1824
25.799999 90.318 -135.5181
26.200001 90.436 -135.9712
26.500000 90.544 -136.5566
26.900000 90.668 -137.6924
27.200001 90.724 -138.7052
27.600000 90.741 -140.0400
28.000000 90.711 -141.1347
28.500000 90.659 -142.0458
29.000000 90.639 -142.6156
29.500000 90.658 -143.1115
30.000000 90.699 -143.6763
30.400000 90.740 -144.1923
30.700001 90.773 -144.6165
31.100000 90.818 -145.2354
31.500000 90.862 -145.9143
32.000000 90.907 -146.8185
32.500000 90.941 -147.7313
33.000000 90.967 -148.6133
33.500000 90.990 -149.4572
34.000000 91.009 -150.2625
34.500000 91.024 -151.0162
35.000000 91.036 -151.7044
35.500000 91.048 -152.3272
36.000000 91.061 -152.9003
36.500000 91.075 -153.4437
37.000000 91.088 -153.9738
37.500000 91.098 -154.4972
38.200001 91.104 -155.2042
38.700001 91.106 -155.6790
39.500000 91.114 -156.4288
40.000000 91.123 -156.9445
40.599998 91.130 -157.6329
41.200001 91.128 -158.3540
41.799999 91.120 -159.0496
42.500000 91.115 -159.8097
43.099998 91.120 -160.4478
43.700001 91.129 -161.1039
44.400002 91.139 -161.8836
45.000000 91.143 -162.5262
45.500000 91.145 -163.0270
46.200001 91.149 -163.6888
46.799999 91.150 -164.2296
47.500000 91.148 -164.8110
48.200001 91.150 -165.3554
48.700001 91.153 -165.7583
49.400002 91.152 -166.3445
50.000000 91.145 -166.8223
50.799999 91.143 -167.4435
51.500000 91.140 -168.0469
52.200001 91.123 -168.6403
53.000000 91.100 -169.1747
53.799999 91.098 -169.6450
54.500000 91.104 -170.1296
55.200001 91.101 -170.6656
56.000000 91.084 -171.2219
57.000000 91.067 -171.7762
58.000000 91.066 -172.3635
59.000000 91.062 -173.0529
60.000000 91.042 -173.8021
60.799999 91.014 -174.3080
61.500000 91.000 -174.6843
62.200001 90.994 -175.1052
63.000000 90.979 -175.6048
64.000000 90.964 -176.1691
65.000000 90.946 -176.7650
66.000000 90.925 -177.2695
67.000000 90.911 -177.8228
68.000000 90.880 -178.3584
69.000000 90.856 -178.8070
70.000000 90.835 -179.2695
71.000000 90.817 -179.7745
72.000000 90.785 179.7238
73.000000 90.765 179.3549
74.000000 90.757 178.7571
75.000000 90.704 178.1866
76.199997 90.666 177.8140
77.500000 90.642 177.1461
78.800003 90.597 176.6071
80.000000 90.572 176.0557
81.199997 90.513 175.5209
82.500000 90.460 175.3603
83.800003 90.471 175.1085
85.000000 90.473 174.4915
86.199997 90.433 173.8513
87.500000 90.378 173.3616
88.500000 90.348 173.0737
90.000000 90.327 172.6541
91.199997 90.314 172.2455
92.500000 90.283 171.7850
93.800003 90.229 171.3849
95.000000 90.164 171.0869
96.199997 90.096 170.8467
97.500000 90.032 170.5604
98.800003 89.980 170.1948
100.000000 89.948 169.8003
101.500000 89.918 169.2432
103.000000 89.888 168.7844
104.400002 89.859 168.5220
106.000000 89.819 168.3336
107.500000 89.766 168.1496
109.000000 89.696 167.9008
110.599998 89.617 167.5920
112.000000 89.561 167.2734
113.800003 89.505 166.8330
115.000000 89.472 166.5823
117.199997 89.417 166.2460
118.000000 89.395 166.1250
120.599998 89.314 165.6421
122.000000 89.261 165.3993
124.099998 89.215 165.0555
125.000000 89.194 164.8794
126.500000 89.163 164.6577
128.000000 89.137 164.4155
131.500000 89.026 163.7724
132.000000 89.010 163.7139
134.000000 88.953 163.4573
136.000000 88.899 163.1628
138.000000 88.835 162.8906
140.000000 88.772 162.7281
143.000000 88.676 162.5428
145.000000 88.609 162.3849
147.500000 88.525 162.1333
150.000000 88.464 161.8665
152.500000 88.412 161.5986
155.000000 88.350 161.3871
157.500000 88.281 161.1996
160.000000 88.217 161.0113
162.500000 88.157 160.8400
165.000000 88.096 160.6937
167.500000 88.034 160.5474
170.000000 87.976 160.3770
172.500000 87.919 160.1948
175.000000 87.860 160.0408
177.500000 87.801 159.8831
180.000000 87.743 159.7162
182.500000 87.686 159.5969
185.000000 87.630 159.5231
187.500000 87.572 159.4440
190.000000 87.515 159.3489
192.500000 87.457 159.2687
195.000000 87.399 159.1983
197.500000 87.338 159.0699
200.000000 87.280 158.9429
203.000000 87.224 158.8922
206.000000 87.161 158.8822
209.000000 87.094 158.8651
212.000000 87.039 158.7696
214.000000 87.004 158.6926
218.000000 86.921 158.6289
220.000000 86.878 158.6277
224.000000 86.797 158.6309
227.000000 86.733 158.6140
230.000000 86.669 158.5655
233.000000 86.609 158.4796
236.000000 86.553 158.4479
240.000000 86.481 158.5358
243.000000 86.426 158.5786
247.000000 86.351 158.5306
250.000000 86.295 158.4901
254.000000 86.215 158.4840
258.000000 86.134 158.5278
262.000000 86.057 158.6277
265.000000 86.002 158.7195
269.000000 85.931 158.8577
272.000000 85.880 158.9597
276.000000 85.814 159.1143
280.000000 85.753 159.3495
285.000000 85.690 159.6975
290.000000 85.654 159.9603
295.000000 85.629 160.1211
300.000000 85.596 160.1641
304.000000 85.558 160.1422
307.000000 85.523 160.1260
311.000000 85.478 160.1555
315.000000 85.433 160.1699
320.000000 85.371 160.1705
325.000000 85.302 160.2146
330.000000 85.232 160.2689
