* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:27:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 rock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 52.278 64.9333
1.015000 52.419 63.8966
1.030000 52.559 62.8760
1.044000 52.690 61.9346
1.060000 52.840 60.8714
1.075000 52.981 59.8877
1.090000 53.121 58.9170
1.106000 53.271 57.8967
1.120000 53.402 57.0172
1.138000 53.570 55.9057
1.150000 53.682 55.1772
1.172000 53.887 53.8689
1.180000 53.961 53.4022
1.206000 54.202 51.9204
1.220000 54.330 51.1455
1.241000 54.522 50.0146
1.250000 54.604 49.5418
1.265000 54.740 48.7702
1.280000 54.875 48.0195
1.315000 55.187 46.3513
1.320000 55.232 46.1228
1.340000 55.407 45.2330
1.360000 55.581 44.3789
1.380000 55.753 43.5537
1.400000 55.923 42.7539
1.430000 56.176 41.5983
1.450000 56.343 40.8555
1.475000 56.551 39.9559
1.500000 56.756 39.0871
1.525000 56.960 38.2475
1.550000 57.163 37.4357
1.575000 57.364 36.6509
1.600000 57.564 35.8920
1.625000 57.763 35.1585
1.650000 57.961 34.4497
1.675000 58.159 33.7654
1.700000 58.355 33.1055
1.725000 58.550 32.4699
1.750000 58.743 31.8571
1.775000 58.935 31.2654
1.800000 59.125 30.6932
1.825000 59.314 30.1393
1.850000 59.502 29.6024
1.875000 59.690 29.0817
1.900000 59.877 28.5761
1.925000 60.063 28.0850
1.950000 60.250 27.6078
1.975000 60.437 27.1440
2.000000 60.624 26.6936
2.030000 60.849 26.1734
2.060000 61.074 25.6816
2.090000 61.298 25.2178
2.120000 61.522 24.7767
2.140000 61.671 24.4926
2.180000 61.968 23.9417
2.200000 62.117 23.6721
2.240000 62.414 23.1389
2.270000 62.637 22.7401
2.300000 62.860 22.3389
2.330000 63.083 21.9335
2.360000 63.306 21.5268
2.400000 63.605 21.0010
2.430000 63.830 20.6244
2.470000 64.129 20.1375
2.500000 64.354 19.7769
2.540000 64.654 19.2922
2.580000 64.952 18.7937
2.620000 65.249 18.2722
2.650000 65.471 17.8618
2.690000 65.765 17.2887
2.720000 65.985 16.8492
2.760000 66.278 16.2653
2.800000 66.570 15.6834
2.850000 66.933 14.9477
2.900000 67.293 14.1891
2.950000 67.649 13.3952
3.000000 67.999 12.5561
3.040000 68.275 11.8533
3.070000 68.480 11.3159
3.110000 68.750 10.5930
3.150000 69.018 9.8632
3.200000 69.349 8.9376
3.250000 69.673 7.9922
3.300000 69.991 7.0213
3.350000 70.302 6.0203
3.400000 70.605 4.9904
3.450000 70.902 3.9404
3.500000 71.192 2.8773
3.550000 71.475 1.8050
3.600000 71.751 0.7258
3.650000 72.020 -0.3598
3.700000 72.281 -1.4532
3.750000 72.535 -2.5594
3.820000 72.878 -4.1279
3.870000 73.114 -5.2529
3.950000 73.477 -7.0421
4.000000 73.695 -8.1468
4.060000 73.948 -9.4613
4.120000 74.191 -10.7775
4.180000 74.423 -12.0937
4.250000 74.683 -13.6118
4.310000 74.897 -14.8839
4.370000 75.103 -16.1224
4.440000 75.333 -17.5379
4.500000 75.521 -18.7362
4.550000 75.672 -19.7198
4.620000 75.876 -21.0620
4.680000 76.046 -22.1712
4.750000 76.237 -23.4167
4.820000 76.421 -24.6230
4.870000 76.548 -25.4629
4.940000 76.722 -26.6049
5.000000 76.868 -27.5482
5.080000 77.060 -28.7509
5.150000 77.225 -29.7559
5.220000 77.386 -30.7243
5.300000 77.569 -31.7930
5.380000 77.753 -32.8254
5.450000 77.913 -33.6965
5.520000 78.074 -34.5388
5.600000 78.258 -35.4777
5.700000 78.489 -36.6366
5.800000 78.722 -37.7838
5.900000 78.956 -38.9155
6.000000 79.189 -40.0509
6.080000 79.375 -40.9737
6.150000 79.536 -41.7904
6.220000 79.697 -42.6132
6.300000 79.878 -43.5612
6.400000 80.099 -44.7622
6.500000 80.313 -45.9854
6.600000 80.520 -47.2215
6.700000 80.719 -48.4555
6.800000 80.908 -49.6864
6.900000 81.087 -50.9160
7.000000 81.258 -52.1250
7.100000 81.420 -53.2980
7.200000 81.573 -54.4402
7.300000 81.718 -55.5461
7.400000 81.857 -56.5991
7.500000 81.992 -57.5958
7.620000 82.148 -58.7258
7.750000 82.316 -59.8659
7.880000 82.484 -60.9154
8.000000 82.642 -61.8235
8.120000 82.806 -62.6920
8.250000 82.991 -63.5926
8.380000 83.182 -64.4858
8.500000 83.365 -65.3269
8.620000 83.552 -66.1876
8.750000 83.757 -67.1681
8.850000 83.915 -67.9654
9.000000 84.149 -69.2253
9.120000 84.329 -70.2919
9.250000 84.515 -71.5063
9.380000 84.689 -72.7611
9.500000 84.836 -73.9444
9.620000 84.970 -75.1449
9.750000 85.100 -76.4359
9.880000 85.214 -77.7019
10.000000 85.305 -78.8390
10.150000 85.404 -80.1833
10.300000 85.486 -81.4333
10.440000 85.555 -82.5014
10.600000 85.626 -83.5956
10.750000 85.692 -84.5098
10.900000 85.761 -85.3235
11.060000 85.841 -86.1053
11.200000 85.919 -86.7427
11.380000 86.031 -87.5262
11.500000 86.111 -88.0517
11.720000 86.269 -89.0486
11.800000 86.328 -89.4303
12.060000 86.518 -90.7508
12.200000 86.615 -91.5068
12.410000 86.751 -92.6808
12.500000 86.805 -93.1888
12.650000 86.888 -94.0337
12.800000 86.965 -94.8618
13.150000 87.125 -96.6760
13.200000 87.147 -96.9191
13.400000 87.235 -97.8537
13.600000 87.327 -98.7420
13.800000 87.426 -99.6089
14.000000 87.532 -100.4844
14.300000 87.699 -101.8671
14.500000 87.809 -102.8535
14.750000 87.939 -104.1578
15.000000 88.055 -105.5116
15.250000 88.153 -106.8714
15.500000 88.234 -108.1945
15.750000 88.302 -109.4478
16.000000 88.362 -110.6167
16.250000 88.417 -111.7023
16.500000 88.470 -112.7133
16.750000 88.522 -113.6582
17.000000 88.572 -114.5379
17.250000 88.620 -115.3462
17.500000 88.669 -116.0762
17.750000 88.723 -116.7281
18.000000 88.784 -117.3182
18.250000 88.857 -117.8794
18.500000 88.942 -118.4529
18.750000 89.034 -119.0787
19.000000 89.127 -119.7795
19.250000 89.214 -120.5537
19.500000 89.289 -121.3782
19.750000 89.349 -122.2143
20.000000 89.395 -123.0221
20.299999 89.438 -123.9145
20.600000 89.475 -124.7109
20.900000 89.516 -125.4367
21.200001 89.563 -126.1379
21.400000 89.597 -126.6127
21.799999 89.663 -127.6042
22.000000 89.692 -128.1164
22.400000 89.740 -129.1370
22.700001 89.768 -129.8681
23.000000 89.793 -130.5536
23.299999 89.818 -131.1931
23.600000 89.846 -131.7952
24.000000 89.890 -132.5581
24.299999 89.928 -133.1140
24.700001 89.987 -133.8589
25.000000 90.035 -134.4398
25.400000 90.100 -135.2633
25.799999 90.158 -136.1302
26.200001 90.203 -136.9883
26.500000 90.230 -137.5894
26.900000 90.265 -138.3129
27.200001 90.296 -138.8120
27.600000 90.348 -139.4717
28.000000 90.408 -140.1888
28.500000 90.484 -141.2297
29.000000 90.539 -142.4357
29.500000 90.556 -143.7249
30.000000 90.526 -144.9011
30.400000 90.479 -145.5999
30.700001 90.449 -145.9451
31.100000 90.436 -146.2274
31.500000 90.468 -146.4829
32.000000 90.547 -147.0261
32.500000 90.619 -147.8413
33.000000 90.664 -148.6813
33.500000 90.709 -149.3924
34.000000 90.779 -150.1277
34.500000 90.847 -151.0860
35.000000 90.865 -152.1482
35.500000 90.831 -152.9543
36.000000 90.802 -153.3387
36.500000 90.825 -153.5622
37.000000 90.885 -154.0045
37.500000 90.924 -154.7335
38.200001 90.906 -155.7555
38.700001 90.876 -156.2563
39.500000 90.868 -156.9396
40.000000 90.873 -157.4817
40.599998 90.868 -158.2096
41.200001 90.856 -158.9565
41.799999 90.830 -159.6804
42.500000 90.789 -160.2690
43.099998 90.795 -160.4944
43.700001 90.871 -160.8817
44.400002 90.950 -161.9562
45.000000 90.928 -162.9321
45.500000 90.883 -163.3370
46.200001 90.902 -163.5798
46.799999 90.968 -164.2299
47.500000 90.963 -165.4634
48.200001 90.867 -166.3710
48.700001 90.804 -166.7609
49.400002 90.721 -167.2476
50.000000 90.630 -167.3632
50.799999 90.621 -166.8135
51.500000 90.791 -166.8516
52.200001 90.943 -168.1110
53.000000 90.929 -169.8390
53.799999 90.835 -170.6374
54.500000 90.814 -170.7889
55.200001 90.858 -171.0211
56.000000 90.909 -171.7281
57.000000 90.854 -172.7056
58.000000 90.754 -172.8474
59.000000 90.730 -172.7031
60.000000 90.746 -172.7690
60.799999 90.779 -173.1273
61.500000 90.780 -173.7170
62.200001 90.741 -174.2337
63.000000 90.716 -174.4793
64.000000 90.778 -175.0349
65.000000 90.813 -176.2341
66.000000 90.771 -177.2999
67.000000 90.716 -177.7795
68.000000 90.732 -177.9501
69.000000 90.764 -178.5385
70.000000 90.714 -179.1835
71.000000 90.620 -179.5444
72.000000 90.504 -179.6000
73.000000 90.428 -179.4841
74.000000 90.390 -179.6013
75.000000 90.386 179.9532
76.199997 90.350 178.8477
77.500000 90.282 178.1494
78.800003 90.276 177.4780
80.000000 90.271 177.0974
81.199997 90.273 176.5419
82.500000 90.195 176.0972
83.800003 90.130 175.8546
85.000000 90.056 175.3605
86.199997 89.957 174.9263
87.500000 89.878 174.6024
88.500000 89.844 174.2817
90.000000 89.812 173.6631
91.199997 89.781 172.9739
92.500000 89.712 172.3610
93.800003 89.661 172.0496
95.000000 89.639 171.8663
96.199997 89.637 171.7178
97.500000 89.629 171.4621
98.800003 89.596 171.2988
100.000000 89.569 171.1097
101.500000 89.522 170.7921
103.000000 89.501 170.4901
104.400002 89.508 170.1058
106.000000 89.491 169.6638
107.500000 89.439 169.5387
109.000000 89.364 169.4190
110.599998 89.239 169.0875
112.000000 89.118 168.7610
113.800003 89.039 168.4548
115.000000 89.035 168.0534
117.199997 89.012 167.4871
118.000000 88.989 167.3489
120.599998 88.876 167.1891
122.000000 88.810 167.0026
124.099998 88.764 166.7195
125.000000 88.759 166.4692
126.500000 88.735 166.1187
128.000000 88.707 166.0094
131.500000 88.609 165.7351
132.000000 88.592 165.7303
134.000000 88.542 165.5729
136.000000 88.465 165.2303
138.000000 88.368 165.0840
140.000000 88.284 165.0207
143.000000 88.215 164.7654
145.000000 88.160 164.2921
147.500000 88.044 163.9721
150.000000 87.958 164.0150
152.500000 87.914 163.8509
155.000000 87.865 163.4975
157.500000 87.805 163.2604
160.000000 87.737 163.2578
162.500000 87.665 163.2849
165.000000 87.590 163.2202
167.500000 87.530 163.0572
170.000000 87.473 162.9525
172.500000 87.413 163.0017
175.000000 87.350 163.0449
177.500000 87.285 162.9662
180.000000 87.213 162.8067
182.500000 87.143 162.7142
185.000000 87.075 162.6943
187.500000 87.017 162.7181
190.000000 86.958 162.6812
192.500000 86.903 162.6587
195.000000 86.851 162.5865
197.500000 86.797 162.5427
200.000000 86.746 162.5504
203.000000 86.684 162.6683
206.000000 86.618 162.7324
209.000000 86.547 162.7000
212.000000 86.485 162.7339
214.000000 86.445 162.7646
218.000000 86.367 162.7181
220.000000 86.333 162.7039
224.000000 86.261 162.8047
227.000000 86.192 162.8681
230.000000 86.119 162.9716
233.000000 86.048 163.1268
236.000000 85.982 163.1589
240.000000 85.909 163.2088
243.000000 85.858 163.2726
247.000000 85.780 163.3806
250.000000 85.718 163.5660
254.000000 85.630 163.6921
258.000000 85.567 163.7490
262.000000 85.491 163.9055
265.000000 85.427 163.9941
269.000000 85.348 164.2374
272.000000 85.282 164.5003
276.000000 85.215 164.7864
280.000000 85.188 165.1605
285.000000 85.134 165.4286
290.000000 85.068 165.4711
295.000000 84.991 165.6665
300.000000 84.913 166.0105
304.000000 84.861 166.3021
307.000000 84.821 166.4855
311.000000 84.769 166.6831
315.000000 84.721 166.8832
320.000000 84.660 167.1222
325.000000 84.600 167.2687
330.000000 84.547 167.4208
