* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:14:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 rock anc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.255 64.1438
1.015000 49.515 63.0730
1.030000 49.771 62.0238
1.044000 50.009 61.0672
1.060000 50.280 60.0014
1.075000 50.532 59.0284
1.090000 50.784 58.0805
1.106000 51.050 57.0963
1.120000 51.282 56.2572
1.138000 51.578 55.2076
1.150000 51.774 54.5255
1.172000 52.131 53.3100
1.180000 52.260 52.8788
1.206000 52.674 51.5146
1.220000 52.894 50.8025
1.241000 53.222 49.7618
1.250000 53.360 49.3253
1.265000 53.590 48.6098
1.280000 53.817 47.9085
1.315000 54.336 46.3226
1.320000 54.409 46.1014
1.340000 54.698 45.2291
1.360000 54.982 44.3777
1.380000 55.261 43.5493
1.400000 55.535 42.7435
1.430000 55.938 41.5734
1.450000 56.202 40.8170
1.475000 56.525 39.8955
1.500000 56.843 38.9983
1.525000 57.155 38.1230
1.550000 57.461 37.2675
1.575000 57.762 36.4297
1.600000 58.058 35.6078
1.625000 58.350 34.8002
1.650000 58.638 34.0053
1.675000 58.921 33.2217
1.700000 59.200 32.4481
1.725000 59.474 31.6844
1.750000 59.741 30.9319
1.775000 60.003 30.1918
1.800000 60.260 29.4655
1.825000 60.512 28.7540
1.850000 60.760 28.0580
1.875000 61.003 27.3782
1.900000 61.243 26.7152
1.925000 61.480 26.0692
1.950000 61.713 25.4406
1.975000 61.944 24.8294
2.000000 62.173 24.2356
2.030000 62.444 23.5440
2.060000 62.709 22.8709
2.090000 62.969 22.2139
2.120000 63.224 21.5728
2.140000 63.391 21.1544
2.180000 63.719 20.3393
2.200000 63.880 19.9428
2.240000 64.199 19.1723
2.270000 64.434 18.6143
2.300000 64.668 18.0737
2.330000 64.900 17.5506
2.360000 65.131 17.0456
2.400000 65.434 16.4003
2.430000 65.658 15.9358
2.470000 65.951 15.3383
2.500000 66.168 14.9040
2.540000 66.454 14.3402
2.580000 66.738 13.7904
2.620000 67.019 13.2520
2.650000 67.229 12.8543
2.690000 67.509 12.3331
2.720000 67.718 11.9537
2.760000 67.994 11.4682
2.800000 68.269 11.0017
2.850000 68.609 10.4333
2.900000 68.946 9.8679
2.950000 69.282 9.2937
3.000000 69.615 8.7020
3.040000 69.881 8.2186
3.070000 70.080 7.8586
3.110000 70.345 7.3869
3.150000 70.608 6.9201
3.200000 70.936 6.3322
3.250000 71.261 5.7268
3.300000 71.582 5.0921
3.350000 71.900 4.4212
3.400000 72.215 3.7230
3.450000 72.527 3.0160
3.500000 72.836 2.3007
3.550000 73.142 1.5702
3.600000 73.443 0.8169
3.650000 73.738 0.0341
3.700000 74.028 -0.7814
3.750000 74.313 -1.6237
3.820000 74.703 -2.8306
3.870000 74.975 -3.7089
3.950000 75.399 -5.1424
4.000000 75.655 -6.0580
4.060000 75.952 -7.1807
4.120000 76.241 -8.3305
4.180000 76.520 -9.4988
4.250000 76.833 -10.8707
4.310000 77.091 -12.0450
4.370000 77.338 -13.2157
4.440000 77.614 -14.5899
4.500000 77.840 -15.7791
4.550000 78.021 -16.7691
4.620000 78.262 -18.1365
4.680000 78.460 -19.2807
4.750000 78.680 -20.5874
4.820000 78.886 -21.8824
4.870000 79.026 -22.7973
4.940000 79.213 -24.0488
5.000000 79.366 -25.0812
5.080000 79.561 -26.3942
5.150000 79.721 -27.5002
5.220000 79.872 -28.5696
5.300000 80.037 -29.7341
5.380000 80.197 -30.8226
5.450000 80.333 -31.7123
5.520000 80.464 -32.5524
5.600000 80.611 -33.4587
5.700000 80.794 -34.5140
5.800000 80.980 -35.4775
5.900000 81.168 -36.3592
6.000000 81.360 -37.1972
6.080000 81.520 -37.8516
6.150000 81.664 -38.4067
6.220000 81.810 -38.9496
6.300000 81.982 -39.5750
6.400000 82.200 -40.3929
6.500000 82.425 -41.2477
6.600000 82.653 -42.1379
6.700000 82.880 -43.0884
6.800000 83.106 -44.1123
6.900000 83.328 -45.1985
7.000000 83.545 -46.3411
7.100000 83.753 -47.5434
7.200000 83.951 -48.8064
7.300000 84.139 -50.1120
7.400000 84.314 -51.4417
7.500000 84.475 -52.7975
7.620000 84.652 -54.4492
7.750000 84.823 -56.2214
7.880000 84.972 -57.9685
8.000000 85.093 -59.5467
8.120000 85.200 -61.0593
8.250000 85.301 -62.6266
8.380000 85.392 -64.1132
8.500000 85.470 -65.4009
8.620000 85.544 -66.6151
8.750000 85.624 -67.8595
8.850000 85.687 -68.7679
9.000000 85.785 -70.0682
9.120000 85.867 -71.0788
9.250000 85.962 -72.1521
9.380000 86.061 -73.2215
9.500000 86.155 -74.2225
9.620000 86.250 -75.2387
9.750000 86.353 -76.3625
9.880000 86.453 -77.5162
10.000000 86.542 -78.6017
10.150000 86.645 -79.9751
10.300000 86.739 -81.3606
10.440000 86.817 -82.6414
10.600000 86.894 -84.0753
10.750000 86.957 -85.3723
10.900000 87.012 -86.6048
11.060000 87.065 -87.8432
11.200000 87.110 -88.8539
11.380000 87.168 -90.0588
11.500000 87.210 -90.8097
11.720000 87.296 -92.0951
11.800000 87.331 -92.5430
12.060000 87.456 -93.9553
12.200000 87.531 -94.7097
12.410000 87.649 -95.8514
12.500000 87.700 -96.3483
12.650000 87.786 -97.1870
12.800000 87.870 -98.0353
13.150000 88.056 -100.0249
13.200000 88.081 -100.3062
13.400000 88.177 -101.4168
13.600000 88.268 -102.4943
13.800000 88.356 -103.5368
14.000000 88.442 -104.5481
14.300000 88.570 -106.0308
14.500000 88.651 -107.0119
14.750000 88.746 -108.2409
15.000000 88.827 -109.4629
15.250000 88.891 -110.6447
15.500000 88.937 -111.7399
15.750000 88.970 -112.6989
16.000000 88.998 -113.4917
16.250000 89.035 -114.1275
16.500000 89.091 -114.6563
16.750000 89.171 -115.1644
17.000000 89.273 -115.7491
17.250000 89.385 -116.4822
17.500000 89.493 -117.3907
17.750000 89.581 -118.4450
18.000000 89.639 -119.5672
18.250000 89.663 -120.6556
18.500000 89.661 -121.6113
18.750000 89.645 -122.3634
19.000000 89.634 -122.8988
19.250000 89.645 -123.2655
19.500000 89.687 -123.5592
19.750000 89.762 -123.8948
20.000000 89.859 -124.3654
20.299999 89.983 -125.1661
20.600000 90.094 -126.1945
20.900000 90.174 -127.3438
21.200001 90.222 -128.4862
21.400000 90.242 -129.1933
21.799999 90.268 -130.4256
22.000000 90.283 -130.9618
22.400000 90.324 -131.9558
22.700001 90.361 -132.6938
23.000000 90.395 -133.4464
23.299999 90.421 -134.1928
23.600000 90.437 -134.8927
24.000000 90.449 -135.6995
24.299999 90.460 -136.2036
24.700001 90.486 -136.7870
25.000000 90.513 -137.2030
25.400000 90.556 -137.7766
25.799999 90.599 -138.3843
26.200001 90.637 -139.0095
26.500000 90.662 -139.4775
26.900000 90.692 -140.0940
27.200001 90.712 -140.5529
27.600000 90.738 -141.1667
28.000000 90.762 -141.7876
28.500000 90.785 -142.5723
29.000000 90.803 -143.3486
29.500000 90.815 -144.0922
30.000000 90.830 -144.7972
30.400000 90.844 -145.3499
30.700001 90.857 -145.7681
31.100000 90.874 -146.3325
31.500000 90.889 -146.8911
32.000000 90.908 -147.5557
32.500000 90.932 -148.1882
33.000000 90.963 -148.8374
33.500000 90.993 -149.5316
34.000000 91.012 -150.2291
34.500000 91.023 -150.8591
35.000000 91.038 -151.4101
35.500000 91.065 -151.9503
36.000000 91.095 -152.5511
36.500000 91.117 -153.2126
37.000000 91.125 -153.8721
37.500000 91.124 -154.4696
38.200001 91.120 -155.1860
38.700001 91.123 -155.6465
39.500000 91.141 -156.3750
40.000000 91.157 -156.8628
40.599998 91.175 -157.5043
41.200001 91.186 -158.1899
41.799999 91.188 -158.8766
42.500000 91.182 -159.6404
43.099998 91.175 -160.2616
43.700001 91.165 -160.8606
44.400002 91.152 -161.5300
45.000000 91.138 -162.0658
45.500000 91.125 -162.4745
46.200001 91.111 -162.9894
46.799999 91.105 -163.4078
47.500000 91.099 -163.9138
48.200001 91.086 -164.4199
48.700001 91.073 -164.7422
49.400002 91.058 -165.1370
50.000000 91.052 -165.4901
50.799999 91.039 -166.0401
51.500000 91.013 -166.5151
52.200001 90.984 -166.9250
53.000000 90.957 -167.3748
53.799999 90.929 -167.8401
54.500000 90.905 -168.2214
55.200001 90.887 -168.5772
56.000000 90.876 -169.0107
57.000000 90.861 -169.6539
58.000000 90.827 -170.2794
59.000000 90.790 -170.7731
60.000000 90.759 -171.2274
60.799999 90.733 -171.5453
61.500000 90.716 -171.7918
62.200001 90.703 -172.0549
63.000000 90.687 -172.3924
64.000000 90.658 -172.8172
65.000000 90.621 -173.1880
66.000000 90.584 -173.4924
67.000000 90.551 -173.7936
68.000000 90.515 -174.1113
69.000000 90.475 -174.4112
70.000000 90.439 -174.6868
71.000000 90.410 -174.9877
72.000000 90.380 -175.3278
73.000000 90.347 -175.6470
74.000000 90.316 -175.9380
75.000000 90.287 -176.2152
76.199997 90.252 -176.5142
77.500000 90.216 -176.8146
78.800003 90.181 -177.1176
80.000000 90.147 -177.3930
81.199997 90.115 -177.6788
82.500000 90.079 -177.9811
83.800003 90.044 -178.2551
85.000000 90.015 -178.5095
86.199997 89.984 -178.7708
87.500000 89.947 -179.0360
88.500000 89.920 -179.2257
90.000000 89.881 -179.5072
91.199997 89.849 -179.7292
92.500000 89.814 -179.9541
93.800003 89.778 179.8540
95.000000 89.748 179.6894
96.199997 89.717 179.5129
97.500000 89.682 179.3121
98.800003 89.643 179.1105
100.000000 89.605 178.9343
101.500000 89.558 178.7333
103.000000 89.512 178.5479
104.400002 89.469 178.3894
106.000000 89.422 178.2368
107.500000 89.377 178.1043
109.000000 89.330 177.9853
110.599998 89.278 177.8558
112.000000 89.230 177.7356
113.800003 89.169 177.5854
115.000000 89.131 177.4833
117.199997 89.065 177.3030
118.000000 89.043 177.2434
120.599998 88.967 177.0858
122.000000 88.925 177.0475
124.099998 88.865 177.0019
125.000000 88.839 176.9800
126.500000 88.797 176.9506
128.000000 88.755 176.9308
131.500000 88.659 176.9463
132.000000 88.645 176.9543
134.000000 88.592 176.9882
136.000000 88.540 177.0344
138.000000 88.491 177.0949
140.000000 88.445 177.1776
143.000000 88.379 177.3389
145.000000 88.335 177.4637
147.500000 88.284 177.6327
150.000000 88.240 177.7884
152.500000 88.200 177.9190
155.000000 88.162 178.0541
157.500000 88.128 178.1925
160.000000 88.097 178.3233
162.500000 88.067 178.4611
165.000000 88.039 178.6035
167.500000 88.014 178.7379
170.000000 87.989 178.8348
172.500000 87.965 178.8931
175.000000 87.942 178.9445
177.500000 87.923 179.0229
180.000000 87.909 179.0814
182.500000 87.892 179.1052
185.000000 87.872 179.1339
187.500000 87.852 179.1609
190.000000 87.832 179.1629
192.500000 87.811 179.1599
195.000000 87.788 179.1877
197.500000 87.764 179.2410
200.000000 87.737 179.2819
203.000000 87.702 179.3005
206.000000 87.668 179.3008
209.000000 87.633 179.2912
212.000000 87.597 179.2801
214.000000 87.575 179.2769
218.000000 87.530 179.3105
220.000000 87.506 179.3347
224.000000 87.452 179.3734
227.000000 87.411 179.4066
230.000000 87.369 179.4520
233.000000 87.328 179.5115
236.000000 87.287 179.5813
240.000000 87.230 179.6718
243.000000 87.188 179.7235
247.000000 87.133 179.8080
250.000000 87.092 179.8927
254.000000 87.037 -179.9802
258.000000 86.983 -179.8346
262.000000 86.925 -179.6954
265.000000 86.879 -179.5779
269.000000 86.819 -179.3925
272.000000 86.773 -179.2377
276.000000 86.711 -179.0032
280.000000 86.648 -178.7304
285.000000 86.572 -178.3170
290.000000 86.506 -177.8217
295.000000 86.453 -177.2809
300.000000 86.413 -176.7848
304.000000 86.387 -176.4336
307.000000 86.369 -176.1794
311.000000 86.348 -175.8498
315.000000 86.327 -175.5275
