* Measurement data measured by REW V5.31.3
* Source: Odo By VECLAN.COM, Odo By VECLAN.COM, 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 4, 25 9:19:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: i5 rock anc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.284 65.4110
1.015000 55.505 65.8458
1.030000 55.727 66.2172
1.044000 55.937 66.5199
1.060000 56.180 66.8178
1.075000 56.413 67.0528
1.090000 56.647 67.2467
1.106000 56.900 67.4103
1.120000 57.123 67.5186
1.138000 57.410 67.6125
1.150000 57.602 67.6481
1.172000 57.954 67.6602
1.180000 58.082 67.6483
1.206000 58.493 67.5531
1.220000 58.712 67.4676
1.241000 59.036 67.2969
1.250000 59.173 67.2087
1.265000 59.398 67.0423
1.280000 59.618 66.8524
1.315000 60.112 66.3211
1.320000 60.180 66.2354
1.340000 60.445 65.8694
1.360000 60.700 65.4699
1.380000 60.946 65.0438
1.400000 61.186 64.5950
1.430000 61.533 63.8843
1.450000 61.757 63.3882
1.475000 62.028 62.7457
1.500000 62.292 62.0804
1.525000 62.547 61.3943
1.550000 62.795 60.6887
1.575000 63.036 59.9647
1.600000 63.272 59.2228
1.625000 63.502 58.4632
1.650000 63.727 57.6860
1.675000 63.948 56.8896
1.700000 64.163 56.0689
1.725000 64.371 55.2191
1.750000 64.571 54.3439
1.775000 64.765 53.4495
1.800000 64.952 52.5421
1.825000 65.133 51.6267
1.850000 65.309 50.7082
1.875000 65.480 49.7906
1.900000 65.645 48.8773
1.925000 65.807 47.9713
1.950000 65.966 47.0752
1.975000 66.121 46.1908
2.000000 66.273 45.3189
2.030000 66.452 44.2823
2.060000 66.625 43.2381
2.090000 66.790 42.1803
2.120000 66.949 41.1139
2.140000 67.052 40.4016
2.180000 67.250 38.9822
2.200000 67.346 38.2787
2.240000 67.532 36.8925
2.270000 67.669 35.8772
2.300000 67.802 34.8881
2.330000 67.934 33.9286
2.360000 68.063 32.9974
2.400000 68.231 31.7792
2.430000 68.351 30.8735
2.470000 68.505 29.6774
2.500000 68.617 28.7923
2.540000 68.763 27.6339
2.580000 68.906 26.5068
2.620000 69.049 25.4185
2.650000 69.156 24.6322
2.690000 69.300 23.6277
2.720000 69.407 22.9060
2.760000 69.548 21.9785
2.800000 69.687 21.0845
2.850000 69.860 20.0073
2.900000 70.033 18.9691
2.950000 70.210 17.9658
3.000000 70.392 16.9960
3.040000 70.544 16.2493
3.070000 70.660 15.7135
3.110000 70.816 15.0323
3.150000 70.976 14.3805
3.200000 71.179 13.5898
3.250000 71.388 12.8063
3.300000 71.601 12.0120
3.350000 71.821 11.1956
3.400000 72.047 10.3711
3.450000 72.280 9.5641
3.500000 72.520 8.7685
3.550000 72.764 7.9658
3.600000 73.010 7.1371
3.650000 73.257 6.2665
3.700000 73.504 5.3459
3.750000 73.753 4.3888
3.820000 74.105 3.0196
3.870000 74.358 2.0211
3.950000 74.758 0.3739
4.000000 75.002 -0.6963
4.060000 75.288 -2.0305
4.120000 75.569 -3.4146
4.180000 75.844 -4.8310
4.250000 76.156 -6.5018
4.310000 76.414 -7.9365
4.370000 76.660 -9.3723
4.440000 76.933 -11.0711
4.500000 77.156 -12.5516
4.550000 77.334 -13.7852
4.620000 77.572 -15.4809
4.680000 77.764 -16.8853
4.750000 77.975 -18.4738
4.820000 78.170 -20.0421
4.870000 78.300 -21.1442
4.940000 78.473 -22.6331
5.000000 78.614 -23.8338
5.080000 78.792 -25.3114
5.150000 78.936 -26.5150
5.220000 79.070 -27.6453
5.300000 79.221 -28.8306
5.380000 79.373 -29.8783
5.450000 79.507 -30.6725
5.520000 79.642 -31.3668
5.600000 79.800 -32.0686
5.700000 80.014 -32.8494
5.800000 80.255 -33.5136
5.900000 80.517 -34.0733
6.000000 80.800 -34.6511
6.080000 81.043 -35.1814
6.150000 81.269 -35.6758
6.220000 81.506 -36.2004
6.300000 81.783 -36.8785
6.400000 82.131 -37.9069
6.500000 82.481 -39.1261
6.600000 82.831 -40.4974
6.700000 83.165 -42.0292
6.800000 83.477 -43.7426
6.900000 83.770 -45.6121
7.000000 84.036 -47.5717
7.100000 84.268 -49.5974
7.200000 84.468 -51.7141
7.300000 84.634 -53.8653
7.400000 84.765 -55.9671
7.500000 84.860 -58.0269
7.620000 84.929 -60.4411
7.750000 84.956 -62.8297
7.880000 84.934 -64.9395
8.000000 84.881 -66.6304
8.120000 84.813 -67.9804
8.250000 84.728 -69.0403
8.380000 84.653 -69.7342
8.500000 84.616 -70.0525
8.620000 84.611 -70.1016
8.750000 84.658 -70.0333
8.850000 84.739 -69.9554
9.000000 84.919 -69.8972
9.120000 85.102 -70.0753
9.250000 85.332 -70.5403
9.380000 85.572 -71.2970
9.500000 85.783 -72.2882
9.620000 85.978 -73.5228
9.750000 86.158 -75.0404
9.880000 86.293 -76.7068
10.000000 86.377 -78.3125
10.150000 86.427 -80.2376
10.300000 86.416 -82.0111
10.440000 86.368 -83.3903
10.600000 86.280 -84.5215
10.750000 86.197 -85.1305
10.900000 86.144 -85.2633
11.060000 86.147 -85.0086
11.200000 86.227 -84.6138
11.380000 86.438 -84.1101
11.500000 86.637 -83.9888
11.720000 87.094 -84.4193
11.800000 87.270 -84.8404
12.060000 87.824 -87.1469
12.200000 88.076 -88.8822
12.410000 88.361 -91.9220
12.500000 88.443 -93.2967
12.650000 88.525 -95.6155
12.800000 88.541 -97.8285
13.150000 88.370 -101.9801
13.200000 88.330 -102.4030
13.400000 88.162 -103.6118
13.600000 88.030 -104.0529
13.800000 87.984 -103.9231
14.000000 88.059 -103.5833
14.300000 88.369 -103.5840
14.500000 88.644 -104.3186
14.750000 88.968 -106.1864
15.000000 89.184 -108.8553
15.250000 89.243 -111.8709
15.500000 89.133 -114.7377
15.750000 88.878 -116.9421
16.000000 88.545 -118.0865
16.250000 88.231 -118.0315
16.500000 88.036 -116.9975
16.750000 88.024 -115.6003
17.000000 88.179 -114.5643
17.250000 88.423 -114.3398
17.500000 88.666 -114.9881
17.750000 88.839 -116.2566
18.000000 88.916 -117.7563
18.250000 88.906 -119.1113
18.500000 88.849 -120.0473
18.750000 88.801 -120.4692
19.000000 88.815 -120.5190
19.250000 88.919 -120.5031
19.500000 89.103 -120.7639
19.750000 89.327 -121.5341
20.000000 89.541 -122.8504
20.299999 89.726 -124.9567
20.600000 89.800 -127.2502
20.900000 89.769 -129.2895
21.200001 89.676 -130.7308
21.400000 89.610 -131.2974
21.799999 89.553 -131.6501
22.000000 89.583 -131.6090
22.400000 89.755 -131.6354
22.700001 89.938 -132.0175
23.000000 90.120 -132.7479
23.299999 90.273 -133.7162
23.600000 90.390 -134.7769
24.000000 90.496 -136.1569
24.299999 90.549 -137.1080
24.700001 90.590 -138.2398
25.000000 90.603 -138.9638
25.400000 90.605 -139.7146
25.799999 90.615 -140.2390
26.200001 90.656 -140.7193
26.500000 90.703 -141.2126
26.900000 90.748 -142.1531
27.200001 90.739 -142.9812
27.600000 90.656 -143.9183
28.000000 90.529 -144.2626
28.500000 90.457 -143.7790
29.000000 90.594 -143.3015
29.500000 90.833 -144.0372
30.000000 90.951 -145.8867
30.400000 90.890 -147.3416
30.700001 90.785 -147.9742
31.100000 90.653 -148.0095
31.500000 90.627 -147.4401
32.000000 90.765 -146.9243
32.500000 90.955 -147.3204
33.000000 91.063 -148.2631
33.500000 91.094 -149.0345
34.000000 91.135 -149.4643
34.500000 91.226 -149.9789
35.000000 91.315 -150.9075
35.500000 91.339 -152.0729
36.000000 91.302 -153.0842
36.500000 91.254 -153.7839
37.000000 91.228 -154.3205
37.500000 91.214 -154.8465
38.200001 91.195 -155.4556
38.700001 91.207 -155.7229
39.500000 91.303 -156.2818
40.000000 91.369 -156.9344
40.599998 91.404 -157.8404
41.200001 91.401 -158.5508
41.799999 91.405 -159.0331
42.500000 91.435 -159.6472
43.099998 91.447 -160.3686
43.700001 91.422 -161.1295
44.400002 91.365 -161.8600
45.000000 91.322 -162.3637
45.500000 91.297 -162.7667
46.200001 91.277 -163.3671
46.799999 91.273 -163.9431
47.500000 91.275 -164.7055
48.200001 91.271 -165.4871
48.700001 91.264 -165.9807
49.400002 91.263 -166.5624
50.000000 91.269 -167.0127
50.799999 91.272 -167.5478
51.500000 91.274 -167.9241
52.200001 91.279 -168.3043
53.000000 91.267 -168.8035
53.799999 91.233 -169.2373
54.500000 91.207 -169.5748
55.200001 91.185 -169.9952
56.000000 91.149 -170.5430
57.000000 91.102 -171.1703
58.000000 91.068 -171.8067
59.000000 91.038 -172.3944
60.000000 91.021 -172.9497
60.799999 91.004 -173.4133
61.500000 90.983 -173.7745
62.200001 90.963 -174.0876
63.000000 90.943 -174.4454
64.000000 90.913 -174.9146
65.000000 90.879 -175.3471
66.000000 90.852 -175.7527
67.000000 90.831 -176.1725
68.000000 90.810 -176.6295
69.000000 90.779 -177.0814
70.000000 90.744 -177.4725
71.000000 90.710 -177.8229
72.000000 90.680 -178.1499
73.000000 90.654 -178.5184
74.000000 90.625 -178.8876
75.000000 90.601 -179.2457
76.199997 90.568 -179.6791
77.500000 90.537 179.9412
78.800003 90.504 179.5317
80.000000 90.470 179.2294
81.199997 90.440 178.8947
82.500000 90.399 178.5233
83.800003 90.362 178.2243
85.000000 90.337 177.8989
86.199997 90.303 177.5762
87.500000 90.270 177.3106
88.500000 90.245 177.0755
90.000000 90.199 176.7516
91.199997 90.163 176.5002
92.500000 90.124 176.1983
93.800003 90.081 175.8915
95.000000 90.044 175.6472
96.199997 90.012 175.4061
97.500000 89.978 175.1623
98.800003 89.945 174.9337
100.000000 89.916 174.7326
101.500000 89.882 174.4278
103.000000 89.838 174.1145
104.400002 89.797 173.8772
106.000000 89.751 173.6339
107.500000 89.705 173.4298
109.000000 89.658 173.2188
110.599998 89.599 172.9771
112.000000 89.552 172.8426
113.800003 89.507 172.6211
115.000000 89.472 172.4534
117.199997 89.403 172.2441
118.000000 89.376 172.1624
120.599998 89.282 171.8892
122.000000 89.238 171.7434
124.099998 89.183 171.4976
125.000000 89.159 171.4069
126.500000 89.118 171.3123
128.000000 89.073 171.2841
131.500000 88.964 171.2468
132.000000 88.949 171.2296
134.000000 88.891 171.1324
136.000000 88.841 171.0506
138.000000 88.798 171.0377
140.000000 88.758 171.0789
143.000000 88.692 171.1252
145.000000 88.648 171.1314
147.500000 88.596 171.1311
150.000000 88.552 171.1525
152.500000 88.511 171.1992
155.000000 88.472 171.2402
157.500000 88.436 171.3339
160.000000 88.405 171.3659
162.500000 88.368 171.4196
165.000000 88.348 171.4822
167.500000 88.333 171.4197
170.000000 88.306 171.3235
172.500000 88.274 171.2889
175.000000 88.250 171.3014
177.500000 88.225 171.2765
180.000000 88.201 171.2772
182.500000 88.182 171.1946
185.000000 88.164 171.0541
187.500000 88.145 170.9318
190.000000 88.126 170.8955
192.500000 88.108 170.8592
195.000000 88.081 170.7404
197.500000 88.046 170.6213
200.000000 88.017 170.5601
203.000000 87.994 170.4417
206.000000 87.975 170.3154
209.000000 87.948 170.2766
212.000000 87.906 170.2175
214.000000 87.877 170.0929
218.000000 87.838 169.8196
220.000000 87.821 169.7787
224.000000 87.765 169.7265
227.000000 87.719 169.6577
230.000000 87.681 169.6392
233.000000 87.634 169.6230
236.000000 87.581 169.5111
240.000000 87.522 169.3734
243.000000 87.480 169.3342
247.000000 87.420 169.2900
250.000000 87.375 169.2856
254.000000 87.313 169.2852
258.000000 87.251 169.2161
262.000000 87.190 169.1746
265.000000 87.142 169.2127
269.000000 87.074 169.2645
272.000000 87.021 169.2839
276.000000 86.951 169.3567
280.000000 86.886 169.4385
285.000000 86.814 169.5789
290.000000 86.744 169.8160
295.000000 86.670 170.0872
300.000000 86.602 170.3091
304.000000 86.560 170.4676
307.000000 86.536 170.6129
311.000000 86.506 170.8369
315.000000 86.475 171.0242
320.000000 86.436 171.1906
325.000000 86.402 171.3041
330.000000 86.363 171.4689
