* Measurement data measured by REW V5.31.3
* Source: C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Celest\ignite x beast L.txt
* Format: Comma/Tab/Space delimited data
* Dated: 11 28, 24 6:44:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Celest\ignite x beast L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: ignite x beast L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.858 -83.6891
1.015000 67.150 -82.3442
1.030000 67.436 -81.0913
1.044000 67.698 -80.0123
1.060000 67.988 -78.8948
1.075000 68.252 -77.9676
1.090000 68.504 -77.1654
1.106000 68.763 -76.4573
1.120000 68.987 -75.9684
1.138000 69.274 -75.5086
1.150000 69.465 -75.3005
1.172000 69.812 -75.1056
1.180000 69.937 -75.0900
1.206000 70.341 -75.2207
1.220000 70.556 -75.3938
1.241000 70.874 -75.7677
1.250000 71.009 -75.9646
1.265000 71.231 -76.3343
1.280000 71.450 -76.7478
1.315000 71.948 -77.8319
1.320000 72.018 -77.9953
1.340000 72.291 -78.6572
1.360000 72.556 -79.3153
1.380000 72.813 -79.9481
1.400000 73.062 -80.5336
1.430000 73.416 -81.2756
1.450000 73.639 -81.6478
1.475000 73.903 -81.9527
1.500000 74.149 -82.1965
1.525000 74.376 -82.4149
1.550000 74.588 -82.6122
1.575000 74.786 -82.7926
1.600000 74.971 -82.9606
1.625000 75.144 -83.1203
1.650000 75.307 -83.2762
1.675000 75.462 -83.4326
1.700000 75.610 -83.5938
1.725000 75.752 -83.7641
1.750000 75.890 -83.9478
1.775000 76.026 -84.1493
1.800000 76.161 -84.3728
1.825000 76.297 -84.6228
1.850000 76.431 -84.9010
1.875000 76.556 -85.2023
1.900000 76.674 -85.5234
1.925000 76.785 -85.8615
1.950000 76.891 -86.2137
1.975000 76.991 -86.5768
2.000000 77.087 -86.9480
2.030000 77.198 -87.3999
2.060000 77.306 -87.8542
2.090000 77.412 -88.3055
2.120000 77.518 -88.7490
2.140000 77.590 -89.0377
2.180000 77.736 -89.5916
2.200000 77.813 -89.8539
2.240000 77.967 -90.3632
2.270000 78.082 -90.7374
2.300000 78.197 -91.1056
2.330000 78.311 -91.4680
2.360000 78.424 -91.8252
2.400000 78.574 -92.2939
2.430000 78.684 -92.6404
2.470000 78.829 -93.0965
2.500000 78.935 -93.4347
2.540000 79.073 -93.8812
2.580000 79.208 -94.3224
2.620000 79.338 -94.7493
2.650000 79.434 -95.0607
2.690000 79.558 -95.4675
2.720000 79.649 -95.7683
2.760000 79.769 -96.1669
2.800000 79.886 -96.5662
2.850000 80.030 -97.0724
2.900000 80.172 -97.5936
2.950000 80.311 -98.1376
3.000000 80.448 -98.7079
3.040000 80.556 -99.1776
3.070000 80.635 -99.5347
3.110000 80.739 -100.0132
3.150000 80.841 -100.4902
3.200000 80.967 -101.0769
3.250000 81.091 -101.6444
3.300000 81.212 -102.1831
3.350000 81.331 -102.6876
3.400000 81.448 -103.1649
3.450000 81.562 -103.6243
3.500000 81.674 -104.0754
3.550000 81.784 -104.5276
3.600000 81.891 -104.9905
3.650000 81.996 -105.4735
3.700000 82.099 -105.9831
3.750000 82.199 -106.5134
3.820000 82.336 -107.2769
3.870000 82.431 -107.8279
3.950000 82.578 -108.6998
4.000000 82.667 -109.2279
4.060000 82.772 -109.8349
4.120000 82.873 -110.4196
4.180000 82.972 -110.9891
4.250000 83.083 -111.6428
4.310000 83.175 -112.2012
4.370000 83.264 -112.7645
4.440000 83.363 -113.4355
4.500000 83.445 -114.0213
4.550000 83.510 -114.5118
4.620000 83.598 -115.1943
4.680000 83.671 -115.7681
4.750000 83.753 -116.4148
4.820000 83.831 -117.0342
4.870000 83.885 -117.4654
4.940000 83.958 -118.0539
5.000000 84.017 -118.5448
5.080000 84.094 -119.1808
5.150000 84.160 -119.7205
5.220000 84.222 -120.2451
5.300000 84.290 -120.8251
5.380000 84.356 -121.3830
5.450000 84.413 -121.8520
5.520000 84.470 -122.3019
5.600000 84.533 -122.7902
5.700000 84.610 -123.3671
5.800000 84.688 -123.9155
5.900000 84.768 -124.4423
6.000000 84.848 -124.9362
6.080000 84.913 -125.3148
6.150000 84.970 -125.6413
6.220000 85.028 -125.9695
6.300000 85.097 -126.3442
6.400000 85.184 -126.8048
6.500000 85.272 -127.2664
6.600000 85.360 -127.7395
6.700000 85.450 -128.2219
6.800000 85.540 -128.7119
6.900000 85.629 -129.2155
7.000000 85.716 -129.7389
7.100000 85.801 -130.2834
7.200000 85.885 -130.8423
7.300000 85.965 -131.4081
7.400000 86.040 -131.9796
7.500000 86.111 -132.5623
7.620000 86.192 -133.2617
7.750000 86.271 -134.0032
7.880000 86.342 -134.7386
8.000000 86.401 -135.3962
8.120000 86.457 -136.0174
8.250000 86.510 -136.6567
8.380000 86.561 -137.2575
8.500000 86.606 -137.7718
8.620000 86.650 -138.2478
8.750000 86.697 -138.7313
8.850000 86.735 -139.0847
9.000000 86.793 -139.5759
9.120000 86.842 -139.9541
9.250000 86.899 -140.3601
9.380000 86.959 -140.7549
9.500000 87.014 -141.1285
9.620000 87.069 -141.5208
9.750000 87.129 -141.9591
9.880000 87.183 -142.4162
10.000000 87.227 -142.8611
10.150000 87.274 -143.4405
10.300000 87.310 -144.0225
10.440000 87.333 -144.5723
10.600000 87.350 -145.1911
10.750000 87.358 -145.7484
10.900000 87.359 -146.2861
11.060000 87.355 -146.8214
11.200000 87.348 -147.2608
11.380000 87.336 -147.7659
11.500000 87.327 -148.0581
11.720000 87.313 -148.5177
11.800000 87.309 -148.6600
12.060000 87.305 -149.0489
12.200000 87.315 -149.2430
12.410000 87.342 -149.5232
12.500000 87.360 -149.6587
12.650000 87.399 -149.8954
12.800000 87.444 -150.1683
13.150000 87.564 -151.0012
13.200000 87.580 -151.1423
13.400000 87.645 -151.7712
13.600000 87.699 -152.4621
13.800000 87.739 -153.2084
14.000000 87.766 -153.9530
14.300000 87.782 -155.0307
14.500000 87.781 -155.6684
14.750000 87.778 -156.3685
15.000000 87.778 -156.9667
15.250000 87.792 -157.5212
15.500000 87.819 -158.0990
15.750000 87.856 -158.7372
16.000000 87.894 -159.4794
16.250000 87.923 -160.2972
16.500000 87.938 -161.1529
16.750000 87.933 -161.9772
17.000000 87.916 -162.6909
17.250000 87.896 -163.2775
17.500000 87.882 -163.7219
17.750000 87.888 -164.0984
18.000000 87.912 -164.4721
18.250000 87.955 -164.9165
18.500000 88.002 -165.4949
18.750000 88.042 -166.1877
19.000000 88.065 -166.9752
19.250000 88.063 -167.7601
19.500000 88.042 -168.4707
19.750000 88.004 -169.0528
20.000000 87.965 -169.4649
20.299999 87.931 -169.7890
20.600000 87.921 -170.0115
20.900000 87.937 -170.2462
21.200001 87.967 -170.5887
21.400000 87.987 -170.8879
21.799999 88.013 -171.5999
22.000000 88.016 -171.9740
22.400000 88.005 -172.6703
22.700001 87.991 -173.1183
23.000000 87.979 -173.5184
23.299999 87.972 -173.9119
23.600000 87.967 -174.3256
24.000000 87.959 -174.9201
24.299999 87.947 -175.3782
24.700001 87.923 -175.9663
25.000000 87.904 -176.3748
25.400000 87.878 -176.8797
25.799999 87.855 -177.3561
26.200001 87.836 -177.8087
26.500000 87.824 -178.1280
26.900000 87.816 -178.5317
27.200001 87.816 -178.8390
27.600000 87.824 -179.2942
28.000000 87.830 -179.8250
28.500000 87.821 179.4617
29.000000 87.792 178.8396
29.500000 87.762 178.3849
30.000000 87.751 178.0025
30.400000 87.753 177.6371
30.700001 87.754 177.2998
31.100000 87.742 176.7925
31.500000 87.713 176.2858
32.000000 87.659 175.7546
32.500000 87.603 175.3634
33.000000 87.559 175.0331
33.500000 87.526 174.6628
34.000000 87.495 174.2064
34.500000 87.455 173.7060
35.000000 87.406 173.2476
35.500000 87.363 172.8821
36.000000 87.340 172.5531
36.500000 87.339 172.1345
37.000000 87.338 171.5544
37.500000 87.316 170.8969
38.200001 87.252 170.1809
38.700001 87.215 169.8952
39.500000 87.205 169.4088
40.000000 87.194 168.9132
40.599998 87.134 168.3242
41.200001 87.048 168.0774
41.799999 86.994 168.1213
42.500000 86.995 167.9978
43.099998 86.990 167.4840
43.700001 86.936 166.8474
44.400002 86.835 166.3388
45.000000 86.764 166.0958
45.500000 86.723 165.8814
46.200001 86.672 165.5184
46.799999 86.631 165.2652
47.500000 86.610 165.0668
48.200001 86.623 164.7722
48.700001 86.633 164.4323
49.400002 86.624 163.8779
50.000000 86.592 163.4860
50.799999 86.538 163.1815
51.500000 86.501 163.0056
52.200001 86.464 162.7631
53.000000 86.400 162.4255
53.799999 86.317 162.1646
54.500000 86.250 161.9573
55.200001 86.186 161.6835
56.000000 86.106 161.3340
57.000000 86.007 160.9527
58.000000 85.925 160.7108
59.000000 85.886 160.4844
60.000000 85.856 160.0490
60.799999 85.815 159.7219
61.500000 85.780 159.4787
62.200001 85.741 159.2289
63.000000 85.690 159.0050
64.000000 85.638 158.7513
65.000000 85.566 158.3596
66.000000 85.460 158.3107
67.000000 85.425 158.5791
68.000000 85.444 158.3566
69.000000 85.399 157.7741
70.000000 85.303 157.4527
71.000000 85.224 157.3202
72.000000 85.155 157.1232
73.000000 85.080 156.9402
74.000000 85.018 156.8135
75.000000 84.966 156.6169
76.199997 84.895 156.4191
77.500000 84.833 156.3189
78.800003 84.779 156.1723
80.000000 84.730 155.9401
81.199997 84.661 155.6065
82.500000 84.572 155.3004
83.800003 84.481 155.0546
85.000000 84.406 154.9388
86.199997 84.349 154.8425
87.500000 84.288 154.7255
88.500000 84.238 154.6510
90.000000 84.157 154.5669
91.199997 84.094 154.5108
92.500000 84.024 154.4170
93.800003 83.953 154.3434
95.000000 83.894 154.2777
96.199997 83.838 154.1988
97.500000 83.775 154.1044
98.800003 83.706 154.0419
100.000000 83.646 154.0439
101.500000 83.584 154.0352
103.000000 83.524 153.9425
104.400002 83.460 153.8668
106.000000 83.388 153.8582
107.500000 83.326 153.8653
109.000000 83.264 153.8564
110.599998 83.193 153.8445
112.000000 83.130 153.8227
113.800003 83.049 153.7761
115.000000 82.997 153.7473
117.199997 82.912 153.7367
118.000000 82.884 153.7424
120.599998 82.791 153.8192
122.000000 82.739 153.8900
124.099998 82.659 153.9772
125.000000 82.624 154.0091
126.500000 82.568 154.0686
128.000000 82.516 154.1400
131.500000 82.403 154.2610
132.000000 82.387 154.2788
134.000000 82.321 154.3481
136.000000 82.257 154.4129
138.000000 82.195 154.5026
140.000000 82.136 154.6089
143.000000 82.046 154.7682
145.000000 81.985 154.8764
147.500000 81.915 155.0191
150.000000 81.850 155.1624
152.500000 81.784 155.3383
155.000000 81.720 155.5209
157.500000 81.657 155.6701
160.000000 81.591 155.8172
162.500000 81.518 155.9891
165.000000 81.444 156.1680
167.500000 81.367 156.3385
170.000000 81.292 156.5303
172.500000 81.219 156.7192
175.000000 81.143 156.9014
177.500000 81.068 157.1134
180.000000 81.002 157.3403
182.500000 80.942 157.5497
185.000000 80.877 157.7496
187.500000 80.806 157.9601
190.000000 80.737 158.1534
192.500000 80.670 158.3253
195.000000 80.603 158.5527
197.500000 80.544 158.8187
200.000000 80.493 159.0687
203.000000 80.441 159.3504
206.000000 80.385 159.6561
209.000000 80.323 159.9954
212.000000 80.271 160.3481
214.000000 80.245 160.5936
218.000000 80.191 161.1131
220.000000 80.161 161.3469
224.000000 80.094 161.7472
227.000000 80.055 162.0650
230.000000 80.024 162.4312
233.000000 80.004 162.8558
236.000000 79.994 163.2433
240.000000 79.988 163.6519
243.000000 79.982 163.8967
247.000000 79.961 164.1414
250.000000 79.937 164.2761
254.000000 79.896 164.4657
258.000000 79.850 164.6925
262.000000 79.801 164.9391
265.000000 79.763 165.1384
269.000000 79.713 165.4581
272.000000 79.677 165.7127
276.000000 79.634 166.0250
280.000000 79.593 166.3297
285.000000 79.540 166.7091
290.000000 79.489 167.1179
