* Measurement data measured by REW V5.31.3
* Source: C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Celest\ignite x beast R.txt
* Format: Comma/Tab/Space delimited data
* Dated: 11 28, 24 6:44:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Celest\ignite x beast R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: ignite x beast R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.157 -74.3311
1.015000 72.456 -75.3253
1.030000 72.745 -76.2676
1.044000 73.003 -77.0963
1.060000 73.285 -77.9786
1.075000 73.532 -78.7382
1.090000 73.763 -79.4277
1.106000 73.990 -80.0798
1.120000 74.180 -80.5713
1.138000 74.414 -81.1002
1.150000 74.565 -81.3931
1.172000 74.830 -81.8179
1.180000 74.922 -81.9394
1.206000 75.211 -82.2276
1.220000 75.359 -82.3232
1.241000 75.571 -82.4020
1.250000 75.658 -82.4156
1.265000 75.799 -82.4162
1.280000 75.936 -82.3944
1.315000 76.234 -82.2911
1.320000 76.275 -82.2736
1.340000 76.433 -82.2059
1.360000 76.583 -82.1525
1.380000 76.727 -82.1279
1.400000 76.864 -82.1464
1.430000 77.060 -82.2865
1.450000 77.184 -82.4758
1.475000 77.332 -82.8381
1.500000 77.463 -83.2857
1.525000 77.575 -83.7945
1.550000 77.671 -84.3542
1.575000 77.753 -84.9545
1.600000 77.823 -85.5852
1.625000 77.883 -86.2361
1.650000 77.934 -86.8969
1.675000 77.979 -87.5574
1.700000 78.020 -88.2072
1.725000 78.059 -88.8363
1.750000 78.098 -89.4343
1.775000 78.138 -89.9910
1.800000 78.182 -90.4962
1.825000 78.232 -90.9395
1.850000 78.286 -91.3182
1.875000 78.337 -91.6477
1.900000 78.385 -91.9344
1.925000 78.429 -92.1842
1.950000 78.472 -92.4029
1.975000 78.514 -92.5964
2.000000 78.554 -92.7705
2.030000 78.602 -92.9621
2.060000 78.650 -93.1442
2.090000 78.699 -93.3271
2.120000 78.750 -93.5207
2.140000 78.786 -93.6608
2.180000 78.862 -93.9807
2.200000 78.903 -94.1664
2.240000 78.991 -94.5650
2.270000 79.061 -94.8765
2.300000 79.133 -95.1968
2.330000 79.207 -95.5241
2.360000 79.283 -95.8566
2.400000 79.385 -96.3047
2.430000 79.461 -96.6422
2.470000 79.562 -97.0904
2.500000 79.636 -97.4230
2.540000 79.732 -97.8582
2.580000 79.823 -98.2818
2.620000 79.912 -98.7055
2.650000 79.977 -99.0242
2.690000 80.063 -99.4483
2.720000 80.126 -99.7645
2.760000 80.210 -100.1817
2.800000 80.292 -100.5918
2.850000 80.394 -101.0905
2.900000 80.494 -101.5695
2.950000 80.595 -102.0234
3.000000 80.694 -102.4455
3.040000 80.773 -102.7648
3.070000 80.831 -102.9965
3.110000 80.909 -103.2987
3.150000 80.985 -103.5977
3.200000 81.080 -103.9736
3.250000 81.173 -104.3606
3.300000 81.265 -104.7676
3.350000 81.355 -105.2006
3.400000 81.443 -105.6532
3.450000 81.531 -106.1156
3.500000 81.617 -106.5780
3.550000 81.702 -107.0306
3.600000 81.786 -107.4638
3.650000 81.869 -107.8677
3.700000 81.952 -108.2344
3.750000 82.033 -108.5682
3.820000 82.145 -108.9977
3.870000 82.224 -109.2897
3.950000 82.349 -109.7567
4.000000 82.427 -110.0625
4.060000 82.521 -110.4559
4.120000 82.615 -110.8690
4.180000 82.708 -111.2926
4.250000 82.817 -111.7899
4.310000 82.909 -112.2099
4.370000 83.001 -112.6160
4.440000 83.108 -113.0630
4.500000 83.200 -113.4250
4.550000 83.275 -113.7177
4.620000 83.381 -114.1232
4.680000 83.472 -114.4754
4.750000 83.577 -114.9031
4.820000 83.682 -115.3535
4.870000 83.757 -115.6835
4.940000 83.862 -116.1543
5.000000 83.952 -116.5636
5.080000 84.069 -117.1138
5.150000 84.171 -117.5959
5.220000 84.271 -118.0794
5.300000 84.385 -118.6361
5.380000 84.497 -119.1994
5.450000 84.592 -119.6993
5.520000 84.686 -120.2075
5.600000 84.790 -120.7995
5.700000 84.918 -121.5519
5.800000 85.040 -122.3117
5.900000 85.157 -123.0735
6.000000 85.270 -123.8453
6.080000 85.356 -124.4652
6.150000 85.429 -125.0042
6.220000 85.499 -125.5359
6.300000 85.577 -126.1354
6.400000 85.669 -126.8777
6.500000 85.756 -127.6084
6.600000 85.840 -128.3231
6.700000 85.920 -129.0238
6.800000 85.995 -129.7104
6.900000 86.068 -130.3782
7.000000 86.139 -131.0229
7.100000 86.207 -131.6444
7.200000 86.273 -132.2462
7.300000 86.338 -132.8321
7.400000 86.401 -133.4036
7.500000 86.462 -133.9586
7.620000 86.535 -134.6053
7.750000 86.611 -135.2847
7.880000 86.685 -135.9405
8.000000 86.752 -136.5274
8.120000 86.817 -137.0996
8.250000 86.886 -137.7021
8.380000 86.952 -138.2852
8.500000 87.012 -138.8059
8.620000 87.070 -139.3100
8.750000 87.131 -139.8370
8.850000 87.178 -140.2281
9.000000 87.246 -140.7910
9.120000 87.300 -141.2247
9.250000 87.360 -141.6781
9.380000 87.420 -142.1135
9.500000 87.475 -142.5105
9.620000 87.530 -142.9070
9.750000 87.588 -143.3322
9.880000 87.643 -143.7642
10.000000 87.689 -144.1750
10.150000 87.740 -144.6985
10.300000 87.784 -145.2270
10.440000 87.818 -145.7269
10.600000 87.849 -146.2984
10.750000 87.872 -146.8307
10.900000 87.889 -147.3583
11.060000 87.903 -147.9015
11.200000 87.911 -148.3645
11.380000 87.918 -148.9153
11.500000 87.920 -149.2473
11.720000 87.923 -149.7944
11.800000 87.926 -149.9711
12.060000 87.940 -150.4838
12.200000 87.957 -150.7513
12.410000 87.995 -151.1505
12.500000 88.016 -151.3405
12.650000 88.059 -151.6736
12.800000 88.107 -152.0453
13.150000 88.225 -153.1105
13.200000 88.240 -153.2816
13.400000 88.296 -154.0235
13.600000 88.340 -154.8033
13.800000 88.368 -155.6087
14.000000 88.383 -156.3854
14.300000 88.385 -157.4669
14.500000 88.379 -158.0933
14.750000 88.371 -158.7845
15.000000 88.369 -159.3882
15.250000 88.379 -159.9668
15.500000 88.396 -160.5647
15.750000 88.419 -161.2045
16.000000 88.440 -161.9027
16.250000 88.453 -162.6322
16.500000 88.457 -163.3684
16.750000 88.449 -164.0689
17.000000 88.433 -164.6986
17.250000 88.413 -165.2504
17.500000 88.393 -165.7198
17.750000 88.378 -166.1307
18.000000 88.367 -166.4991
18.250000 88.361 -166.8434
18.500000 88.358 -167.1719
18.750000 88.358 -167.4829
19.000000 88.360 -167.7749
19.250000 88.367 -168.0500
19.500000 88.379 -168.3217
19.750000 88.396 -168.6018
20.000000 88.418 -168.9168
20.299999 88.445 -169.3571
20.600000 88.468 -169.8658
20.900000 88.481 -170.4209
21.200001 88.481 -170.9767
21.400000 88.476 -171.3202
21.799999 88.460 -171.9222
22.000000 88.454 -172.1835
22.400000 88.453 -172.6700
22.700001 88.462 -173.0592
23.000000 88.475 -173.5124
23.299999 88.484 -174.0310
23.600000 88.484 -174.5868
24.000000 88.467 -175.3166
24.299999 88.446 -175.8039
24.700001 88.416 -176.3479
25.000000 88.401 -176.6961
25.400000 88.391 -177.1366
25.799999 88.391 -177.6113
26.200001 88.392 -178.1404
26.500000 88.387 -178.5558
26.900000 88.375 -179.0986
27.200001 88.363 -179.4783
27.600000 88.346 -179.9439
28.000000 88.331 179.6176
28.500000 88.314 179.0693
29.000000 88.293 178.5084
29.500000 88.265 177.9670
30.000000 88.233 177.4872
30.400000 88.211 177.1461
30.700001 88.198 176.8979
31.100000 88.186 176.5459
31.500000 88.176 176.1512
32.000000 88.157 175.6136
32.500000 88.129 175.0877
33.000000 88.099 174.6135
33.500000 88.074 174.1596
34.000000 88.051 173.6747
34.500000 88.020 173.1758
35.000000 87.982 172.7374
35.500000 87.948 172.3886
36.000000 87.929 172.0506
36.500000 87.915 171.6280
37.000000 87.890 171.1342
37.500000 87.848 170.6847
38.200001 87.788 170.2514
38.700001 87.764 169.9812
39.500000 87.735 169.3589
40.000000 87.701 168.9188
40.599998 87.649 168.4859
41.200001 87.606 168.1510
41.799999 87.579 167.7920
42.500000 87.546 167.2694
43.099998 87.506 166.7993
43.700001 87.456 166.3929
44.400002 87.400 166.0300
45.000000 87.362 165.7634
45.500000 87.337 165.5171
46.200001 87.300 165.1202
46.799999 87.262 164.7763
47.500000 87.216 164.3915
48.200001 87.167 163.9980
48.700001 87.127 163.7368
49.400002 87.072 163.4484
50.000000 87.036 163.2208
50.799999 86.993 162.8322
51.500000 86.944 162.4886
52.200001 86.895 162.2267
53.000000 86.849 161.9322
53.799999 86.798 161.6147
54.500000 86.752 161.3838
55.200001 86.713 161.1491
56.000000 86.665 160.8308
57.000000 86.599 160.4268
58.000000 86.523 159.9903
59.000000 86.432 159.6655
60.000000 86.361 159.4266
60.799999 86.309 159.1837
61.500000 86.264 158.9948
62.200001 86.229 158.8076
63.000000 86.195 158.4910
64.000000 86.129 158.0295
65.000000 86.053 157.7482
66.000000 86.004 157.5364
67.000000 85.963 157.1786
68.000000 85.898 156.8090
69.000000 85.826 156.5883
70.000000 85.765 156.4270
71.000000 85.704 156.2515
72.000000 85.640 156.1117
73.000000 85.581 155.9975
74.000000 85.525 155.8478
75.000000 85.467 155.6830
76.199997 85.399 155.5190
77.500000 85.336 155.2987
78.800003 85.262 155.0170
80.000000 85.185 154.8333
81.199997 85.112 154.6892
82.500000 85.037 154.5220
83.800003 84.962 154.3292
85.000000 84.891 154.1644
86.199997 84.829 154.0302
87.500000 84.768 153.8534
88.500000 84.719 153.7206
90.000000 84.643 153.5522
91.199997 84.580 153.4531
92.500000 84.513 153.3488
93.800003 84.441 153.2369
95.000000 84.372 153.1587
96.199997 84.308 153.0932
97.500000 84.240 153.0066
98.800003 84.171 152.9424
100.000000 84.110 152.9161
101.500000 84.038 152.9052
103.000000 83.973 152.9191
104.400002 83.918 152.9181
106.000000 83.857 152.8354
107.500000 83.787 152.7361
109.000000 83.715 152.6910
110.599998 83.644 152.6479
112.000000 83.582 152.6023
113.800003 83.502 152.5886
115.000000 83.453 152.6063
117.199997 83.368 152.6171
118.000000 83.336 152.6147
120.599998 83.227 152.6513
122.000000 83.172 152.6867
124.099998 83.092 152.7069
125.000000 83.057 152.7160
126.500000 83.000 152.7477
128.000000 82.947 152.7864
131.500000 82.826 152.8909
132.000000 82.809 152.9070
134.000000 82.743 152.9749
136.000000 82.677 153.0516
138.000000 82.611 153.1333
140.000000 82.546 153.2184
143.000000 82.452 153.3557
145.000000 82.392 153.4568
147.500000 82.318 153.5930
150.000000 82.245 153.7402
152.500000 82.173 153.8980
155.000000 82.103 154.0549
157.500000 82.034 154.2015
160.000000 81.959 154.3601
162.500000 81.881 154.5352
165.000000 81.801 154.7000
167.500000 81.721 154.8632
170.000000 81.641 155.0341
172.500000 81.561 155.2147
175.000000 81.482 155.3997
177.500000 81.403 155.5942
180.000000 81.325 155.8062
182.500000 81.247 156.0362
185.000000 81.170 156.2803
187.500000 81.094 156.5215
190.000000 81.018 156.7639
192.500000 80.944 157.0198
195.000000 80.870 157.2988
197.500000 80.797 157.6100
200.000000 80.729 157.9308
203.000000 80.651 158.3314
206.000000 80.582 158.8098
209.000000 80.521 159.3941
212.000000 80.475 160.0605
214.000000 80.457 160.5263
218.000000 80.460 161.3979
220.000000 80.480 161.7249
224.000000 80.528 162.0140
227.000000 80.548 162.0256
230.000000 80.548 162.0122
233.000000 80.528 162.0126
236.000000 80.489 162.0294
240.000000 80.436 162.1403
243.000000 80.411 162.3018
247.000000 80.374 162.5622
250.000000 80.338 162.7332
254.000000 80.284 162.9503
258.000000 80.230 163.1945
262.000000 80.175 163.4652
265.000000 80.136 163.6819
269.000000 80.084 163.9752
272.000000 80.046 164.2060
276.000000 79.998 164.5181
280.000000 79.951 164.8130
285.000000 79.891 165.1740
290.000000 79.835 165.5535
