* Measurement data measured by REW V5.31.3
* Source: C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Letshuoer\lc12 2025 L.txt
* Format: Comma/Tab/Space delimited data
* Dated: 01 9, 25 2:39:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Letshuoer\lc12 2025 L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: lc12 2025 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.696 32.0750
1.015000 64.738 30.5440
1.030000 64.784 28.9822
1.044000 64.831 27.4977
1.060000 64.891 25.7706
1.075000 64.953 24.1231
1.090000 65.021 22.4494
1.106000 65.101 20.6279
1.120000 65.175 18.9570
1.138000 65.276 16.6990
1.150000 65.347 15.1313
1.172000 65.483 12.1424
1.180000 65.534 11.0226
1.206000 65.709 7.2813
1.220000 65.808 5.2125
1.241000 65.961 2.0554
1.250000 66.029 0.6872
1.265000 66.144 -1.6072
1.280000 66.262 -3.9124
1.315000 66.547 -9.2887
1.320000 66.589 -10.0522
1.340000 66.759 -13.0834
1.360000 66.932 -16.0641
1.380000 67.109 -18.9757
1.400000 67.289 -21.7996
1.430000 67.563 -25.8306
1.450000 67.748 -28.3542
1.475000 67.982 -31.3079
1.500000 68.229 -34.1569
1.525000 68.489 -36.9309
1.550000 68.758 -39.6277
1.575000 69.037 -42.2449
1.600000 69.322 -44.7803
1.625000 69.611 -47.2314
1.650000 69.903 -49.5960
1.675000 70.196 -51.8718
1.700000 70.487 -54.0565
1.725000 70.775 -56.1477
1.750000 71.057 -58.1431
1.775000 71.332 -60.0405
1.800000 71.598 -61.8375
1.825000 71.852 -63.5318
1.850000 72.095 -65.1032
1.875000 72.334 -66.5164
1.900000 72.569 -67.7853
1.925000 72.799 -68.9260
1.950000 73.025 -69.9545
1.975000 73.247 -70.8866
2.000000 73.464 -71.7385
2.030000 73.720 -72.6772
2.060000 73.970 -73.5510
2.090000 74.215 -74.3874
2.120000 74.454 -75.2141
2.140000 74.611 -75.7734
2.180000 74.916 -76.9487
2.200000 75.066 -77.5805
2.240000 75.356 -78.8419
2.270000 75.567 -79.7548
2.300000 75.771 -80.6415
2.330000 75.969 -81.5036
2.360000 76.162 -82.3429
2.400000 76.411 -83.4299
2.430000 76.593 -84.2232
2.470000 76.828 -85.2554
2.500000 77.001 -86.0125
2.540000 77.225 -87.0030
2.580000 77.444 -87.9732
2.620000 77.654 -88.9073
2.650000 77.807 -89.5840
2.690000 78.003 -90.4579
2.720000 78.145 -91.0948
2.760000 78.330 -91.9229
2.800000 78.507 -92.7311
2.850000 78.722 -93.7208
2.900000 78.930 -94.6959
2.950000 79.131 -95.6631
3.000000 79.323 -96.6072
3.040000 79.469 -97.3441
3.070000 79.576 -97.8872
3.110000 79.713 -98.5994
3.150000 79.846 -99.2996
3.200000 80.006 -100.1599
3.250000 80.161 -101.0065
3.300000 80.311 -101.8422
3.350000 80.456 -102.6686
3.400000 80.593 -103.4835
3.450000 80.724 -104.2842
3.500000 80.849 -105.0677
3.550000 80.970 -105.8314
3.600000 81.087 -106.5724
3.650000 81.201 -107.2879
3.700000 81.311 -107.9746
3.750000 81.416 -108.6318
3.820000 81.557 -109.5106
3.870000 81.652 -110.1149
3.950000 81.799 -111.0532
4.000000 81.888 -111.6286
4.060000 81.992 -112.3137
4.120000 82.092 -112.9877
4.180000 82.187 -113.6467
4.250000 82.294 -114.3926
4.310000 82.383 -115.0091
4.370000 82.469 -115.6011
4.440000 82.568 -116.2567
4.500000 82.649 -116.7879
4.550000 82.715 -117.2122
4.620000 82.805 -117.7835
4.680000 82.880 -118.2574
4.750000 82.966 -118.7981
4.820000 83.050 -119.3283
4.870000 83.109 -119.6973
4.940000 83.189 -120.1987
5.000000 83.257 -120.6135
5.080000 83.347 -121.1432
5.150000 83.424 -121.5830
5.220000 83.500 -121.9988
5.300000 83.586 -122.4476
5.380000 83.670 -122.8728
5.450000 83.744 -123.2293
5.520000 83.819 -123.5737
5.600000 83.904 -123.9460
5.700000 84.010 -124.3834
5.800000 84.118 -124.7995
5.900000 84.229 -125.2021
6.000000 84.343 -125.5786
6.080000 84.435 -125.8690
6.150000 84.518 -126.1236
6.220000 84.602 -126.3853
6.300000 84.701 -126.6879
6.400000 84.829 -127.0636
6.500000 84.958 -127.4565
6.600000 85.089 -127.8881
6.700000 85.222 -128.3564
6.800000 85.356 -128.8560
6.900000 85.489 -129.3948
7.000000 85.617 -129.9810
7.100000 85.744 -130.6163
7.200000 85.867 -131.2919
7.300000 85.981 -131.9980
7.400000 86.086 -132.7370
7.500000 86.184 -133.5181
7.620000 86.290 -134.4726
7.750000 86.384 -135.4866
7.880000 86.459 -136.5096
8.000000 86.514 -137.4135
8.120000 86.554 -138.2318
8.250000 86.581 -139.0512
8.380000 86.597 -139.7627
8.500000 86.609 -140.2878
8.620000 86.613 -140.6985
8.750000 86.620 -141.0276
8.850000 86.635 -141.1980
9.000000 86.664 -141.2999
9.120000 86.701 -141.3183
9.250000 86.762 -141.3108
9.380000 86.843 -141.2493
9.500000 86.931 -141.2298
9.620000 87.031 -141.2849
9.750000 87.154 -141.3969
9.880000 87.278 -141.6130
10.000000 87.390 -141.9333
10.150000 87.528 -142.4659
10.300000 87.649 -143.1104
10.440000 87.746 -143.8307
10.600000 87.838 -144.7248
10.750000 87.903 -145.5888
10.900000 87.949 -146.4801
11.060000 87.982 -147.3780
11.200000 87.997 -148.1298
11.380000 88.008 -149.0071
11.500000 88.011 -149.5177
11.720000 88.016 -150.3485
11.800000 88.021 -150.6205
12.060000 88.046 -151.4238
12.200000 88.072 -151.8737
12.410000 88.124 -152.5770
12.500000 88.149 -152.9146
12.650000 88.197 -153.5207
12.800000 88.244 -154.1755
13.150000 88.332 -155.8957
13.200000 88.340 -156.1467
13.400000 88.360 -157.1748
13.600000 88.363 -158.1499
13.800000 88.348 -159.0412
14.000000 88.328 -159.8101
14.300000 88.296 -160.7277
14.500000 88.286 -161.1935
14.750000 88.295 -161.7002
15.000000 88.331 -162.1749
15.250000 88.390 -162.7312
15.500000 88.462 -163.4112
15.750000 88.538 -164.2328
16.000000 88.608 -165.1924
16.250000 88.662 -166.2383
16.500000 88.696 -167.3273
16.750000 88.708 -168.3939
17.000000 88.700 -169.3611
17.250000 88.679 -170.1954
17.500000 88.653 -170.8577
17.750000 88.637 -171.3637
18.000000 88.637 -171.7617
18.250000 88.661 -172.1071
18.500000 88.707 -172.5097
18.750000 88.765 -173.0130
19.000000 88.827 -173.6569
19.250000 88.876 -174.4259
19.500000 88.908 -175.2549
19.750000 88.918 -176.0914
20.000000 88.913 -176.8449
20.299999 88.901 -177.6224
20.600000 88.895 -178.2937
20.900000 88.903 -178.9505
21.200001 88.920 -179.7110
21.400000 88.923 179.7025
21.799999 88.892 178.4544
22.000000 88.854 177.8875
22.400000 88.744 177.1130
22.700001 88.670 176.9401
23.000000 88.645 177.0233
23.299999 88.685 177.0897
23.600000 88.773 176.8980
24.000000 88.904 176.0401
24.299999 88.963 175.0548
24.700001 88.962 173.7111
25.000000 88.924 172.9869
25.400000 88.890 172.5213
25.799999 88.941 172.2690
26.200001 89.070 171.6395
26.500000 89.167 170.7342
26.900000 89.236 169.0938
27.200001 89.222 167.8384
27.600000 89.137 166.5294
28.000000 89.045 165.7997
28.500000 89.007 165.3216
29.000000 89.049 164.6061
29.500000 89.084 163.4204
30.000000 89.057 162.1077
30.400000 89.001 161.2268
30.700001 88.953 160.7113
31.100000 88.897 160.1950
31.500000 88.862 159.8162
32.000000 88.866 159.3785
32.500000 88.916 158.6974
33.000000 88.963 157.5529
33.500000 88.943 156.1212
34.000000 88.845 154.9326
34.500000 88.739 154.3223
35.000000 88.702 154.0452
35.500000 88.738 153.5441
36.000000 88.778 152.5894
36.500000 88.773 151.4172
37.000000 88.727 150.3542
37.500000 88.670 149.4857
38.200001 88.590 148.5361
38.700001 88.545 148.1049
39.500000 88.574 147.6704
40.000000 88.661 147.0893
40.599998 88.758 145.7531
41.200001 88.766 144.0109
41.799999 88.673 142.4235
42.500000 88.495 141.2394
43.099998 88.352 140.8269
43.700001 88.266 140.6978
44.400002 88.236 140.4076
45.000000 88.223 139.8173
45.500000 88.192 139.1748
46.200001 88.119 138.2574
46.799999 88.049 137.5067
47.500000 87.968 136.6193
48.200001 87.890 135.6943
48.700001 87.837 135.0074
49.400002 87.764 134.0392
50.000000 87.706 133.2626
50.799999 87.652 132.3036
51.500000 87.626 131.4617
52.200001 87.611 130.6285
53.000000 87.608 129.6755
53.799999 87.598 128.6412
54.500000 87.564 127.8169
55.200001 87.529 127.2004
56.000000 87.512 126.5305
57.000000 87.475 125.5283
58.000000 87.412 124.7177
59.000000 87.379 123.9540
60.000000 87.340 122.9518
60.799999 87.279 122.1780
61.500000 87.223 121.6682
62.200001 87.193 121.2222
63.000000 87.180 120.4767
64.000000 87.103 119.2086
65.000000 86.954 118.4402
66.000000 86.885 118.1212
67.000000 86.889 117.3555
68.000000 86.863 116.1722
69.000000 86.790 115.0571
70.000000 86.719 114.2927
71.000000 86.696 113.5801
72.000000 86.666 112.6766
73.000000 86.609 111.9364
74.000000 86.567 111.3050
75.000000 86.525 110.5624
76.199997 86.451 109.6585
77.500000 86.375 108.7727
78.800003 86.324 107.7969
80.000000 86.281 106.7961
81.199997 86.237 105.8210
82.500000 86.197 104.8716
83.800003 86.160 103.9263
85.000000 86.107 103.1179
86.199997 86.046 102.4195
87.500000 85.976 101.6257
88.500000 85.910 101.0126
90.000000 85.820 100.0727
91.199997 85.752 99.2227
92.500000 85.691 98.3424
93.800003 85.650 97.3826
95.000000 85.593 96.5367
96.199997 85.542 95.9803
97.500000 85.523 95.3295
98.800003 85.479 94.4528
100.000000 85.410 93.6736
101.500000 85.313 92.8131
103.000000 85.240 92.0898
104.400002 85.197 91.3553
106.000000 85.149 90.5258
107.500000 85.089 89.7953
109.000000 85.034 89.3403
110.599998 85.024 88.6327
112.000000 84.979 87.7747
113.800003 84.898 86.8588
115.000000 84.843 86.2370
117.199997 84.730 85.1754
118.000000 84.690 84.7651
120.599998 84.556 83.8141
122.000000 84.558 83.3999
124.099998 84.579 82.0862
125.000000 84.561 81.3819
126.500000 84.493 80.2594
128.000000 84.402 79.4122
131.500000 84.271 78.1524
132.000000 84.254 77.9707
134.000000 84.173 77.3486
136.000000 84.121 76.8481
138.000000 84.110 76.2202
140.000000 84.121 75.5868
143.000000 84.136 74.4537
145.000000 84.100 73.5348
147.500000 84.041 72.4913
150.000000 84.013 71.6327
152.500000 83.976 70.9161
155.000000 83.904 70.3214
157.500000 83.830 69.5417
160.000000 83.754 68.5532
162.500000 83.701 67.6767
165.000000 83.662 67.0066
167.500000 83.616 66.4675
170.000000 83.560 65.8618
172.500000 83.502 65.0932
175.000000 83.432 64.3351
177.500000 83.369 63.6818
180.000000 83.319 63.0295
182.500000 83.276 62.4513
185.000000 83.238 61.9205
187.500000 83.196 61.3832
190.000000 83.162 60.8377
192.500000 83.129 60.2619
195.000000 83.077 59.7517
197.500000 83.004 59.4192
200.000000 82.920 59.2957
203.000000 82.853 59.2507
206.000000 82.898 58.7807
209.000000 82.972 57.8268
212.000000 83.013 57.0169
214.000000 83.031 56.5455
218.000000 83.060 55.5425
220.000000 83.049 55.0795
224.000000 83.008 54.2304
227.000000 82.997 53.5362
230.000000 82.988 52.8820
233.000000 82.956 52.2269
236.000000 82.921 51.6661
240.000000 82.910 51.1382
243.000000 82.899 50.7319
247.000000 82.875 50.1047
250.000000 82.876 49.5925
254.000000 82.888 48.8536
258.000000 82.885 48.0721
262.000000 82.866 47.3607
265.000000 82.847 46.8370
269.000000 82.822 46.1260
272.000000 82.805 45.6081
276.000000 82.787 44.9485
280.000000 82.768 44.3340
285.000000 82.742 43.6216
290.000000 82.714 42.8953
295.000000 82.690 42.1857
300.000000 82.671 41.5717
