* Measurement data measured by REW V5.31.3
* Source: C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Letshuoer\lc12 2025 R.txt
* Format: Comma/Tab/Space delimited data
* Dated: 01 9, 25 2:39:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\Letshuoer\lc12 2025 R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: lc12 2025 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.299 -59.6840
1.015000 63.595 -61.4488
1.030000 63.886 -63.1331
1.044000 64.151 -64.6248
1.060000 64.443 -66.2250
1.075000 64.705 -67.6150
1.090000 64.953 -68.8891
1.106000 65.204 -70.1136
1.120000 65.422 -71.0855
1.138000 65.706 -72.2105
1.150000 65.896 -72.8874
1.172000 66.246 -73.9878
1.180000 66.374 -74.3458
1.206000 66.789 -75.3689
1.220000 67.012 -75.8386
1.241000 67.346 -76.4499
1.250000 67.488 -76.6811
1.265000 67.723 -77.0302
1.280000 67.957 -77.3391
1.315000 68.491 -77.9369
1.320000 68.566 -78.0115
1.340000 68.861 -78.2917
1.360000 69.149 -78.5535
1.380000 69.429 -78.8108
1.400000 69.699 -79.0779
1.430000 70.085 -79.5276
1.450000 70.328 -79.8808
1.475000 70.613 -80.3943
1.500000 70.879 -80.8922
1.525000 71.126 -81.3521
1.550000 71.357 -81.7775
1.575000 71.573 -82.1719
1.600000 71.777 -82.5387
1.625000 71.970 -82.8816
1.650000 72.155 -83.2039
1.675000 72.332 -83.5092
1.700000 72.504 -83.8009
1.725000 72.673 -84.0826
1.750000 72.840 -84.3577
1.775000 73.008 -84.6298
1.800000 73.179 -84.9023
1.825000 73.353 -85.1787
1.850000 73.531 -85.4532
1.875000 73.705 -85.7069
1.900000 73.876 -85.9419
1.925000 74.044 -86.1615
1.950000 74.209 -86.3688
1.975000 74.372 -86.5668
2.000000 74.532 -86.7589
2.030000 74.721 -86.9857
2.060000 74.907 -87.2139
2.090000 75.092 -87.4487
2.120000 75.274 -87.6957
2.140000 75.394 -87.8697
2.180000 75.633 -88.2477
2.200000 75.752 -88.4548
2.240000 75.989 -88.8916
2.270000 76.164 -89.2329
2.300000 76.337 -89.5850
2.330000 76.508 -89.9471
2.360000 76.677 -90.3184
2.400000 76.899 -90.8262
2.430000 77.062 -91.2155
2.470000 77.275 -91.7444
2.500000 77.430 -92.1472
2.540000 77.633 -92.6910
2.580000 77.829 -93.2423
2.620000 78.019 -93.8126
2.650000 78.158 -94.2524
2.690000 78.339 -94.8514
2.720000 78.471 -95.3076
2.760000 78.642 -95.9215
2.800000 78.808 -96.5378
2.850000 79.010 -97.3045
2.900000 79.204 -98.0592
2.950000 79.391 -98.7947
3.000000 79.569 -99.5205
3.040000 79.707 -100.0970
3.070000 79.807 -100.5272
3.110000 79.936 -101.0986
3.150000 80.060 -101.6676
3.200000 80.210 -102.3765
3.250000 80.354 -103.0837
3.300000 80.492 -103.7902
3.350000 80.624 -104.5058
3.400000 80.748 -105.2312
3.450000 80.866 -105.9575
3.500000 80.978 -106.6758
3.550000 81.085 -107.3775
3.600000 81.187 -108.0536
3.650000 81.286 -108.6955
3.700000 81.380 -109.2997
3.750000 81.468 -109.8761
3.820000 81.583 -110.6412
3.870000 81.660 -111.1606
3.950000 81.777 -111.9510
4.000000 81.847 -112.4227
4.060000 81.929 -112.9698
4.120000 82.006 -113.4962
4.180000 82.078 -113.9980
4.250000 82.158 -114.5469
4.310000 82.225 -114.9814
4.370000 82.293 -115.3783
4.440000 82.372 -115.7866
4.500000 82.438 -116.0866
4.550000 82.493 -116.3077
4.620000 82.569 -116.5833
4.680000 82.635 -116.7977
4.750000 82.717 -117.0351
4.820000 82.802 -117.2557
4.870000 82.865 -117.3923
4.940000 82.954 -117.5632
5.000000 83.033 -117.6987
5.080000 83.143 -117.8775
5.150000 83.244 -118.0424
5.220000 83.349 -118.1971
5.300000 83.474 -118.3656
5.380000 83.603 -118.5435
5.450000 83.718 -118.7218
5.520000 83.834 -118.9324
5.600000 83.971 -119.1969
5.700000 84.146 -119.5635
5.800000 84.321 -119.9820
5.900000 84.494 -120.4644
6.000000 84.666 -121.0111
6.080000 84.802 -121.4884
6.150000 84.919 -121.9307
6.220000 85.032 -122.3925
6.300000 85.157 -122.9485
6.400000 85.308 -123.6897
6.500000 85.452 -124.4665
6.600000 85.587 -125.2621
6.700000 85.714 -126.0851
6.800000 85.832 -126.9348
6.900000 85.941 -127.7905
7.000000 86.042 -128.6355
7.100000 86.134 -129.4839
7.200000 86.218 -130.3279
7.300000 86.294 -131.1525
7.400000 86.364 -131.9521
7.500000 86.426 -132.7363
7.620000 86.492 -133.6420
7.750000 86.557 -134.5614
7.880000 86.612 -135.4238
8.000000 86.658 -136.1645
8.120000 86.702 -136.8443
8.250000 86.746 -137.5131
8.380000 86.790 -138.1194
8.500000 86.834 -138.6253
8.620000 86.880 -139.0742
8.750000 86.934 -139.5201
8.850000 86.981 -139.8450
9.000000 87.058 -140.2849
9.120000 87.128 -140.6305
9.250000 87.212 -141.0192
9.380000 87.305 -141.4094
9.500000 87.395 -141.8054
9.620000 87.488 -142.2523
9.750000 87.593 -142.7805
9.880000 87.693 -143.3714
10.000000 87.780 -143.9848
10.150000 87.881 -144.8290
10.300000 87.966 -145.7317
10.440000 88.031 -146.6374
10.600000 88.089 -147.7058
10.750000 88.126 -148.7159
10.900000 88.146 -149.7326
11.060000 88.153 -150.7632
11.200000 88.145 -151.6310
11.380000 88.123 -152.6377
11.500000 88.100 -153.2258
11.720000 88.053 -154.1457
11.800000 88.037 -154.4220
12.060000 87.991 -155.1417
12.200000 87.981 -155.4604
12.410000 87.985 -155.8661
12.500000 87.994 -156.0479
12.650000 88.022 -156.3464
12.800000 88.059 -156.6707
13.150000 88.163 -157.6100
13.200000 88.177 -157.7603
13.400000 88.231 -158.4139
13.600000 88.276 -159.0888
13.800000 88.310 -159.7676
14.000000 88.337 -160.4084
14.300000 88.372 -161.2874
14.500000 88.400 -161.8177
14.750000 88.443 -162.4876
15.000000 88.495 -163.2025
15.250000 88.549 -164.0443
15.500000 88.591 -164.9978
15.750000 88.616 -166.0352
16.000000 88.614 -167.0743
16.250000 88.592 -168.0152
16.500000 88.559 -168.8191
16.750000 88.527 -169.4447
17.000000 88.514 -169.9691
17.250000 88.521 -170.4650
17.500000 88.549 -171.0338
17.750000 88.582 -171.7586
18.000000 88.607 -172.6176
18.250000 88.609 -173.5829
18.500000 88.581 -174.4965
18.750000 88.533 -175.2618
19.000000 88.473 -175.7904
19.250000 88.433 -176.0582
19.500000 88.426 -176.1741
19.750000 88.466 -176.2308
20.000000 88.551 -176.4380
20.299999 88.683 -177.0200
20.600000 88.815 -178.0144
20.900000 88.912 -179.3405
21.200001 88.955 179.2087
21.400000 88.956 178.3033
21.799999 88.916 176.7772
22.000000 88.891 176.1857
22.400000 88.861 175.2708
22.700001 88.865 174.6700
23.000000 88.884 174.0151
23.299999 88.905 173.2805
23.600000 88.917 172.5047
24.000000 88.916 171.5041
24.299999 88.909 170.8344
24.700001 88.907 170.0362
25.000000 88.913 169.4498
25.400000 88.928 168.6071
25.799999 88.935 167.6779
26.200001 88.924 166.7281
26.500000 88.906 166.0563
26.900000 88.874 165.2528
27.200001 88.852 164.7157
27.600000 88.830 164.0544
28.000000 88.817 163.4107
28.500000 88.812 162.5803
29.000000 88.812 161.6859
29.500000 88.811 160.7178
30.000000 88.799 159.7130
30.400000 88.781 158.9288
30.700001 88.765 158.3688
31.100000 88.745 157.6580
31.500000 88.727 156.9675
32.000000 88.708 156.0985
32.500000 88.686 155.2171
33.000000 88.659 154.3510
33.500000 88.629 153.5222
34.000000 88.599 152.7260
34.500000 88.573 151.9392
35.000000 88.549 151.1388
35.500000 88.526 150.3073
36.000000 88.499 149.4465
36.500000 88.464 148.5827
37.000000 88.424 147.7497
37.500000 88.383 146.9599
38.200001 88.329 145.9131
38.700001 88.293 145.2061
39.500000 88.249 144.1380
40.000000 88.233 143.4548
40.599998 88.217 142.5593
41.200001 88.189 141.6165
41.799999 88.148 140.7221
42.500000 88.096 139.7875
43.099998 88.057 139.0295
43.700001 88.018 138.2789
44.400002 87.971 137.4250
45.000000 87.933 136.7092
45.500000 87.903 136.1046
46.200001 87.861 135.2379
46.799999 87.821 134.4934
47.500000 87.775 133.6323
48.200001 87.728 132.7695
48.700001 87.693 132.1601
49.400002 87.644 131.3399
50.000000 87.606 130.6597
50.799999 87.559 129.7419
51.500000 87.515 128.9410
52.200001 87.471 128.1778
53.000000 87.424 127.3150
53.799999 87.375 126.4262
54.500000 87.327 125.6760
55.200001 87.281 124.9599
56.000000 87.232 124.1264
57.000000 87.166 123.0823
58.000000 87.101 122.0810
59.000000 87.037 121.0769
60.000000 86.968 120.1237
60.799999 86.916 119.4053
61.500000 86.874 118.7958
62.200001 86.836 118.1776
63.000000 86.792 117.4154
64.000000 86.716 116.4785
65.000000 86.640 115.6790
66.000000 86.568 114.8584
67.000000 86.481 114.1489
68.000000 86.420 113.6187
69.000000 86.386 113.0202
70.000000 86.362 112.3589
71.000000 86.348 111.6031
72.000000 86.326 110.7529
73.000000 86.297 109.9082
74.000000 86.268 109.0291
75.000000 86.228 108.0913
76.199997 86.162 106.9924
77.500000 86.085 105.9043
78.800003 86.015 104.8519
80.000000 85.952 103.8746
81.199997 85.885 102.9732
82.500000 85.827 102.0709
83.800003 85.774 101.1431
85.000000 85.719 100.3167
86.199997 85.666 99.5284
87.500000 85.611 98.6351
88.500000 85.561 97.9319
90.000000 85.478 96.9775
91.199997 85.421 96.2828
92.500000 85.371 95.5179
93.800003 85.324 94.7034
95.000000 85.273 93.9182
96.199997 85.215 93.1692
97.500000 85.155 92.4055
98.800003 85.101 91.6454
100.000000 85.054 90.9533
101.500000 84.998 90.1407
103.000000 84.949 89.3556
104.400002 84.897 88.6104
106.000000 84.830 87.7867
107.500000 84.766 86.9971
109.000000 84.703 86.1798
110.599998 84.646 85.3094
112.000000 84.605 84.5432
113.800003 84.552 83.6143
115.000000 84.516 83.0597
117.199997 84.445 82.0822
118.000000 84.417 81.7336
120.599998 84.325 80.5825
122.000000 84.282 79.9343
124.099998 84.220 78.9602
125.000000 84.196 78.5616
126.500000 84.157 77.9153
128.000000 84.116 77.2930
131.500000 84.027 75.9296
132.000000 84.016 75.7316
134.000000 83.973 74.9237
136.000000 83.929 74.1344
138.000000 83.887 73.3679
140.000000 83.846 72.5893
143.000000 83.782 71.4190
145.000000 83.737 70.6801
147.500000 83.683 69.7997
150.000000 83.636 68.9526
152.500000 83.594 68.1677
155.000000 83.550 67.4131
157.500000 83.499 66.6289
160.000000 83.448 65.7868
162.500000 83.395 64.9759
165.000000 83.341 64.2670
167.500000 83.286 63.6186
170.000000 83.236 62.9461
172.500000 83.194 62.2413
175.000000 83.156 61.5397
177.500000 83.118 60.8615
180.000000 83.079 60.1877
182.500000 83.036 59.5295
185.000000 82.995 58.8629
187.500000 82.953 58.1824
190.000000 82.911 57.5420
192.500000 82.871 56.9425
195.000000 82.831 56.3674
197.500000 82.789 55.8043
200.000000 82.744 55.2637
203.000000 82.703 54.6183
206.000000 82.677 53.9228
209.000000 82.653 53.2634
212.000000 82.623 52.6759
214.000000 82.602 52.2870
218.000000 82.571 51.4413
220.000000 82.555 51.0230
224.000000 82.521 50.2866
227.000000 82.499 49.7390
230.000000 82.480 49.1696
233.000000 82.462 48.6026
236.000000 82.441 48.0954
240.000000 82.412 47.4832
243.000000 82.395 46.9690
247.000000 82.376 46.3005
250.000000 82.358 45.8570
254.000000 82.331 45.2495
258.000000 82.313 44.6668
262.000000 82.298 44.1626
265.000000 82.284 43.7850
269.000000 82.273 43.2592
272.000000 82.267 42.8428
276.000000 82.254 42.2757
280.000000 82.238 41.7085
285.000000 82.221 41.0057
290.000000 82.204 40.3404
295.000000 82.185 39.7456
