* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 5, 25 4:04:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: legend 15ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.470 -3.3501
1.015000 49.691 -4.5537
1.030000 49.912 -5.7668
1.044000 50.119 -6.9096
1.060000 50.355 -8.2306
1.075000 50.577 -9.4852
1.090000 50.799 -10.7561
1.106000 51.037 -12.1220
1.120000 51.244 -13.3107
1.138000 51.510 -14.8180
1.150000 51.687 -15.8087
1.172000 52.009 -17.5952
1.180000 52.125 -18.2356
1.206000 52.503 -20.2845
1.220000 52.705 -21.3682
1.241000 53.006 -22.9703
1.250000 53.135 -23.6488
1.265000 53.349 -24.7699
1.280000 53.563 -25.8797
1.315000 54.057 -28.4313
1.320000 54.128 -28.7921
1.340000 54.408 -30.2278
1.360000 54.687 -31.6532
1.380000 54.965 -33.0710
1.400000 55.242 -34.4834
1.430000 55.655 -36.5968
1.450000 55.928 -38.0039
1.475000 56.269 -39.7478
1.500000 56.608 -41.4381
1.525000 56.945 -43.0633
1.550000 57.280 -44.6323
1.575000 57.613 -46.1564
1.600000 57.945 -47.6464
1.625000 58.274 -49.1121
1.650000 58.601 -50.5629
1.675000 58.926 -52.0072
1.700000 59.248 -53.4527
1.725000 59.569 -54.9062
1.750000 59.887 -56.3739
1.775000 60.202 -57.8610
1.800000 60.516 -59.3717
1.825000 60.826 -60.9049
1.850000 61.135 -62.4418
1.875000 61.441 -63.9550
1.900000 61.744 -65.4365
1.925000 62.046 -66.8882
1.950000 62.345 -68.3138
1.975000 62.642 -69.7175
2.000000 62.937 -71.1041
2.030000 63.288 -72.7517
2.060000 63.635 -74.3891
2.090000 63.978 -76.0243
2.120000 64.318 -77.6645
2.140000 64.542 -78.7644
2.180000 64.986 -80.9861
2.200000 65.205 -82.1060
2.240000 65.639 -84.3329
2.270000 65.961 -85.9742
2.300000 66.278 -87.5886
2.330000 66.592 -89.1785
2.360000 66.903 -90.7475
2.400000 67.311 -92.8148
2.430000 67.613 -94.3531
2.470000 68.010 -96.3979
2.500000 68.303 -97.9338
2.540000 68.688 -99.9940
2.580000 69.067 -102.0700
2.620000 69.438 -104.1429
2.650000 69.713 -105.6851
2.690000 70.073 -107.7198
2.720000 70.339 -109.2287
2.760000 70.688 -111.2190
2.800000 71.030 -113.1882
2.850000 71.449 -115.6293
2.900000 71.857 -118.0613
2.950000 72.256 -120.5001
3.000000 72.644 -122.9467
3.040000 72.947 -124.8978
3.070000 73.170 -126.3515
3.110000 73.462 -128.2725
3.150000 73.747 -130.1707
3.200000 74.095 -132.5106
3.250000 74.434 -134.8177
3.300000 74.763 -137.1046
3.350000 75.082 -139.3947
3.400000 75.392 -141.6910
3.450000 75.691 -143.9757
3.500000 75.982 -146.2321
3.550000 76.263 -148.4487
3.600000 76.536 -150.6190
3.650000 76.800 -152.7459
3.700000 77.055 -154.8525
3.750000 77.301 -156.9617
3.820000 77.630 -159.9030
3.870000 77.855 -161.9723
3.950000 78.200 -165.1888
4.000000 78.406 -167.1277
4.060000 78.643 -169.3972
4.120000 78.869 -171.6454
4.180000 79.084 -173.8741
4.250000 79.322 -176.4204
4.310000 79.517 -178.5305
4.370000 79.704 179.4430
4.440000 79.914 177.1710
4.500000 80.084 175.2691
4.550000 80.220 173.7131
4.620000 80.402 171.5922
4.680000 80.554 169.8426
4.750000 80.727 167.8970
4.820000 80.895 166.0487
4.870000 81.011 164.7747
4.940000 81.169 163.0474
5.000000 81.303 161.6183
5.080000 81.482 159.7897
5.150000 81.640 158.2675
5.220000 81.798 156.8199
5.300000 81.980 155.2411
5.380000 82.163 153.7181
5.450000 82.327 152.4150
5.520000 82.495 151.1374
5.600000 82.692 149.7216
5.700000 82.944 148.0019
5.800000 83.200 146.2881
5.900000 83.459 144.5467
6.000000 83.723 142.7952
6.080000 83.934 141.3868
6.150000 84.118 140.1386
6.220000 84.298 138.8662
6.300000 84.500 137.3791
6.400000 84.749 135.4840
6.500000 84.988 133.5675
6.600000 85.214 131.6344
6.700000 85.426 129.6683
6.800000 85.625 127.6810
6.900000 85.809 125.7117
7.000000 85.976 123.7737
7.100000 86.127 121.8459
7.200000 86.263 119.9462
7.300000 86.386 118.1141
7.400000 86.494 116.3566
7.500000 86.589 114.6566
7.620000 86.690 112.7139
7.750000 86.787 110.7680
7.880000 86.873 108.9743
8.000000 86.948 107.4413
8.120000 87.025 106.0325
8.250000 87.110 104.6398
8.380000 87.200 103.3447
8.500000 87.292 102.2150
8.620000 87.392 101.1443
8.750000 87.508 100.0101
8.850000 87.602 99.1342
9.000000 87.751 97.8148
9.120000 87.872 96.7385
9.250000 88.002 95.5328
9.380000 88.130 94.2921
9.500000 88.242 93.1252
9.620000 88.347 91.9375
9.750000 88.450 90.6346
9.880000 88.538 89.3403
10.000000 88.603 88.1616
10.150000 88.665 86.7170
10.300000 88.711 85.3348
10.440000 88.741 84.1076
10.600000 88.768 82.7823
10.750000 88.791 81.6229
10.900000 88.812 80.5335
11.060000 88.838 79.4340
11.200000 88.863 78.5175
11.380000 88.901 77.3722
11.500000 88.929 76.6193
11.720000 88.985 75.2415
11.800000 89.006 74.7352
12.060000 89.071 73.0685
12.200000 89.103 72.1578
12.410000 89.147 70.7839
12.500000 89.166 70.1975
12.650000 89.199 69.2261
12.800000 89.230 68.2700
13.150000 89.292 66.1268
13.200000 89.300 65.8319
13.400000 89.329 64.6813
13.600000 89.358 63.5710
13.800000 89.388 62.4943
14.000000 89.419 61.4401
14.300000 89.466 59.8837
14.500000 89.497 58.8536
14.750000 89.534 57.5718
15.000000 89.568 56.2985
15.250000 89.597 55.0409
15.500000 89.622 53.8078
15.750000 89.642 52.6076
16.000000 89.660 51.4484
16.250000 89.677 50.3359
16.500000 89.693 49.2736
16.750000 89.710 48.2615
17.000000 89.728 47.2950
17.250000 89.749 46.3653
17.500000 89.774 45.4596
17.750000 89.803 44.5635
18.000000 89.832 43.6651
18.250000 89.862 42.7570
18.500000 89.889 41.8395
18.750000 89.910 40.9205
19.000000 89.925 40.0132
19.250000 89.934 39.1345
19.500000 89.937 38.2983
19.750000 89.937 37.5130
20.000000 89.938 36.7787
20.299999 89.942 35.9517
20.600000 89.951 35.1576
20.900000 89.967 34.3662
21.200001 89.984 33.5552
21.400000 89.995 33.0003
21.799999 90.009 31.8707
22.000000 90.011 31.3087
22.400000 90.007 30.2242
22.700001 90.001 29.4613
23.000000 89.996 28.7401
23.299999 89.994 28.0454
23.600000 89.997 27.3575
24.000000 90.003 26.4258
24.299999 90.006 25.7133
24.700001 90.006 24.7615
25.000000 90.002 24.0621
25.400000 89.994 23.1633
25.799999 89.986 22.3031
26.200001 89.978 21.4746
26.500000 89.971 20.8738
26.900000 89.961 20.1063
27.200001 89.954 19.5604
27.600000 89.948 18.8695
28.000000 89.946 18.2056
28.500000 89.949 17.3837
29.000000 89.953 16.5538
29.500000 89.955 15.7186
30.000000 89.954 14.8807
30.400000 89.949 14.2111
30.700001 89.942 13.7170
31.100000 89.927 13.0872
31.500000 89.910 12.5078
32.000000 89.894 11.8474
32.500000 89.889 11.1961
33.000000 89.889 10.4824
33.500000 89.881 9.7043
34.000000 89.858 8.9321
34.500000 89.828 8.2323
35.000000 89.800 7.6039
35.500000 89.781 6.9941
36.000000 89.764 6.3635
36.500000 89.744 5.7198
37.000000 89.720 5.0950
37.500000 89.695 4.5059
38.200001 89.666 3.7225
38.700001 89.648 3.1730
39.500000 89.622 2.2985
40.000000 89.607 1.7498
40.599998 89.589 1.0825
41.200001 89.567 0.4161
41.799999 89.540 -0.2239
42.500000 89.509 -0.9263
43.099998 89.484 -1.5097
43.700001 89.458 -2.0854
44.400002 89.426 -2.7317
45.000000 89.401 -3.2638
45.500000 89.383 -3.7104
46.200001 89.356 -4.3582
46.799999 89.328 -4.9120
47.500000 89.291 -5.5137
48.200001 89.259 -6.0699
48.700001 89.241 -6.4654
49.400002 89.216 -7.0474
50.000000 89.192 -7.5686
50.799999 89.150 -8.2367
51.500000 89.110 -8.7557
52.200001 89.075 -9.2349
53.000000 89.039 -9.7817
53.799999 89.003 -10.3326
54.500000 88.972 -10.8171
55.200001 88.938 -11.3132
56.000000 88.894 -11.8726
57.000000 88.835 -12.4967
58.000000 88.785 -13.0701
59.000000 88.741 -13.6801
60.000000 88.694 -14.2970
60.799999 88.656 -14.7773
61.500000 88.622 -15.1948
62.200001 88.587 -15.5999
63.000000 88.548 -16.0370
64.000000 88.503 -16.5638
65.000000 88.461 -17.0983
66.000000 88.415 -17.6266
67.000000 88.367 -18.1149
68.000000 88.322 -18.5908
69.000000 88.275 -19.0645
70.000000 88.226 -19.5248
71.000000 88.176 -19.9839
72.000000 88.124 -20.4161
73.000000 88.075 -20.8322
74.000000 88.027 -21.2611
75.000000 87.978 -21.6782
76.199997 87.922 -22.1680
77.500000 87.861 -22.6962
78.800003 87.801 -23.2015
80.000000 87.747 -23.6595
81.199997 87.692 -24.1252
82.500000 87.631 -24.6000
83.800003 87.573 -25.0552
85.000000 87.519 -25.4559
86.199997 87.468 -25.8556
87.500000 87.408 -26.2728
88.500000 87.364 -26.5435
90.000000 87.304 -27.0150
91.199997 87.244 -27.3865
92.500000 87.185 -27.6960
93.800003 87.138 -28.0513
95.000000 87.091 -28.4087
96.199997 87.044 -28.7287
97.500000 86.994 -29.0681
98.800003 86.940 -29.4178
100.000000 86.883 -29.7191
101.500000 86.810 -30.0609
103.000000 86.738 -30.3984
104.400002 86.674 -30.7059
106.000000 86.609 -31.0544
107.500000 86.548 -31.3692
109.000000 86.489 -31.6530
110.599998 86.425 -31.9376
112.000000 86.372 -32.2037
113.800003 86.301 -32.5806
115.000000 86.256 -32.8149
117.199997 86.179 -33.1828
118.000000 86.152 -33.3021
120.599998 86.060 -33.6882
122.000000 86.004 -33.8950
124.099998 85.926 -34.2158
125.000000 85.897 -34.3647
126.500000 85.853 -34.6251
128.000000 85.810 -34.8647
131.500000 85.696 -35.2770
132.000000 85.679 -35.3269
134.000000 85.610 -35.5450
136.000000 85.547 -35.7834
138.000000 85.491 -36.0057
140.000000 85.441 -36.1644
143.000000 85.362 -36.4291
145.000000 85.304 -36.6434
147.500000 85.238 -36.9932
150.000000 85.173 -37.3115
152.500000 85.114 -37.5148
155.000000 85.055 -37.7223
157.500000 84.994 -37.9841
160.000000 84.928 -38.2151
162.500000 84.858 -38.4108
165.000000 84.781 -38.6097
167.500000 84.699 -38.7892
170.000000 84.621 -38.9477
172.500000 84.545 -39.1127
175.000000 84.468 -39.2864
177.500000 84.393 -39.4246
180.000000 84.327 -39.5431
182.500000 84.261 -39.7034
185.000000 84.195 -39.8614
187.500000 84.130 -40.0082
190.000000 84.066 -40.1144
192.500000 84.002 -40.2064
195.000000 83.939 -40.3123
197.500000 83.878 -40.4249
200.000000 83.819 -40.5276
203.000000 83.757 -40.6444
206.000000 83.701 -40.7615
209.000000 83.641 -40.8483
212.000000 83.579 -40.8998
214.000000 83.541 -40.9449
218.000000 83.475 -41.0883
220.000000 83.443 -41.1724
224.000000 83.377 -41.3037
227.000000 83.328 -41.3527
230.000000 83.277 -41.3732
233.000000 83.225 -41.4083
236.000000 83.175 -41.4802
240.000000 83.113 -41.5793
243.000000 83.071 -41.6272
247.000000 83.016 -41.6738
250.000000 82.975 -41.7146
254.000000 82.923 -41.7869
258.000000 82.875 -41.8756
262.000000 82.825 -41.9706
265.000000 82.785 -42.0260
269.000000 82.727 -42.0461
272.000000 82.682 -42.0390
276.000000 82.623 -42.0695
280.000000 82.571 -42.1376
285.000000 82.515 -42.1956
290.000000 82.466 -42.2297
295.000000 82.419 -42.2817
300.000000 82.374 -42.3660
304.000000 82.337 -42.4281
307.000000 82.309 -42.4716
311.000000 82.273 -42.5267
315.000000 82.237 -42.5895
