* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 5, 25 4:00:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: legend 15ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.660 -138.0872
1.015000 40.624 -137.7818
1.030000 40.601 -137.4209
1.044000 40.594 -137.0302
1.060000 40.605 -136.5143
1.075000 40.636 -135.9498
1.090000 40.688 -135.2366
1.106000 40.765 -134.0122
1.120000 40.844 -132.5110
1.138000 40.956 -130.3270
1.150000 41.038 -128.7616
1.172000 41.202 -125.6782
1.180000 41.266 -124.4902
1.206000 41.491 -120.4022
1.220000 41.622 -118.0752
1.241000 41.833 -114.4635
1.250000 41.928 -112.8858
1.265000 42.094 -110.2400
1.280000 42.269 -107.6021
1.315000 42.709 -101.6609
1.320000 42.776 -100.8536
1.340000 43.053 -97.7698
1.360000 43.345 -94.9561
1.380000 43.653 -92.4500
1.400000 43.976 -90.2725
1.430000 44.491 -87.6318
1.450000 44.854 -86.2687
1.475000 45.339 -84.9007
1.500000 45.871 -83.6863
1.525000 46.453 -82.5597
1.550000 47.078 -81.5516
1.575000 47.739 -80.6906
1.600000 48.426 -79.9949
1.625000 49.133 -79.4743
1.650000 49.852 -79.1328
1.675000 50.574 -78.9699
1.700000 51.293 -78.9827
1.725000 52.000 -79.1660
1.750000 52.687 -79.5136
1.775000 53.348 -80.0184
1.800000 53.974 -80.6713
1.825000 54.561 -81.4510
1.850000 55.114 -82.2934
1.875000 55.645 -83.1250
1.900000 56.159 -83.9312
1.925000 56.657 -84.7216
1.950000 57.140 -85.5079
1.975000 57.610 -86.3002
2.000000 58.066 -87.1071
2.030000 58.600 -88.1049
2.060000 59.118 -89.1448
2.090000 59.624 -90.2357
2.120000 60.119 -91.3849
2.140000 60.443 -92.1864
2.180000 61.082 -93.8769
2.200000 61.396 -94.7587
2.240000 62.006 -96.5352
2.270000 62.448 -97.8486
2.300000 62.876 -99.1429
2.330000 63.291 -100.4216
2.360000 63.695 -101.6892
2.400000 64.217 -103.3712
2.430000 64.598 -104.6332
2.470000 65.093 -106.3267
2.500000 65.456 -107.6115
2.540000 65.932 -109.3529
2.580000 66.397 -111.1252
2.620000 66.848 -112.9046
2.650000 67.177 -114.2317
2.690000 67.601 -115.9851
2.720000 67.911 -117.2867
2.760000 68.313 -119.0042
2.800000 68.703 -120.7034
2.850000 69.178 -122.8083
2.900000 69.639 -124.9021
2.950000 70.087 -126.9971
3.000000 70.520 -129.0952
3.040000 70.854 -130.7667
3.070000 71.098 -132.0114
3.110000 71.415 -133.6550
3.150000 71.724 -135.2775
3.200000 72.099 -137.2743
3.250000 72.463 -139.2372
3.300000 72.818 -141.1742
3.350000 73.161 -143.1017
3.400000 73.493 -145.0236
3.450000 73.812 -146.9292
3.500000 74.121 -148.8080
3.550000 74.421 -150.6526
3.600000 74.713 -152.4585
3.650000 74.997 -154.2265
3.700000 75.273 -155.9697
3.750000 75.540 -157.7017
3.820000 75.899 -160.1017
3.870000 76.145 -161.7874
3.950000 76.527 -164.4160
4.000000 76.758 -166.0103
4.060000 77.027 -167.8817
4.120000 77.287 -169.7269
4.180000 77.538 -171.5482
4.250000 77.820 -173.6321
4.310000 78.055 -175.3742
4.370000 78.284 -177.0704
4.440000 78.544 -178.9988
4.500000 78.759 179.3776
4.550000 78.934 178.0439
4.620000 79.171 176.2106
4.680000 79.370 174.6751
4.750000 79.597 172.9285
4.820000 79.818 171.2238
4.870000 79.972 170.0259
4.940000 80.183 168.3756
5.000000 80.359 166.9872
5.080000 80.589 165.1758
5.150000 80.785 163.6274
5.220000 80.977 162.1068
5.300000 81.192 160.3991
5.380000 81.400 158.7246
5.450000 81.579 157.2875
5.520000 81.753 155.8749
5.600000 81.948 154.2850
5.700000 82.185 152.3323
5.800000 82.415 150.4217
5.900000 82.638 148.5521
6.000000 82.853 146.7144
6.080000 83.020 145.2676
6.150000 83.163 144.0211
6.220000 83.302 142.7935
6.300000 83.458 141.4100
6.400000 83.646 139.7056
6.500000 83.828 138.0329
6.600000 84.004 136.3959
6.700000 84.174 134.7899
6.800000 84.338 133.2112
6.900000 84.498 131.6635
7.000000 84.652 130.1480
7.100000 84.801 128.6599
7.200000 84.946 127.1978
7.300000 85.086 125.7640
7.400000 85.223 124.3569
7.500000 85.355 122.9733
7.620000 85.509 121.3438
7.750000 85.670 119.6162
7.880000 85.824 117.9231
8.000000 85.962 116.3902
8.120000 86.095 114.8857
8.250000 86.234 113.2841
8.380000 86.367 111.7124
8.500000 86.486 110.2881
8.620000 86.600 108.8864
8.750000 86.719 107.3949
8.850000 86.807 106.2669
9.000000 86.933 104.6034
9.120000 87.030 103.2984
9.250000 87.131 101.9107
9.380000 87.228 100.5482
9.500000 87.313 99.3139
9.620000 87.396 98.1019
9.750000 87.481 96.8128
9.880000 87.558 95.5496
10.000000 87.619 94.4064
10.150000 87.685 93.0071
10.300000 87.743 91.6423
10.440000 87.791 90.3988
10.600000 87.841 89.0131
10.750000 87.886 87.7487
10.900000 87.929 86.5158
11.060000 87.973 85.2343
11.200000 88.011 84.1397
11.380000 88.058 82.7645
11.500000 88.089 81.8659
11.720000 88.145 80.2499
11.800000 88.166 79.6705
12.060000 88.231 77.8125
12.200000 88.264 76.8242
12.410000 88.316 75.3558
12.500000 88.340 74.7314
12.650000 88.383 73.6973
12.800000 88.427 72.6734
13.150000 88.520 70.3340
13.200000 88.533 70.0070
13.400000 88.578 68.7191
13.600000 88.620 67.4680
13.800000 88.657 66.2568
14.000000 88.692 65.0868
14.300000 88.741 63.4071
14.500000 88.773 62.3339
14.750000 88.812 61.0386
15.000000 88.850 59.7884
15.250000 88.888 58.5770
15.500000 88.926 57.3995
15.750000 88.963 56.2514
16.000000 89.001 55.1285
16.250000 89.040 54.0262
16.500000 89.079 52.9409
16.750000 89.116 51.8699
17.000000 89.150 50.8134
17.250000 89.180 49.7743
17.500000 89.205 48.7583
17.750000 89.226 47.7725
18.000000 89.244 46.8229
18.250000 89.260 45.9137
18.500000 89.275 45.0448
18.750000 89.290 44.2120
19.000000 89.308 43.4078
19.250000 89.329 42.6216
19.500000 89.352 41.8423
19.750000 89.378 41.0591
20.000000 89.405 40.2629
20.299999 89.438 39.2811
20.600000 89.467 38.2673
20.900000 89.490 37.2279
21.200001 89.502 36.1815
21.400000 89.504 35.4944
21.799999 89.493 34.1902
22.000000 89.483 33.5909
22.400000 89.461 32.5198
22.700001 89.451 31.8154
23.000000 89.452 31.1595
23.299999 89.464 30.5084
23.600000 89.483 29.8260
24.000000 89.510 28.8481
24.299999 89.523 28.0854
24.700001 89.528 27.0923
25.000000 89.527 26.4011
25.400000 89.527 25.5594
25.799999 89.536 24.7655
26.200001 89.552 23.9570
26.500000 89.564 23.3252
26.900000 89.572 22.4694
27.200001 89.571 21.8456
27.600000 89.566 21.0656
28.000000 89.564 20.3354
28.500000 89.567 19.4302
29.000000 89.568 18.4863
29.500000 89.557 17.5443
30.000000 89.538 16.6772
30.400000 89.527 16.0405
30.700001 89.523 15.5722
31.100000 89.524 14.9246
31.500000 89.525 14.2324
32.000000 89.519 13.3289
32.500000 89.502 12.4435
33.000000 89.479 11.6171
33.500000 89.458 10.8459
34.000000 89.439 10.1130
34.500000 89.421 9.4136
35.000000 89.405 8.7473
35.500000 89.394 8.1004
36.000000 89.385 7.4518
36.500000 89.374 6.7946
37.000000 89.360 6.1428
37.500000 89.342 5.5157
38.200001 89.316 4.6815
38.700001 89.298 4.0967
39.500000 89.266 3.1599
40.000000 89.243 2.5851
40.599998 89.214 1.9172
41.200001 89.186 1.2697
41.799999 89.161 0.6312
42.500000 89.135 -0.1214
43.099998 89.112 -0.7809
43.700001 89.086 -1.4340
44.400002 89.054 -2.1541
45.000000 89.030 -2.7494
45.500000 89.012 -3.2548
46.200001 88.981 -3.9652
46.799999 88.948 -4.5254
47.500000 88.915 -5.1122
48.200001 88.891 -5.7070
48.700001 88.873 -6.1609
49.400002 88.840 -6.7983
50.000000 88.807 -7.3104
50.799999 88.764 -7.9384
51.500000 88.729 -8.4453
52.200001 88.702 -8.9408
53.000000 88.674 -9.5615
53.799999 88.635 -10.2245
54.500000 88.590 -10.7553
55.200001 88.543 -11.2095
56.000000 88.496 -11.6628
57.000000 88.452 -12.2053
58.000000 88.417 -12.8237
59.000000 88.377 -13.4969
60.000000 88.334 -14.1547
60.799999 88.300 -14.6721
61.500000 88.271 -15.1151
62.200001 88.241 -15.5443
63.000000 88.207 -16.0166
64.000000 88.164 -16.5707
65.000000 88.122 -17.0877
66.000000 88.080 -17.6257
67.000000 88.024 -18.1249
68.000000 87.979 -18.5228
69.000000 87.951 -19.0475
70.000000 87.905 -19.6923
71.000000 87.847 -20.2555
72.000000 87.796 -20.7785
73.000000 87.746 -21.2894
74.000000 87.698 -21.7637
75.000000 87.652 -22.2095
76.199997 87.599 -22.7209
77.500000 87.539 -23.2647
78.800003 87.475 -23.7808
80.000000 87.418 -24.2391
81.199997 87.362 -24.7026
82.500000 87.302 -25.1989
83.800003 87.242 -25.6797
85.000000 87.186 -26.1096
86.199997 87.131 -26.5267
87.500000 87.070 -26.9618
88.500000 87.024 -27.2863
90.000000 86.955 -27.7589
91.199997 86.905 -28.1455
92.500000 86.844 -28.5547
93.800003 86.791 -28.8948
95.000000 86.747 -29.2935
96.199997 86.688 -29.6913
97.500000 86.621 -30.0026
98.800003 86.568 -30.2486
100.000000 86.529 -30.5472
101.500000 86.468 -30.9691
103.000000 86.401 -31.3444
104.400002 86.339 -31.6665
106.000000 86.273 -32.0388
107.500000 86.212 -32.3802
109.000000 86.153 -32.6793
110.599998 86.092 -32.9683
112.000000 86.044 -33.1826
113.800003 85.979 -33.5454
115.000000 85.934 -33.7457
117.199997 85.859 -34.2303
118.000000 85.823 -34.3944
120.599998 85.727 -34.7032
122.000000 85.687 -34.9061
124.099998 85.631 -35.2797
125.000000 85.603 -35.4997
126.500000 85.548 -35.7844
128.000000 85.502 -35.9679
131.500000 85.385 -36.5126
132.000000 85.365 -36.5721
134.000000 85.295 -36.8071
136.000000 85.235 -37.1224
138.000000 85.175 -37.4181
140.000000 85.117 -37.6234
143.000000 85.029 -37.8824
145.000000 84.966 -38.0721
147.500000 84.890 -38.3369
150.000000 84.818 -38.6058
152.500000 84.749 -38.8481
155.000000 84.676 -39.0706
157.500000 84.602 -39.2733
160.000000 84.525 -39.4786
162.500000 84.443 -39.6802
165.000000 84.359 -39.8533
167.500000 84.276 -39.9519
170.000000 84.194 -40.0219
172.500000 84.114 -40.1450
175.000000 84.039 -40.3135
177.500000 83.973 -40.4791
180.000000 83.912 -40.5858
182.500000 83.852 -40.6479
185.000000 83.789 -40.7182
187.500000 83.727 -40.7971
190.000000 83.668 -40.9026
192.500000 83.608 -41.0045
195.000000 83.549 -41.0863
197.500000 83.491 -41.1604
200.000000 83.433 -41.2288
203.000000 83.372 -41.3250
206.000000 83.319 -41.4410
209.000000 83.271 -41.5568
212.000000 83.220 -41.6443
214.000000 83.186 -41.6917
218.000000 83.121 -41.7876
220.000000 83.089 -41.8347
224.000000 83.021 -41.9414
227.000000 82.969 -42.0142
230.000000 82.922 -42.0745
233.000000 82.878 -42.1284
236.000000 82.835 -42.1812
240.000000 82.777 -42.2600
243.000000 82.732 -42.2915
247.000000 82.673 -42.3148
250.000000 82.628 -42.3444
254.000000 82.566 -42.3785
258.000000 82.505 -42.4005
262.000000 82.451 -42.4343
265.000000 82.412 -42.4645
269.000000 82.365 -42.4924
272.000000 82.330 -42.5039
276.000000 82.278 -42.5081
280.000000 82.224 -42.5112
285.000000 82.160 -42.5039
290.000000 82.101 -42.4901
295.000000 82.044 -42.4871
300.000000 81.988 -42.4895
304.000000 81.948 -42.4632
307.000000 81.919 -42.4502
311.000000 81.882 -42.4440
315.000000 81.845 -42.4246
