* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 28, 25 3:30:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: legend L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.503 -0.4257
1.015000 43.850 -2.4985
1.030000 44.195 -4.5611
1.044000 44.513 -6.4824
1.060000 44.871 -8.6795
1.075000 45.201 -10.7450
1.090000 45.524 -12.8167
1.106000 45.863 -15.0161
1.120000 46.159 -16.8976
1.138000 46.541 -19.2306
1.150000 46.798 -20.7301
1.172000 47.270 -23.3657
1.180000 47.442 -24.2892
1.206000 48.004 -27.1713
1.220000 48.306 -28.6532
1.241000 48.760 -30.7945
1.250000 48.954 -31.6849
1.265000 49.278 -33.1362
1.280000 49.600 -34.5506
1.315000 50.346 -37.7307
1.320000 50.452 -38.1735
1.340000 50.872 -39.9212
1.360000 51.289 -41.6376
1.380000 51.699 -43.3300
1.400000 52.104 -45.0051
1.430000 52.699 -47.4979
1.450000 53.085 -49.1519
1.475000 53.558 -51.1941
1.500000 54.021 -53.1544
1.525000 54.476 -55.0147
1.550000 54.922 -56.7871
1.575000 55.362 -58.4869
1.600000 55.794 -60.1287
1.625000 56.219 -61.7260
1.650000 56.637 -63.2912
1.675000 57.049 -64.8356
1.700000 57.455 -66.3691
1.725000 57.854 -67.9005
1.750000 58.248 -69.4378
1.775000 58.637 -70.9877
1.800000 59.020 -72.5556
1.825000 59.398 -74.1419
1.850000 59.770 -75.7289
1.875000 60.136 -77.2896
1.900000 60.495 -78.8146
1.925000 60.847 -80.3041
1.950000 61.194 -81.7608
1.975000 61.534 -83.1878
2.000000 61.869 -84.5890
2.030000 62.264 -86.2422
2.060000 62.651 -87.8715
2.090000 63.032 -89.4843
2.120000 63.407 -91.0881
2.140000 63.653 -92.1557
2.180000 64.139 -94.2949
2.200000 64.378 -95.3666
2.240000 64.847 -97.4956
2.270000 65.191 -99.0666
2.300000 65.528 -100.6119
2.330000 65.857 -102.1315
2.360000 66.181 -103.6267
2.400000 66.603 -105.5860
2.430000 66.913 -107.0335
2.470000 67.318 -108.9406
2.500000 67.616 -110.3584
2.540000 68.007 -112.2395
2.580000 68.390 -114.1148
2.620000 68.764 -115.9797
2.650000 69.038 -117.3660
2.690000 69.394 -119.1928
2.720000 69.656 -120.5450
2.760000 69.997 -122.3227
2.800000 70.331 -124.0723
2.850000 70.738 -126.2227
2.900000 71.135 -128.3390
2.950000 71.522 -130.4323
3.000000 71.897 -132.5119
3.040000 72.189 -134.1618
3.070000 72.403 -135.3878
3.110000 72.682 -137.0042
3.150000 72.955 -138.5972
3.200000 73.289 -140.5538
3.250000 73.614 -142.4720
3.300000 73.932 -144.3573
3.350000 74.241 -146.2233
3.400000 74.540 -148.0754
3.450000 74.831 -149.9070
3.500000 75.114 -151.7114
3.550000 75.390 -153.4836
3.600000 75.659 -155.2207
3.650000 75.922 -156.9233
3.700000 76.180 -158.6003
3.750000 76.430 -160.2616
3.820000 76.769 -162.5585
3.870000 77.003 -164.1722
3.950000 77.368 -166.6970
4.000000 77.590 -168.2363
4.060000 77.850 -170.0497
4.120000 78.103 -171.8387
4.180000 78.348 -173.6052
4.250000 78.627 -175.6317
4.310000 78.859 -177.3345
4.370000 79.086 -179.0037
4.440000 79.344 179.0851
4.500000 79.560 177.4688
4.550000 79.736 176.1368
4.620000 79.975 174.2982
4.680000 80.176 172.7492
4.750000 80.404 170.9741
4.820000 80.627 169.2270
4.870000 80.783 167.9915
4.940000 80.995 166.2805
5.000000 81.173 164.8340
5.080000 81.403 162.9376
5.150000 81.599 161.3068
5.220000 81.790 159.6939
5.300000 82.001 157.8709
5.380000 82.206 156.0763
5.450000 82.380 154.5338
5.520000 82.548 153.0158
5.600000 82.735 151.3010
5.700000 82.959 149.1878
5.800000 83.174 147.1219
5.900000 83.380 145.1082
6.000000 83.577 143.1315
6.080000 83.728 141.5775
6.150000 83.856 140.2433
6.220000 83.981 138.9358
6.300000 84.119 137.4698
6.400000 84.285 135.6720
6.500000 84.444 133.9164
6.600000 84.599 132.2089
6.700000 84.749 130.5454
6.800000 84.893 128.9196
6.900000 85.033 127.3317
7.000000 85.171 125.7818
7.100000 85.304 124.2660
7.200000 85.435 122.7804
7.300000 85.562 121.3224
7.400000 85.688 119.8895
7.500000 85.810 118.4795
7.620000 85.953 116.8147
7.750000 86.103 115.0401
7.880000 86.249 113.2912
8.000000 86.378 111.7009
8.120000 86.502 110.1329
8.250000 86.630 108.4554
8.380000 86.752 106.8062
8.500000 86.858 105.3115
8.620000 86.959 103.8405
8.750000 87.062 102.2805
8.850000 87.138 101.1075
9.000000 87.244 99.3880
9.120000 87.324 98.0507
9.250000 87.407 96.6436
9.380000 87.486 95.2765
9.500000 87.556 94.0498
9.620000 87.625 92.8570
9.750000 87.696 91.5999
9.880000 87.762 90.3755
10.000000 87.815 89.2724
10.150000 87.872 87.9266
10.300000 87.925 86.6114
10.440000 87.970 85.4087
10.600000 88.018 84.0601
10.750000 88.061 82.8176
10.900000 88.103 81.5956
11.060000 88.146 80.3147
11.200000 88.180 79.2122
11.380000 88.222 77.8224
11.500000 88.248 76.9133
11.720000 88.292 75.2839
11.800000 88.307 74.7037
12.060000 88.353 72.8624
12.200000 88.375 71.8982
12.410000 88.410 70.4853
12.500000 88.427 69.8913
12.650000 88.460 68.9156
12.800000 88.494 67.9571
13.150000 88.572 65.7829
13.200000 88.583 65.4793
13.400000 88.623 64.2828
13.600000 88.661 63.1158
13.800000 88.696 61.9797
14.000000 88.729 60.8758
14.300000 88.775 59.2801
14.500000 88.805 58.2546
14.750000 88.842 57.0103
15.000000 88.879 55.8001
15.250000 88.916 54.6151
15.500000 88.952 53.4478
15.750000 88.987 52.2943
16.000000 89.021 51.1542
16.250000 89.052 50.0315
16.500000 89.082 48.9311
16.750000 89.107 47.8583
17.000000 89.130 46.8157
17.250000 89.151 45.8030
17.500000 89.171 44.8169
17.750000 89.189 43.8530
18.000000 89.206 42.9080
18.250000 89.220 41.9810
18.500000 89.232 41.0750
18.750000 89.240 40.1948
19.000000 89.246 39.3452
19.250000 89.251 38.5291
19.500000 89.256 37.7448
19.750000 89.263 36.9867
20.000000 89.271 36.2467
20.299999 89.282 35.3715
20.600000 89.294 34.5031
20.900000 89.305 33.6415
21.200001 89.314 32.7930
21.400000 89.319 32.2379
21.799999 89.330 31.1533
22.000000 89.336 30.6198
22.400000 89.350 29.5532
22.700001 89.361 28.7425
23.000000 89.369 27.9213
23.299999 89.373 27.0989
23.600000 89.372 26.2899
24.000000 89.365 25.2550
24.299999 89.358 24.5191
24.700001 89.350 23.5862
25.000000 89.346 22.9136
25.400000 89.343 22.0408
25.799999 89.342 21.1870
26.200001 89.342 20.3450
26.500000 89.342 19.7179
26.900000 89.340 18.8907
27.200001 89.335 18.2869
27.600000 89.325 17.5253
28.000000 89.315 16.8287
28.500000 89.311 16.0280
29.000000 89.318 15.2346
29.500000 89.329 14.3995
30.000000 89.334 13.5396
30.400000 89.335 12.8470
30.700001 89.336 12.3147
31.100000 89.333 11.5677
31.500000 89.318 10.7858
32.000000 89.271 9.8611
32.500000 89.207 9.1530
33.000000 89.160 8.6867
33.500000 89.157 8.2557
34.000000 89.179 7.6249
34.500000 89.186 6.7802
35.000000 89.162 5.9184
35.500000 89.124 5.2065
36.000000 89.101 4.6195
36.500000 89.098 4.0116
37.000000 89.099 3.3019
37.500000 89.087 2.5382
38.200001 89.051 1.5421
38.700001 89.023 0.9211
39.500000 88.986 0.0217
40.000000 88.966 -0.5146
40.599998 88.944 -1.1460
41.200001 88.920 -1.7614
41.799999 88.894 -2.3481
42.500000 88.866 -3.0023
43.099998 88.844 -3.5659
43.700001 88.821 -4.1449
44.400002 88.789 -4.8163
45.000000 88.759 -5.3686
45.500000 88.736 -5.8156
46.200001 88.706 -6.4420
46.799999 88.681 -6.9898
47.500000 88.650 -7.6313
48.200001 88.616 -8.2550
48.700001 88.591 -8.6831
49.400002 88.558 -9.2560
50.000000 88.531 -9.7300
50.799999 88.499 -10.3730
51.500000 88.467 -10.9501
52.200001 88.429 -11.4890
53.000000 88.390 -12.0499
53.799999 88.357 -12.6497
54.500000 88.320 -13.1992
55.200001 88.278 -13.6816
56.000000 88.244 -14.1924
57.000000 88.206 -14.9479
58.000000 88.147 -15.6552
59.000000 88.102 -16.2269
60.000000 88.065 -16.8657
60.799999 88.028 -17.3770
61.500000 87.995 -17.7948
62.200001 87.962 -18.2113
63.000000 87.920 -18.6783
64.000000 87.866 -19.2192
65.000000 87.815 -19.7462
66.000000 87.766 -20.2585
67.000000 87.721 -20.7811
68.000000 87.674 -21.3155
69.000000 87.626 -21.8027
70.000000 87.583 -22.2836
71.000000 87.536 -22.7613
72.000000 87.489 -23.2141
73.000000 87.442 -23.6724
74.000000 87.392 -24.1074
75.000000 87.347 -24.5262
76.199997 87.293 -25.0569
77.500000 87.233 -25.5984
78.800003 87.174 -26.1105
80.000000 87.118 -26.5640
81.199997 87.059 -26.9971
82.500000 86.994 -27.4395
83.800003 86.931 -27.8823
85.000000 86.876 -28.3190
86.199997 86.821 -28.7542
87.500000 86.766 -29.2252
88.500000 86.719 -29.5962
90.000000 86.642 -30.0039
91.199997 86.593 -30.2777
92.500000 86.536 -30.6386
93.800003 86.471 -30.9490
95.000000 86.417 -31.2220
96.199997 86.367 -31.5326
97.500000 86.312 -31.9132
98.800003 86.251 -32.2571
100.000000 86.199 -32.5078
101.500000 86.147 -32.7848
103.000000 86.107 -33.0895
104.400002 86.070 -33.4583
106.000000 86.013 -33.8994
107.500000 85.957 -34.2330
109.000000 85.904 -34.5471
110.599998 85.846 -34.8872
112.000000 85.794 -35.2008
113.800003 85.719 -35.6168
115.000000 85.667 -35.8770
117.199997 85.578 -36.2992
118.000000 85.547 -36.4263
120.599998 85.460 -36.7310
122.000000 85.412 -36.9038
124.099998 85.333 -37.1783
125.000000 85.297 -37.3154
126.500000 85.241 -37.5468
128.000000 85.196 -37.8093
131.500000 85.111 -38.3241
132.000000 85.100 -38.3877
134.000000 85.048 -38.6370
136.000000 84.980 -38.8464
138.000000 84.912 -39.0781
140.000000 84.847 -39.3500
143.000000 84.756 -39.6870
145.000000 84.701 -39.8314
147.500000 84.635 -40.0483
150.000000 84.563 -40.2842
152.500000 84.495 -40.5104
155.000000 84.429 -40.7106
157.500000 84.361 -40.8836
160.000000 84.291 -41.0568
162.500000 84.218 -41.2500
165.000000 84.142 -41.4333
167.500000 84.065 -41.5529
170.000000 83.986 -41.6608
172.500000 83.907 -41.7724
175.000000 83.836 -41.8812
177.500000 83.768 -42.0153
180.000000 83.699 -42.1302
182.500000 83.632 -42.2255
185.000000 83.567 -42.3250
187.500000 83.498 -42.4309
190.000000 83.426 -42.5494
192.500000 83.356 -42.6900
195.000000 83.292 -42.8286
197.500000 83.231 -42.9409
200.000000 83.173 -43.0325
203.000000 83.111 -43.1547
206.000000 83.054 -43.2804
209.000000 82.998 -43.3854
212.000000 82.947 -43.4790
214.000000 82.914 -43.5481
218.000000 82.850 -43.6861
220.000000 82.821 -43.7567
224.000000 82.765 -43.8971
227.000000 82.723 -43.9985
230.000000 82.680 -44.1026
233.000000 82.637 -44.1913
236.000000 82.593 -44.2659
240.000000 82.531 -44.3491
243.000000 82.478 -44.3690
247.000000 82.413 -44.3899
250.000000 82.372 -44.4175
254.000000 82.329 -44.4856
258.000000 82.312 -44.5918
262.000000 82.284 -44.7209
265.000000 82.230 -44.8848
269.000000 82.161 -45.0095
272.000000 82.129 -45.0028
276.000000 82.091 -45.0372
280.000000 82.048 -45.1738
285.000000 81.988 -45.3121
290.000000 81.929 -45.3911
295.000000 81.871 -45.4850
300.000000 81.817 -45.5306
304.000000 81.778 -45.5397
307.000000 81.748 -45.5532
311.000000 81.714 -45.5909
315.000000 81.683 -45.6362
