* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 4:24:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: leteciel mira L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.100 -89.9620
1.015000 72.485 -90.3107
1.030000 72.866 -90.6472
1.044000 73.217 -90.9393
1.060000 73.614 -91.2485
1.075000 73.981 -91.5178
1.090000 74.342 -91.7707
1.106000 74.722 -92.0256
1.120000 75.048 -92.2387
1.138000 75.460 -92.5021
1.150000 75.729 -92.6729
1.172000 76.210 -92.9810
1.180000 76.381 -93.0931
1.206000 76.922 -93.4568
1.220000 77.203 -93.6542
1.241000 77.610 -93.9549
1.250000 77.779 -94.0862
1.265000 78.053 -94.3088
1.280000 78.317 -94.5370
1.315000 78.895 -95.0956
1.320000 78.972 -95.1786
1.340000 79.271 -95.5172
1.360000 79.547 -95.8538
1.380000 79.798 -96.1583
1.400000 80.025 -96.4348
1.430000 80.325 -96.8146
1.450000 80.501 -97.0513
1.475000 80.698 -97.3359
1.500000 80.874 -97.6145
1.525000 81.032 -97.8932
1.550000 81.176 -98.1769
1.575000 81.311 -98.4650
1.600000 81.441 -98.7569
1.625000 81.571 -99.0650
1.650000 81.704 -99.3917
1.675000 81.843 -99.7368
1.700000 81.985 -100.0901
1.725000 82.121 -100.4353
1.750000 82.249 -100.7674
1.775000 82.369 -101.0919
1.800000 82.483 -101.4142
1.825000 82.591 -101.7276
1.850000 82.694 -102.0344
1.875000 82.794 -102.3364
1.900000 82.891 -102.6354
1.925000 82.986 -102.9331
1.950000 83.081 -103.2312
1.975000 83.175 -103.5354
2.000000 83.271 -103.8498
2.030000 83.388 -104.2294
2.060000 83.503 -104.6031
2.090000 83.616 -104.9660
2.120000 83.727 -105.3177
2.140000 83.799 -105.5464
2.180000 83.942 -105.9984
2.200000 84.012 -106.2257
2.240000 84.150 -106.6713
2.270000 84.251 -106.9996
2.300000 84.352 -107.3245
2.330000 84.452 -107.6477
2.360000 84.551 -107.9688
2.400000 84.681 -108.4146
2.430000 84.777 -108.7442
2.470000 84.904 -109.1726
2.500000 84.997 -109.4854
2.540000 85.119 -109.8914
2.580000 85.239 -110.2980
2.620000 85.356 -110.7186
2.650000 85.443 -111.0277
2.690000 85.556 -111.4333
2.720000 85.639 -111.7331
2.760000 85.748 -112.1271
2.800000 85.854 -112.5374
2.850000 85.983 -113.0427
2.900000 86.109 -113.5309
2.950000 86.232 -114.0010
3.000000 86.353 -114.4819
3.040000 86.447 -114.8659
3.070000 86.517 -115.1496
3.110000 86.608 -115.5222
3.150000 86.697 -115.8870
3.200000 86.806 -116.3551
3.250000 86.912 -116.8183
3.300000 87.017 -117.2650
3.350000 87.120 -117.6953
3.400000 87.222 -118.1367
3.450000 87.322 -118.5801
3.500000 87.421 -119.0137
3.550000 87.518 -119.4342
3.600000 87.613 -119.8656
3.650000 87.705 -120.2919
3.700000 87.796 -120.7026
3.750000 87.884 -121.1019
3.820000 88.004 -121.6871
3.870000 88.087 -122.1008
3.950000 88.217 -122.7342
4.000000 88.295 -123.1316
4.060000 88.387 -123.6027
4.120000 88.477 -124.0599
4.180000 88.564 -124.5137
4.250000 88.662 -125.0568
4.310000 88.744 -125.4992
4.370000 88.824 -125.9200
4.440000 88.915 -126.4309
4.500000 88.991 -126.8531
4.550000 89.053 -127.1918
4.620000 89.138 -127.6780
4.680000 89.209 -128.0784
4.750000 89.290 -128.5181
4.820000 89.368 -128.9669
4.870000 89.423 -129.2803
4.940000 89.498 -129.6996
5.000000 89.562 -130.0555
5.080000 89.645 -130.5193
5.150000 89.717 -130.9012
5.220000 89.788 -131.2901
5.300000 89.868 -131.7204
5.380000 89.948 -132.1344
5.450000 90.018 -132.5046
5.520000 90.088 -132.8595
5.600000 90.168 -133.2653
5.700000 90.267 -133.7819
5.800000 90.366 -134.2940
5.900000 90.464 -134.8198
6.000000 90.560 -135.3486
6.080000 90.636 -135.7900
6.150000 90.701 -136.1755
6.220000 90.766 -136.5780
6.300000 90.838 -137.0426
6.400000 90.924 -137.6331
6.500000 91.006 -138.2492
6.600000 91.084 -138.8749
6.700000 91.156 -139.5118
6.800000 91.221 -140.1495
6.900000 91.281 -140.8031
7.000000 91.334 -141.4465
7.100000 91.379 -142.0807
7.200000 91.418 -142.7005
7.300000 91.449 -143.3095
7.400000 91.475 -143.8811
7.500000 91.495 -144.4233
7.620000 91.512 -145.0290
7.750000 91.526 -145.6131
7.880000 91.535 -146.1223
8.000000 91.542 -146.5190
8.120000 91.551 -146.8477
8.250000 91.564 -147.1279
8.380000 91.584 -147.3442
8.500000 91.612 -147.5097
8.620000 91.649 -147.6395
8.750000 91.699 -147.7752
8.850000 91.745 -147.8881
9.000000 91.826 -148.0747
9.120000 91.899 -148.2727
9.250000 91.986 -148.5396
9.380000 92.076 -148.8654
9.500000 92.160 -149.2369
9.620000 92.244 -149.6675
9.750000 92.328 -150.1963
9.880000 92.405 -150.7880
10.000000 92.466 -151.3747
10.150000 92.523 -152.1824
10.300000 92.559 -153.0121
10.440000 92.578 -153.7793
10.600000 92.585 -154.6316
10.750000 92.581 -155.3913
10.900000 92.568 -156.0966
11.060000 92.546 -156.8146
11.200000 92.524 -157.4279
11.380000 92.494 -158.1326
11.500000 92.472 -158.5534
11.720000 92.434 -159.2319
11.800000 92.422 -159.4535
12.060000 92.386 -160.1212
12.200000 92.371 -160.4903
12.410000 92.358 -161.0066
12.500000 92.357 -161.2182
12.650000 92.360 -161.5607
12.800000 92.369 -161.8934
13.150000 92.398 -162.6987
13.200000 92.403 -162.8225
13.400000 92.423 -163.3148
13.600000 92.444 -163.8066
13.800000 92.462 -164.3000
14.000000 92.479 -164.8002
14.300000 92.498 -165.6204
14.500000 92.505 -166.1591
14.750000 92.506 -166.8049
15.000000 92.500 -167.4039
15.250000 92.489 -168.0056
15.500000 92.476 -168.5438
15.750000 92.465 -169.0237
16.000000 92.458 -169.4633
16.250000 92.458 -169.9230
16.500000 92.461 -170.3793
16.750000 92.465 -170.8407
17.000000 92.467 -171.3098
17.250000 92.465 -171.8103
17.500000 92.459 -172.2973
17.750000 92.449 -172.7555
18.000000 92.438 -173.1793
18.250000 92.428 -173.5999
18.500000 92.419 -173.9913
18.750000 92.414 -174.3620
19.000000 92.411 -174.7250
19.250000 92.410 -175.1068
19.500000 92.410 -175.4942
19.750000 92.410 -175.8856
20.000000 92.408 -176.2801
20.299999 92.404 -176.7773
20.600000 92.397 -177.2628
20.900000 92.386 -177.7257
21.200001 92.373 -178.1798
21.400000 92.363 -178.4700
21.799999 92.342 -179.0016
22.000000 92.332 -179.2447
22.400000 92.314 -179.7260
22.700001 92.303 179.9295
23.000000 92.294 179.5850
23.299999 92.286 179.2125
23.600000 92.275 178.8304
24.000000 92.256 178.3178
24.299999 92.238 177.9224
24.700001 92.210 177.4252
25.000000 92.189 177.0759
25.400000 92.165 176.6135
25.799999 92.144 176.1391
26.200001 92.125 175.6122
26.500000 92.107 175.1819
26.900000 92.072 174.6140
27.200001 92.037 174.2318
27.600000 91.988 173.8464
28.000000 91.954 173.6179
28.500000 91.958 173.3891
29.000000 92.005 172.9505
29.500000 92.044 172.1518
30.000000 92.028 171.2227
30.400000 91.975 170.6241
30.700001 91.929 170.3361
31.100000 91.877 170.1249
31.500000 91.844 169.9737
32.000000 91.808 169.7462
32.500000 91.754 169.5385
33.000000 91.695 169.5050
33.500000 91.663 169.5219
34.000000 91.645 169.3350
34.500000 91.593 168.9586
35.000000 91.503 168.7286
35.500000 91.440 168.7147
36.000000 91.442 168.4467
36.500000 91.429 167.4848
37.000000 91.284 166.2330
37.500000 91.006 165.7429
38.200001 90.745 167.2075
38.700001 90.849 168.4107
39.500000 91.189 167.6069
40.000000 91.244 166.0698
40.599998 91.162 164.7162
41.200001 91.089 164.1785
41.799999 91.080 163.7732
42.500000 91.053 163.1353
43.099998 90.999 162.7992
43.700001 90.961 162.6995
44.400002 90.942 162.5349
45.000000 90.917 162.2975
45.500000 90.886 162.0933
46.200001 90.841 161.7932
46.799999 90.797 161.4829
47.500000 90.733 161.1156
48.200001 90.671 160.8046
48.700001 90.634 160.5891
49.400002 90.591 160.2453
50.000000 90.552 159.9307
50.799999 90.499 159.5802
51.500000 90.460 159.3359
52.200001 90.425 159.0735
53.000000 90.370 158.7869
53.799999 90.310 158.5880
54.500000 90.260 158.4089
55.200001 90.202 158.2100
56.000000 90.136 158.0040
57.000000 90.060 157.5965
58.000000 89.947 157.2383
59.000000 89.872 157.2522
60.000000 89.859 156.9723
60.799999 89.823 156.5677
61.500000 89.778 156.3209
62.200001 89.738 156.1467
63.000000 89.694 155.9576
64.000000 89.635 155.7375
65.000000 89.572 155.5067
66.000000 89.497 155.2947
67.000000 89.428 155.1492
68.000000 89.365 154.9478
69.000000 89.299 154.7394
70.000000 89.236 154.5539
71.000000 89.172 154.3528
72.000000 89.103 154.2143
73.000000 89.043 154.1249
74.000000 88.986 154.0037
75.000000 88.927 153.8665
76.199997 88.853 153.7138
77.500000 88.775 153.5707
78.800003 88.697 153.4310
80.000000 88.628 153.3204
81.199997 88.560 153.2015
82.500000 88.484 153.1071
83.800003 88.410 153.0329
85.000000 88.336 153.0362
86.199997 88.273 153.1089
87.500000 88.214 153.1427
88.500000 88.167 153.1501
90.000000 88.107 153.1013
91.199997 88.056 152.9283
92.500000 87.992 152.7634
93.800003 87.932 152.6737
95.000000 87.883 152.6034
96.199997 87.828 152.5414
97.500000 87.764 152.5235
98.800003 87.692 152.4695
100.000000 87.614 152.3911
101.500000 87.507 152.3882
103.000000 87.439 152.4965
104.400002 87.400 152.3764
106.000000 87.341 152.2009
107.500000 87.276 152.1013
109.000000 87.206 152.0947
110.599998 87.136 152.0931
112.000000 87.074 152.0917
113.800003 87.003 152.1294
115.000000 86.955 152.1720
117.199997 86.871 152.2510
118.000000 86.835 152.2390
120.599998 86.720 152.2271
122.000000 86.662 152.1512
124.099998 86.556 152.1777
125.000000 86.510 152.2896
126.500000 86.444 152.5702
128.000000 86.401 152.7630
131.500000 86.397 152.6591
132.000000 86.401 152.5371
134.000000 86.365 152.1027
136.000000 86.263 152.2676
138.000000 86.141 152.7993
140.000000 86.033 153.3387
143.000000 85.933 153.5280
145.000000 85.882 153.4656
147.500000 85.830 153.5460
150.000000 85.778 153.7365
152.500000 85.713 153.9014
155.000000 85.637 154.0998
157.500000 85.561 154.2700
160.000000 85.474 154.4883
162.500000 85.405 154.8967
165.000000 85.390 155.1001
167.500000 85.330 155.0666
170.000000 85.233 155.3794
172.500000 85.124 155.5892
175.000000 85.033 155.7817
177.500000 84.979 156.0128
180.000000 84.931 156.3773
182.500000 84.859 156.6454
185.000000 84.763 156.7774
187.500000 84.678 156.8983
190.000000 84.619 157.1072
192.500000 84.578 157.3756
195.000000 84.520 157.4835
197.500000 84.435 157.6548
200.000000 84.369 157.8710
203.000000 84.329 158.1492
206.000000 84.297 158.4581
209.000000 84.247 158.7825
212.000000 84.181 159.1054
214.000000 84.142 159.3135
218.000000 84.080 159.6505
220.000000 84.049 159.8640
224.000000 83.992 160.2690
227.000000 83.944 160.4518
230.000000 83.898 160.6520
233.000000 83.857 160.9286
236.000000 83.815 161.2050
240.000000 83.761 161.5630
243.000000 83.730 161.8649
247.000000 83.682 162.3095
250.000000 83.630 162.6826
254.000000 83.576 163.0913
258.000000 83.539 163.3684
262.000000 83.485 163.6104
265.000000 83.430 163.9135
269.000000 83.382 164.3648
272.000000 83.350 164.6174
276.000000 83.311 164.9962
280.000000 83.271 165.3698
285.000000 83.209 165.8643
290.000000 83.162 166.3404
295.000000 83.149 166.7419
300.000000 83.103 167.0369
304.000000 83.048 167.5752
307.000000 83.020 168.0694
311.000000 82.983 168.3478
315.000000 82.933 168.5637
320.000000 82.876 169.1024
325.000000 82.817 169.6480
