* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 4:25:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: leteciel mira R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.419 -90.3360
1.015000 69.948 -90.8835
1.030000 70.452 -91.3892
1.044000 70.908 -91.8131
1.060000 71.413 -92.2461
1.075000 71.871 -92.6096
1.090000 72.315 -92.9387
1.106000 72.773 -93.2585
1.120000 73.161 -93.5166
1.138000 73.644 -93.8246
1.150000 73.955 -94.0181
1.172000 74.505 -94.3558
1.180000 74.699 -94.4753
1.206000 75.306 -94.8539
1.220000 75.619 -95.0543
1.241000 76.071 -95.3542
1.250000 76.258 -95.4834
1.265000 76.563 -95.7010
1.280000 76.858 -95.9221
1.315000 77.511 -96.4580
1.320000 77.600 -96.5372
1.340000 77.948 -96.8587
1.360000 78.275 -97.1739
1.380000 78.575 -97.4502
1.400000 78.848 -97.6923
1.430000 79.210 -98.0119
1.450000 79.423 -98.2045
1.475000 79.663 -98.4308
1.500000 79.878 -98.6490
1.525000 80.072 -98.8660
1.550000 80.251 -99.0874
1.575000 80.418 -99.3130
1.600000 80.579 -99.5424
1.625000 80.739 -99.7883
1.650000 80.902 -100.0528
1.675000 81.072 -100.3355
1.700000 81.243 -100.6246
1.725000 81.408 -100.9022
1.750000 81.563 -101.1638
1.775000 81.708 -101.4157
1.800000 81.845 -101.6643
1.825000 81.975 -101.9037
1.850000 82.100 -102.1368
1.875000 82.219 -102.3658
1.900000 82.335 -102.5928
1.925000 82.449 -102.8202
1.950000 82.561 -103.0495
1.975000 82.674 -103.2867
2.000000 82.787 -103.5358
2.030000 82.924 -103.8385
2.060000 83.058 -104.1352
2.090000 83.190 -104.4203
2.120000 83.318 -104.6941
2.140000 83.401 -104.8711
2.180000 83.564 -105.2208
2.200000 83.644 -105.3979
2.240000 83.801 -105.7454
2.270000 83.916 -106.0023
2.300000 84.030 -106.2582
2.330000 84.142 -106.5145
2.360000 84.254 -106.7709
2.400000 84.400 -107.1318
2.430000 84.507 -107.3984
2.470000 84.647 -107.7437
2.500000 84.750 -107.9953
2.540000 84.884 -108.3214
2.580000 85.016 -108.6504
2.620000 85.144 -108.9959
2.650000 85.238 -109.2505
2.690000 85.362 -109.5859
2.720000 85.452 -109.8345
2.760000 85.570 -110.1614
2.800000 85.684 -110.5062
2.850000 85.823 -110.9315
2.900000 85.958 -111.3422
2.950000 86.089 -111.7376
3.000000 86.217 -112.1465
3.040000 86.317 -112.4747
3.070000 86.390 -112.7176
3.110000 86.486 -113.0370
3.150000 86.579 -113.3498
3.200000 86.693 -113.7546
3.250000 86.804 -114.1562
3.300000 86.912 -114.5430
3.350000 87.019 -114.9150
3.400000 87.124 -115.2993
3.450000 87.227 -115.6867
3.500000 87.328 -116.0656
3.550000 87.427 -116.4328
3.600000 87.523 -116.8122
3.650000 87.617 -117.1882
3.700000 87.709 -117.5498
3.750000 87.799 -117.9008
3.820000 87.921 -118.4195
3.870000 88.005 -118.7870
3.950000 88.136 -119.3500
4.000000 88.215 -119.7060
4.060000 88.309 -120.1298
4.120000 88.399 -120.5409
4.180000 88.488 -120.9500
4.250000 88.588 -121.4444
4.310000 88.671 -121.8493
4.370000 88.753 -122.2373
4.440000 88.847 -122.7143
4.500000 88.926 -123.1101
4.550000 88.990 -123.4294
4.620000 89.078 -123.8935
4.680000 89.151 -124.2809
4.750000 89.235 -124.7127
4.820000 89.317 -125.1597
4.870000 89.374 -125.4752
4.940000 89.453 -125.9028
5.000000 89.519 -126.2711
5.080000 89.606 -126.7600
5.150000 89.680 -127.1718
5.220000 89.753 -127.5967
5.300000 89.834 -128.0735
5.380000 89.915 -128.5388
5.450000 89.985 -128.9589
5.520000 90.054 -129.3688
5.600000 90.131 -129.8401
5.700000 90.226 -130.4370
5.800000 90.318 -131.0273
5.900000 90.409 -131.6310
6.000000 90.496 -132.2300
6.080000 90.564 -132.7179
6.150000 90.622 -133.1381
6.220000 90.679 -133.5703
6.300000 90.743 -134.0617
6.400000 90.819 -134.6713
6.500000 90.893 -135.2893
6.600000 90.963 -135.9029
6.700000 91.031 -136.5178
6.800000 91.096 -137.1220
6.900000 91.157 -137.7307
7.000000 91.216 -138.3273
7.100000 91.272 -138.9193
7.200000 91.325 -139.4983
7.300000 91.376 -140.0744
7.400000 91.425 -140.6338
7.500000 91.473 -141.1861
7.620000 91.527 -141.8332
7.750000 91.585 -142.5158
7.880000 91.641 -143.1867
8.000000 91.691 -143.7856
8.120000 91.740 -144.3708
8.250000 91.792 -144.9907
8.380000 91.843 -145.5927
8.500000 91.891 -146.1466
8.620000 91.939 -146.6892
8.750000 91.990 -147.2693
8.850000 92.028 -147.7133
9.000000 92.085 -148.3673
9.120000 92.129 -148.8866
9.250000 92.177 -149.4423
9.380000 92.225 -149.9884
9.500000 92.267 -150.4922
9.620000 92.308 -150.9904
9.750000 92.351 -151.5269
9.880000 92.390 -152.0606
10.000000 92.422 -152.5454
10.150000 92.452 -153.1831
10.300000 92.473 -153.8058
10.440000 92.487 -154.3713
10.600000 92.499 -155.0002
10.750000 92.508 -155.5715
10.900000 92.513 -156.1240
11.060000 92.515 -156.7187
11.200000 92.514 -157.2604
11.380000 92.508 -157.9151
11.500000 92.501 -158.3201
11.720000 92.482 -158.9905
11.800000 92.473 -159.2082
12.060000 92.445 -159.8407
12.200000 92.432 -160.1660
12.410000 92.420 -160.5801
12.500000 92.420 -160.7358
12.650000 92.428 -160.9723
12.800000 92.444 -161.1915
13.150000 92.503 -161.7477
13.200000 92.513 -161.8421
13.400000 92.556 -162.2387
13.600000 92.598 -162.6738
13.800000 92.637 -163.1451
14.000000 92.669 -163.6483
14.300000 92.702 -164.4903
14.500000 92.714 -165.0393
14.750000 92.718 -165.6826
15.000000 92.714 -166.2648
15.250000 92.708 -166.8493
15.500000 92.701 -167.3851
15.750000 92.696 -167.8893
16.000000 92.692 -168.3788
16.250000 92.690 -168.9019
16.500000 92.687 -169.4163
16.750000 92.680 -169.9131
17.000000 92.672 -170.3865
17.250000 92.663 -170.8649
17.500000 92.655 -171.3191
17.750000 92.651 -171.7563
18.000000 92.649 -172.1907
18.250000 92.650 -172.6644
18.500000 92.651 -173.1505
18.750000 92.651 -173.6444
19.000000 92.647 -174.1394
19.250000 92.640 -174.6421
19.500000 92.630 -175.1243
19.750000 92.619 -175.5778
20.000000 92.609 -176.0041
20.299999 92.599 -176.5125
20.600000 92.592 -176.9997
20.900000 92.586 -177.4739
21.200001 92.580 -177.9603
21.400000 92.575 -178.2850
21.799999 92.561 -178.9084
22.000000 92.553 -179.2012
22.400000 92.533 -179.7675
22.700001 92.517 179.8526
23.000000 92.503 179.5047
23.299999 92.491 179.1581
23.600000 92.481 178.8198
24.000000 92.469 178.3645
24.299999 92.460 177.9926
24.700001 92.443 177.4896
25.000000 92.425 177.1149
25.400000 92.398 176.6186
25.799999 92.366 176.1488
26.200001 92.334 175.6934
26.500000 92.310 175.3575
26.900000 92.279 174.9259
27.200001 92.257 174.6026
27.600000 92.233 174.1612
28.000000 92.212 173.6874
28.500000 92.181 173.0148
29.000000 92.134 172.3274
29.500000 92.069 171.7404
30.000000 92.005 171.3570
30.400000 91.971 171.1508
30.700001 91.959 171.0061
31.100000 91.955 170.7653
31.500000 91.952 170.4460
32.000000 91.939 170.0146
32.500000 91.920 169.6176
33.000000 91.906 169.2493
33.500000 91.894 168.8078
34.000000 91.866 168.2833
34.500000 91.813 167.7739
35.000000 91.748 167.3871
35.500000 91.688 167.0632
36.000000 91.629 166.6873
36.500000 91.547 166.2800
37.000000 91.438 166.0733
37.500000 91.342 166.2283
38.200001 91.328 166.6386
38.700001 91.391 166.4901
39.500000 91.436 165.2671
40.000000 91.378 164.4337
40.599998 91.277 163.8654
41.200001 91.218 163.6279
41.799999 91.202 163.2932
42.500000 91.172 162.6602
43.099998 91.117 162.1812
43.700001 91.065 161.8810
44.400002 91.027 161.5695
45.000000 90.995 161.2394
45.500000 90.960 160.9675
46.200001 90.910 160.6645
46.799999 90.872 160.4218
47.500000 90.823 160.1161
48.200001 90.766 159.8638
48.700001 90.729 159.7291
49.400002 90.685 159.5359
50.000000 90.651 159.3192
50.799999 90.598 158.9565
51.500000 90.539 158.6181
52.200001 90.472 158.3545
53.000000 90.412 158.1403
53.799999 90.377 157.8260
54.500000 90.347 157.3967
55.200001 90.302 156.9071
56.000000 90.229 156.4832
57.000000 90.172 156.3183
58.000000 90.170 155.8663
59.000000 90.073 155.2206
60.000000 89.949 155.3526
60.799999 89.908 155.5206
61.500000 89.868 155.4444
62.200001 89.805 155.3483
63.000000 89.731 155.3254
64.000000 89.657 155.2109
65.000000 89.590 154.9275
66.000000 89.526 154.5884
67.000000 89.477 154.2061
68.000000 89.421 153.7819
69.000000 89.355 153.5042
70.000000 89.290 153.3777
71.000000 89.229 153.3428
72.000000 89.168 153.2617
73.000000 89.088 153.1959
74.000000 89.015 153.1996
75.000000 88.955 153.0935
76.199997 88.877 152.8351
77.500000 88.789 152.5883
78.800003 88.712 152.3951
80.000000 88.641 152.1851
81.199997 88.560 152.1042
82.500000 88.493 152.0518
83.800003 88.417 151.8729
85.000000 88.338 151.8011
86.199997 88.269 151.7660
87.500000 88.202 151.7181
88.500000 88.152 151.6712
90.000000 88.079 151.5835
91.199997 88.018 151.4934
92.500000 87.951 151.3990
93.800003 87.881 151.3044
95.000000 87.813 151.2529
96.199997 87.744 151.2227
97.500000 87.670 151.2402
98.800003 87.603 151.2616
100.000000 87.542 151.2136
101.500000 87.457 151.1450
103.000000 87.383 151.1723
104.400002 87.328 151.1290
106.000000 87.261 151.0931
107.500000 87.205 151.1618
109.000000 87.158 151.2643
110.599998 87.111 151.2696
112.000000 87.043 151.1546
113.800003 86.931 151.1678
115.000000 86.864 151.2333
117.199997 86.764 151.3226
118.000000 86.732 151.3426
120.599998 86.633 151.3831
122.000000 86.576 151.4408
124.099998 86.492 151.5790
125.000000 86.459 151.6310
126.500000 86.401 151.6859
128.000000 86.342 151.7480
131.500000 86.240 151.8057
132.000000 86.228 151.7826
134.000000 86.177 151.6789
136.000000 86.115 151.6566
138.000000 86.023 151.8331
140.000000 85.926 152.2725
143.000000 85.796 152.7647
145.000000 85.721 152.8342
147.500000 85.641 152.7104
150.000000 85.580 152.7673
152.500000 85.551 152.9948
155.000000 85.506 153.1391
157.500000 85.443 153.6490
160.000000 85.368 154.0535
162.500000 85.233 154.0513
165.000000 85.084 153.8172
167.500000 85.009 154.1404
170.000000 85.012 154.6647
172.500000 84.977 154.9786
175.000000 84.906 155.0578
177.500000 84.840 155.1932
180.000000 84.774 155.5381
182.500000 84.686 155.9235
185.000000 84.612 156.1948
187.500000 84.560 156.3640
190.000000 84.504 156.7232
192.500000 84.446 157.0862
195.000000 84.381 157.2014
197.500000 84.327 157.3174
200.000000 84.286 157.5053
203.000000 84.223 157.7454
206.000000 84.149 158.0253
209.000000 84.079 158.4072
212.000000 84.007 158.8382
214.000000 83.964 159.0296
218.000000 83.896 159.4398
220.000000 83.866 159.7110
224.000000 83.785 159.8736
227.000000 83.716 159.9106
230.000000 83.662 160.1611
233.000000 83.629 160.4236
236.000000 83.601 160.7955
240.000000 83.552 161.8537
243.000000 83.504 162.4944
247.000000 83.453 163.0802
250.000000 83.406 163.5063
254.000000 83.340 164.1134
258.000000 83.329 164.9499
262.000000 83.353 165.7745
265.000000 83.376 166.0187
269.000000 83.394 166.0342
272.000000 83.387 165.9826
276.000000 83.346 165.9811
280.000000 83.285 166.1520
285.000000 83.212 166.4881
290.000000 83.174 166.8907
295.000000 83.134 167.2529
300.000000 83.065 167.6497
304.000000 83.025 167.9376
307.000000 83.004 168.0638
311.000000 82.968 168.4238
315.000000 82.940 168.8574
320.000000 82.904 169.2613
325.000000 82.852 169.8050
