* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 20, 25 5:07:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: lush L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.361 107.0098
1.015000 73.618 106.2298
1.030000 73.871 105.4598
1.044000 74.102 104.7480
1.060000 74.361 103.9407
1.075000 74.598 103.1879
1.090000 74.829 102.4380
1.106000 75.070 101.6446
1.120000 75.280 100.9641
1.138000 75.549 100.1142
1.150000 75.729 99.5639
1.172000 76.058 98.5872
1.180000 76.177 98.2414
1.206000 76.562 97.1547
1.220000 76.766 96.5924
1.241000 77.069 95.7772
1.250000 77.197 95.4377
1.265000 77.407 94.8845
1.280000 77.613 94.3462
1.315000 78.077 93.1432
1.320000 78.140 92.9769
1.340000 78.390 92.3245
1.360000 78.627 91.6904
1.380000 78.853 91.0835
1.400000 79.065 90.4952
1.430000 79.356 89.6362
1.450000 79.530 89.0768
1.475000 79.722 88.3941
1.500000 79.883 87.7384
1.525000 80.015 87.1131
1.550000 80.121 86.5163
1.575000 80.204 85.9507
1.600000 80.268 85.4175
1.625000 80.317 84.9051
1.650000 80.353 84.4107
1.675000 80.381 83.9320
1.700000 80.403 83.4665
1.725000 80.423 83.0120
1.750000 80.446 82.5661
1.775000 80.473 82.1227
1.800000 80.509 81.6757
1.825000 80.556 81.2322
1.850000 80.611 80.7926
1.875000 80.668 80.3598
1.900000 80.724 79.9360
1.925000 80.780 79.5225
1.950000 80.835 79.1205
1.975000 80.890 78.7267
2.000000 80.944 78.3379
2.030000 81.009 77.8882
2.060000 81.072 77.4565
2.090000 81.135 77.0424
2.120000 81.198 76.6453
2.140000 81.239 76.3897
2.180000 81.321 75.8917
2.200000 81.361 75.6451
2.240000 81.441 75.1670
2.270000 81.500 74.8207
2.300000 81.559 74.4858
2.330000 81.616 74.1629
2.360000 81.673 73.8523
2.400000 81.748 73.4369
2.430000 81.804 73.1377
2.470000 81.878 72.7593
2.500000 81.934 72.4909
2.540000 82.007 72.1530
2.580000 82.081 71.8241
2.620000 82.155 71.4884
2.650000 82.210 71.2485
2.690000 82.283 70.9432
2.720000 82.337 70.7249
2.760000 82.410 70.4487
2.800000 82.482 70.1591
2.850000 82.572 69.8131
2.900000 82.662 69.4891
2.950000 82.751 69.1869
3.000000 82.841 68.8813
3.040000 82.913 68.6423
3.070000 82.966 68.4710
3.110000 83.038 68.2518
3.150000 83.109 68.0416
3.200000 83.198 67.7662
3.250000 83.288 67.4889
3.300000 83.379 67.2200
3.350000 83.470 66.9634
3.400000 83.562 66.6962
3.450000 83.654 66.4300
3.500000 83.746 66.1720
3.550000 83.838 65.9196
3.600000 83.930 65.6421
3.650000 84.022 65.3522
3.700000 84.114 65.0622
3.750000 84.206 64.7745
3.820000 84.334 64.3395
3.870000 84.426 64.0238
3.950000 84.570 63.5215
4.000000 84.659 63.1826
4.060000 84.763 62.7594
4.120000 84.866 62.3314
4.180000 84.968 61.8935
4.250000 85.084 61.3477
4.310000 85.181 60.8860
4.370000 85.275 60.4249
4.440000 85.380 59.8503
4.500000 85.468 59.3510
4.550000 85.538 58.9344
4.620000 85.634 58.3260
4.680000 85.712 57.8093
4.750000 85.800 57.2254
4.820000 85.883 56.6239
4.870000 85.940 56.1899
4.940000 86.015 55.5895
5.000000 86.077 55.0707
5.080000 86.155 54.3939
5.150000 86.220 53.8325
5.220000 86.281 53.2658
5.300000 86.346 52.6277
5.380000 86.407 52.0134
5.450000 86.458 51.4801
5.520000 86.507 50.9809
5.600000 86.561 50.4270
5.700000 86.624 49.7490
5.800000 86.686 49.1088
5.900000 86.748 48.4960
6.000000 86.809 47.9223
6.080000 86.857 47.4711
6.150000 86.900 47.0969
6.220000 86.944 46.7176
6.300000 86.996 46.2993
6.400000 87.061 45.7937
6.500000 87.129 45.2855
6.600000 87.198 44.7794
6.700000 87.268 44.2621
6.800000 87.340 43.7458
6.900000 87.412 43.2127
7.000000 87.483 42.6691
7.100000 87.554 42.1028
7.200000 87.624 41.5288
7.300000 87.691 40.9394
7.400000 87.755 40.3422
7.500000 87.816 39.7258
7.620000 87.883 38.9841
7.750000 87.950 38.1866
7.880000 88.009 37.3786
8.000000 88.057 36.6547
8.120000 88.099 35.9562
8.250000 88.139 35.2256
8.380000 88.174 34.5328
8.500000 88.205 33.9270
8.620000 88.233 33.3566
8.750000 88.264 32.7729
8.850000 88.287 32.3455
9.000000 88.323 31.7467
9.120000 88.353 31.2864
9.250000 88.389 30.8037
9.380000 88.427 30.3384
9.500000 88.463 29.9041
9.620000 88.500 29.4687
9.750000 88.540 28.9918
9.880000 88.575 28.5069
10.000000 88.599 28.0596
10.150000 88.620 27.4536
10.300000 88.632 26.8664
10.440000 88.634 26.3377
10.600000 88.630 25.7694
10.750000 88.620 25.2819
10.900000 88.607 24.8407
11.060000 88.593 24.3995
11.200000 88.582 24.0197
11.380000 88.572 23.5924
11.500000 88.568 23.3434
11.720000 88.568 22.9352
11.800000 88.570 22.7953
12.060000 88.590 22.3197
12.200000 88.607 22.0000
12.410000 88.641 21.4811
12.500000 88.658 21.2396
12.650000 88.689 20.8111
12.800000 88.719 20.3561
13.150000 88.768 19.1724
13.200000 88.772 18.9923
13.400000 88.778 18.2854
13.600000 88.771 17.6282
13.800000 88.751 17.0469
14.000000 88.726 16.5564
14.300000 88.686 15.9393
14.500000 88.666 15.6414
14.750000 88.655 15.3589
15.000000 88.663 15.1195
15.250000 88.691 14.8004
15.500000 88.730 14.4091
15.750000 88.774 13.9228
16.000000 88.814 13.3396
16.250000 88.844 12.6467
16.500000 88.860 11.9269
16.750000 88.858 11.2315
17.000000 88.843 10.6021
17.250000 88.820 10.0381
17.500000 88.795 9.5786
17.750000 88.776 9.2125
18.000000 88.767 8.9048
18.250000 88.770 8.5899
18.500000 88.782 8.2586
18.750000 88.797 7.8956
19.000000 88.810 7.4992
19.250000 88.819 7.0651
19.500000 88.820 6.6438
19.750000 88.816 6.2612
20.000000 88.812 5.9317
20.299999 88.812 5.5661
20.600000 88.823 5.2285
20.900000 88.845 4.8621
21.200001 88.871 4.4028
21.400000 88.885 4.0437
21.799999 88.893 3.2569
22.000000 88.885 2.8628
22.400000 88.847 2.1442
22.700001 88.808 1.7360
23.000000 88.773 1.4422
23.299999 88.748 1.2118
23.600000 88.736 1.0070
24.000000 88.738 0.6888
24.299999 88.746 0.3617
24.700001 88.752 -0.1789
25.000000 88.747 -0.6425
25.400000 88.722 -1.3006
25.799999 88.672 -1.8959
26.200001 88.607 -2.3331
26.500000 88.561 -2.5202
26.900000 88.526 -2.6091
27.200001 88.530 -2.6601
27.600000 88.572 -2.9019
28.000000 88.627 -3.4884
28.500000 88.646 -4.6539
29.000000 88.568 -5.8271
29.500000 88.431 -6.5078
30.000000 88.327 -6.6176
30.400000 88.305 -6.5845
30.700001 88.316 -6.6565
31.100000 88.341 -6.9712
31.500000 88.350 -7.4880
32.000000 88.324 -8.1801
32.500000 88.274 -8.7600
33.000000 88.222 -9.2016
33.500000 88.171 -9.5501
34.000000 88.125 -9.7876
34.500000 88.099 -9.9485
35.000000 88.105 -10.1734
35.500000 88.121 -10.6244
36.000000 88.112 -11.2636
36.500000 88.061 -11.8693
37.000000 87.994 -12.2314
37.500000 87.949 -12.3784
38.200001 87.945 -12.6259
38.700001 87.951 -13.0090
39.500000 87.922 -13.7252
40.000000 87.894 -14.0895
40.599998 87.869 -14.5293
41.200001 87.832 -15.0635
41.799999 87.760 -15.5675
42.500000 87.650 -15.8798
43.099998 87.571 -15.9496
43.700001 87.507 -15.9810
44.400002 87.444 -16.0095
45.000000 87.412 -16.0931
45.500000 87.394 -16.3372
46.200001 87.334 -16.9089
46.799999 87.241 -17.2654
47.500000 87.164 -17.3741
48.200001 87.152 -17.7472
48.700001 87.122 -18.3208
49.400002 87.004 -18.9771
50.000000 86.909 -19.0150
50.799999 86.906 -19.0500
51.500000 86.910 -19.6981
52.200001 86.827 -20.3267
53.000000 86.732 -20.4077
53.799999 86.717 -20.3862
54.500000 86.723 -20.6170
55.200001 86.722 -21.0490
56.000000 86.677 -21.7457
57.000000 86.534 -22.2187
58.000000 86.458 -22.1349
59.000000 86.410 -22.6066
60.000000 86.274 -22.8884
60.799999 86.205 -22.7454
61.500000 86.179 -22.8261
62.200001 86.130 -23.1213
63.000000 86.034 -23.3963
64.000000 85.896 -23.5193
65.000000 85.748 -23.3909
66.000000 85.645 -23.0321
67.000000 85.593 -23.0589
68.000000 85.506 -23.4370
69.000000 85.411 -23.7474
70.000000 85.338 -24.1632
71.000000 85.264 -24.6452
72.000000 85.195 -25.0063
73.000000 85.145 -25.1547
74.000000 85.126 -25.1888
75.000000 85.115 -25.3184
76.199997 85.051 -25.5664
77.500000 84.900 -25.6442
78.800003 84.718 -25.3616
80.000000 84.586 -25.1065
81.199997 84.482 -25.1502
82.500000 84.388 -25.3760
83.800003 84.325 -25.6314
85.000000 84.279 -25.7682
86.199997 84.249 -25.7578
87.500000 84.201 -25.7551
88.500000 84.130 -25.6703
90.000000 84.006 -25.2238
91.199997 83.932 -24.9476
92.500000 83.847 -24.8224
93.800003 83.775 -24.7753
95.000000 83.704 -24.8341
96.199997 83.622 -24.7648
97.500000 83.548 -24.5013
98.800003 83.479 -24.3241
100.000000 83.394 -24.0943
101.500000 83.307 -23.6737
103.000000 83.239 -23.4903
104.400002 83.162 -23.4647
106.000000 83.061 -23.2462
107.500000 82.999 -22.8942
109.000000 82.941 -22.6217
110.599998 82.871 -22.2566
112.000000 82.802 -22.0258
113.800003 82.695 -21.5918
115.000000 82.645 -21.2839
117.199997 82.570 -20.9213
118.000000 82.544 -20.8080
120.599998 82.430 -20.3808
122.000000 82.366 -20.0281
124.099998 82.282 -19.4821
125.000000 82.256 -19.2211
126.500000 82.232 -18.8482
128.000000 82.210 -18.5365
131.500000 82.136 -17.7391
132.000000 82.121 -17.6313
134.000000 82.058 -17.1745
136.000000 82.019 -16.6827
138.000000 81.991 -16.3292
140.000000 81.961 -15.8541
143.000000 81.930 -15.1480
145.000000 81.915 -14.7707
147.500000 81.895 -14.2522
150.000000 81.865 -13.7367
152.500000 81.833 -13.0247
155.000000 81.808 -12.5533
157.500000 81.802 -12.0641
160.000000 81.796 -11.8921
162.500000 81.716 -11.6062
165.000000 81.665 -10.7009
167.500000 81.683 -9.9708
170.000000 81.681 -9.5683
172.500000 81.677 -9.2425
175.000000 81.679 -9.1728
177.500000 81.657 -8.8293
180.000000 81.626 -8.1802
182.500000 81.582 -7.5260
185.000000 81.560 -7.0115
187.500000 81.556 -6.6202
190.000000 81.566 -6.0513
192.500000 81.581 -5.5520
195.000000 81.607 -5.0951
197.500000 81.670 -4.7801
200.000000 81.719 -4.7476
203.000000 81.735 -4.6160
206.000000 81.742 -4.3657
209.000000 81.746 -4.0438
212.000000 81.744 -3.7422
214.000000 81.744 -3.5956
218.000000 81.770 -3.2791
220.000000 81.785 -3.0946
224.000000 81.797 -2.6478
227.000000 81.810 -2.3823
230.000000 81.834 -2.2233
233.000000 81.853 -2.0350
236.000000 81.873 -1.7835
240.000000 81.902 -1.5102
243.000000 81.919 -1.3413
247.000000 81.946 -1.0804
250.000000 81.971 -0.8572
254.000000 81.995 -0.6132
258.000000 82.015 -0.4068
262.000000 82.035 -0.1961
265.000000 82.048 -0.0620
269.000000 82.065 0.1436
272.000000 82.078 0.3056
276.000000 82.092 0.4922
280.000000 82.104 0.6451
285.000000 82.124 0.8059
290.000000 82.145 1.0113
295.000000 82.164 1.2328
300.000000 82.182 1.4071
304.000000 82.199 1.5624
307.000000 82.219 1.6707
311.000000 82.241 1.7321
315.000000 82.249 1.7714
320.000000 82.257 1.8794
325.000000 82.274 2.0349
330.000000 82.288 2.1967
335.000000 82.302 2.3392
340.000000 82.316 2.4913
345.000000 82.328 2.6032
