* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 20, 25 5:11:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: lush R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.325 124.7123
1.015000 69.739 123.6916
1.030000 70.145 122.6707
1.044000 70.514 121.7146
1.060000 70.925 120.6145
1.075000 71.298 119.5733
1.090000 71.659 118.5223
1.106000 72.032 117.4007
1.120000 72.352 116.4396
1.138000 72.755 115.2484
1.150000 73.020 114.4837
1.172000 73.495 113.1411
1.180000 73.664 112.6707
1.206000 74.203 111.2084
1.220000 74.485 110.4608
1.241000 74.897 109.3874
1.250000 75.070 108.9437
1.265000 75.352 108.2245
1.280000 75.627 107.5286
1.315000 76.241 105.9839
1.320000 76.325 105.7712
1.340000 76.654 104.9369
1.360000 76.968 104.1258
1.380000 77.269 103.3444
1.400000 77.554 102.5821
1.430000 77.954 101.4585
1.450000 78.201 100.7182
1.475000 78.483 99.8057
1.500000 78.731 98.9252
1.525000 78.944 98.0845
1.550000 79.125 97.2816
1.575000 79.279 96.5179
1.600000 79.409 95.7937
1.625000 79.519 95.0961
1.650000 79.614 94.4211
1.675000 79.697 93.7652
1.700000 79.772 93.1248
1.725000 79.844 92.4964
1.750000 79.916 91.8769
1.775000 79.992 91.2589
1.800000 80.076 90.6357
1.825000 80.171 90.0136
1.850000 80.273 89.3944
1.875000 80.375 88.7834
1.900000 80.475 88.1841
1.925000 80.571 87.5986
1.950000 80.665 87.0282
1.975000 80.757 86.4698
2.000000 80.847 85.9201
2.030000 80.951 85.2818
2.060000 81.054 84.6658
2.090000 81.154 84.0709
2.120000 81.253 83.4958
2.140000 81.318 83.1223
2.180000 81.446 82.3898
2.200000 81.509 82.0261
2.240000 81.633 81.3137
2.270000 81.724 80.7931
2.300000 81.812 80.2855
2.330000 81.898 79.7924
2.360000 81.982 79.3141
2.400000 82.092 78.6793
2.430000 82.172 78.2185
2.470000 82.278 77.6286
2.500000 82.357 77.2040
2.540000 82.461 76.6606
2.580000 82.564 76.1276
2.620000 82.666 75.5880
2.650000 82.740 75.1955
2.690000 82.838 74.6880
2.720000 82.911 74.3197
2.760000 83.006 73.8463
2.800000 83.100 73.3632
2.850000 83.215 72.7811
2.900000 83.330 72.2274
2.950000 83.443 71.7003
3.000000 83.554 71.1712
3.040000 83.642 70.7544
3.070000 83.707 70.4509
3.110000 83.793 70.0579
3.150000 83.877 69.6771
3.200000 83.983 69.1940
3.250000 84.087 68.7160
3.300000 84.192 68.2525
3.350000 84.295 67.8040
3.400000 84.398 67.3455
3.450000 84.500 66.8909
3.500000 84.601 66.4492
3.550000 84.701 66.0199
3.600000 84.800 65.5735
3.650000 84.898 65.1235
3.700000 84.995 64.6793
3.750000 85.092 64.2403
3.820000 85.225 63.5990
3.870000 85.318 63.1423
3.950000 85.465 62.4304
4.000000 85.554 61.9720
4.060000 85.659 61.4156
4.120000 85.761 60.8611
4.180000 85.861 60.3024
4.250000 85.974 59.6261
4.310000 86.069 59.0640
4.370000 86.159 58.5150
4.440000 86.261 57.8524
4.500000 86.345 57.2871
4.550000 86.412 56.8211
4.620000 86.503 56.1526
4.680000 86.577 55.5940
4.750000 86.661 54.9735
4.820000 86.741 54.3494
4.870000 86.795 53.9067
4.940000 86.868 53.3028
5.000000 86.928 52.7874
5.080000 87.005 52.1223
5.150000 87.071 51.5790
5.220000 87.133 51.0401
5.300000 87.202 50.4438
5.380000 87.268 49.8748
5.450000 87.326 49.3787
5.520000 87.383 48.9142
5.600000 87.448 48.4015
5.700000 87.529 47.7745
5.800000 87.609 47.1702
5.900000 87.692 46.5682
6.000000 87.777 45.9861
6.080000 87.845 45.5145
6.150000 87.905 45.1093
6.220000 87.965 44.6834
6.300000 88.034 44.1917
6.400000 88.121 43.5686
6.500000 88.206 42.9218
6.600000 88.288 42.2591
6.700000 88.366 41.5616
6.800000 88.441 40.8469
6.900000 88.510 40.1152
7.000000 88.573 39.3802
7.100000 88.628 38.6217
7.200000 88.676 37.8641
7.300000 88.716 37.1188
7.400000 88.748 36.3979
7.500000 88.771 35.6838
7.620000 88.789 34.8691
7.750000 88.800 34.0670
7.880000 88.801 33.3291
8.000000 88.798 32.7276
8.120000 88.794 32.2093
8.250000 88.788 31.7393
8.380000 88.787 31.3470
8.500000 88.794 31.0389
8.620000 88.808 30.7853
8.750000 88.832 30.5359
8.850000 88.858 30.3426
9.000000 88.907 30.0593
9.120000 88.952 29.8084
9.250000 89.007 29.4954
9.380000 89.065 29.1469
9.500000 89.117 28.7849
9.620000 89.166 28.3904
9.750000 89.214 27.9305
9.880000 89.252 27.4600
10.000000 89.273 27.0342
10.150000 89.286 26.4724
10.300000 89.288 25.9718
10.440000 89.282 25.5691
10.600000 89.273 25.1832
10.750000 89.269 24.8988
10.900000 89.272 24.6702
11.060000 89.290 24.4211
11.200000 89.318 24.1661
11.380000 89.366 23.7935
11.500000 89.404 23.4984
11.720000 89.476 22.8418
11.800000 89.500 22.5582
12.060000 89.564 21.4768
12.200000 89.582 20.7897
12.410000 89.587 19.7356
12.500000 89.581 19.3008
12.650000 89.562 18.6130
12.800000 89.532 18.0040
13.150000 89.435 16.9609
13.200000 89.421 16.8545
13.400000 89.373 16.5569
13.600000 89.344 16.4097
13.800000 89.342 16.3475
14.000000 89.367 16.2673
14.300000 89.443 15.9064
14.500000 89.501 15.4896
14.750000 89.560 14.7941
15.000000 89.589 13.9758
15.250000 89.585 13.1036
15.500000 89.552 12.3500
15.750000 89.505 11.7869
16.000000 89.465 11.4224
16.250000 89.449 11.1445
16.500000 89.461 10.8926
16.750000 89.494 10.5587
17.000000 89.534 10.0758
17.250000 89.564 9.4166
17.500000 89.570 8.6663
17.750000 89.546 7.9270
18.000000 89.497 7.2922
18.250000 89.434 6.8103
18.500000 89.373 6.5323
18.750000 89.331 6.4257
19.000000 89.316 6.4105
19.250000 89.332 6.3554
19.500000 89.371 6.1959
19.750000 89.418 5.8836
20.000000 89.461 5.4173
20.299999 89.492 4.6866
20.600000 89.492 3.9140
20.900000 89.464 3.2136
21.200001 89.423 2.6378
21.400000 89.396 2.3320
21.799999 89.358 1.8567
22.000000 89.349 1.6381
22.400000 89.345 1.1118
22.700001 89.340 0.6362
23.000000 89.322 0.1277
23.299999 89.288 -0.3561
23.600000 89.243 -0.7272
24.000000 89.191 -0.9973
24.299999 89.176 -1.1018
24.700001 89.198 -1.2723
25.000000 89.235 -1.5460
25.400000 89.282 -2.1881
25.799999 89.292 -3.0130
26.200001 89.254 -3.7890
26.500000 89.209 -4.2129
26.900000 89.157 -4.5214
27.200001 89.141 -4.6467
27.600000 89.154 -4.8604
28.000000 89.180 -5.2633
28.500000 89.182 -5.9819
29.000000 89.132 -6.5764
29.500000 89.082 -6.8276
30.000000 89.084 -6.9410
30.400000 89.120 -7.2316
30.700001 89.143 -7.6370
31.100000 89.141 -8.3580
31.500000 89.088 -9.0962
32.000000 88.972 -9.7161
32.500000 88.862 -9.9340
33.000000 88.796 -9.9821
33.500000 88.762 -10.1433
34.000000 88.726 -10.4432
34.500000 88.680 -10.7555
35.000000 88.642 -11.0062
35.500000 88.626 -11.2917
36.000000 88.618 -11.7162
36.500000 88.597 -12.2693
37.000000 88.552 -12.8120
37.500000 88.492 -13.2061
38.200001 88.424 -13.4301
38.700001 88.414 -13.5126
39.500000 88.445 -14.0292
40.000000 88.436 -14.6534
40.599998 88.359 -15.3488
41.200001 88.259 -15.6293
41.799999 88.211 -15.7029
42.500000 88.193 -16.1771
43.099998 88.122 -16.7900
43.700001 88.015 -17.0645
44.400002 87.960 -17.0200
45.000000 87.973 -17.2526
45.500000 87.968 -17.6838
46.200001 87.924 -18.1686
46.799999 87.913 -18.4266
47.500000 87.919 -18.9857
48.200001 87.858 -19.6367
48.700001 87.788 -19.8157
49.400002 87.733 -19.7773
50.000000 87.718 -19.9076
50.799999 87.652 -20.3292
51.500000 87.560 -20.5262
52.200001 87.485 -20.6421
53.000000 87.403 -20.9100
53.799999 87.317 -21.2139
54.500000 87.252 -21.5553
55.200001 87.175 -21.9625
56.000000 87.079 -22.2403
57.000000 87.016 -22.4091
58.000000 86.975 -22.7840
59.000000 86.915 -23.0917
60.000000 86.863 -23.3666
60.799999 86.808 -23.6240
61.500000 86.754 -23.8052
62.200001 86.705 -23.9805
63.000000 86.651 -24.2040
64.000000 86.599 -24.5767
65.000000 86.536 -25.1757
66.000000 86.429 -25.6662
67.000000 86.330 -25.9121
68.000000 86.225 -26.0839
69.000000 86.123 -26.0373
70.000000 86.044 -25.9840
71.000000 85.966 -25.9982
72.000000 85.893 -26.0037
73.000000 85.836 -26.0306
74.000000 85.788 -26.1843
75.000000 85.727 -26.3636
76.199997 85.655 -26.5339
77.500000 85.569 -26.8391
78.800003 85.431 -27.3401
80.000000 85.248 -27.4956
81.199997 85.101 -27.2252
82.500000 85.023 -26.9016
83.800003 84.991 -26.7560
85.000000 84.970 -26.7585
86.199997 84.920 -26.7938
87.500000 84.834 -26.7186
88.500000 84.753 -26.5829
90.000000 84.642 -26.4995
91.199997 84.544 -26.6223
92.500000 84.441 -26.8033
93.800003 84.348 -26.9073
95.000000 84.284 -26.8763
96.199997 84.240 -26.7932
97.500000 84.170 -26.7922
98.800003 84.065 -26.3853
100.000000 84.027 -25.9197
101.500000 83.952 -26.1384
103.000000 83.788 -26.2197
104.400002 83.639 -25.7726
106.000000 83.571 -25.1356
107.500000 83.512 -24.7881
109.000000 83.486 -24.2090
110.599998 83.478 -24.2321
112.000000 83.385 -24.4750
113.800003 83.218 -24.1891
115.000000 83.146 -23.7696
117.199997 83.074 -23.2751
118.000000 83.052 -23.1570
120.599998 82.976 -22.8308
122.000000 82.932 -22.6017
124.099998 82.870 -22.3500
125.000000 82.837 -22.3010
126.500000 82.765 -22.1906
128.000000 82.699 -21.9196
131.500000 82.608 -21.2044
132.000000 82.598 -21.0599
134.000000 82.574 -20.5181
136.000000 82.507 -20.2739
138.000000 82.400 -19.6085
140.000000 82.336 -18.9612
143.000000 82.241 -18.1930
145.000000 82.196 -17.8225
147.500000 82.161 -17.4132
150.000000 82.130 -17.0852
152.500000 82.107 -16.4261
155.000000 82.083 -15.7083
157.500000 82.119 -15.1577
160.000000 82.127 -14.8461
162.500000 82.090 -14.5330
165.000000 82.036 -14.1899
167.500000 82.009 -13.6062
170.000000 81.987 -12.8674
172.500000 81.933 -12.1914
175.000000 81.879 -11.8167
177.500000 81.845 -11.5068
180.000000 81.830 -10.9358
182.500000 81.809 -10.3234
185.000000 81.779 -9.8739
187.500000 81.756 -9.5599
190.000000 81.750 -9.1745
192.500000 81.758 -8.6602
195.000000 81.769 -8.0734
197.500000 81.779 -7.5159
200.000000 81.786 -7.1243
203.000000 81.799 -6.7521
206.000000 81.824 -6.3904
209.000000 81.845 -6.0889
212.000000 81.870 -5.8431
214.000000 81.879 -5.7556
218.000000 81.875 -5.3352
220.000000 81.886 -5.0348
224.000000 81.932 -4.5552
227.000000 81.962 -4.3456
230.000000 81.984 -4.1766
233.000000 81.992 -3.9039
236.000000 81.991 -3.6096
240.000000 81.995 -3.2802
243.000000 82.013 -3.0160
247.000000 82.040 -2.6890
250.000000 82.056 -2.4926
254.000000 82.073 -2.1878
258.000000 82.089 -1.9325
262.000000 82.101 -1.6942
265.000000 82.117 -1.5002
269.000000 82.141 -1.2584
272.000000 82.153 -1.0992
276.000000 82.168 -0.8874
280.000000 82.182 -0.7086
285.000000 82.192 -0.4750
290.000000 82.213 -0.2064
295.000000 82.246 0.0494
300.000000 82.264 0.2222
304.000000 82.264 0.3407
307.000000 82.271 0.4791
311.000000 82.290 0.6694
315.000000 82.309 0.8063
320.000000 82.339 0.8997
325.000000 82.368 1.1193
330.000000 82.380 1.3727
335.000000 82.393 1.5001
340.000000 82.407 1.6358
