* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 20, 24 10:50:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: lvc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.349 -56.9411
1.015000 69.680 -56.9742
1.030000 70.004 -57.0466
1.044000 70.299 -57.1493
1.060000 70.627 -57.3081
1.075000 70.924 -57.4965
1.090000 71.212 -57.7211
1.106000 71.510 -57.9904
1.120000 71.764 -58.2338
1.138000 72.086 -58.5447
1.150000 72.297 -58.7499
1.172000 72.675 -59.1233
1.180000 72.810 -59.2593
1.206000 73.239 -59.6989
1.220000 73.463 -59.9348
1.241000 73.790 -60.2887
1.250000 73.927 -60.4408
1.265000 74.151 -60.6952
1.280000 74.368 -60.9513
1.315000 74.852 -61.5582
1.320000 74.918 -61.6463
1.340000 75.175 -62.0029
1.360000 75.421 -62.3675
1.380000 75.654 -62.7305
1.400000 75.874 -63.0995
1.430000 76.179 -63.6743
1.450000 76.364 -64.0725
1.475000 76.574 -64.5803
1.500000 76.752 -65.0790
1.525000 76.899 -65.5608
1.550000 77.018 -66.0277
1.575000 77.113 -66.4781
1.600000 77.187 -66.9112
1.625000 77.244 -67.3394
1.650000 77.287 -67.7657
1.675000 77.322 -68.1931
1.700000 77.351 -68.6242
1.725000 77.378 -69.0617
1.750000 77.407 -69.5078
1.775000 77.442 -69.9690
1.800000 77.486 -70.4514
1.825000 77.542 -70.9469
1.850000 77.606 -71.4509
1.875000 77.673 -71.9547
1.900000 77.740 -72.4539
1.925000 77.805 -72.9473
1.950000 77.871 -73.4342
1.975000 77.935 -73.9179
2.000000 78.000 -74.4022
2.030000 78.076 -74.9745
2.060000 78.152 -75.5387
2.090000 78.227 -76.0959
2.120000 78.302 -76.6477
2.140000 78.351 -77.0136
2.180000 78.450 -77.7498
2.200000 78.499 -78.1239
2.240000 78.597 -78.8688
2.270000 78.669 -79.4211
2.300000 78.741 -79.9658
2.330000 78.813 -80.5017
2.360000 78.884 -81.0282
2.400000 78.978 -81.7362
2.430000 79.048 -82.2587
2.470000 79.141 -82.9407
2.500000 79.209 -83.4421
2.540000 79.301 -84.0990
2.580000 79.391 -84.7583
2.620000 79.481 -85.4359
2.650000 79.549 -85.9378
2.690000 79.638 -86.5969
2.720000 79.704 -87.0820
2.760000 79.791 -87.7138
2.800000 79.878 -88.3575
2.850000 79.984 -89.1418
2.900000 80.089 -89.8992
2.950000 80.192 -90.6348
3.000000 80.292 -91.3838
3.040000 80.371 -91.9833
3.070000 80.430 -92.4256
3.110000 80.507 -93.0033
3.150000 80.584 -93.5656
3.200000 80.678 -94.2675
3.250000 80.770 -94.9522
3.300000 80.861 -95.6102
3.350000 80.951 -96.2501
3.400000 81.039 -96.9019
3.450000 81.126 -97.5479
3.500000 81.211 -98.1733
3.550000 81.295 -98.7734
3.600000 81.378 -99.3730
3.650000 81.459 -99.9562
3.700000 81.539 -100.5176
3.750000 81.618 -101.0654
3.820000 81.725 -101.8457
3.870000 81.801 -102.3886
3.950000 81.919 -103.2075
4.000000 81.992 -103.7089
4.060000 82.078 -104.2915
4.120000 82.162 -104.8501
4.180000 82.245 -105.3950
4.250000 82.340 -106.0347
4.310000 82.419 -106.5481
4.370000 82.498 -107.0312
4.440000 82.589 -107.5920
4.500000 82.665 -108.0478
4.550000 82.728 -108.4098
4.620000 82.815 -108.9191
4.680000 82.890 -109.3337
4.750000 82.976 -109.7799
4.820000 83.062 -110.2181
4.870000 83.124 -110.5174
4.940000 83.209 -110.9102
5.000000 83.282 -111.2413
5.080000 83.381 -111.6652
5.150000 83.468 -112.0048
5.220000 83.555 -112.3398
5.300000 83.655 -112.7008
5.380000 83.757 -113.0394
5.450000 83.846 -113.3445
5.520000 83.937 -113.6307
5.600000 84.042 -113.9502
5.700000 84.175 -114.3475
5.800000 84.309 -114.7367
5.900000 84.445 -115.1412
6.000000 84.582 -115.5415
6.080000 84.693 -115.8752
6.150000 84.789 -116.1629
6.220000 84.885 -116.4728
6.300000 84.995 -116.8332
6.400000 85.131 -117.2940
6.500000 85.266 -117.7794
6.600000 85.398 -118.2785
6.700000 85.527 -118.8062
6.800000 85.653 -119.3473
6.900000 85.774 -119.9090
7.000000 85.891 -120.4794
7.100000 86.004 -121.0733
7.200000 86.111 -121.6731
7.300000 86.212 -122.2800
7.400000 86.307 -122.8844
7.500000 86.396 -123.5001
7.620000 86.495 -124.2291
7.750000 86.593 -124.9953
7.880000 86.680 -125.7555
8.000000 86.754 -126.4224
8.120000 86.820 -127.0524
8.250000 86.885 -127.6968
8.380000 86.945 -128.2930
8.500000 86.998 -128.8023
8.620000 87.050 -129.2693
8.750000 87.105 -129.7363
8.850000 87.148 -130.0716
9.000000 87.215 -130.5291
9.120000 87.271 -130.8778
9.250000 87.335 -131.2434
9.380000 87.404 -131.5967
9.500000 87.470 -131.9378
9.620000 87.539 -132.2919
9.750000 87.613 -132.6952
9.880000 87.683 -133.1266
10.000000 87.741 -133.5450
10.150000 87.803 -134.1414
10.300000 87.854 -134.7509
10.440000 87.891 -135.3293
10.600000 87.923 -135.9818
10.750000 87.942 -136.5710
10.900000 87.952 -137.1294
11.060000 87.957 -137.6982
11.200000 87.956 -138.1874
11.380000 87.952 -138.7325
11.500000 87.948 -139.0392
11.720000 87.941 -139.4960
11.800000 87.941 -139.6307
12.060000 87.949 -140.0025
12.200000 87.962 -140.2098
12.410000 87.995 -140.4933
12.500000 88.015 -140.6130
12.650000 88.056 -140.8143
12.800000 88.103 -141.0215
13.150000 88.222 -141.5943
13.200000 88.239 -141.6894
13.400000 88.309 -142.0746
13.600000 88.378 -142.4643
13.800000 88.447 -142.8576
14.000000 88.517 -143.2661
14.300000 88.625 -143.9901
14.500000 88.695 -144.5160
14.750000 88.776 -145.2236
15.000000 88.844 -145.9775
15.250000 88.896 -146.8006
15.500000 88.931 -147.5874
15.750000 88.952 -148.2940
16.000000 88.969 -148.8962
16.250000 88.991 -149.4472
16.500000 89.025 -149.9449
16.750000 89.070 -150.4449
17.000000 89.120 -150.9995
17.250000 89.167 -151.6514
17.500000 89.202 -152.3485
17.750000 89.219 -153.0248
18.000000 89.222 -153.6151
18.250000 89.221 -154.0945
18.500000 89.232 -154.4342
18.750000 89.267 -154.6930
19.000000 89.332 -154.9760
19.250000 89.423 -155.4313
19.500000 89.521 -156.1127
19.750000 89.602 -157.0282
20.000000 89.647 -158.1065
20.299999 89.634 -159.4480
20.600000 89.550 -160.5342
20.900000 89.427 -161.1173
21.200001 89.315 -161.1209
21.400000 89.277 -160.8585
21.799999 89.324 -160.1126
22.000000 89.407 -159.8585
22.400000 89.629 -159.9886
22.700001 89.782 -160.6402
23.000000 89.881 -161.5823
23.299999 89.917 -162.5807
23.600000 89.903 -163.4015
24.000000 89.859 -164.0405
24.299999 89.845 -164.2481
24.700001 89.877 -164.4082
25.000000 89.930 -164.6196
25.400000 90.004 -165.1509
25.799999 90.053 -165.8713
26.200001 90.067 -166.6221
26.500000 90.062 -167.1273
26.900000 90.049 -167.6824
27.200001 90.041 -168.0349
27.600000 90.037 -168.4641
28.000000 90.038 -168.8859
28.500000 90.041 -169.4509
29.000000 90.036 -170.0100
29.500000 90.022 -170.4798
30.000000 90.020 -170.7885
30.400000 90.045 -170.9993
30.700001 90.081 -171.2156
31.100000 90.140 -171.6762
31.500000 90.187 -172.3556
32.000000 90.199 -173.3269
32.500000 90.164 -174.1619
33.000000 90.122 -174.7104
33.500000 90.106 -175.1201
34.000000 90.113 -175.6089
34.500000 90.112 -176.2507
35.000000 90.086 -176.9218
35.500000 90.039 -177.4861
36.000000 89.987 -177.8722
36.500000 89.949 -178.1007
37.000000 89.940 -178.2466
37.500000 89.965 -178.4648
38.200001 90.027 -179.1788
38.700001 90.047 179.9921
39.500000 89.977 178.6203
40.000000 89.891 178.0828
40.599998 89.809 177.8341
41.200001 89.786 177.7157
41.799999 89.800 177.3916
42.500000 89.798 176.7893
43.099998 89.780 176.3773
43.700001 89.785 176.0914
44.400002 89.829 175.5876
45.000000 89.853 174.9276
45.500000 89.847 174.3712
46.200001 89.826 173.7775
46.799999 89.822 173.3457
47.500000 89.819 172.7527
48.200001 89.795 172.1108
48.700001 89.764 171.6935
49.400002 89.711 171.2253
50.000000 89.670 170.9486
50.799999 89.647 170.6143
51.500000 89.646 170.1251
52.200001 89.623 169.4726
53.000000 89.570 168.8296
53.799999 89.533 168.3455
54.500000 89.517 167.8988
55.200001 89.502 167.4033
56.000000 89.479 166.8364
57.000000 89.438 166.2141
58.000000 89.401 165.7935
59.000000 89.386 165.3478
60.000000 89.352 164.7640
60.799999 89.305 164.3790
61.500000 89.267 164.1201
62.200001 89.235 163.8712
63.000000 89.203 163.5779
64.000000 89.167 163.1513
65.000000 89.123 162.6853
66.000000 89.077 162.2433
67.000000 89.033 161.7468
68.000000 88.977 161.2823
69.000000 88.940 160.8683
70.000000 88.910 160.3091
71.000000 88.866 159.7540
72.000000 88.828 159.2694
73.000000 88.791 158.7807
74.000000 88.746 158.3493
75.000000 88.703 157.9631
76.199997 88.646 157.5026
77.500000 88.582 157.0408
78.800003 88.526 156.5939
80.000000 88.486 156.1049
81.199997 88.435 155.6068
82.500000 88.381 155.1832
83.800003 88.325 154.7976
85.000000 88.269 154.5224
86.199997 88.220 154.1896
87.500000 88.154 153.7398
88.500000 88.103 153.4197
90.000000 88.039 152.8898
91.199997 87.980 152.4709
92.500000 87.923 152.2314
93.800003 87.882 151.9415
95.000000 87.827 151.6552
96.199997 87.768 151.3893
97.500000 87.709 151.1018
98.800003 87.667 150.7247
100.000000 87.626 150.2211
101.500000 87.549 149.6861
103.000000 87.476 149.4623
104.400002 87.428 149.2683
106.000000 87.369 148.9628
107.500000 87.311 148.5571
109.000000 87.241 148.0853
110.599998 87.168 147.6495
112.000000 87.102 147.2819
113.800003 87.014 146.9577
115.000000 86.962 146.7623
117.199997 86.867 146.2865
118.000000 86.830 146.0957
120.599998 86.714 145.6240
122.000000 86.660 145.4438
124.099998 86.581 145.1871
125.000000 86.546 145.0789
126.500000 86.489 144.8865
128.000000 86.433 144.6767
131.500000 86.300 144.1967
132.000000 86.279 144.1351
134.000000 86.197 143.8858
136.000000 86.122 143.5537
138.000000 86.046 143.1509
140.000000 85.974 142.8743
143.000000 85.880 142.5751
145.000000 85.817 142.3706
147.500000 85.733 142.0640
150.000000 85.642 141.7996
152.500000 85.552 141.6053
155.000000 85.468 141.3709
157.500000 85.381 141.1052
160.000000 85.281 140.9001
162.500000 85.173 140.7225
165.000000 85.064 140.4388
167.500000 84.959 140.2162
170.000000 84.865 140.0297
172.500000 84.755 139.8634
175.000000 84.641 139.7834
177.500000 84.544 139.6946
180.000000 84.452 139.5516
182.500000 84.364 139.3989
185.000000 84.279 139.2253
187.500000 84.193 139.0378
190.000000 84.095 138.8826
192.500000 83.994 138.8566
195.000000 83.902 138.8564
197.500000 83.814 138.8385
200.000000 83.723 138.7580
203.000000 83.624 138.6665
206.000000 83.530 138.4461
209.000000 83.434 138.2500
212.000000 83.334 138.0807
214.000000 83.267 138.0665
218.000000 83.158 138.3458
220.000000 83.110 138.4789
224.000000 82.998 138.4077
227.000000 82.904 138.2196
230.000000 82.829 138.1942
233.000000 82.749 138.3669
236.000000 82.649 138.6800
240.000000 82.529 138.8583
243.000000 82.469 138.7280
247.000000 82.398 138.7102
250.000000 82.334 138.7170
254.000000 82.242 138.6705
258.000000 82.159 138.6767
262.000000 82.061 138.6658
265.000000 81.991 138.6411
269.000000 81.890 138.6042
272.000000 81.812 138.5872
276.000000 81.711 138.6081
280.000000 81.607 138.6442
285.000000 81.480 138.6639
290.000000 81.355 138.7376
295.000000 81.231 138.8364
300.000000 81.105 138.9972
304.000000 81.009 139.1316
307.000000 80.940 139.2118
311.000000 80.850 139.3303
