* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 20, 24 10:51:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: lvc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.585 -67.3632
1.015000 69.805 -66.5121
1.030000 70.023 -65.7127
1.044000 70.224 -65.0134
1.060000 70.452 -64.2692
1.075000 70.661 -63.6240
1.090000 70.867 -63.0272
1.106000 71.084 -62.4307
1.120000 71.276 -61.9220
1.138000 71.528 -61.2741
1.150000 71.698 -60.8475
1.172000 72.014 -60.0835
1.180000 72.130 -59.8139
1.206000 72.509 -58.9692
1.220000 72.713 -58.5374
1.241000 73.019 -57.9245
1.250000 73.150 -57.6755
1.265000 73.366 -57.2797
1.280000 73.579 -56.9092
1.315000 74.064 -56.1482
1.320000 74.131 -56.0518
1.340000 74.395 -55.6976
1.360000 74.649 -55.3950
1.380000 74.891 -55.1342
1.400000 75.120 -54.9220
1.430000 75.434 -54.7029
1.450000 75.623 -54.6210
1.475000 75.832 -54.5709
1.500000 76.013 -54.5307
1.525000 76.166 -54.4837
1.550000 76.295 -54.4371
1.575000 76.403 -54.3948
1.600000 76.494 -54.3607
1.625000 76.570 -54.3509
1.650000 76.636 -54.3715
1.675000 76.693 -54.4279
1.700000 76.746 -54.5247
1.725000 76.797 -54.6659
1.750000 76.850 -54.8551
1.775000 76.907 -55.0995
1.800000 76.973 -55.4055
1.825000 77.049 -55.7630
1.850000 77.132 -56.1562
1.875000 77.218 -56.5618
1.900000 77.304 -56.9715
1.925000 77.389 -57.3844
1.950000 77.475 -57.8015
1.975000 77.559 -58.2276
2.000000 77.644 -58.6679
2.030000 77.744 -59.2077
2.060000 77.843 -59.7635
2.090000 77.942 -60.3392
2.120000 78.039 -60.9387
2.140000 78.103 -61.3536
2.180000 78.229 -62.2319
2.200000 78.291 -62.6986
2.240000 78.414 -63.6602
2.270000 78.505 -64.3942
2.300000 78.595 -65.1328
2.330000 78.683 -65.8728
2.360000 78.771 -66.6123
2.400000 78.886 -67.6173
2.430000 78.971 -68.3724
2.470000 79.082 -69.3789
2.500000 79.164 -70.1357
2.540000 79.271 -71.1523
2.580000 79.377 -72.1981
2.620000 79.480 -73.2921
2.650000 79.556 -74.1221
2.690000 79.656 -75.2323
2.720000 79.730 -76.0619
2.760000 79.826 -77.1562
2.800000 79.919 -78.2623
2.850000 80.033 -79.6211
2.900000 80.142 -80.9484
2.950000 80.248 -82.2596
3.000000 80.349 -83.6103
3.040000 80.427 -84.7082
3.070000 80.484 -85.5290
3.110000 80.557 -86.6119
3.150000 80.629 -87.6739
3.200000 80.715 -88.9851
3.250000 80.798 -90.2554
3.300000 80.878 -91.4773
3.350000 80.954 -92.6796
3.400000 81.026 -93.9044
3.450000 81.095 -95.1263
3.500000 81.162 -96.3188
3.550000 81.225 -97.4668
3.600000 81.286 -98.5860
3.650000 81.344 -99.6561
3.700000 81.400 -100.6814
3.750000 81.453 -101.6858
3.820000 81.523 -103.0944
3.870000 81.570 -104.0700
3.950000 81.643 -105.5343
4.000000 81.687 -106.4006
4.060000 81.738 -107.3819
4.120000 81.787 -108.3108
4.180000 81.834 -109.2040
4.250000 81.888 -110.2204
4.310000 81.933 -111.0268
4.370000 81.979 -111.7710
4.440000 82.034 -112.5941
4.500000 82.080 -113.2431
4.550000 82.119 -113.7477
4.620000 82.174 -114.4327
4.680000 82.223 -114.9783
4.750000 82.283 -115.5558
4.820000 82.346 -116.0995
4.870000 82.392 -116.4576
4.940000 82.459 -116.9138
5.000000 82.518 -117.2867
5.080000 82.600 -117.7552
5.150000 82.674 -118.1267
5.220000 82.752 -118.4843
5.300000 82.844 -118.8585
5.380000 82.939 -119.2004
5.450000 83.023 -119.5040
5.520000 83.109 -119.7870
5.600000 83.209 -120.1010
5.700000 83.336 -120.4838
5.800000 83.464 -120.8447
5.900000 83.593 -121.2057
6.000000 83.721 -121.5519
6.080000 83.824 -121.8315
6.150000 83.913 -122.0598
6.220000 84.002 -122.2962
6.300000 84.102 -122.5565
6.400000 84.227 -122.8719
6.500000 84.350 -123.1884
6.600000 84.472 -123.4916
6.700000 84.593 -123.7945
6.800000 84.713 -124.0872
6.900000 84.831 -124.3849
7.000000 84.949 -124.6775
7.100000 85.065 -124.9767
7.200000 85.180 -125.2729
7.300000 85.293 -125.5795
7.400000 85.404 -125.8882
7.500000 85.512 -126.2098
7.620000 85.639 -126.5998
7.750000 85.771 -127.0303
7.880000 85.897 -127.4830
8.000000 86.008 -127.8953
8.120000 86.114 -128.3061
8.250000 86.221 -128.7496
8.380000 86.324 -129.1804
8.500000 86.415 -129.5694
8.620000 86.502 -129.9456
8.750000 86.594 -130.3412
8.850000 86.664 -130.6386
9.000000 86.766 -131.0658
9.120000 86.847 -131.4075
9.250000 86.936 -131.7781
9.380000 87.026 -132.1492
9.500000 87.109 -132.5144
9.620000 87.192 -132.8979
9.750000 87.281 -133.3390
9.880000 87.363 -133.8136
10.000000 87.430 -134.2761
10.150000 87.503 -134.9343
10.300000 87.563 -135.6138
10.440000 87.607 -136.2659
10.600000 87.643 -137.0119
10.750000 87.664 -137.6987
10.900000 87.673 -138.3616
11.060000 87.673 -139.0437
11.200000 87.665 -139.6313
11.380000 87.646 -140.2860
11.500000 87.628 -140.6499
11.720000 87.593 -141.1609
11.800000 87.581 -141.2934
12.060000 87.556 -141.5732
12.200000 87.556 -141.6753
12.410000 87.582 -141.7483
12.500000 87.605 -141.7691
12.650000 87.660 -141.8035
12.800000 87.732 -141.8690
13.150000 87.944 -142.3255
13.200000 87.977 -142.4385
13.400000 88.109 -142.9930
13.600000 88.230 -143.6969
13.800000 88.333 -144.5249
14.000000 88.410 -145.4182
14.300000 88.471 -146.8109
14.500000 88.479 -147.6219
14.750000 88.465 -148.4013
15.000000 88.445 -148.8768
15.250000 88.449 -149.1324
15.500000 88.493 -149.2374
15.750000 88.584 -149.3564
16.000000 88.713 -149.6667
16.250000 88.857 -150.3131
16.500000 88.988 -151.2620
16.750000 89.078 -152.4351
17.000000 89.116 -153.6859
17.250000 89.100 -154.8831
17.500000 89.042 -155.8477
17.750000 88.966 -156.4841
18.000000 88.898 -156.7906
18.250000 88.864 -156.8693
18.500000 88.875 -156.8383
18.750000 88.927 -156.8430
19.000000 89.010 -156.9952
19.250000 89.102 -157.3619
19.500000 89.189 -157.8948
19.750000 89.261 -158.5354
20.000000 89.317 -159.2164
20.299999 89.369 -160.0547
20.600000 89.412 -160.8575
20.900000 89.451 -161.6401
21.200001 89.482 -162.4423
21.400000 89.495 -162.9789
21.799999 89.497 -163.9738
22.000000 89.486 -164.3935
22.400000 89.459 -165.0325
22.700001 89.449 -165.3306
23.000000 89.459 -165.5533
23.299999 89.488 -165.8131
23.600000 89.526 -166.1639
24.000000 89.566 -166.7842
24.299999 89.576 -167.3201
24.700001 89.563 -167.9873
25.000000 89.542 -168.4054
25.400000 89.513 -168.8852
25.799999 89.490 -169.3276
26.200001 89.466 -169.7966
26.500000 89.444 -170.1625
26.900000 89.411 -170.6289
27.200001 89.388 -170.9612
27.600000 89.363 -171.3932
28.000000 89.345 -171.8287
28.500000 89.335 -172.3924
29.000000 89.349 -172.9659
29.500000 89.397 -173.6952
30.000000 89.456 -174.7459
30.400000 89.475 -175.7960
30.700001 89.459 -176.5825
31.100000 89.401 -177.4374
31.500000 89.332 -177.9275
32.000000 89.293 -178.0723
32.500000 89.341 -178.1372
33.000000 89.435 -178.5327
33.500000 89.504 -179.2840
34.000000 89.518 179.8951
34.500000 89.493 179.2448
35.000000 89.462 178.8148
35.500000 89.441 178.4905
36.000000 89.427 178.1687
36.500000 89.413 177.8063
37.000000 89.399 177.4150
37.500000 89.386 176.9829
38.200001 89.372 176.2444
38.700001 89.352 175.5990
39.500000 89.287 174.5612
40.000000 89.238 174.0556
40.599998 89.201 173.5698
41.200001 89.189 173.0452
41.799999 89.173 172.4323
42.500000 89.134 171.8246
43.099998 89.115 171.4781
43.700001 89.121 171.0946
44.400002 89.118 170.4173
45.000000 89.074 169.8296
45.500000 89.019 169.4991
46.200001 88.959 169.2670
46.799999 88.936 169.0851
47.500000 88.925 168.7424
48.200001 88.920 168.2523
48.700001 88.916 167.8006
49.400002 88.896 167.0621
50.000000 88.860 166.4565
50.799999 88.812 165.8417
51.500000 88.796 165.3713
52.200001 88.790 164.7853
53.000000 88.756 164.0228
53.799999 88.688 163.4099
54.500000 88.622 163.0852
55.200001 88.568 162.8602
56.000000 88.514 162.5934
57.000000 88.447 162.2793
58.000000 88.415 161.9637
59.000000 88.407 161.2168
60.000000 88.345 160.2097
60.799999 88.269 159.6127
61.500000 88.215 159.2575
62.200001 88.176 158.9513
63.000000 88.139 158.5988
64.000000 88.085 158.1603
65.000000 88.018 157.8345
66.000000 87.953 157.5812
67.000000 87.904 157.2877
68.000000 87.862 156.7351
69.000000 87.789 156.0339
70.000000 87.708 155.5555
71.000000 87.660 155.1846
72.000000 87.625 154.8519
73.000000 87.598 154.5825
74.000000 87.558 154.3741
75.000000 87.517 154.2808
76.199997 87.450 153.9402
77.500000 87.326 153.7860
78.800003 87.267 153.5733
80.000000 87.219 153.0122
81.199997 87.175 152.4108
82.500000 87.127 151.8196
83.800003 87.089 151.3050
85.000000 87.018 150.8261
86.199997 86.943 150.6534
87.500000 86.890 150.2673
88.500000 86.826 149.8536
90.000000 86.716 149.3821
91.199997 86.646 149.3342
92.500000 86.640 149.1584
93.800003 86.591 148.5914
95.000000 86.509 148.2244
96.199997 86.418 148.0172
97.500000 86.360 147.8734
98.800003 86.320 147.4304
100.000000 86.272 146.9676
101.500000 86.192 146.4810
103.000000 86.114 146.2548
104.400002 86.048 146.0449
106.000000 85.983 145.7472
107.500000 85.914 145.3331
109.000000 85.845 144.9944
110.599998 85.772 144.5818
112.000000 85.686 144.2958
113.800003 85.580 144.1295
115.000000 85.523 143.9534
117.199997 85.400 143.3837
118.000000 85.346 143.2195
120.599998 85.205 143.0480
122.000000 85.159 142.9280
124.099998 85.068 142.5997
125.000000 85.018 142.4947
126.500000 84.929 142.3861
128.000000 84.840 142.3300
131.500000 84.660 142.2048
132.000000 84.639 142.1956
134.000000 84.564 142.2136
136.000000 84.492 142.3524
138.000000 84.417 142.5936
140.000000 84.352 142.7701
143.000000 84.308 142.6902
145.000000 84.304 142.4338
147.500000 84.278 141.9913
150.000000 84.217 141.5082
152.500000 84.129 141.0171
155.000000 84.045 140.5740
157.500000 83.947 140.2204
160.000000 83.841 139.9494
162.500000 83.728 139.7001
165.000000 83.614 139.4980
167.500000 83.502 139.3181
170.000000 83.390 139.1733
172.500000 83.284 139.0471
175.000000 83.172 138.9606
177.500000 83.064 138.8887
180.000000 82.958 138.8112
182.500000 82.859 138.7570
185.000000 82.763 138.6670
187.500000 82.663 138.5963
190.000000 82.563 138.5650
192.500000 82.464 138.5377
195.000000 82.364 138.4955
197.500000 82.264 138.4702
200.000000 82.169 138.4297
203.000000 82.065 138.3782
206.000000 81.966 138.3272
209.000000 81.864 138.3399
212.000000 81.768 138.3896
214.000000 81.702 138.4034
218.000000 81.568 138.5958
220.000000 81.507 138.7173
224.000000 81.390 138.7802
227.000000 81.305 138.7824
230.000000 81.222 138.8190
233.000000 81.139 138.9374
236.000000 81.060 139.0755
240.000000 80.957 139.2238
243.000000 80.879 139.2636
247.000000 80.780 139.3916
250.000000 80.708 139.6354
254.000000 80.617 139.8506
258.000000 80.529 139.8524
262.000000 80.436 139.9305
265.000000 80.360 140.0540
269.000000 80.253 140.2512
272.000000 80.164 140.4008
276.000000 80.046 140.6315
280.000000 79.941 140.9382
285.000000 79.818 141.3124
290.000000 79.716 141.7045
295.000000 79.635 142.1384
300.000000 79.571 142.4371
304.000000 79.523 142.6104
307.000000 79.485 142.7119
311.000000 79.426 142.7808
315.000000 79.360 142.8110
