* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 13, 25 2:31:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: maono hm25 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 55.981 59.1049
1.015000 56.305 58.7348
1.030000 56.626 58.3287
1.044000 56.920 57.9174
1.060000 57.251 57.4095
1.075000 57.556 56.8974
1.090000 57.854 56.3526
1.106000 58.166 55.7478
1.120000 58.434 55.2184
1.138000 58.773 54.5504
1.150000 58.996 54.1130
1.172000 59.398 53.3247
1.180000 59.542 53.0417
1.206000 60.003 52.1314
1.220000 60.247 51.6455
1.241000 60.607 50.9192
1.250000 60.759 50.6082
1.265000 61.011 50.0894
1.280000 61.259 49.5690
1.315000 61.828 48.3432
1.320000 61.908 48.1663
1.340000 62.226 47.4530
1.360000 62.539 46.7293
1.380000 62.848 45.9936
1.400000 63.154 45.2443
1.430000 63.606 44.0923
1.450000 63.904 43.3047
1.475000 64.272 42.3079
1.500000 64.633 41.3245
1.525000 64.986 40.3647
1.550000 65.332 39.4248
1.575000 65.670 38.4997
1.600000 66.002 37.5846
1.625000 66.328 36.6751
1.650000 66.647 35.7670
1.675000 66.962 34.8566
1.700000 67.270 33.9403
1.725000 67.575 33.0150
1.750000 67.874 32.0778
1.775000 68.170 31.1259
1.800000 68.462 30.1572
1.825000 68.751 29.1714
1.850000 69.035 28.1755
1.875000 69.315 27.1810
1.900000 69.589 26.1928
1.925000 69.858 25.2119
1.950000 70.122 24.2385
1.975000 70.381 23.2724
2.000000 70.636 22.3129
2.030000 70.937 21.1691
2.060000 71.232 20.0321
2.090000 71.521 18.8997
2.120000 71.806 17.7696
2.140000 71.993 17.0162
2.180000 72.363 15.5065
2.200000 72.544 14.7495
2.240000 72.901 13.2348
2.270000 73.162 12.1029
2.300000 73.418 10.9773
2.330000 73.668 9.8594
2.360000 73.914 8.7502
2.400000 74.234 7.2852
2.430000 74.469 6.1968
2.470000 74.776 4.7583
2.500000 75.002 3.6878
2.540000 75.298 2.2691
2.580000 75.588 0.8560
2.620000 75.871 -0.5560
2.650000 76.078 -1.6128
2.690000 76.348 -3.0152
2.720000 76.545 -4.0596
2.760000 76.803 -5.4399
2.800000 77.055 -6.8041
2.850000 77.362 -8.4852
2.900000 77.660 -10.1397
2.950000 77.952 -11.7745
3.000000 78.234 -13.4034
3.040000 78.452 -14.7023
3.070000 78.613 -15.6713
3.110000 78.822 -16.9531
3.150000 79.027 -18.2206
3.200000 79.276 -19.7808
3.250000 79.518 -21.3113
3.300000 79.755 -22.8141
3.350000 79.984 -24.3021
3.400000 80.206 -25.7826
3.450000 80.421 -27.2514
3.500000 80.630 -28.7021
3.550000 80.833 -30.1294
3.600000 81.030 -31.5290
3.650000 81.223 -32.8996
3.700000 81.411 -34.2486
3.750000 81.593 -35.5860
3.820000 81.839 -37.4383
3.870000 82.008 -38.7411
3.950000 82.270 -40.7792
4.000000 82.429 -42.0196
4.060000 82.615 -43.4775
4.120000 82.795 -44.9141
4.180000 82.968 -46.3321
4.250000 83.164 -47.9575
4.310000 83.327 -49.3208
4.370000 83.486 -50.6535
4.440000 83.666 -52.1734
4.500000 83.816 -53.4548
4.550000 83.937 -54.5087
4.620000 84.102 -55.9605
4.680000 84.240 -57.1804
4.750000 84.397 -58.5733
4.820000 84.549 -59.9378
4.870000 84.656 -60.8988
4.940000 84.800 -62.2256
5.000000 84.921 -63.3444
5.080000 85.078 -64.8073
5.150000 85.211 -66.0613
5.220000 85.340 -67.2960
5.300000 85.483 -68.6859
5.380000 85.622 -70.0505
5.450000 85.739 -71.2216
5.520000 85.853 -72.3722
5.600000 85.979 -73.6680
5.700000 86.129 -75.2594
5.800000 86.273 -76.8119
5.900000 86.410 -78.3228
6.000000 86.541 -79.8014
6.080000 86.640 -80.9603
6.150000 86.724 -81.9530
6.220000 86.805 -82.9237
6.300000 86.895 -84.0087
6.400000 87.001 -85.3335
6.500000 87.102 -86.6203
6.600000 87.200 -87.8637
6.700000 87.293 -89.0657
6.800000 87.383 -90.2308
6.900000 87.470 -91.3596
7.000000 87.555 -92.4514
7.100000 87.638 -93.5078
7.200000 87.720 -94.5337
7.300000 87.800 -95.5338
7.400000 87.880 -96.5097
7.500000 87.959 -97.4623
7.620000 88.053 -98.5825
7.750000 88.154 -99.7768
7.880000 88.254 -100.9526
8.000000 88.344 -102.0255
8.120000 88.431 -103.0917
8.250000 88.522 -104.2402
8.380000 88.610 -105.3784
8.500000 88.686 -106.4199
8.620000 88.758 -107.4532
8.750000 88.831 -108.5559
8.850000 88.883 -109.3890
9.000000 88.955 -110.6156
9.120000 89.009 -111.5712
9.250000 89.063 -112.5760
9.380000 89.114 -113.5510
9.500000 89.158 -114.4239
9.620000 89.202 -115.2699
9.750000 89.247 -116.1586
9.880000 89.286 -117.0232
10.000000 89.315 -117.8017
10.150000 89.344 -118.7517
10.300000 89.368 -119.6831
10.440000 89.387 -120.5384
10.600000 89.406 -121.5001
10.750000 89.422 -122.3881
10.900000 89.436 -123.2608
11.060000 89.448 -124.1696
11.200000 89.456 -124.9446
11.380000 89.466 -125.9078
11.500000 89.471 -126.5269
11.720000 89.481 -127.6187
11.800000 89.486 -128.0026
12.060000 89.504 -129.2154
12.200000 89.517 -129.8582
12.410000 89.544 -130.8238
12.500000 89.559 -131.2441
12.650000 89.589 -131.9557
12.800000 89.621 -132.6822
13.150000 89.683 -134.4282
13.200000 89.689 -134.6788
13.400000 89.707 -135.6728
13.600000 89.714 -136.6245
13.800000 89.709 -137.5065
14.000000 89.699 -138.2935
14.300000 89.683 -139.2763
14.500000 89.681 -139.8097
14.750000 89.697 -140.3899
15.000000 89.735 -140.9406
15.250000 89.793 -141.5418
15.500000 89.862 -142.2459
15.750000 89.931 -143.0690
16.000000 89.989 -143.9908
16.250000 90.031 -144.9578
16.500000 90.055 -145.9119
16.750000 90.063 -146.7983
17.000000 90.064 -147.5875
17.250000 90.065 -148.2807
17.500000 90.073 -148.9043
17.750000 90.089 -149.5028
18.000000 90.112 -150.1155
18.250000 90.137 -150.7661
18.500000 90.156 -151.4522
18.750000 90.167 -152.1482
19.000000 90.167 -152.8176
19.250000 90.159 -153.4238
19.500000 90.151 -153.9513
19.750000 90.150 -154.4086
20.000000 90.159 -154.8305
20.299999 90.187 -155.3594
20.600000 90.226 -155.9826
20.900000 90.262 -156.7291
21.200001 90.279 -157.5649
21.400000 90.277 -158.1295
21.799999 90.240 -159.1431
22.000000 90.212 -159.5424
22.400000 90.160 -160.0841
22.700001 90.143 -160.3176
23.000000 90.155 -160.5047
23.299999 90.191 -160.7441
23.600000 90.241 -161.0999
24.000000 90.306 -161.7687
24.299999 90.342 -162.3678
24.700001 90.369 -163.1940
25.000000 90.377 -163.7798
25.400000 90.381 -164.4841
25.799999 90.386 -165.1184
26.200001 90.395 -165.7296
26.500000 90.404 -166.1991
26.900000 90.411 -166.8517
27.200001 90.410 -167.3479
27.600000 90.397 -167.9707
28.000000 90.378 -168.4912
28.500000 90.366 -168.9854
29.000000 90.390 -169.4662
29.500000 90.436 -170.1735
30.000000 90.457 -171.1344
30.400000 90.436 -171.9109
30.700001 90.403 -172.3821
31.100000 90.361 -172.8026
31.500000 90.346 -173.0580
32.000000 90.379 -173.4318
32.500000 90.432 -174.1071
33.000000 90.452 -175.0114
33.500000 90.429 -175.8577
34.000000 90.394 -176.4669
34.500000 90.380 -176.9111
35.000000 90.389 -177.3788
35.500000 90.400 -177.9533
36.000000 90.396 -178.5666
36.500000 90.380 -179.1150
37.000000 90.366 -179.5751
37.500000 90.361 179.9965
38.200001 90.362 179.3532
38.700001 90.360 178.8653
39.500000 90.354 178.0753
40.000000 90.347 177.5798
40.599998 90.335 177.0165
41.200001 90.329 176.5009
41.799999 90.337 175.9375
42.500000 90.334 175.1388
43.099998 90.302 174.5311
43.700001 90.274 174.1765
44.400002 90.299 173.8214
45.000000 90.341 173.1996
45.500000 90.344 172.4947
46.200001 90.288 171.6577
46.799999 90.231 171.2954
47.500000 90.205 171.0759
48.200001 90.212 170.7778
48.700001 90.221 170.4879
49.400002 90.236 170.0017
50.000000 90.246 169.5073
50.799999 90.243 168.7889
51.500000 90.228 168.2090
52.200001 90.218 167.6817
53.000000 90.209 167.0567
53.799999 90.193 166.4468
54.500000 90.182 165.9817
55.200001 90.182 165.4972
56.000000 90.173 164.8617
57.000000 90.137 164.1997
58.000000 90.126 163.7323
59.000000 90.140 163.0840
60.000000 90.132 162.2917
60.799999 90.113 161.6932
61.500000 90.095 161.2070
62.200001 90.075 160.7496
63.000000 90.054 160.2648
64.000000 90.031 159.7277
65.000000 90.019 159.2516
66.000000 90.019 158.7512
67.000000 90.019 158.1806
68.000000 90.010 157.5919
69.000000 90.000 157.0010
70.000000 89.986 156.3723
71.000000 89.965 155.7613
72.000000 89.947 155.1721
73.000000 89.928 154.5679
74.000000 89.906 153.9979
75.000000 89.887 153.4544
76.199997 89.864 152.8057
77.500000 89.840 152.1190
78.800003 89.816 151.4326
80.000000 89.793 150.7917
81.199997 89.771 150.1608
82.500000 89.748 149.4858
83.800003 89.725 148.8322
85.000000 89.702 148.2409
86.199997 89.679 147.6755
87.500000 89.657 147.0590
88.500000 89.638 146.5638
90.000000 89.605 145.8250
91.199997 89.579 145.2534
92.500000 89.553 144.6396
93.800003 89.528 144.0141
95.000000 89.504 143.4321
96.199997 89.478 142.8588
97.500000 89.449 142.2583
98.800003 89.423 141.6620
100.000000 89.398 141.1086
101.500000 89.366 140.4279
103.000000 89.334 139.7726
104.400002 89.304 139.1642
106.000000 89.268 138.4842
107.500000 89.236 137.8586
109.000000 89.203 137.2171
110.599998 89.165 136.5384
112.000000 89.132 135.9534
113.800003 89.091 135.2100
115.000000 89.063 134.7254
117.199997 89.014 133.8477
118.000000 88.995 133.5351
120.599998 88.935 132.5220
122.000000 88.899 131.9677
124.099998 88.847 131.1573
125.000000 88.826 130.8063
126.500000 88.794 130.2205
128.000000 88.762 129.6524
131.500000 88.690 128.3492
132.000000 88.680 128.1663
134.000000 88.638 127.4475
136.000000 88.599 126.7291
138.000000 88.561 126.0035
140.000000 88.518 125.2735
143.000000 88.450 124.2569
145.000000 88.406 123.5816
147.500000 88.352 122.7394
150.000000 88.296 121.9005
152.500000 88.238 121.0733
155.000000 88.180 120.2574
157.500000 88.123 119.4554
160.000000 88.063 118.6712
162.500000 87.993 117.8864
165.000000 87.919 117.1114
167.500000 87.846 116.3526
170.000000 87.773 115.6023
172.500000 87.698 114.8584
175.000000 87.624 114.1215
177.500000 87.551 113.3991
180.000000 87.478 112.6881
182.500000 87.404 111.9807
185.000000 87.330 111.2812
187.500000 87.258 110.5913
190.000000 87.186 109.9077
192.500000 87.113 109.2313
195.000000 87.039 108.5699
197.500000 86.966 107.9202
200.000000 86.899 107.2715
203.000000 86.823 106.5050
206.000000 86.749 105.7641
209.000000 86.674 105.0333
212.000000 86.601 104.2860
214.000000 86.553 103.7865
218.000000 86.457 102.8217
220.000000 86.409 102.3495
224.000000 86.314 101.4030
227.000000 86.243 100.7134
230.000000 86.172 100.0403
233.000000 86.102 99.3713
236.000000 86.034 98.7016
240.000000 85.940 97.8116
243.000000 85.868 97.1757
247.000000 85.773 96.3387
250.000000 85.700 95.7087
254.000000 85.599 94.8809
258.000000 85.496 94.0872
262.000000 85.393 93.2947
265.000000 85.316 92.7026
269.000000 85.217 91.9153
272.000000 85.144 91.3400
276.000000 85.048 90.6005
280.000000 84.951 89.8559
285.000000 84.829 88.9302
290.000000 84.709 88.0270
295.000000 84.588 87.1725
300.000000 84.467 86.3303
304.000000 84.370 85.6445
307.000000 84.299 85.1383
311.000000 84.207 84.4810
315.000000 84.114 83.8303
320.000000 83.998 83.0276
325.000000 83.882 82.2509
330.000000 83.767 81.4803
335.000000 83.655 80.7093
