* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 13, 25 2:34:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: maono hm25 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.610 67.2174
1.015000 54.968 66.5415
1.030000 55.321 65.8360
1.044000 55.648 65.1502
1.060000 56.017 64.3341
1.075000 56.361 63.5378
1.090000 56.701 62.7132
1.106000 57.060 61.8157
1.120000 57.368 61.0377
1.138000 57.756 60.0622
1.150000 58.009 59.4278
1.172000 58.461 58.2952
1.180000 58.622 57.8922
1.206000 59.134 56.6109
1.220000 59.402 55.9367
1.241000 59.796 54.9424
1.250000 59.962 54.5216
1.265000 60.235 53.8261
1.280000 60.503 53.1366
1.315000 61.114 51.5435
1.320000 61.199 51.3171
1.340000 61.538 50.4120
1.360000 61.871 49.5064
1.380000 62.200 48.5976
1.400000 62.525 47.6834
1.430000 63.006 46.2970
1.450000 63.324 45.3608
1.475000 63.718 44.1850
1.500000 64.103 43.0287
1.525000 64.479 41.9021
1.550000 64.844 40.8021
1.575000 65.201 39.7243
1.600000 65.550 38.6639
1.625000 65.891 37.6169
1.650000 66.224 36.5789
1.675000 66.551 35.5462
1.700000 66.872 34.5150
1.725000 67.187 33.4821
1.750000 67.497 32.4442
1.775000 67.803 31.3983
1.800000 68.105 30.3418
1.825000 68.404 29.2739
1.850000 68.697 28.1995
1.875000 68.985 27.1281
1.900000 69.267 26.0645
1.925000 69.543 25.0103
1.950000 69.813 23.9663
1.975000 70.078 22.9329
2.000000 70.338 21.9098
2.030000 70.643 20.6952
2.060000 70.942 19.4935
2.090000 71.235 18.3031
2.120000 71.524 17.1218
2.140000 71.713 16.3382
2.180000 72.087 14.7771
2.200000 72.270 13.9984
2.240000 72.630 12.4444
2.270000 72.893 11.2850
2.300000 73.150 10.1336
2.330000 73.401 8.9921
2.360000 73.647 7.8616
2.400000 73.967 6.3729
2.430000 74.201 5.2706
2.470000 74.508 3.8193
2.500000 74.733 2.7440
2.540000 75.029 1.3258
2.580000 75.318 -0.0797
2.620000 75.600 -1.4789
2.650000 75.806 -2.5239
2.690000 76.074 -3.9079
2.720000 76.270 -4.9368
2.760000 76.526 -6.2940
2.800000 76.776 -7.6326
2.850000 77.080 -9.2776
2.900000 77.377 -10.8909
2.950000 77.667 -12.4782
3.000000 77.948 -14.0529
3.040000 78.166 -15.3044
3.070000 78.326 -16.2364
3.110000 78.535 -17.4677
3.150000 78.739 -18.6839
3.200000 78.988 -20.1800
3.250000 79.231 -21.6472
3.300000 79.469 -23.0868
3.350000 79.700 -24.5089
3.400000 79.924 -25.9198
3.450000 80.142 -27.3168
3.500000 80.354 -28.6959
3.550000 80.560 -30.0538
3.600000 80.762 -31.3879
3.650000 80.960 -32.6976
3.700000 81.152 -33.9886
3.750000 81.340 -35.2680
3.820000 81.594 -37.0392
3.870000 81.770 -38.2865
3.950000 82.044 -40.2440
4.000000 82.210 -41.4413
4.060000 82.404 -42.8552
4.120000 82.592 -44.2532
4.180000 82.775 -45.6366
4.250000 82.981 -47.2271
4.310000 83.153 -48.5658
4.370000 83.320 -49.8797
4.440000 83.509 -51.3864
4.500000 83.666 -52.6636
4.550000 83.793 -53.7177
4.620000 83.965 -55.1734
4.680000 84.108 -56.3986
4.750000 84.270 -57.7989
4.820000 84.427 -59.1740
4.870000 84.535 -60.1458
4.940000 84.682 -61.4901
5.000000 84.804 -62.6236
5.080000 84.960 -64.1017
5.150000 85.093 -65.3633
5.220000 85.220 -66.6029
5.300000 85.360 -67.9960
5.380000 85.494 -69.3585
5.450000 85.608 -70.5207
5.520000 85.718 -71.6541
5.600000 85.839 -72.9208
5.700000 85.984 -74.4652
5.800000 86.124 -75.9615
5.900000 86.258 -77.4060
6.000000 86.388 -78.8051
6.080000 86.488 -79.8951
6.150000 86.574 -80.8280
6.220000 86.659 -81.7418
6.300000 86.754 -82.7630
6.400000 86.871 -84.0083
6.500000 86.984 -85.2239
6.600000 87.096 -86.4142
6.700000 87.205 -87.5807
6.800000 87.313 -88.7256
6.900000 87.418 -89.8527
7.000000 87.520 -90.9659
7.100000 87.620 -92.0667
7.200000 87.717 -93.1548
7.300000 87.811 -94.2300
7.400000 87.901 -95.2949
7.500000 87.988 -96.3503
7.620000 88.087 -97.5992
7.750000 88.188 -98.9262
7.880000 88.281 -100.2298
8.000000 88.362 -101.4057
8.120000 88.438 -102.5489
8.250000 88.513 -103.7538
8.380000 88.584 -104.9199
8.500000 88.646 -105.9575
8.620000 88.705 -106.9604
8.750000 88.766 -108.0101
8.850000 88.812 -108.7915
9.000000 88.879 -109.9239
9.120000 88.932 -110.8023
9.250000 88.989 -111.7306
9.380000 89.047 -112.6369
9.500000 89.099 -113.4602
9.620000 89.152 -114.2746
9.750000 89.207 -115.1473
9.880000 89.256 -116.0125
10.000000 89.293 -116.8064
10.150000 89.329 -117.7908
10.300000 89.358 -118.7624
10.440000 89.378 -119.6569
10.600000 89.395 -120.6582
10.750000 89.407 -121.5712
10.900000 89.416 -122.4576
11.060000 89.423 -123.3683
11.200000 89.427 -124.1352
11.380000 89.432 -125.0817
11.500000 89.435 -125.6885
11.720000 89.442 -126.7587
11.800000 89.445 -127.1364
12.060000 89.456 -128.3305
12.200000 89.463 -128.9589
12.410000 89.479 -129.8874
12.500000 89.489 -130.2818
12.650000 89.509 -130.9351
12.800000 89.533 -131.5828
13.150000 89.587 -133.0704
13.200000 89.595 -133.2796
13.400000 89.623 -134.1070
13.600000 89.650 -134.9187
13.800000 89.676 -135.7146
14.000000 89.700 -136.4962
14.300000 89.735 -137.6449
14.500000 89.756 -138.3968
14.750000 89.780 -139.3202
15.000000 89.801 -140.2217
15.250000 89.817 -141.0950
15.500000 89.831 -141.9335
15.750000 89.843 -142.7333
16.000000 89.855 -143.4935
16.250000 89.870 -144.2184
16.500000 89.888 -144.9147
16.750000 89.907 -145.5912
17.000000 89.929 -146.2560
17.250000 89.951 -146.9153
17.500000 89.973 -147.5727
17.750000 89.993 -148.2287
18.000000 90.012 -148.8811
18.250000 90.029 -149.5259
18.500000 90.042 -150.1570
18.750000 90.053 -150.7689
19.000000 90.063 -151.3573
19.250000 90.072 -151.9210
19.500000 90.082 -152.4633
19.750000 90.094 -152.9913
20.000000 90.108 -153.5141
20.299999 90.126 -154.1466
20.600000 90.143 -154.7901
20.900000 90.156 -155.4390
21.200001 90.165 -156.0769
21.400000 90.168 -156.4866
21.799999 90.174 -157.2562
22.000000 90.178 -157.6187
22.400000 90.192 -158.3278
22.700001 90.207 -158.8737
23.000000 90.220 -159.4458
23.299999 90.229 -160.0344
23.600000 90.229 -160.6106
24.000000 90.221 -161.3021
24.299999 90.216 -161.7428
24.700001 90.222 -162.2595
25.000000 90.240 -162.6513
25.400000 90.275 -163.2637
25.799999 90.304 -164.0052
26.200001 90.312 -164.8071
26.500000 90.301 -165.3743
26.900000 90.275 -166.0063
27.200001 90.256 -166.3753
27.600000 90.245 -166.7755
28.000000 90.251 -167.1581
28.500000 90.270 -167.7074
29.000000 90.286 -168.3283
29.500000 90.295 -168.9491
30.000000 90.302 -169.5419
30.400000 90.311 -170.0150
30.700001 90.317 -170.3790
31.100000 90.324 -170.8751
31.500000 90.328 -171.3723
32.000000 90.332 -171.9845
32.500000 90.336 -172.5974
33.000000 90.337 -173.2245
33.500000 90.332 -173.8501
34.000000 90.322 -174.4397
34.500000 90.312 -174.9799
35.000000 90.306 -175.4930
35.500000 90.304 -176.0081
36.000000 90.302 -176.5295
36.500000 90.298 -177.0392
37.000000 90.294 -177.5255
37.500000 90.292 -177.9969
38.200001 90.293 -178.6596
38.700001 90.292 -179.1370
39.500000 90.289 -179.8840
40.000000 90.287 179.6635
40.599998 90.284 179.1266
41.200001 90.281 178.5892
41.799999 90.276 178.0569
42.500000 90.267 177.4638
43.099998 90.260 176.9857
43.700001 90.258 176.5122
44.400002 90.256 175.9323
45.000000 90.251 175.4213
45.500000 90.244 175.0080
46.200001 90.234 174.4604
46.799999 90.228 174.0013
47.500000 90.222 173.4539
48.200001 90.215 172.8968
48.700001 90.208 172.5026
49.400002 90.198 171.9642
50.000000 90.189 171.5164
50.799999 90.178 170.9385
51.500000 90.171 170.4449
52.200001 90.165 169.9497
53.000000 90.155 169.3866
53.799999 90.145 168.8433
54.500000 90.137 168.3692
55.200001 90.125 167.8954
56.000000 90.111 167.3874
57.000000 90.102 166.7494
58.000000 90.088 166.0468
59.000000 90.069 165.4023
60.000000 90.060 164.7614
60.799999 90.051 164.2096
61.500000 90.038 163.7406
62.200001 90.022 163.3073
63.000000 90.006 162.8644
64.000000 89.995 162.3464
65.000000 89.989 161.7645
66.000000 89.971 161.1636
67.000000 89.951 160.5970
68.000000 89.931 160.0276
69.000000 89.913 159.4782
70.000000 89.901 158.9051
71.000000 89.887 158.3087
72.000000 89.873 157.7443
73.000000 89.861 157.1625
74.000000 89.841 156.5795
75.000000 89.815 156.0650
76.199997 89.791 155.4869
77.500000 89.768 154.8315
78.800003 89.745 154.1496
80.000000 89.724 153.5012
81.199997 89.701 152.8452
82.500000 89.676 152.1498
83.800003 89.651 151.4837
85.000000 89.628 150.8878
86.199997 89.605 150.3080
87.500000 89.580 149.6880
88.500000 89.561 149.2010
90.000000 89.528 148.4747
91.199997 89.502 147.9063
92.500000 89.473 147.3054
93.800003 89.447 146.7089
95.000000 89.423 146.1545
96.199997 89.398 145.5976
97.500000 89.369 145.0052
98.800003 89.341 144.4153
100.000000 89.313 143.8802
101.500000 89.281 143.2328
103.000000 89.250 142.5670
104.400002 89.217 141.9461
106.000000 89.179 141.2693
107.500000 89.146 140.6395
109.000000 89.113 139.9918
110.599998 89.075 139.2976
112.000000 89.042 138.6974
113.800003 89.001 137.9454
115.000000 88.975 137.4543
117.199997 88.927 136.5582
118.000000 88.907 136.2427
120.599998 88.845 135.2650
122.000000 88.812 134.7192
124.099998 88.759 133.8834
125.000000 88.738 133.5324
126.500000 88.705 132.9524
128.000000 88.675 132.3815
131.500000 88.607 131.0859
132.000000 88.597 130.9033
134.000000 88.553 130.1728
136.000000 88.508 129.4377
138.000000 88.462 128.7010
140.000000 88.419 127.9767
143.000000 88.355 126.9123
145.000000 88.311 126.2191
147.500000 88.255 125.3646
150.000000 88.198 124.5107
152.500000 88.140 123.6652
155.000000 88.082 122.8327
157.500000 88.024 122.0057
160.000000 87.960 121.1877
162.500000 87.890 120.3845
165.000000 87.816 119.5882
167.500000 87.742 118.7950
170.000000 87.667 118.0113
172.500000 87.592 117.2373
175.000000 87.516 116.4816
177.500000 87.441 115.7424
180.000000 87.369 115.0052
182.500000 87.297 114.2712
185.000000 87.224 113.5479
187.500000 87.152 112.8311
190.000000 87.079 112.1046
192.500000 87.005 111.3796
195.000000 86.932 110.6657
197.500000 86.860 109.9615
200.000000 86.790 109.2708
203.000000 86.712 108.4668
206.000000 86.636 107.6765
209.000000 86.562 106.8657
212.000000 86.490 106.0535
214.000000 86.442 105.5226
218.000000 86.341 104.4969
220.000000 86.291 104.0038
224.000000 86.196 103.0490
227.000000 86.126 102.3552
230.000000 86.053 101.6595
233.000000 85.977 100.9736
236.000000 85.902 100.3098
240.000000 85.806 99.4659
243.000000 85.735 98.8587
247.000000 85.639 98.0623
250.000000 85.565 97.4576
254.000000 85.465 96.6453
258.000000 85.365 95.8553
262.000000 85.265 95.0841
265.000000 85.190 94.5178
269.000000 85.088 93.7646
272.000000 85.011 93.2142
276.000000 84.910 92.4789
280.000000 84.810 91.7507
285.000000 84.683 90.8801
290.000000 84.558 90.0279
295.000000 84.432 89.1866
300.000000 84.309 88.3309
304.000000 84.211 87.6607
307.000000 84.137 87.1887
311.000000 84.040 86.5700
315.000000 83.941 85.9383
320.000000 83.814 85.1447
325.000000 83.691 84.4043
330.000000 83.568 83.6998
335.000000 83.447 82.9999
