* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 23, 25 2:15:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mecha odo L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.323 -66.6489
1.015000 67.726 -67.6671
1.030000 68.121 -68.6635
1.044000 68.480 -69.5765
1.060000 68.878 -70.6030
1.075000 69.237 -71.5508
1.090000 69.581 -72.4845
1.106000 69.935 -73.4528
1.120000 70.240 -74.2550
1.138000 70.630 -75.2136
1.150000 70.889 -75.8096
1.172000 71.361 -76.8238
1.180000 71.531 -77.1706
1.206000 72.079 -78.2240
1.220000 72.370 -78.7500
1.241000 72.800 -79.4935
1.250000 72.981 -79.7975
1.265000 73.280 -80.2872
1.280000 73.574 -80.7583
1.315000 74.235 -81.7993
1.320000 74.327 -81.9427
1.340000 74.685 -82.5059
1.360000 75.030 -83.0563
1.380000 75.361 -83.5867
1.400000 75.676 -84.1073
1.430000 76.116 -84.8833
1.450000 76.387 -85.3996
1.475000 76.696 -86.0329
1.500000 76.970 -86.6202
1.525000 77.211 -87.1527
1.550000 77.420 -87.6393
1.575000 77.603 -88.0847
1.600000 77.763 -88.4936
1.625000 77.904 -88.8828
1.650000 78.030 -89.2591
1.675000 78.144 -89.6284
1.700000 78.251 -89.9957
1.725000 78.355 -90.3655
1.750000 78.458 -90.7416
1.775000 78.566 -91.1315
1.800000 78.681 -91.5417
1.825000 78.807 -91.9632
1.850000 78.940 -92.3861
1.875000 79.072 -92.7954
1.900000 79.203 -93.1868
1.925000 79.330 -93.5616
1.950000 79.456 -93.9214
1.975000 79.579 -94.2722
2.000000 79.699 -94.6196
2.030000 79.841 -95.0251
2.060000 79.981 -95.4219
2.090000 80.117 -95.8134
2.120000 80.252 -96.2031
2.140000 80.341 -96.4634
2.180000 80.515 -96.9956
2.200000 80.602 -97.2703
2.240000 80.771 -97.8131
2.270000 80.895 -98.2081
2.300000 81.016 -98.5914
2.330000 81.135 -98.9634
2.360000 81.251 -99.3250
2.400000 81.403 -99.8139
2.430000 81.515 -100.1741
2.470000 81.661 -100.6442
2.500000 81.768 -100.9911
2.540000 81.910 -101.4488
2.580000 82.048 -101.9155
2.620000 82.184 -102.4020
2.650000 82.284 -102.7604
2.690000 82.414 -103.2282
2.720000 82.509 -103.5707
2.760000 82.633 -104.0142
2.800000 82.755 -104.4725
2.850000 82.904 -105.0310
2.900000 83.048 -105.5699
2.950000 83.188 -106.0937
3.000000 83.324 -106.6340
3.040000 83.429 -107.0680
3.070000 83.506 -107.3874
3.110000 83.607 -107.8035
3.150000 83.705 -108.2073
3.200000 83.825 -108.7162
3.250000 83.942 -109.2142
3.300000 84.058 -109.6918
3.350000 84.170 -110.1545
3.400000 84.279 -110.6309
3.450000 84.385 -111.1046
3.500000 84.488 -111.5627
3.550000 84.589 -112.0020
3.600000 84.689 -112.4487
3.650000 84.787 -112.8871
3.700000 84.883 -113.3094
3.750000 84.977 -113.7206
3.820000 85.105 -114.3154
3.870000 85.194 -114.7335
3.950000 85.335 -115.3724
4.000000 85.421 -115.7763
4.060000 85.523 -116.2560
4.120000 85.623 -116.7210
4.180000 85.721 -117.1809
4.250000 85.834 -117.7375
4.310000 85.928 -118.1977
4.370000 86.021 -118.6478
4.440000 86.128 -119.1949
4.500000 86.217 -119.6556
4.550000 86.291 -120.0323
4.620000 86.392 -120.5795
4.680000 86.476 -121.0445
4.750000 86.573 -121.5732
4.820000 86.667 -122.1210
4.870000 86.733 -122.5141
4.940000 86.823 -123.0564
5.000000 86.899 -123.5294
5.080000 86.996 -124.1591
5.150000 87.078 -124.6960
5.220000 87.157 -125.2500
5.300000 87.244 -125.8839
5.380000 87.328 -126.5065
5.450000 87.397 -127.0606
5.520000 87.464 -127.5957
5.600000 87.536 -128.2102
5.700000 87.621 -128.9850
5.800000 87.700 -129.7347
5.900000 87.773 -130.4673
6.000000 87.841 -131.1790
6.080000 87.892 -131.7466
6.150000 87.934 -132.2181
6.220000 87.975 -132.6861
6.300000 88.019 -133.1982
6.400000 88.071 -133.8147
6.500000 88.120 -134.4154
6.600000 88.168 -134.9814
6.700000 88.216 -135.5257
6.800000 88.262 -136.0422
6.900000 88.309 -136.5471
7.000000 88.356 -137.0298
7.100000 88.405 -137.5022
7.200000 88.454 -137.9583
7.300000 88.504 -138.4158
7.400000 88.556 -138.8670
7.500000 88.608 -139.3223
7.620000 88.671 -139.8692
7.750000 88.739 -140.4732
7.880000 88.807 -141.1022
8.000000 88.868 -141.6859
8.120000 88.925 -142.2826
8.250000 88.985 -142.9431
8.380000 89.040 -143.6053
8.500000 89.086 -144.2226
8.620000 89.129 -144.8400
8.750000 89.171 -145.4999
8.850000 89.199 -145.9988
9.000000 89.236 -146.7240
9.120000 89.262 -147.2838
9.250000 89.287 -147.8589
9.380000 89.311 -148.4001
9.500000 89.332 -148.8795
9.620000 89.354 -149.3280
9.750000 89.377 -149.7872
9.880000 89.398 -150.2262
10.000000 89.415 -150.6061
10.150000 89.433 -151.1059
10.300000 89.451 -151.5898
10.440000 89.470 -152.0327
10.600000 89.493 -152.5443
10.750000 89.516 -153.0429
10.900000 89.542 -153.5629
11.060000 89.569 -154.1804
11.200000 89.592 -154.7930
11.380000 89.614 -155.6064
11.500000 89.623 -156.1623
11.720000 89.624 -157.1808
11.800000 89.620 -157.5432
12.060000 89.586 -158.6888
12.200000 89.559 -159.2887
12.410000 89.513 -160.0891
12.500000 89.494 -160.3884
12.650000 89.466 -160.8279
12.800000 89.442 -161.1986
13.150000 89.411 -161.8903
13.200000 89.410 -161.9826
13.400000 89.416 -162.3301
13.600000 89.432 -162.6797
13.800000 89.458 -163.0636
14.000000 89.487 -163.5053
14.300000 89.524 -164.3377
14.500000 89.536 -164.9327
14.750000 89.534 -165.6594
15.000000 89.514 -166.3119
15.250000 89.485 -166.8927
15.500000 89.456 -167.3295
15.750000 89.438 -167.6395
16.000000 89.440 -167.8783
16.250000 89.464 -168.1593
16.500000 89.505 -168.5023
16.750000 89.552 -168.9468
17.000000 89.596 -169.5009
17.250000 89.628 -170.1703
17.500000 89.645 -170.8840
17.750000 89.643 -171.5887
18.000000 89.627 -172.2465
18.250000 89.601 -172.8535
18.500000 89.570 -173.3699
18.750000 89.539 -173.7948
19.000000 89.513 -174.1422
19.250000 89.494 -174.4576
19.500000 89.484 -174.7423
19.750000 89.482 -175.0194
20.000000 89.488 -175.3095
20.299999 89.500 -175.7261
20.600000 89.514 -176.1921
20.900000 89.525 -176.7020
21.200001 89.529 -177.2562
21.400000 89.527 -177.6325
21.799999 89.512 -178.3501
22.000000 89.501 -178.6810
22.400000 89.478 -179.3000
22.700001 89.462 -179.7154
23.000000 89.450 179.8893
23.299999 89.442 179.4773
23.600000 89.434 179.0494
24.000000 89.418 178.4540
24.299999 89.399 177.9911
24.700001 89.362 177.4261
25.000000 89.329 177.0780
25.400000 89.286 176.7195
25.799999 89.259 176.4633
26.200001 89.255 176.1988
26.500000 89.261 175.9324
26.900000 89.269 175.4669
27.200001 89.266 175.0520
27.600000 89.244 174.4931
28.000000 89.207 174.0140
28.500000 89.162 173.5413
29.000000 89.133 173.1282
29.500000 89.108 172.6634
30.000000 89.074 172.1956
30.400000 89.043 171.8722
30.700001 89.025 171.6673
31.100000 89.012 171.3926
31.500000 89.008 171.0400
32.000000 88.995 170.4734
32.500000 88.955 169.8653
33.000000 88.893 169.3999
33.500000 88.838 169.1147
34.000000 88.811 168.8783
34.500000 88.800 168.5097
35.000000 88.779 167.9926
35.500000 88.730 167.4623
36.000000 88.666 167.0858
36.500000 88.615 166.8660
37.000000 88.595 166.6416
37.500000 88.590 166.2283
38.200001 88.541 165.3989
38.700001 88.466 164.9129
39.500000 88.357 164.6109
40.000000 88.331 164.5172
40.599998 88.326 164.2493
41.200001 88.320 163.8288
41.799999 88.307 163.3341
42.500000 88.279 162.6849
43.099998 88.234 162.1670
43.700001 88.181 161.7955
44.400002 88.138 161.4505
45.000000 88.102 161.1109
45.500000 88.060 160.8571
46.200001 88.004 160.6810
46.799999 87.986 160.5469
47.500000 87.971 160.1388
48.200001 87.911 159.6287
48.700001 87.850 159.4029
49.400002 87.782 159.2903
50.000000 87.753 159.2023
50.799999 87.737 158.8741
51.500000 87.719 158.3521
52.200001 87.667 157.7213
53.000000 87.571 157.2087
53.799999 87.498 157.0177
54.500000 87.474 156.8004
55.200001 87.444 156.4124
56.000000 87.384 156.0489
57.000000 87.332 155.7612
58.000000 87.273 155.2385
59.000000 87.151 154.9629
60.000000 87.073 155.0423
60.799999 87.033 154.8618
61.500000 86.969 154.6273
62.200001 86.900 154.5436
63.000000 86.853 154.4948
64.000000 86.809 154.1328
65.000000 86.741 153.7139
66.000000 86.682 153.3608
67.000000 86.626 152.9183
68.000000 86.544 152.4916
69.000000 86.454 152.3269
70.000000 86.394 152.2958
71.000000 86.352 152.1377
72.000000 86.302 151.8966
73.000000 86.252 151.6405
74.000000 86.197 151.3201
75.000000 86.131 151.0341
76.199997 86.058 150.7791
77.500000 85.985 150.5217
78.800003 85.907 150.1895
80.000000 85.811 149.9360
81.199997 85.722 149.7495
82.500000 85.625 149.5876
83.800003 85.562 149.4220
85.000000 85.498 149.0994
86.199997 85.422 148.9458
87.500000 85.358 148.9443
88.500000 85.321 148.9490
90.000000 85.261 148.8205
91.199997 85.192 148.6396
92.500000 85.098 148.4421
93.800003 84.994 148.2955
95.000000 84.908 148.1883
96.199997 84.832 148.0240
97.500000 84.748 147.7820
98.800003 84.659 147.5887
100.000000 84.588 147.5383
101.500000 84.536 147.4869
103.000000 84.497 147.2972
104.400002 84.451 147.1000
106.000000 84.373 147.0106
107.500000 84.289 147.1516
109.000000 84.215 147.4074
110.599998 84.138 147.5521
112.000000 84.068 147.6578
113.800003 83.998 147.6172
115.000000 83.942 147.4597
117.199997 83.816 147.2859
118.000000 83.773 147.2828
120.599998 83.655 147.2918
122.000000 83.599 147.2335
124.099998 83.511 147.0989
125.000000 83.468 147.0704
126.500000 83.395 147.0854
128.000000 83.321 147.1622
131.500000 83.174 147.3318
132.000000 83.155 147.3392
134.000000 83.074 147.3576
136.000000 82.990 147.6214
138.000000 82.930 147.9443
140.000000 82.879 148.1842
143.000000 82.837 148.3538
145.000000 82.804 148.2915
147.500000 82.725 148.2942
150.000000 82.631 148.3408
152.500000 82.549 148.2330
155.000000 82.485 148.1208
157.500000 82.416 148.1947
160.000000 82.343 148.4496
162.500000 82.253 148.6407
165.000000 82.153 148.7932
167.500000 82.057 148.9231
170.000000 81.966 149.0521
172.500000 81.880 149.2372
175.000000 81.801 149.4409
177.500000 81.725 149.5856
180.000000 81.651 149.6588
182.500000 81.578 149.7228
185.000000 81.503 149.8354
187.500000 81.426 149.9795
190.000000 81.346 150.1255
192.500000 81.267 150.2790
195.000000 81.189 150.4233
197.500000 81.115 150.5828
200.000000 81.045 150.7340
203.000000 80.966 150.9288
206.000000 80.894 151.1331
209.000000 80.827 151.3486
212.000000 80.758 151.6174
214.000000 80.712 151.7961
218.000000 80.624 152.1080
220.000000 80.583 152.2464
224.000000 80.505 152.5538
227.000000 80.445 152.8197
230.000000 80.382 153.0728
233.000000 80.320 153.3287
236.000000 80.262 153.6117
240.000000 80.189 153.9399
243.000000 80.129 154.1519
247.000000 80.049 154.5281
250.000000 79.993 154.8271
254.000000 79.923 155.2146
258.000000 79.858 155.5986
262.000000 79.793 155.9211
265.000000 79.742 156.1596
269.000000 79.675 156.5355
272.000000 79.627 156.8110
276.000000 79.564 157.1811
280.000000 79.501 157.5699
285.000000 79.424 158.0467
290.000000 79.353 158.5246
295.000000 79.280 159.0050
300.000000 79.209 159.4868
304.000000 79.152 159.8772
307.000000 79.112 160.1761
311.000000 79.062 160.5787
315.000000 79.012 160.9911
320.000000 78.953 161.5294
325.000000 78.906 162.0829
